Running Reverse KL,Running Forward KL,Itration,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Real Det Return
163.7377,335.1226,148,148,740000,-15342.5439453125,4996.68,3899.02
150.7376,328.8976,149,149,745000,-14949.0869140625,4933.89,5188.81
156.4026,326.6562,150,150,750000,-15143.361328125,5061.02,5151.42
167.3658,334.2567,151,151,755000,-15029.8828125,4461.49,5284.27
173.9463,336.7563,152,152,760000,-15168.2470703125,4977.55,3860.61
169.1668,337.8035,153,153,765000,-15655.1630859375,4691.37,5193.8
214.4134,353.2836,154,154,770000,-15954.03515625,5062.49,4451.62
166.909,337.2669,155,155,775000,-15251.9326171875,4284.83,5296.67
179.3716,342.8169,156,156,780000,-15671.3193359375,4328.33,4994.55
145.6991,330.3171,157,157,785000,-15231.7578125,5091.7,3085.19
122.278,318.8914,158,158,790000,-14921.8798828125,4812.52,3848.86
139.5155,321.4054,159,159,795000,-15709.0419921875,4519.27,5025.74
152.4291,329.1156,160,160,800000,-15810.544921875,3832.22,1419.4
138.0072,323.8211,161,161,805000,-16005.8935546875,4521.66,4756.92
134.1581,324.6002,162,162,810000,-15919.52734375,4953.84,5043.87
165.7976,332.4555,163,163,815000,-15990.2919921875,3680.55,1265.8
133.2488,321.376,164,164,820000,-15952.4091796875,5036.93,4996.96
130.1856,323.2905,165,165,825000,-15758.2470703125,5116.98,5070.62
135.6681,321.0232,166,166,830000,-15992.044921875,4859.72,5089.33
147.4256,325.5916,167,167,835000,-16531.771484375,4260.38,3726.42
152.4587,326.3312,168,168,840000,-16757.64453125,4850.54,5042.64
147.9418,327.2458,169,169,845000,-16331.4970703125,4566.21,2977.65
127.5453,317.8441,170,170,850000,-16278.1865234375,4925.89,5034.33
171.0302,335.0832,171,171,855000,-16797.6796875,3058.69,1413.2
210.935,342.407,172,172,860000,-16956.138671875,3292.15,855.27
178.6108,334.2169,173,173,865000,-16905.8203125,3241.06,1327.29
144.8416,324.1238,174,174,870000,-16465.291015625,4576.09,1360.3
180.1482,340.5447,175,175,875000,-16964.455078125,2555.36,1371.35
121.0305,317.7968,176,176,880000,-16211.017578125,5001.9,4814.84
129.7651,322.4949,177,177,885000,-16224.5732421875,4699.61,3000.98
149.3874,327.3443,178,178,890000,-16388.01953125,4832.12,4856.25
130.3552,328.6672,179,179,895000,-16081.451171875,4718.55,5065.58
120.5789,322.2574,180,180,900000,-16336.68359375,5014.92,4550.33
113.5396,317.0819,181,181,905000,-16378.1943359375,4895.33,4097.95
115.8498,319.0379,182,182,910000,-16218.34765625,4645.37,5018.96
119.2933,320.3924,183,183,915000,-16724.57421875,4670.56,4373.23
121.6691,320.6488,184,184,920000,-16974.400390625,4751.89,3898.85
128.8469,326.4389,185,185,925000,-17043.205078125,4817.13,3367.85
146.6504,332.5024,186,186,930000,-17274.001953125,5168.79,3290.63
136.4815,324.8843,187,187,935000,-17381.859375,4808.68,3027.09
172.5019,342.3184,188,188,940000,-17442.771484375,2941.72,1986.76
228.7059,349.9817,189,189,945000,-17528.6484375,2751.61,1635.3
141.4457,327.9896,190,190,950000,-17206.033203125,5107.3,5064.02
173.0114,332.2185,191,191,955000,-17326.447265625,3674.26,1957.93
128.9895,319.0972,192,192,960000,-17381.595703125,5026.44,4424.77
144.122,320.5159,193,193,965000,-17437.86328125,4838.32,3980.36
123.3563,314.0309,194,194,970000,-17167.974609375,4817.92,5238.21
121.1332,312.8812,195,195,975000,-17153.1171875,4666.23,5052.78
113.8723,310.8993,196,196,980000,-17184.5,4963.87,5220.64
153.316,333.1995,197,197,985000,-17597.0,4636.24,2455.02
161.0132,321.3505,198,198,990000,-17567.375,3146.23,4578.5
134.8201,319.569,199,199,995000,-17419.37109375,3648.1,3540.79
167.2144,329.8163,200,200,1000000,-17612.17578125,4019.26,3014.82
137.5169,320.2906,201,201,1005000,-17546.439453125,4154.77,3515.67
136.5947,316.7868,202,202,1010000,-17512.904296875,3564.35,3038.41
134.3668,320.3718,203,203,1015000,-17589.85546875,3389.86,1909.8
127.295,314.492,204,204,1020000,-17647.291015625,4425.53,5070.37
166.4344,330.1024,205,205,1025000,-17685.275390625,3825.36,4216.21
137.9323,321.1911,206,206,1030000,-17772.25,4472.91,3171.95
116.77,315.2653,207,207,1035000,-17648.291015625,4680.2,2052.04
121.8421,312.261,208,208,1040000,-17749.017578125,4499.46,4195.55
139.6474,325.8478,209,209,1045000,-17708.609375,4162.67,1488.39
142.3135,322.8806,210,210,1050000,-17819.72265625,3526.44,3240.99
137.9218,321.5211,211,211,1055000,-17689.75390625,4758.05,4374.23
134.8588,322.3428,212,212,1060000,-17935.296875,3419.07,1973.58
131.8353,319.4091,213,213,1065000,-17931.388671875,3318.9,4722.45
170.2635,333.0373,214,214,1070000,-17838.271484375,2898.12,3857.08
266.2117,354.4143,215,215,1075000,-17415.39453125,1863.02,4986.23
139.0342,318.4949,216,216,1080000,-17765.404296875,3457.78,5198.98
136.3835,320.0888,217,217,1085000,-18190.017578125,4241.38,4953.77
148.0219,321.2231,218,218,1090000,-18265.513671875,3902.71,5157.06
131.4146,324.3853,219,219,1095000,-18240.630859375,3936.66,4224.98
164.7427,325.0425,220,220,1100000,-18224.427734375,3222.73,1508.47
207.6795,344.3437,221,221,1105000,-18366.515625,2645.17,412.73
168.2696,329.812,222,222,1110000,-18113.5546875,3952.31,2527.95
176.0058,340.1807,223,223,1115000,-18514.66015625,3548.7,5040.34
140.2755,344.6902,224,224,1120000,-18478.623046875,3556.82,1607.23
142.9562,339.4064,225,225,1125000,-18296.05078125,4880.7,5124.96
134.1543,334.596,226,226,1130000,-17809.826171875,4567.79,5142.62
230.712,353.2857,227,227,1135000,-18289.775390625,2295.73,3052.54
170.2535,339.7368,228,228,1140000,-18058.0625,2836.13,4904.91
133.0559,332.6596,229,229,1145000,-18217.654296875,3770.98,5119.98
156.9166,331.1183,230,230,1150000,-17881.83984375,4541.67,5193.15
202.7412,351.7986,231,231,1155000,-17956.919921875,1498.14,3685.56
256.2665,372.4953,232,232,1160000,-18778.3125,1122.36,867.04
137.9553,330.6146,233,233,1165000,-18902.75390625,4861.54,5148.35
126.3825,320.7048,234,234,1170000,-18681.435546875,5061.73,5177.28
127.2276,315.0642,235,235,1175000,-18494.419921875,5117.65,5226.77
127.3915,314.1103,236,236,1180000,-18446.43359375,5154.58,5253.07
130.2217,318.3448,237,237,1185000,-18566.599609375,4886.73,5067.58
178.9492,341.7197,238,238,1190000,-18559.3828125,3822.28,1772.39
156.6602,332.7126,239,239,1195000,-18968.693359375,4519.89,5083.32
129.8469,318.7262,240,240,1200000,-18739.22265625,5111.41,5234.24
218.3754,351.0619,241,241,1205000,-18245.400390625,765.53,430.85
145.1076,343.4781,242,242,1210000,-18613.7734375,4591.27,4081.84
171.3626,327.2462,243,243,1215000,-18702.740234375,4585.31,5003.6
193.5787,330.7931,244,244,1220000,-18697.439453125,4169.32,4699.7
161.2311,327.5606,245,245,1225000,-18485.150390625,3728.38,4423.31
135.0889,317.7651,246,246,1230000,-18565.9765625,4194.9,4966.73
209.2757,325.2769,247,247,1235000,-18558.76171875,2902.61,4736.77
123.0309,310.0318,248,248,1240000,-18481.625,4705.5,5187.4
127.0674,315.0621,249,249,1245000,-18874.138671875,3993.09,5152.12
338.4645,347.9121,250,250,1250000,-18823.748046875,1427.79,3180.46
271.885,357.2187,251,251,1255000,-18679.638671875,2651.67,3614.53
243.5099,353.1509,252,252,1260000,-18699.8359375,2218.59,2926.86
270.9991,367.8171,253,253,1265000,-18588.203125,1533.31,3403.67
152.979,333.0487,254,254,1270000,-18294.974609375,4089.5,4363.46
191.2077,338.4139,255,255,1275000,-18236.16015625,1558.35,5262.25
246.5575,369.4651,256,256,1280000,-17271.111328125,1584.7,2995.55
134.0542,327.8664,257,257,1285000,-18384.41796875,3424.13,5248.12
253.358,370.4252,258,258,1290000,-17566.37890625,1220.52,1866.41
157.3889,329.773,259,259,1295000,-18634.998046875,5002.38,4761.84
209.4171,345.3317,260,260,1300000,-18071.31640625,3316.38,1895.59
239.9714,342.0072,261,261,1305000,-18161.37109375,1906.25,4378.5
183.9757,327.2782,262,262,1310000,-18068.607421875,3773.87,1910.16
328.4915,378.8414,263,263,1315000,-18807.92578125,1080.61,1518.47
272.3649,376.8671,264,264,1320000,-16488.150390625,2214.16,1763.21
352.7901,414.0729,265,265,1325000,-17850.013671875,474.03,541.07
339.9347,406.6805,266,266,1330000,-18127.853515625,803.7,642.03
344.2025,376.3627,267,267,1335000,-18450.755859375,1689.14,1936.43
743.2526,427.6878,268,268,1340000,-17991.744140625,845.36,616.47
307.4655,366.6398,269,269,1345000,-18665.54296875,3203.27,3644.17
445.8361,378.0815,270,270,1350000,-17929.9609375,2915.72,1297.78
171.3127,321.393,271,271,1355000,-19309.486328125,4729.58,5138.49
304.1881,371.2776,272,272,1360000,-18978.791015625,3290.9,2993.46
198.8623,351.1449,273,273,1365000,-19217.669921875,4272.58,4791.03
235.4472,364.2489,274,274,1370000,-18765.46875,4229.57,5115.27
195.2489,353.9512,275,275,1375000,-19194.771484375,3943.16,4674.65
250.8494,392.682,276,276,1380000,-19100.5703125,4834.47,5137.5
191.4418,350.7251,277,277,1385000,-18856.603515625,3615.45,4142.57
220.449,373.7891,278,278,1390000,-19605.748046875,4959.26,5170.71
204.1939,357.3228,279,279,1395000,-18646.353515625,3710.3,2955.53
186.5199,355.2023,280,280,1400000,-19562.712890625,4672.95,4959.6
190.9002,352.3865,281,281,1405000,-19495.533203125,4794.55,5191.01
208.6192,367.4001,282,282,1410000,-19395.462890625,4977.36,4771.83
209.9556,381.4066,283,283,1415000,-18750.46875,4549.0,4573.19
229.7795,373.7538,284,284,1420000,-18561.107421875,2746.66,5188.25
194.5915,371.2981,285,285,1425000,-19394.978515625,4795.1,4352.97
191.4243,364.3499,286,286,1430000,-19605.35546875,5127.67,5151.37
222.7981,385.3755,287,287,1435000,-19084.26953125,3754.27,4552.58
210.7324,380.008,288,288,1440000,-19055.359375,4151.71,4134.42
180.4643,376.3256,289,289,1445000,-19628.78125,4727.49,4668.46
199.967,379.4354,290,290,1450000,-19547.5078125,4594.56,4124.43
219.7917,379.4595,291,291,1455000,-18177.623046875,2820.11,5111.3
188.7252,384.8644,292,292,1460000,-19427.94140625,4940.48,5156.33
170.0837,359.0376,293,293,1465000,-19258.521484375,4491.91,4972.36
200.6705,391.1889,294,294,1470000,-19531.55078125,2848.83,3592.91
199.2947,392.8511,295,295,1475000,-19636.37890625,4639.34,5182.15
242.2615,400.5776,296,296,1480000,-19741.21875,4712.61,4990.96
238.8426,411.5936,297,297,1485000,-19765.630859375,4627.2,4779.01
239.7085,411.1761,298,298,1490000,-19493.68359375,4253.6,3317.74
232.7747,414.1023,299,299,1495000,-19544.73828125,3259.17,3663.43
270.0502,415.6224,300,300,1500000,-19574.818359375,4403.47,4168.94
335.2631,459.9722,301,301,1505000,-18806.0390625,699.03,712.44
383.1514,467.8861,302,302,1510000,-18529.498046875,556.06,554.31
293.6751,461.2891,303,303,1515000,-18210.697265625,667.2,661.68
277.3429,442.3469,304,304,1520000,-18028.0859375,1274.39,1171.43
271.6753,440.3868,305,305,1525000,-18298.568359375,2054.11,1915.29
302.3995,480.692,306,306,1530000,-16313.576171875,509.45,575.76
242.1405,429.5748,307,307,1535000,-17089.236328125,1070.77,677.0
311.874,454.3778,308,308,1540000,-16401.52734375,514.54,579.67
388.6812,442.7453,309,309,1545000,-16523.8203125,770.65,692.6
292.5426,453.7978,310,310,1550000,-18318.568359375,471.79,468.62
282.8048,440.9822,311,311,1555000,-16341.1865234375,507.04,434.25
315.9656,455.4849,312,312,1560000,-17075.7265625,581.6,570.89
371.6032,448.9416,313,313,1565000,-17773.662109375,476.46,524.24
317.0197,431.4884,314,314,1570000,-17254.767578125,926.57,1438.57
381.7205,441.9947,315,315,1575000,-17138.583984375,971.35,928.37
529.2808,463.8574,316,316,1580000,-17831.10546875,596.36,544.62
376.4893,418.2563,317,317,1585000,-17985.779296875,2446.92,2351.78
248.1882,418.8096,318,318,1590000,-18549.51953125,2783.94,2509.0
389.4981,432.0497,319,319,1595000,-17987.82421875,1405.58,1074.97
412.8975,426.14,320,320,1600000,-17860.091796875,1022.06,988.5
393.2548,435.8815,321,321,1605000,-17664.822265625,1177.02,1024.94
366.8269,414.0998,322,322,1610000,-18077.51171875,1765.94,1752.04
404.2149,413.1717,323,323,1615000,-18638.296875,3375.17,2980.65
286.3545,405.7235,324,324,1620000,-17804.091796875,3351.06,3083.63
245.9886,395.6636,325,325,1625000,-18068.14453125,3366.97,2646.74
241.7378,376.6082,326,326,1630000,-18546.73828125,2771.78,2951.57
216.1824,393.4374,327,327,1635000,-18100.177734375,1920.45,2494.14
351.1055,415.9874,328,328,1640000,-18504.763671875,2320.41,1724.15
312.1373,398.3507,329,329,1645000,-18969.197265625,2277.86,2574.87
210.1085,394.1836,330,330,1650000,-19221.927734375,3381.75,4046.96
228.8687,392.5476,331,331,1655000,-19186.8828125,3517.09,3793.86
324.5793,413.8117,332,332,1660000,-19031.9375,3137.16,4021.82
631.0063,427.2141,333,333,1665000,-19160.80078125,1018.39,924.64
511.3322,404.6125,334,334,1670000,-19290.974609375,1831.3,2344.93
232.5292,397.3,335,335,1675000,-19312.640625,3805.67,4469.86
464.1168,434.0154,336,336,1680000,-19222.953125,2576.37,2957.67
322.6001,407.6869,337,337,1685000,-19535.15234375,4575.11,4343.22
296.5723,399.318,338,338,1690000,-19568.97265625,3333.81,2890.17
237.3468,402.6445,339,339,1695000,-19593.158203125,4905.26,5142.14
279.8979,399.2563,340,340,1700000,-19618.599609375,5169.42,4812.05
282.3973,406.5721,341,341,1705000,-19592.181640625,4746.34,4853.8
283.235,403.5321,342,342,1710000,-19610.8515625,3028.85,2924.7
405.999,410.2249,343,343,1715000,-19547.86328125,3401.71,3386.9
591.4585,411.4925,344,344,1720000,-19545.822265625,4112.84,3785.98
504.5396,403.9786,345,345,1725000,-19560.533203125,4128.48,3669.44
694.9331,411.3962,346,346,1730000,-19509.078125,3006.96,2150.35
632.1461,414.7465,347,347,1735000,-19578.25,2283.19,1664.58
890.7547,412.5486,348,348,1740000,-19525.4453125,2226.99,2521.07
973.299,432.5936,349,349,1745000,-19560.146484375,1483.7,1650.98
547.6362,424.9745,350,350,1750000,-19613.728515625,1652.07,2227.9
783.9429,416.0816,351,351,1755000,-19625.580078125,2514.28,2389.03
219.4326,394.9321,352,352,1760000,-19568.138671875,5182.0,4949.04
275.5022,400.0281,353,353,1765000,-19380.458984375,3588.85,3417.22
214.3551,391.0715,354,354,1770000,-19472.103515625,4885.14,4688.58
194.169,380.2267,355,355,1775000,-19173.591796875,5136.57,5074.08
207.4642,385.7243,356,356,1780000,-19387.890625,4973.51,4876.3
209.8852,392.0373,357,357,1785000,-19290.0078125,4585.75,4671.4
189.6826,385.9123,358,358,1790000,-19231.189453125,4379.3,4494.77
199.1642,393.6207,359,359,1795000,-19300.1171875,5049.03,5183.68
244.118,406.0289,360,360,1800000,-19491.330078125,4915.13,5133.06
222.9023,399.6332,361,361,1805000,-19642.498046875,5161.91,4926.88
225.2738,402.9925,362,362,1810000,-19583.810546875,4932.42,5205.62
234.7804,413.6227,363,363,1815000,-19678.921875,5147.35,5150.62
242.4359,407.639,364,364,1820000,-19670.7265625,5171.1,5174.91
267.7521,423.9679,365,365,1825000,-19707.642578125,5083.0,4980.18
279.1565,426.9469,366,366,1830000,-19596.017578125,5029.88,4963.17
286.2428,429.8052,367,367,1835000,-19632.20703125,4885.13,4828.15
302.692,433.1268,368,368,1840000,-19692.990234375,5151.1,5152.26
290.9431,433.8762,369,369,1845000,-19622.333984375,4989.66,4658.03
316.8788,430.7108,370,370,1850000,-19738.6484375,5164.96,5073.28
356.4688,439.1565,371,371,1855000,-19735.572265625,5174.95,5176.01
333.2758,431.1774,372,372,1860000,-19751.34375,5183.98,5190.79
350.658,438.8518,373,373,1865000,-19760.6875,5129.64,5129.28
351.6731,435.7869,374,374,1870000,-19746.369140625,5118.8,4891.27
299.4492,437.363,375,375,1875000,-19422.85546875,4668.07,4711.6
376.8401,448.2973,376,376,1880000,-19782.630859375,5083.83,5083.43
294.3396,434.2468,377,377,1885000,-19405.68359375,4376.03,4365.54
300.3491,449.6625,378,378,1890000,-19042.51953125,3902.42,3437.9
299.4267,434.7781,379,379,1895000,-19716.728515625,4786.07,4668.9
315.363,438.1385,380,380,1900000,-19497.115234375,3022.86,2772.38
262.2974,430.092,381,381,1905000,-19789.51171875,4536.65,4450.64
297.3186,430.8898,382,382,1910000,-19031.58984375,2336.85,1925.94
264.0899,431.0929,383,383,1915000,-18750.900390625,1626.09,1969.4
484.0413,441.3351,384,384,1920000,-18621.798828125,692.82,1273.87
388.6531,437.4933,385,385,1925000,-19096.923828125,896.93,954.29
343.0647,430.5943,386,386,1930000,-19391.41015625,2833.17,2998.07
511.2098,432.3021,387,387,1935000,-18993.6171875,2491.16,2410.81
278.0998,435.6215,388,388,1940000,-18773.041015625,1758.0,2027.65
250.3394,424.584,389,389,1945000,-19263.412109375,3608.57,3157.07
253.1598,433.3752,390,390,1950000,-18113.90625,1385.12,1399.0
301.479,424.2971,391,391,1955000,-18570.88671875,1235.32,1387.74
277.2174,423.7245,392,392,1960000,-18742.908203125,1668.96,1504.18
268.0922,417.2438,393,393,1965000,-18764.572265625,2412.65,1984.97
322.1919,445.6022,394,394,1970000,-18680.6796875,1261.37,1526.09
368.0512,449.4466,395,395,1975000,-18420.70703125,1290.46,922.89
