Itration,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
139,695000,139,-884.5297241210938,17.8347,23.6273,1593.2,1265.28
140,700000,140,-853.4111328125,16.9973,23.2416,1822.24,1535.04
141,705000,141,-625.0723266601562,15.0851,22.3478,3135.16,2538.09
142,710000,142,-952.876708984375,20.0389,23.2321,1093.26,745.13
143,715000,143,-359.70556640625,14.4157,21.9881,3144.1,2923.02
144,720000,144,-615.8236083984375,19.4436,22.6162,3166.81,2345.22
145,725000,145,-877.8003540039062,20.6177,23.0752,2370.53,1706.92
146,730000,146,-980.0706176757812,24.7272,23.5185,1809.94,1388.05
147,735000,147,-913.4671020507812,30.3374,23.2546,2382.47,1414.46
148,740000,148,-966.240478515625,25.1012,23.2801,2041.86,1532.68
149,745000,149,-1094.4278564453125,49.6015,23.6434,1585.34,1359.42
150,750000,150,-1029.9288330078125,19.1169,23.4571,1897.45,1357.49
151,755000,151,-1098.3824462890625,25.1161,25.0231,1287.28,1180.03
152,760000,152,-1022.7673950195312,22.1894,24.1381,1317.86,1380.84
153,765000,153,-293.2069396972656,16.7583,24.7019,3102.89,3022.48
154,770000,154,-712.1346435546875,18.2172,21.8461,2717.01,2069.25
155,775000,155,-532.6945190429688,15.5198,22.5915,3244.61,2059.42
156,780000,156,-496.5166931152344,24.6272,23.0504,2494.76,2622.92
157,785000,157,-861.19580078125,34.62,22.8066,3193.7,2037.31
158,790000,158,-601.3397827148438,24.9761,22.1829,3193.77,2218.19
159,795000,159,-365.2896728515625,14.3027,21.6212,3280.2,2538.05
160,800000,160,-343.6957702636719,14.6592,22.0448,3199.8,2990.19
161,805000,161,-759.1156005859375,30.8366,23.4307,3282.43,1303.88
162,810000,162,-631.8064575195312,21.3452,22.694,3203.87,2537.06
163,815000,163,-307.4906005859375,14.2407,22.5027,3186.21,3192.7
164,820000,164,-430.7055358886719,12.893,22.4487,280.55,2188.99
165,825000,165,-390.6950988769531,14.2951,22.971,3174.43,3164.87
166,830000,166,-288.0283508300781,15.073,22.5652,3279.14,3266.79
167,835000,167,-326.01202392578125,13.2629,22.8869,3221.78,3052.11
168,840000,168,-222.4152069091797,14.4086,22.087,3186.88,3236.45
169,845000,169,-278.2151794433594,14.9523,23.3921,3150.97,3103.06
170,850000,170,-221.38058471679688,14.0786,22.1361,3266.5,3191.98
171,855000,171,-241.07479858398438,14.3483,22.0324,3252.97,3231.1
172,860000,172,-251.96731567382812,14.3485,21.7132,3328.03,3071.74
173,865000,173,-282.08624267578125,13.8715,21.3693,3299.15,3283.1
174,870000,174,-278.06817626953125,12.9721,20.4864,3314.14,3114.91
175,875000,175,-324.2037353515625,14.6102,21.8971,3190.61,3217.85
176,880000,176,-310.1613464355469,15.1372,21.8449,3258.95,3248.3
177,885000,177,-329.20123291015625,13.9409,21.0136,3277.43,3272.37
178,890000,178,-320.795654296875,13.5996,21.1012,3284.73,3280.05
179,895000,179,-360.27313232421875,15.2798,22.6943,3160.48,3076.08
180,900000,180,-292.7801513671875,13.8583,21.4652,3208.07,3224.59
181,905000,181,-328.4803771972656,13.9583,21.396,3220.54,3239.95
182,910000,182,-233.5731964111328,14.206,20.6397,3308.18,3312.83
183,915000,183,-330.42718505859375,13.7014,21.1224,3286.78,3207.25
184,920000,184,-333.9888916015625,14.881,21.4411,3354.0,3328.99
185,925000,185,-290.7257080078125,14.4368,21.0535,3296.88,3270.62
186,930000,186,-266.8492736816406,14.0769,20.2213,3303.01,3298.55
187,935000,187,-206.7180938720703,13.6024,20.0111,3380.12,3340.77
188,940000,188,-304.08929443359375,15.0516,21.3807,3311.44,3283.88
189,945000,189,-338.38104248046875,14.8925,21.9327,3266.23,3197.09
190,950000,190,-349.1481628417969,14.4294,21.2081,3301.79,3290.78
191,955000,191,-619.5339965820312,22.9661,23.2032,3281.69,2938.16
192,960000,192,-264.16314697265625,13.3809,20.1315,3409.42,3369.49
193,965000,193,-318.60626220703125,12.9701,20.1342,3432.36,2959.07
194,970000,194,-268.1826477050781,13.6573,20.3068,3368.92,3339.96
195,975000,195,-491.073974609375,14.9784,21.339,3338.66,3316.1
196,980000,196,-340.37841796875,13.2419,20.5815,3291.86,3003.02
197,985000,197,-291.1367492675781,12.6013,19.1925,3407.86,3377.28
198,990000,198,-279.24298095703125,12.9051,19.533,3422.07,3373.36
199,995000,199,-270.48516845703125,13.8164,19.6312,3383.98,3373.62
