Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Itration,Running Reverse KL,Real Sto Return
815000,4009.46,43.4773,-1071.609375,163,163,16.2868,4001.05
820000,4119.75,43.1874,-1169.882568359375,164,164,17.909,3921.23
825000,4097.88,43.6037,-1132.5413818359375,165,165,16.4238,3820.82
830000,3983.18,43.4662,-1115.379638671875,166,166,16.828,3935.0
835000,4173.58,43.2746,-1136.5924072265625,167,167,16.9295,4059.05
840000,4179.07,42.6331,-1160.31298828125,168,168,18.1763,3874.05
845000,4105.93,42.4841,-1122.864013671875,169,169,15.4926,4008.08
850000,4118.63,43.9617,-1179.76513671875,170,170,15.758,4018.84
855000,4062.47,43.7372,-1245.36181640625,171,171,20.8078,3546.95
860000,4021.45,44.3049,-1236.228271484375,172,172,17.1474,3768.65
865000,4039.09,44.0329,-1185.2174072265625,173,173,15.5856,3999.23
870000,3969.99,43.4038,-1269.427001953125,174,174,16.7644,3800.25
875000,2499.02,44.5145,-1504.599609375,175,175,17.8916,3360.52
880000,4100.86,43.2088,-1185.7203369140625,176,176,15.8647,3993.5
885000,4108.52,43.3069,-1231.6851806640625,177,177,15.8995,3973.47
890000,4133.18,43.3969,-1215.718994140625,178,178,16.0117,4024.14
895000,4157.48,43.2896,-1245.221435546875,179,179,15.9027,3561.48
900000,4172.44,43.075,-1251.9490966796875,180,180,16.1432,3990.35
905000,3998.57,43.5967,-1348.8052978515625,181,181,16.6592,2544.63
910000,4147.85,43.2114,-1280.7886962890625,182,182,16.4922,4033.5
915000,4055.26,43.451,-1260.33740234375,183,183,15.9944,3922.13
920000,4055.44,42.7501,-1229.6690673828125,184,184,16.0248,4007.88
925000,4049.23,42.7682,-1297.2996826171875,185,185,15.4939,3576.25
930000,4064.76,43.6499,-1331.9232177734375,186,186,15.29,3900.94
935000,4050.61,43.972,-1332.399658203125,187,187,16.5722,4044.53
940000,4089.62,43.2998,-1323.3604736328125,188,188,16.6747,4030.12
945000,4091.1,43.0529,-1335.4644775390625,189,189,16.5973,4008.94
950000,3960.8,42.8821,-1338.9764404296875,190,190,16.2234,4000.98
955000,4078.27,42.6479,-1340.4593505859375,191,191,16.0223,4014.13
960000,4055.78,43.4599,-1375.1785888671875,192,192,16.0183,3959.21
965000,4114.75,42.9459,-1405.387939453125,193,193,16.4271,3843.7
970000,3950.36,43.1717,-1516.2325439453125,194,194,14.8522,3845.15
975000,4106.57,42.9316,-1393.46435546875,195,195,15.684,4051.81
980000,4174.23,43.7545,-1376.1724853515625,196,196,15.9719,3957.18
985000,4124.7,43.2291,-1424.9923095703125,197,197,15.5603,4072.03
990000,4047.51,43.0438,-1450.8363037109375,198,198,15.7347,3981.93
995000,4010.2,42.4934,-1478.73974609375,199,199,16.3509,3957.91
1000000,4039.5,43.0352,-1430.144287109375,200,200,16.1004,3961.21
1005000,4101.15,42.6227,-1450.8922119140625,201,201,16.1109,4000.48
1010000,4160.56,43.0366,-1443.0999755859375,202,202,16.5649,3911.44
1015000,4107.5,42.6638,-1454.1783447265625,203,203,16.2436,4097.22
1020000,4062.83,43.1355,-1472.62548828125,204,204,15.9795,4040.37
1025000,4099.65,43.2515,-1477.0462646484375,205,205,16.5818,4078.93
1030000,4081.01,42.9459,-1485.1158447265625,206,206,15.8522,3972.47
1035000,4050.65,43.1181,-1546.9908447265625,207,207,15.755,4023.23
1040000,4056.09,42.4088,-1603.019775390625,208,208,15.6188,4048.71
1045000,4033.37,42.5015,-1615.5125732421875,209,209,15.6275,3995.23
1050000,4109.15,43.2734,-1615.174072265625,210,210,15.8362,3983.11
1055000,4131.87,42.6611,-1509.34765625,211,211,15.4157,3993.35
1060000,4016.76,43.0032,-1584.434814453125,212,212,15.5456,3345.36
1065000,4013.41,42.5848,-1551.1226806640625,213,213,15.3981,4061.22
1070000,4086.36,42.381,-1564.4892578125,214,214,14.6452,3952.43
1075000,4088.69,42.7167,-1542.1925048828125,215,215,15.3039,3961.44
1080000,4010.01,42.6514,-1639.208984375,216,216,14.8494,3836.49
1085000,4123.03,42.6983,-1753.64111328125,217,217,14.6822,4033.34
1090000,-3.78,43.0407,-1784.976806640625,218,218,15.3085,1618.48
1095000,4086.57,42.2811,-1595.968505859375,219,219,14.4857,3734.45
1100000,4150.44,42.3947,-1621.3599853515625,220,220,14.5663,3684.56
1105000,4112.59,42.3776,-1606.762939453125,221,221,14.6497,3743.06
1110000,4201.85,42.5383,-1611.9896240234375,222,222,15.1652,3773.45
1115000,3980.5,42.339,-1685.5428466796875,223,223,14.6388,3783.7
1120000,4170.14,42.1453,-1664.1177978515625,224,224,14.8422,3849.72
1125000,4053.21,42.4984,-1656.31201171875,225,225,15.2715,3913.92
1130000,4149.08,42.5212,-1704.4505615234375,226,226,15.1264,4068.86
1135000,4306.92,42.5707,-1637.8751220703125,227,227,14.908,4072.21
1140000,4242.9,42.023,-1685.0208740234375,228,228,14.3639,4011.71
1145000,4018.99,42.1906,-1706.1875,229,229,15.3262,3721.79
1150000,4146.22,42.3149,-1703.717529296875,230,230,15.1133,3982.0
1155000,4196.56,42.4164,-1838.022705078125,231,231,18.5871,4042.8
1160000,4173.68,42.7788,-1761.1025390625,232,232,14.4763,4019.67
1165000,4170.7,42.774,-1762.6678466796875,233,233,15.1561,4068.94
1170000,3645.9,42.6689,-1853.359375,234,234,14.4057,3961.64
1175000,4067.56,42.2059,-1797.9971923828125,235,235,14.3094,3966.99
1180000,3827.97,42.6844,-1850.15869140625,236,236,14.1399,3955.27
1185000,4195.41,42.2591,-1807.7667236328125,237,237,14.6596,4049.33
1190000,4166.71,42.3038,-1813.5157470703125,238,238,14.8182,4141.05
1195000,4173.54,42.1925,-1830.83056640625,239,239,14.5413,3722.46
1200000,4205.68,41.7396,-1805.5625,240,240,14.753,3902.13
1205000,3998.13,41.8461,-1808.0322265625,241,241,14.2316,4008.35
1210000,4005.1,42.7857,-1980.07080078125,242,242,15.4679,3877.99
1215000,4079.03,42.0115,-1864.744140625,243,243,15.0651,3637.84
1220000,4211.8,42.6792,-2162.96044921875,244,244,14.2995,2398.29
1225000,4187.92,42.3023,-2039.711669921875,245,245,18.8597,2975.29
1230000,4280.29,42.4296,-2152.4833984375,246,246,21.7881,3949.48
1235000,4262.97,42.0728,-1818.1912841796875,247,247,14.7212,4050.91
1240000,4179.78,42.1268,-1980.883544921875,248,248,14.4376,3237.8
1245000,4408.49,41.6491,-1911.8966064453125,249,249,14.6061,3933.1
1250000,4245.01,41.8834,-1923.6273193359375,250,250,14.6947,3748.73
1255000,3573.42,42.1458,-2082.552978515625,251,251,16.4767,3158.69
1260000,4271.16,41.9327,-1900.4091796875,252,252,15.0468,4200.25
1265000,3668.83,42.4271,-2188.31884765625,253,253,19.8918,3658.76
1270000,4361.6,41.9744,-1948.57568359375,254,254,15.1188,4220.89
1275000,4247.37,42.0275,-2191.581787109375,255,255,14.902,4083.43
1280000,4365.39,41.3028,-2015.9957275390625,256,256,14.4003,4099.42
1285000,4312.44,41.3662,-1969.970947265625,257,257,13.9595,3626.85
1290000,4387.66,41.5232,-2101.764892578125,258,258,14.1893,4158.52
1295000,4344.95,41.9277,-2144.68310546875,259,259,17.0107,4026.43
1300000,4228.87,41.5769,-2065.03466796875,260,260,14.3886,3850.02
1305000,4308.33,41.5381,-2044.779052734375,261,261,13.6211,3863.9
1310000,4384.67,41.0875,-2039.591552734375,262,262,14.2805,3773.36
1315000,4281.44,41.5604,-2284.895751953125,263,263,15.2866,3710.68
1320000,4317.9,41.47,-2244.7900390625,264,264,14.3574,3503.45
1325000,4312.98,41.8746,-2136.64208984375,265,265,14.4139,3711.79
1330000,4293.64,41.6214,-2216.3720703125,266,266,12.7106,3388.45
1335000,4236.35,42.0326,-2445.44921875,267,267,12.9353,3795.18
1340000,4142.13,41.9485,-2378.005615234375,268,268,12.352,3551.42
1345000,4311.14,41.5483,-2227.083740234375,269,269,13.622,4054.28
