Real Sto Return,Real Det Return,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Reward Loss,Running Update Time
1819.02,3120.29,24.9323,85,25.3206,425000,-3186.8662109375,85
1350.84,1377.79,27.8883,86,25.9519,430000,-3699.0283203125,86
1414.84,1277.54,26.7312,87,25.4605,435000,-3742.517822265625,87
2059.22,3112.74,22.9842,88,25.4428,440000,-2815.1669921875,88
1329.67,1243.84,27.5095,89,25.3241,445000,-3516.15380859375,89
1313.05,1308.5,29.5811,90,25.3548,450000,-4104.6201171875,90
1293.91,1436.9,27.5545,91,25.0749,455000,-3673.396728515625,91
1794.87,1291.16,26.8079,92,25.3586,460000,-3722.612548828125,92
1709.02,1832.81,26.944,93,25.1971,465000,-3943.909423828125,93
1296.34,1312.5,30.6355,94,25.0795,470000,-3990.1396484375,94
1609.43,1323.02,25.1548,95,24.7722,475000,-3670.475341796875,95
1338.09,1289.57,28.1791,96,25.1824,480000,-4145.87548828125,96
1166.64,1165.61,28.2645,97,25.2401,485000,-4481.11181640625,97
1669.2,1505.24,23.1215,98,24.8149,490000,-3478.30419921875,98
1539.23,1376.22,29.3815,99,25.1185,495000,-4607.64990234375,99
2304.84,3138.69,22.3561,100,24.5887,500000,-2644.91650390625,100
2011.83,1358.07,36.0552,101,24.3843,505000,-4262.83837890625,101
1661.31,1723.0,25.6248,102,24.7178,510000,-3642.76611328125,102
1699.17,1394.8,29.1175,103,24.1375,515000,-3980.010498046875,103
1755.43,1453.26,20.361,104,24.3757,520000,-4229.25830078125,104
2215.8,1032.06,22.1084,105,24.5675,525000,-4042.95068359375,105
1220.15,1406.26,23.6249,106,25.7204,530000,-4817.07666015625,106
1790.5,3291.83,18.8896,107,24.5667,535000,-3540.433349609375,107
1535.51,1365.63,29.396,108,24.631,540000,-4349.7890625,108
1410.68,1368.54,18.0885,109,25.3801,545000,-4316.0546875,109
1998.3,2903.51,17.775,110,25.7122,550000,-4132.1357421875,110
1962.76,1491.22,25.2549,111,24.5975,555000,-4170.2978515625,111
1742.22,988.53,26.6197,112,25.3546,560000,-4897.8671875,112
1708.41,1375.82,29.4972,113,25.2808,565000,-4953.4150390625,113
1592.23,2518.88,27.6047,114,25.2424,570000,-5026.7099609375,114
1587.24,998.81,22.5777,115,25.0847,575000,-4999.19091796875,115
1850.19,1008.55,21.6257,116,24.3215,580000,-4453.00341796875,116
1441.82,1011.42,27.1248,117,24.6401,585000,-4444.3466796875,117
1574.33,1018.08,25.81,118,24.9747,590000,-3940.443359375,118
1863.35,1740.02,22.96,119,25.1546,595000,-4613.45166015625,119
1336.06,1027.41,24.9824,120,25.0787,600000,-4855.9267578125,120
1966.56,1589.05,17.0503,121,24.1941,605000,-2884.309814453125,121
1854.39,1513.46,18.4508,122,24.8137,610000,-3690.778564453125,122
1930.32,1582.21,20.8469,123,25.0969,615000,-4662.41259765625,123
1427.61,1194.65,20.337,124,25.0066,620000,-4728.08837890625,124
1647.24,1145.92,19.1865,125,24.6507,625000,-4698.2587890625,125
1448.26,1143.19,23.5412,126,25.0686,630000,-5299.89404296875,126
2349.23,3328.16,16.6513,127,25.0192,635000,-2780.4208984375,127
1741.93,1403.29,20.074,128,24.8277,640000,-4385.79150390625,128
1673.4,1424.45,24.7255,129,25.0281,645000,-4917.10107421875,129
1677.8,1438.93,21.2172,130,24.9432,650000,-4508.60400390625,130
1696.13,1532.22,21.0349,131,25.3103,655000,-5253.00390625,131
1541.43,1450.43,16.1045,132,24.4535,660000,-4649.013671875,132
1790.13,1843.78,16.8287,133,25.0286,665000,-5087.43115234375,133
1597.77,1376.7,18.6769,134,25.1638,670000,-5513.60986328125,134
1653.42,1262.71,17.3389,135,24.7823,675000,-4984.90478515625,135
1580.22,1595.21,15.9459,136,24.6569,680000,-4392.1630859375,136
2098.92,2328.87,15.1006,137,24.1097,685000,-3331.537841796875,137
1873.49,1750.06,17.6712,138,25.4636,690000,-5264.2373046875,138
1769.38,1908.97,18.7625,139,25.2649,695000,-5496.88037109375,139
1603.14,1202.2,16.7879,140,24.5948,700000,-4953.3564453125,140
1517.35,1413.49,14.2678,141,24.6,705000,-4110.1533203125,141
1774.59,1768.44,16.0514,142,25.2448,710000,-4981.89990234375,142
1588.49,1450.6,13.7785,143,24.4432,715000,-4867.77001953125,143
1509.99,1481.09,13.9102,144,24.8993,720000,-4620.17333984375,144
1783.28,2233.44,13.8964,145,24.0679,725000,-4203.33203125,145
1653.7,1259.92,13.551,146,24.9773,730000,-4533.583984375,146
1812.98,1404.19,19.3767,147,24.8136,735000,-6081.05078125,147
1519.79,1351.91,16.1077,148,25.1648,740000,-6034.60595703125,148
1543.64,1720.01,18.5881,149,24.6369,745000,-5943.009765625,149
2014.92,1724.61,14.969,150,24.3849,750000,-4424.892578125,150
1756.09,1571.72,16.4748,151,24.5604,755000,-5310.7392578125,151
1559.54,1505.75,13.52,152,25.2954,760000,-6294.2470703125,152
1469.16,1604.24,20.3842,153,24.6153,765000,-6104.5009765625,153
1535.14,1345.26,13.7107,154,24.7362,770000,-5707.7587890625,154
1756.52,2119.75,13.1942,155,24.343,775000,-5359.65576171875,155
1685.76,1562.17,14.8773,156,24.9803,780000,-5906.61767578125,156
1680.51,1693.51,16.0785,157,25.006,785000,-6533.66015625,157
1591.92,1763.36,16.3202,158,24.6889,790000,-6616.939453125,158
1621.68,1551.18,16.1738,159,24.9765,795000,-6748.90087890625,159
1614.34,1643.56,21.6709,160,24.8454,800000,-6364.12255859375,160
1529.64,1629.33,14.2807,161,24.6332,805000,-6033.2216796875,161
1696.04,1856.16,17.9115,162,24.4026,810000,-5967.16455078125,162
1587.6,1489.47,14.5992,163,24.6856,815000,-6326.2138671875,163
1656.35,1546.24,15.336,164,25.0413,820000,-6839.94140625,164
1459.81,1494.93,14.1882,165,23.8818,825000,-5866.70361328125,165
