Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Forward KL
966.88,331.52,137,31.089,73.4716
1024.4,358.15,138,30.9272,71.9911
1002.18,355.56,139,31.984,73.3054
974.76,307.81,140,30.4,71.3532
1017.69,291.12,141,30.4618,71.4075
921.74,305.91,142,30.48,72.3872
1017.21,360.94,143,31.1142,71.5559
1014.82,322.67,144,31.2198,72.5482
1034.19,333.08,145,30.8028,74.2526
969.26,322.05,146,30.6458,71.2964
967.18,340.2,147,30.998,72.5751
945.51,314.23,148,30.6642,71.6823
1029.04,319.33,149,30.7731,70.9524
1031.71,318.27,150,31.6234,75.9626
939.4,333.43,151,30.9083,74.4647
978.55,317.48,152,30.4778,71.4797
979.83,306.34,153,31.195,73.3501
986.5,375.4,154,30.9098,71.6511
1032.68,322.76,155,31.0325,73.3796
894.28,332.56,156,30.6715,71.9919
923.78,263.65,157,30.6186,70.9103
880.84,330.06,158,30.9142,71.8228
767.67,301.72,159,30.9398,71.4207
963.77,311.96,160,31.2722,74.7106
969.16,287.5,161,30.7311,72.6634
1024.82,335.58,162,30.3174,72.0554
1018.39,297.72,163,30.8544,73.5855
872.04,320.17,164,30.5812,71.7525
914.78,314.42,165,29.9757,68.8925
980.79,315.32,166,30.8572,72.0849
923.85,322.47,167,30.5671,72.1916
1024.88,331.54,168,30.6024,71.7791
981.91,351.21,169,31.1182,73.3662
930.32,304.79,170,31.0408,73.0156
908.46,317.85,171,30.9042,73.5047
924.53,334.51,172,30.6162,71.6897
887.02,325.5,173,30.7541,72.5315
970.59,316.89,174,30.6559,72.59
925.7,338.17,175,30.888,73.4049
917.63,293.78,176,30.5009,71.9789
919.7,296.88,177,30.5126,71.9433
919.03,359.32,178,30.7047,72.3714
876.98,334.63,179,31.3692,73.9185
960.07,331.59,180,30.5146,72.3646
921.45,332.14,181,30.8332,72.4937
977.23,353.81,182,30.6932,73.0924
1017.79,292.93,183,30.9938,72.9888
917.83,319.24,184,30.84,72.9687
967.68,303.31,185,31.2841,73.7809
979.77,333.27,186,30.9601,73.9102
916.84,349.64,187,30.8862,72.7597
961.7,327.52,188,30.8013,71.9459
973.03,302.64,189,31.0902,71.7386
974.07,342.08,190,30.6795,72.374
966.3,257.09,191,31.3509,72.3437
972.86,314.68,192,30.4132,73.6184
982.7,340.47,193,31.1275,72.9322
966.5,315.5,194,31.3465,73.9618
969.74,303.7,195,30.6112,72.5301
964.97,309.62,196,30.6609,73.9085
967.1,337.87,197,31.1862,73.8337
960.06,343.5,198,30.7401,72.7201
824.35,318.13,199,30.7002,73.0389
971.46,300.81,200,31.2346,75.169
1029.93,336.06,201,30.5649,73.116
925.66,288.12,202,30.8749,72.52
963.45,320.44,203,30.2812,70.9538
983.74,324.28,204,31.139,74.0987
967.12,317.35,205,29.9151,72.4032
1013.71,330.33,206,30.794,73.6896
1014.98,324.4,207,30.6907,73.6699
913.46,318.47,208,30.9734,75.1953
964.54,329.88,209,30.9815,74.0281
958.86,285.67,210,30.0593,70.8795
1006.94,331.72,211,31.0162,75.6604
955.55,260.62,212,30.8373,74.6274
1008.3,316.9,213,30.6134,74.0707
960.77,315.25,214,30.8405,73.3146
911.54,297.11,215,30.6402,73.972
953.84,326.83,216,30.973,73.9413
957.28,313.92,217,30.3076,70.7039
962.44,291.08,218,31.4472,74.63
952.64,319.41,219,31.2409,75.7107
905.96,294.18,220,30.8517,75.3479
998.55,309.79,221,30.7878,72.8871
905.56,320.55,222,30.8632,74.7005
1001.0,311.35,223,30.8066,73.5537
948.91,318.32,224,30.4289,73.7509
1000.32,290.9,225,31.0764,75.4814
956.22,292.72,226,30.6958,75.7708
961.07,319.55,227,30.9571,74.2597
949.1,287.3,228,31.1507,74.1165
813.31,300.25,229,30.7667,74.8095
1002.68,259.58,230,30.7256,74.5482
996.55,251.35,231,30.847,74.0584
961.34,297.49,232,31.4043,74.6134
951.78,271.72,233,30.8353,74.3013
859.98,310.56,234,30.92,75.2798
1000.55,309.48,235,30.6897,73.1448
890.1,270.27,236,31.0823,75.0489
856.18,282.41,237,30.3735,73.1386
1005.96,283.91,238,30.9649,74.3743
852.74,302.27,239,30.7195,73.9086
903.39,276.6,240,30.5751,74.8249
859.8,288.55,241,30.4068,74.5678
951.59,326.05,242,30.3572,73.9988
804.28,321.34,243,30.5305,74.9399
954.52,299.83,244,30.6432,75.4164
955.59,278.07,245,30.9163,74.2261
1004.33,253.44,246,30.719,74.7947
956.79,284.93,247,30.8291,75.1952
911.18,315.16,248,30.4099,72.986
1004.75,303.99,249,30.6189,74.3726
908.76,260.05,250,30.8688,74.8124
954.04,289.44,251,31.1615,75.3536
856.52,298.8,252,30.8133,73.8147
959.22,338.8,253,30.5336,74.111
706.13,253.73,254,31.0247,74.8781
849.89,252.41,255,31.4554,75.4752
952.41,245.66,256,30.965,75.0573
800.12,316.81,257,31.1633,75.6297
807.15,205.22,258,30.7325,74.296
851.55,300.69,259,30.8186,75.3568
755.81,328.87,260,31.1717,74.8107
898.37,305.35,261,30.7069,73.7032
899.96,247.7,262,30.4294,75.1533
805.4,271.42,263,30.8664,74.2615
752.4,275.63,264,31.2513,75.5842
847.14,327.43,265,31.0759,76.2477
854.4,275.39,266,30.8016,75.7679
999.6,240.95,267,30.9374,75.4456
784.02,207.72,268,30.1573,72.9501
701.95,223.38,269,30.8411,75.4221
802.55,269.02,270,30.9915,74.8718
852.73,224.05,271,31.0616,74.243
784.13,231.57,272,30.5664,75.789
904.12,293.05,273,30.7823,75.6714
838.86,274.07,274,30.4417,74.7532
903.69,198.27,275,30.2416,74.4198
660.49,208.22,276,30.1424,74.8118
864.35,203.83,277,30.7854,75.3291
691.43,205.81,278,30.6997,74.7668
705.61,206.96,279,30.1843,74.0759
