Running Update Time,Running Reverse KL,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps
109,157.1572,109,-3939.08740234375,165.03,148.17,32.0773,545000
110,174.8676,110,-4178.88427734375,157.37,167.03,30.9106,550000
111,17.9178,111,-3578.77294921875,350.94,371.2,29.4807,555000
112,54.9015,112,-3580.096923828125,490.57,579.29,29.0151,560000
113,92.7913,113,-3460.687744140625,428.73,460.42,29.5601,565000
114,107.0113,114,-4320.66162109375,381.32,351.13,30.2237,570000
115,47.95,115,-3591.6357421875,741.7,755.77,29.4001,575000
116,26.5733,116,-2679.610107421875,903.98,991.84,30.2964,580000
117,20.53,117,-2251.656005859375,928.49,1142.39,30.0171,585000
118,28.1202,118,-2801.96044921875,920.02,761.54,29.5293,590000
119,15.0077,119,-2654.851806640625,1135.38,1125.14,31.1899,595000
120,18.6251,120,-3042.602294921875,1090.88,1081.04,31.795,600000
121,23.8859,121,-2683.103271484375,1117.56,1108.64,30.6314,605000
122,15.0123,122,-2749.08837890625,1164.98,1186.96,30.8988,610000
123,13.2832,123,-2517.55810546875,964.55,974.54,29.7584,615000
124,29.0818,124,-2925.28662109375,997.41,947.36,30.3114,620000
125,16.3746,125,-2774.083251953125,1126.62,1074.17,28.7953,625000
126,181.3862,126,-4748.96630859375,232.4,252.52,30.7713,630000
127,166.9393,127,-4595.1220703125,216.99,200.84,30.2843,635000
128,114.6567,128,-4234.86865234375,524.96,620.38,29.7495,640000
129,89.4019,129,-4400.32177734375,446.73,522.17,31.5458,645000
130,213.0172,130,-5361.91943359375,117.12,104.39,33.1023,650000
131,140.4769,131,-4752.98193359375,277.43,330.13,31.1561,655000
132,175.6089,132,-5240.47314453125,258.3,263.93,32.8121,660000
133,16.8648,133,-3406.49365234375,1555.85,1552.39,31.5615,665000
134,49.7116,134,-4134.69873046875,917.31,885.04,29.1094,670000
135,45.5995,135,-4575.400390625,454.53,458.35,29.0548,675000
136,65.3147,136,-4619.1953125,614.57,577.21,28.8259,680000
137,14.0245,137,-3332.8984375,1495.43,1681.08,29.1552,685000
138,52.5213,138,-4755.4052734375,590.67,550.17,29.4476,690000
139,157.7591,139,-5433.12744140625,306.3,325.39,32.0045,695000
140,13.4008,140,-3417.850341796875,1377.47,1455.3,29.0399,700000
141,15.8363,141,-3492.86181640625,1069.82,1221.89,28.3143,705000
142,39.7201,142,-4441.228515625,721.48,639.58,29.3037,710000
143,19.3914,143,-3764.625244140625,1337.15,1434.23,28.7566,715000
144,34.4148,144,-4198.12060546875,988.8,1008.61,28.9441,720000
145,30.0931,145,-3552.303955078125,1118.49,974.3,28.3506,725000
146,19.9296,146,-3798.127685546875,1201.53,1001.71,28.2243,730000
147,39.2677,147,-4289.40771484375,662.07,486.47,29.2423,735000
148,67.8151,148,-4970.876953125,500.14,493.45,29.8948,740000
149,48.2265,149,-4758.6640625,642.9,801.32,28.6205,745000
150,49.0056,150,-5154.330078125,570.79,510.55,30.1537,750000
151,17.3764,151,-3422.398681640625,1346.74,1214.48,28.9436,755000
152,26.6465,152,-4309.43359375,559.53,586.98,28.8745,760000
153,50.5486,153,-4397.93115234375,709.47,726.64,28.7679,765000
154,12.6652,154,-3218.2744140625,1285.81,1208.39,29.4103,770000
155,54.797,155,-5013.02783203125,834.85,861.59,29.4561,775000
156,15.0223,156,-3635.809814453125,1496.37,1516.45,29.9744,780000
157,32.9222,157,-4385.81787109375,912.73,928.24,29.3026,785000
158,31.045,158,-4162.73046875,1350.26,1401.03,30.0184,790000
159,15.4226,159,-4235.9365234375,1123.91,1122.98,30.9079,795000
160,14.5006,160,-3329.59765625,1656.99,1498.13,27.5426,800000
161,22.0569,161,-3907.595947265625,1160.28,1140.43,29.9353,805000
162,14.1779,162,-3984.91015625,1207.66,1189.51,29.6854,810000
163,15.8406,163,-4360.8994140625,1288.38,1330.05,29.6842,815000
164,18.1906,164,-3760.36083984375,1347.18,1441.09,26.343,820000
165,13.4856,165,-2772.781494140625,1951.82,1882.76,28.3183,825000
166,13.108,166,-3473.831787109375,1609.86,1600.23,28.4778,830000
167,25.8487,167,-3950.004638671875,1226.97,1402.4,28.5856,835000
168,14.9918,168,-3972.767578125,1191.72,1144.32,31.3675,840000
169,32.7287,169,-4073.9423828125,1499.48,1324.95,28.0472,845000
170,21.3343,170,-4185.900390625,1168.91,1161.51,29.7905,850000
171,15.7495,171,-4506.89794921875,1111.88,1048.59,28.9264,855000
172,19.4017,172,-5352.38232421875,945.05,1049.64,29.3541,860000
173,55.6884,173,-5412.41064453125,1113.64,985.63,26.8696,865000
174,48.5511,174,-5689.697265625,987.63,891.24,28.0584,870000
175,88.0102,175,-6791.4443359375,519.88,474.84,30.2348,875000
176,39.729,176,-5749.2216796875,939.61,809.81,30.2644,880000
177,26.0034,177,-5077.1591796875,1306.38,1321.44,28.9531,885000
178,21.5877,178,-4497.20263671875,1383.62,1376.81,25.3399,890000
179,19.2054,179,-4810.35302734375,1274.49,1246.76,26.6532,895000
180,20.3176,180,-5395.79931640625,1051.92,1043.87,30.6888,900000
181,25.442,181,-5684.0703125,1171.18,1206.99,30.1973,905000
182,17.2989,182,-3299.09912109375,1844.13,1741.56,28.5342,910000
183,15.7435,183,-4079.895263671875,1483.76,1523.72,29.3471,915000
184,58.6623,184,-5460.1044921875,1000.53,1049.71,30.3071,920000
185,32.945,185,-5971.365234375,861.96,928.2,31.9079,925000
186,18.6177,186,-4536.10498046875,1247.14,1372.29,31.5253,930000
187,41.4431,187,-4411.9794921875,1177.93,1196.7,29.8807,935000
188,186.0261,188,-7905.98486328125,311.81,401.95,32.5978,940000
189,152.2101,189,-7014.37060546875,714.55,647.52,29.1388,945000
190,38.362,190,-5065.37548828125,1266.43,1411.46,30.2637,950000
191,15.5083,191,-4341.62744140625,796.4,859.79,28.9988,955000
192,90.4678,192,-5966.5654296875,814.43,823.56,29.9948,960000
193,87.01,193,-6496.13232421875,820.55,940.57,26.7732,965000
194,64.7728,194,-5499.63427734375,1005.04,824.19,27.2697,970000
195,29.1896,195,-4962.0205078125,873.65,828.98,28.2249,975000
196,16.7281,196,-4002.646728515625,1138.5,1148.45,30.2124,980000
197,16.2012,197,-4533.19921875,1084.23,1121.68,28.8294,985000
198,53.9457,198,-6437.01220703125,1038.48,893.41,27.0617,990000
199,21.7458,199,-4223.93408203125,1309.69,1488.1,24.5568,995000
