Running Forward KL,Itration,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return
21.5809,86,430000,1439.86,-2771.169921875,26.3576,86,1734.0
23.3644,87,435000,1295.35,-3949.75390625,23.3023,87,1349.8
23.0699,88,440000,1190.06,-3724.8134765625,42.6946,88,1881.87
21.2993,89,445000,1169.88,-3013.90380859375,22.8952,89,1386.66
22.6112,90,450000,1829.2,-3322.3369140625,20.6649,90,2456.46
21.3685,91,455000,1224.03,-3074.291748046875,16.4021,91,1530.83
23.0103,92,460000,1162.18,-4468.13916015625,58.9798,92,1257.16
21.1291,93,465000,1448.12,-2904.492919921875,33.5562,93,2236.05
20.7534,94,470000,1370.8,-3085.672119140625,17.8163,94,2615.9
20.6257,95,475000,1552.39,-2434.516357421875,26.3563,95,3331.73
23.907,96,480000,1013.59,-4316.61962890625,33.8573,96,1565.14
21.3526,97,485000,1432.64,-2363.306640625,13.191,97,2637.96
21.1071,98,490000,1252.75,-3104.19970703125,21.5433,98,1603.48
21.9805,99,495000,1675.94,-3461.79736328125,37.5571,99,1894.01
22.4414,100,500000,1641.73,-4248.9013671875,31.4635,100,2198.38
23.6284,101,505000,1727.31,-2988.107421875,23.8006,101,2086.93
22.1914,102,510000,1818.8,-3426.78369140625,39.2798,102,3472.82
21.3211,103,515000,1669.48,-1756.810302734375,13.4003,103,3182.83
22.8974,104,520000,1786.66,-3428.369384765625,28.6765,104,2160.89
21.4386,105,525000,1399.23,-2190.281494140625,24.8159,105,1498.79
24.5769,106,530000,816.14,-4604.27001953125,45.4906,106,1836.88
23.4643,107,535000,1414.6,-4158.240234375,39.619,107,2151.36
22.8569,108,540000,1833.46,-2406.19775390625,12.9069,108,2130.61
25.2874,109,545000,849.14,-5334.30419921875,56.4983,109,1020.3
21.9185,110,550000,1882.88,-1970.1934814453125,23.2081,110,3330.52
22.2667,111,555000,781.69,-2829.56005859375,28.6437,111,1945.3
21.902,112,560000,1858.33,-1251.9324951171875,12.4081,112,3484.46
25.0685,113,565000,1315.67,-4918.74853515625,27.2899,113,2110.74
20.7225,114,570000,2563.77,-2330.402587890625,27.4246,114,3139.53
21.7188,115,575000,1794.23,-1898.281494140625,17.8622,115,3368.82
24.5844,116,580000,1419.3,-4718.20751953125,34.3004,116,3241.71
21.7648,117,585000,2153.95,-2403.665283203125,18.4462,117,3244.03
23.0394,118,590000,1312.48,-3153.847412109375,21.8089,118,2969.21
22.5646,119,595000,1084.45,-2801.312744140625,20.3477,119,1386.79
24.4449,120,600000,827.87,-6356.36865234375,21.0218,120,972.39
24.5995,121,605000,1199.31,-5843.16064453125,44.4361,121,916.81
22.7699,122,610000,1533.41,-3519.89111328125,20.1552,122,1214.04
21.9238,123,615000,1869.83,-2125.22998046875,18.2134,123,1831.8
24.397,124,620000,971.79,-6533.43408203125,96.9303,124,1280.24
24.8075,125,625000,932.58,-6304.828125,68.5922,125,983.85
21.9369,126,630000,1394.9,-4371.31884765625,24.326,126,3392.94
23.0864,127,635000,1220.64,-5122.3466796875,50.0505,127,1341.83
23.8181,128,640000,1136.08,-6112.359375,49.268,128,1391.73
23.5508,129,645000,1250.33,-5264.70703125,26.2828,129,406.82
24.2743,130,650000,1156.0,-5407.29248046875,21.6226,130,1485.95
23.1015,131,655000,1483.5,-5240.986328125,25.3712,131,665.73
23.6366,132,660000,1002.66,-5983.12109375,43.1792,132,1008.88
23.5688,133,665000,1671.29,-4709.31494140625,20.0382,133,1549.11
23.729,134,670000,1303.8,-5536.18115234375,27.4764,134,1472.55
23.7686,135,675000,1245.31,-4939.91015625,27.6356,135,599.03
23.1909,136,680000,728.76,-5135.48779296875,19.0231,136,309.41
23.7473,137,685000,1339.31,-5581.6298828125,47.4583,137,2538.49
24.275,138,690000,1024.66,-7384.576171875,61.4448,138,996.37
22.9792,139,695000,1647.84,-4941.9853515625,41.7144,139,1796.13
22.6797,140,700000,1549.37,-5036.24169921875,17.7167,140,1765.11
21.6466,141,705000,1165.33,-4759.77294921875,32.5246,141,1364.31
22.4134,142,710000,1233.41,-5200.4619140625,17.4255,142,1295.8
23.9449,143,715000,1239.07,-6171.39990234375,44.0627,143,2134.23
21.9183,144,720000,1382.93,-6159.76171875,75.6635,144,1165.68
24.5659,145,725000,978.6,-6043.30810546875,44.8978,145,1501.24
22.5573,146,730000,1236.98,-6663.2685546875,66.1508,146,2749.51
23.8348,147,735000,1102.84,-7321.8759765625,53.6236,147,1247.09
22.8623,148,740000,1119.81,-6279.74365234375,33.5715,148,2040.96
22.5763,149,745000,1410.83,-5932.7080078125,66.3552,149,1996.76
22.5367,150,750000,1355.28,-6029.7001953125,18.2803,150,1333.0
23.4829,151,755000,1189.85,-7587.72314453125,70.5842,151,1891.2
24.4757,152,760000,1086.28,-7196.8271484375,55.3726,152,1783.29
23.186,153,765000,1354.24,-6358.53955078125,56.1391,153,532.08
22.3053,154,770000,1332.19,-6884.73486328125,67.5631,154,2096.21
23.2595,155,775000,1017.17,-7224.748046875,36.7846,155,1528.15
23.9112,156,780000,1320.43,-6643.03515625,75.7453,156,884.37
22.7908,157,785000,1442.99,-5755.75927734375,58.783,157,1605.93
21.8818,158,790000,1240.89,-4075.49853515625,34.2999,158,1993.83
22.6843,159,795000,1076.76,-7950.986328125,89.0603,159,1414.64
23.6432,160,800000,1319.06,-7915.4375,51.995,160,1169.46
23.5174,161,805000,1193.15,-8211.5,26.7161,161,1559.16
22.2061,162,810000,1472.3,-5113.76123046875,16.4475,162,1666.36
22.895,163,815000,794.93,-7762.6103515625,70.6809,163,51.05
23.1053,164,820000,720.38,-7848.43603515625,70.9496,164,1421.79
23.2253,165,825000,855.56,-8375.8662109375,77.3743,165,1288.82
22.8793,166,830000,1210.63,-7320.4072265625,67.7399,166,1930.08
22.3634,167,835000,1473.01,-7917.88134765625,64.1426,167,380.52
22.3022,168,840000,1812.71,-5903.10986328125,30.7257,168,3276.19
22.3589,169,845000,1237.24,-8214.9189453125,61.9944,169,1768.27
21.9167,170,850000,1499.12,-7356.63330078125,35.368,170,1750.09
22.6308,171,855000,1437.4,-7789.82568359375,34.3852,171,1480.32
23.2031,172,860000,1265.94,-7614.83837890625,36.3587,172,2104.35
23.3306,173,865000,1184.36,-8141.0625,38.816,173,3518.3
23.5187,174,870000,1652.39,-7247.9111328125,51.1849,174,954.55
23.2614,175,875000,1507.11,-7642.26318359375,52.1735,175,1538.4
25.3945,176,880000,653.93,-9028.9189453125,73.4535,176,675.0
23.6468,177,885000,1381.6,-8227.6591796875,30.2852,177,733.06
24.6963,178,890000,1135.29,-9138.189453125,44.1193,178,1309.97
22.931,179,895000,1294.1,-7988.31396484375,32.4316,179,1496.74
24.4574,180,900000,1334.81,-9130.3349609375,58.7391,180,2667.51
24.7003,181,905000,1089.22,-9319.060546875,46.9051,181,870.12
22.4182,182,910000,1609.13,-7132.5654296875,28.3196,182,1522.57
23.1958,183,915000,1600.56,-7602.82177734375,20.6259,183,673.67
23.3696,184,920000,1273.53,-8902.1220703125,50.4926,184,1224.1
23.3451,185,925000,1367.67,-7473.0947265625,21.4231,185,2070.41
23.1654,186,930000,1410.18,-9153.572265625,28.241,186,1279.38
24.561,187,935000,1537.58,-8578.6220703125,50.2335,187,2314.46
23.7942,188,940000,1325.18,-8754.3701171875,46.8856,188,1284.71
22.0762,189,945000,1169.23,-6876.93505859375,22.549,189,566.13
20.6957,190,950000,1197.62,-5927.68212890625,20.6639,190,2671.56
22.9161,191,955000,1426.59,-6943.23046875,26.7601,191,1792.51
23.1193,192,960000,1222.5,-8449.7060546875,14.4414,192,2003.02
24.7237,193,965000,1586.7,-9323.990234375,33.2589,193,1509.95
25.4737,194,970000,914.58,-9103.671875,19.2282,194,1217.37
24.9658,195,975000,1161.7,-9859.796875,31.8381,195,542.82
22.7464,196,980000,1602.27,-7629.40283203125,21.6508,196,1275.29
24.0953,197,985000,1531.35,-8405.5576171875,17.4762,197,1515.8
25.377,198,990000,1151.49,-9100.5361328125,16.8131,198,1368.44
23.5011,199,995000,1203.33,-8298.1826171875,15.8218,199,680.63
