Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Running Reverse KL
124,-1272.26416015625,22.176,620000,3071.82,2571.41,124,14.8787
125,-1092.3104248046875,22.9276,625000,3133.52,2742.24,125,13.8314
126,-1470.063232421875,23.3603,630000,3157.43,2468.02,126,15.7401
127,-1170.76611328125,21.7013,635000,3090.48,2476.9,127,13.8194
128,-1754.0343017578125,24.4609,640000,3173.47,1691.47,128,19.3356
129,-1236.888427734375,22.3756,645000,3139.31,2879.18,129,13.2229
130,-964.3748779296875,21.2693,650000,3090.85,3096.43,130,12.0581
131,-1419.542724609375,21.6025,655000,3156.69,2732.99,131,17.0856
132,-1755.8946533203125,23.326,660000,3159.42,2182.08,132,19.1932
133,-1218.5784912109375,21.6364,665000,3102.35,3107.45,133,13.2011
134,-1431.4774169921875,21.2382,670000,3108.97,3061.57,134,24.5602
135,-1627.074462890625,22.3174,675000,3154.38,2129.73,135,16.9028
136,-1258.06396484375,22.8743,680000,3059.29,2911.07,136,14.012
137,-1124.1383056640625,21.4783,685000,3060.74,2556.94,137,12.2233
138,-1159.8538818359375,20.6242,690000,488.37,1369.49,138,25.3607
139,-1563.535888671875,21.6564,695000,3104.18,2370.99,139,14.4
140,-1458.8092041015625,21.8798,700000,3126.32,3143.34,140,13.8875
141,-1596.7236328125,22.8004,705000,2037.58,1392.85,141,18.9842
142,-2143.381103515625,23.1984,710000,3180.03,2188.5,142,21.812
143,-1425.22021484375,21.8978,715000,3076.82,3065.28,143,13.1499
144,-1795.151611328125,22.0469,720000,3152.33,2397.53,144,16.3612
145,-1889.7100830078125,21.434,725000,3075.62,2061.59,145,17.9279
146,-1574.5924072265625,21.5864,730000,3115.84,3020.23,146,13.8133
147,-1431.6634521484375,22.2203,735000,3142.34,2437.38,147,13.3389
148,-1501.645263671875,21.6119,740000,3119.75,2780.12,148,13.6872
149,-2473.8935546875,23.805,745000,1281.31,1133.29,149,22.8628
150,-1279.046875,21.9034,750000,3117.0,3107.09,150,12.7616
151,-1294.901611328125,20.9711,755000,3197.85,3109.64,151,13.1272
152,-2576.615966796875,24.7688,760000,407.96,468.21,152,27.8967
153,-2064.559814453125,20.9716,765000,3186.27,1504.39,153,19.5758
154,-1787.364501953125,21.4383,770000,3186.91,1728.86,154,16.8876
