Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Env Steps
170,29.252,170,-2792.66259765625,3829.59,62.3092,4495.89,850000
171,41.1745,171,-2955.546630859375,3368.01,62.1391,5158.33,855000
172,34.8481,172,-2880.04345703125,4512.67,60.7265,5157.65,860000
173,39.6851,173,-2948.01611328125,4240.96,62.8137,4721.9,865000
174,33.2644,174,-2976.8876953125,3709.59,63.2239,4531.63,870000
175,32.8475,175,-2969.182373046875,3072.66,61.9388,3833.63,875000
176,39.2165,176,-3089.303466796875,4369.28,63.2709,4725.88,880000
177,44.6687,177,-3198.50537109375,4033.0,65.2204,4625.69,885000
178,30.5907,178,-3042.279541015625,3238.15,59.6664,3559.46,890000
179,39.1261,179,-3107.529296875,3998.63,61.8436,4295.38,895000
180,39.446,180,-3269.89013671875,3438.8,63.463,4746.77,900000
181,40.2709,181,-3384.3720703125,4222.63,63.6531,4403.39,905000
182,45.4508,182,-3439.765625,4648.02,64.8471,4976.19,910000
183,28.2401,183,-3222.094970703125,2923.69,59.7574,3729.46,915000
184,33.444,184,-3317.78076171875,2355.29,61.0504,3931.58,920000
185,38.5829,185,-3587.949462890625,4542.98,61.1895,5348.02,925000
186,40.0063,186,-3556.31005859375,4095.2,65.4066,5141.35,930000
187,44.44,187,-3523.671142578125,4399.98,65.4593,5544.07,935000
188,43.2293,188,-3515.19140625,4460.48,63.4679,5334.29,940000
189,38.3372,189,-3466.742919921875,2428.91,62.6773,3592.36,945000
190,41.9665,190,-3689.340087890625,4018.25,65.8394,4994.63,950000
191,45.3465,191,-3768.518310546875,3838.11,64.1496,4879.08,955000
192,45.5114,192,-3821.160888671875,4926.97,64.5092,5462.11,960000
193,42.4311,193,-3871.762939453125,4451.68,64.4341,5381.38,965000
194,44.5329,194,-3941.555908203125,4896.78,64.3186,5605.97,970000
195,42.6987,195,-4006.345703125,4647.68,63.8847,5404.3,975000
196,48.7344,196,-4235.26318359375,4819.13,68.4784,5489.49,980000
197,36.3341,197,-3900.054931640625,3932.98,63.8942,4323.11,985000
198,37.6423,198,-4176.9296875,4050.47,62.848,4834.67,990000
199,44.2378,199,-4150.4921875,4065.92,65.6696,4967.9,995000
200,42.6683,200,-4190.74755859375,4885.19,63.8651,5490.26,1000000
201,43.8436,201,-4235.572265625,4299.16,65.4384,4946.84,1005000
202,42.0201,202,-4113.25634765625,3796.44,62.6569,4832.09,1010000
203,41.3898,203,-4288.92822265625,3648.66,62.8976,5287.5,1015000
204,39.8102,204,-4200.57275390625,3734.26,62.8633,5069.12,1020000
205,36.9449,205,-4234.36376953125,4274.04,61.5565,4979.99,1025000
206,37.9087,206,-4403.35009765625,4414.1,61.6423,5211.69,1030000
207,33.755,207,-4271.4814453125,3047.03,61.967,4356.77,1035000
208,38.9965,208,-4464.9970703125,3675.52,61.8098,4418.65,1040000
209,37.5261,209,-4548.59326171875,3422.72,61.9403,4683.68,1045000
210,36.9462,210,-4508.79443359375,4470.16,60.9715,5159.17,1050000
211,42.3385,211,-4597.29248046875,4525.16,63.0285,5420.62,1055000
212,43.9814,212,-4817.66943359375,4626.04,63.5333,4661.11,1060000
213,37.5883,213,-4705.6015625,4760.14,62.342,5519.69,1065000
214,41.8912,214,-4818.49951171875,4815.42,62.7409,4885.26,1070000
215,40.2394,215,-4791.0927734375,4226.41,62.3805,5344.95,1075000
216,44.4945,216,-4902.7705078125,4716.57,61.9653,5227.99,1080000
217,39.8331,217,-4921.2314453125,4507.9,62.4449,5211.09,1085000
218,42.0605,218,-4981.99951171875,4619.49,61.7565,5559.05,1090000
219,40.392,219,-4916.76904296875,4000.64,63.4484,3808.41,1095000
220,39.6735,220,-4999.0859375,4432.32,62.8796,4471.68,1100000
221,43.862,221,-5150.712890625,4425.86,64.633,4823.26,1105000
222,41.961,222,-5156.26416015625,3696.12,64.8116,5165.27,1110000
223,56.4182,223,-5370.46630859375,4672.93,68.542,5355.45,1115000
224,46.7662,224,-5238.5419921875,4413.38,65.2879,4354.66,1120000
225,46.454,225,-5383.27880859375,4621.44,64.8073,4883.02,1125000
226,46.2091,226,-5367.39501953125,3936.9,65.7301,4881.86,1130000
227,44.8585,227,-5419.54345703125,4317.93,66.4564,5398.23,1135000
228,44.3136,228,-5519.03857421875,4408.4,65.1787,4540.77,1140000
229,32.9342,229,-5166.83544921875,3870.22,63.7839,4686.17,1145000
230,43.0428,230,-5610.95068359375,4640.58,66.0413,4643.2,1150000
231,46.717,231,-5677.24853515625,4337.3,66.1241,5168.28,1155000
232,44.5572,232,-5668.33056640625,3252.61,67.0079,4108.4,1160000
233,45.4854,233,-5763.3828125,3993.68,66.9322,4967.16,1165000
234,48.2999,234,-5895.5546875,4230.75,64.8317,4776.61,1170000
235,40.4453,235,-5715.333984375,4840.64,63.2951,5124.31,1175000
236,42.3072,236,-5885.1455078125,4677.08,64.6937,5394.31,1180000
237,41.8385,237,-5984.4873046875,4497.9,63.4797,5064.93,1185000
238,49.6445,238,-6159.74755859375,4930.15,67.2341,5602.83,1190000
239,42.7223,239,-6029.7978515625,4694.83,65.3399,5175.96,1195000
240,44.7718,240,-6163.810546875,5101.44,65.0038,5536.89,1200000
241,45.3836,241,-6319.5087890625,4461.4,66.7349,5279.71,1205000
242,45.7229,242,-6243.04296875,4164.66,67.1991,5159.75,1210000
243,45.3272,243,-6366.001953125,4764.84,66.1728,5423.34,1215000
244,43.621,244,-6371.3095703125,3945.95,63.6186,5616.07,1220000
245,38.6169,245,-6000.98583984375,4676.39,63.6068,5063.65,1225000
246,40.8142,246,-6413.427734375,4058.28,63.0175,5134.73,1230000
247,43.1029,247,-6604.76123046875,4448.3,65.4585,4887.72,1235000
248,42.7006,248,-6500.39501953125,4798.27,63.4475,5396.14,1240000
249,41.4598,249,-6657.650390625,4634.93,64.4349,5252.49,1245000
250,38.203,250,-6334.82470703125,4425.81,62.6062,5205.33,1250000
251,45.2561,251,-6881.8203125,4504.76,66.4082,5269.93,1255000
252,43.3723,252,-6800.07666015625,4143.51,64.5292,5460.8,1260000
253,45.6826,253,-6988.42822265625,4342.38,65.9047,5716.83,1265000
254,45.8052,254,-7016.927734375,4826.13,65.9564,5567.93,1270000
255,37.251,255,-6687.16845703125,3498.92,63.2867,3787.95,1275000
256,37.2861,256,-6785.46044921875,4021.46,63.31,5207.92,1280000
257,43.8287,257,-6973.4765625,4755.33,64.0521,5283.39,1285000
258,42.8277,258,-6969.609375,4697.91,64.0512,5210.03,1290000
259,45.4244,259,-7265.2666015625,3643.47,67.4025,5131.95,1295000
260,49.6366,260,-7429.0947265625,4384.08,69.0148,4807.57,1300000
261,41.8668,261,-7116.35986328125,4048.31,64.6271,5200.47,1305000
262,39.9288,262,-7029.87890625,3846.79,62.9783,5025.54,1310000
263,33.0384,263,-6973.45361328125,3439.78,61.2169,3857.1,1315000
264,39.4047,264,-7205.50244140625,3606.27,63.9421,3844.88,1320000
265,34.6319,265,-7031.765625,3691.4,63.3132,5234.36,1325000
266,41.3811,266,-7417.28173828125,5020.0,63.7913,5314.51,1330000
267,40.2554,267,-7343.787109375,4476.61,62.9948,5486.41,1335000
268,42.0068,268,-7309.5654296875,4857.8,62.8931,4665.51,1340000
269,40.9128,269,-7316.8466796875,4237.67,63.1633,5363.49,1345000
270,42.4488,270,-7552.26025390625,4552.31,62.8745,5734.34,1350000
271,39.1913,271,-7478.63623046875,3206.13,63.2885,4313.84,1355000
272,40.0734,272,-7549.029296875,4250.31,63.2167,4881.93,1360000
273,36.383,273,-7311.0341796875,3074.62,61.513,4808.42,1365000
274,32.2021,274,-7073.048828125,2232.61,60.0068,3574.17,1370000
275,53.9728,275,-8168.68896484375,4632.59,69.2626,5392.34,1375000
