Running Reverse KL,Real Det Return,Running Update Time,Itration,Running Forward KL,Reward Loss,Running Env Steps,Real Sto Return
16.5819,3126.49,32,32,24.9001,-60.31027603149414,160000,2686.71
17.7404,3013.21,33,33,24.3991,-95.13066864013672,165000,2150.95
18.4477,3105.04,34,34,25.6721,-86.80722045898438,170000,2387.62
22.5873,2602.75,35,35,25.0897,-158.58767700195312,175000,1234.0
18.4208,3134.04,36,36,25.5117,-107.97132873535156,180000,2379.36
22.4624,3118.56,37,37,25.0624,-149.65573120117188,185000,1686.2
18.1628,3064.51,38,38,24.2375,-117.0835189819336,190000,1911.75
16.6658,3141.38,39,39,23.4802,-71.71599578857422,195000,2366.39
24.9495,1535.0,40,40,25.2806,-185.204345703125,200000,1084.56
22.3411,3117.06,41,41,24.2986,-142.2251739501953,205000,2259.61
18.6407,3114.8,42,42,24.9007,-100.24996185302734,210000,2367.08
19.2085,3141.3,43,43,24.32,-110.02606201171875,215000,2773.99
19.8082,3145.11,44,44,24.2337,-132.89202880859375,220000,1629.6
17.4143,2985.65,45,45,24.5516,-95.22317504882812,225000,2375.95
26.8021,2529.14,46,46,25.9851,-209.44818115234375,230000,1347.53
25.5622,1344.32,47,47,26.8241,-223.59364318847656,235000,1169.78
24.1918,2736.26,48,48,25.4091,-179.14370727539062,240000,1499.21
24.7718,3157.73,49,49,25.5128,-182.3494415283203,245000,1539.19
22.8009,2570.23,50,50,25.0619,-172.17971801757812,250000,1846.3
29.9597,2489.17,51,51,25.2571,-215.21279907226562,255000,1541.34
29.1129,2796.61,52,52,26.0016,-237.90261840820312,260000,1489.69
30.7301,2089.14,53,53,25.4345,-220.91099548339844,265000,1552.07
24.1815,3133.26,54,54,24.9003,-161.7967529296875,270000,1948.46
34.8428,1325.03,55,55,25.7315,-271.9151611328125,275000,1303.98
31.0157,1957.89,56,56,25.4166,-235.88011169433594,280000,1440.29
25.3318,3136.14,57,57,24.5527,-199.7329864501953,285000,1785.63
32.1803,1932.54,58,58,25.3181,-274.0693054199219,290000,1514.92
22.3859,3148.37,59,59,25.7894,-174.38087463378906,295000,2329.06
25.6207,2945.01,60,60,26.0357,-263.9933776855469,300000,1568.88
26.9828,1793.29,61,61,25.7791,-282.49151611328125,305000,1526.65
31.8391,1488.87,62,62,25.4518,-322.09320068359375,310000,1207.67
28.2772,2958.3,63,63,26.0689,-282.2474670410156,315000,1594.93
27.2489,3080.21,64,64,25.1368,-271.42291259765625,320000,1785.35
18.8417,3112.25,65,65,25.0389,-109.12296295166016,325000,2566.65
26.3363,2874.97,66,66,25.3545,-282.27679443359375,330000,1652.62
26.2611,2871.62,67,67,25.5619,-309.941162109375,335000,1531.72
25.672,2828.66,68,68,24.7027,-259.94415283203125,340000,1864.11
32.6207,1379.47,69,69,25.868,-365.8143005371094,345000,1215.59
27.6869,1837.92,70,70,25.3944,-347.73486328125,350000,1392.37
25.7912,3026.34,71,71,24.513,-275.8420715332031,355000,2072.53
20.1738,3179.77,72,72,24.6672,-244.70680236816406,360000,1769.85
23.8665,2621.26,73,73,25.0914,-307.9029846191406,365000,1497.03
27.7093,2221.88,74,74,24.9873,-348.4482421875,370000,1509.52
30.3561,2852.82,75,75,25.2386,-332.260009765625,375000,1710.47
21.7883,3166.51,76,76,23.9502,-217.39572143554688,380000,2159.8
33.76,2054.12,77,77,24.9961,-406.48858642578125,385000,1512.54
31.9244,1628.3,78,78,25.657,-406.4593811035156,390000,1426.53
32.223,2491.18,79,79,25.0928,-389.5466003417969,395000,1441.43
20.2935,3215.37,80,80,24.1196,-194.00608825683594,400000,2383.22
30.883,2789.95,81,81,24.5688,-402.968505859375,405000,1370.23
20.9888,3156.52,82,82,24.2085,-251.83200073242188,410000,2137.74
28.5121,2686.11,83,83,25.4306,-401.9552917480469,415000,1826.8
26.3518,2409.68,84,84,24.6881,-417.68414306640625,420000,1654.51
28.1708,3152.01,85,85,24.858,-429.061279296875,425000,1733.93
21.3333,2267.29,86,86,24.6116,-293.1658935546875,430000,2148.82
27.7636,2946.36,87,87,24.7054,-457.5732421875,435000,1647.46
28.2328,2583.06,88,88,24.803,-410.1574401855469,440000,1839.62
27.4808,3267.56,89,89,25.2251,-425.6777038574219,445000,1730.5
42.506,1515.8,90,90,25.1799,-493.0145568847656,450000,1252.9
24.4281,2638.72,91,91,24.8407,-448.6578369140625,455000,1653.26
30.7763,1619.93,92,92,25.5178,-513.3228759765625,460000,1338.19
34.5456,3179.89,93,93,24.7976,-504.2817077636719,465000,1531.51
32.1387,3121.9,94,94,25.7002,-501.9302978515625,470000,1407.18
30.5079,1983.53,95,95,24.8137,-558.4628295898438,475000,1343.61
28.9527,3036.21,96,96,24.4144,-474.0291748046875,480000,1693.88
30.4236,2377.92,97,97,24.7778,-500.9729919433594,485000,1560.14
29.0095,1483.49,98,98,24.6527,-509.8437805175781,490000,1870.0
22.8476,2793.45,99,99,24.7762,-493.1463928222656,495000,1565.26
30.3162,1745.59,100,100,23.9957,-436.8409118652344,500000,1637.66
28.7127,3022.39,101,101,24.594,-452.3993835449219,505000,2253.88
41.7614,1848.68,102,102,25.4925,-631.0130004882812,510000,1504.53
21.9929,1448.79,103,103,25.0407,-558.2457885742188,515000,1519.02
32.7558,1324.89,104,104,25.1363,-565.0928344726562,520000,1703.42
20.329,1454.05,105,105,25.0821,-510.3448486328125,525000,1750.91
22.0491,2332.41,106,106,24.2118,-400.0299987792969,530000,1950.78
22.1466,1622.85,107,107,24.3158,-530.1298828125,535000,1729.05
30.4459,1810.52,108,108,24.046,-594.0283203125,540000,1643.26
21.8704,2099.48,109,109,22.7889,-462.94110107421875,545000,1777.14
36.1932,1763.82,110,110,24.78,-647.2896118164062,550000,1438.61
30.2175,1856.46,111,111,24.6513,-655.8787841796875,555000,1441.61
28.3331,1906.92,112,112,24.6994,-511.0868225097656,560000,1916.92
27.9368,1582.98,113,113,23.7821,-596.0762329101562,565000,1671.7
24.3791,1164.56,114,114,24.1106,-631.27294921875,570000,1601.39
37.0875,1786.05,115,115,24.6194,-737.7865600585938,575000,1286.22
34.5897,1296.71,116,116,25.162,-743.7229614257812,580000,1415.17
21.2691,1432.81,117,117,25.0165,-633.9415893554688,585000,1136.31
22.3422,1620.42,118,118,25.0253,-671.6219482421875,590000,1423.16
36.7353,1558.31,119,119,25.0324,-781.6131591796875,595000,1459.49
22.3694,1460.54,120,120,24.9649,-628.7391357421875,600000,1453.27
22.0347,1750.39,121,121,24.7347,-665.949951171875,605000,1358.03
22.4358,1367.21,122,122,24.9793,-683.5747680664062,610000,1378.58
22.475,1255.84,123,123,24.512,-509.2327575683594,615000,1798.2
24.4994,1330.43,124,124,25.677,-694.9946899414062,620000,1360.67
20.8302,1470.35,125,125,25.0664,-738.8218383789062,625000,1609.03
22.4619,1636.11,126,126,25.0516,-714.0259399414062,630000,1504.71
22.0621,1281.93,127,127,24.3461,-697.7637939453125,635000,1404.98
25.6163,1418.48,128,128,25.471,-776.52197265625,640000,1262.18
22.4178,1736.6,129,129,24.7506,-660.9390258789062,645000,1465.6
23.263,1947.01,130,130,24.6736,-697.4461059570312,650000,1621.68
23.0473,1223.69,131,131,24.6029,-656.0875854492188,655000,1639.33
23.7757,1597.62,132,132,24.8879,-810.6145629882812,660000,1436.52
18.354,1478.58,133,133,24.6647,-740.8637084960938,665000,1623.86
30.8001,1766.41,134,134,24.3751,-884.9568481445312,670000,1351.62
20.0364,1339.94,135,135,24.1952,-718.5480346679688,675000,1669.25
19.7299,1397.23,136,136,24.6322,-766.1504516601562,680000,1494.59
22.2033,1462.26,137,137,24.7994,-780.755615234375,685000,1509.57
28.8687,1383.16,138,138,24.6407,-865.7537841796875,690000,1574.08
22.2032,1975.54,139,139,25.2923,-792.8980102539062,695000,1611.43
20.0146,1469.68,140,140,24.6708,-828.0957641601562,700000,1649.04
19.6907,2219.74,141,141,23.8966,-759.5706787109375,705000,1922.75
19.786,1468.2,142,142,24.1945,-842.646240234375,710000,1593.35
21.7306,3005.26,143,143,23.8582,-791.6332397460938,715000,1585.13
19.4496,2042.12,144,144,24.1495,-802.9339599609375,720000,1552.47
22.7449,1828.04,145,145,24.9985,-783.7897338867188,725000,1571.32
21.106,2153.91,146,146,24.2465,-821.9320678710938,730000,1737.76
19.1759,1717.49,147,147,24.6131,-879.3262329101562,735000,1571.85
22.5055,1573.94,148,148,25.495,-929.9520263671875,740000,1241.74
21.3741,1967.87,149,149,23.92,-868.8365478515625,745000,1570.95
21.6501,1317.71,150,150,23.767,-833.2879638671875,750000,1565.8
21.7682,2344.06,151,151,24.4454,-758.2651977539062,755000,1969.4
25.2153,1409.59,152,152,24.4063,-894.648681640625,760000,1416.73
20.834,1294.94,153,153,24.1599,-892.9434814453125,765000,1502.68
25.8777,1681.97,154,154,24.8935,-948.4341430664062,770000,1376.79
19.1473,1541.02,155,155,23.9096,-882.6903076171875,775000,1649.32
18.8738,1562.78,156,156,24.3094,-972.5301513671875,780000,1471.1
21.1299,1392.08,157,157,23.9112,-921.1224365234375,785000,1553.82
20.731,1429.11,158,158,24.7059,-927.773193359375,790000,1474.12
25.5658,1697.37,159,159,24.4496,-902.6865844726562,795000,1450.71
29.5085,1171.38,160,160,24.123,-988.915771484375,800000,1604.99
20.798,1814.04,161,161,24.7724,-883.4884033203125,805000,1646.03
22.3896,2159.12,162,162,23.8214,-872.355224609375,810000,1957.52
20.7773,1501.98,163,163,24.6084,-1024.1370849609375,815000,1488.11
28.8078,1407.1,164,164,23.9402,-979.8756713867188,820000,1639.73
20.7012,1509.84,165,165,25.1793,-753.2109375,825000,1626.09
20.1827,1419.57,166,166,24.6199,-842.89404296875,830000,1534.37
18.6319,1998.6,167,167,24.7603,-682.0323486328125,835000,1733.82
20.7055,1650.34,168,168,24.2843,-852.965576171875,840000,1670.23
21.6623,1382.18,169,169,25.2233,-1008.096435546875,845000,1442.71
23.5131,1995.62,170,170,24.4008,-995.8961791992188,850000,1752.71
25.9285,1427.4,171,171,24.8165,-1016.9925537109375,855000,1663.41
31.5,1650.07,172,172,25.499,-1125.6343994140625,860000,1547.53
25.5003,1233.93,173,173,24.5325,-1180.657470703125,865000,1514.9
26.0833,1604.75,174,174,24.7321,-1039.9462890625,870000,1552.86
22.4906,1779.72,175,175,24.1523,-965.7975463867188,875000,1596.46
19.0331,1659.81,176,176,24.2228,-956.7271118164062,880000,1511.87
17.6407,1763.55,177,177,23.7223,-926.6045532226562,885000,1712.87
30.6987,1593.79,178,178,23.1933,-1140.5281982421875,890000,1603.08
19.9853,1976.41,179,179,23.7433,-893.1317138671875,895000,1856.96
18.1087,1332.53,180,180,23.8907,-929.77587890625,900000,1712.63
26.516,2239.62,181,181,22.0989,-925.76171875,905000,1847.37
21.9684,1467.7,182,182,24.2977,-990.5999145507812,910000,1849.12
26.5957,1563.97,183,183,23.649,-1142.3170166015625,915000,1642.71
17.8829,1904.15,184,184,23.7012,-826.9100341796875,920000,1887.16
16.8732,1509.99,185,185,23.2356,-913.8968505859375,925000,1846.4
14.3208,1242.27,186,186,24.0039,-1082.6614990234375,930000,1337.07
17.6478,1383.95,187,187,24.1388,-1205.74169921875,935000,1685.0
19.4401,1813.06,188,188,24.7276,-1126.7872314453125,940000,1706.09
16.7113,1792.97,189,189,24.1536,-979.7527465820312,945000,1710.56
30.4463,2232.81,190,190,24.7459,-1087.1514892578125,950000,1796.41
20.7304,2149.81,191,191,23.9799,-1070.2147216796875,955000,2117.25
25.9363,1756.95,192,192,24.3308,-1154.579345703125,960000,1654.47
22.3458,1575.76,193,193,24.1459,-1345.686767578125,965000,1430.9
22.5018,2409.47,194,194,22.8714,-905.1446533203125,970000,2412.94
22.6115,1621.83,195,195,25.4298,-1271.734375,975000,1603.29
24.2419,2247.46,196,196,24.3269,-1182.7835693359375,980000,1537.48
24.2835,1538.0,197,197,24.6165,-1192.077880859375,985000,1595.64
28.9445,1628.84,198,198,24.5574,-1336.2943115234375,990000,1388.83
21.511,1796.75,199,199,24.6838,-1066.101318359375,995000,1970.1
