Itration,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time
74,358.38,370000,347.35,-2613.66015625,30.9678,67.3811,74
75,2457.49,375000,2455.37,-1131.4617919921875,27.4589,21.7356,75
76,109.99,380000,109.96,-2446.784423828125,24.861,28.3351,76
77,598.65,385000,331.05,-2306.6064453125,25.832,45.1105,77
78,798.41,390000,1208.26,-928.528076171875,27.8706,18.0472,78
79,1896.76,395000,1762.37,-1734.4171142578125,29.9541,19.8895,79
80,474.72,400000,431.36,-2433.409912109375,25.1052,42.7872,80
81,162.5,405000,172.12,-1519.597900390625,28.887,19.0458,81
82,2366.25,410000,2364.71,-1540.387451171875,29.4173,24.7619,82
83,2261.55,415000,2273.72,-1364.810302734375,28.5697,20.7438,83
84,588.1,420000,455.85,-3272.970458984375,29.7795,35.0946,84
85,660.38,425000,745.92,-3061.851806640625,26.2636,62.0743,85
86,394.61,430000,264.58,-2578.8974609375,31.8469,75.1386,86
87,1166.67,435000,1640.16,-2126.192138671875,31.7856,26.8873,87
88,227.28,440000,225.56,-2274.418701171875,33.6991,122.8596,88
89,172.29,445000,150.62,-2362.970947265625,32.6265,24.768,89
90,715.59,450000,464.15,-2705.806640625,25.0973,115.8746,90
91,582.32,455000,600.46,-3002.616455078125,31.4861,91.9653,91
92,616.23,460000,571.29,-3687.955810546875,31.8576,24.7296,92
93,2172.58,465000,2169.21,-1737.75146484375,29.3575,21.6164,93
94,845.63,470000,399.06,-2095.969482421875,25.5725,33.6973,94
95,2635.42,475000,2612.95,-1327.2825927734375,25.4054,20.2701,95
96,2393.04,480000,2427.41,-1352.911865234375,26.7751,17.8931,96
97,530.96,485000,519.18,-3346.81787109375,29.294,73.5122,97
98,90.66,490000,90.35,-2181.025146484375,30.9162,24.1933,98
99,316.77,495000,146.92,-4115.67919921875,37.8178,56.8398,99
100,1004.57,500000,1004.67,-4289.39306640625,39.582,39.1579,100
101,95.82,505000,95.86,-1793.12353515625,26.787,16.0122,101
102,625.42,510000,591.55,-3260.75,27.5965,24.3073,102
103,544.47,515000,684.55,-3197.631591796875,26.3374,31.8828,103
104,977.54,520000,754.89,-2760.049560546875,26.7786,24.9629,104
105,1033.03,525000,1013.12,-4497.75927734375,36.8352,32.6809,105
106,618.71,530000,704.87,-4100.158203125,25.7742,35.8614,106
107,677.59,535000,407.27,-4349.79931640625,28.102,108.0662,107
108,239.71,540000,241.35,-2669.85693359375,30.1849,18.1989,108
109,1007.49,545000,1008.72,-4657.26123046875,38.3468,33.4054,109
110,1001.14,550000,1001.94,-4799.23583984375,38.7561,43.0801,110
111,248.24,555000,246.57,-4724.49853515625,38.5304,37.2748,111
112,1007.08,560000,1007.32,-4861.20751953125,39.749,54.3633,112
113,998.81,565000,1030.18,-4625.595703125,32.0927,44.1625,113
114,974.69,570000,978.7,-4864.09521484375,37.3023,29.9076,114
115,89.5,575000,87.77,-4919.8193359375,38.8949,56.0503,115
116,1018.89,580000,1018.14,-5180.98193359375,36.1602,31.5111,116
117,988.33,585000,986.41,-5093.0322265625,38.5129,28.2111,117
118,1040.35,590000,1040.23,-5263.1728515625,36.867,24.073,118
119,1064.41,595000,1062.3,-5202.6181640625,35.9099,34.0648,119
120,1062.05,600000,1062.44,-5333.39453125,38.1852,37.2125,120
121,540.65,605000,1080.15,-5318.33544921875,36.7247,36.552,121
122,983.47,610000,987.23,-5466.9140625,38.9487,35.1272,122
123,971.57,615000,972.68,-5572.744140625,37.0911,39.5225,123
124,1010.47,620000,1009.96,-5677.2490234375,35.984,38.416,124
125,1111.83,625000,1046.47,-5611.255859375,32.6033,39.5185,125
126,1011.41,630000,1014.17,-5731.78271484375,36.9611,40.9291,126
127,545.53,635000,560.8,-4861.83447265625,28.0963,31.6231,127
128,1014.63,640000,1014.68,-5895.04345703125,36.6356,37.009,128
129,973.29,645000,973.5,-6119.5966796875,41.0207,52.1095,129
130,1004.55,650000,1004.52,-6158.15234375,40.3438,43.9117,130
131,1003.85,655000,1004.25,-6266.35888671875,39.3326,45.3894,131
132,1002.63,660000,1003.39,-6398.9970703125,39.7941,44.1364,132
133,1024.42,665000,971.54,-2662.01025390625,23.0966,55.1161,133
