Running Update Time,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Itration,Reward Loss,Running Forward KL
35,175000,2064.46,1672.03,16.762,35,-1404.7442626953125,157.539
36,180000,2029.51,1631.31,16.2606,36,-1449.808349609375,157.2524
37,185000,2041.58,1670.05,16.1909,37,-1474.6041259765625,157.2024
38,190000,2055.47,1686.42,16.2671,38,-1503.1552734375,157.2777
39,195000,2082.15,1708.19,16.708,39,-1546.771240234375,157.2323
40,200000,2067.2,1714.21,16.1039,40,-1574.62353515625,157.0563
41,205000,2035.05,1694.25,16.0383,41,-1607.6077880859375,157.2212
42,210000,2045.12,1684.05,16.3205,42,-1644.57080078125,157.0616
43,215000,2022.86,1701.21,16.2433,43,-1679.943115234375,157.2008
44,220000,2081.47,1722.46,16.2166,44,-1723.87109375,157.0247
45,225000,2087.56,1724.0,16.1692,45,-1749.7642822265625,157.0728
46,230000,2074.93,1726.64,16.1283,46,-1788.6282958984375,157.0851
47,235000,2115.83,1736.66,16.1955,47,-1836.6859130859375,157.1393
48,240000,2084.52,1757.38,16.1535,48,-1883.546142578125,157.0165
49,245000,2131.41,1752.58,16.4537,49,-1925.5723876953125,157.1272
50,250000,2105.49,1734.47,15.7972,50,-1944.32763671875,156.8892
51,255000,2167.72,1749.33,16.3494,51,-1993.32666015625,157.0342
52,260000,2101.67,1740.99,15.9098,52,-2033.8406982421875,156.9094
53,265000,2095.7,1733.37,16.1852,53,-2062.98828125,156.9603
54,270000,2136.65,1769.56,16.4334,54,-2111.04150390625,157.2918
55,275000,2101.51,1768.94,16.0174,55,-2136.2919921875,156.9814
56,280000,2112.9,1768.79,16.0697,56,-2178.217529296875,157.1391
57,285000,2135.86,1760.82,16.1709,57,-2220.754638671875,156.9579
58,290000,2153.31,1774.2,16.6017,58,-2272.794677734375,157.1972
59,295000,2103.17,1768.25,16.1983,59,-2299.467041015625,157.0738
60,300000,2129.56,1771.8,15.9837,60,-2327.240966796875,156.8961
61,305000,2141.01,1774.24,15.8484,61,-2376.83154296875,156.9557
62,310000,2167.52,1795.75,16.2916,62,-2422.312744140625,156.9924
63,315000,2105.7,1776.27,15.9142,63,-2458.41259765625,157.0498
64,320000,2065.53,1764.78,15.9685,64,-2504.279296875,156.9181
65,325000,2135.37,1794.36,16.1771,65,-2529.5888671875,156.8811
66,330000,2113.97,1769.84,15.7453,66,-2579.150634765625,156.913
67,335000,2140.8,1783.46,15.9006,67,-2623.041748046875,156.9901
68,340000,2124.51,1800.18,15.748,68,-2654.574951171875,156.8854
69,345000,2145.08,1753.56,16.0327,69,-2710.1982421875,156.9911
70,350000,2094.67,1784.49,15.4575,70,-2722.33544921875,156.8873
71,355000,2137.75,1789.75,15.798,71,-2796.367431640625,156.8085
72,360000,2161.1,1789.97,15.8504,72,-2825.398193359375,156.7989
73,365000,2188.62,1838.77,16.2881,73,-2870.193603515625,157.0016
74,370000,2144.03,1777.19,15.609,74,-2896.3095703125,156.9271
75,375000,2158.44,1811.42,15.8108,75,-2951.71240234375,157.0197
76,380000,2152.03,1804.43,15.9091,76,-2995.997314453125,156.9128
77,385000,2165.77,1826.56,15.8051,77,-3034.9130859375,156.9399
78,390000,2141.17,1797.22,15.6721,78,-3086.087890625,156.8742
79,395000,2173.36,1838.2,15.9024,79,-3110.472412109375,156.8408
80,400000,2157.08,1796.03,15.5799,80,-3170.738037109375,156.9093
81,405000,2120.98,1791.56,15.718,81,-3198.841064453125,156.8102
82,410000,2209.6,1848.09,15.9514,82,-3238.3681640625,156.7886
83,415000,2199.38,1820.92,15.9593,83,-3285.92431640625,156.7376
84,420000,2145.07,1809.06,16.0046,84,-3357.29150390625,157.1052
85,425000,2136.58,1793.05,15.8838,85,-3393.912109375,157.0173
86,430000,2179.15,1805.45,15.8774,86,-3433.8671875,156.932
87,435000,2160.68,1846.13,15.8732,87,-3467.469482421875,156.8264
88,440000,2190.97,1863.91,15.7893,88,-3515.658447265625,156.7287
89,445000,2167.62,1826.58,15.8163,89,-3577.7998046875,156.7825
90,450000,2119.88,1808.95,15.6984,90,-3607.8427734375,156.9018
91,455000,2159.93,1842.63,15.6233,91,-3650.884521484375,156.7261
92,460000,2234.06,1883.78,15.838,92,-3694.141845703125,156.6727
93,465000,2170.61,1850.87,15.8774,93,-3742.30810546875,156.9683
94,470000,2130.9,1832.83,15.6526,94,-3803.9912109375,156.7796
95,475000,2205.07,1869.95,15.8296,95,-3829.1748046875,156.8866
96,480000,2147.52,1811.05,15.565,96,-3882.13330078125,156.8666
97,485000,2179.8,1855.77,15.8831,97,-3936.901123046875,156.7654
98,490000,2202.66,1839.06,15.931,98,-3954.342041015625,156.7446
99,495000,2203.83,1856.79,15.9786,99,-4020.85498046875,156.8718
100,500000,2185.54,1873.12,15.8834,100,-4063.971923828125,156.796
101,505000,2135.49,1825.29,15.7612,101,-4098.6630859375,156.8345
102,510000,2192.95,1838.55,15.7689,102,-4136.669921875,156.6449
103,515000,2182.44,1852.25,15.8846,103,-4209.6318359375,156.9796
104,520000,2167.54,1833.95,15.6296,104,-4264.81982421875,156.97
105,525000,2223.27,1874.03,15.8248,105,-4325.31298828125,156.8183
106,530000,2194.96,1858.54,15.5127,106,-4335.220703125,156.6935
107,535000,2164.03,1854.04,15.7729,107,-4414.66455078125,156.8359
108,540000,2239.44,1860.17,15.6507,108,-4449.22412109375,156.735
109,545000,2242.49,1910.5,15.899,109,-4500.80224609375,156.8077
110,550000,2219.56,1917.71,15.7868,110,-4533.6396484375,156.7557
111,555000,2198.5,1877.1,15.5598,111,-4582.7646484375,156.6592
112,560000,2144.96,1833.26,15.3692,112,-4625.7998046875,156.7486
113,565000,2235.66,1886.45,15.7774,113,-4686.41748046875,156.7876
114,570000,2178.31,1841.8,15.4124,114,-4749.60205078125,156.8382
115,575000,2210.17,1875.64,16.0408,115,-4784.6845703125,156.8282
116,580000,2190.47,1850.17,15.678,116,-4861.9169921875,156.8933
117,585000,2202.76,1861.49,15.7252,117,-4879.84033203125,156.6346
118,590000,2235.34,1859.67,15.7119,118,-4940.09375,156.7833
119,595000,2216.4,1861.33,15.6101,119,-4981.421875,156.635
120,600000,2223.66,1891.63,15.8014,120,-5039.1826171875,156.8053
121,605000,2247.39,1910.87,16.2615,121,-5132.35546875,156.9758
122,610000,2277.7,1899.74,15.6923,122,-5154.50732421875,156.7698
123,615000,2213.54,1901.95,15.5451,123,-5189.416015625,156.6541
124,620000,2275.83,1905.3,16.0951,124,-5263.20361328125,156.8502
125,625000,2165.81,1846.04,15.277,125,-5260.85888671875,156.8118
126,630000,2224.27,1878.17,15.831,126,-5361.74853515625,156.9386
127,635000,2224.56,1878.99,15.6116,127,-5387.916015625,156.8379
128,640000,2205.95,1892.78,15.6938,128,-5458.90869140625,156.8658
129,645000,2273.9,1895.1,15.7685,129,-5536.34912109375,156.7307
130,650000,2286.03,1942.8,16.0234,130,-5567.23974609375,156.6802
131,655000,2229.66,1899.34,15.6722,131,-5643.513671875,156.7515
132,660000,2265.67,1917.13,15.7793,132,-5691.7998046875,156.7244
133,665000,2223.89,1888.55,15.5474,133,-5694.65478515625,156.7775
134,670000,2200.86,1873.93,15.676,134,-5767.41015625,156.6766
135,675000,2218.77,1873.1,15.6181,135,-5837.685546875,156.7628
136,680000,2270.07,1893.66,15.4796,136,-5885.8974609375,156.7164
137,685000,2219.25,1853.73,15.6813,137,-5902.86474609375,156.6323
138,690000,2263.45,1915.38,15.5908,138,-5979.8759765625,156.7386
139,695000,2245.32,1882.97,15.5418,139,-6023.02734375,156.7868
140,700000,2230.56,1892.21,15.6673,140,-6124.068359375,156.8072
141,705000,2251.14,1890.41,15.5529,141,-6137.6083984375,156.7096
142,710000,2243.65,1884.25,15.7282,142,-6230.5703125,156.8656
143,715000,2244.5,1894.93,15.6237,143,-6270.37548828125,156.7927
144,720000,2267.25,1892.43,15.7412,144,-6349.32666015625,156.8138
145,725000,2244.19,1898.86,15.4814,145,-6388.7138671875,156.695
146,730000,2253.8,1918.01,15.7295,146,-6453.8251953125,156.71
147,735000,2251.01,1907.65,15.5399,147,-6473.09033203125,156.6752
148,740000,2213.38,1873.58,15.3905,148,-6554.63818359375,156.8171
149,745000,2268.71,1923.43,15.7387,149,-6617.7158203125,156.5179
150,750000,2232.19,1896.25,15.644,150,-6698.8857421875,156.7411
151,755000,2240.3,1909.41,15.5079,151,-6743.89990234375,156.6561
152,760000,2248.85,1885.19,15.472,152,-6782.00341796875,156.6444
153,765000,2248.52,1896.73,15.6182,153,-6855.96337890625,156.6641
154,770000,2201.66,1897.21,15.4497,154,-6894.10791015625,156.8078
155,775000,2247.41,1890.93,15.3076,155,-6934.7080078125,156.5808
156,780000,2229.84,1887.75,15.3352,156,-7036.439453125,156.7261
157,785000,2239.3,1884.42,15.513,157,-7081.494140625,156.8108
158,790000,2252.92,1887.09,15.7057,158,-7156.953125,156.7456
159,795000,2264.62,1889.05,15.5961,159,-7231.17236328125,156.6918
160,800000,2251.62,1907.31,15.6488,160,-7288.9892578125,156.6894
161,805000,2212.35,1895.72,15.5604,161,-7322.05712890625,156.5353
162,810000,2247.06,1923.2,15.5378,162,-7401.87890625,156.6046
163,815000,2242.74,1904.68,15.3814,163,-7477.236328125,156.5415
164,820000,2217.39,1903.3,15.3278,164,-7467.89501953125,156.7078
165,825000,2276.05,1927.04,15.5234,165,-7543.17333984375,156.6797
166,830000,2236.06,1899.72,15.4989,166,-7597.98583984375,156.6955
167,835000,2277.27,1938.54,15.8101,167,-7707.427734375,156.6413
168,840000,2242.95,1920.17,15.4353,168,-7680.30908203125,156.7102
169,845000,2287.5,1944.8,15.3286,169,-7762.86962890625,156.608
170,850000,2241.17,1914.47,15.3848,170,-7809.6630859375,156.6128
171,855000,2254.1,1919.8,15.461,171,-7829.75341796875,156.664
172,860000,2245.59,1916.08,15.5135,172,-7927.32958984375,156.7138
173,865000,2269.9,1936.22,15.8974,173,-7951.873046875,156.8185
174,870000,2277.32,1931.31,15.5052,174,-7930.45361328125,156.6129
175,875000,2288.15,1962.69,15.6388,175,-8009.54541015625,156.6957
176,880000,2276.51,1932.02,15.5248,176,-8092.20703125,156.665
177,885000,2237.32,1911.5,15.5826,177,-8097.15283203125,156.5995
178,890000,2279.84,1922.12,15.4512,178,-8130.34130859375,156.6966
179,895000,2254.36,1929.29,15.626,179,-8196.0849609375,156.5226
180,900000,2302.55,1930.8,15.5983,180,-8240.1513671875,156.628
181,905000,2277.29,1941.59,15.4678,181,-8272.9873046875,156.6325
182,910000,2258.45,1903.03,15.3704,182,-8314.884765625,156.6812
183,915000,2269.33,1920.3,15.3515,183,-8349.1640625,156.7091
184,920000,2258.39,1917.89,15.5199,184,-8400.802734375,156.6932
185,925000,2286.22,1916.8,15.5797,185,-8406.8857421875,156.5377
186,930000,2271.27,1933.71,15.6285,186,-8503.4365234375,156.7648
187,935000,2296.19,1919.3,15.4108,187,-8507.68359375,156.5303
188,940000,2315.5,1959.09,15.5115,188,-8557.5556640625,156.6656
189,945000,2293.41,1948.4,15.7646,189,-8600.9140625,156.6579
190,950000,2231.41,1949.6,15.4627,190,-8626.1884765625,156.6337
191,955000,2242.69,1906.75,15.3947,191,-8679.263671875,156.8283
192,960000,2289.67,1935.97,15.3613,192,-8718.8818359375,156.5776
193,965000,2286.23,1960.01,15.8623,193,-8777.32421875,156.5067
194,970000,2271.8,1929.1,15.4985,194,-8835.6572265625,156.5746
195,975000,2260.69,1898.3,15.2369,195,-8876.9638671875,156.635
196,980000,2295.47,1950.37,15.5408,196,-8899.546875,156.7052
197,985000,2264.06,1935.31,15.4532,197,-8911.392578125,156.52
198,990000,2273.84,1928.25,15.497,198,-8945.9150390625,156.7489
199,995000,2240.04,1894.53,14.9638,199,-8983.6376953125,156.7332
200,1000000,2314.69,1952.73,15.5712,200,-9063.65625,156.628
201,1005000,2326.24,1974.57,15.745,201,-9107.763671875,156.5569
202,1010000,2299.48,1952.38,15.8324,202,-9177.0361328125,156.66
203,1015000,2299.65,1975.07,15.9359,203,-9215.6396484375,156.7942
204,1020000,2318.2,1966.88,15.6878,204,-9259.130859375,156.6414
205,1025000,2320.01,1978.73,15.7436,205,-9279.4443359375,156.6791
206,1030000,2283.23,1945.93,15.4901,206,-9335.208984375,156.7088
207,1035000,2315.1,1965.26,15.6998,207,-9382.921875,156.6868
208,1040000,2316.84,1959.39,15.695,208,-9403.94921875,156.5551
209,1045000,2316.79,1963.7,15.7835,209,-9484.9990234375,156.5932
210,1050000,2306.19,1957.47,15.6084,210,-9487.484375,156.7023
211,1055000,2313.36,1974.35,15.6993,211,-9555.2822265625,156.8352
212,1060000,2303.89,1965.37,15.6543,212,-9580.1630859375,156.6232
213,1065000,2308.47,1976.5,15.825,213,-9625.4931640625,156.6872
214,1070000,2332.11,1972.72,15.8832,214,-9663.7734375,156.7016
215,1075000,2313.89,1966.66,15.8798,215,-9707.14453125,156.6485
216,1080000,2324.62,1970.38,15.8438,216,-9722.701171875,156.6992
217,1085000,2326.17,1953.32,15.7206,217,-9746.1376953125,156.5107
218,1090000,2321.6,1960.6,15.7659,218,-9776.3564453125,156.7175
219,1095000,2309.2,1974.69,15.6301,219,-9837.2470703125,156.7409
220,1100000,2305.08,1956.04,15.5855,220,-9854.5771484375,156.7212
221,1105000,2299.59,1981.02,15.701,221,-9856.794921875,156.6902
222,1110000,2299.4,1954.74,15.6912,222,-9921.7099609375,156.704
223,1115000,2319.89,1974.58,15.7137,223,-9958.2021484375,156.6866
224,1120000,2314.39,1961.96,15.5564,224,-9989.2158203125,156.6563
225,1125000,2309.09,1952.75,15.6504,225,-10034.263671875,156.7338
226,1130000,2296.98,1956.86,15.5477,226,-10061.994140625,156.739
227,1135000,2325.02,1977.03,15.7793,227,-10101.38671875,156.6759
228,1140000,2307.2,1970.67,15.5379,228,-10142.173828125,156.5074
229,1145000,2309.38,1963.14,15.6282,229,-10187.0966796875,156.7023
230,1150000,2327.37,1972.62,15.5886,230,-10237.2265625,156.8287
231,1155000,2314.77,1964.93,15.661,231,-10271.5048828125,156.5691
232,1160000,2317.43,1970.22,15.6133,232,-10287.880859375,156.706
233,1165000,2294.93,1961.15,15.5294,233,-10324.7587890625,156.6585
234,1170000,2300.12,1952.21,15.6104,234,-10388.5595703125,156.67
235,1175000,2323.01,1961.02,15.5411,235,-10401.9013671875,156.7291
236,1180000,2287.85,1953.06,15.6043,236,-10448.2626953125,156.7711
237,1185000,2314.31,1958.17,15.6422,237,-10487.2841796875,156.7338
238,1190000,2287.88,1946.79,15.4565,238,-10505.3154296875,156.6209
239,1195000,2312.46,1954.43,15.5754,239,-10560.359375,156.6405
240,1200000,2319.91,1966.44,15.5377,240,-10590.6005859375,156.6283
241,1205000,2311.21,1951.39,15.4615,241,-10645.7158203125,156.5871
242,1210000,2316.95,1965.66,15.5036,242,-10659.2119140625,156.705
243,1215000,2299.59,1960.42,15.404,243,-10665.5947265625,156.7534
244,1220000,2324.68,1968.24,15.6758,244,-10731.5380859375,156.7559
245,1225000,2320.32,1958.74,15.6026,245,-10773.021484375,156.8383
246,1230000,2312.61,1965.97,15.6292,246,-10817.513671875,156.8099
247,1235000,2308.79,1955.29,15.7251,247,-10850.580078125,156.5922
248,1240000,2309.58,1973.1,15.5842,248,-10886.8251953125,156.713
249,1245000,2319.94,1964.87,15.6676,249,-10920.4833984375,156.8632
250,1250000,2317.14,1979.49,15.6958,250,-10965.98828125,156.8155
251,1255000,2311.21,1954.01,15.4737,251,-10945.5849609375,156.6676
252,1260000,2310.6,1984.84,15.6309,252,-11027.6748046875,156.6678
253,1265000,2317.14,1982.93,15.5105,253,-11033.451171875,156.7505
254,1270000,2325.72,1972.03,15.3697,254,-11049.1796875,156.5766
255,1275000,2317.76,1963.3,15.5935,255,-11113.3671875,156.6817
256,1280000,2332.49,1960.33,15.6367,256,-11189.6259765625,156.7065
257,1285000,2323.54,1960.79,15.4473,257,-11146.85546875,156.7293
258,1290000,2324.86,1971.98,15.4517,258,-11171.818359375,156.7583
259,1295000,2334.27,1965.08,15.5439,259,-11258.0927734375,156.8411
260,1300000,2335.9,1963.15,15.3902,260,-11263.5185546875,156.6066
261,1305000,2344.51,1973.1,15.4013,261,-11332.3505859375,156.7914
262,1310000,2322.64,1963.16,15.4645,262,-11325.2431640625,156.6533
263,1315000,2332.5,1969.29,15.4837,263,-11410.787109375,156.7505
264,1320000,2337.54,1977.38,15.423,264,-11395.236328125,156.7009
265,1325000,2328.11,1958.55,15.5,265,-11433.98046875,156.5774
266,1330000,2335.75,1978.24,15.4946,266,-11504.1396484375,156.6816
267,1335000,2328.85,1973.84,15.4686,267,-11517.5927734375,156.6204
268,1340000,2308.84,1963.53,15.3026,268,-11515.498046875,156.5582
269,1345000,2330.28,1960.2,15.4951,269,-11543.509765625,156.6693
270,1350000,2318.39,1957.35,15.4784,270,-11582.53125,156.6736
271,1355000,2358.24,1975.69,15.5097,271,-11668.90625,156.6336
272,1360000,2333.78,1980.04,15.4751,272,-11698.58203125,156.6564
273,1365000,2330.52,1959.74,15.5136,273,-11729.5556640625,156.7277
274,1370000,2335.11,1972.59,15.3994,274,-11732.3271484375,156.7886
275,1375000,2327.88,1988.38,15.3659,275,-11781.28515625,156.6606
276,1380000,2329.7,1964.0,15.4068,276,-11792.1826171875,156.6843
277,1385000,2348.29,1979.84,15.5485,277,-11856.537109375,156.8908
278,1390000,2338.09,1973.56,15.4117,278,-11871.1337890625,156.6254
279,1395000,2344.17,1987.86,15.4265,279,-11888.6220703125,156.5838
280,1400000,2354.89,1982.77,15.4262,280,-11922.283203125,156.5765
281,1405000,2332.57,1965.53,15.4102,281,-11918.5634765625,156.6702
282,1410000,2323.59,1979.2,15.4472,282,-11978.0224609375,156.6563
283,1415000,2336.58,1984.55,15.5181,283,-12020.7470703125,156.6979
284,1420000,2349.89,1986.66,15.5443,284,-12019.8818359375,156.6687
285,1425000,2322.19,1975.89,15.5121,285,-12088.8349609375,156.7642
286,1430000,2323.27,1997.93,15.569,286,-12123.4326171875,156.6402
287,1435000,2334.69,1973.99,15.3545,287,-12155.916015625,156.5909
288,1440000,2349.78,1982.19,15.5262,288,-12175.45703125,156.7117
289,1445000,2334.62,1987.12,15.4718,289,-12228.759765625,156.6671
290,1450000,2337.16,1983.78,15.6544,290,-12261.9169921875,156.5923
291,1455000,2319.58,1975.44,15.4988,291,-12274.6669921875,156.751
292,1460000,2347.05,1978.73,15.4901,292,-12323.3720703125,156.6521
293,1465000,2337.75,1991.82,15.5697,293,-12353.1513671875,156.6153
294,1470000,2352.22,1993.55,15.5524,294,-12413.369140625,156.6252
295,1475000,2324.98,1996.35,15.4974,295,-12440.5986328125,156.5969
296,1480000,2331.24,1988.7,15.501,296,-12465.1181640625,156.751
297,1485000,2339.25,1986.64,15.4581,297,-12519.9794921875,156.5701
298,1490000,2342.55,1997.63,15.6537,298,-12490.015625,156.6057
299,1495000,2351.63,1993.34,15.5848,299,-12560.9482421875,156.6328
300,1500000,2328.96,1988.29,15.5667,300,-12618.3095703125,156.6752
301,1505000,2310.83,1963.74,15.4656,301,-12572.6357421875,156.5862
302,1510000,2323.62,1979.87,15.4704,302,-12604.5869140625,156.5866
303,1515000,2317.83,1980.42,15.5229,303,-12617.099609375,156.6226
304,1520000,2328.31,1985.95,15.5337,304,-12631.552734375,156.5858
305,1525000,2317.19,1977.57,15.5275,305,-12685.4609375,156.4396
306,1530000,2314.12,1966.55,15.365,306,-12685.8544921875,156.6766
307,1535000,2312.35,1972.27,15.4892,307,-12732.333984375,156.6859
308,1540000,2313.95,1964.36,15.5544,308,-12757.0498046875,156.8316
309,1545000,2315.18,1995.29,15.4223,309,-12757.3056640625,156.5342
310,1550000,2313.53,1953.2,15.4697,310,-12813.4609375,156.5782
311,1555000,2319.51,1975.44,15.4403,311,-12857.970703125,156.6693
312,1560000,2326.72,1966.49,15.3618,312,-12839.8193359375,156.5889
313,1565000,2320.02,1982.02,15.5586,313,-12911.958984375,156.6509
314,1570000,2347.11,1955.16,15.407,314,-12905.7861328125,156.6962
315,1575000,2322.58,1973.66,15.5225,315,-12927.5,156.6057
316,1580000,2306.48,1951.03,15.4535,316,-12919.5322265625,156.53
317,1585000,2317.73,1984.75,15.5716,317,-13037.181640625,156.639
318,1590000,2318.85,1946.51,15.5493,318,-13071.02734375,156.6728
319,1595000,2325.23,1967.79,15.4271,319,-13059.978515625,156.6971
320,1600000,2328.94,1985.81,15.4644,320,-13056.8251953125,156.6463
321,1605000,2328.75,1969.58,15.6253,321,-13106.2412109375,156.6791
322,1610000,2325.56,1982.37,15.4296,322,-13173.97265625,156.6657
323,1615000,2342.73,1968.59,15.7207,323,-13177.1865234375,156.709
324,1620000,2317.06,1955.12,15.3658,324,-13184.0078125,156.6799
325,1625000,2335.97,1964.48,15.4651,325,-13196.5830078125,156.7376
326,1630000,2329.82,1965.03,15.601,326,-13224.9951171875,156.6725
327,1635000,2340.21,1950.64,15.6233,327,-13268.63671875,156.69
328,1640000,2314.08,1961.45,15.4993,328,-13258.443359375,156.8056
329,1645000,2326.11,1964.86,15.5175,329,-13351.8505859375,156.5488
330,1650000,2295.16,1951.4,15.2524,330,-13317.947265625,156.7556
331,1655000,2333.51,1967.32,15.3849,331,-13382.572265625,156.7117
332,1660000,2315.06,1958.75,15.4237,332,-13385.158203125,156.609
333,1665000,2319.78,1969.14,15.5263,333,-13392.390625,156.5412
334,1670000,2315.66,1936.78,15.2671,334,-13380.3369140625,156.6191
335,1675000,2316.24,1969.43,15.4155,335,-13453.875,156.6791
336,1680000,2297.59,1953.49,15.4479,336,-13480.6357421875,156.6494
337,1685000,2310.6,1975.36,15.3147,337,-13539.783203125,156.8774
338,1690000,2309.44,1965.12,15.3903,338,-13490.056640625,156.6613
339,1695000,2315.82,1980.8,15.3764,339,-13539.2412109375,156.6311
340,1700000,2305.25,1959.22,15.2961,340,-13562.484375,156.6998
341,1705000,2286.42,1978.33,15.3106,341,-13568.8271484375,156.7719
342,1710000,2278.42,1955.33,15.4686,342,-13640.2705078125,156.7453
343,1715000,2316.98,1985.53,15.4201,343,-13648.3740234375,156.6708
344,1720000,2306.64,1952.43,15.5133,344,-13666.9453125,156.6316
345,1725000,2323.06,1952.84,15.3581,345,-13627.6875,156.7197
346,1730000,2311.55,1984.65,15.5058,346,-13706.1845703125,156.7506
347,1735000,2345.9,2004.19,15.5331,347,-13723.0791015625,156.585
348,1740000,2309.82,1975.41,15.5578,348,-13807.6650390625,156.8027
349,1745000,2293.76,1963.27,15.5116,349,-13710.4208984375,156.6368
350,1750000,2303.18,1959.45,15.4411,350,-13772.4873046875,156.7617
351,1755000,2330.57,1967.75,15.5159,351,-13796.009765625,156.5833
352,1760000,2322.98,1950.98,15.5356,352,-13818.5478515625,156.738
353,1765000,2297.73,1949.3,15.3945,353,-13850.6337890625,156.766
354,1770000,2307.89,1955.12,15.3173,354,-13825.5126953125,156.6745
355,1775000,2313.22,1972.01,15.4455,355,-13881.669921875,156.6965
356,1780000,2282.66,1958.29,15.4498,356,-13948.72265625,156.8371
357,1785000,2329.09,1980.75,15.5714,357,-13955.4599609375,156.7739
358,1790000,2321.69,1974.27,15.496,358,-13930.3271484375,156.6551
359,1795000,2286.35,1951.32,15.2676,359,-13913.0556640625,156.6592
360,1800000,2311.68,1923.81,15.3733,360,-13984.7041015625,156.7567
361,1805000,2314.15,1964.07,15.3607,361,-13941.5927734375,156.7176
362,1810000,2313.04,1969.71,15.5518,362,-14039.0869140625,156.6454
363,1815000,2332.48,1953.04,15.4867,363,-14082.05078125,156.5989
364,1820000,2322.8,1946.51,15.4869,364,-14114.0693359375,156.6179
365,1825000,2319.96,1965.66,15.5258,365,-14123.9521484375,156.6105
366,1830000,2344.65,1987.55,15.6031,366,-14148.845703125,156.7994
367,1835000,2344.62,1962.07,15.4672,367,-14095.1513671875,156.8521
368,1840000,2315.27,1965.57,15.3689,368,-14088.6865234375,156.7574
369,1845000,2331.75,1920.44,15.3717,369,-14106.9052734375,156.6525
370,1850000,2319.76,1954.74,15.3594,370,-14195.9306640625,156.6619
