Itration,Running Env Steps,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Real Sto Return,Running Update Time
88,440000,258.715,65.3946,5055.45,-5509.89794921875,4964.38,88
89,445000,263.9991,62.0813,4939.59,-5718.50048828125,4771.65,89
90,450000,257.3689,66.5379,4789.91,-5754.009765625,4621.69,90
91,455000,274.9877,113.0304,4446.59,-7988.29150390625,3956.22,91
92,460000,258.4509,69.8516,3645.25,-6323.86279296875,5025.29,92
93,465000,257.8595,64.9563,5125.03,-6127.521484375,4894.09,93
94,470000,252.7092,63.8174,2204.58,-6395.11865234375,4991.73,94
95,475000,264.6621,57.9105,3728.95,-6279.4677734375,4554.78,95
96,480000,249.4795,50.0383,4370.53,-6254.26220703125,4857.91,96
97,485000,252.1611,57.0552,3773.18,-6343.3671875,4686.05,97
98,490000,252.5876,57.5465,4263.09,-6488.228515625,4699.17,98
99,495000,251.7423,55.7386,4486.76,-6416.373046875,4957.87,99
100,500000,256.0714,54.3717,4908.27,-6370.3818359375,4898.75,100
101,505000,257.9006,63.3049,4892.64,-6775.12841796875,4731.86,101
102,510000,255.0601,57.1382,2038.86,-6944.8662109375,4767.19,102
103,515000,255.6296,57.1784,2900.05,-7028.5595703125,4833.59,103
104,520000,250.8239,50.0867,4848.14,-6727.7978515625,4896.39,104
105,525000,250.5412,46.3947,3123.55,-6384.505859375,4947.61,105
106,530000,294.7239,159.9241,2716.77,-10351.6748046875,2375.61,106
107,535000,257.2906,50.0634,3593.47,-6842.6025390625,4880.48,107
108,540000,284.6213,138.1226,2196.54,-9930.0341796875,2852.55,108
109,545000,267.0003,94.3349,1414.64,-8620.5986328125,4367.4,109
110,550000,254.2455,62.8776,2662.71,-7468.63037109375,4638.94,110
111,555000,260.343,59.8918,2696.31,-7381.85791015625,4783.81,111
112,560000,261.3434,65.2644,2811.3,-7560.2626953125,4374.75,112
113,565000,271.3307,95.7169,1745.55,-9025.611328125,3278.73,113
114,570000,256.9898,56.5082,3066.18,-7777.6728515625,4921.95,114
115,575000,247.3756,49.5808,2213.6,-7376.3798828125,4860.43,115
116,580000,256.9637,58.7594,3658.13,-7849.658203125,4944.78,116
117,585000,254.9987,52.4291,2797.53,-7549.55078125,4983.79,117
118,590000,264.0958,55.0767,3522.52,-8111.22900390625,4626.69,118
119,595000,258.7623,74.1639,2610.37,-8516.123046875,4544.76,119
120,600000,254.6807,63.8136,2054.88,-8374.60546875,4705.64,120
121,605000,253.4747,50.7261,3680.05,-7672.67041015625,4863.54,121
122,610000,261.9806,68.2764,1540.45,-8698.162109375,4047.7,122
123,615000,261.6277,61.1207,2387.82,-8436.7080078125,4648.16,123
124,620000,255.5989,49.9301,4636.02,-8151.14599609375,4687.15,124
125,625000,249.4341,45.5085,4904.35,-7942.09326171875,4856.52,125
126,630000,249.491,51.6163,4564.92,-8159.93017578125,4615.52,126
127,635000,248.511,45.8594,3711.98,-8025.6005859375,4799.45,127
128,640000,256.9053,64.4256,3389.02,-9003.701171875,4455.27,128
129,645000,246.3005,43.8936,3948.55,-8158.4482421875,4879.53,129
130,650000,251.7388,53.4249,4444.96,-8191.87353515625,4491.71,130
131,655000,266.5017,79.5382,4367.85,-9403.005859375,4946.5,131
132,660000,251.1162,52.2908,5021.91,-8784.0859375,4844.72,132
133,665000,255.4849,48.671,2081.72,-8674.890625,4722.3,133
134,670000,261.9713,85.149,4245.84,-9920.1904296875,4658.09,134
135,675000,248.7745,41.2906,2444.74,-8655.990234375,4899.77,135
136,680000,253.9076,57.029,1434.4,-9153.30859375,4943.27,136
137,685000,257.8509,58.0782,4463.47,-9219.486328125,4784.95,137
138,690000,256.2258,57.6122,3786.77,-9299.046875,4661.98,138
139,695000,253.4321,48.7428,1233.96,-9219.0498046875,4793.92,139
140,700000,262.0976,64.5035,3625.94,-9905.677734375,4685.14,140
141,705000,252.3592,46.225,4217.5,-9141.857421875,4810.23,141
142,710000,250.2548,43.6384,3213.81,-8922.0556640625,4624.05,142
143,715000,256.0058,57.7216,4196.46,-9254.0078125,4872.47,143
144,720000,256.2542,58.4548,4425.42,-9865.3642578125,4854.07,144
145,725000,243.8703,39.3686,4089.96,-9067.8720703125,4910.21,145
146,730000,249.3128,49.3916,2428.47,-9766.40234375,4936.21,146
147,735000,250.839,44.7274,4950.06,-9540.759765625,4901.42,147
148,740000,244.3192,45.5819,4693.25,-9426.498046875,4899.66,148
149,745000,247.7816,41.9043,4729.11,-9498.4189453125,4859.83,149
150,750000,246.0878,42.5011,4766.93,-9562.2275390625,4959.33,150
151,755000,252.2453,50.1712,4724.14,-9769.7900390625,4892.44,151
152,760000,255.6029,53.0149,4349.97,-10182.8388671875,4849.26,152
153,765000,243.5913,44.9602,4623.03,-9779.599609375,4170.77,153
154,770000,240.958,43.5952,4631.78,-9717.9697265625,4588.81,154
155,775000,248.5118,44.4508,3949.03,-9464.5517578125,4876.97,155
156,780000,252.3171,50.5697,4232.99,-9322.8857421875,4620.57,156
157,785000,243.3168,40.3641,2134.49,-9583.91796875,4595.37,157
158,790000,265.9483,70.4163,4619.61,-10731.103515625,3934.7,158
159,795000,255.7718,61.3346,4668.21,-11053.1494140625,4856.56,159
160,800000,255.5076,54.4119,3687.91,-10427.6298828125,4823.45,160
161,805000,243.8603,43.9261,4305.67,-10053.46484375,4915.96,161
162,810000,258.7578,64.7115,3656.45,-10976.0263671875,4682.98,162
163,815000,256.8569,50.6317,4551.86,-10507.2958984375,4254.72,163
164,820000,248.5966,56.6504,3037.72,-10637.482421875,4658.12,164
165,825000,245.8281,35.9698,3476.32,-10109.109375,4560.05,165
166,830000,251.7149,54.7995,4427.12,-11333.638671875,4973.91,166
167,835000,247.5823,47.4599,3588.71,-11125.4384765625,4809.67,167
168,840000,251.3451,42.3082,4677.85,-10747.068359375,4747.81,168
169,845000,243.0322,40.2505,4991.81,-10965.9853515625,4969.19,169
170,850000,249.949,53.8885,3910.25,-11312.6884765625,4967.85,170
171,855000,245.9637,53.0971,4119.96,-10889.50390625,4965.6,171
172,860000,248.131,52.9994,3818.18,-10893.1513671875,4706.93,172
173,865000,243.9686,39.4981,4715.21,-10789.623046875,4942.57,173
174,870000,246.7904,44.9016,4121.72,-11180.7568359375,4928.01,174
175,875000,249.653,47.1468,4468.25,-11458.751953125,4967.12,175
176,880000,248.7635,46.1171,4906.15,-11372.0390625,4968.39,176
177,885000,249.2375,43.8869,3880.27,-11299.9814453125,4961.1,177
178,890000,242.9897,38.7544,3495.91,-10699.1298828125,4890.16,178
179,895000,249.827,43.7426,5062.75,-11267.236328125,4958.96,179
180,900000,252.5514,50.5635,5024.2,-11252.8935546875,4916.44,180
181,905000,248.4201,41.318,4822.85,-11385.5380859375,4903.69,181
182,910000,252.9113,43.7345,4907.92,-10916.1181640625,4839.49,182
183,915000,250.2037,47.2345,5018.6,-11662.2216796875,4968.59,183
184,920000,255.4239,47.6107,4877.46,-11139.68359375,4777.87,184
185,925000,247.5916,43.369,4956.2,-11355.60546875,4956.96,185
186,930000,254.8866,49.8234,4152.91,-11959.2255859375,4848.59,186
187,935000,242.0974,41.0933,4241.74,-11456.3447265625,4985.82,187
188,940000,249.4399,37.6586,4493.72,-11307.474609375,4857.71,188
189,945000,250.6788,44.7128,3320.35,-11975.8798828125,4925.36,189
190,950000,254.1194,53.4297,4145.34,-11903.6748046875,4793.4,190
191,955000,251.4111,47.3175,1977.05,-11900.3037109375,4846.24,191
192,960000,246.7597,40.6733,4997.97,-11607.5146484375,4727.37,192
193,965000,256.0357,48.3668,3507.94,-12569.7900390625,4935.74,193
194,970000,252.6146,49.2343,4845.22,-11994.79296875,4880.22,194
195,975000,253.8065,52.7378,2333.02,-12781.12109375,4898.11,195
196,980000,258.2148,68.2061,3025.31,-12236.7177734375,4527.69,196
197,985000,251.7674,50.3924,1239.84,-11797.7958984375,4711.61,197
198,990000,257.8568,54.752,4234.95,-11994.693359375,4791.75,198
199,995000,265.9985,74.8884,1920.94,-12386.1728515625,4330.6,199
200,1000000,260.5968,59.4077,1471.59,-12259.251953125,4534.49,200
201,1005000,265.6181,66.926,2793.5,-12820.25,4757.82,201
202,1010000,262.7095,59.9282,2267.76,-12168.525390625,4779.67,202
203,1015000,265.1459,58.9941,3428.63,-13269.90625,4894.15,203
204,1020000,262.1831,54.2884,1207.38,-12306.9111328125,4619.98,204
205,1025000,259.1922,54.3182,2759.2,-12644.9169921875,4811.65,205
206,1030000,257.8255,46.5156,1256.24,-12685.8994140625,4814.52,206
207,1035000,257.236,51.857,4043.5,-13459.6884765625,4720.52,207
208,1040000,260.892,49.4896,3716.05,-12695.962890625,4227.7,208
209,1045000,256.8819,47.8434,2675.15,-13164.556640625,4943.22,209
210,1050000,259.4994,53.2118,1984.0,-13013.1875,4389.02,210
211,1055000,260.7159,52.3236,1725.79,-12546.7001953125,4743.81,211
212,1060000,261.0737,53.2208,1074.26,-12871.8623046875,4668.81,212
213,1065000,264.2547,50.3537,1626.8,-12410.548828125,4176.6,213
214,1070000,258.2959,50.2768,2469.88,-13068.2255859375,4551.38,214
215,1075000,265.6068,72.4128,1070.77,-12320.1943359375,4378.33,215
216,1080000,256.8001,42.266,2122.65,-12371.2568359375,4850.84,216
217,1085000,265.3867,79.3257,3625.42,-12523.2294921875,4552.99,217
218,1090000,253.4354,39.9993,2449.61,-13096.52734375,4601.68,218
219,1095000,256.6529,42.0972,2717.96,-12777.8759765625,4717.58,219
220,1100000,256.0335,47.6923,1688.64,-13378.8544921875,4898.05,220
221,1105000,266.3333,72.9052,1891.69,-12461.9580078125,3826.42,221
222,1110000,254.1006,40.6722,1482.84,-12635.8359375,4751.54,222
223,1115000,256.9466,44.5262,1737.65,-12674.0263671875,4466.38,223
224,1120000,268.4685,70.4434,2191.67,-13053.8349609375,4727.49,224
225,1125000,253.0876,45.048,3857.73,-13093.3125,4606.96,225
226,1130000,247.3038,37.6014,2752.32,-12547.275390625,4904.12,226
227,1135000,248.133,41.8924,1317.92,-13039.1328125,4644.43,227
228,1140000,246.3511,36.689,3006.89,-13211.486328125,4752.77,228
229,1145000,251.668,43.9774,4859.09,-13885.9619140625,4573.97,229
230,1150000,257.0602,43.3878,2997.2,-13846.5634765625,4386.39,230
231,1155000,250.4501,40.6807,2692.31,-13707.3359375,4334.03,231
232,1160000,245.8025,42.2731,1951.13,-13826.1640625,4782.06,232
233,1165000,255.7843,44.6552,3444.43,-13963.1123046875,4913.58,233
234,1170000,262.7317,61.4735,873.19,-13748.779296875,4807.67,234
235,1175000,255.8622,46.0829,3576.77,-13464.4921875,4620.68,235
236,1180000,257.2763,43.7147,1674.56,-13599.400390625,4212.63,236
237,1185000,253.6396,46.0422,1793.66,-14220.9052734375,4936.18,237
238,1190000,255.4117,51.3547,2193.24,-14031.7939453125,4715.49,238
239,1195000,271.8519,104.8544,1744.8,-13922.9111328125,3290.46,239
240,1200000,253.9776,42.827,1333.64,-14116.466796875,4507.41,240
241,1205000,261.2165,77.9601,1393.8,-13946.130859375,4727.58,241
242,1210000,260.6874,48.6745,2238.43,-14341.0986328125,4697.15,242
243,1215000,257.9104,50.7378,1873.23,-14754.86328125,4334.02,243
244,1220000,270.7104,94.0479,2621.33,-14490.623046875,4372.2,244
245,1225000,272.7327,120.4281,3203.14,-14070.42578125,3343.98,245
246,1230000,256.5585,56.0496,3958.0,-14408.1611328125,4184.14,246
247,1235000,258.0544,64.8855,4168.03,-13573.3642578125,4738.08,247
248,1240000,267.5775,80.6346,2217.22,-13873.2626953125,4100.63,248
249,1245000,257.1115,59.5256,1630.43,-14160.0888671875,4198.28,249
250,1250000,264.3731,107.3872,2393.58,-13810.0322265625,3718.53,250
251,1255000,260.3145,63.6268,3883.69,-14285.9931640625,4377.29,251
252,1260000,257.7066,53.8845,3371.58,-14569.8388671875,4258.77,252
253,1265000,249.6109,51.2807,4142.42,-14364.681640625,4928.13,253
254,1270000,261.1289,54.5137,4170.73,-15432.998046875,4653.1,254
255,1275000,274.1666,91.5257,3149.45,-14393.0224609375,3132.13,255
256,1280000,261.339,66.4483,3013.54,-15474.21875,4077.23,256
257,1285000,271.7719,68.0109,3684.94,-15488.5654296875,4411.84,257
258,1290000,267.4849,66.925,4573.65,-16047.7177734375,4480.74,258
259,1295000,266.2615,62.6593,4710.76,-15644.947265625,4793.47,259
260,1300000,252.5312,50.2074,2679.25,-15636.162109375,4638.81,260
261,1305000,239.728,36.3761,2883.15,-14515.69921875,4599.2,261
262,1310000,246.2756,48.0176,3134.22,-14659.8818359375,3955.46,262
263,1315000,273.326,123.9624,1693.4,-15036.966796875,2732.85,263
264,1320000,261.8137,73.2547,2912.23,-15444.919921875,4635.79,264
265,1325000,265.5015,90.6658,1810.16,-15286.8857421875,3370.69,265
266,1330000,258.6784,59.0055,2139.87,-15743.916015625,4604.03,266
267,1335000,277.2621,95.4155,2767.77,-15655.8193359375,3888.29,267
268,1340000,264.9893,86.7225,1998.38,-15450.3017578125,3904.53,268
269,1345000,258.8476,70.6093,2108.65,-15885.3837890625,4363.06,269
270,1350000,258.1324,76.9758,2244.78,-15209.4384765625,3390.57,270
271,1355000,272.7729,108.7129,863.33,-15383.0830078125,2845.46,271
272,1360000,250.6878,68.9346,2057.15,-14936.5810546875,3568.89,272
273,1365000,263.4645,72.22,3557.3,-15828.37109375,3072.45,273
274,1370000,267.8319,100.43,4015.59,-14561.4697265625,3561.1,274
275,1375000,265.6203,126.6172,2455.26,-13976.5322265625,3095.64,275
276,1380000,250.2015,114.4127,1816.46,-13075.9599609375,3399.17,276
277,1385000,266.0249,136.7472,3058.04,-13206.783203125,2975.54,277
278,1390000,240.8563,81.8233,2242.55,-13210.4833984375,2939.67,278
279,1395000,278.3587,187.2286,1911.16,-13384.0654296875,1907.68,279
280,1400000,251.5734,101.9699,2612.17,-14893.197265625,4098.11,280
281,1405000,304.3875,161.8386,1854.05,-13842.13671875,2200.78,281
282,1410000,346.1262,233.5566,719.18,-13028.6826171875,1015.42,282
283,1415000,349.6078,239.8461,1164.34,-14929.2373046875,892.19,283
284,1420000,284.5526,131.8081,2509.64,-13580.65234375,2575.45,284
285,1425000,263.4354,96.9316,4285.86,-12170.8828125,3997.08,285
286,1430000,292.9979,195.1002,655.46,-15670.59375,3462.39,286
287,1435000,313.7206,206.2071,2210.5,-15029.052734375,2635.11,287
288,1440000,339.9994,278.9441,898.39,-15858.634765625,1283.6,288
289,1445000,342.8741,224.1756,2241.35,-15613.451171875,2483.66,289
290,1450000,362.7831,257.7539,1181.74,-15580.142578125,1207.37,290
291,1455000,400.1308,356.3624,634.26,-14688.50390625,621.27,291
292,1460000,421.6121,303.3569,729.73,-15723.7509765625,798.43,292
293,1465000,391.8064,435.8881,776.92,-15087.7548828125,813.45,293
294,1470000,384.4196,301.4749,1134.61,-16316.3525390625,879.85,294
295,1475000,398.3706,2276.2032,961.68,-18375.236328125,938.31,295
296,1480000,428.427,863.1515,902.29,-17840.091796875,690.66,296
297,1485000,398.6889,1398.6273,1227.78,-18299.44921875,1233.87,297
298,1490000,440.7125,2820.3051,925.52,-18439.125,522.59,298
299,1495000,411.6297,1195.4533,800.09,-17683.75390625,469.66,299
300,1500000,385.6978,689.204,1573.32,-16518.837890625,1029.52,300
301,1505000,424.5781,899.1526,1305.84,-17453.765625,1295.6,301
302,1510000,415.6396,1093.5367,974.48,-17087.75,987.42,302
303,1515000,405.1329,1100.328,1238.28,-16713.66796875,1518.95,303
304,1520000,409.858,1189.0755,750.14,-15078.708984375,908.27,304
305,1525000,410.7637,946.1056,830.66,-16888.248046875,1324.35,305
306,1530000,419.0669,808.1617,842.42,-14664.4423828125,674.56,306
307,1535000,394.6089,403.4881,1905.24,-15172.87109375,1445.34,307
308,1540000,419.973,987.364,1134.58,-15115.486328125,1098.07,308
309,1545000,414.465,1084.3873,851.97,-16005.4228515625,821.26,309
310,1550000,419.3333,449.5718,651.65,-16620.73046875,644.7,310
311,1555000,441.1109,845.2691,454.43,-17360.55078125,495.88,311
312,1560000,423.2754,569.2105,594.51,-15249.953125,384.37,312
313,1565000,710.0117,824.6913,58.75,-18694.580078125,58.54,313
314,1570000,711.5442,1476.3564,58.55,-18348.33984375,58.57,314
315,1575000,667.8923,598.5467,56.57,-17430.009765625,57.07,315
316,1580000,700.4852,710.2449,53.86,-17086.556640625,54.06,316
317,1585000,703.7386,630.2854,57.27,-18281.96484375,56.82,317
318,1590000,674.1467,630.0657,57.54,-17994.9296875,55.98,318
319,1595000,713.129,562.8055,56.97,-18347.0,57.31,319
320,1600000,644.2634,428.5053,53.2,-16615.568359375,53.58,320
321,1605000,667.1071,591.6992,56.76,-18203.421875,56.19,321
322,1610000,694.2471,464.3811,57.98,-17042.43359375,58.13,322
323,1615000,686.8712,1112.6638,60.29,-18463.84765625,60.18,323
324,1620000,715.4749,801.6094,58.13,-18466.3203125,57.75,324
325,1625000,712.0149,470.78,54.5,-18805.841796875,54.95,325
326,1630000,707.1934,885.4765,54.7,-18802.9140625,54.55,326
327,1635000,697.6432,1008.4308,54.1,-18790.427734375,54.55,327
328,1640000,702.8178,650.8784,55.62,-19405.216796875,55.47,328
329,1645000,686.3622,510.6028,53.34,-18208.865234375,53.67,329
330,1650000,702.8655,722.4018,53.98,-19021.44140625,53.91,330
331,1655000,721.1526,580.9526,52.28,-19189.232421875,51.82,331
332,1660000,706.4557,737.4212,53.89,-19042.1640625,53.74,332
333,1665000,708.5915,492.9662,53.9,-18944.3125,53.47,333
334,1670000,699.3723,559.6843,53.64,-19124.1796875,53.4,334
335,1675000,690.809,582.1546,53.63,-19297.9765625,53.6,335
336,1680000,698.8663,664.2268,51.58,-19144.265625,51.45,336
337,1685000,706.6378,634.7853,53.17,-19197.623046875,53.13,337
338,1690000,685.3762,640.6778,53.13,-19302.6015625,53.18,338
339,1695000,704.8285,480.3486,53.64,-19291.3828125,53.6,339
340,1700000,647.7924,553.111,54.82,-19518.390625,54.63,340
341,1705000,673.7018,547.1698,59.65,-19659.83984375,59.98,341
342,1710000,695.2823,556.2984,59.55,-19724.84765625,59.55,342
343,1715000,664.3262,552.2948,63.54,-19729.865234375,62.55,343
344,1720000,711.1318,473.677,64.31,-19771.6796875,64.35,344
345,1725000,573.058,383.1029,143.01,-19288.857421875,149.67,345
346,1730000,568.2833,538.6281,216.48,-18954.490234375,216.5,346
347,1735000,543.9313,1116.4524,395.48,-18174.435546875,375.2,347
348,1740000,542.8528,427.1673,300.67,-17835.193359375,303.44,348
349,1745000,560.3061,565.1755,184.36,-17076.263671875,184.36,349
350,1750000,562.4903,612.1994,170.63,-16319.8623046875,170.61,350
351,1755000,578.6306,490.1476,69.13,-18195.80859375,69.3,351
352,1760000,642.0271,661.9043,70.71,-19490.646484375,70.71,352
353,1765000,628.1009,661.1356,97.19,-19623.767578125,99.39,353
354,1770000,527.5662,327.9626,381.47,-17372.271484375,372.1,354
355,1775000,515.0032,478.566,492.05,-15550.35546875,503.79,355
356,1780000,518.1532,571.5859,452.99,-14703.712890625,460.28,356
357,1785000,523.4643,1233.8703,398.1,-10247.390625,365.56,357
358,1790000,508.1778,658.6347,439.63,-12955.244140625,469.94,358
359,1795000,516.7622,1837.5006,289.8,-10984.8740234375,306.8,359
360,1800000,499.9262,853.9547,376.3,-13610.59765625,385.56,360
361,1805000,522.5193,2035.8553,359.46,-15453.6005859375,348.07,361
362,1810000,523.3936,2068.6035,376.64,-15989.5205078125,366.34,362
363,1815000,533.7645,2206.5731,380.15,-17528.97265625,369.34,363
364,1820000,494.726,1582.572,350.13,-17343.7734375,365.86,364
365,1825000,511.3221,2355.6316,385.24,-18033.443359375,391.85,365
366,1830000,511.0058,1830.6928,357.49,-17680.01953125,403.47,366
367,1835000,533.208,1330.2178,280.33,-17986.087890625,264.23,367
368,1840000,528.7309,1588.9222,361.23,-18044.646484375,347.87,368
369,1845000,492.28,872.4438,315.75,-17265.45703125,378.85,369
370,1850000,488.4192,1294.5495,328.97,-17442.572265625,293.97,370
371,1855000,477.8331,1083.6361,370.59,-16510.34765625,342.31,371
372,1860000,488.8165,487.317,326.22,-17553.658203125,369.89,372
373,1865000,477.9296,947.5501,377.24,-17023.62890625,357.81,373
374,1870000,479.4237,1307.8604,352.14,-17237.072265625,401.02,374
375,1875000,483.9166,1064.0317,487.45,-17667.5625,469.59,375
376,1880000,501.3217,512.7607,406.19,-17600.71875,388.53,376
377,1885000,540.3734,334.6205,60.18,-17937.525390625,60.78,377
378,1890000,591.5094,368.6684,64.8,-18092.12109375,63.06,378
379,1895000,600.911,529.0875,61.03,-18588.73828125,61.02,379
380,1900000,674.5208,381.2031,63.56,-18074.611328125,62.18,380
381,1905000,600.2773,429.5268,59.8,-17812.71484375,59.79,381
382,1910000,611.5451,305.5836,60.72,-17381.974609375,60.85,382
383,1915000,589.9531,414.9865,60.13,-18232.171875,58.94,383
384,1920000,615.0161,332.3832,64.23,-18175.974609375,64.22,384
385,1925000,612.315,390.4055,64.16,-17767.15625,64.43,385
386,1930000,575.8892,324.7893,63.1,-17726.86328125,63.26,386
387,1935000,609.5647,344.7951,58.77,-18371.37890625,58.67,387
388,1940000,634.4224,363.3442,59.93,-17750.310546875,60.95,388
389,1945000,609.6779,321.2396,63.21,-18111.353515625,63.43,389
390,1950000,580.9616,311.4442,64.62,-18217.392578125,64.08,390
391,1955000,592.2114,332.9214,63.62,-17569.07421875,64.41,391
392,1960000,603.2643,298.6143,63.42,-17670.486328125,62.82,392
393,1965000,587.2484,340.7852,65.83,-17703.794921875,64.9,393
394,1970000,616.8987,324.8103,61.31,-17885.279296875,62.86,394
395,1975000,633.5477,333.7021,60.59,-18426.59765625,61.52,395
