Running Reverse KL,Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Update Time
11.2683,710000,-2119.60791015625,19.1904,3532.8,3391.53,142,142
10.4529,715000,-1937.34716796875,18.2499,3576.43,3510.16,143,143
10.428,720000,-1770.8656005859375,17.5116,3521.44,3484.54,144,144
10.6249,725000,-2365.292236328125,19.6884,3561.13,2546.35,145,145
11.0679,730000,-2053.521728515625,18.7148,3554.07,3049.73,146,146
10.911,735000,-2002.83251953125,18.8828,3564.81,3129.01,147,147
10.6938,740000,-2114.443603515625,18.4757,3540.2,3453.78,148,148
11.2239,745000,-2232.907470703125,19.631,3585.81,3439.78,149,149
10.9808,750000,-2213.9853515625,19.1789,3536.49,2961.15,150,150
11.7764,755000,-2350.896728515625,19.0201,3563.93,2964.12,151,151
10.7917,760000,-2184.8505859375,18.1916,3608.47,3557.93,152,152
11.0234,765000,-2664.367919921875,19.9228,3532.29,2478.29,153,153
10.5726,770000,-2231.414794921875,19.0654,3527.95,2857.42,154,154
10.9596,775000,-2145.4326171875,18.1561,3570.28,3490.94,155,155
11.3391,780000,-2855.580322265625,20.0871,3538.84,1762.99,156,156
10.6455,785000,-2345.33984375,18.691,3586.52,3460.27,157,157
11.0194,790000,-2391.40771484375,18.5881,3552.15,3216.92,158,158
11.0396,795000,-2323.922119140625,18.0546,3569.35,3511.18,159,159
10.8556,800000,-2429.249267578125,18.2596,3586.15,3390.59,160,160
11.4723,805000,-2544.574951171875,18.8831,3534.92,3487.14,161,161
9.9905,810000,-2122.47900390625,17.8301,3561.77,3516.61,162,162
10.766,815000,-2330.304931640625,18.166,3581.8,3534.54,163,163
10.8626,820000,-2691.853271484375,19.1993,3542.88,2414.23,164,164
11.6487,825000,-2587.717041015625,19.555,3593.81,2875.96,165,165
11.1468,830000,-2405.446044921875,18.3383,3561.77,3532.51,166,166
10.617,835000,-2334.726806640625,18.043,3566.16,3500.65,167,167
10.705,840000,-2467.302734375,18.3621,3567.86,3509.96,168,168
10.6441,845000,-2644.453369140625,19.4674,3578.09,2976.47,169,169
11.0356,850000,-2433.59814453125,18.7225,3550.55,3464.08,170,170
10.2491,855000,-2570.8154296875,18.5021,3557.45,3335.0,171,171
10.7948,860000,-2559.9716796875,18.3307,3593.21,3541.19,172,172
10.5968,865000,-2672.56982421875,18.4108,3571.21,3430.34,173,173
10.9433,870000,-2496.270751953125,18.0969,3574.36,3461.61,174,174
10.7743,875000,-2450.08251953125,18.8776,3510.02,3399.24,175,175
11.5762,880000,-2727.068359375,18.8855,3657.74,3613.15,176,176
11.2072,885000,-2738.233642578125,18.4165,3614.67,3471.57,177,177
10.3185,890000,-2598.249267578125,17.7801,3596.47,3558.34,178,178
10.2985,895000,-2632.12060546875,17.8585,3574.29,3523.94,179,179
11.2112,900000,-2894.706787109375,18.8553,3655.39,3502.76,180,180
10.7098,905000,-2735.16796875,18.1933,3617.29,3560.28,181,181
10.8146,910000,-2685.67529296875,18.1267,3608.03,3549.78,182,182
10.3867,915000,-2853.93994140625,18.5161,3608.04,3510.39,183,183
10.5928,920000,-2797.2734375,18.6106,3540.41,2684.77,184,184
10.5786,925000,-2818.804931640625,18.2603,3564.58,3479.7,185,185
10.3727,930000,-2694.19189453125,17.7678,3590.19,3534.51,186,186
11.2125,935000,-3197.259765625,18.866,3603.35,3495.05,187,187
10.5696,940000,-3237.260986328125,18.7802,3568.07,3319.23,188,188
11.1867,945000,-3049.908203125,18.6163,3600.5,3555.33,189,189
10.6601,950000,-3528.714599609375,18.8452,3569.11,2882.43,190,190
10.8265,955000,-3077.071533203125,18.3686,3574.92,3437.42,191,191
11.2602,960000,-3367.8896484375,19.3141,3600.94,3018.03,192,192
10.8551,965000,-3266.318115234375,18.563,3568.2,3457.45,193,193
10.4825,970000,-2992.989990234375,18.5223,3554.87,3472.69,194,194
10.414,975000,-3133.379638671875,18.0841,3550.53,3420.85,195,195
10.6356,980000,-3051.848388671875,18.3794,3590.78,3021.92,196,196
10.3119,985000,-3120.392822265625,18.1113,3564.07,3459.41,197,197
10.6423,990000,-3282.323974609375,18.7367,3574.64,3105.37,198,198
10.7964,995000,-3093.46923828125,18.3301,3567.71,3518.72,199,199
