Running Reverse KL,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Forward KL,Real Det Return,Running Env Steps
29.1763,1027.46,79,79,-4159.2919921875,34.6292,1023.89,395000
30.9361,1010.25,80,80,-4292.4345703125,37.8302,1007.42,400000
32.9177,925.17,81,81,-4285.30029296875,35.5018,925.77,405000
49.7602,992.6,82,82,-4391.9150390625,40.1063,991.16,410000
36.8267,134.76,83,83,-4216.35595703125,37.3445,130.41,415000
42.9243,28.67,84,84,-2600.662353515625,36.6187,28.38,420000
39.0377,321.47,85,85,-2555.38134765625,34.1952,357.2,425000
68.404,5.52,86,86,-1862.059326171875,31.334,5.56,430000
152.3415,224.91,87,87,-4278.8798828125,33.4035,224.0,435000
27.9309,281.2,88,88,-3904.246337890625,31.3498,298.9,440000
34.1253,857.85,89,89,-4544.07568359375,34.7588,864.33,445000
36.594,1033.77,90,90,-4670.01904296875,34.6347,1035.64,450000
30.897,282.24,91,91,-3908.675048828125,33.8863,284.56,455000
42.2409,1054.28,92,92,-4872.927734375,39.6745,1054.16,460000
42.0289,1000.32,93,93,-4857.0361328125,39.2731,1000.97,465000
47.4184,997.25,94,94,-5038.796875,39.9754,997.88,470000
34.0827,995.94,95,95,-5005.728515625,38.3156,996.25,475000
33.0589,988.42,96,96,-4914.0283203125,38.0318,989.81,480000
34.7995,1001.98,97,97,-5200.45068359375,40.0982,1002.49,485000
44.9002,1004.45,98,98,-5331.55078125,37.8503,1004.29,490000
51.9188,1005.65,99,99,-5318.8154296875,38.9199,1004.88,495000
50.1211,998.3,100,100,-5289.29833984375,38.2705,998.04,500000
53.6995,1006.58,101,101,-5443.29443359375,38.7943,1005.85,505000
55.9106,1004.82,102,102,-5649.7021484375,39.9918,1004.73,510000
67.7561,270.72,103,103,-4156.48583984375,33.4433,271.43,515000
39.9394,1046.89,104,104,-5446.87060546875,36.0732,1046.76,520000
34.189,1045.13,105,105,-5644.376953125,35.5317,1045.25,525000
55.406,1008.86,106,106,-5864.80859375,37.3534,1014.79,530000
44.7087,1009.24,107,107,-5903.328125,39.3025,1009.28,535000
57.9387,989.02,108,108,-5907.4736328125,39.7624,989.21,540000
57.2542,991.49,109,109,-5970.5732421875,39.1557,991.73,545000
52.9156,992.17,110,110,-6070.13134765625,40.2908,992.21,550000
48.4315,994.35,111,111,-6142.08203125,39.0888,994.47,555000
36.4822,128.89,112,112,-5469.48388671875,34.2553,146.47,560000
79.9083,92.72,113,113,-5734.8017578125,34.1636,92.63,565000
32.161,101.89,114,114,-6001.99951171875,37.8968,101.62,570000
38.9629,1001.23,115,115,-6195.51708984375,37.4136,1004.52,575000
36.3626,1023.17,116,116,-6264.28369140625,36.1485,1023.5,580000
33.3591,1049.45,117,117,-6279.40283203125,36.0202,1048.81,585000
48.3492,1001.52,118,118,-6604.123046875,38.7044,1000.74,590000
35.6838,1003.2,119,119,-6445.35009765625,35.681,1004.02,595000
46.6684,1006.39,120,120,-6708.5986328125,38.0416,1006.41,600000
44.7825,1005.81,121,121,-6776.96728515625,37.4114,1005.2,605000
47.8527,1003.5,122,122,-6845.85693359375,39.183,1003.73,610000
35.327,1028.61,123,123,-6756.5419921875,39.6503,1028.29,615000
50.471,991.94,124,124,-6960.2021484375,40.1373,992.13,620000
50.7686,1023.56,125,125,-7111.966796875,37.6731,1023.57,625000
47.5192,269.45,126,126,-7111.779296875,38.7764,266.79,630000
56.1378,1003.99,127,127,-7224.939453125,39.2442,1004.44,635000
39.1012,1038.29,128,128,-7135.48876953125,36.4984,1038.97,640000
45.4481,1047.73,129,129,-7241.251953125,35.108,1048.25,645000
38.8033,1027.21,130,130,-7456.60498046875,37.1045,1019.57,650000
33.2179,30.15,131,131,-5006.19677734375,37.2865,29.9,655000
80.5202,70.68,132,132,-6862.93798828125,32.912,71.03,660000
27.3041,175.89,133,133,-7191.46044921875,35.1525,178.16,665000
41.7251,1004.2,134,134,-7445.18701171875,38.009,1005.08,670000
46.2277,998.95,135,135,-7758.62646484375,39.7798,998.86,675000
40.1591,997.65,136,136,-7844.10986328125,38.0726,997.24,680000
36.6256,1006.35,137,137,-7736.5078125,38.5155,1006.86,685000
41.1321,1004.35,138,138,-7813.61376953125,38.7676,1004.8,690000
55.24,1006.07,139,139,-8127.41259765625,38.6359,1005.91,695000
63.9659,999.25,140,140,-8191.2255859375,40.6439,999.54,700000
52.5631,993.99,141,141,-8128.01904296875,39.1969,993.94,705000
56.0393,992.28,142,142,-8275.328125,39.1665,992.23,710000
41.7252,1001.49,143,143,-8304.125,39.141,1001.68,715000
36.3752,166.06,144,144,-8156.54541015625,36.4,189.88,720000
30.1826,382.38,145,145,-6717.04150390625,33.1378,385.86,725000
25.7399,417.56,146,146,-6018.71484375,32.8218,418.78,730000
28.676,992.49,147,147,-8008.93994140625,37.2254,992.77,735000
50.8612,1001.02,148,148,-8705.06640625,38.2436,1001.25,740000
40.5608,1024.5,149,149,-8849.9033203125,38.1472,1024.87,745000
33.8479,1015.89,150,150,-8829.6328125,38.5063,1004.12,750000
45.3724,791.31,151,151,-8826.44140625,38.547,961.68,755000
46.1527,997.51,152,152,-8941.9482421875,39.0293,997.16,760000
52.6862,992.25,153,153,-9131.4765625,38.8463,992.81,765000
42.2175,228.45,154,154,-6988.01806640625,33.3676,224.99,770000
40.7936,947.13,155,155,-8439.587890625,33.2868,1016.69,775000
45.2051,998.96,156,156,-9287.9345703125,38.2683,999.47,780000
46.8675,1001.33,157,157,-9393.6123046875,38.5597,1001.4,785000
41.9811,1009.15,158,158,-9395.7216796875,37.6432,1009.09,790000
29.714,1010.7,159,159,-9185.361328125,36.845,1011.14,795000
24.5658,1016.33,160,160,-8781.7841796875,36.7409,1014.74,800000
21.96,1006.3,161,161,-8965.0771484375,36.3615,1006.77,805000
45.9574,233.26,162,162,-9670.9912109375,37.0342,259.78,810000
38.1322,32.63,163,163,-9655.521484375,37.1063,32.75,815000
40.1797,113.75,164,164,-9492.2734375,35.5175,79.13,820000
120.7653,4.05,165,165,-7299.6201171875,41.3239,4.09,825000
48.9369,999.15,166,166,-10035.9091796875,38.296,998.09,830000
60.2404,990.83,167,167,-10189.1376953125,38.3613,990.95,835000
188.1392,72.89,168,168,-5835.4296875,36.7373,22.02,840000
80.6839,177.46,169,169,-9269.4208984375,34.1557,206.15,845000
40.4513,1010.12,170,170,-10118.6328125,37.1472,1010.32,850000
31.2637,1006.64,171,171,-9881.59375,35.887,1007.34,855000
33.7618,1035.19,172,172,-10392.8173828125,35.8425,1035.25,860000
31.8409,1023.59,173,173,-10466.1650390625,36.9267,1023.32,865000
34.5409,1058.5,174,174,-10559.6015625,36.6776,1058.34,870000
39.5762,1037.37,175,175,-10665.04296875,36.6694,1037.4,875000
42.1378,1030.23,176,176,-10702.7158203125,36.6602,1030.55,880000
37.5129,1036.42,177,177,-10777.5283203125,37.9258,1035.64,885000
37.6379,1039.2,178,178,-10840.7646484375,37.419,1038.49,890000
31.0252,1037.73,179,179,-10840.189453125,38.2869,1041.96,895000
38.3705,997.45,180,180,-10836.2998046875,37.7553,997.56,900000
40.8592,1006.08,181,181,-11043.6005859375,38.6746,1006.56,905000
42.5415,1004.63,182,182,-11283.5341796875,39.2872,1004.35,910000
96.3757,7.93,183,183,-8123.95654296875,38.1218,7.98,915000
172.59,30.01,184,184,-10542.154296875,37.5716,28.94,920000
25.497,191.62,185,185,-10444.740234375,35.3364,194.31,925000
41.5176,1001.59,186,186,-11624.525390625,37.4217,1002.64,930000
31.3376,1006.21,187,187,-11700.0712890625,38.2184,1006.4,935000
33.7273,538.86,188,188,-11519.1865234375,38.4769,554.71,940000
38.6249,988.18,189,189,-11687.568359375,38.6539,988.06,945000
42.3616,992.87,190,190,-11968.2001953125,39.2969,992.71,950000
40.9729,986.62,191,191,-11975.5322265625,38.5817,985.32,955000
38.4288,1009.45,192,192,-12064.6904296875,38.4591,1009.72,960000
48.1301,76.05,193,193,-10489.1435546875,33.0801,78.25,965000
73.1694,91.01,194,194,-10243.4736328125,32.6783,91.72,970000
38.3611,997.24,195,195,-11954.8193359375,37.8373,994.82,975000
46.2225,1004.95,196,196,-12568.177734375,37.2028,1005.22,980000
38.2371,1007.15,197,197,-12735.61328125,38.303,1007.64,985000
84.4408,4.37,198,198,-11576.6611328125,34.7934,4.36,990000
36.8334,846.0,199,199,-12529.7216796875,39.502,995.24,995000
