Running Forward KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Reward Loss,Running Reverse KL,Running Update Time
18.7274,2845.28,3387.52,79,395000,-505.3011779785156,11.8423,79
18.8038,2763.48,3404.16,80,400000,-498.9725341796875,12.2619,80
18.1254,3365.34,3404.48,81,405000,-539.339111328125,11.3007,81
18.9119,3195.32,3405.6,82,410000,-629.7891235351562,12.9416,82
18.1687,3054.85,3416.95,83,415000,-502.96856689453125,12.2969,83
18.3106,2857.06,3405.33,84,420000,-573.9868774414062,17.5479,84
19.2168,3150.51,3355.8,85,425000,-674.84619140625,13.8644,85
18.0159,3277.32,3407.14,86,430000,-454.38861083984375,11.4849,86
18.4458,3317.34,3378.88,87,435000,-519.6337890625,12.1764,87
18.0548,3296.8,3360.38,88,440000,-550.7789916992188,11.7468,88
18.4641,3265.68,3411.47,89,445000,-564.2528686523438,12.4333,89
17.9866,3288.49,3393.61,90,450000,-520.2806396484375,11.5495,90
18.404,3309.95,3382.32,91,455000,-512.2651977539062,12.0486,91
19.3682,3273.02,3353.83,92,460000,-781.9249267578125,12.6719,92
19.4237,2968.23,3390.89,93,465000,-823.2622680664062,14.8945,93
18.8896,3369.62,3396.61,94,470000,-672.6749267578125,12.8381,94
18.4745,3016.14,3421.07,95,475000,-503.738037109375,11.7326,95
18.2852,3254.94,3382.3,96,480000,-635.9390258789062,12.7363,96
17.9843,3275.74,3411.74,97,485000,-472.7361145019531,11.7007,97
19.114,2463.54,3361.45,98,490000,-626.9082641601562,12.8682,98
18.2022,3250.94,3422.92,99,495000,-543.5167846679688,11.5326,99
19.5787,2390.72,3410.27,100,500000,-857.9542236328125,17.0802,100
28.5463,333.33,333.08,101,505000,-1556.585205078125,29.4135,101
25.1541,479.03,412.23,102,510000,-2082.85791015625,33.6669,102
20.8398,1645.21,2268.77,103,515000,-1496.8116455078125,20.7259,103
20.467,3229.78,3297.01,104,520000,-769.160400390625,13.1528,104
20.4147,3149.87,3248.08,105,525000,-990.5377197265625,14.0726,105
19.9779,2429.41,3193.33,106,530000,-1089.046630859375,20.7179,106
19.5918,3104.12,3240.49,107,535000,-995.9226684570312,11.62,107
18.9512,3327.44,3346.41,108,540000,-805.0736694335938,12.1457,108
19.4748,3089.88,3365.23,109,545000,-899.3054809570312,14.1685,109
18.7404,3322.88,3405.58,110,550000,-676.8986206054688,12.1193,110
19.8515,2757.43,3427.9,111,555000,-1164.4932861328125,17.908,111
18.945,2997.5,3433.8,112,560000,-913.9029541015625,17.8013,112
19.065,3206.81,3433.4,113,565000,-1017.5401000976562,33.3258,113
18.3533,3405.39,3439.04,114,570000,-750.5073852539062,19.1093,114
19.2239,3077.67,3412.14,115,575000,-989.994873046875,33.7839,115
19.5574,2886.84,3418.18,116,580000,-999.3543090820312,26.1125,116
18.4097,3045.85,3448.52,117,585000,-799.4100952148438,14.5287,117
18.9426,3379.4,3407.62,118,590000,-718.5903930664062,12.5546,118
18.3059,3241.58,3420.57,119,595000,-847.694091796875,11.4938,119
18.8101,3177.72,3442.46,120,600000,-980.8804931640625,11.8523,120
17.7148,3397.72,3435.09,121,605000,-636.1565551757812,11.4282,121
17.5792,3400.33,3420.43,122,610000,-631.9514770507812,11.2881,122
18.5892,3424.63,3450.08,123,615000,-644.604248046875,12.6119,123
17.707,3413.43,3420.03,124,620000,-589.644775390625,11.7832,124
18.005,3417.1,3434.15,125,625000,-599.7167358398438,11.7512,125
18.4856,3406.76,3435.09,126,630000,-765.2919311523438,12.5875,126
18.7522,3398.89,3421.35,127,635000,-756.0841064453125,12.8611,127
18.2555,3351.86,3411.86,128,640000,-958.7474975585938,11.0911,128
18.2232,3368.54,3410.29,129,645000,-877.1907348632812,11.2934,129
18.2698,3168.61,3436.74,130,650000,-794.1668701171875,12.3831,130
18.5434,3268.14,3484.37,131,655000,-766.76611328125,11.0938,131
17.5857,3316.09,3421.59,132,660000,-713.3887329101562,11.5651,132
17.7547,3305.45,3431.56,133,665000,-727.5023803710938,11.637,133
17.9458,3401.24,3455.98,134,670000,-861.0342407226562,13.7871,134
17.8528,3386.57,3408.89,135,675000,-826.768310546875,11.6601,135
18.1415,3275.91,3441.97,136,680000,-771.9295043945312,12.1793,136
17.9449,3371.38,3437.07,137,685000,-837.0728149414062,11.669,137
18.249,3387.59,3443.7,138,690000,-858.583251953125,11.9866,138
18.2023,3346.01,3426.96,139,695000,-904.4676513671875,11.9046,139
18.0631,3427.68,3452.62,140,700000,-724.5625,12.0685,140
17.8223,3319.65,3422.85,141,705000,-838.2542724609375,11.0161,141
17.703,3427.91,3444.37,142,710000,-721.7967529296875,11.7237,142
17.6234,3428.3,3447.47,143,715000,-695.6806030273438,11.6174,143
18.0508,3380.04,3399.74,144,720000,-934.1069946289062,11.5398,144
18.2316,3415.01,3438.57,145,725000,-830.8009033203125,12.1241,145
17.213,3419.39,3433.2,146,730000,-692.771728515625,11.1103,146
17.8905,3430.59,3453.71,147,735000,-791.4185180664062,11.5187,147
17.5807,3397.34,3423.91,148,740000,-930.32470703125,11.3651,148
17.54,3439.77,3458.87,149,745000,-681.7088623046875,11.3349,149
17.8288,3406.33,3435.44,150,750000,-910.854248046875,11.8592,150
17.8209,3231.93,3456.49,151,755000,-868.6958618164062,12.9602,151
17.0541,3389.58,3445.85,152,760000,-816.7154541015625,11.5605,152
17.5099,3409.77,3429.71,153,765000,-956.5930786132812,11.0484,153
17.4161,3390.13,3439.73,154,770000,-878.833740234375,11.1787,154
17.4467,3417.97,3434.1,155,775000,-772.7914428710938,11.3547,155
17.3542,3402.55,3419.89,156,780000,-946.1924438476562,11.525,156
17.3749,3398.07,3435.99,157,785000,-874.3487548828125,11.135,157
17.6535,3423.36,3449.38,158,790000,-901.2581176757812,11.2631,158
17.4734,3451.2,3464.35,159,795000,-827.353515625,11.3154,159
17.3734,3410.99,3449.76,160,800000,-876.7078857421875,10.9266,160
17.2693,3407.2,3424.88,161,805000,-935.6748046875,11.4758,161
17.316,3280.74,3453.72,162,810000,-884.35693359375,10.8323,162
17.6385,3280.98,3455.41,163,815000,-910.1656494140625,11.6388,163
17.6946,3437.85,3458.23,164,820000,-894.7097778320312,11.1078,164
17.6008,3427.81,3463.51,165,825000,-857.8826293945312,11.0905,165
