Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Env Steps,Running Forward KL,Running Update Time,Real Sto Return
172,13.9687,-4646.68994140625,4738.23,860000,37.205,172,4591.3
173,11.9671,-4673.302734375,4079.57,865000,39.6766,173,3497.32
174,13.0316,-4639.07373046875,4773.18,870000,38.3654,174,4554.44
175,13.0471,-4770.28564453125,4659.47,875000,37.9062,175,4342.12
176,14.652,-4606.8291015625,4732.36,880000,38.9225,176,4176.33
177,12.5687,-4600.87255859375,4725.13,885000,38.3383,177,4203.4
178,13.6224,-4913.99755859375,4759.8,890000,37.3291,178,4601.73
179,12.5928,-5018.751953125,4720.42,895000,38.8781,179,4087.15
180,14.6519,-5123.314453125,4767.77,900000,38.7675,180,4313.9
181,12.1546,-4931.99560546875,4769.24,905000,38.7227,181,4033.1
182,13.2086,-5051.27880859375,4703.96,910000,37.908,182,4502.03
183,13.41,-4657.85791015625,4754.12,915000,37.0279,183,4594.12
184,17.4107,-5168.984375,4813.94,920000,38.6708,184,4379.42
185,12.8256,-5101.3876953125,4783.85,925000,37.8,185,4287.17
186,14.4865,-5359.5,4757.39,930000,37.9887,186,4390.25
187,13.7222,-5057.6298828125,4774.78,935000,37.4481,187,4617.8
188,12.5717,-5155.1123046875,4751.68,940000,38.2771,188,4410.47
189,12.4923,-5280.9326171875,4728.07,945000,38.4061,189,4538.9
190,14.1572,-5361.6337890625,4739.63,950000,37.5091,190,4583.17
191,12.433,-5709.23828125,4726.42,955000,38.8815,191,4090.22
192,13.1941,-5194.974609375,4637.18,960000,37.0479,192,4529.72
193,12.4303,-5419.1640625,4743.05,965000,37.8795,193,4330.35
194,13.1735,-5782.34423828125,4691.04,970000,37.8192,194,4398.66
195,13.3694,-5521.623046875,4678.48,975000,37.5861,195,4580.98
196,14.0952,-5780.1962890625,4619.73,980000,39.042,196,4135.63
197,12.6689,-5986.94287109375,4722.77,985000,38.9565,197,3544.3
198,11.1535,-5604.546875,4755.25,990000,38.9578,198,3563.0
199,12.3571,-6113.68212890625,4771.36,995000,38.7496,199,4399.31
200,12.664,-5457.13671875,4729.01,1000000,36.7787,200,4519.13
201,14.2828,-5953.98876953125,4747.1,1005000,37.3328,201,4596.11
202,13.2045,-5882.41943359375,4674.66,1010000,37.8992,202,4279.92
203,13.7049,-6184.958984375,4693.14,1015000,38.1937,203,4349.26
204,12.2376,-5895.38671875,4691.55,1020000,37.7365,204,4459.62
205,13.5751,-5820.4296875,4741.94,1025000,36.7653,205,4634.55
206,13.4806,-5807.83154296875,4739.46,1030000,36.9458,206,4613.06
207,13.4845,-5991.8857421875,4683.74,1035000,37.3464,207,4571.31
208,13.9046,-6188.6494140625,4699.75,1040000,37.3116,208,4558.03
209,13.7895,-6252.86181640625,4660.73,1045000,37.3662,209,4548.23
210,14.0945,-6326.54052734375,4703.47,1050000,37.9016,210,4565.84
211,13.8724,-6224.947265625,4731.23,1055000,37.154,211,4603.51
212,14.5229,-6194.9111328125,4733.96,1060000,36.8497,212,4479.8
213,14.0159,-6328.45751953125,4760.16,1065000,36.916,213,4605.64
214,13.4625,-6310.63720703125,4787.26,1070000,36.6922,214,4623.46
215,13.6519,-6392.23876953125,4756.31,1075000,37.4717,215,4576.87
216,14.0153,-6410.61376953125,4775.33,1080000,37.2216,216,4625.24
217,14.9643,-6601.10693359375,4786.8,1085000,36.816,217,4641.38
218,14.063,-6649.646484375,4709.91,1090000,37.2682,218,4405.6
219,14.0946,-6602.37255859375,4753.1,1095000,37.336,219,4570.41
220,13.9572,-6740.91845703125,4746.63,1100000,37.7343,220,4557.94
221,13.1082,-6663.53369140625,4648.54,1105000,37.2005,221,4529.41
222,13.4712,-6757.6103515625,4683.46,1110000,37.1562,222,4571.28
223,13.6214,-6973.1875,4665.69,1115000,37.1555,223,4571.7
224,13.9391,-6885.1259765625,4637.88,1120000,37.348,224,4624.91
225,13.6011,-7015.90869140625,4507.75,1125000,37.5466,225,4581.56
226,13.9479,-7194.5380859375,4708.97,1130000,37.4253,226,4529.64
227,14.0283,-7165.86669921875,4713.61,1135000,37.6085,227,4554.63
228,13.5505,-7085.70947265625,4751.77,1140000,36.9799,228,4607.79
229,13.6047,-7248.0751953125,4789.3,1145000,37.0933,229,4630.9
230,14.5661,-7379.01123046875,4724.49,1150000,37.5828,230,4582.65
231,14.6979,-7453.4365234375,4719.98,1155000,37.6677,231,4597.19
232,14.5938,-7506.3916015625,4731.53,1160000,37.6861,232,4588.6
233,14.668,-7669.02880859375,4724.4,1165000,38.0039,233,4631.77
234,14.1707,-7537.8916015625,4732.49,1170000,37.5393,234,4611.49
235,14.514,-7758.59130859375,4714.07,1175000,37.6675,235,4588.9
236,14.0162,-7851.64892578125,4679.11,1180000,37.8434,236,4576.96
237,14.7933,-7651.06787109375,4711.1,1185000,37.3951,237,4626.65
238,13.7804,-7716.521484375,4660.13,1190000,37.662,238,4553.31
239,14.4835,-7598.05712890625,4721.19,1195000,37.359,239,4621.57
240,13.9267,-7913.908203125,4753.74,1200000,37.8397,240,4621.33
241,14.2844,-8133.18359375,4708.97,1205000,37.6291,241,4629.05
242,13.4758,-8013.916015625,4717.71,1210000,37.4663,242,4607.59
243,13.955,-8172.02197265625,4703.13,1215000,37.6129,243,4595.05
244,14.3882,-8013.25830078125,4725.17,1220000,37.6089,244,4645.72
245,14.4327,-8137.74560546875,4699.76,1225000,38.1614,245,4588.39
246,14.1321,-8500.9482421875,4758.73,1230000,38.088,246,4645.56
247,14.3334,-8529.1669921875,4791.43,1235000,37.7167,247,4667.77
248,14.1901,-8659.3740234375,4767.14,1240000,38.2488,248,4510.27
249,13.859,-7929.00732421875,4722.38,1245000,36.9254,249,4584.63
250,13.9666,-8266.1650390625,4812.3,1250000,37.1567,250,4501.25
251,13.2848,-7881.14404296875,4750.82,1255000,37.3769,251,4593.47
252,13.5874,-7856.5703125,4766.19,1260000,36.7982,252,4649.08
253,13.1092,-7925.888671875,4818.53,1265000,36.9856,253,4547.12
254,13.8357,-8619.22265625,4726.52,1270000,37.4778,254,4588.67
255,13.9133,-8852.7734375,4753.06,1275000,37.6048,255,4638.01
256,13.9256,-8454.9599609375,4764.39,1280000,37.9467,256,4619.32
257,13.4368,-8786.767578125,4784.48,1285000,37.3512,257,4650.54
258,13.7104,-8890.7412109375,4816.99,1290000,37.4922,258,4685.04
259,14.905,-9132.04296875,4837.81,1295000,37.6538,259,4732.15
260,13.3119,-8608.0751953125,4685.72,1300000,37.0931,260,4614.15
261,13.7211,-8922.8271484375,4700.95,1305000,37.2134,261,4630.71
262,13.9586,-9014.2041015625,4757.69,1310000,37.2642,262,4660.35
263,14.1789,-9146.20703125,4776.62,1315000,37.3682,263,4659.75
264,14.4641,-9546.74609375,4735.55,1320000,36.748,264,4656.75
265,14.5841,-9607.0498046875,4815.02,1325000,37.182,265,4690.42
266,14.0661,-9417.2197265625,4620.19,1330000,37.4759,266,4560.97
267,14.1308,-9341.5634765625,4833.13,1335000,37.0885,267,4683.26
268,14.9844,-9834.1337890625,4658.33,1340000,37.5405,268,4157.11
269,14.4395,-9892.3837890625,4778.11,1345000,37.346,269,4649.29
270,14.4765,-9954.9921875,4824.47,1350000,37.0319,270,4722.22
271,14.9364,-10183.076171875,4822.71,1355000,37.1125,271,4724.68
272,14.1866,-9888.431640625,4806.58,1360000,36.8461,272,4443.33
273,14.5821,-9907.8046875,4763.4,1365000,37.1167,273,4628.46
274,13.6786,-9978.03515625,4756.9,1370000,36.8521,274,4605.84
275,14.0952,-9483.7841796875,4668.46,1375000,36.8734,275,4574.26
276,15.0027,-10234.47265625,4722.05,1380000,37.7802,276,4615.38
277,14.3166,-10331.845703125,4758.92,1385000,37.0929,277,4626.91
278,14.4857,-10440.90625,4775.92,1390000,36.7681,278,4654.44
279,14.3311,-10450.8671875,4737.67,1395000,37.525,279,4593.27
280,14.5594,-10286.3818359375,4809.87,1400000,37.1604,280,4631.43
281,14.3312,-10811.8974609375,4710.39,1405000,37.3957,281,4595.51
282,14.088,-10638.576171875,4699.7,1410000,36.9077,282,4489.45
283,15.0146,-10565.5234375,4715.03,1415000,37.5164,283,4616.55
284,13.9741,-10314.5751953125,1413.7,1420000,37.204,284,2511.07
285,13.8519,-10240.359375,4632.89,1425000,37.0635,285,4512.74
286,14.3065,-11017.0693359375,4662.2,1430000,37.2205,286,4380.66
287,13.8665,-11396.078125,4813.14,1435000,37.529,287,4459.53
288,15.4565,-11347.4482421875,4736.74,1440000,38.103,288,4489.31
289,14.1184,-11152.349609375,4733.98,1445000,36.802,289,4640.16
290,14.0104,-11594.2470703125,4790.16,1450000,37.229,290,4650.16
291,14.063,-11733.076171875,4726.6,1455000,37.7135,291,4611.21
292,14.0575,-11974.3408203125,4804.09,1460000,37.0231,292,4670.33
293,13.2482,-11201.19140625,4710.27,1465000,36.5959,293,4600.38
294,13.3183,-11913.7509765625,4624.36,1470000,37.2079,294,4399.21
295,13.4883,-12008.0439453125,4641.62,1475000,37.3783,295,4532.12
296,13.8531,-11744.064453125,4750.9,1480000,36.8123,296,4676.71
297,12.7835,-11184.5732421875,4750.03,1485000,36.9198,297,4618.16
298,13.6472,-12135.283203125,4705.21,1490000,36.8766,298,4596.62
299,13.3747,-11988.7265625,4697.59,1495000,37.2467,299,4584.42
300,14.1357,-12698.9248046875,4763.48,1500000,37.7735,300,4645.65
301,14.1519,-12605.52734375,4765.86,1505000,37.6909,301,4636.59
302,14.3683,-12690.7314453125,4721.02,1510000,37.8037,302,4577.52
303,13.9077,-12958.3837890625,4692.4,1515000,37.6502,303,4567.45
304,15.2335,-13279.205078125,4724.69,1520000,38.0968,304,4657.2
305,13.7666,-13655.9921875,4621.76,1525000,38.536,305,4486.09
306,14.1296,-13179.3046875,4614.08,1530000,38.459,306,4553.17
307,14.1962,-13184.0048828125,4681.3,1535000,37.972,307,4616.6
308,14.2474,-13677.537109375,4608.28,1540000,37.586,308,4566.06
309,14.1865,-13500.0634765625,4608.56,1545000,37.7637,309,4402.28
310,14.2687,-13474.6748046875,4625.6,1550000,38.3853,310,4584.75
311,14.1526,-13020.2353515625,4610.26,1555000,37.5411,311,4498.48
312,13.6292,-13162.6552734375,4563.96,1560000,37.5196,312,4451.98
313,14.5343,-13881.1396484375,4793.97,1565000,37.8963,313,4673.79
314,13.3736,-13517.326171875,4535.26,1570000,37.8745,314,4523.03
315,14.2071,-13927.521484375,4696.04,1575000,37.7575,315,4633.01
316,15.1468,-14175.3623046875,4701.58,1580000,38.1056,316,4638.37
317,14.2885,-13477.3154296875,4716.26,1585000,38.1729,317,4194.74
318,14.744,-13985.2109375,4818.85,1590000,37.8006,318,4657.87
319,14.3501,-13763.9130859375,4719.2,1595000,37.7044,319,4609.62
320,14.2754,-13263.1806640625,4831.27,1600000,36.6638,320,4733.04
321,14.5139,-14374.3212890625,4784.28,1605000,37.484,321,4660.15
322,14.3291,-13590.32421875,4711.21,1610000,37.3281,322,4604.15
323,14.2398,-14044.287109375,4732.14,1615000,36.6434,323,4673.56
324,14.0814,-14434.6533203125,4714.04,1620000,37.4888,324,4602.81
325,14.1064,-14092.3662109375,4775.36,1625000,37.1696,325,4657.67
326,14.7478,-14535.869140625,4747.86,1630000,37.3513,326,4611.43
327,14.9784,-14500.7373046875,4800.5,1635000,37.4775,327,4683.42
328,14.6528,-14230.7578125,4884.45,1640000,37.1175,328,4734.79
329,14.3641,-14200.783203125,4778.23,1645000,37.3273,329,4674.15
330,14.4069,-14379.9990234375,4719.76,1650000,37.2275,330,4599.11
331,14.7863,-14464.5927734375,4761.89,1655000,37.4776,331,4636.64
332,14.3691,-14739.126953125,4741.7,1660000,37.4468,332,4643.59
333,14.9027,-15059.5830078125,4793.36,1665000,37.6153,333,4663.1
334,14.7045,-14321.3828125,4862.69,1670000,37.0488,334,4670.73
335,15.1732,-15331.2646484375,4803.84,1675000,37.9966,335,4654.98
336,14.7022,-15088.287109375,4800.74,1680000,38.0406,336,4671.51
337,15.0849,-15976.4931640625,4825.88,1685000,38.3777,337,4668.69
338,15.0278,-15663.07421875,4802.74,1690000,37.9558,338,4657.36
339,15.0522,-16169.9765625,4828.18,1695000,38.3929,339,4677.9
340,14.5249,-15098.392578125,4843.77,1700000,37.4419,340,4696.94
341,14.9594,-15092.6005859375,4789.21,1705000,37.7894,341,4670.67
342,14.7748,-14569.333984375,4856.87,1710000,37.2738,342,4692.33
343,14.4092,-15498.8984375,4781.53,1715000,37.3866,343,4678.88
344,13.8147,-15002.5009765625,4725.8,1720000,37.0179,344,4631.97
345,14.0598,-15304.0009765625,4621.46,1725000,37.9136,345,4535.98
346,14.1847,-16196.5478515625,4735.99,1730000,37.7173,346,4589.46
347,15.1708,-15570.3095703125,4754.91,1735000,37.4946,347,4636.84
348,14.2526,-15582.6826171875,4761.43,1740000,37.2928,348,4602.72
349,15.4145,-15086.2998046875,4729.15,1745000,37.6549,349,4627.17
350,22.9808,-16188.2978515625,4651.97,1750000,40.7799,350,2253.59
351,16.8169,-16194.451171875,4743.11,1755000,39.7174,351,4343.4
352,19.1459,-17518.294921875,4745.89,1760000,40.5127,352,4669.27
353,18.7827,-18311.05859375,4722.35,1765000,40.3632,353,4680.58
354,15.7738,-17705.44921875,4191.15,1770000,41.6584,354,3081.78
355,17.5617,-17425.890625,4673.55,1775000,39.0246,355,4660.47
356,14.7625,-15695.8662109375,4724.01,1780000,38.5609,356,4563.77
357,16.6193,-16923.478515625,4707.53,1785000,37.5406,357,4699.01
358,15.8341,-15250.220703125,4454.61,1790000,38.1095,358,4258.5
359,12.3977,-14034.76171875,4174.56,1795000,36.1416,359,3809.02
360,14.364,-15817.4482421875,4799.36,1800000,36.8146,360,4234.54
361,15.9811,-16059.060546875,4825.68,1805000,36.3005,361,4477.98
362,15.1119,-16222.7470703125,4711.93,1810000,36.135,362,4572.43
363,14.4664,-15798.0126953125,4864.33,1815000,35.9264,363,4790.28
364,15.0435,-17263.537109375,4852.12,1820000,36.6076,364,4721.7
365,14.5078,-16793.75,4886.76,1825000,36.7087,365,4703.2
366,15.8119,-17568.4453125,4852.13,1830000,37.5789,366,4726.62
367,16.8735,-17514.85546875,4581.0,1835000,38.1602,367,4589.42
368,16.1923,-17993.06640625,4740.3,1840000,38.0449,368,4692.51
369,16.9108,-18372.923828125,4849.84,1845000,38.3515,369,4735.4
370,16.6235,-18047.5859375,4846.58,1850000,38.4188,370,4717.03
371,15.5462,-18228.26171875,4823.84,1855000,37.6009,371,4733.59
372,15.9447,-18004.19921875,4807.94,1860000,38.0627,372,4672.45
373,16.6044,-17842.24609375,4810.22,1865000,37.8474,373,4691.81
374,16.7504,-18327.505859375,4749.86,1870000,38.7086,374,4696.7
375,17.3531,-18288.88671875,4833.15,1875000,38.4418,375,4741.04
376,16.5079,-18697.201171875,4882.95,1880000,38.7452,376,4718.36
377,16.5057,-18704.22265625,4720.75,1885000,38.8485,377,4667.16
378,16.8097,-18040.046875,4844.56,1890000,38.1189,378,4735.39
379,16.9933,-18168.658203125,4901.4,1895000,38.3397,379,4773.77
380,16.2386,-17634.28515625,4869.58,1900000,37.8076,380,4716.7
381,16.121,-17438.78125,4848.21,1905000,37.7754,381,4676.9
382,16.5637,-17968.42578125,4922.48,1910000,38.0486,382,4778.78
383,15.9411,-18001.521484375,4833.28,1915000,37.9328,383,4736.23
384,15.8078,-17233.78125,4775.97,1920000,37.3913,384,4712.71
385,15.8298,-17893.677734375,4801.06,1925000,37.8756,385,4700.26
