Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return,Running Forward KL,Running Update Time,Itration,Real Sto Return
-2545.32958984375,53.8658,305000,992.57,40.5109,61,61,992.75
-2587.402587890625,33.4935,310000,1001.16,38.6581,62,62,1001.1
-2627.644287109375,48.4213,315000,995.92,37.767,63,63,995.72
-2660.825439453125,35.3034,320000,1022.7,37.4703,64,64,1023.52
-2749.705322265625,39.8579,325000,997.81,38.307,65,65,997.84
-2306.250244140625,28.8296,330000,956.18,34.8409,66,66,466.11
-2845.427978515625,34.0485,335000,1005.12,38.4687,67,67,1004.12
-2582.938720703125,69.6831,340000,86.11,32.4094,68,68,86.85
-2932.2734375,42.8983,345000,1004.85,37.9509,69,69,1001.82
-2994.289794921875,32.1423,350000,1028.05,38.0967,70,70,1025.91
-3062.475830078125,34.437,355000,1025.23,38.148,71,71,1025.1
-3032.76513671875,35.3496,360000,1033.29,37.3801,72,72,1033.17
-2951.55517578125,32.8508,365000,151.66,33.9133,73,73,155.24
-3425.899169921875,110.6409,370000,180.52,33.7558,74,74,183.82
-3301.326416015625,51.6771,375000,181.77,32.1511,75,75,183.86
-2798.249267578125,40.6963,380000,323.49,30.3705,76,76,157.66
-3138.21923828125,79.5254,385000,316.59,32.355,77,77,299.31
-3435.605224609375,38.1465,390000,8.88,32.3928,78,78,21.41
-3175.782958984375,82.3348,395000,197.3,35.6124,79,79,186.52
-3082.45166015625,53.646,400000,33.83,35.8278,80,80,33.82
-3694.65576171875,38.9447,405000,1014.77,35.4249,81,81,1014.24
-3685.99462890625,34.1649,410000,1022.06,35.4952,82,82,1021.97
-3644.22265625,34.7054,415000,1030.48,35.9084,83,83,1037.53
-3764.175048828125,44.9796,420000,1032.44,37.9076,84,84,1033.31
-3801.225830078125,45.6635,425000,1034.22,34.9582,85,85,1033.83
-3873.009033203125,51.2237,430000,1034.12,37.1618,86,86,1034.36
-3914.844482421875,69.0182,435000,290.85,34.1704,87,87,279.82
-4087.344482421875,32.6107,440000,262.71,34.31,88,88,1045.65
-4123.18798828125,56.6996,445000,43.99,36.2161,89,89,43.97
-2111.794921875,20.918,450000,152.07,31.0188,90,90,186.24
-67.97685241699219,21.9484,455000,289.24,29.6658,91,91,289.67
-4278.83154296875,30.0422,460000,923.15,34.9499,92,92,875.45
-4398.32861328125,39.2596,465000,1013.38,39.925,93,93,1011.96
-4358.56396484375,29.6871,470000,1043.23,35.4705,94,94,656.35
-4511.0107421875,26.9757,475000,1030.52,37.3477,95,95,996.3
-4456.52294921875,37.128,480000,1007.59,37.9778,96,96,1007.08
-4564.603515625,50.7629,485000,1003.52,39.5808,97,97,1003.14
-4713.53857421875,42.1353,490000,996.84,40.4216,98,98,996.67
-4480.12109375,31.4161,495000,195.95,33.0204,99,99,233.69
-3611.018798828125,37.5177,500000,178.26,31.4411,100,100,86.48
-4961.7255859375,59.1473,505000,712.52,38.6144,101,101,979.49
-4947.416015625,38.84,510000,1008.21,36.3675,102,102,1007.13
-4877.33740234375,32.6485,515000,236.53,33.5808,103,103,238.62
-4932.43603515625,41.1154,520000,158.68,33.0852,104,104,173.93
-5245.00390625,54.4562,525000,971.33,38.8489,105,105,971.31
-4788.77001953125,28.3068,530000,90.9,34.0263,106,106,90.24
-4836.16455078125,30.3158,535000,683.05,32.7084,107,107,519.42
-5367.68994140625,42.6082,540000,1019.57,37.5092,108,108,1018.93
-5367.68408203125,32.808,545000,1006.54,38.4678,109,109,1010.51
-3456.2880859375,20.9094,550000,81.97,32.7853,110,110,82.13
-5470.3544921875,37.4802,555000,1005.52,36.9945,111,111,1005.66
-5620.86767578125,41.3115,560000,993.78,38.185,112,112,990.45
-5552.44677734375,48.3624,565000,1016.93,36.5826,113,113,1015.74
-5609.466796875,45.355,570000,1006.05,37.2457,114,114,1006.3
-5714.1435546875,42.6227,575000,1001.48,37.8325,115,115,1001.76
-5712.2578125,35.3186,580000,1045.13,36.5459,116,116,1042.37
-5871.197265625,58.7052,585000,968.69,39.2801,117,117,894.37
-4927.9775390625,30.8867,590000,509.73,33.1782,118,118,501.38
-6045.09521484375,49.9254,595000,995.87,39.4591,119,119,995.74
-6069.1201171875,47.7831,600000,1003.87,37.7466,120,120,1002.66
-6157.50439453125,58.7984,605000,978.78,39.3851,121,121,978.65
-6204.47216796875,120.5918,610000,642.4,39.0618,122,122,545.75
-6318.24560546875,71.0097,615000,217.71,38.4413,123,123,218.35
-6433.4921875,92.2711,620000,550.8,38.2002,124,124,547.97
-5960.3564453125,74.7098,625000,96.64,34.5023,125,125,98.54
-6010.3623046875,52.2692,630000,156.91,35.616,126,126,156.19
-6231.79443359375,54.7837,635000,231.04,33.9667,127,127,230.83
-5879.34912109375,42.382,640000,226.33,34.1458,128,128,227.06
-6706.447265625,42.6908,645000,1029.64,38.5174,129,129,1029.12
-6820.72998046875,56.3016,650000,998.98,39.5297,130,130,999.07
-6772.52099609375,53.0147,655000,976.85,37.7007,131,131,976.86
-6916.1162109375,47.2061,660000,988.53,38.5847,132,132,985.49
-6803.08203125,60.127,665000,23.0,34.3649,133,133,23.74
-6266.44970703125,150.4729,670000,35.91,34.1338,134,134,31.9
-5941.25439453125,70.935,675000,276.49,33.587,135,135,272.24
-7096.07421875,49.7255,680000,1002.8,40.2825,136,136,1002.62
-7219.9921875,43.865,685000,1005.94,40.0233,137,137,1007.17
-7104.294921875,52.9494,690000,1003.36,38.6711,138,138,1003.4
-7505.81787109375,54.9867,695000,987.63,38.4786,139,139,987.62
-7265.5517578125,35.9895,700000,1062.02,38.0053,140,140,1062.27
-7339.90283203125,39.6304,705000,1009.48,37.0335,141,141,1009.98
-7404.845703125,45.6685,710000,1003.88,36.7414,142,142,1003.67
-7479.27099609375,40.7048,715000,1004.31,37.4876,143,143,1004.56
-7469.03515625,34.3456,720000,1047.24,35.5272,144,144,1087.55
-7704.42626953125,37.2283,725000,1002.46,39.7869,145,145,1012.97
-7706.78759765625,50.9259,730000,997.23,39.7424,146,146,997.34
-7645.50390625,31.391,735000,1026.01,37.8826,147,147,1025.66
-7772.69677734375,37.8167,740000,996.94,38.0872,148,148,996.97
-7982.89794921875,37.3641,745000,956.1,37.0065,149,149,1000.49
-8222.470703125,59.2912,750000,982.2,36.479,150,150,982.22
-8322.8212890625,53.2573,755000,982.69,37.6961,151,151,982.4
-8159.0703125,178.3893,760000,13.47,34.1112,152,152,13.4
-4089.47607421875,20.724,765000,69.74,30.8235,153,153,69.94
-7729.0009765625,49.6474,770000,279.02,34.5328,154,154,275.06
-7949.3056640625,52.4053,775000,279.18,32.7797,155,155,280.67
-7712.01416015625,20.5573,780000,218.67,33.3649,156,156,217.99
-8135.150390625,30.4618,785000,1054.68,34.077,157,157,1025.45
-8737.990234375,41.942,790000,678.55,37.5182,158,158,637.34
-8063.09326171875,30.7633,795000,899.07,35.6499,159,159,884.52
-7358.49169921875,31.3273,800000,580.62,31.4387,160,160,565.43
-8836.6533203125,35.2094,805000,578.88,38.091,161,161,591.7
-8949.923828125,33.1119,810000,1051.64,37.0556,162,162,1051.85
-9123.0517578125,32.958,815000,1051.29,39.2351,163,163,1052.2
-9184.623046875,28.4992,820000,1025.1,37.9302,164,164,1024.96
-8984.6669921875,26.8049,825000,1027.32,37.7219,165,165,1027.96
-9201.619140625,24.5387,830000,1046.71,37.9657,166,166,1047.53
-9219.90625,34.3216,835000,1025.02,38.9425,167,167,1003.66
-7062.5,22.3322,840000,564.08,31.3368,168,168,554.33
-9424.169921875,29.8377,845000,1051.66,37.4731,169,169,1049.73
-6414.736328125,26.0605,850000,208.19,32.2616,170,170,193.59
-8690.728515625,36.2446,855000,366.61,32.1605,171,171,371.86
-9697.34765625,32.7636,860000,466.26,37.693,172,172,450.4
-9696.9990234375,22.7812,865000,1049.49,37.548,173,173,1048.91
-9680.787109375,21.536,870000,1058.07,36.2192,174,174,1076.59
-9715.673828125,22.039,875000,1062.53,35.9219,175,175,1063.83
-10024.783203125,169.7108,880000,6.99,39.6878,176,176,6.64
-9409.9716796875,89.1813,885000,158.65,34.2481,177,177,159.04
-9594.046875,57.3212,890000,222.03,33.4988,178,178,222.9
-10179.2041015625,33.5858,895000,1004.49,35.4939,179,179,1003.23
-10460.822265625,33.9786,900000,998.13,36.5013,180,180,1000.9
-2863.047119140625,21.366,905000,137.92,26.1787,181,181,143.74
-9985.1845703125,44.7598,910000,237.64,34.0102,182,182,235.43
-7536.28759765625,24.4235,915000,252.78,31.6284,183,183,251.58
-10329.44921875,46.0439,920000,596.27,35.0551,184,184,598.73
-10473.4462890625,35.3771,925000,512.65,35.4124,185,185,527.27
-10118.0771484375,26.3455,930000,420.92,35.349,186,186,424.23
-10144.4228515625,28.4956,935000,577.94,34.0521,187,187,776.61
-10572.1591796875,28.3119,940000,535.33,34.8333,188,188,1015.22
-9690.904296875,23.1991,945000,431.09,36.3505,189,189,415.52
-11126.896484375,32.6217,950000,1016.43,35.6809,190,190,1014.98
-10079.2314453125,33.715,955000,692.93,32.4454,191,191,694.36
-11214.0,44.9745,960000,1006.73,38.8542,192,192,1006.72
-11292.34375,44.5498,965000,1010.46,37.7661,193,193,1010.02
-11301.177734375,33.3689,970000,1037.16,36.7728,194,194,1039.88
-10579.423828125,50.8764,975000,346.05,33.4238,195,195,345.18
-9366.8759765625,43.9576,980000,589.6,28.1027,196,196,463.86
-10214.2666015625,46.4443,985000,458.99,30.215,197,197,404.41
-6769.7880859375,20.5909,990000,1901.99,29.9004,198,198,1813.83
-10607.4287109375,41.5289,995000,584.0,30.9573,199,199,592.16
