Itration,Running Update Time,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
109,109,4055.24,-3024.4677734375,4112.99,545000,43.283,18.1469
110,110,4056.59,-3332.92724609375,4116.03,550000,44.2785,20.8923
111,111,4106.27,-3115.3046875,4140.53,555000,43.8676,20.7028
112,112,3972.93,-3353.67431640625,3978.54,560000,43.8805,20.3532
113,113,3864.64,-3506.928955078125,4027.47,565000,43.022,17.7455
114,114,4013.7,-3177.042724609375,4046.3,570000,43.6854,19.5199
115,115,4117.06,-3287.071044921875,4113.1,575000,43.7034,20.6858
116,116,4031.0,-3249.954833984375,4066.05,580000,43.6694,18.8729
117,117,4013.98,-3177.4462890625,4042.45,585000,43.5941,19.344
118,118,4052.77,-3400.881591796875,4087.84,590000,43.9201,19.5666
119,119,4020.38,-3474.19775390625,4089.69,595000,43.6392,18.3964
120,120,4093.22,-3348.5185546875,4106.0,600000,43.3299,18.7486
121,121,4084.27,-3482.106201171875,4112.78,605000,43.5462,18.3275
122,122,3988.37,-3457.263671875,4046.0,610000,43.774,18.8196
123,123,4052.6,-3609.362548828125,4054.41,615000,43.8053,18.6864
124,124,4067.52,-3391.23046875,4023.79,620000,43.7574,19.9934
125,125,4160.83,-3482.691650390625,4170.28,625000,43.801,20.8137
126,126,4034.87,-3626.271484375,4050.17,630000,44.0755,20.005
127,127,4147.09,-3517.190185546875,4162.75,635000,43.7457,18.7011
128,128,4017.65,-3844.1865234375,4077.14,640000,43.8121,17.1222
129,129,4109.26,-3571.712646484375,4130.44,645000,43.2632,18.3859
130,130,4037.5,-3712.48486328125,4133.22,650000,43.0886,16.9604
131,131,4052.44,-3646.2333984375,4139.84,655000,43.297,18.7553
132,132,4124.16,-3692.2734375,4158.86,660000,43.8406,18.7574
133,133,3883.99,-3999.748291015625,4113.5,665000,43.917,19.0988
134,134,3984.9,-3894.638671875,4124.29,670000,43.077,16.7995
135,135,4095.12,-3960.3984375,4154.54,675000,43.2135,16.9465
136,136,4160.52,-3767.247802734375,4167.13,680000,43.2536,19.3264
137,137,4196.39,-3900.8115234375,4210.99,685000,43.7573,19.0674
138,138,4109.78,-3876.759521484375,4147.68,690000,43.8272,19.375
139,139,4101.62,-3997.493408203125,4124.8,695000,43.7757,17.994
140,140,3834.06,-4070.967041015625,4061.95,700000,43.5882,18.08
141,141,4129.25,-4009.0595703125,4196.4,705000,43.2035,19.2924
142,142,4146.49,-4070.760498046875,4201.92,710000,43.5731,18.14
143,143,4112.99,-4064.040771484375,4138.45,715000,44.0029,19.762
144,144,4033.29,-4331.66943359375,4065.86,720000,43.486,17.4326
145,145,4075.69,-4395.50634765625,4084.96,725000,44.4406,20.0833
146,146,4104.16,-4506.603515625,4139.6,730000,43.0656,17.7023
147,147,4075.76,-4380.97509765625,4116.14,735000,43.7002,18.7194
148,148,4163.15,-4353.73388671875,4176.48,740000,43.364,18.0078
149,149,4180.39,-4137.81982421875,4205.44,745000,43.1317,19.3402
150,150,4112.01,-4233.05419921875,4094.23,750000,43.655,18.9075
151,151,4131.48,-4267.623046875,4172.85,755000,43.3792,18.3452
152,152,3866.46,-4429.177734375,4079.56,760000,43.6833,18.8771
153,153,4163.95,-4666.921875,4152.99,765000,43.3246,21.2664
154,154,4075.08,-4445.14013671875,4112.68,770000,42.8,17.6359
155,155,4154.34,-4255.96142578125,4156.43,775000,43.5709,20.0317
156,156,3967.15,-4546.01318359375,3981.98,780000,43.6059,17.5418
157,157,4012.69,-4429.78076171875,4067.34,785000,43.5071,18.2602
158,158,4164.47,-4346.0625,4157.95,790000,43.3889,20.0823
159,159,4132.91,-4586.3095703125,4200.09,795000,42.9395,17.3823
160,160,4188.63,-4513.21044921875,4197.53,800000,42.8099,18.0584
161,161,4137.67,-4682.08349609375,4157.99,805000,42.7305,18.7363
162,162,4058.45,-4551.404296875,4092.68,810000,42.8396,16.8797
163,163,4141.73,-4555.033203125,4159.74,815000,43.4157,19.3035
164,164,4103.24,-4678.42236328125,4134.34,820000,43.3284,19.4305
165,165,4155.6,-4652.28857421875,4178.23,825000,42.9409,18.1239
166,166,4129.69,-4909.1513671875,4148.69,830000,43.1213,17.8599
167,167,3892.41,-4964.01953125,4150.94,835000,42.8536,16.58
168,168,4068.09,-4986.86669921875,4110.76,840000,43.2847,19.5726
169,169,4166.79,-4665.07373046875,4168.15,845000,43.4239,19.0747
170,170,4157.7,-4831.53759765625,4153.34,850000,43.6583,20.9517
171,171,4091.96,-4962.79248046875,4125.08,855000,43.4549,19.1099
172,172,4147.14,-4790.21630859375,4183.98,860000,43.4906,18.4773
173,173,4036.62,-5008.53076171875,4134.39,865000,43.1638,17.1132
174,174,4213.21,-4933.10107421875,4239.67,870000,42.985,18.239
175,175,4031.08,-5118.9580078125,4075.52,875000,43.5284,18.6444
176,176,4055.45,-5198.3994140625,4122.29,880000,43.1853,16.446
177,177,4206.41,-4939.07177734375,4209.52,885000,43.0271,17.6075
178,178,4117.71,-5337.95556640625,4160.41,890000,43.2823,18.2585
179,179,3879.64,-5517.55810546875,4078.36,895000,43.4766,17.6808
180,180,4153.29,-5404.9970703125,4161.44,900000,43.8521,19.7083
181,181,4029.11,-5601.05029296875,4145.32,905000,43.5529,18.1981
182,182,4133.23,-5306.39501953125,4170.71,910000,42.9951,16.7639
183,183,4196.91,-5468.60595703125,4270.79,915000,43.0068,17.7451
184,184,4171.03,-5514.10400390625,4199.18,920000,43.2055,18.8587
185,185,4158.55,-5351.67578125,4167.41,925000,43.2523,18.7344
186,186,4164.65,-5487.7744140625,4195.61,930000,43.2733,18.2574
187,187,4185.31,-5542.265625,4270.04,935000,42.4954,17.3332
188,188,4161.66,-5688.45654296875,4178.05,940000,43.3397,17.5492
189,189,4172.94,-6010.20166015625,4189.99,945000,43.2207,17.7257
190,190,4197.04,-5582.14794921875,4220.07,950000,43.4379,18.4857
191,191,4131.18,-5725.03759765625,4170.52,955000,42.8578,17.5681
192,192,4112.32,-5962.85791015625,4183.27,960000,42.8805,16.5699
193,193,4256.03,-5630.5478515625,4253.82,965000,42.6795,17.6223
194,194,4176.63,-5791.056640625,4192.63,970000,43.5204,18.987
195,195,4165.12,-5908.767578125,4221.19,975000,43.0661,18.5777
196,196,4205.52,-5830.37451171875,4250.57,980000,42.7895,17.1645
197,197,4188.66,-5660.54052734375,4216.71,985000,42.5752,16.4119
198,198,4237.08,-5785.16015625,4256.6,990000,43.3653,17.6173
199,199,4099.5,-6046.69580078125,4146.3,995000,43.0552,16.5106
200,200,4170.71,-5873.68798828125,4204.2,1000000,42.6349,16.607
201,201,4167.1,-5850.25927734375,4171.21,1005000,43.1207,16.4276
202,202,4176.94,-5841.7724609375,4207.28,1010000,43.2524,18.1179
203,203,4099.22,-5921.7080078125,4214.83,1015000,42.3778,17.564
204,204,4182.06,-6479.29052734375,4170.63,1020000,43.0141,15.9893
205,205,4175.81,-6281.38671875,4180.85,1025000,43.0555,16.845
206,206,4196.05,-6230.16455078125,4192.87,1030000,42.9843,16.8621
207,207,4206.36,-6174.68359375,4219.06,1035000,43.11,17.238
208,208,4227.82,-6134.87060546875,4127.86,1040000,42.7169,17.6142
209,209,4214.29,-6175.52978515625,4258.6,1045000,42.6887,17.0914
210,210,4239.93,-6374.49951171875,4221.74,1050000,43.208,18.0517
211,211,4223.55,-6229.06884765625,4229.85,1055000,42.7597,16.8578
212,212,4202.32,-6455.77294921875,4200.57,1060000,42.4833,16.905
213,213,4227.95,-6298.3935546875,4231.7,1065000,42.4358,16.2432
214,214,4237.87,-6317.6015625,4249.39,1070000,42.5834,16.2955
215,215,4308.23,-6296.67919921875,4329.45,1075000,42.7485,16.948
216,216,4234.72,-6494.69140625,4272.63,1080000,42.1996,16.6718
217,217,4284.96,-6419.373046875,4319.1,1085000,42.2312,15.7895
218,218,3949.94,-6500.8154296875,4201.03,1090000,42.434,15.3859
219,219,4210.52,-6669.6259765625,4239.16,1095000,42.763,16.4384
220,220,4273.92,-6486.2626953125,4297.6,1100000,42.2671,15.9105
221,221,4255.46,-6659.85302734375,4267.95,1105000,42.1113,15.5551
222,222,4257.17,-6741.61572265625,4277.12,1110000,42.1477,15.7587
223,223,4228.59,-6789.9677734375,4254.06,1115000,42.6096,17.1071
224,224,4168.77,-7011.23486328125,4277.44,1120000,42.4393,16.01
225,225,4309.56,-6715.8681640625,4350.64,1125000,42.3186,17.4269
226,226,4190.3,-6862.6884765625,4303.99,1130000,42.1614,15.9219
227,227,4181.72,-6907.1494140625,4224.56,1135000,42.1999,16.1695
228,228,4233.52,-7051.07373046875,4277.6,1140000,42.2721,16.0594
229,229,4241.45,-7309.24853515625,4271.43,1145000,42.3995,15.5763
230,230,4021.41,-7366.390625,4205.24,1150000,42.3826,16.724
231,231,4221.95,-7461.6259765625,4265.46,1155000,42.384,16.7748
232,232,4226.77,-7181.19482421875,4241.14,1160000,42.4279,16.6454
233,233,4259.33,-7090.59228515625,4288.6,1165000,42.3296,17.0578
234,234,4191.77,-7240.53369140625,4240.8,1170000,42.4091,16.0413
235,235,4288.54,-7197.13671875,4283.07,1175000,42.401,16.918
236,236,4303.16,-7411.28759765625,4319.57,1180000,42.4915,16.873
237,237,4299.97,-7204.5673828125,4322.46,1185000,42.2628,16.8195
238,238,4300.14,-7437.97265625,4327.66,1190000,42.0072,16.3952
239,239,4317.39,-7222.58056640625,4392.53,1195000,42.1705,16.4695
240,240,4125.57,-7450.3583984375,4328.6,1200000,42.0085,16.1109
241,241,4229.01,-7362.71435546875,4313.9,1205000,42.2032,16.8061
242,242,4347.63,-7424.66015625,4416.91,1210000,41.7291,15.5968
243,243,4333.37,-7374.06884765625,4375.67,1215000,42.2744,16.399
244,244,3812.7,-7516.07763671875,4326.56,1220000,41.9693,15.8752
245,245,4349.19,-7241.0732421875,4405.68,1225000,41.9992,15.8468
246,246,4322.3,-7267.6962890625,4371.08,1230000,41.9031,15.6415
247,247,4200.27,-7487.88232421875,4382.07,1235000,41.4942,16.0537
248,248,4144.79,-7701.7734375,4340.27,1240000,41.6511,15.3601
249,249,4216.15,-7604.5908203125,4325.14,1245000,41.808,15.4977
250,250,4293.4,-7683.76953125,4273.92,1250000,41.9951,16.142
251,251,4290.98,-7789.677734375,4303.03,1255000,42.6015,16.4318
252,252,4277.77,-7940.0400390625,4317.42,1260000,42.2939,16.03
253,253,4271.15,-7784.8701171875,4325.03,1265000,42.2072,15.3178
254,254,4297.66,-7786.52978515625,4313.49,1270000,42.3042,16.2743
255,255,4299.57,-7828.599609375,4343.98,1275000,42.1905,15.6592
256,256,4200.11,-8078.24560546875,4252.06,1280000,42.5634,16.232
257,257,4231.42,-8015.06689453125,4260.31,1285000,42.4917,16.1315
258,258,4261.83,-8195.0908203125,4269.1,1290000,42.7491,16.5127
259,259,4297.02,-8138.8056640625,4306.33,1295000,42.4566,16.4657
260,260,4336.11,-7833.244140625,4364.45,1300000,42.2215,16.5881
261,261,4113.53,-8865.7578125,4282.42,1305000,42.4534,15.2106
262,262,4170.69,-8451.6806640625,4195.89,1310000,42.0526,16.6235
263,263,4247.44,-8261.4150390625,4285.14,1315000,42.0583,16.3549
264,264,4236.39,-8376.123046875,4273.2,1320000,41.9791,16.7317
265,265,4270.97,-8386.82421875,4270.79,1325000,41.9234,16.441
266,266,4300.41,-8389.5732421875,4333.02,1330000,42.1373,16.5811
267,267,4344.5,-8298.4208984375,4343.56,1335000,41.8733,16.5659
268,268,4320.62,-8489.62109375,4335.31,1340000,42.0066,17.0268
269,269,4297.77,-8618.3251953125,4296.98,1345000,41.931,16.7527
270,270,4354.86,-8519.228515625,4368.3,1350000,41.7224,16.9195
271,271,4283.24,-8806.3720703125,4278.82,1355000,41.9742,16.6303
272,272,4305.07,-8610.8671875,4241.78,1360000,41.3087,16.3432
273,273,4151.85,-8511.3720703125,4302.05,1365000,41.4792,16.0194
274,274,4315.3,-8811.685546875,4291.55,1370000,42.1365,17.1904
275,275,4393.63,-8911.1064453125,4379.37,1375000,42.4841,18.753
276,276,4248.1,-8926.6328125,4351.94,1380000,41.9573,17.6092
277,277,4026.89,-8815.109375,4415.83,1385000,42.0728,17.2848
278,278,3674.04,-9142.1533203125,4263.12,1390000,42.0126,17.0187
279,279,4399.51,-8844.466796875,4397.73,1395000,41.2538,16.2616
280,280,4376.9,-9359.126953125,4376.0,1400000,42.3606,17.3008
281,281,4387.82,-9398.2734375,4359.36,1405000,42.0851,17.9843
282,282,4434.31,-9168.18359375,4414.91,1410000,41.5364,17.5015
283,283,3953.75,-9471.064453125,4417.88,1415000,41.8973,17.1409
284,284,4382.61,-9622.556640625,4359.86,1420000,42.1489,17.1723
285,285,4146.42,-9765.1513671875,4366.73,1425000,42.165,17.3611
286,286,4381.66,-9902.28515625,4361.01,1430000,41.9792,16.0406
287,287,3939.0,-10233.796875,4252.32,1435000,42.0303,17.0132
288,288,4222.05,-9858.359375,4386.26,1440000,41.8926,17.1634
289,289,4476.65,-9646.7333984375,4433.9,1445000,42.168,18.327
290,290,4362.9,-9959.66796875,4342.07,1450000,42.2435,16.3662
291,291,4232.46,-9670.310546875,4420.09,1455000,41.4022,16.585
292,292,4231.07,-10163.404296875,4334.88,1460000,41.8497,16.3347
293,293,4223.92,-10212.482421875,4409.89,1465000,42.6611,15.9498
294,294,4335.84,-10026.1484375,4356.27,1470000,42.3284,16.1871
295,295,3434.06,-10288.7392578125,3642.44,1475000,42.2772,16.6438
296,296,4379.22,-10504.6943359375,4375.63,1480000,42.3835,17.9689
297,297,4045.26,-11196.14453125,4447.91,1485000,42.6122,16.9272
298,298,1917.69,-13627.7626953125,4437.73,1490000,43.4671,28.0813
299,299,454.88,-16017.45703125,502.52,1495000,48.7769,42.6565
300,300,400.98,-14895.337890625,424.83,1500000,49.9939,57.6434
301,301,131.06,-14662.501953125,20.23,1505000,49.7293,20.2935
302,302,127.18,-15174.7861328125,51.41,1510000,47.9096,19.2175
303,303,2571.51,-13323.8291015625,2840.14,1515000,42.9826,19.0179
304,304,1702.06,-14550.5947265625,1525.41,1520000,44.177,28.6104
305,305,2581.53,-13272.513671875,2969.16,1525000,43.4829,20.0398
306,306,3589.58,-12813.3486328125,3949.86,1530000,42.6938,18.4543
307,307,3293.89,-12780.6787109375,3264.41,1535000,42.6733,18.0873
308,308,3659.0,-12809.546875,3977.2,1540000,42.5419,17.25
309,309,3829.73,-12297.015625,4128.18,1545000,42.4658,17.3094
310,310,3982.45,-12460.3740234375,1416.98,1550000,42.0832,17.539
311,311,3481.78,-13498.2822265625,3277.93,1555000,42.5755,16.0797
312,312,3015.88,-12794.9072265625,564.37,1560000,42.0196,16.9969
313,313,1789.58,-14412.80859375,2093.1,1565000,43.091,24.5705
314,314,3075.61,-13341.1572265625,1528.07,1570000,42.9244,27.5695
315,315,226.48,-14934.2568359375,613.98,1575000,50.8781,27.0877
316,316,687.67,-16984.01171875,790.65,1580000,45.8415,20.1991
317,317,2172.17,-14661.8984375,3575.68,1585000,44.2356,28.4767
318,318,4158.81,-12826.7255859375,4387.81,1590000,43.2428,19.889
319,319,4227.28,-13212.748046875,4296.25,1595000,42.939,19.8712
320,320,4236.78,-12407.9951171875,4298.78,1600000,42.233,19.3904
321,321,4110.28,-12868.357421875,4237.55,1605000,42.8662,18.9936
322,322,4273.24,-13190.998046875,3938.27,1610000,42.679,19.9158
323,323,4190.92,-12165.8291015625,4351.26,1615000,42.2128,17.2986
324,324,3939.55,-12546.146484375,3114.39,1620000,42.2707,17.7754
325,325,3925.93,-12371.1171875,4335.8,1625000,41.5839,16.5896
326,326,4252.94,-13040.24609375,4272.74,1630000,42.0781,17.1441
327,327,4271.8,-13435.0087890625,4294.29,1635000,42.4402,22.7753
328,328,4206.54,-13737.1083984375,4349.93,1640000,42.7448,21.7487
329,329,4094.43,-12917.5390625,4282.82,1645000,42.4788,18.2487
330,330,4313.64,-13078.1904296875,4338.73,1650000,42.4883,17.518
331,331,4112.04,-13305.494140625,4283.33,1655000,42.0976,16.1401
332,332,4110.27,-13679.5537109375,4216.9,1660000,42.0719,17.784
333,333,4290.49,-13334.38671875,4296.2,1665000,42.1465,17.5357
334,334,4339.18,-13275.099609375,4365.85,1670000,42.4791,18.207
335,335,4300.68,-13519.0087890625,4403.97,1675000,42.3347,17.8831
336,336,3906.12,-13449.599609375,4400.26,1680000,41.5804,16.8102
337,337,4149.72,-14072.5146484375,4296.23,1685000,42.3667,17.922
338,338,4363.78,-13839.6298828125,4333.69,1690000,42.4306,18.1981
339,339,4323.59,-14635.060546875,4330.29,1695000,42.2471,18.5283
340,340,4202.8,-15147.923828125,4378.57,1700000,42.6082,20.3101
341,341,4372.34,-14061.384765625,4325.17,1705000,42.7276,18.1365
342,342,4344.5,-14174.1083984375,4364.52,1710000,42.1002,18.3399
343,343,4332.04,-14216.9736328125,4335.49,1715000,42.0389,17.8048
344,344,4182.57,-14331.7216796875,4341.07,1720000,42.2662,19.0026
345,345,4319.77,-15032.6015625,4374.62,1725000,42.2621,20.6765
346,346,4338.51,-14580.38671875,4347.54,1730000,42.2415,18.1232
347,347,4144.05,-14538.849609375,4288.42,1735000,42.1052,18.0646
348,348,3940.54,-15072.046875,4224.85,1740000,42.2873,18.3374
349,349,4220.81,-14398.2265625,4341.81,1745000,42.4423,18.1743
350,350,4286.01,-15034.9091796875,4284.03,1750000,42.5167,17.3507
351,351,4224.83,-14913.7939453125,4162.13,1755000,42.1324,16.4499
352,352,4217.16,-15268.2373046875,4333.58,1760000,42.5251,18.3602
353,353,3419.14,-15177.603515625,4373.77,1765000,42.185,17.6656
354,354,4347.98,-15178.529296875,4366.65,1770000,42.3252,17.3958
355,355,4425.05,-14611.6630859375,4482.02,1775000,41.9164,18.4064
356,356,4344.6,-15270.3095703125,4334.26,1780000,42.9532,18.9474
357,357,4116.13,-15757.6669921875,4295.46,1785000,42.6358,19.4023
358,358,4298.49,-15937.2626953125,4295.79,1790000,41.9877,17.47
359,359,4256.52,-15804.0263671875,4215.84,1795000,42.2156,17.8666
360,360,4100.61,-16446.2734375,4320.07,1800000,41.7755,16.2903
361,361,4353.94,-15903.994140625,4305.0,1805000,42.2761,18.3672
362,362,4305.86,-15531.19140625,4323.53,1810000,42.019,17.9715
363,363,4206.26,-15593.9892578125,4354.7,1815000,42.1202,18.2072
364,364,4231.88,-15775.1728515625,4345.51,1820000,42.0516,18.2351
365,365,4140.66,-16226.7666015625,4364.92,1825000,41.848,18.3083
366,366,4329.46,-16171.263671875,4258.21,1830000,42.4385,17.7752
367,367,4331.99,-16360.9716796875,4360.91,1835000,41.8449,17.2222
368,368,4324.3,-16630.0078125,4333.94,1840000,41.9562,16.7658
369,369,4358.98,-16817.662109375,4362.08,1845000,42.2353,17.6536
370,370,4408.47,-16611.83984375,4426.37,1850000,41.9321,17.8831
371,371,4389.17,-16418.5078125,4435.47,1855000,41.8344,17.6556
372,372,4399.48,-16723.66796875,4426.44,1860000,42.484,19.4327
373,373,4406.65,-16811.65234375,4430.24,1865000,42.4137,18.3406
374,374,4381.43,-17475.744140625,4404.14,1870000,42.2309,19.4387
375,375,4352.82,-17606.921875,4413.32,1875000,41.8818,17.1121
376,376,4373.84,-17451.2734375,4443.83,1880000,42.0663,17.9556
377,377,4323.15,-17471.171875,4314.05,1885000,42.1857,17.705
378,378,4364.97,-17496.3046875,4418.49,1890000,42.1758,17.7465
379,379,4400.47,-18284.490234375,4451.87,1895000,42.3572,17.3641
380,380,4324.0,-17820.44140625,4381.75,1900000,42.7345,19.3674
381,381,335.67,-25519.265625,325.66,1905000,47.8202,19.1599
382,382,669.3,-27293.0078125,764.51,1910000,46.8004,14.0313
383,383,1131.49,-24577.9921875,1040.06,1915000,44.9293,17.1509
384,384,2127.76,-23842.88671875,193.32,1920000,46.8056,34.4675
385,385,3948.7,-19226.072265625,3952.39,1925000,42.8824,16.2007
386,386,3775.48,-19535.431640625,4366.79,1930000,43.1444,18.1087
