Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return,Reward Loss,Running Forward KL,Running Env Steps
40,26.3772,317.52,40,807.89,-467.4106750488281,61.5795,200000
41,27.0032,343.42,41,481.41,-487.8482666015625,60.928,205000
42,31.7733,81.16,42,615.4,-540.405517578125,69.2794,210000
43,27.0796,178.98,43,531.72,-534.8963012695312,67.467,215000
44,29.1865,118.45,44,558.63,-559.3025512695312,67.3201,220000
45,27.0801,317.74,45,695.63,-562.2211303710938,65.0983,225000
46,27.092,271.3,46,446.96,-582.1827392578125,65.8544,230000
47,27.8512,196.43,47,707.23,-601.2648315429688,64.6156,235000
48,28.3891,135.18,48,67.1,-626.6221923828125,68.6654,240000
49,26.0758,347.11,49,978.82,-599.9675903320312,61.8182,245000
50,28.7972,181.9,50,544.84,-656.6574096679688,66.5291,250000
51,26.8419,275.52,51,598.67,-648.9912719726562,63.1925,255000
52,23.8403,319.05,52,873.14,-619.0829467773438,60.3145,260000
53,25.8596,280.08,53,679.8,-680.5377197265625,61.8707,265000
54,25.1706,267.72,54,853.08,-690.0741577148438,61.9027,270000
55,26.4664,153.36,55,394.5,-730.1831665039062,65.672,275000
56,27.265,275.29,56,433.45,-735.9457397460938,63.3225,280000
57,27.579,129.87,57,404.11,-750.9509887695312,62.2005,285000
58,27.6207,146.44,58,443.59,-770.8014526367188,64.5218,290000
59,23.2078,317.77,59,767.08,-749.1349487304688,60.2655,295000
60,27.4217,143.5,60,452.04,-811.1575317382812,66.5499,300000
61,28.6365,46.95,61,266.5,-859.8909912109375,72.5793,305000
62,27.8394,153.97,62,524.29,-846.5919799804688,65.2482,310000
63,24.5499,359.55,63,948.73,-812.1992797851562,60.5571,315000
64,21.8288,858.56,64,1732.95,-631.8069458007812,55.3383,320000
65,24.8272,360.11,65,815.93,-874.0430908203125,61.2054,325000
66,24.4014,447.48,66,1117.54,-867.541015625,60.5151,330000
67,24.352,389.75,67,1066.88,-860.889892578125,59.1692,335000
68,30.647,11.74,68,465.77,-978.4065551757812,65.9409,340000
69,27.4735,76.46,69,548.35,-992.7322998046875,65.5981,345000
70,24.0841,167.3,70,582.33,-958.0252685546875,60.686,350000
71,21.3111,332.78,71,1008.26,-895.7446899414062,57.894,355000
72,21.503,542.66,72,1209.99,-833.4530639648438,56.4839,360000
73,20.0222,619.49,73,1230.23,-797.5292358398438,53.904,365000
74,20.3667,814.19,74,1630.26,-851.8369750976562,55.2211,370000
75,25.7318,623.73,75,1053.81,-1026.2757568359375,60.0449,375000
76,20.8995,1184.08,76,2060.79,-908.5543823242188,54.1739,380000
77,23.5296,766.57,77,1848.29,-1042.7637939453125,59.0473,385000
78,22.2422,538.37,78,1093.8,-1012.0632934570312,56.7132,390000
79,22.9663,569.84,79,630.56,-1032.270751953125,56.5305,395000
80,22.2294,850.86,80,1962.07,-963.60888671875,54.8895,400000
81,27.2843,609.44,81,1332.39,-1038.8758544921875,57.2463,405000
82,19.6541,798.83,82,1279.87,-980.5263061523438,54.3136,410000
83,21.3153,747.79,83,1792.53,-1055.0877685546875,55.2348,415000
84,20.1845,906.21,84,1312.58,-987.123291015625,54.63,420000
85,20.7998,1598.72,85,2297.17,-839.3616943359375,50.7851,425000
86,24.9734,860.22,86,1611.89,-1194.462890625,58.6674,430000
87,21.2499,1103.03,87,1741.06,-935.413818359375,53.8399,435000
88,18.1572,475.69,88,1382.15,-888.0107421875,49.8316,440000
89,22.3533,739.16,89,489.08,-1254.616455078125,58.168,445000
90,21.7201,753.39,90,1193.93,-1276.7147216796875,57.1367,450000
91,18.6525,505.66,91,614.66,-1170.905517578125,54.3631,455000
92,16.8987,1080.94,92,1421.57,-1061.7532958984375,50.7339,460000
93,18.6125,679.94,93,986.3,-1205.6168212890625,54.4133,465000
94,21.9718,538.86,94,709.31,-1332.063232421875,56.9158,470000
95,23.4605,887.74,95,1061.56,-1211.896240234375,55.9945,475000
96,24.9951,666.74,96,1381.91,-1360.2469482421875,56.8424,480000
97,26.287,283.85,97,435.87,-1498.3087158203125,61.5801,485000
98,24.7204,1956.41,98,2678.0,-923.929931640625,50.3145,490000
99,23.3405,1049.32,99,2052.83,-1324.8453369140625,56.8934,495000
100,22.1671,1881.05,100,3031.38,-1036.7969970703125,53.9063,500000
101,20.6126,1540.6,101,2805.16,-1213.24609375,53.8973,505000
102,19.5994,1508.5,102,2263.84,-1162.967529296875,52.4324,510000
103,20.0278,1657.55,103,2608.07,-1238.998046875,52.4682,515000
104,20.5082,449.25,104,591.4,-1354.68896484375,53.6183,520000
105,22.2521,1078.73,105,1506.98,-1374.9615478515625,55.9994,525000
106,19.5439,710.91,106,970.56,-1303.538330078125,50.3648,530000
107,23.0309,2326.49,107,3600.34,-910.5540771484375,51.9017,535000
108,20.3266,1564.54,108,2147.4,-1187.948486328125,52.7588,540000
109,24.6649,2695.48,109,3300.11,-953.293212890625,49.8316,545000
110,20.5593,1408.03,110,2134.67,-1198.4537353515625,51.2574,550000
111,20.9677,2511.33,111,2821.47,-1098.523193359375,51.0107,555000
112,23.2466,1744.83,112,3021.14,-1103.741943359375,51.4483,560000
113,18.728,2179.43,113,2080.19,-1136.3255615234375,50.2358,565000
114,20.0185,1314.89,114,3180.95,-990.8663330078125,50.3063,570000
115,20.7917,1800.94,115,2875.31,-1080.3505859375,49.8869,575000
116,22.2524,1952.06,116,2894.65,-1049.280517578125,51.1029,580000
117,20.4788,957.22,117,2815.05,-1295.6690673828125,53.9044,585000
118,27.4574,2631.53,118,3079.91,-1000.9195556640625,53.3653,590000
119,21.1699,1201.18,119,2210.87,-1436.433349609375,52.9175,595000
120,21.0048,1540.2,120,2884.62,-1257.4305419921875,50.8894,600000
121,20.5802,1676.87,121,2651.32,-1079.26123046875,52.0824,605000
122,20.9203,1576.94,122,1659.62,-1456.665771484375,53.3317,610000
123,22.5848,2649.66,123,2358.32,-1082.2174072265625,51.3624,615000
124,24.22,2259.18,124,2752.15,-1051.9696044921875,51.3476,620000
125,22.0188,1533.45,125,2560.98,-1021.69384765625,50.599,625000
126,26.5763,2018.89,126,2740.14,-1237.430419921875,53.6699,630000
127,22.3356,1668.73,127,2088.85,-1692.922119140625,55.0358,635000
128,20.7106,2099.64,128,2944.15,-1450.5413818359375,51.3988,640000
129,21.8058,2529.93,129,3493.79,-1314.6058349609375,50.884,645000
130,18.7652,1584.81,130,1805.18,-1665.872314453125,52.1336,650000
131,20.1333,1690.31,131,2237.92,-1498.62744140625,53.053,655000
132,24.8887,2039.81,132,2355.84,-1312.8743896484375,53.0783,660000
133,23.3044,2702.86,133,3449.48,-1529.18115234375,53.7041,665000
134,26.5868,2473.4,134,3777.55,-959.1778564453125,51.3154,670000
135,23.5536,1953.38,135,2718.48,-1434.8331298828125,53.4015,675000
136,25.8142,2382.85,136,2494.44,-1434.761474609375,52.9175,680000
137,21.0148,1346.5,137,2998.13,-1643.6214599609375,53.2405,685000
138,20.4097,2676.65,138,3287.07,-1369.3775634765625,50.2808,690000
139,22.8962,2998.39,139,3294.07,-1277.3468017578125,51.2245,695000
140,22.0606,2674.76,140,3572.47,-1676.236328125,54.2719,700000
141,22.0561,1962.59,141,2128.7,-1468.07080078125,53.6532,705000
142,30.4458,3151.41,142,3938.01,-1228.185302734375,54.0565,710000
143,29.2144,2962.12,143,3945.44,-1105.8212890625,52.7231,715000
144,27.2408,2881.47,144,3577.76,-1139.10302734375,51.3107,720000
145,26.8221,3532.32,145,3971.3,-1351.9736328125,53.0297,725000
146,21.2603,2424.31,146,3234.83,-1476.3038330078125,51.7589,730000
147,25.0629,2266.64,147,3011.4,-1488.058349609375,52.8236,735000
148,23.7278,2084.88,148,3202.08,-1427.725341796875,54.0474,740000
149,29.1237,2875.14,149,3919.68,-1244.0225830078125,53.3557,745000
150,36.1468,2830.03,150,3394.76,-1192.9146728515625,56.2729,750000
151,29.83,3373.3,151,3942.48,-1431.236328125,55.5016,755000
152,20.6101,1404.87,152,2803.72,-2096.6796875,54.1493,760000
153,20.7402,2654.21,153,2708.33,-1798.970703125,52.5677,765000
154,22.9203,2436.52,154,2754.71,-1398.2978515625,51.0271,770000
155,24.919,2814.84,155,3579.23,-1281.0887451171875,51.1233,775000
156,20.5149,2134.67,156,2625.95,-1606.376708984375,50.8612,780000
157,23.9743,3223.87,157,4175.08,-1372.1416015625,50.0137,785000
158,29.0996,3746.29,158,4274.77,-1432.0118408203125,53.3337,790000
159,24.7627,3338.07,159,3944.36,-1369.4500732421875,50.7882,795000
160,31.4155,3107.86,160,4296.2,-1457.3685302734375,54.99,800000
161,25.9084,3380.66,161,3695.72,-1485.3980712890625,53.2348,805000
162,26.4849,3168.74,162,4307.42,-1496.658935546875,51.8126,810000
163,20.9425,2198.78,163,3128.69,-1750.579833984375,52.6941,815000
164,27.0118,3577.07,164,4444.83,-1560.552490234375,51.904,820000
165,28.8152,2811.36,165,3393.35,-1630.92822265625,54.9877,825000
166,27.5761,3492.61,166,3965.86,-1885.248046875,52.7334,830000
167,31.5003,2638.54,167,3495.69,-1776.2152099609375,53.9603,835000
168,22.8523,2911.11,168,3534.55,-1708.0648193359375,51.6239,840000
169,29.4329,3438.32,169,4707.56,-1581.421875,53.2869,845000
170,27.4746,3444.75,170,4446.29,-1707.730712890625,53.9857,850000
171,25.2876,3343.81,171,4031.3,-1644.59521484375,53.295,855000
172,22.0844,2013.13,172,1724.63,-2252.15380859375,52.8167,860000
173,27.6233,3406.97,173,4373.99,-1653.9554443359375,54.4154,865000
174,55.3172,906.59,174,522.31,-3058.88525390625,69.3613,870000
175,35.0653,3463.85,175,4528.07,-1609.37255859375,57.4444,875000
176,38.2225,3957.51,176,5250.95,-1550.1644287109375,58.2267,880000
177,36.6246,4335.45,177,4473.97,-1646.251953125,58.6527,885000
178,38.86,4066.78,178,4901.74,-1612.2977294921875,60.1014,890000
179,30.9285,4611.69,179,5198.99,-1950.448974609375,56.5307,895000
180,34.5272,4429.02,180,5152.51,-1724.235107421875,57.4245,900000
181,35.7853,4300.69,181,5113.45,-1734.09912109375,57.555,905000
182,32.4475,3383.4,182,3162.6,-1851.21533203125,56.1485,910000
183,25.919,3072.59,183,4230.0,-2086.05322265625,55.6608,915000
184,33.2212,3489.01,184,4657.36,-1694.8687744140625,55.2021,920000
185,31.7577,3199.33,185,3851.23,-1789.18212890625,54.9913,925000
186,33.9828,4159.09,186,5120.4,-1780.569580078125,56.0399,930000
187,33.3459,2732.47,187,2941.95,-2047.3447265625,56.9568,935000
188,22.6894,3299.49,188,3385.36,-2361.56982421875,53.4935,940000
189,35.8273,4395.42,189,5069.92,-2081.9736328125,56.9883,945000
190,26.2665,2719.02,190,3758.87,-2072.168701171875,54.1267,950000
191,26.1163,2210.57,191,3783.68,-2084.61962890625,53.8625,955000
192,31.4839,4039.45,192,4514.82,-1907.0367431640625,53.6127,960000
193,30.2842,3928.19,193,4975.56,-2068.185546875,54.5332,965000
194,25.6588,1700.19,194,2655.38,-2364.252197265625,53.8665,970000
195,30.1394,3630.67,195,4249.33,-2038.765869140625,53.7695,975000
196,36.2398,4374.52,196,4991.54,-2123.525146484375,57.1658,980000
197,35.588,4090.06,197,4497.38,-2175.68115234375,55.9564,985000
198,35.7897,3600.28,198,4987.84,-2394.47412109375,56.2449,990000
199,32.7055,4333.03,199,4652.08,-2122.3271484375,56.0781,995000
200,39.1023,4441.54,200,5307.19,-2127.83154296875,56.9154,1000000
201,37.2737,4248.98,201,5284.14,-2091.56689453125,57.11,1005000
202,25.1937,3174.17,202,4157.0,-2792.915283203125,55.0472,1010000
203,25.466,2220.82,203,2717.55,-2544.093505859375,55.3389,1015000
204,35.5054,3650.28,204,4429.04,-2213.84912109375,56.5274,1020000
205,36.9245,3607.8,205,4294.62,-2172.16943359375,58.1488,1025000
206,33.2036,3606.63,206,4036.86,-2365.240966796875,56.4729,1030000
207,40.6757,4680.11,207,4979.0,-2228.143798828125,57.3633,1035000
208,34.6846,3420.77,208,4550.98,-2424.2841796875,56.8424,1040000
209,33.2329,3670.83,209,5112.1,-2451.92626953125,55.0637,1045000
210,34.6399,3802.46,210,3970.25,-2496.609375,56.8713,1050000
211,29.3911,2950.49,211,3412.57,-2484.218994140625,53.3767,1055000
212,27.3083,3291.29,212,4473.87,-2620.553955078125,54.8894,1060000
213,30.3126,3950.63,213,3857.91,-2941.413818359375,56.1809,1065000
214,33.7886,4064.57,214,4528.76,-2609.369384765625,56.222,1070000
215,31.1721,3973.33,215,4856.53,-2660.35302734375,55.014,1075000
216,34.5223,3858.21,216,4326.35,-2456.61474609375,55.5349,1080000
217,32.5276,4027.56,217,4585.62,-2648.046142578125,55.5787,1085000
218,28.3955,3615.85,218,4796.71,-2817.778564453125,54.9205,1090000
219,26.8329,2853.13,219,3403.53,-2720.49658203125,55.7885,1095000
220,31.3047,3295.75,220,5050.1,-2630.548095703125,55.2817,1100000
221,29.0183,4063.93,221,4021.46,-2792.640380859375,55.1004,1105000
222,31.1109,3504.83,222,3550.58,-2738.4892578125,55.0271,1110000
223,35.4285,2976.04,223,4191.25,-2803.541748046875,58.0994,1115000
224,34.97,3225.74,224,3902.48,-2689.68017578125,56.1064,1120000
225,40.2041,4123.67,225,2780.58,-3012.665283203125,59.4459,1125000
226,30.6319,3901.97,226,4001.98,-3012.5498046875,57.4245,1130000
227,30.9775,4016.68,227,4542.01,-2842.887939453125,55.03,1135000
228,35.2621,3022.09,228,3503.67,-2819.95703125,57.3065,1140000
229,28.9278,4217.33,229,4450.17,-3225.07275390625,57.8189,1145000
230,31.4135,3679.87,230,4273.43,-3021.0791015625,57.0317,1150000
231,24.0148,2461.18,231,3315.21,-3425.064208984375,53.7623,1155000
232,30.583,3052.54,232,3903.89,-3241.160888671875,57.2885,1160000
233,38.7117,3321.64,233,4507.82,-3091.506591796875,59.3164,1165000
234,38.5462,3451.06,234,3726.94,-3116.460205078125,57.8745,1170000
235,30.147,1231.31,235,2032.9,-3296.430908203125,56.8756,1175000
236,29.1178,2893.86,236,3692.64,-3252.46630859375,55.6258,1180000
237,28.271,2854.17,237,3999.37,-3340.83837890625,56.6284,1185000
238,34.442,4371.65,238,4776.41,-3396.70849609375,57.7647,1190000
239,33.5051,4015.14,239,5158.72,-3346.891357421875,56.5713,1195000
240,32.5014,4142.41,240,5288.37,-3358.04296875,56.8069,1200000
241,38.3496,4273.29,241,5147.67,-3238.906982421875,59.954,1205000
242,36.2911,3658.11,242,4487.3,-3306.2353515625,57.5013,1210000
243,33.3273,3421.86,243,5065.45,-3408.888427734375,57.6754,1215000
244,37.8416,3866.69,244,4810.94,-3384.466796875,57.9554,1220000
245,39.506,4176.97,245,4858.48,-3439.9326171875,58.9439,1225000
246,27.2432,3130.61,246,4135.77,-3581.395263671875,55.3908,1230000
247,32.2532,4793.92,247,4850.71,-3542.732666015625,57.8734,1235000
248,25.3186,2448.48,248,3216.39,-3783.248046875,56.9388,1240000
249,30.2558,3933.13,249,4509.89,-3625.69482421875,56.9283,1245000
250,35.5307,4317.47,250,5060.8,-3534.66650390625,58.1987,1250000
251,30.1057,4497.37,251,4751.89,-3715.147216796875,55.5251,1255000
252,30.3027,3620.01,252,3929.17,-3710.688232421875,57.4935,1260000
253,26.8861,2792.82,253,3413.17,-3767.730712890625,57.0519,1265000
254,24.641,2895.79,254,3511.91,-3844.760986328125,56.0999,1270000
255,35.0388,3008.28,255,3995.2,-3758.59130859375,57.7643,1275000
256,32.481,3738.59,256,4674.89,-3928.86865234375,57.7084,1280000
257,35.6993,3951.13,257,4286.58,-3799.724365234375,57.6833,1285000
258,32.5425,3592.27,258,5060.98,-3924.97265625,58.4744,1290000
259,31.467,2989.2,259,3302.37,-3787.793701171875,56.9319,1295000
260,34.2542,4410.48,260,5006.95,-3941.507568359375,57.1388,1300000
261,32.4639,3488.57,261,4075.44,-3929.477783203125,56.6289,1305000
262,40.5911,3348.37,262,3608.69,-4010.2490234375,60.9638,1310000
263,32.2345,2759.13,263,3541.21,-4053.069091796875,57.8318,1315000
264,30.5543,3481.47,264,4274.62,-4160.4013671875,57.8922,1320000
265,31.6009,3459.51,265,4012.43,-4099.416015625,58.0148,1325000
266,29.0668,3182.16,266,4269.86,-4174.25634765625,56.9651,1330000
267,28.5046,2800.73,267,3856.62,-4126.9833984375,56.6584,1335000
268,31.0834,4011.56,268,4681.94,-4214.40625,59.1059,1340000
269,33.9397,4185.33,269,4501.54,-4244.72412109375,59.5139,1345000
270,37.7637,4257.1,270,5210.12,-4355.57470703125,60.1916,1350000
271,36.2969,3316.07,271,3796.36,-4360.90478515625,60.1427,1355000
272,42.4663,3816.37,272,4461.39,-4456.732421875,63.1603,1360000
273,38.0926,4385.9,273,4950.28,-4412.44677734375,60.2883,1365000
274,42.4039,4358.82,274,5350.69,-4361.771484375,62.0946,1370000
275,35.3094,3390.78,275,4792.96,-4454.8359375,59.152,1375000
276,40.1873,3984.39,276,4913.11,-4469.58837890625,62.3223,1380000
277,29.8984,1562.11,277,1639.44,-4377.0986328125,57.6154,1385000
278,49.3373,4540.74,278,5339.62,-4348.7275390625,64.24,1390000
279,48.6858,4750.28,279,5603.9,-4618.9365234375,64.4736,1395000
280,47.7387,5172.83,280,5710.28,-4667.4482421875,63.6784,1400000
281,46.0031,5166.59,281,5619.58,-4696.8271484375,61.7481,1405000
282,45.3845,5186.35,282,5624.54,-4728.3056640625,61.7297,1410000
283,41.2785,4662.85,283,5524.22,-4805.92529296875,62.6097,1415000
284,31.9316,3809.59,284,4528.81,-4353.48681640625,57.026,1420000
285,40.563,4353.06,285,5093.95,-4706.326171875,61.3118,1425000
286,39.2802,4144.08,286,4851.01,-4748.4716796875,61.0561,1430000
287,37.9054,3046.09,287,3268.17,-4802.8125,59.8015,1435000
288,35.2753,3527.83,288,3509.95,-4653.80078125,58.6465,1440000
289,36.7149,4126.62,289,4645.74,-4939.88818359375,61.8773,1445000
290,34.38,3734.32,290,5087.66,-4922.603515625,59.5124,1450000
291,39.4745,3882.53,291,4565.69,-4975.423828125,60.6594,1455000
292,39.8451,4585.5,292,5161.22,-4950.35498046875,61.2913,1460000
293,37.3044,3910.55,293,4849.69,-4905.06884765625,59.2237,1465000
294,41.2583,4881.44,294,5534.59,-5113.59326171875,61.5312,1470000
295,45.9368,4911.58,295,5588.31,-5238.29150390625,63.2911,1475000
296,48.7626,4927.18,296,5530.79,-5169.99609375,65.0757,1480000
297,38.4565,4759.04,297,5399.19,-5282.20947265625,61.0563,1485000
298,39.0674,4189.37,298,5421.81,-5162.291015625,59.7466,1490000
299,46.9765,5009.58,299,5151.62,-5302.970703125,63.0872,1495000
300,42.6924,4842.93,300,5325.6,-5376.3857421875,59.8854,1500000
301,38.5834,4238.44,301,5225.65,-5203.77685546875,59.0935,1505000
302,41.7346,4778.44,302,5341.48,-5331.15576171875,60.5181,1510000
303,40.9279,4533.66,303,5243.14,-5414.8662109375,61.2864,1515000
304,38.539,4564.07,304,5289.07,-5376.6943359375,59.254,1520000
305,38.9578,4974.17,305,5437.85,-5483.8857421875,60.3224,1525000
306,40.8776,4822.49,306,5174.52,-5523.34375,60.5996,1530000
307,41.5635,4164.48,307,4443.83,-5518.3896484375,59.4119,1535000
308,41.0937,3470.63,308,4559.45,-5451.208984375,60.3405,1540000
309,38.9018,4148.7,309,5424.4,-5559.4990234375,60.9828,1545000
310,46.1159,5272.75,310,5707.43,-5684.56201171875,63.3584,1550000
311,41.0239,4615.85,311,5721.09,-5756.8349609375,60.696,1555000
312,45.0125,4527.05,312,5266.3,-5603.751953125,61.1973,1560000
313,41.8415,4441.85,313,5189.93,-5896.33154296875,61.8143,1565000
314,36.1329,4175.54,314,4120.65,-5629.25341796875,58.3211,1570000
315,37.3705,4019.51,315,3352.06,-5724.92578125,59.0901,1575000
316,45.2158,4218.34,316,4481.69,-5919.9423828125,61.5002,1580000
317,41.6135,4716.0,317,4791.29,-5816.27294921875,60.2314,1585000
318,40.5716,4348.03,318,4806.49,-5905.01708984375,61.2595,1590000
319,38.9214,4037.27,319,3801.66,-5826.70361328125,59.947,1595000
320,39.1609,4197.55,320,4674.66,-5908.0166015625,60.8689,1600000
321,40.9607,4283.26,321,5144.28,-6040.357421875,62.771,1605000
322,38.4971,4364.65,322,4886.06,-5880.4013671875,60.6049,1610000
323,43.534,4120.44,323,4554.99,-5928.7890625,61.5238,1615000
324,44.7694,4092.01,324,4647.91,-6013.1611328125,60.8424,1620000
325,39.127,4753.72,325,5345.55,-5904.95166015625,59.5234,1625000
326,49.1414,4422.64,326,4565.17,-6541.01513671875,65.5338,1630000
327,44.7705,4491.6,327,5356.6,-6319.5087890625,61.7449,1635000
328,42.6444,4513.26,328,4754.41,-6172.10009765625,59.8979,1640000
329,40.862,4481.96,329,4523.37,-6051.3662109375,60.409,1645000
330,46.155,4891.33,330,5514.37,-6506.6435546875,63.1464,1650000
331,44.2203,4541.43,331,5335.1,-6408.9345703125,61.7946,1655000
332,41.4145,4311.52,332,3907.62,-6266.775390625,62.2677,1660000
333,42.1431,4038.54,333,4623.04,-6303.5537109375,61.81,1665000
334,54.6123,5029.95,334,5523.12,-6782.54443359375,68.6432,1670000
335,50.4598,5314.69,335,5745.18,-6847.5634765625,68.0835,1675000
336,52.994,5110.37,336,5771.32,-6967.79736328125,68.1219,1680000
337,53.1273,5392.36,337,5789.84,-7146.49267578125,66.9959,1685000
338,47.4872,5321.93,338,5387.23,-6826.10546875,64.5977,1690000
339,47.1909,4852.81,339,5627.8,-6850.54443359375,63.601,1695000
340,36.3087,2238.45,340,2958.28,-6099.7109375,57.2071,1700000
341,48.0003,3560.66,341,4645.97,-6649.62744140625,65.0023,1705000
342,53.0083,5292.1,342,5755.82,-7116.95556640625,68.4777,1710000
343,54.6077,5246.39,343,5670.78,-7289.2568359375,70.535,1715000
344,51.7003,5184.85,344,5744.89,-7267.88037109375,68.5871,1720000
345,45.0427,3950.18,345,4754.74,-6432.94384765625,65.7893,1725000
346,51.0922,4594.68,346,5531.81,-6921.97216796875,65.9746,1730000
347,47.699,5324.22,347,5954.62,-7004.04345703125,66.0953,1735000
348,49.3438,5479.77,348,5757.96,-7358.97265625,65.6506,1740000
349,49.7559,5574.93,349,6073.3,-7457.52490234375,66.2718,1745000
350,45.1663,4541.31,350,5177.73,-7102.59912109375,62.6134,1750000
351,40.3681,3738.01,351,5253.5,-6611.51513671875,61.1512,1755000
352,38.5902,2500.75,352,2155.3,-6517.23486328125,60.5904,1760000
353,49.1836,4958.77,353,5643.63,-7538.56689453125,66.0495,1765000
354,50.2345,5062.56,354,5867.39,-7642.291015625,70.2218,1770000
355,49.3224,5550.96,355,5979.4,-7534.25048828125,66.7398,1775000
356,50.3118,5413.07,356,5637.25,-7698.3232421875,67.1704,1780000
357,52.1862,5256.42,357,5683.75,-7688.85498046875,67.2488,1785000
358,44.2198,2812.23,358,3682.59,-7081.97705078125,61.2378,1790000
359,51.7791,5189.42,359,5806.69,-7820.892578125,66.2396,1795000
360,48.0901,5516.55,360,5952.76,-7638.802734375,66.9476,1800000
361,48.545,5382.23,361,5316.27,-7635.9755859375,64.2191,1805000
362,41.4372,5310.94,362,5350.63,-7508.47607421875,62.4252,1810000
363,51.3496,4204.76,363,5049.73,-7324.90625,65.7214,1815000
364,51.3328,5152.55,364,5775.8,-7791.5126953125,68.3916,1820000
365,51.5099,5549.08,365,5990.09,-7828.564453125,67.4214,1825000
366,50.3667,5441.16,366,5674.46,-7655.53369140625,66.5591,1830000
367,48.3663,5510.77,367,5546.43,-7611.8447265625,66.5276,1835000
368,44.4679,5211.16,368,5666.71,-7803.2958984375,64.0446,1840000
369,46.9163,4982.05,369,5494.65,-7910.7841796875,63.7931,1845000
370,37.1569,2481.06,370,3341.42,-6624.5517578125,57.3044,1850000
371,46.2814,4503.07,371,4839.69,-7538.5107421875,64.6473,1855000
372,48.9066,5318.92,372,5613.38,-7960.95751953125,67.4669,1860000
373,49.1799,4923.29,373,5916.36,-7933.353515625,67.1965,1865000
374,50.6013,5559.88,374,6131.64,-8190.98291015625,67.7086,1870000
375,45.2494,5156.65,375,4971.12,-7886.82080078125,66.2265,1875000
376,30.1733,1583.48,376,1564.65,-6764.509765625,56.6528,1880000
377,54.7002,5535.81,377,6050.91,-8299.9521484375,68.507,1885000
378,52.8761,4974.7,378,5629.82,-8261.673828125,69.4906,1890000
379,45.5545,5105.74,379,5533.34,-7973.61669921875,63.9572,1895000
380,47.2077,5140.69,380,5650.8,-8241.61328125,63.5921,1900000
381,47.5075,4018.66,381,4835.59,-7729.5791015625,62.335,1905000
382,52.7051,5460.62,382,5849.45,-8400.298828125,66.527,1910000
383,49.0094,5378.94,383,5978.69,-8436.9189453125,66.6856,1915000
384,50.487,5034.54,384,5572.93,-8148.44873046875,66.0142,1920000
385,40.3946,3858.84,385,3618.45,-7339.5673828125,60.131,1925000
386,57.5455,5403.45,386,5948.89,-8520.837890625,69.3804,1930000
387,55.3838,5389.26,387,6114.55,-8694.2490234375,70.1617,1935000
