Running Reverse KL,Itration,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Env Steps,Running Forward KL
261.235,60,-8414.65625,602.31,60,1877.48,300000,382.8061
235.8309,61,-8881.0908203125,2839.28,61,2828.15,305000,389.371
244.2409,62,-8198.7041015625,710.87,62,2019.97,310000,382.9147
209.782,63,-7840.60107421875,3259.96,63,3180.51,315000,366.5897
234.1992,64,-8060.77587890625,3552.6,64,3125.7,320000,375.5226
209.9066,65,-7701.685546875,3253.4,65,2293.37,325000,362.7955
261.4285,66,-9002.9677734375,1469.06,66,2814.56,330000,380.7172
235.6715,67,-8728.4140625,1057.08,67,2751.97,335000,384.3458
198.7603,68,-7174.66552734375,5204.33,68,3121.41,340000,364.9525
212.2529,69,-8108.40966796875,2388.46,69,3675.01,345000,366.1246
204.5012,70,-7104.818359375,5263.65,70,4350.33,350000,360.9789
210.1426,71,-7978.1142578125,5261.52,71,4132.47,355000,360.1559
197.6848,72,-7531.6806640625,4874.78,72,3714.0,360000,364.2678
183.8607,73,-7075.7783203125,4054.15,73,3468.8,365000,359.376
196.5265,74,-7331.06884765625,4644.87,74,3615.29,370000,364.3992
211.2746,75,-8237.818359375,5064.53,75,3302.6,375000,367.2413
271.9572,76,-11562.6396484375,1982.71,76,1510.2,380000,391.8969
192.9344,77,-7306.61328125,5278.98,77,4311.74,385000,357.4791
206.2354,78,-8225.0595703125,5323.33,78,3517.15,390000,367.7605
181.9626,79,-7769.12255859375,5261.5,79,3594.97,395000,361.2925
189.7279,80,-7451.78125,5419.29,80,4678.64,400000,362.3169
202.5316,81,-8596.404296875,5179.93,81,4461.67,405000,366.3792
195.1003,82,-8809.1240234375,5031.45,82,3456.31,410000,367.4312
197.393,83,-8934.75,3965.36,83,3956.56,415000,357.8349
180.0718,84,-8302.7783203125,5041.91,84,3881.4,420000,358.5672
232.4461,85,-9940.9228515625,5413.84,85,4614.98,425000,368.9841
201.5181,86,-8519.0517578125,5400.79,86,4827.26,430000,365.1413
228.8707,87,-10112.2021484375,4590.08,87,4486.54,435000,370.5646
221.1988,88,-10114.13671875,4605.6,88,4569.92,440000,369.7658
192.0668,89,-9498.2265625,5367.63,89,4511.97,445000,358.2291
218.8837,90,-10534.2685546875,5457.46,90,4266.45,450000,371.7319
202.892,91,-10255.5078125,4957.62,91,4237.26,455000,365.5293
199.2762,92,-10400.98046875,3011.31,92,4436.07,460000,356.0382
232.353,93,-11275.02734375,5289.91,93,3640.91,465000,370.3087
199.0949,94,-10444.375,4969.99,94,5271.08,470000,362.9928
193.2842,95,-10583.9423828125,5403.6,95,5107.41,475000,360.3768
215.7057,96,-11211.537109375,5427.66,96,4751.46,480000,369.6594
188.6491,97,-10930.1962890625,5228.54,97,4800.16,485000,361.368
197.6125,98,-11436.283203125,5222.08,98,5074.51,490000,365.9241
199.2181,99,-11954.671875,5434.34,99,4728.19,495000,363.6336
199.3285,100,-11600.765625,5058.82,100,4663.3,500000,362.7421
305.2275,101,-12416.8359375,277.01,101,278.35,505000,466.9795
312.721,102,-12953.2451171875,261.44,102,284.95,510000,472.7999
257.7824,103,-13352.306640625,1251.57,103,1131.91,515000,403.2982
261.6537,104,-13899.23046875,1426.92,104,1200.98,520000,400.9542
226.1447,105,-13801.107421875,1748.87,105,1877.36,525000,397.6386
242.7085,106,-13230.5703125,888.19,106,1698.21,530000,394.153
202.2414,107,-13352.0810546875,4442.82,107,4803.91,535000,368.9979
221.6216,108,-13495.8134765625,5231.0,108,4708.14,540000,370.8212
204.1568,109,-13658.548828125,4502.97,109,4803.66,545000,367.8765
222.2454,110,-13488.837890625,3249.57,110,4219.6,550000,365.9395
212.0203,111,-14004.642578125,5423.2,111,4393.65,555000,370.4828
205.9954,112,-13738.6689453125,5315.67,112,4881.87,560000,370.0119
209.2885,113,-14281.3564453125,5309.98,113,4937.72,565000,374.8324
220.5974,114,-14901.8037109375,5230.31,114,4971.48,570000,367.0997
212.0932,115,-14902.8779296875,5290.32,115,4701.17,575000,372.85
209.5806,116,-14607.6787109375,5338.7,116,5122.6,580000,363.0089
219.5288,117,-14967.9853515625,5050.91,117,4525.37,585000,378.9122
215.4608,118,-15043.560546875,5387.23,118,4802.66,590000,376.0042
208.6167,119,-15162.75,5017.55,119,4945.24,595000,366.3187
228.5496,120,-15524.4501953125,5247.86,120,5123.94,600000,373.8208
196.5186,121,-15586.248046875,5271.54,121,4933.09,605000,370.1935
212.4282,122,-15526.9716796875,5288.01,122,4688.96,610000,369.9224
211.5617,123,-15507.3681640625,5328.5,123,5200.84,615000,363.1164
223.8608,124,-16026.9833984375,5181.39,124,4695.13,620000,371.4734
220.5563,125,-15303.572265625,2663.65,125,2793.69,625000,363.5175
202.0518,126,-16124.1298828125,5231.75,126,4928.34,630000,360.7336
185.2035,127,-15778.1796875,5386.82,127,4745.75,635000,363.1715
190.2357,128,-15946.46875,5412.78,128,4988.34,640000,364.3332
214.6617,129,-15783.2412109375,5138.19,129,4350.63,645000,368.8144
188.1226,130,-16158.21484375,5205.67,130,4840.42,650000,362.3246
192.7393,131,-15924.58984375,5140.18,131,5033.35,655000,361.1191
201.3709,132,-16186.5751953125,5263.65,132,5192.7,660000,365.0333
184.7028,133,-15990.05859375,5273.23,133,4862.56,665000,362.236
205.6311,134,-16647.365234375,5208.57,134,4854.63,670000,367.2064
198.0796,135,-16445.244140625,5353.36,135,4390.94,675000,361.2423
228.0141,136,-16482.29296875,5146.5,136,3574.2,680000,380.5132
227.7872,137,-16673.068359375,5361.37,137,3923.19,685000,376.2657
250.528,138,-16606.607421875,4803.72,138,3188.0,690000,387.8556
196.4697,139,-16916.8828125,5278.7,139,4900.44,695000,362.4626
193.8555,140,-17160.587890625,5356.73,140,5062.5,700000,366.6458
221.0996,141,-16642.373046875,5033.98,141,2856.57,705000,385.6932
189.0827,142,-16605.04296875,5302.71,142,4875.91,710000,367.0844
189.821,143,-16827.63671875,5364.65,143,4830.74,715000,366.2423
229.8542,144,-17140.74609375,4379.87,144,3083.11,720000,389.1644
186.5841,145,-17045.740234375,5386.23,145,4770.66,725000,356.0891
193.0074,146,-17182.412109375,5389.2,146,4752.76,730000,367.6185
208.9456,147,-17379.87109375,5288.32,147,4226.79,735000,377.5055
238.6833,148,-17330.830078125,5401.81,148,3547.84,740000,381.2883
187.7646,149,-17338.8359375,5370.51,149,4806.09,745000,364.0691
216.9375,150,-17570.904296875,5458.9,150,3793.22,750000,376.023
196.2469,151,-17277.55078125,5396.87,151,5164.5,755000,365.7092
188.9059,152,-17502.890625,5318.17,152,4615.72,760000,364.9879
207.7274,153,-17492.546875,5411.66,153,4602.64,765000,372.5189
193.3391,154,-17701.423828125,5377.25,154,4937.19,770000,358.5276
211.6143,155,-17394.88671875,5409.64,155,4155.42,775000,376.7238
188.4053,156,-17801.41015625,5385.33,156,5257.67,780000,354.338
198.6882,157,-17588.20703125,5349.61,157,4592.51,785000,362.0036
202.3624,158,-17642.474609375,5423.91,158,5065.97,790000,369.1
196.947,159,-17648.76171875,5302.55,159,5119.08,795000,371.2862
192.8454,160,-17605.185546875,5220.02,160,4394.12,800000,359.6188
195.3198,161,-17972.5,5428.04,161,5007.15,805000,363.0411
195.9549,162,-17982.96484375,5332.69,162,5213.5,810000,371.3314
175.3496,163,-17824.748046875,5306.41,163,5242.38,815000,358.9491
187.7397,164,-18052.658203125,5415.89,164,5282.54,820000,362.6812
193.69,165,-18300.056640625,5458.43,165,5348.12,825000,366.2626
201.0914,166,-18150.88671875,5502.64,166,5197.33,830000,364.7397
181.6176,167,-18211.890625,5402.1,167,5323.62,835000,360.0369
193.1819,168,-18258.7890625,5454.07,168,5041.45,840000,360.1303
181.6013,169,-18215.078125,5456.96,169,5287.9,845000,355.2024
194.0317,170,-18190.91796875,5330.12,170,5278.11,850000,361.4258
188.3741,171,-17951.759765625,4651.3,171,4666.56,855000,360.8192
219.4867,172,-18328.5,5448.91,172,4936.23,860000,371.28
209.1063,173,-18351.51953125,5443.18,173,4778.66,865000,372.6773
201.0463,174,-18770.44140625,5433.68,174,4917.95,870000,366.8885
186.9053,175,-18533.814453125,5479.54,175,5293.51,875000,359.461
202.6845,176,-18691.421875,5448.4,176,5319.69,880000,368.2786
192.665,177,-18529.453125,5442.42,177,5241.75,885000,364.956
194.0417,178,-18727.001953125,5472.5,178,5147.98,890000,360.3438
200.4504,179,-18870.796875,5548.56,179,5396.68,895000,365.7794
192.6803,180,-18237.275390625,5457.87,180,4433.49,900000,360.6055
203.8424,181,-18785.865234375,5480.99,181,5304.8,905000,369.7894
188.8353,182,-18528.51953125,5314.19,182,4982.76,910000,359.8455
203.0849,183,-18927.7578125,5197.35,183,5384.38,915000,374.7474
191.6213,184,-18794.625,3684.26,184,5354.74,920000,363.8561
192.3264,185,-18880.787109375,3906.89,185,4980.06,925000,364.2495
255.4146,186,-18411.029296875,1201.25,186,3196.75,930000,379.7992
196.7822,187,-18885.55078125,5320.54,187,5141.04,935000,370.6231
192.8903,188,-18821.736328125,3095.28,188,5390.97,940000,365.0071
178.909,189,-18677.841796875,5482.02,189,5278.52,945000,353.9
193.7442,190,-19090.66796875,2489.41,190,5200.89,950000,364.5058
199.3297,191,-19057.666015625,4731.85,191,5422.25,955000,363.4515
262.3172,192,-18692.359375,1333.07,192,3019.14,960000,388.9523
199.5297,193,-19076.90625,5559.76,193,5439.77,965000,364.1633
219.3701,194,-18959.296875,4024.46,194,4373.85,970000,373.3961
204.4545,195,-19077.625,5534.93,195,4992.43,975000,365.9677
200.0913,196,-19170.71484375,5504.59,196,5390.26,980000,371.5372
175.9011,197,-19045.0078125,5365.95,197,5014.01,985000,356.9945
204.5186,198,-18991.494140625,4910.83,198,4964.82,990000,362.0335
201.2132,199,-19071.1484375,5574.93,199,5256.03,995000,368.3857
218.0098,200,-19209.748046875,5366.89,200,5192.96,1000000,368.3154
214.6225,201,-19159.912109375,5591.21,201,5487.53,1005000,373.6483
197.8628,202,-19094.90234375,5565.21,202,5439.91,1010000,362.7276
209.1124,203,-19241.916015625,5550.42,203,5471.46,1015000,369.9109
203.6705,204,-19108.57421875,5556.05,204,5340.45,1020000,369.3805
209.5398,205,-19181.9140625,5570.19,205,5477.75,1025000,365.328
209.7582,206,-19133.119140625,5571.96,206,5452.35,1030000,367.4858
214.7165,207,-19103.400390625,5555.76,207,5451.75,1035000,370.1149
222.3777,208,-19073.666015625,5603.6,208,5216.23,1040000,376.3539
214.1622,209,-19014.97265625,5565.53,209,5226.15,1045000,366.4002
227.0505,210,-19084.521484375,5555.56,210,5456.31,1050000,370.5277
210.2884,211,-19046.322265625,5481.32,211,5443.83,1055000,364.9358
204.8793,212,-19113.79296875,5584.91,212,5345.26,1060000,359.3002
199.8721,213,-18914.822265625,5543.74,213,5019.96,1065000,359.6795
192.913,214,-18317.111328125,5541.15,214,4414.5,1070000,351.6168
201.6625,215,-18256.556640625,1636.76,215,4307.4,1075000,370.2213
204.8058,216,-18900.021484375,2782.22,216,4807.5,1080000,352.4933
199.0585,217,-18340.015625,2899.56,217,4726.89,1085000,354.9474
206.1529,218,-18335.775390625,4158.48,218,5163.67,1090000,357.8018
194.5856,219,-18634.615234375,5520.51,219,5075.06,1095000,355.1079
201.6838,220,-18701.826171875,5498.37,220,5023.27,1100000,358.4685
189.3041,221,-18464.84765625,1830.19,221,4686.69,1105000,356.6004
184.2707,222,-18385.412109375,2130.97,222,4510.81,1110000,349.2184
216.2161,223,-17653.66015625,549.58,223,2615.27,1115000,361.5764
