Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Running Update Time,Running Reverse KL,Itration
1007.94,175000,-1379.75244140625,40.2728,1008.1,35,50.2932,35
47.45,180000,-1002.1284790039062,32.4018,45.49,36,29.6302,36
1034.19,185000,-1488.2628173828125,34.5972,1025.88,37,23.7373,37
122.01,190000,-1241.1488037109375,31.905,215.57,38,26.1229,38
1012.37,195000,-1462.172119140625,34.2234,1011.43,39,22.2993,39
951.0,200000,-1756.425537109375,36.4401,1001.76,40,37.2838,40
1001.64,205000,-1716.4266357421875,39.6698,1002.03,41,50.7203,41
635.13,210000,-1758.9686279296875,40.7327,970.67,42,51.5148,42
1001.27,215000,-1811.01904296875,38.5325,1001.99,43,52.5972,43
1005.2,220000,-1903.0120849609375,36.9526,1005.4,44,46.8336,44
1019.42,225000,-2080.721923828125,35.8118,1019.51,45,42.8315,45
858.63,230000,-2003.916748046875,35.9234,1040.67,46,35.1563,46
83.88,235000,-2294.343017578125,33.091,83.88,47,59.8299,47
115.7,240000,-2096.968994140625,35.4406,90.87,48,27.489,48
994.12,245000,-2215.90087890625,37.705,994.14,49,54.7851,49
208.86,250000,-2289.214111328125,33.3839,204.0,50,38.5122,50
261.85,255000,-2155.947265625,34.7978,484.43,51,32.715,51
990.5,260000,-2371.216552734375,39.5355,991.66,52,41.0824,52
1003.04,265000,-2475.42919921875,36.4899,1038.27,53,32.2896,53
234.61,270000,-2490.309326171875,38.6138,232.98,54,62.0957,54
998.3,275000,-2549.552490234375,38.4823,995.09,55,29.9219,55
1017.76,280000,-2569.097412109375,36.4341,1018.37,56,49.7991,56
1021.32,285000,-2612.696533203125,36.5561,1038.48,57,28.8484,57
1027.86,290000,-2702.0166015625,36.0351,1018.87,58,25.8157,58
890.55,295000,-2798.992431640625,34.3396,1002.31,59,43.2367,59
327.55,300000,-2838.966064453125,33.1432,327.47,60,61.6022,60
557.31,305000,-1740.6339111328125,27.5439,556.44,61,19.9776,61
1039.28,310000,-2922.970458984375,33.6794,1037.25,62,29.1949,62
226.14,315000,-2853.802490234375,30.794,226.63,63,26.2411,63
293.11,320000,-3084.047119140625,30.2552,279.56,64,38.0927,64
786.28,325000,-3098.67236328125,33.0632,975.11,65,42.9725,65
1043.41,330000,-3211.064208984375,39.3114,1045.1,66,37.8126,66
610.48,335000,-2816.389892578125,29.9733,474.92,67,41.78,67
976.2,340000,-3318.182861328125,36.3184,973.57,68,47.983,68
965.18,345000,-3169.271484375,36.9304,974.74,69,31.3331,69
974.14,350000,-3422.787841796875,38.3814,974.02,70,45.6136,70
1019.02,355000,-3464.3857421875,40.0919,1019.01,71,41.2852,71
1014.85,360000,-3539.59228515625,39.2516,1015.37,72,31.7893,72
1006.08,365000,-3617.549072265625,36.6782,1005.84,73,34.4893,73
1047.23,370000,-3694.087646484375,35.4738,1047.02,74,43.4732,74
1037.8,375000,-3645.970947265625,34.457,1027.45,75,27.0031,75
1078.47,380000,-3600.7099609375,32.9396,1047.87,76,26.8864,76
1031.42,385000,-3856.04345703125,33.7091,1029.87,77,33.6007,77
1030.13,390000,-3931.5654296875,33.2451,1027.81,78,36.973,78
97.22,395000,-3361.79541015625,30.3493,376.13,79,66.7798,79
1025.66,400000,-4057.20458984375,33.7687,1027.02,80,33.8925,80
87.77,405000,-1539.23193359375,31.7763,63.36,81,25.8161,81
93.85,410000,-727.086181640625,29.8314,94.09,82,25.5732,82
979.15,415000,-4224.62109375,37.9076,979.38,83,43.7434,83
1016.78,420000,-4162.47265625,38.3254,1016.79,84,25.827,84
175.38,425000,-3925.048583984375,30.9367,176.05,85,61.6036,85
233.26,430000,-3272.629638671875,31.718,250.31,86,27.7916,86
1005.66,435000,-4475.97998046875,37.6105,1005.91,87,36.3685,87
1007.1,440000,-4270.4287109375,37.9826,1003.0,88,31.629,88
440.05,445000,-4545.263671875,37.613,423.73,89,46.8366,89
415.35,450000,-4556.94140625,38.598,410.95,90,48.4075,90
298.54,455000,-4256.50341796875,32.4835,297.7,91,31.6432,91
671.31,460000,-4006.933837890625,32.7532,679.31,92,56.0582,92
1050.38,465000,-4760.28271484375,34.1559,1048.0,93,30.2277,93
339.26,470000,-3878.83154296875,30.8001,276.73,94,27.091,94
694.54,475000,-4594.96826171875,33.2051,682.09,95,39.191,95
1041.83,480000,-4999.4150390625,34.622,1041.36,96,32.4281,96
1047.07,485000,-4734.38623046875,32.6927,1040.54,97,32.6335,97
319.72,490000,-4904.5126953125,29.3124,294.85,98,35.9963,98
446.3,495000,-4191.76806640625,31.6776,441.06,99,29.4634,99
71.97,500000,-4301.99609375,32.3149,76.9,100,24.043,100
176.09,505000,-4554.25634765625,33.0857,129.01,101,22.7721,101
43.04,510000,-4896.1171875,33.2744,41.93,102,38.6104,102
1023.22,515000,-5364.39208984375,36.8593,1057.23,103,35.028,103
143.66,520000,-4540.42041015625,32.1953,140.56,104,32.714,104
1035.62,525000,-5492.82861328125,36.2949,1035.42,105,26.0684,105
480.78,530000,-5031.71044921875,33.0485,484.98,106,36.1348,106
584.6,535000,-5120.13916015625,32.8402,500.61,107,19.2229,107
300.16,540000,-4412.640625,31.3859,297.95,108,26.0444,108
350.07,545000,-4224.001953125,31.0986,352.38,109,52.3966,109
325.3,550000,-5277.326171875,30.9603,310.08,110,49.58,110
965.55,555000,-5537.65234375,32.4581,1040.77,111,28.9709,111
498.26,560000,-5009.275390625,33.9476,513.98,112,25.2478,112
453.97,565000,-3997.60400390625,31.2295,596.1,113,24.5965,113
400.81,570000,-5844.955078125,33.2877,394.64,114,37.398,114
972.48,575000,-5726.01953125,36.3858,973.47,115,40.3419,115
120.62,580000,-5509.943359375,33.0902,125.52,116,136.8272,116
969.79,585000,-6306.16357421875,40.0418,970.0,117,51.5491,117
204.2,590000,-6322.0791015625,33.4626,203.67,118,173.429,118
995.49,595000,-6419.4912109375,39.8097,994.76,119,49.6124,119
246.56,600000,-5409.673828125,31.3351,246.34,120,67.1137,120
266.06,605000,-4179.02783203125,32.3867,266.67,121,27.5569,121
262.59,610000,-5279.74755859375,32.4178,266.24,122,99.2414,122
409.88,615000,-6078.763671875,32.5028,389.59,123,139.2656,123
370.18,620000,-5278.8115234375,34.2131,495.7,124,42.0099,124
1003.33,625000,-6783.77734375,39.5889,1003.52,125,67.4605,125
977.53,630000,-6787.49951171875,38.3125,977.57,126,56.9964,126
48.58,635000,-2861.501953125,32.282,49.14,127,29.4072,127
165.57,640000,-4745.33349609375,31.3923,165.78,128,64.3879,128
181.92,645000,-5516.9697265625,31.2033,138.53,129,27.7114,129
971.23,650000,-7090.1982421875,36.8009,970.73,130,52.155,130
977.67,655000,-7058.681640625,38.1599,978.47,131,40.9563,131
975.58,660000,-7109.74267578125,38.6079,976.44,132,53.1064,132
1000.87,665000,-7042.63818359375,36.5388,1000.83,133,37.4505,133
962.73,670000,-7145.08349609375,38.2301,996.68,134,34.38,134
1014.44,675000,-6324.884765625,35.2721,1013.71,135,26.234,135
1008.87,680000,-7238.61181640625,36.2708,1008.52,136,37.4486,136
976.39,685000,-7463.8935546875,38.161,977.01,137,42.779,137
77.42,690000,-7311.015625,38.7989,75.75,138,50.4774,138
850.27,695000,-7018.26318359375,34.8788,775.14,139,28.0535,139
863.9,700000,-7320.29638671875,35.089,799.18,140,32.8393,140
1017.22,705000,-7436.80712890625,38.2265,1017.88,141,34.1102,141
39.1,710000,-7877.421875,34.9195,38.9,142,81.9105,142
239.36,715000,-7245.091796875,31.4938,246.04,143,72.934,143
527.76,720000,-6547.7958984375,29.2675,526.25,144,25.6987,144
521.39,725000,-6276.11376953125,28.6845,530.28,145,47.5823,145
1022.81,730000,-7564.962890625,35.4171,1016.04,146,21.4604,146
527.4,735000,-5394.908203125,27.5459,532.9,147,17.4741,147
645.35,740000,-7628.06396484375,32.2919,619.84,148,54.0048,148
977.62,745000,-7495.861328125,32.7275,980.39,149,20.3905,149
577.98,750000,-6824.60693359375,32.2329,625.65,150,19.4624,150
962.93,755000,-8043.7041015625,34.4223,1011.01,151,28.2742,151
985.33,760000,-8351.8994140625,37.2355,983.16,152,32.8493,152
1023.36,765000,-8299.8720703125,33.9875,1035.55,153,29.0537,153
980.32,770000,-8415.189453125,37.1511,980.65,154,32.2325,154
1025.85,775000,-8639.12890625,33.6621,1025.5,155,44.1616,155
593.0,780000,-8239.1474609375,34.012,398.46,156,31.4665,156
186.5,785000,-2778.506103515625,30.8454,190.5,157,21.0117,157
95.79,790000,-7201.33251953125,28.9653,93.71,158,44.7125,158
1035.6,795000,-9035.7001953125,39.5417,1035.18,159,26.3081,159
1027.51,800000,-9017.08984375,35.747,1028.95,160,26.4249,160
1022.26,805000,-8889.9921875,34.3491,1021.52,161,23.4493,161
1039.86,810000,-9318.5,39.3573,1040.48,162,38.072,162
100.6,815000,-9573.115234375,34.1742,104.59,163,111.9819,163
1023.82,820000,-9222.0224609375,35.7987,1024.39,164,38.0564,164
644.1,825000,-8139.74853515625,30.0432,649.12,165,47.06,165
820.94,830000,-8475.63671875,29.778,870.14,166,37.145,166
619.35,835000,-8318.5322265625,31.114,632.34,167,32.8215,167
987.9,840000,-9617.6416015625,36.6058,1027.28,168,35.1883,168
990.55,845000,-9643.4404296875,37.9189,991.15,169,58.7198,169
482.38,850000,-6862.52734375,29.7225,478.37,170,29.3534,170
1005.3,855000,-9615.8818359375,37.6429,1004.36,171,41.243,171
1017.74,860000,-9290.6845703125,35.5213,1017.37,172,23.7384,172
1040.92,865000,-9879.375,35.4324,1041.05,173,26.6155,173
1031.01,870000,-10023.7275390625,36.0476,1027.57,174,29.251,174
985.09,875000,-10040.2890625,36.5706,983.23,175,36.9926,175
989.33,880000,-10187.9931640625,39.3231,990.8,176,37.6203,176
988.44,885000,-10256.9111328125,39.0376,988.74,177,49.944,177
1012.53,890000,-10186.3310546875,36.0258,1013.92,178,25.8124,178
1031.49,895000,-10378.859375,35.3239,1035.57,179,30.4543,179
1012.04,900000,-10688.291015625,35.3414,1012.92,180,35.9541,180
1018.32,905000,-10727.25,35.8626,1016.36,181,34.2192,181
184.53,910000,-7834.74658203125,32.667,184.79,182,23.6457,182
74.43,915000,-7669.294921875,32.0062,74.15,183,22.3751,183
249.85,920000,-10029.53125,32.6075,247.76,184,29.6175,184
313.5,925000,-10061.1123046875,32.2473,312.9,185,105.929,185
999.78,930000,-10694.994140625,38.5831,999.42,186,52.4267,186
1009.6,935000,-11002.1396484375,36.581,1008.64,187,48.9843,187
987.63,940000,-10510.375,36.523,990.97,188,31.9659,188
59.78,945000,-9811.9033203125,36.1669,59.6,189,56.7677,189
78.66,950000,-11746.486328125,36.5709,79.1,190,184.6429,190
995.79,955000,-11594.3291015625,37.6525,996.7,191,41.385,191
989.3,960000,-11210.826171875,38.0373,989.0,192,36.4118,192
138.03,965000,-6265.84716796875,31.8984,140.16,193,27.7134,193
988.34,970000,-9932.2275390625,35.1751,992.86,194,29.3126,194
975.25,975000,-12084.412109375,38.1697,974.93,195,56.5258,195
975.18,980000,-12040.2060546875,39.7621,974.84,196,54.0203,196
1008.46,985000,-11861.0693359375,38.1971,1009.11,197,29.0354,197
982.67,990000,-12157.7490234375,38.8043,982.52,198,47.6426,198
995.79,995000,-12108.1005859375,38.6722,999.73,199,46.7745,199
