Running Update Time,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return,Reward Loss
121,49.4055,605000,121,3754.49,69.0786,3679.19,-1268.144775390625
122,49.5933,610000,122,2105.75,67.8824,1924.77,-1238.116455078125
123,48.0632,615000,123,3733.4,68.9616,2938.17,-1267.559814453125
124,45.9869,620000,124,4353.83,66.1338,3757.65,-1355.73193359375
125,56.7382,625000,125,4457.48,69.5687,4366.08,-1386.712158203125
126,51.9854,630000,126,1695.06,70.3874,2069.64,-1313.736572265625
127,59.3417,635000,127,5117.09,70.7564,2587.87,-1375.462158203125
128,47.0797,640000,128,4446.5,68.3948,3241.75,-1381.9261474609375
129,61.5883,645000,129,4720.5,73.8178,3958.05,-1444.169189453125
130,67.7733,650000,130,4784.84,77.9284,3546.8,-1446.0946044921875
131,71.6505,655000,131,4635.04,79.1469,4205.66,-1531.1632080078125
132,57.6922,660000,132,3315.91,71.225,1914.72,-1446.2020263671875
133,69.4774,665000,133,4480.08,74.6948,3719.07,-1546.4891357421875
134,65.5737,670000,134,4796.63,76.1202,3353.8,-1517.93310546875
135,71.7207,675000,135,4829.63,80.6611,4469.53,-1620.9705810546875
136,66.9709,680000,136,4700.67,75.8483,4164.71,-1658.705078125
137,63.7713,685000,137,3836.8,72.3315,3588.47,-1602.545654296875
138,46.4339,690000,138,3358.21,67.4206,3694.19,-1597.196044921875
139,67.6476,695000,139,4741.02,73.4795,4078.55,-1754.6356201171875
140,62.9502,700000,140,5041.78,71.5359,3672.42,-1727.5155029296875
141,69.3379,705000,141,3510.79,78.5978,3515.42,-1735.77783203125
142,73.3558,710000,142,4011.74,80.6843,3819.72,-1784.04833984375
143,60.3518,715000,143,3609.61,74.0921,2307.38,-1746.683837890625
144,65.4688,720000,144,4726.34,76.3081,4322.48,-1873.997314453125
145,72.7151,725000,145,4929.77,79.3619,4774.3,-1880.6185302734375
146,70.6457,730000,146,4925.05,78.5506,3841.76,-1941.5823974609375
147,57.1265,735000,147,5129.26,72.4072,3438.98,-1902.03662109375
148,73.3778,740000,148,4649.08,81.3393,4744.39,-2015.3212890625
149,63.9982,745000,149,4988.96,71.0866,3909.68,-1913.2320556640625
150,62.8782,750000,150,5033.64,77.1504,4401.11,-2074.90576171875
151,69.496,755000,151,4525.14,77.0279,4557.24,-2044.483154296875
152,64.7753,760000,152,3172.51,76.2109,2891.57,-2068.802001953125
153,71.7135,765000,153,4812.64,78.6711,4461.52,-2080.906982421875
154,57.9364,770000,154,4983.65,69.845,4537.06,-2120.311767578125
155,67.5851,775000,155,4682.89,75.2928,4345.76,-2215.24462890625
156,66.295,780000,156,5201.04,74.045,4826.22,-2282.823974609375
157,74.6683,785000,157,5180.31,82.3312,4437.64,-2270.86865234375
158,63.5921,790000,158,5115.81,73.8467,4270.1,-2243.788818359375
159,57.3551,795000,159,5258.67,69.5814,4649.95,-2253.7607421875
160,69.4396,800000,160,5318.73,78.3903,4630.18,-2351.633544921875
161,63.059,805000,161,4063.01,77.3487,4068.77,-2367.1064453125
162,68.5786,810000,162,5305.67,75.3387,4720.67,-2443.65869140625
163,64.1246,815000,163,5365.36,75.3609,4692.92,-2479.82861328125
164,70.5373,820000,164,4808.62,78.7332,4616.14,-2443.651123046875
165,72.7511,825000,165,5170.26,75.761,4638.0,-2619.996826171875
166,62.5614,830000,166,4229.19,71.7095,3275.49,-2504.293212890625
167,58.3304,835000,167,4659.88,72.4046,4093.11,-2663.0693359375
168,69.1726,840000,168,4329.72,77.9642,3355.0,-2551.397216796875
169,66.1353,845000,169,4506.67,78.2322,4807.93,-2720.218017578125
170,73.2062,850000,170,5176.63,80.7332,5049.87,-2782.01513671875
171,73.3,855000,171,4864.07,81.1589,4455.35,-2801.449951171875
172,58.3421,860000,172,4960.96,71.7186,4409.98,-2732.873291015625
173,68.7073,865000,173,4770.06,78.1644,4280.8,-2873.94677734375
174,64.0762,870000,174,5290.63,73.5133,4951.76,-2907.88134765625
175,68.4247,875000,175,4734.89,77.655,4018.19,-2930.708984375
176,75.7014,880000,176,5294.33,80.4819,4672.72,-2994.779052734375
177,70.5753,885000,177,5157.68,77.3844,4753.44,-2941.38037109375
178,69.1254,890000,178,5198.85,77.3338,4290.77,-3144.61083984375
179,74.7217,895000,179,5010.23,79.9136,4335.56,-3148.381591796875
180,62.7861,900000,180,5379.58,73.3067,4676.49,-3103.851806640625
181,73.0201,905000,181,5089.84,80.0894,4864.84,-3166.63525390625
182,70.337,910000,182,4129.08,75.0191,4334.39,-3093.99755859375
183,69.0007,915000,183,3797.54,73.6814,2472.8,-3221.98486328125
184,69.9976,920000,184,4138.64,76.2423,4172.19,-3198.3271484375
185,62.2415,925000,185,5334.79,71.8652,4722.68,-3277.3603515625
186,56.0247,930000,186,5115.62,72.1239,4654.76,-3206.060791015625
187,54.9794,935000,187,4613.82,70.0547,4323.02,-3218.994140625
188,59.7361,940000,188,4354.48,72.4245,3581.56,-3293.5830078125
189,68.1592,945000,189,4754.9,76.3624,4433.27,-3440.107177734375
190,67.9198,950000,190,5330.05,73.029,4600.76,-3499.784912109375
191,65.8721,955000,191,5133.89,77.5308,4497.67,-3777.976318359375
192,70.2197,960000,192,5348.18,78.2458,4380.09,-3777.152099609375
193,68.7497,965000,193,5004.64,75.5257,4898.47,-3783.9189453125
194,70.5256,970000,194,5132.92,79.1352,4935.24,-3724.881103515625
195,61.106,975000,195,4821.01,72.4283,4856.92,-3566.093017578125
196,59.0236,980000,196,4980.31,71.6157,5054.56,-3774.66015625
197,66.2273,985000,197,5338.29,76.0838,4796.23,-3890.98486328125
198,64.3098,990000,198,5422.99,75.2868,3758.31,-3887.791259765625
199,64.2546,995000,199,4377.75,73.0245,4093.19,-3844.759521484375
200,65.8245,1000000,200,4573.96,75.9034,3766.2,-3885.449951171875
201,69.6324,1005000,201,5292.81,79.9265,4291.16,-4049.710693359375
202,76.6093,1010000,202,5304.22,82.9176,5061.94,-4164.841796875
203,76.7776,1015000,203,5358.01,81.202,4484.29,-4160.4462890625
204,76.106,1020000,204,5443.09,81.2087,4119.72,-4323.564453125
205,81.9795,1025000,205,5086.0,83.6142,4119.85,-4481.30908203125
206,67.2727,1030000,206,3028.91,76.5518,3874.46,-4358.48193359375
207,63.4352,1035000,207,4636.43,73.8086,3526.55,-4186.09228515625
208,64.5118,1040000,208,4241.03,72.9498,4568.03,-4262.91552734375
209,65.2749,1045000,209,4114.97,73.616,3703.52,-4352.48828125
210,77.1458,1050000,210,5032.22,81.2384,4696.32,-4596.6669921875
211,60.2686,1055000,211,4939.66,73.2646,4367.47,-4520.85205078125
212,56.1927,1060000,212,2949.53,70.178,4095.86,-4259.107421875
213,60.6119,1065000,213,4997.44,71.9327,3685.22,-4417.98876953125
214,69.3907,1070000,214,5091.45,79.648,5022.14,-4714.05615234375
215,71.7125,1075000,215,5337.86,81.9089,3963.89,-4863.3759765625
216,65.7171,1080000,216,4936.55,74.629,4079.17,-4645.69482421875
217,72.3298,1085000,217,4690.94,79.9855,3717.22,-4893.59765625
218,58.9144,1090000,218,4686.67,71.7577,3809.25,-4737.4404296875
219,61.0565,1095000,219,5233.88,72.0596,4507.54,-4804.14306640625
220,60.4975,1100000,220,5095.92,72.5501,4124.42,-4917.599609375
221,63.5072,1105000,221,2820.59,74.5011,2096.56,-4819.787109375
222,66.1926,1110000,222,4979.87,74.8646,4002.76,-4970.55517578125
223,56.7667,1115000,223,4540.48,69.529,4316.81,-4760.63818359375
224,67.0,1120000,224,4388.73,74.5933,3886.59,-5175.9404296875
225,62.3712,1125000,225,4990.84,75.0719,4272.65,-5252.724609375
226,66.0858,1130000,226,4407.2,73.8453,3950.87,-5224.6943359375
227,69.8202,1135000,227,4984.17,78.1739,3525.54,-5374.056640625
228,71.3757,1140000,228,4289.01,75.6675,3334.8,-5262.42529296875
229,71.4099,1145000,229,3594.74,78.0241,3501.83,-5542.484375
230,66.6601,1150000,230,4213.36,75.6635,3382.3,-5519.623046875
231,69.291,1155000,231,4508.21,77.9886,4257.34,-5718.5888671875
232,73.8118,1160000,232,5100.55,80.3953,3307.97,-5888.1025390625
233,70.4398,1165000,233,4851.77,80.6621,4041.62,-5832.54150390625
234,70.1118,1170000,234,4838.19,80.8441,4402.89,-5809.67919921875
235,68.0745,1175000,235,4714.63,78.9564,4014.99,-5956.1240234375
236,58.0641,1180000,236,3695.0,71.9953,3516.55,-5635.81201171875
237,65.5032,1185000,237,3480.3,74.7994,3612.59,-5738.88134765625
238,66.5656,1190000,238,4223.73,77.0842,4461.76,-6101.5908203125
239,61.048,1195000,239,4661.01,71.9516,3878.85,-5821.384765625
240,66.6252,1200000,240,3940.53,78.8303,4748.53,-6246.96728515625
241,67.0851,1205000,241,5006.54,77.6157,4775.05,-6411.07666015625
242,65.873,1210000,242,5497.93,76.7782,4621.88,-6341.3056640625
243,67.0861,1215000,243,4611.42,76.9649,4060.21,-6436.7998046875
244,67.1105,1220000,244,5021.28,77.2121,4945.1,-6596.3232421875
245,60.7466,1225000,245,5319.46,72.1838,4488.7,-6201.5927734375
246,60.4452,1230000,246,4727.17,74.0166,4158.3,-6522.890625
247,61.3967,1235000,247,5115.03,71.9755,4422.02,-6510.97119140625
248,63.7764,1240000,248,5398.33,72.6709,4697.7,-6526.8173828125
249,62.3991,1245000,249,5464.48,75.2183,5024.97,-6928.96728515625
250,61.021,1250000,250,4990.13,72.735,5134.88,-6636.5263671875
251,66.6271,1255000,251,4919.0,77.6222,4363.93,-6980.05224609375
252,72.2928,1260000,252,5336.9,79.0962,4838.86,-7176.4697265625
253,57.7587,1265000,253,5317.06,72.0894,4293.99,-6626.15673828125
254,67.4296,1270000,254,5344.71,80.7448,5251.23,-7172.6103515625
255,72.0272,1275000,255,5118.67,81.0087,4293.74,-7260.76904296875
256,74.0849,1280000,256,5290.67,82.259,4815.85,-7395.7978515625
257,67.3652,1285000,257,5176.76,74.1294,5158.3,-7259.6767578125
258,61.6821,1290000,258,5433.43,73.0478,5215.77,-6976.76953125
259,70.8883,1295000,259,5198.63,80.5688,3955.67,-7531.67041015625
260,69.5548,1300000,260,5352.18,76.7702,4643.46,-7479.23486328125
261,66.6872,1305000,261,3907.86,80.0154,4339.75,-7682.57958984375
262,61.3883,1310000,262,4914.82,73.989,3967.73,-7444.09375
263,62.031,1315000,263,5522.09,71.4824,4924.72,-7492.62255859375
264,64.7007,1320000,264,4230.18,76.1653,4476.22,-7737.2919921875
265,65.5558,1325000,265,4926.8,76.2713,3266.06,-7989.28564453125
266,63.5121,1330000,266,4850.54,76.7365,3475.79,-8021.70751953125
267,58.1006,1335000,267,4755.01,72.1237,4650.35,-7653.2314453125
268,58.5902,1340000,268,4302.28,72.5632,3455.54,-7633.1640625
269,65.8169,1345000,269,5154.0,75.3869,4478.3,-8160.9248046875
270,54.9441,1350000,270,4027.47,72.3067,2769.36,-7849.1728515625
271,49.6419,1355000,271,5007.41,69.02,4305.24,-7275.11767578125
272,59.4617,1360000,272,5136.81,71.8005,4506.13,-8104.54541015625
273,62.1096,1365000,273,5110.61,73.9924,4593.61,-8267.490234375
274,61.6073,1370000,274,4522.41,75.4192,3725.6,-8143.3115234375
275,59.1763,1375000,275,4697.72,71.3669,3981.61,-7877.64306640625
276,60.8434,1380000,276,4065.42,75.6027,3032.84,-8404.8408203125
277,53.0522,1385000,277,4803.03,69.0302,3862.18,-8146.66259765625
278,63.4905,1390000,278,5046.87,73.6662,4584.26,-8496.224609375
279,62.7305,1395000,279,4967.86,76.4635,4388.99,-8573.505859375
280,65.5373,1400000,280,5015.31,77.4364,4208.05,-8641.7900390625
281,56.2461,1405000,281,2655.22,69.7869,1833.63,-8075.927734375
282,65.1011,1410000,282,5353.47,76.0944,3990.77,-8739.7265625
283,63.045,1415000,283,4972.5,74.6784,3573.41,-8603.4599609375
284,56.9684,1420000,284,5141.0,71.4795,3918.02,-8360.759765625
285,66.2481,1425000,285,5114.79,77.1056,4171.39,-8845.5107421875
286,64.4203,1430000,286,4817.38,76.3413,4599.64,-8964.6298828125
287,65.9619,1435000,287,5412.05,76.5631,4918.4,-9090.15234375
288,59.1234,1440000,288,4822.32,72.6274,3233.16,-8691.1337890625
289,67.6141,1445000,289,5109.27,77.4782,5035.77,-9106.6220703125
290,57.4635,1450000,290,2980.81,72.1581,3044.92,-8484.037109375
291,64.1153,1455000,291,4182.37,76.5774,3062.71,-9277.369140625
292,65.7112,1460000,292,3827.15,75.9925,3094.44,-9136.2900390625
293,66.8916,1465000,293,5617.84,78.2757,4124.71,-9402.4833984375
294,64.9722,1470000,294,3717.44,76.4146,3589.11,-9305.748046875
295,53.4836,1475000,295,4672.87,70.3073,3318.99,-8565.091796875
296,61.4731,1480000,296,5331.99,75.9455,4312.03,-9651.0107421875
297,65.6707,1485000,297,5140.32,78.097,4831.16,-9587.716796875
298,64.9197,1490000,298,4805.49,77.4505,4195.32,-9632.5703125
299,65.86,1495000,299,3935.32,75.9872,3504.45,-9406.3564453125
300,65.7404,1500000,300,4170.49,77.9494,3202.54,-9613.1181640625
301,65.1327,1505000,301,4948.45,76.9018,3673.66,-9658.5439453125
302,50.8374,1510000,302,4706.19,69.7678,3596.33,-8622.587890625
303,66.4762,1515000,303,2907.27,78.3802,3221.37,-9753.806640625
304,63.4921,1520000,304,4977.42,75.8107,4429.67,-9722.390625
305,63.7986,1525000,305,5112.96,75.1772,4770.1,-9369.470703125
306,48.2686,1530000,306,4579.22,67.9946,3809.34,-8393.931640625
307,66.2006,1535000,307,4845.64,78.4351,4092.36,-9834.154296875
308,65.5946,1540000,308,3850.28,77.0452,3920.85,-9768.6083984375
309,62.0144,1545000,309,5018.56,76.6012,3966.64,-9875.375
310,63.0957,1550000,310,5357.71,75.0483,3774.3,-9785.9560546875
311,63.4071,1555000,311,4417.98,77.509,4066.49,-10111.119140625
312,64.1582,1560000,312,5304.17,76.9942,3622.97,-9911.3212890625
313,60.2522,1565000,313,3615.74,73.1657,2324.52,-9679.4951171875
314,62.9637,1570000,314,4892.83,78.0828,4037.12,-10131.7236328125
315,67.0745,1575000,315,5189.73,78.6517,4412.35,-10315.5625
316,61.3653,1580000,316,4508.71,75.0483,4671.43,-10244.158203125
317,70.6133,1585000,317,5708.42,80.9058,5036.02,-10298.419921875
318,60.2822,1590000,318,5442.27,72.7062,4692.63,-10156.99609375
319,62.8887,1595000,319,4816.95,77.3087,3360.36,-10473.14453125
320,62.9836,1600000,320,3916.59,75.8892,3378.96,-10539.75390625
321,62.6277,1605000,321,4621.79,77.2259,2987.07,-10520.4931640625
322,67.5343,1610000,322,5646.79,78.8459,4093.89,-10690.0732421875
323,55.5904,1615000,323,5263.54,72.2979,4531.19,-10052.91796875
324,65.0939,1620000,324,5587.23,76.6083,5128.92,-10670.578125
325,58.3218,1625000,325,4454.39,74.5168,3657.79,-10411.8232421875
326,60.0856,1630000,326,3189.75,74.9114,2774.59,-10433.3896484375
327,65.6417,1635000,327,4197.91,77.754,3301.36,-10727.61328125
328,56.2754,1640000,328,5701.25,72.2518,4916.47,-10199.646484375
329,52.9299,1645000,329,4162.37,70.262,3982.85,-9647.0537109375
330,58.3072,1650000,330,3654.67,73.2491,3237.96,-10161.5380859375
331,66.9595,1655000,331,4891.95,76.4377,4418.75,-10725.296875
332,55.1386,1660000,332,5424.39,70.7989,3745.88,-10246.8056640625
333,68.1319,1665000,333,1257.73,69.9573,835.79,-7372.28662109375
334,249.8563,1670000,334,-1215.62,105.2562,-1216.57,-6856.55810546875
335,73.255,1675000,335,1098.22,79.6671,985.94,-8394.0703125
336,64.3825,1680000,336,3213.37,78.7882,2189.52,-10061.275390625
337,64.5989,1685000,337,4973.3,77.0321,4133.35,-10384.4619140625
338,75.9013,1690000,338,5231.57,83.6292,4503.31,-11050.0927734375
339,73.9215,1695000,339,5441.15,78.7577,4857.32,-10946.0146484375
340,74.1176,1700000,340,4995.64,80.0643,5149.63,-11256.93359375
341,75.9224,1705000,341,5450.11,80.7108,5118.49,-11252.1689453125
342,71.478,1710000,342,5498.57,81.1862,5212.95,-11137.953125
343,75.4006,1715000,343,5394.63,81.5117,5102.08,-11379.5048828125
344,57.8619,1720000,344,5324.7,73.0967,4486.7,-11151.322265625
345,44.0624,1725000,345,4944.1,68.4626,3554.61,-9895.32421875
346,43.7447,1730000,346,4554.67,67.0369,3078.4,-9842.7529296875
347,45.7503,1735000,347,4223.5,68.9348,3088.61,-9799.0185546875
348,48.5281,1740000,348,3905.92,71.114,3335.59,-10331.1630859375
349,53.9669,1745000,349,4634.25,71.7494,3999.26,-10953.724609375
350,46.7898,1750000,350,4444.46,67.3277,3759.83,-9403.0078125
351,54.5864,1755000,351,4756.45,71.6984,3394.43,-10623.5927734375
352,58.3977,1760000,352,4524.74,73.1178,4076.66,-11132.640625
353,63.7282,1765000,353,3910.41,75.9158,3978.59,-11452.6484375
354,59.2447,1770000,354,4275.21,71.2779,4317.36,-10921.1328125
355,56.4837,1775000,355,4699.49,70.747,4282.05,-10978.1376953125
356,57.0835,1780000,356,5122.42,72.0431,4234.87,-10641.3779296875
357,68.3059,1785000,357,5252.2,75.0551,4438.41,-11454.3935546875
358,60.6656,1790000,358,5052.73,73.5431,4680.39,-11208.7724609375
359,62.8969,1795000,359,4803.5,74.811,4795.35,-11472.080078125
360,67.002,1800000,360,4999.79,77.4068,4335.87,-11670.3603515625
361,64.758,1805000,361,4539.31,74.6208,4470.37,-11446.2392578125
362,63.5981,1810000,362,4851.63,73.7029,4493.55,-11231.8447265625
363,55.1125,1815000,363,5083.44,71.9563,3860.64,-10846.3076171875
364,60.2938,1820000,364,5082.01,73.9311,3723.55,-10793.5126953125
365,58.3699,1825000,365,5350.35,75.6037,3510.99,-11601.673828125
366,62.6265,1830000,366,5248.84,76.7582,4657.13,-11541.837890625
367,59.8868,1835000,367,4902.37,73.3156,4414.88,-11006.5234375
368,57.9716,1840000,368,5036.03,73.2082,4836.85,-10942.078125
369,64.1891,1845000,369,4270.5,77.7179,4135.03,-11963.2373046875
370,61.5076,1850000,370,5188.34,75.7634,3995.86,-11482.4755859375
371,59.7693,1855000,371,4937.04,74.3778,3473.12,-11436.943359375
372,62.4089,1860000,372,5063.57,76.8198,4738.65,-11770.177734375
373,57.9145,1865000,373,5565.47,74.3806,4511.26,-11519.9150390625
374,68.9808,1870000,374,5411.71,79.708,4607.51,-12115.890625
375,61.4161,1875000,375,4499.01,76.4723,3928.75,-11118.9736328125
376,60.7322,1880000,376,5292.1,74.4018,4485.96,-11848.1552734375
377,59.6559,1885000,377,4477.93,73.4038,3799.34,-11821.037109375
378,64.2151,1890000,378,5338.5,78.02,4521.15,-12169.9697265625
379,65.8675,1895000,379,5493.55,79.5122,4633.52,-12106.35546875
380,63.2808,1900000,380,5340.72,77.9164,4235.68,-12127.8955078125
381,71.6214,1905000,381,5484.51,80.7337,4685.5,-12246.1259765625
382,68.6112,1910000,382,5370.69,79.5287,3953.45,-12317.5625
383,70.9922,1915000,383,5553.18,79.9497,3887.76,-12405.4072265625
384,69.983,1920000,384,5337.99,80.9842,4621.29,-12305.6767578125
385,65.7774,1925000,385,5694.27,76.2302,4907.25,-12005.9013671875
