Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time
295000,59,26.5633,-99.61813354492188,12.3968,3291.87,3244.28,59
300000,60,26.6172,-92.50720977783203,13.5956,3323.29,2706.27,60
305000,61,26.0358,-105.97821807861328,12.439,3348.91,3312.97,61
310000,62,26.3516,-130.49769592285156,12.1862,3349.28,3062.49,62
315000,63,27.4374,-109.1166763305664,12.8436,3351.62,3312.43,63
320000,64,26.1964,-107.4450912475586,12.8541,3328.89,3214.25,64
325000,65,26.1567,-89.37385559082031,12.6854,3309.71,3273.34,65
330000,66,25.884,-101.0744857788086,13.3911,3336.42,3043.31,66
335000,67,24.7506,-109.57738494873047,11.1156,3361.68,3323.55,67
340000,68,26.4079,-115.72596740722656,12.5597,3342.99,2993.5,68
345000,69,26.3008,-65.34925079345703,13.4544,3359.65,3347.68,69
350000,70,27.1915,-116.95024108886719,12.9614,3348.83,3291.75,70
355000,71,25.049,-122.63047790527344,11.7608,3347.31,3297.87,71
360000,72,25.5504,-132.03111267089844,12.551,3337.16,3214.52,72
365000,73,25.1213,-97.91677856445312,11.7236,3361.53,3319.18,73
370000,74,26.251,-93.50454711914062,13.3285,3416.58,3362.94,74
375000,75,27.0629,-238.98587036132812,13.8445,1830.7,1814.85,75
380000,76,24.9001,-94.23715209960938,12.3295,3375.77,3341.97,76
385000,77,23.9416,-97.20316314697266,11.7491,3372.94,3312.38,77
390000,78,25.5036,-184.5558319091797,12.0828,3367.29,2960.12,78
395000,79,24.4639,-97.37175750732422,11.7599,3418.18,3243.63,79
400000,80,25.5633,-117.13650512695312,12.7168,3412.42,3382.44,80
405000,81,24.5742,-98.79642486572266,11.4256,3426.01,3334.94,81
410000,82,25.2568,-106.02369689941406,12.53,3456.66,3069.42,82
415000,83,24.8658,-50.413997650146484,13.5723,3416.74,3380.95,83
420000,84,24.9386,-99.32181549072266,12.8233,3399.14,3372.45,84
425000,85,25.6584,-118.41175079345703,12.8682,3373.83,3333.31,85
430000,86,24.4785,-85.19661712646484,12.9809,3434.97,3403.71,86
435000,87,24.6985,-77.73250579833984,13.3633,3454.27,3374.35,87
440000,88,25.3147,-57.18916702270508,14.0762,3393.0,3325.74,88
445000,89,25.3363,-127.2934341430664,13.0704,3394.68,3234.99,89
450000,90,25.2102,-190.98785400390625,12.1181,3452.98,2148.7,90
455000,91,24.3506,-97.54276275634766,12.466,3452.14,3395.53,91
460000,92,25.1978,-108.36213684082031,12.7946,3383.69,3309.23,92
465000,93,24.7958,-84.1170883178711,11.9076,3438.8,2499.4,93
470000,94,25.3919,-122.34032440185547,12.5014,3465.91,3147.2,94
475000,95,25.4197,-115.0619125366211,12.9714,3440.4,3394.9,95
480000,96,26.1163,-102.69114685058594,12.7379,3445.16,3397.03,96
485000,97,25.1197,-78.12902069091797,11.9306,3321.35,3217.44,97
490000,98,25.9619,-86.39466857910156,13.5824,3404.02,3398.87,98
495000,99,25.5018,-95.64640808105469,13.2321,3424.95,3405.49,99
500000,100,25.7233,-84.64503479003906,13.297,3424.79,3367.8,100
505000,101,25.7996,-103.20952606201172,13.0393,3446.84,1933.97,101
510000,102,23.9873,-106.2912368774414,11.1988,3442.27,3320.11,102
515000,103,24.7296,-108.03958892822266,11.8609,3440.4,3215.76,103
520000,104,25.2801,-141.05755615234375,12.5976,3384.98,3108.62,104
525000,105,23.7653,-87.82869720458984,11.9618,3471.4,3418.01,105
530000,106,24.6623,-97.67160034179688,11.8116,3403.0,3264.65,106
535000,107,24.8066,-155.49412536621094,11.6453,3369.84,2727.56,107
540000,108,24.4732,-104.0049819946289,12.0795,3404.09,3233.97,108
545000,109,24.7445,-94.57731628417969,12.4424,3426.81,3385.31,109
550000,110,25.1245,-142.8124542236328,13.3812,3429.32,2747.68,110
555000,111,26.4799,-199.0665740966797,12.2794,3349.04,2305.58,111
560000,112,25.4034,-114.23519134521484,12.9312,3337.14,2794.54,112
565000,113,25.5171,-100.46696472167969,12.1191,3471.48,2944.68,113
570000,114,25.0463,-134.94532775878906,12.4845,3387.83,3310.24,114
575000,115,25.3878,-121.5982437133789,12.3533,3395.13,3165.1,115
580000,116,24.5197,-129.82058715820312,11.9826,3399.17,3276.5,116
585000,117,25.8148,-249.5377655029297,11.7605,3242.44,2173.93,117
590000,118,25.2349,-201.22605895996094,12.7059,3414.34,2905.4,118
595000,119,24.2751,-137.1095428466797,11.433,3444.75,2883.81,119
600000,120,23.8567,-140.46853637695312,10.7792,3381.0,2879.06,120
605000,121,24.5764,-150.5506591796875,10.8668,3370.85,3060.82,121
610000,122,23.967,-135.02737426757812,11.1337,3359.46,3279.61,122
615000,123,25.5592,-147.66346740722656,11.7874,3377.44,2804.99,123
620000,124,25.9087,-144.40879821777344,12.3717,3429.59,3392.83,124
625000,125,25.6176,-223.873291015625,11.3902,3333.39,2763.54,125
630000,126,24.3546,-115.81239318847656,12.0267,3459.99,3219.05,126
635000,127,25.7592,-304.9464416503906,16.1574,3420.82,2358.35,127
640000,128,25.8546,-304.33673095703125,11.6796,3393.78,2094.31,128
645000,129,25.3218,-127.05057525634766,12.3516,3409.55,3167.41,129
650000,130,25.6217,-204.09947204589844,11.5628,3446.24,2390.73,130
655000,131,25.4864,-131.49234008789062,12.3047,3440.52,3306.97,131
660000,132,26.183,-210.53004455566406,12.1809,3446.29,2700.52,132
665000,133,25.276,-203.19772338867188,10.5763,3446.68,2747.0,133
670000,134,24.5659,-176.47427368164062,10.987,3437.84,2840.96,134
675000,135,24.5345,-178.17193603515625,10.8185,3442.32,2563.49,135
680000,136,26.2996,-271.2652282714844,12.0924,3459.76,1999.85,136
685000,137,26.0213,-295.3265380859375,11.2131,3295.98,2023.04,137
690000,138,24.7666,-243.1451416015625,10.8191,3463.86,2817.42,138
695000,139,25.9991,-253.2853546142578,12.2245,3364.0,2361.6,139
700000,140,25.1551,-231.69802856445312,11.3389,3389.78,2578.35,140
705000,141,24.0907,-185.96908569335938,10.4882,3444.28,3266.67,141
710000,142,24.8601,-243.0439910888672,10.7522,3386.4,2518.99,142
715000,143,25.2757,-178.40260314941406,11.4976,3392.26,2866.77,143
720000,144,24.6496,-204.98817443847656,10.4439,3442.52,2807.07,144
725000,145,24.3853,-137.01844787597656,11.0484,3412.39,2532.11,145
730000,146,24.305,-165.44451904296875,11.1344,3385.27,3151.97,146
735000,147,27.3502,-404.7072448730469,13.5185,3240.15,1441.2,147
740000,148,24.7185,-244.3468017578125,10.8847,3457.36,2549.78,148
745000,149,24.6223,-138.91819763183594,10.8292,3455.99,3386.5,149
750000,150,24.9415,-179.0751495361328,11.1989,3422.59,3260.43,150
755000,151,25.6613,-191.32322692871094,11.3008,3460.98,3210.31,151
760000,152,25.6744,-265.0419006347656,11.2986,3456.93,2973.06,152
765000,153,25.1406,-221.9602813720703,11.1735,3499.27,3158.07,153
770000,154,24.2088,-178.8223114013672,10.7093,3472.67,3207.36,154
775000,155,24.5724,-206.0298309326172,10.2806,3458.16,3043.63,155
780000,156,25.1085,-236.23175048828125,11.1518,3476.64,3017.99,156
785000,157,24.9967,-196.31517028808594,16.3913,3435.1,2976.89,157
790000,158,24.4019,-155.80577087402344,11.0742,3480.63,2700.46,158
795000,159,24.9987,-231.99713134765625,11.8756,3437.06,3146.95,159
800000,160,25.5353,-201.41983032226562,11.7954,3417.25,2931.96,160
805000,161,25.0692,-173.17578125,11.5432,3461.37,3222.49,161
810000,162,25.3799,-203.50927734375,12.0343,3472.03,2560.9,162
815000,163,27.2607,-307.5191345214844,11.9049,3293.81,2199.79,163
820000,164,25.7605,-183.14517211914062,11.9795,3448.11,3218.9,164
825000,165,24.6423,-180.17587280273438,11.9488,3444.79,2556.15,165
830000,166,24.2944,-171.66297912597656,10.7622,3441.06,3240.75,166
835000,167,25.202,-273.120849609375,11.0091,2992.02,2344.79,167
840000,168,26.5767,-371.9781188964844,12.1726,3371.25,1918.25,168
845000,169,24.5406,-130.401611328125,12.6589,3477.66,3355.67,169
850000,170,25.3713,-244.31381225585938,12.2192,3474.43,2315.08,170
855000,171,24.5964,-207.7586669921875,11.3496,3478.61,3297.87,171
860000,172,24.9309,-175.6463623046875,12.2525,3461.33,2981.67,172
865000,173,25.2419,-201.24203491210938,11.9156,3484.73,3011.43,173
870000,174,24.9976,-271.3163757324219,11.6494,3468.71,2678.35,174
875000,175,24.3964,-171.58901977539062,11.0499,3476.65,3156.63,175
880000,176,25.761,-264.9024353027344,11.618,3463.14,2486.92,176
885000,177,24.9906,-245.7080841064453,11.2064,3402.74,2236.09,177
890000,178,24.3653,-158.08558654785156,11.59,3498.58,2637.72,178
895000,179,25.1163,-178.9407196044922,12.5314,3453.6,2916.66,179
900000,180,26.4212,-385.0541076660156,11.8429,3368.26,2041.8,180
905000,181,23.9536,-207.5299072265625,10.6189,3441.82,3016.44,181
910000,182,23.4525,-160.881103515625,10.6582,3454.16,2968.33,182
915000,183,24.7613,-261.7720947265625,11.7616,3429.8,3111.72,183
920000,184,23.9783,-212.95375061035156,10.9663,3432.33,3214.56,184
925000,185,25.0318,-327.7855529785156,10.5534,3498.65,2419.11,185
930000,186,23.6743,-174.1048126220703,11.0206,3494.88,2629.92,186
935000,187,24.9569,-317.0780029296875,10.4914,3418.73,2542.94,187
940000,188,23.6276,-199.66781616210938,10.3752,3468.67,2437.44,188
945000,189,25.6252,-312.5611877441406,11.7041,2927.43,1679.77,189
950000,190,26.8303,-495.5199890136719,12.0346,1607.04,1645.65,190
955000,191,23.8388,-212.1267852783203,10.9721,3466.13,3144.48,191
960000,192,24.5721,-284.0871276855469,11.0237,3450.96,2488.06,192
965000,193,25.1668,-309.2587890625,11.45,3442.49,2604.74,193
970000,194,24.3573,-310.06787109375,10.7052,3438.41,2862.45,194
975000,195,25.2093,-241.33712768554688,11.7004,3228.05,2625.02,195
980000,196,24.5444,-192.30567932128906,12.0391,3423.46,3216.07,196
985000,197,24.9236,-368.2607116699219,13.7444,3446.21,2348.97,197
990000,198,26.8004,-489.1787109375,12.0312,3296.8,2259.08,198
995000,199,26.0148,-380.6396484375,11.283,3436.15,2711.26,199
