Itration,Running Forward KL,Running Env Steps,Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return,Reward Loss
53,47.8898,265000,2847.61,53,23.5075,2818.5,-438.183837890625
54,46.6071,270000,2379.13,54,15.6723,2775.43,-356.8946838378906
55,53.7041,275000,982.98,55,29.8339,1011.34,-480.42279052734375
56,47.7836,280000,2903.52,56,24.523,2937.88,-490.45758056640625
57,50.1486,285000,595.38,57,57.8689,13.44,-532.9776611328125
58,48.2791,290000,2350.65,58,30.3624,2273.01,-513.7193603515625
59,47.9625,295000,1417.82,59,27.8638,2591.26,-470.0539855957031
60,56.0378,300000,-13.94,60,54.1738,-12.28,-574.1473388671875
61,51.3362,305000,789.48,61,25.3719,647.35,-410.2212219238281
62,51.9296,310000,14.25,62,37.3075,0.99,-478.4706115722656
63,50.0888,315000,370.01,63,45.1677,456.97,-652.0254516601562
64,49.2735,320000,550.06,64,20.6647,759.19,-519.2783813476562
65,47.9606,325000,1111.9,65,30.3635,1039.02,-549.005615234375
66,48.0198,330000,3235.79,66,29.2006,3314.13,-551.338134765625
67,47.6904,335000,746.62,67,29.6731,1130.15,-519.6754760742188
68,47.6503,340000,890.4,68,24.4099,972.01,-563.2266235351562
69,49.6465,345000,2857.22,69,30.4591,2885.6,-635.4609375
70,47.8027,350000,1270.88,70,30.0714,1744.79,-623.8763427734375
71,48.5396,355000,1117.6,71,23.497,1176.81,-659.4346923828125
72,51.3836,360000,448.84,72,66.2408,943.0,-706.9693603515625
73,48.325,365000,1694.53,73,34.2086,1516.7,-647.5045166015625
74,48.1208,370000,1859.25,74,31.3071,1508.56,-651.5885620117188
75,47.5136,375000,1867.41,75,31.8302,2917.55,-669.9868774414062
76,48.0694,380000,2895.41,76,25.1108,2906.39,-661.6350708007812
77,47.4406,385000,2755.87,77,21.4929,2913.5,-625.7548217773438
78,47.3024,390000,3043.67,78,22.8132,2891.59,-678.4055786132812
79,47.9856,395000,2686.84,79,22.514,2611.95,-674.7216796875
80,46.1742,400000,3031.78,80,17.4562,3042.94,-622.4818115234375
81,47.5812,405000,2980.82,81,23.1051,2983.48,-692.504150390625
82,46.0219,410000,2508.48,82,18.3048,2942.17,-676.6663818359375
83,50.6787,415000,4.31,83,37.4766,1.38,-821.9186401367188
84,47.3086,420000,3198.88,84,22.3019,3191.46,-715.7504272460938
85,45.5887,425000,3164.71,85,17.6074,3177.16,-667.6018676757812
86,46.1429,430000,3118.16,86,16.4984,3140.6,-685.2444458007812
87,45.6855,435000,3001.19,87,15.9805,3226.92,-682.4807739257812
88,45.9222,440000,3200.62,88,18.8811,3158.17,-706.2710571289062
89,44.8768,445000,3361.59,89,16.7883,3395.1,-640.4512939453125
90,45.1402,450000,3308.62,90,17.7727,3355.57,-674.9307861328125
91,45.5357,455000,3332.08,91,19.3108,3365.23,-712.2193603515625
92,45.17,460000,3338.63,92,16.787,3333.47,-684.18505859375
93,47.6658,465000,1694.27,93,18.6419,2192.83,-769.6397705078125
94,46.8475,470000,3353.24,94,22.5697,3338.42,-799.4823608398438
95,44.9827,475000,3581.08,95,17.8341,3563.04,-705.7623901367188
96,45.4027,480000,2575.57,96,15.32,3266.65,-712.2208251953125
97,47.8982,485000,1155.84,97,52.4444,172.54,-873.1246948242188
98,45.0207,490000,3363.35,98,16.3927,3311.21,-727.3673706054688
99,45.6024,495000,3319.91,99,20.7177,3363.89,-783.304931640625
100,44.4893,500000,3581.08,100,18.2125,3573.88,-711.6864624023438
101,44.6208,505000,3571.14,101,17.3902,3479.98,-748.7030029296875
102,44.4462,510000,3328.22,102,15.9996,3423.54,-742.939208984375
103,44.4746,515000,3652.51,103,17.3786,3662.77,-736.8536987304688
104,45.0256,520000,3490.37,104,19.3917,3465.86,-802.3486328125
105,43.9576,525000,3824.15,105,18.4408,3843.82,-743.7465209960938
106,43.6798,530000,3602.79,106,16.094,3225.57,-750.414306640625
107,44.4462,535000,3774.72,107,17.8157,3716.19,-754.0523071289062
108,43.4474,540000,3783.41,108,16.0411,3749.09,-731.3046264648438
109,44.7248,545000,1082.75,109,20.0908,1928.13,-773.0914306640625
110,44.5585,550000,3661.88,110,20.1945,3660.8,-802.6671752929688
111,44.0492,555000,3454.52,111,18.589,3786.68,-815.887451171875
112,44.7384,560000,3623.95,112,18.8154,3576.15,-836.0809936523438
113,44.8055,565000,3480.95,113,18.3264,3433.74,-872.680419921875
114,45.6051,570000,2249.87,114,25.4133,2950.51,-940.5308837890625
115,45.4697,575000,3659.06,115,22.8237,3646.54,-930.196533203125
116,44.5734,580000,3725.6,116,21.2877,3709.74,-906.8419799804688
117,44.955,585000,3723.77,117,21.1847,3693.58,-867.51220703125
118,44.0862,590000,3673.63,118,17.7134,3789.79,-847.1904907226562
119,44.1445,595000,3518.49,119,16.5653,4013.61,-827.0933837890625
120,44.5519,600000,3558.44,120,21.9178,3738.38,-906.1412963867188
121,52.1443,605000,2.21,121,29.201,0.03,-1113.2098388671875
122,52.7329,610000,49.33,122,27.373,333.78,-971.4826049804688
123,50.3758,615000,333.56,123,24.9474,367.8,-1091.269775390625
124,47.6067,620000,927.89,124,16.0855,1383.4,-991.4679565429688
125,46.6635,625000,3402.39,125,24.1388,3437.72,-1011.7914428710938
126,45.9803,630000,3201.74,126,19.8732,3064.11,-1009.9052124023438
127,48.0874,635000,1286.91,127,24.7183,1704.73,-1167.07177734375
128,45.5402,640000,1488.8,128,23.1551,1183.7,-1135.5970458984375
129,46.1664,645000,602.1,129,29.793,119.22,-1275.9498291015625
130,44.4475,650000,3679.79,130,21.0084,3681.23,-1022.8285522460938
131,45.3595,655000,3473.88,131,22.1544,3611.0,-1040.7777099609375
132,44.061,660000,3759.96,132,19.8229,3934.87,-950.436279296875
133,45.8592,665000,3740.97,133,23.304,3808.2,-1029.459716796875
134,45.897,670000,3239.99,134,20.7978,3410.04,-1107.8426513671875
135,45.1546,675000,2231.3,135,29.5764,2580.88,-1234.0333251953125
136,46.0696,680000,1146.26,136,26.7528,939.97,-1227.5936279296875
137,45.542,685000,2714.83,137,17.1017,3917.34,-1062.6434326171875
138,43.6293,690000,3677.21,138,18.6244,4025.63,-976.6786499023438
139,43.5884,695000,3647.83,139,17.7235,3733.04,-1027.580322265625
140,43.8218,700000,3354.9,140,19.4176,3390.82,-1059.7518310546875
141,43.2737,705000,3629.0,141,16.309,3684.95,-1019.2918701171875
142,44.5294,710000,3733.27,142,19.7836,3787.41,-1081.6051025390625
143,44.0929,715000,2866.03,143,21.5762,1890.24,-1131.4111328125
144,44.9633,720000,3783.64,144,20.6148,3818.69,-1149.015869140625
145,44.1515,725000,3739.12,145,18.3418,3836.96,-1113.340087890625
146,47.7875,730000,1103.16,146,17.9887,1244.65,-1457.783447265625
147,47.1908,735000,843.42,147,36.7424,2064.36,-1396.381591796875
148,43.014,740000,3592.97,148,18.3166,3503.36,-1120.5618896484375
149,43.7778,745000,3928.79,149,18.4805,3966.21,-1110.4405517578125
150,51.305,750000,-11.08,150,19.5905,-3.6,-1209.193359375
151,45.0424,755000,3103.66,151,16.1672,3058.74,-1057.038330078125
152,46.4332,760000,925.97,152,20.6398,521.3,-1407.36572265625
153,46.479,765000,1020.86,153,15.0912,371.27,-1127.148193359375
154,44.2655,770000,2933.4,154,17.2306,3543.18,-1223.8114013671875
155,45.01,775000,3488.94,155,19.6081,3468.74,-1103.108154296875
156,45.6615,780000,3591.46,156,22.9442,3617.09,-1285.0029296875
157,45.2203,785000,3309.99,157,20.248,3480.91,-1244.8819580078125
158,45.1165,790000,3537.07,158,19.3496,3505.48,-1246.2471923828125
159,45.8392,795000,3294.09,159,20.7244,3483.49,-1349.5540771484375
160,44.3846,800000,3652.69,160,18.4703,3804.61,-1294.237060546875
161,45.7434,805000,1633.68,161,16.9211,1191.89,-1263.6866455078125
162,47.1733,810000,2847.24,162,18.5695,2794.43,-1309.701904296875
163,45.7367,815000,3464.25,163,20.8391,3360.9,-1258.56103515625
164,45.3767,820000,3330.19,164,18.0536,3706.71,-1362.896484375
165,43.5622,825000,3674.26,165,18.2458,3732.83,-1211.2777099609375
166,44.3907,830000,3703.7,166,19.6332,3685.64,-1330.0806884765625
167,45.5862,835000,2590.39,167,17.488,3240.56,-1454.0032958984375
168,44.2114,840000,3818.98,168,19.2759,3893.29,-1193.0367431640625
169,44.5331,845000,3361.67,169,20.5442,2057.78,-1307.989990234375
170,45.0104,850000,3423.75,170,18.5648,3454.64,-1356.9312744140625
171,43.8637,855000,3451.38,171,16.6475,3470.97,-1363.011962890625
172,44.3669,860000,3369.79,172,19.5703,1162.66,-1348.5257568359375
173,45.8178,865000,2958.86,173,20.3548,3170.33,-1481.55810546875
174,43.936,870000,3469.16,174,18.668,3453.46,-1319.424560546875
175,45.7607,875000,2807.38,175,17.2992,2973.33,-1430.814697265625
176,45.0759,880000,3574.22,176,21.6023,3580.63,-1540.343505859375
177,43.7457,885000,3390.84,177,20.3034,3784.6,-1339.427734375
178,43.3822,890000,3590.76,178,16.9454,3617.41,-1250.9713134765625
179,45.1023,895000,3491.7,179,19.183,3496.92,-1510.498291015625
180,45.892,900000,3436.1,180,21.3275,3460.96,-1587.8165283203125
181,45.2311,905000,1234.41,181,13.6264,1171.13,-1520.11083984375
182,43.2679,910000,3693.2,182,18.172,3689.27,-1356.8902587890625
183,44.6864,915000,2810.16,183,15.578,3239.45,-1437.23681640625
184,44.4826,920000,3399.98,184,18.5907,3575.24,-1605.255126953125
185,44.7136,925000,3077.67,185,20.2828,3705.15,-1705.4405517578125
186,45.4899,930000,2393.55,186,14.7538,1946.34,-1542.743896484375
187,46.8122,935000,3046.23,187,17.9193,2758.61,-1796.6334228515625
188,45.705,940000,2634.8,188,18.839,3069.21,-1743.11474609375
189,44.0899,945000,3753.34,189,19.4727,3875.98,-1518.717041015625
190,44.1845,950000,3611.65,190,20.7809,3562.03,-1460.2353515625
191,44.5944,955000,3243.86,191,18.7232,3430.85,-1456.563720703125
192,45.2551,960000,1638.41,192,14.8493,1453.54,-1602.1776123046875
193,45.3276,965000,2486.48,193,18.9621,3434.76,-1774.86572265625
194,45.2313,970000,3729.91,194,20.9654,3765.71,-1679.8255615234375
195,45.5909,975000,3227.09,195,20.5711,3230.42,-1740.8170166015625
196,46.2494,980000,3120.19,196,19.3347,3031.02,-1846.6348876953125
197,45.4595,985000,3592.0,197,21.0932,3509.16,-1739.8447265625
198,47.1109,990000,1540.38,198,22.8443,634.48,-1900.7799072265625
199,43.1314,995000,3581.1,199,17.4279,3764.1,-1599.17236328125
200,46.6636,1000000,1306.75,200,19.7632,1121.32,-1823.649658203125
201,44.2112,1005000,3122.86,201,15.771,794.0,-1616.9576416015625
202,45.2429,1010000,1393.54,202,14.0694,2751.22,-1684.4921875
203,44.8963,1015000,3494.6,203,17.5375,3602.53,-1740.700439453125
204,43.9546,1020000,2364.57,204,18.3101,1855.86,-1758.935302734375
205,43.2308,1025000,2551.72,205,13.7734,2234.96,-1598.6923828125
206,42.6026,1030000,2960.04,206,13.5775,3091.45,-1609.3206787109375
207,43.9829,1035000,1539.48,207,16.0441,1404.4,-1747.1494140625
208,43.901,1040000,3165.45,208,17.0126,3734.93,-1773.4381103515625
209,43.3364,1045000,2078.61,209,21.3899,2217.02,-1896.121337890625
210,43.0106,1050000,3234.23,210,14.3198,3485.31,-1697.71484375
211,43.0016,1055000,3590.78,211,15.6424,3539.53,-1697.1552734375
212,42.8402,1060000,3471.24,212,13.9774,3482.29,-1557.6884765625
213,42.6722,1065000,3646.85,213,15.0112,3615.87,-1522.049072265625
214,43.1028,1070000,3640.61,214,15.5979,3640.14,-1641.76953125
215,43.1688,1075000,3706.59,215,16.5852,3695.98,-1664.469970703125
216,43.5347,1080000,3840.68,216,17.9902,3808.33,-1789.660888671875
217,42.7421,1085000,3426.27,217,18.1655,4016.29,-1549.66796875
218,43.3899,1090000,4037.3,218,19.151,4109.73,-1722.5323486328125
219,43.3722,1095000,3987.21,219,16.5367,4068.41,-1669.436279296875
220,43.4374,1100000,4034.39,220,16.9895,4072.84,-1718.404052734375
221,43.6141,1105000,3987.11,221,17.1764,4042.7,-1779.132080078125
222,43.9223,1110000,3136.69,222,14.8162,3611.36,-1965.7861328125
223,44.0036,1115000,3773.25,223,16.5247,3949.01,-1883.1732177734375
224,46.3719,1120000,1335.32,224,34.4438,1044.52,-2472.022705078125
225,51.0266,1125000,121.98,225,52.5979,21.34,-2583.661865234375
226,44.3524,1130000,3403.07,226,17.7226,3524.15,-1754.6719970703125
227,54.2814,1135000,393.04,227,44.7668,223.65,-2738.590087890625
228,42.5812,1140000,3811.0,228,17.5079,3819.5,-1843.25341796875
229,42.6641,1145000,3663.82,229,15.4977,3739.1,-1829.7598876953125
230,43.1636,1150000,3127.65,230,12.1957,3631.94,-1962.472412109375
231,44.7384,1155000,2643.51,231,14.4251,2436.7,-2385.9248046875
232,42.7368,1160000,3864.67,232,18.9667,3877.71,-1802.670654296875
233,42.8529,1165000,4060.88,233,17.6013,4100.76,-1871.4541015625
234,42.0951,1170000,3958.54,234,15.1169,4031.12,-1816.175048828125
235,43.0906,1175000,2547.24,235,19.9177,2377.62,-2172.118408203125
236,43.506,1180000,3170.67,236,16.2859,3620.77,-2103.7783203125
237,42.1915,1185000,3861.08,237,18.1346,3854.44,-1874.3914794921875
238,42.3507,1190000,3857.35,238,15.9408,3844.53,-1881.890380859375
239,45.3191,1195000,2363.87,239,14.6662,2407.65,-2475.43505859375
240,43.116,1200000,3974.15,240,18.486,4004.13,-2129.09423828125
241,42.5323,1205000,3870.51,241,15.2768,3889.41,-1994.903076171875
242,46.7826,1210000,1711.16,242,15.8099,1817.9,-2337.756591796875
243,42.1487,1215000,3935.92,243,18.4081,3907.92,-1975.246826171875
244,43.0144,1220000,3901.02,244,17.0977,3897.99,-2095.119873046875
245,42.9815,1225000,4120.69,245,20.5414,4182.82,-1933.3660888671875
246,47.0437,1230000,2827.47,246,17.8238,2719.93,-2511.36865234375
247,45.2052,1235000,3683.26,247,21.8141,3616.17,-2405.9306640625
248,43.0264,1240000,3939.54,248,16.6467,3913.07,-2089.528564453125
249,43.9871,1245000,3938.96,249,18.4759,3941.38,-2132.782958984375
250,44.5093,1250000,3790.95,250,74.1926,3085.3,-2570.72412109375
251,43.9073,1255000,594.99,251,143.9923,237.21,-2674.057373046875
252,43.3312,1260000,3728.67,252,18.5176,3759.78,-2176.644775390625
253,42.4281,1265000,1592.38,253,16.2426,2872.57,-2113.835693359375
254,43.1856,1270000,3932.67,254,16.7337,3946.13,-2096.19384765625
255,43.6312,1275000,2661.66,255,16.6022,1035.4,-2275.77587890625
256,55.9122,1280000,-43.71,256,47.9762,-41.89,-2686.25927734375
257,43.1523,1285000,3683.37,257,28.8063,3933.93,-2572.761474609375
258,56.0243,1290000,1004.97,258,38.4241,1011.23,-3563.58203125
259,42.0993,1295000,3731.34,259,16.0458,3892.7,-2159.1943359375
