Itration,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Running Env Steps
44,10.8992,21.2535,1335.18,-563.8650512695312,44,1903.32,220000
45,11.9895,23.5143,925.63,-760.1602172851562,45,891.66,225000
46,11.4613,21.3579,3122.5,-725.9913940429688,46,1741.45,230000
47,11.7391,20.7813,3133.75,-355.8205261230469,47,2518.3,235000
48,11.4653,20.9212,3050.85,-383.563232421875,48,2752.75,240000
49,12.9106,22.2176,3071.61,-421.5520935058594,49,3016.92,245000
50,12.2411,20.7184,3117.77,-325.6387939453125,50,3036.22,250000
51,13.4643,20.7643,3258.12,-266.6878967285156,51,3040.97,255000
52,13.1896,21.9124,3062.49,-359.9408264160156,52,3073.08,260000
53,11.8934,20.5451,3186.3,-371.6189270019531,53,2982.38,265000
54,15.1049,20.2861,3250.02,-361.5872497558594,54,3068.73,270000
55,12.5382,20.8369,3165.26,-376.0394287109375,55,2777.9,275000
56,13.3773,20.9694,3218.67,-347.319091796875,56,3025.19,280000
57,11.4434,20.6544,3288.79,-375.00616455078125,57,2148.76,285000
58,17.6439,20.3632,3273.84,-410.9144592285156,58,3185.81,290000
59,11.8935,18.8644,3330.76,-218.6349639892578,59,3092.31,295000
60,11.8795,20.2215,3312.51,-331.3023681640625,60,2460.83,300000
61,13.0447,20.7662,3309.62,-289.4463195800781,61,3116.91,305000
62,13.0147,21.0595,1508.52,-476.2182312011719,62,2283.01,310000
63,11.0315,19.9584,3366.09,-408.7596740722656,63,3349.02,315000
64,12.3319,20.5828,3404.19,-290.8810729980469,64,3182.37,320000
65,11.9234,19.6662,3334.14,-338.1189270019531,65,3019.16,325000
66,13.6181,20.5976,3379.67,-263.7270812988281,66,3360.61,330000
67,12.5616,20.4919,3352.14,-287.2849426269531,67,3040.12,335000
68,12.0529,19.95,3400.44,-249.6138153076172,68,3269.41,340000
69,13.1829,20.4323,3398.79,-284.1079406738281,69,3183.57,345000
70,12.44,19.3522,3385.15,-255.10665893554688,70,3258.06,350000
71,12.2645,19.4796,3438.48,-158.99671936035156,71,3257.14,355000
72,12.616,20.2113,3365.73,-321.5132751464844,72,3231.05,360000
73,13.0116,19.9237,3451.09,-165.6651611328125,73,3220.01,365000
74,12.4603,19.7177,3424.83,-247.7755584716797,74,3268.45,370000
75,13.5039,20.5383,3372.53,-318.80743408203125,75,3248.31,375000
76,19.846,19.592,3427.38,-878.4404296875,76,2394.18,380000
77,12.8178,20.2192,3463.17,-235.62701416015625,77,2883.1,385000
78,13.045,20.2625,3432.12,-267.4955139160156,78,3019.57,390000
79,13.633,20.2286,3401.77,-386.36029052734375,79,2654.45,395000
80,11.8987,20.5975,3403.86,-278.5960693359375,80,2991.75,400000
81,12.9286,19.9849,3386.19,-326.18560791015625,81,2813.35,405000
82,11.2057,18.3834,3428.05,-305.91900634765625,82,3071.0,410000
83,11.5629,19.3612,3471.77,-523.6387329101562,83,3111.42,415000
84,10.9757,19.5501,3473.98,-519.3726196289062,84,2157.63,420000
85,11.8799,19.9804,3465.59,-297.7010498046875,85,3206.0,425000
86,21.2485,21.8081,1353.66,-1127.664794921875,86,2455.95,430000
87,12.2468,20.0737,3484.49,-354.3990173339844,87,2715.82,435000
88,16.8712,19.7839,3446.43,-626.4916381835938,88,2994.31,440000
89,18.5661,19.6827,3430.3,-537.6725463867188,89,3130.4,445000
90,12.0846,18.7393,3423.07,-296.9822998046875,90,3335.51,450000
91,20.4208,20.0364,3472.35,-813.7614135742188,91,1932.79,455000
92,17.3458,20.6255,3489.94,-532.8591918945312,92,2768.71,460000
93,13.1804,20.7415,3506.1,-361.54437255859375,93,3000.91,465000
94,16.4515,19.1955,3458.74,-669.3005981445312,94,3011.34,470000
95,12.3247,20.006,3395.29,-434.5946960449219,95,3145.94,475000
96,12.0693,19.7037,3475.83,-303.7876892089844,96,3292.92,480000
97,12.4815,18.6194,3425.17,-267.9059143066406,97,3275.0,485000
98,12.8278,19.3764,3457.99,-261.7246398925781,98,3439.91,490000
99,13.4388,19.4191,3448.73,-232.91946411132812,99,3321.37,495000
100,17.1889,20.3536,3466.69,-565.770751953125,100,2951.94,500000
101,11.0547,18.9382,3488.01,-371.3731994628906,101,2906.82,505000
102,12.0805,19.6546,3457.23,-291.1724853515625,102,3171.45,510000
103,12.5375,19.8278,3494.59,-224.3013458251953,103,3208.12,515000
104,31.3965,22.0728,3503.96,-1109.677978515625,104,2466.49,520000
105,11.1526,19.3052,3472.62,-447.6550598144531,105,2845.34,525000
106,12.7031,19.755,3503.13,-253.38987731933594,106,3402.05,530000
107,12.6351,19.6522,3461.07,-274.9993896484375,107,3232.16,535000
108,16.4364,19.2006,3469.84,-667.1405029296875,108,2690.85,540000
109,15.0239,18.8804,3496.37,-549.6664428710938,109,3109.01,545000
110,12.4213,19.2114,3514.99,-363.875732421875,110,3132.21,550000
111,14.477,19.0554,3462.48,-703.0103149414062,111,2401.55,555000
112,12.2569,19.171,3447.76,-349.18280029296875,112,3239.11,560000
113,11.4399,17.5575,3474.43,-295.6818542480469,113,3448.2,565000
114,12.9911,18.7611,3474.58,-313.409423828125,114,3455.4,570000
115,12.0964,18.5301,3430.36,-582.83642578125,115,2400.08,575000
116,17.4402,18.8856,3450.31,-728.6417236328125,116,2960.7,580000
117,13.0975,19.2115,3472.58,-407.8258361816406,117,3008.88,585000
118,12.6772,19.2982,3435.74,-351.12213134765625,118,3293.32,590000
119,13.8776,19.2097,3485.88,-1001.53271484375,119,2274.38,595000
120,11.5596,18.7397,3494.01,-420.47119140625,120,2879.9,600000
121,22.1321,19.6253,3464.33,-834.8989868164062,121,2807.78,605000
122,15.4718,19.4229,3497.68,-452.07568359375,122,3273.97,610000
123,12.6369,20.0066,3509.31,-668.0811157226562,123,2659.77,615000
124,11.8931,19.4163,3451.45,-549.2673950195312,124,2707.47,620000
125,11.7777,19.2642,3456.44,-436.43310546875,125,3317.86,625000
126,12.311,18.9368,3451.72,-408.22369384765625,126,3317.23,630000
127,13.606,19.0819,3470.38,-477.0449523925781,127,3307.98,635000
128,12.2759,17.7926,3476.43,-336.9779968261719,128,3435.85,640000
129,13.3746,19.1789,3473.41,-487.5687561035156,129,3370.96,645000
130,17.7633,19.6124,3469.24,-1056.827392578125,130,2945.44,650000
131,11.7345,18.8222,3448.03,-445.8974914550781,131,3095.77,655000
132,16.8398,19.6849,3491.05,-753.4194946289062,132,3292.75,660000
133,26.9006,21.3651,3500.53,-1239.0966796875,133,2377.59,665000
134,13.8242,18.9275,3507.15,-494.01947021484375,134,3057.25,670000
135,12.073,17.8741,3465.25,-397.61663818359375,135,3346.46,675000
136,19.2699,18.7795,3490.61,-506.7629699707031,136,3443.12,680000
137,12.3171,18.3406,3467.56,-379.0097351074219,137,3448.48,685000
138,11.9306,18.7423,3469.15,-452.3699951171875,138,3256.64,690000
139,30.7938,19.2999,3499.93,-1077.625732421875,139,2790.12,695000
140,12.4797,18.4154,3418.71,-587.8920288085938,140,3393.49,700000
141,14.1185,19.6928,3492.53,-630.6272583007812,141,2995.79,705000
142,12.1273,18.0497,3460.65,-454.6558532714844,142,3422.57,710000
143,12.7557,18.6221,3492.53,-489.85137939453125,143,3120.38,715000
144,12.8496,18.6439,3460.32,-495.7554931640625,144,3233.57,720000
145,12.143,18.8351,3409.32,-564.7177734375,145,3386.59,725000
146,12.3091,17.8984,3484.71,-423.7795715332031,146,3370.97,730000
147,12.6892,18.3668,3449.28,-472.8970031738281,147,3434.88,735000
148,12.4799,18.8649,3481.37,-450.26361083984375,148,3312.0,740000
149,12.5145,18.7823,3482.94,-472.875,149,3425.59,745000
150,12.1051,18.5023,3443.45,-521.6043701171875,150,3406.56,750000
151,12.1043,17.5979,3467.19,-449.1659240722656,151,3455.39,755000
152,12.3569,18.1536,3486.38,-487.45526123046875,152,3367.96,760000
153,11.8017,17.9922,3474.09,-496.75201416015625,153,3437.17,765000
154,11.1729,17.6502,3479.53,-522.543701171875,154,3410.36,770000
155,17.3012,19.0035,3482.39,-955.2368774414062,155,2958.61,775000
156,13.3701,18.746,3491.79,-935.6602783203125,156,3031.19,780000
157,11.3754,18.3101,3501.86,-673.9459228515625,157,3260.11,785000
158,11.7899,17.9172,3462.02,-541.7486572265625,158,3397.84,790000
159,15.9625,18.7059,3477.34,-667.606201171875,159,3151.0,795000
160,13.3807,18.0459,3489.82,-654.485595703125,160,3396.36,800000
161,13.3836,18.8687,3478.09,-542.837646484375,161,3456.76,805000
162,11.8619,17.8299,3472.56,-555.2635498046875,162,3450.09,810000
163,12.2326,18.2862,3493.09,-481.1171875,163,3413.26,815000
164,10.3514,17.3951,3450.3,-619.9244995117188,164,3382.4,820000
165,11.048,17.4017,3450.92,-591.4639282226562,165,3426.06,825000
166,13.7239,16.9672,3470.06,-621.1743774414062,166,3269.93,830000
167,11.2542,17.1417,3454.94,-716.0106201171875,167,3384.24,835000
168,11.6198,17.5362,3473.03,-567.853759765625,168,3390.33,840000
169,11.2299,17.3366,3427.91,-586.1564331054688,169,3378.62,845000
170,11.6596,18.0187,3444.43,-799.525390625,170,3291.53,850000
171,11.3119,17.909,3474.19,-587.695556640625,171,3451.57,855000
172,11.7522,18.3523,3446.01,-651.4854125976562,172,3336.05,860000
173,11.4107,16.8926,3485.36,-541.7186889648438,173,3364.24,865000
174,10.4254,17.5224,3472.4,-772.2687377929688,174,3252.02,870000
175,10.6497,17.4602,3467.51,-628.166259765625,175,3402.89,875000
176,10.7842,17.3767,3463.3,-660.167236328125,176,3319.04,880000
177,11.6075,18.8848,3461.23,-994.4470825195312,177,2741.36,885000
178,11.1965,17.427,3491.58,-640.5489501953125,178,3410.37,890000
179,11.6345,18.5761,3464.69,-859.633056640625,179,3273.91,895000
180,11.1089,18.0682,3479.62,-764.3632202148438,180,3389.74,900000
181,11.1809,18.4745,3464.5,-820.2501220703125,181,3124.73,905000
182,11.141,17.2421,3460.94,-675.5342407226562,182,3424.66,910000
183,14.6783,19.2173,3480.04,-1148.5372314453125,183,3051.66,915000
184,12.2751,17.5941,3470.69,-794.4183349609375,184,3280.7,920000
185,10.9701,17.4037,3434.8,-659.2603149414062,185,3414.15,925000
186,18.8453,18.8512,3476.8,-1238.4398193359375,186,2853.66,930000
187,11.9491,18.1337,3480.1,-797.0038452148438,187,3336.42,935000
188,11.2224,17.9432,3448.53,-720.5975341796875,188,3420.76,940000
189,10.885,18.2256,3437.61,-800.3447875976562,189,3337.06,945000
190,10.9056,17.9611,3408.73,-801.7916870117188,190,3352.08,950000
191,11.754,18.3866,3441.68,-741.4617309570312,191,3365.79,955000
192,10.9183,17.7674,3456.22,-861.496826171875,192,3418.04,960000
193,11.1387,17.3697,3490.42,-790.8057250976562,193,2876.13,965000
194,10.6213,16.8601,3449.05,-745.75146484375,194,3198.7,970000
195,11.1934,18.3404,3471.37,-910.1693115234375,195,3068.32,975000
196,10.8466,17.7373,3462.83,-883.1436767578125,196,3439.89,980000
197,11.5573,18.6893,3505.64,-758.2334594726562,197,3360.06,985000
198,12.1513,18.4778,3429.67,-851.21435546875,198,3404.76,990000
199,11.1066,17.9697,3442.41,-844.6021118164062,199,3285.98,995000
