Itration,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss
106,1264.23,106,530000,1267.42,24.5398,33.1112,-3268.1494140625
107,973.92,107,535000,1049.19,28.1289,33.0337,-3258.020263671875
108,1115.49,108,540000,1114.56,26.6456,33.5229,-3443.378173828125
109,1168.73,109,545000,1174.83,21.3465,32.6721,-3377.39404296875
110,1127.28,110,550000,1125.74,24.7206,32.8294,-2281.29443359375
111,1180.63,111,555000,1179.4,22.8974,32.455,-2974.1669921875
112,1191.01,112,560000,1190.3,19.3289,32.158,-3330.326171875
113,1212.82,113,565000,1219.03,22.6992,33.1929,-2931.7275390625
114,1135.29,114,570000,1132.4,20.085,32.5997,-3428.744140625
115,1194.24,115,575000,1195.02,19.9079,32.5284,-2967.56689453125
116,1156.02,116,580000,1153.28,22.0649,32.2374,-3125.5673828125
117,367.04,117,585000,311.41,171.5342,32.5686,-4329.06396484375
118,277.29,118,590000,224.62,163.5177,32.5398,-4855.98388671875
119,315.52,119,595000,309.15,143.6121,33.207,-4554.45361328125
120,330.44,120,600000,326.85,160.7376,33.2175,-5402.42333984375
121,188.57,121,605000,194.45,141.064,32.0069,-4978.4189453125
122,296.91,122,610000,296.62,142.4052,33.1277,-5241.26123046875
123,406.28,123,615000,432.45,56.4655,32.3017,-4909.9580078125
124,287.28,124,620000,393.4,97.6018,31.2985,-4714.359375
125,86.79,125,625000,86.58,128.8009,39.1433,-5861.19091796875
126,1127.43,126,630000,1172.7,48.1033,31.7882,-4264.150390625
127,808.01,127,635000,792.51,76.0196,32.3348,-4734.0283203125
128,1090.02,128,640000,970.72,33.3619,30.5809,-3668.564453125
129,1243.55,129,645000,1259.95,20.4019,30.0162,-3569.48095703125
130,842.02,130,650000,1127.49,25.2882,30.0905,-4465.205078125
131,707.89,131,655000,933.93,35.7451,31.7359,-4441.29443359375
132,893.52,132,660000,882.62,43.5118,32.6361,-4839.5537109375
133,910.37,133,665000,821.83,50.3637,33.4938,-5122.3623046875
134,344.86,134,670000,317.43,133.8864,32.4729,-5794.2294921875
135,763.94,135,675000,801.7,34.6651,32.0221,-5066.7509765625
136,947.27,136,680000,933.76,32.8859,32.9437,-5415.60888671875
137,658.97,137,685000,644.86,67.2526,32.3347,-5632.79150390625
138,524.13,138,690000,505.81,75.7083,31.9108,-5569.2099609375
139,453.33,139,695000,439.59,32.6145,31.9328,-5192.8974609375
140,441.09,140,700000,444.89,50.9864,31.3977,-5052.248046875
141,670.55,141,705000,683.03,34.1812,29.6235,-5078.87353515625
142,660.35,142,710000,599.63,42.9753,31.0405,-4902.54736328125
143,365.02,143,715000,425.87,38.3259,31.0017,-4979.896484375
144,949.32,144,720000,978.13,45.758,33.7366,-6001.02685546875
145,963.85,145,725000,963.81,37.9757,36.4407,-5176.677734375
146,983.28,146,730000,982.96,146.0563,37.7075,-6899.7197265625
147,967.44,147,735000,967.53,71.9842,37.0185,-6684.36865234375
148,985.77,148,740000,982.4,53.186,36.8743,-6807.3525390625
149,993.26,149,745000,993.73,25.8774,33.4006,-5717.3740234375
150,683.99,150,750000,651.03,67.5186,31.38,-5097.9501953125
151,986.77,151,755000,986.99,122.1792,37.6211,-7333.74072265625
152,982.15,152,760000,982.39,117.8111,37.2106,-7207.79150390625
153,197.98,153,765000,183.89,155.0115,32.9745,-6468.08203125
154,994.37,154,770000,994.38,92.8841,39.0849,-7570.56298828125
155,678.66,155,775000,684.44,63.1222,34.1222,-6449.6171875
156,1055.43,156,780000,1055.36,122.2695,34.8241,-7462.974609375
157,656.17,157,785000,669.53,75.6666,34.412,-7381.24462890625
158,1056.13,158,790000,1056.33,41.7461,35.3849,-7577.2939453125
159,1048.88,159,795000,1048.99,74.439,33.4842,-7554.9775390625
160,1056.64,160,800000,1056.44,68.078,33.5977,-7702.39892578125
161,1062.8,161,805000,1062.74,116.5093,35.8106,-7900.36572265625
162,1057.23,162,810000,1057.56,98.178,36.856,-7915.1181640625
163,1041.53,163,815000,1041.36,48.56,34.9775,-7908.37158203125
164,1036.55,164,820000,1037.21,49.3656,34.5694,-8025.17529296875
165,1037.33,165,825000,1037.12,105.3488,34.3815,-8221.255859375
166,1045.15,166,830000,1044.93,81.2128,33.9483,-7893.083984375
167,919.36,167,835000,950.84,40.3818,33.6912,-4994.8876953125
168,988.26,168,840000,988.32,36.2323,37.4214,-7622.6328125
169,1043.81,169,845000,1044.25,22.8128,33.4482,-7036.28271484375
170,1055.2,170,850000,1055.07,89.0957,34.0698,-8481.5419921875
171,1150.77,171,855000,1149.53,20.1741,33.1021,-4911.482421875
172,1065.05,172,860000,1004.44,40.7546,32.8838,-6084.546875
173,671.06,173,865000,670.89,120.8389,33.8151,-8104.8681640625
174,1056.07,174,870000,1055.28,27.6781,34.0763,-8168.97705078125
