Itration,Reward Loss,Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return
75,-1793.7291259765625,147.1675,75,9931.43,375000,17.6612,9350.29
76,-1851.28955078125,147.2211,76,10044.47,380000,16.8073,9421.21
77,-1923.8341064453125,146.9207,77,9945.24,385000,15.6692,9420.96
78,-1798.074951171875,147.5906,78,9436.24,390000,17.9468,9140.55
79,-1832.5675048828125,146.8552,79,9905.88,395000,16.8945,9286.84
80,-1835.7088623046875,146.857,80,9856.86,400000,17.6484,9604.59
81,-1899.4210205078125,146.7888,81,10112.21,405000,17.1108,9407.8
82,-1920.923095703125,146.3562,82,10137.24,410000,17.3456,9590.2
83,-1938.3060302734375,146.8781,83,9837.24,415000,17.7917,9429.42
84,-1956.168701171875,146.0187,84,10192.67,420000,17.869,9301.47
85,-2057.007568359375,146.7781,85,9938.95,425000,16.4463,9027.0
86,-1956.3341064453125,147.3621,86,10028.7,430000,19.3479,9686.13
87,-2136.18701171875,146.9194,87,9557.17,435000,16.8754,9359.93
88,-2022.3519287109375,146.5484,88,9864.4,440000,18.042,9627.17
89,-2016.3306884765625,147.7575,89,9872.81,445000,17.7022,9529.49
90,-2117.27001953125,146.8961,90,10130.87,450000,16.9077,9355.4
91,-1993.2379150390625,146.2519,91,10150.78,455000,17.9468,9675.09
92,-2054.544189453125,146.8386,92,10256.74,460000,18.2749,9707.33
93,-2097.496337890625,146.5464,93,10257.26,465000,18.4469,9802.94
94,-2097.01025390625,146.06,94,10197.07,470000,18.3368,9919.33
95,-2111.517578125,146.9494,95,10308.42,475000,19.2365,9848.03
96,-2119.886474609375,146.2089,96,10189.65,480000,17.4711,9685.14
97,-2127.072021484375,146.23,97,10332.3,485000,18.2253,9930.34
98,-2165.811279296875,146.2121,98,10241.5,490000,17.6812,9741.3
99,-2276.963623046875,145.3362,99,10301.32,495000,16.7091,9550.45
100,-2245.521728515625,146.1437,100,10506.13,500000,18.2595,9917.35
101,-2219.4052734375,145.4104,101,10475.22,505000,18.2301,9856.21
102,-2287.69970703125,145.7818,102,10410.16,510000,18.1308,10003.62
103,-2288.701904296875,145.2232,103,10356.9,515000,17.6144,10032.56
104,-2312.975341796875,145.559,104,10483.41,520000,18.0957,10075.91
105,-2296.0068359375,145.0193,105,9607.46,525000,17.0679,10008.96
106,-2326.620849609375,144.7892,106,10458.99,530000,17.3699,10007.93
107,-2347.77490234375,145.5141,107,10565.51,535000,17.1063,10066.97
108,-2376.578857421875,145.132,108,10427.66,540000,17.3462,9262.69
109,-2355.548828125,145.5558,109,10542.17,545000,18.3969,10080.58
110,-2349.09716796875,145.3567,110,10678.83,550000,17.933,10114.84
111,-2395.564453125,144.8174,111,10504.58,555000,17.9294,10159.11
112,-2420.97412109375,145.0664,112,10570.91,560000,17.3878,10177.91
113,-2529.9580078125,146.0258,113,10471.98,565000,19.0365,10001.6
114,-2509.106201171875,145.6603,114,10169.09,570000,17.4341,10105.42
115,-2509.161376953125,144.9288,115,10491.47,575000,17.9068,10051.56
116,-2444.491943359375,144.9974,116,10531.23,580000,17.596,9902.41
117,-2486.760498046875,144.7688,117,10705.1,585000,17.9445,10261.78
118,-2628.97705078125,145.3646,118,10691.58,590000,17.3896,10312.31
119,-2570.102294921875,146.1804,119,10441.87,595000,17.9589,10031.32
120,-2657.67578125,144.7051,120,10694.92,600000,18.0609,10287.93
121,-2648.24072265625,145.1703,121,10653.65,605000,18.1557,9827.94
122,-2731.761962890625,144.76,122,9824.52,610000,17.338,9398.69
123,-2659.939697265625,145.2123,123,10598.82,615000,18.4614,10193.69
124,-2650.9912109375,144.1613,124,10588.37,620000,17.7094,10248.59
125,-2639.897216796875,145.3906,125,10606.49,625000,18.7923,10174.02
126,-2875.631103515625,145.8853,126,10137.7,630000,17.0706,10000.9
127,-2737.77734375,145.2139,127,10658.6,635000,17.473,10283.68
128,-2782.51416015625,144.7121,128,10574.34,640000,19.1613,10267.11
129,-2778.594482421875,144.9851,129,10759.41,645000,18.2285,9097.2
130,-2805.10107421875,144.4734,130,10671.55,650000,17.7672,10318.44
131,-2834.3984375,144.9528,131,10755.48,655000,18.7953,10418.04
132,-2825.7431640625,144.6001,132,10873.01,660000,18.4476,10470.5
133,-2836.990966796875,145.0745,133,10642.7,665000,18.3077,10170.11
134,-2958.6767578125,144.5134,134,10723.85,670000,17.8828,10340.29
135,-2988.149169921875,144.638,135,10755.19,675000,18.5007,10017.34
136,-2943.2177734375,144.1959,136,10785.09,680000,17.6198,9826.55
137,-2943.123779296875,144.4681,137,10894.42,685000,18.2312,10415.09
138,-2929.948486328125,143.3103,138,11039.68,690000,17.7341,10571.98
139,-3052.968017578125,144.7395,139,10930.0,695000,17.9805,10366.18
140,-3116.679931640625,145.2406,140,10079.63,700000,17.4047,9553.91
141,-3134.049560546875,144.3771,141,10704.19,705000,18.1701,10418.63
142,-3100.940185546875,144.6974,142,10581.11,710000,19.1226,10411.85
143,-3322.009765625,144.2239,143,9605.2,715000,16.2762,9220.23
144,-3179.8076171875,143.956,144,10515.82,720000,18.1999,9683.43
145,-3212.87060546875,144.8704,145,10760.9,725000,18.7165,10344.15
146,-3124.843994140625,144.3715,146,10346.15,730000,16.8422,9713.95
147,-3344.57958984375,143.4188,147,10628.13,735000,17.1578,10433.83
148,-3325.480224609375,144.2271,148,10769.65,740000,18.2197,10355.12
149,-3310.00146484375,144.0134,149,10855.81,745000,18.611,10423.56
150,-3211.458251953125,142.9786,150,10893.6,750000,17.4866,10783.39
151,-3433.5615234375,143.8102,151,10921.91,755000,19.3292,9759.0
152,-3227.1728515625,144.2175,152,11034.99,760000,17.7177,10463.94
153,-3381.92822265625,144.4143,153,10846.26,765000,18.3236,10166.97
154,-3394.14404296875,143.5261,154,11080.64,770000,18.4289,10604.13
155,-3350.575927734375,143.634,155,11036.8,775000,17.8343,10534.18
156,-3455.351318359375,144.2397,156,10845.04,780000,17.4883,10135.82
157,-3359.6982421875,143.9162,157,11073.19,785000,17.5419,10169.85
158,-3513.28369140625,144.2278,158,11047.78,790000,18.4819,10582.63
159,-3503.498291015625,144.7698,159,10812.6,795000,18.8211,10455.05
160,-3534.131103515625,142.8879,160,11009.87,800000,17.9313,10198.36
161,-3481.42529296875,144.4999,161,10727.33,805000,18.2627,10689.99
162,-3639.87744140625,143.9009,162,11044.61,810000,17.1449,10013.66
163,-3541.40283203125,144.3947,163,11010.51,815000,18.0006,10555.18
164,-3655.84326171875,145.2463,164,10517.13,820000,19.1591,10170.66
165,-3733.5634765625,143.8751,165,10521.61,825000,16.6782,9952.88
166,-3533.162353515625,143.4832,166,11083.29,830000,17.5418,10525.68
167,-3721.986572265625,143.7475,167,10901.04,835000,18.2802,10577.19
168,-3662.57861328125,143.5639,168,9348.45,840000,17.8011,9169.79
169,-3857.470947265625,143.7186,169,10821.39,845000,16.8508,10553.66
170,-3676.852783203125,143.7924,170,11046.04,850000,17.9636,10754.15
171,-3664.011474609375,143.6106,171,11027.42,855000,16.6209,10317.64
172,-3950.621337890625,143.29,172,11115.22,860000,16.1696,10646.73
173,-3821.580322265625,144.2133,173,11110.73,865000,18.4227,10282.09
174,-3792.970458984375,143.3164,174,11148.74,870000,18.2243,10645.39
175,-3953.216552734375,143.3313,175,11197.83,875000,17.5539,10369.95
176,-3936.30078125,143.5145,176,11077.67,880000,17.9728,10689.95
177,-3944.552978515625,142.9491,177,11006.05,885000,17.2442,10559.47
178,-4008.763427734375,143.3758,178,11127.98,890000,18.2498,10671.92
179,-4031.26806640625,143.5749,179,11152.38,895000,18.7947,10696.87
180,-4123.181640625,143.2866,180,11145.43,900000,17.4755,10753.6
181,-3987.13671875,143.6966,181,11210.42,905000,18.3593,10794.72
182,-4111.8603515625,143.2748,182,11257.83,910000,18.0627,10773.36
183,-4132.07861328125,143.7401,183,11270.49,915000,17.8847,10803.37
184,-4075.21044921875,143.6803,184,10755.61,920000,18.3369,10432.99
185,-4081.24072265625,143.383,185,11107.91,925000,16.5579,10432.24
186,-4129.86279296875,143.87,186,11115.59,930000,17.8152,10663.48
187,-4198.166015625,142.821,187,11279.27,935000,17.4725,10863.42
188,-4182.97265625,143.2433,188,11387.37,940000,17.4964,10686.18
189,-4383.908203125,144.0893,189,11032.11,945000,18.3743,10406.85
190,-4188.73046875,143.4031,190,11229.48,950000,18.4489,10753.14
191,-4177.984375,143.5524,191,11293.72,955000,17.9656,10753.44
192,-4205.0400390625,144.1254,192,11230.53,960000,17.9614,10662.98
193,-4270.32421875,144.0386,193,11156.98,965000,18.7598,10740.74
194,-4426.41748046875,143.9189,194,11238.04,970000,18.1244,10576.96
195,-4237.18994140625,144.1378,195,11408.52,975000,18.1093,10801.82
196,-4560.08837890625,143.3677,196,11077.31,980000,17.4502,10467.71
197,-4484.20458984375,143.3975,197,11196.36,985000,18.7726,10284.63
198,-4462.0771484375,143.2397,198,10572.52,990000,17.9036,10088.18
199,-4397.41748046875,143.7762,199,11486.06,995000,17.9069,9741.57
200,-4423.7197265625,143.295,200,11212.65,1000000,18.9741,10557.93
201,-4665.54443359375,143.101,201,11380.34,1005000,15.6555,10637.64
202,-4436.22314453125,143.3808,202,11454.76,1010000,18.2004,10478.39
203,-4482.89404296875,142.9746,203,11059.69,1015000,18.1983,11102.57
204,-4461.525390625,142.8314,204,11081.87,1020000,17.6945,10632.22
205,-4509.125,143.1529,205,11518.5,1025000,18.2517,11001.46
206,-4575.46484375,143.2572,206,11582.71,1030000,17.6768,9861.48
207,-4548.44189453125,142.7598,207,11598.23,1035000,18.5916,9654.48
208,-4585.95703125,142.3763,208,11537.68,1040000,18.1468,9894.69
209,-4616.6025390625,142.2163,209,11582.17,1045000,18.0786,10468.03
210,-4780.26806640625,143.6072,210,11535.82,1050000,16.943,10811.33
211,-4658.65673828125,142.8987,211,11424.92,1055000,16.7959,11015.92
212,-4628.9287109375,143.1696,212,11560.34,1060000,17.6968,10963.12
213,-4806.486328125,142.7501,213,11555.83,1065000,16.6264,10552.12
214,-4787.2734375,143.3105,214,11506.69,1070000,17.7318,11136.17
215,-4686.2802734375,143.1058,215,10845.66,1075000,17.6242,10889.74
216,-4733.25537109375,143.1139,216,11636.13,1080000,17.9319,10677.74
217,-4752.4404296875,142.6948,217,11584.05,1085000,17.865,10781.44
218,-4951.9541015625,143.3963,218,11616.02,1090000,16.2005,10873.44
219,-4799.12353515625,142.962,219,11523.08,1095000,16.7838,10294.2
220,-4887.369140625,142.4978,220,11555.62,1100000,17.8737,10883.79
221,-4892.66943359375,143.6823,221,11194.33,1105000,19.3577,11073.51
222,-4915.02587890625,143.1615,222,11657.03,1110000,17.9853,9970.76
223,-4905.74462890625,142.6278,223,11499.16,1115000,17.9615,10899.25
224,-5106.34619140625,143.4737,224,11711.22,1120000,16.7659,10634.79
225,-4850.88818359375,142.9521,225,11487.77,1125000,17.2166,11153.85
226,-5224.66357421875,142.9847,226,11511.69,1130000,16.2544,9673.9
227,-5053.88037109375,142.8971,227,11074.77,1135000,18.3573,11133.71
228,-5046.52197265625,142.9646,228,11303.79,1140000,18.0844,10487.36
229,-5046.2236328125,143.2896,229,11445.06,1145000,18.0374,10598.44
230,-5170.0908203125,143.421,230,11772.34,1150000,16.8676,10482.49
231,-5138.28466796875,142.874,231,11670.14,1155000,17.3429,10320.52
232,-5008.01953125,142.5691,232,11805.25,1160000,17.9442,10951.03
233,-5100.6591796875,142.5554,233,11716.64,1165000,18.1987,11076.71
234,-5276.71923828125,143.2606,234,10558.78,1170000,17.8915,9452.74
235,-5611.6103515625,143.3436,235,10855.35,1175000,15.2721,10310.0
236,-5457.611328125,143.1763,236,11608.5,1180000,16.6494,10943.86
237,-5275.5498046875,142.5449,237,11071.71,1185000,17.1043,9853.48
238,-5403.955078125,143.0397,238,11181.46,1190000,17.144,11040.08
239,-5456.32373046875,143.1984,239,11687.08,1195000,18.4261,10446.03
240,-5463.14599609375,142.9846,240,11710.5,1200000,18.7509,9838.87
241,-5311.5224609375,143.3441,241,11773.18,1205000,18.0767,11311.34
242,-5602.31005859375,143.0352,242,11778.9,1210000,16.6351,10620.78
243,-5632.83837890625,142.8694,243,11741.94,1215000,16.6011,10844.33
244,-5505.2568359375,143.1906,244,11709.46,1220000,16.6656,11279.65
245,-5575.7998046875,143.0904,245,11506.13,1225000,17.3744,10477.65
246,-5465.89892578125,142.7545,246,11671.6,1230000,18.7065,11216.01
247,-5582.5546875,142.0607,247,11675.87,1235000,17.7131,11258.28
248,-5650.53515625,142.5043,248,11421.67,1240000,16.5273,10702.22
249,-5591.35791015625,143.5634,249,11743.82,1245000,16.5568,10967.05
250,-5541.14111328125,143.2327,250,11598.08,1250000,18.3494,11337.72
251,-5645.14892578125,142.8171,251,10666.73,1255000,17.4313,11040.31
252,-5466.107421875,142.6177,252,11815.59,1260000,18.0372,11294.97
253,-5540.98974609375,142.5461,253,11300.36,1265000,17.4219,11155.85
254,-5678.1376953125,143.0885,254,11770.03,1270000,17.2206,11302.1
255,-5628.90771484375,143.2024,255,11684.6,1275000,18.1857,10756.3
256,-5864.890625,142.8707,256,11486.55,1280000,15.4884,9596.28
257,-5780.12646484375,143.0035,257,11096.09,1285000,16.8433,10881.9
258,-5575.20361328125,143.2063,258,11318.62,1290000,17.5744,11422.2
259,-5677.5947265625,142.1775,259,11458.35,1295000,17.6251,11102.65
260,-5878.19091796875,142.7669,260,11890.83,1300000,16.6956,9895.5
261,-5582.431640625,142.3804,261,11369.79,1305000,17.1004,10637.71
262,-5688.62890625,143.5884,262,11902.57,1310000,17.714,10478.48
263,-5776.9892578125,142.2978,263,11821.33,1315000,17.4945,11363.6
264,-5691.1689453125,142.785,264,12057.5,1320000,16.5718,10316.32
265,-5710.86962890625,142.4866,265,10808.83,1325000,17.3798,10169.87
266,-5705.8115234375,142.5155,266,11790.68,1330000,17.2565,10412.82
267,-5716.74462890625,143.5,267,11695.32,1335000,18.1387,11212.98
268,-5754.357421875,142.4988,268,10926.34,1340000,17.2743,10541.58
269,-5836.76220703125,142.8477,269,11865.05,1345000,17.5354,10653.95
270,-6096.91650390625,143.1929,270,11874.4,1350000,14.8353,10319.9
271,-5806.88916015625,142.4037,271,11770.1,1355000,17.7222,11042.31
272,-5871.0595703125,142.775,272,11828.53,1360000,16.7673,11258.5
273,-5907.36181640625,142.7641,273,11310.21,1365000,17.0885,10489.68
274,-5869.013671875,142.5238,274,11913.06,1370000,16.9041,11001.08
275,-5961.5390625,142.473,275,11905.37,1375000,17.6903,10805.23
276,-6043.4462890625,143.5358,276,11374.58,1380000,16.6841,10777.12
277,-6204.4833984375,142.8569,277,11813.38,1385000,14.9398,10527.33
278,-5828.38720703125,143.1728,278,11427.97,1390000,16.8464,11434.21
279,-5856.314453125,141.7676,279,11855.42,1395000,16.906,10645.68
280,-6019.83740234375,142.3667,280,11062.99,1400000,17.0959,11341.69
281,-5989.8876953125,142.9695,281,12025.02,1405000,17.725,10437.65
282,-5935.85986328125,142.9974,282,11741.85,1410000,17.4825,10620.76
283,-6184.9501953125,143.1191,283,11507.32,1415000,15.0164,10109.55
284,-6269.021484375,142.4902,284,10731.83,1420000,16.8206,10171.63
285,-6063.35107421875,141.8703,285,11856.11,1425000,16.6652,11031.22
286,-6226.20556640625,142.5278,286,11902.01,1430000,16.7395,10982.12
287,-6118.24169921875,142.2694,287,11627.16,1435000,17.3775,11370.13
288,-6342.47900390625,142.5405,288,11797.87,1440000,16.5182,10920.08
289,-6108.484375,142.6132,289,11306.04,1445000,16.7865,11284.43
290,-6205.44677734375,142.9211,290,11806.75,1450000,17.3469,11223.07
291,-6401.10693359375,142.3125,291,11831.25,1455000,16.573,11433.12
292,-6457.8095703125,142.3408,292,11981.43,1460000,16.4339,11304.03
293,-6337.1904296875,142.6421,293,11800.87,1465000,17.4469,10496.08
294,-6344.97802734375,142.4758,294,11937.75,1470000,17.6373,10671.41
295,-6296.201171875,141.6996,295,11645.17,1475000,17.5101,10888.02
296,-6308.216796875,142.331,296,10994.48,1480000,17.2096,11210.83
297,-6425.71533203125,142.4505,297,11319.66,1485000,16.7859,11439.33
298,-6466.7783203125,142.7605,298,11418.14,1490000,16.9689,11533.56
299,-6440.8642578125,142.7553,299,12090.11,1495000,17.2285,11120.05
300,-6416.501953125,142.3934,300,11917.46,1500000,17.6658,10985.42
301,-6586.3046875,142.9091,301,11918.87,1505000,16.704,11287.84
302,-6516.18603515625,142.7482,302,11928.47,1510000,17.052,11466.4
303,-6514.71142578125,142.6552,303,12046.52,1515000,16.7561,10492.84
304,-6526.27978515625,141.7942,304,11992.12,1520000,18.1388,11435.5
305,-6644.77294921875,142.2543,305,11888.9,1525000,17.8637,11447.11
306,-6690.99072265625,142.4671,306,12051.96,1530000,15.95,11562.17
307,-6545.14013671875,142.6978,307,12006.21,1535000,17.9656,11405.14
308,-6686.72607421875,142.571,308,11871.2,1540000,17.7877,10833.04
309,-6685.7802734375,142.6272,309,12002.49,1545000,17.8886,11407.63
310,-6739.30908203125,142.6287,310,12095.18,1550000,18.0957,11253.64
311,-6779.876953125,141.862,311,12100.17,1555000,18.3983,11512.8
312,-6789.16943359375,142.3829,312,12142.21,1560000,17.9662,11499.96
313,-6892.697265625,142.7633,313,11955.09,1565000,16.3782,11300.38
314,-6811.9873046875,142.2854,314,12163.86,1570000,17.4285,11467.93
315,-6971.8359375,142.3745,315,12119.02,1575000,15.7128,11584.83
316,-6945.78515625,142.2589,316,12192.22,1580000,17.4662,11500.44
317,-6888.8623046875,141.8802,317,11779.2,1585000,18.3945,11764.49
318,-7011.1708984375,142.8886,318,12018.97,1590000,16.4508,11592.2
319,-6970.837890625,142.9297,319,12296.83,1595000,18.2935,11712.28
320,-7059.53759765625,142.5796,320,12278.29,1600000,17.3782,11717.35
321,-7003.95849609375,141.9156,321,12167.29,1605000,18.3223,11061.77
322,-7003.83740234375,143.3146,322,12190.93,1610000,18.157,11663.15
323,-7024.17822265625,142.505,323,12262.54,1615000,18.2784,11513.2
324,-7195.013671875,142.7196,324,12135.16,1620000,17.4515,11687.75
325,-7228.3173828125,142.7848,325,11965.77,1625000,18.2741,11518.1
326,-7218.79345703125,142.8918,326,12041.59,1630000,18.4481,11545.66
327,-7181.1923828125,143.7509,327,12104.4,1635000,18.3065,11726.9
328,-7316.8310546875,143.4426,328,12040.17,1640000,18.0527,11588.96
329,-7241.5595703125,142.5662,329,12314.55,1645000,18.1929,11709.86
330,-7180.88232421875,142.848,330,12273.14,1650000,18.6624,11801.26
331,-7503.71142578125,142.9411,331,11639.76,1655000,16.81,11076.3
332,-7413.52978515625,142.6783,332,12021.88,1660000,17.6803,11275.61
333,-7394.86962890625,143.0679,333,11841.82,1665000,18.3022,11626.19
334,-7419.8134765625,142.4345,334,11305.51,1670000,16.3992,11648.28
335,-7643.10791015625,143.4337,335,11801.06,1675000,17.3818,10964.7
336,-7643.474609375,143.3878,336,12011.0,1680000,18.5051,11211.07
337,-7667.4560546875,143.6325,337,11738.76,1685000,18.187,10762.92
338,-7486.00390625,143.1898,338,12082.24,1690000,17.1953,11197.72
339,-7605.82177734375,142.8073,339,12056.58,1695000,17.1896,11709.71
340,-7522.234375,142.4476,340,11400.78,1700000,18.0863,10437.14
341,-7611.39404296875,142.8074,341,11946.85,1705000,18.3984,11473.96
342,-7642.947265625,142.7264,342,12066.69,1710000,17.1848,11617.21
343,-7578.11474609375,142.7864,343,12064.25,1715000,18.1786,11528.63
344,-7631.93798828125,141.9322,344,11928.58,1720000,17.6887,10900.2
345,-7665.09326171875,142.3273,345,11927.63,1725000,16.2965,11364.54
346,-7691.7294921875,143.1746,346,11972.34,1730000,18.1586,11503.0
347,-7605.96826171875,142.4789,347,11739.8,1735000,18.0438,11585.35
348,-7761.00537109375,142.2914,348,11797.3,1740000,19.2405,10949.94
349,-7838.79638671875,142.6627,349,11813.99,1745000,18.7635,11451.81
350,-7849.97705078125,142.8428,350,12088.34,1750000,17.5959,11633.41
351,-7840.15380859375,142.7922,351,11714.0,1755000,17.9606,11504.04
352,-7807.169921875,142.498,352,11998.07,1760000,18.6291,11573.37
353,-7741.1337890625,142.6391,353,12260.48,1765000,17.3925,11302.75
354,-7813.6943359375,142.7605,354,12250.4,1770000,18.8104,11801.75
355,-7928.94384765625,142.5983,355,12072.79,1775000,19.1303,10727.17
356,-7842.16357421875,143.0269,356,11794.92,1780000,18.8593,11545.54
357,-8302.357421875,143.9876,357,11787.51,1785000,19.3049,11457.38
358,-7955.34814453125,142.8083,358,11897.37,1790000,18.9261,11490.7
359,-7967.8798828125,143.0307,359,11910.34,1795000,18.4289,11129.83
360,-7791.04638671875,142.2152,360,11917.44,1800000,17.9669,11441.95
361,-8012.890625,143.4146,361,11877.15,1805000,17.7218,11003.95
362,-7895.76220703125,142.3017,362,12145.14,1810000,18.1359,10351.48
363,-7973.66552734375,142.5557,363,12117.12,1815000,18.1613,11476.76
364,-8112.0224609375,143.0737,364,12015.69,1820000,19.1823,11557.18
365,-8054.1640625,142.3177,365,11770.31,1825000,17.6331,10959.47
366,-8299.4951171875,142.9674,366,11867.39,1830000,17.1979,11282.63
367,-8345.3544921875,143.6992,367,11210.41,1835000,16.6879,10352.04
368,-8294.720703125,143.1291,368,11086.32,1840000,17.1436,10573.82
369,-8187.81298828125,142.5262,369,10452.17,1845000,16.1209,10892.3
370,-8150.00244140625,142.946,370,11411.19,1850000,17.522,9885.72
371,-8046.61865234375,143.8386,371,11320.01,1855000,16.9338,10697.68
372,-8199.0751953125,143.5152,372,11043.51,1860000,16.6951,9876.77
373,-7940.3466796875,143.8037,373,11179.4,1865000,16.5355,10081.25
374,-8511.552734375,144.1066,374,10669.48,1870000,17.1035,10592.56
375,-8356.9794921875,143.4064,375,11392.44,1875000,16.652,10230.05
376,-7788.31982421875,143.6959,376,11023.75,1880000,17.3911,10616.04
377,-8165.58251953125,143.8772,377,11510.44,1885000,16.8039,10823.61
378,-8325.1728515625,142.5328,378,11308.49,1890000,18.2681,10883.46
379,-8270.6875,142.9047,379,11094.25,1895000,17.7929,10504.94
380,-8315.7421875,143.0682,380,10845.22,1900000,16.6841,10529.56
381,-8553.318359375,144.0668,381,11009.83,1905000,18.4278,10601.36
382,-8451.3798828125,142.813,382,10786.24,1910000,18.4096,10017.52
383,-8374.9951171875,143.2457,383,11106.7,1915000,18.3261,10897.81
