Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Real Det Return,Running Update Time,Running Forward KL,Reward Loss
205000,41,3224.43,20.8972,3317.83,41,24.2818,-500.019775390625
210000,42,3205.55,21.347,3264.54,42,23.2234,-461.695068359375
215000,43,3033.78,15.6849,3242.02,43,23.3174,-220.5820770263672
220000,44,2697.85,34.3558,3385.92,44,24.3171,-622.939697265625
225000,45,3191.34,15.562,3263.07,45,22.854,-216.05322265625
230000,46,3317.49,15.1477,3312.75,46,24.1074,-199.825927734375
235000,47,3293.9,14.9279,3286.75,47,23.6104,-171.9927520751953
240000,48,3238.53,15.1035,3304.05,48,23.9661,-156.92259216308594
245000,49,3323.29,15.5144,3339.12,49,23.406,-166.8340606689453
250000,50,2773.78,21.8649,3371.88,50,22.7594,-182.9295196533203
255000,51,3185.62,15.3391,3338.24,51,23.9318,-192.40737915039062
260000,52,3306.45,22.7263,3422.02,52,22.06,-378.3926086425781
265000,53,3184.43,18.5633,3377.29,53,22.7248,-309.26983642578125
270000,54,3271.91,20.3986,3378.83,54,23.2064,-429.6822204589844
275000,55,2835.31,20.7636,3413.9,55,22.2027,-332.6661682128906
280000,56,3364.24,17.2944,3412.69,56,23.1165,-359.86737060546875
285000,57,3282.98,23.1197,3386.08,57,23.0234,-365.9459228515625
290000,58,2570.93,20.773,3396.8,58,22.7003,-592.8603515625
295000,59,3294.32,16.2488,3417.95,59,22.0646,-382.16156005859375
300000,60,3346.86,14.5851,3382.72,60,22.3551,-252.56309509277344
305000,61,2327.66,21.7692,3371.56,61,23.0974,-867.405517578125
310000,62,2713.39,23.555,3359.49,62,22.9796,-627.3096923828125
315000,63,3308.7,17.6601,3406.27,63,23.0754,-377.2290954589844
320000,64,3302.37,14.9084,3482.86,64,23.1381,-192.52938842773438
325000,65,3368.77,15.3767,3468.17,65,21.7685,-367.36993408203125
330000,66,3272.09,15.564,3437.16,66,21.9456,-349.5876159667969
335000,67,3111.14,16.441,3439.86,67,21.8602,-459.6297607421875
340000,68,3400.04,16.4714,3431.0,68,21.789,-455.427490234375
345000,69,3090.94,15.4263,3386.95,69,22.712,-427.6170349121094
350000,70,3325.65,24.6243,3489.07,70,22.7424,-645.445556640625
355000,71,3407.71,19.0939,3449.75,71,22.2321,-474.35687255859375
360000,72,3384.59,14.8019,3411.22,72,21.386,-304.0135192871094
365000,73,2906.56,17.0748,3368.3,73,21.6158,-662.8411254882812
370000,74,3119.95,20.5425,3434.73,74,22.4838,-601.5087280273438
375000,75,3246.55,14.1504,3394.27,75,21.8909,-360.4125671386719
380000,76,3006.24,15.8926,3426.42,76,21.9538,-469.3947448730469
385000,77,2746.8,15.109,3441.05,77,22.6047,-274.65338134765625
390000,78,3008.76,15.6536,3450.73,78,21.4835,-610.0411376953125
395000,79,3100.15,15.9227,3420.22,79,20.9928,-504.5526123046875
400000,80,3195.06,16.3214,3462.92,80,21.0049,-643.6486206054688
405000,81,3213.85,20.1999,3404.78,81,21.9416,-796.2459716796875
410000,82,2993.64,15.0671,3408.51,82,21.3651,-491.6266784667969
415000,83,3012.37,14.7369,3383.37,83,22.2506,-461.0360107421875
420000,84,3064.35,18.8627,3401.08,84,22.2033,-648.6766357421875
425000,85,3346.35,25.1128,3444.77,85,21.4495,-829.2730102539062
430000,86,3399.44,14.964,3395.1,86,22.101,-428.82855224609375
435000,87,3326.87,14.075,3432.71,87,20.29,-415.6710510253906
440000,88,2589.73,13.9242,3439.44,88,21.24,-519.2155151367188
445000,89,3343.12,14.1354,3431.86,89,21.2824,-418.30145263671875
450000,90,2666.55,15.1537,3431.88,90,21.1571,-755.9827270507812
455000,91,3037.52,13.9815,3437.62,91,21.0365,-740.8765869140625
460000,92,3428.52,13.8314,3464.86,92,19.8559,-805.3836669921875
465000,93,3265.19,14.1367,3452.31,93,20.5444,-664.9140625
470000,94,2996.68,13.9155,3453.01,94,20.0457,-448.7333679199219
475000,95,3337.65,14.5688,3403.41,95,21.4989,-542.5941162109375
480000,96,3178.06,14.8554,3468.48,96,20.961,-556.4815673828125
485000,97,2421.57,18.151,3446.29,97,21.4128,-1022.0913696289062
490000,98,2857.48,16.9159,3414.64,98,21.015,-754.6107788085938
495000,99,3282.75,13.1884,3409.74,99,20.483,-617.3472290039062
500000,100,2938.42,15.8597,3431.97,100,21.5438,-662.8944702148438
505000,101,2394.86,30.3669,3455.28,101,21.6615,-1272.232421875
510000,102,3197.2,14.1566,3429.81,102,20.7425,-511.97357177734375
515000,103,2776.31,12.9143,3418.97,103,21.4037,-745.0099487304688
520000,104,2615.08,13.1022,3412.19,104,21.2462,-1256.4990234375
525000,105,2597.34,12.8838,3458.27,105,21.3202,-830.5689697265625
530000,106,2916.64,27.0462,3444.49,106,21.5619,-1140.639892578125
535000,107,3321.26,17.6146,3425.14,107,21.2934,-783.2294311523438
540000,108,2595.08,17.4455,3448.76,108,20.9374,-1073.2684326171875
545000,109,2549.88,13.7171,3451.93,109,21.2693,-1263.628662109375
550000,110,3320.83,13.7843,3438.66,110,21.1166,-576.999267578125
555000,111,2741.33,19.5605,3461.57,111,20.3941,-770.4295043945312
560000,112,2855.17,13.0211,3445.89,112,20.8018,-964.3524780273438
565000,113,3099.15,12.7145,3462.34,113,21.4434,-1034.2310791015625
570000,114,3208.64,13.9243,3428.64,114,20.5198,-619.4201049804688
575000,115,2971.95,13.907,3414.91,115,20.1224,-627.1024780273438
580000,116,2712.1,13.9982,3430.92,116,21.634,-959.2194213867188
585000,117,3250.98,13.5445,3429.4,117,20.6699,-763.6576538085938
590000,118,3072.27,12.9798,3450.48,118,21.2935,-853.9467163085938
595000,119,3308.16,13.7618,3415.27,119,19.6068,-666.234130859375
600000,120,3233.72,13.358,3459.99,120,20.734,-729.6343994140625
605000,121,3001.65,14.3602,3448.81,121,21.2518,-1052.1519775390625
610000,122,3309.7,13.3769,3420.26,122,20.8082,-739.5257568359375
615000,123,1807.14,32.2059,3450.27,123,21.9851,-2332.123779296875
620000,124,2804.29,15.1992,3448.8,124,20.5564,-1001.2734985351562
625000,125,3059.96,12.38,3449.38,125,20.9205,-875.9089965820312
630000,126,3330.02,13.8839,3468.28,126,20.4124,-674.9990234375
635000,127,2960.92,12.2818,3462.52,127,20.6786,-1121.9588623046875
640000,128,3230.97,13.5644,3424.49,128,20.9983,-775.0452270507812
645000,129,2990.55,12.2483,3475.69,129,21.4558,-1009.0823974609375
650000,130,3023.57,13.7282,3425.81,130,20.3437,-906.5039672851562
655000,131,2527.79,11.5376,3508.55,131,20.5,-1518.541748046875
660000,132,2466.64,11.4556,3454.96,132,21.585,-1603.902099609375
665000,133,3006.15,13.1793,3480.16,133,21.2035,-1035.2166748046875
670000,134,2842.27,14.4362,3449.27,134,21.8069,-1066.9637451171875
675000,135,3333.94,12.6403,3470.41,135,20.8186,-859.3612060546875
680000,136,3104.88,12.3087,3449.98,136,20.2139,-872.014892578125
685000,137,3359.88,12.6089,3477.67,137,19.8516,-857.50830078125
690000,138,3230.58,13.3657,3456.63,138,20.0797,-1263.8905029296875
695000,139,3109.15,12.7438,3471.34,139,21.6209,-1365.2032470703125
700000,140,2863.49,13.4336,3462.98,140,19.7052,-971.0599975585938
705000,141,2960.43,13.5343,3479.23,141,20.4013,-1155.2947998046875
710000,142,3347.63,13.276,3480.17,142,20.3176,-989.7935791015625
715000,143,2915.1,12.8873,3467.62,143,20.464,-1085.3082275390625
720000,144,3274.94,13.2206,3441.31,144,19.6566,-881.5866088867188
725000,145,2707.15,12.6716,3475.49,145,20.598,-1053.1768798828125
730000,146,2809.47,13.2455,3473.34,146,20.5024,-1360.0987548828125
735000,147,3010.69,12.1166,3485.04,147,20.4093,-1162.305419921875
740000,148,3345.85,12.8926,3464.48,148,19.9546,-1024.6678466796875
745000,149,2802.42,12.2646,3457.79,149,20.8426,-1547.1029052734375
750000,150,3201.79,12.5404,3484.73,150,19.8885,-1140.7806396484375
755000,151,2833.0,12.0642,3461.55,151,20.4394,-1273.0706787109375
760000,152,3084.89,13.0577,3446.82,152,20.7689,-1251.9248046875
765000,153,3367.93,12.9699,3471.26,153,20.302,-1008.74462890625
770000,154,2997.82,13.5052,3459.64,154,20.753,-1006.708984375
775000,155,2142.31,11.8062,3475.83,155,20.6383,-1963.027587890625
780000,156,2712.57,16.3639,3468.33,156,21.3274,-1836.1807861328125
785000,157,2942.81,13.5388,3477.25,157,20.0515,-1040.4664306640625
790000,158,2887.45,18.5155,3475.26,158,20.9646,-1620.3741455078125
795000,159,3344.36,14.4487,3448.37,159,19.9945,-1247.1241455078125
800000,160,2438.91,18.4563,3500.63,160,20.4513,-1777.3348388671875
805000,161,3047.14,16.4314,3474.97,161,21.2217,-1762.4417724609375
810000,162,2503.61,17.0646,3460.81,162,21.5112,-1895.0260009765625
815000,163,3223.42,12.8423,3468.33,163,21.2618,-1640.471435546875
820000,164,3164.29,13.9382,3461.29,164,20.3236,-1083.098876953125
825000,165,2713.53,12.599,3486.26,165,20.9099,-1548.8919677734375
830000,166,2110.12,20.324,3283.28,166,22.1085,-2675.806396484375
835000,167,2994.87,13.9184,3470.38,167,21.0631,-1297.0318603515625
840000,168,3387.35,13.3286,3467.21,168,19.6842,-1061.5284423828125
845000,169,3165.42,13.1918,3421.85,169,20.1513,-1112.2127685546875
850000,170,3066.6,15.5662,3473.86,170,20.9002,-1444.1495361328125
855000,171,2423.53,15.6452,3053.56,171,20.923,-2117.023681640625
860000,172,2507.43,16.1117,3359.83,172,21.318,-2030.060546875
865000,173,2208.06,14.5587,3185.87,173,21.4529,-2611.243896484375
870000,174,2805.65,15.8588,3462.69,174,20.4048,-1563.2159423828125
875000,175,2345.89,12.0527,2813.5,175,21.7165,-2744.65771484375
880000,176,3184.4,13.4355,3485.34,176,20.6379,-1247.7041015625
885000,177,3000.23,14.5076,3439.28,177,20.9035,-1667.9830322265625
890000,178,2891.14,14.2616,3508.07,178,21.1069,-1523.36865234375
895000,179,2796.36,13.2056,3496.71,179,21.9298,-1858.4560546875
900000,180,2654.29,16.2373,3479.19,180,20.9732,-1973.40771484375
905000,181,2724.94,13.9717,3423.21,181,21.463,-1940.4039306640625
910000,182,2374.27,11.4155,3476.52,182,21.345,-2191.239013671875
915000,183,3215.86,13.6006,3499.21,183,20.3474,-1421.178955078125
920000,184,2836.11,13.6837,3455.21,184,21.0063,-1700.4990234375
925000,185,2575.98,13.0017,3483.44,185,20.9131,-2043.9984130859375
930000,186,3045.4,13.3896,3486.67,186,20.9066,-1863.7078857421875
935000,187,2510.89,15.8887,3431.65,187,20.8576,-2525.38525390625
940000,188,2899.23,13.4437,3475.1,188,19.6285,-1292.3599853515625
945000,189,2685.83,14.8265,3475.48,189,20.3758,-1878.0498046875
950000,190,3057.72,15.3624,3499.6,190,20.2576,-1957.07177734375
955000,191,2225.52,13.5112,3461.75,191,21.0905,-2318.477294921875
960000,192,2516.16,14.2466,3493.6,192,20.8801,-2067.0166015625
965000,193,2685.4,13.0919,3479.88,193,20.5544,-2196.92626953125
970000,194,3208.39,13.9078,3475.5,194,20.195,-1344.7088623046875
975000,195,2802.22,16.7952,3474.87,195,20.5296,-1917.07861328125
980000,196,2476.98,19.3514,3461.56,196,21.3408,-2941.82470703125
985000,197,2782.4,14.6504,3480.58,197,21.091,-2718.094482421875
990000,198,2688.5,18.1839,3444.52,198,20.8574,-2295.512939453125
995000,199,2398.27,14.5846,3144.5,199,21.6481,-2545.52001953125
