Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Det Return
3539.23,-7493.28515625,157.887,510000,340.323,102,102,1526.75
3045.38,-9315.41796875,166.945,515000,343.1024,103,103,1358.56
4630.63,-7913.42919921875,165.8707,520000,343.6072,104,104,2678.36
3593.7,-10304.6796875,175.3881,525000,348.737,105,105,1606.29
3896.27,-9715.3330078125,165.8276,530000,346.3899,106,106,1315.36
4226.53,-9199.4638671875,170.4115,535000,349.0013,107,107,1743.52
4104.07,-9948.220703125,175.4098,540000,344.9281,108,108,1998.08
4030.33,-10034.5068359375,163.2952,545000,344.6815,109,109,1884.87
4628.11,-9371.8212890625,175.3004,550000,343.7827,110,110,3538.66
3553.27,-10905.0458984375,172.2254,555000,347.3715,111,111,1178.17
3948.77,-11731.171875,186.0042,560000,348.5112,112,112,1355.99
4741.63,-9715.9921875,168.8852,565000,342.5423,113,113,1640.22
4447.28,-9548.51953125,159.7376,570000,342.3422,114,114,1982.54
3862.22,-11630.12890625,182.985,575000,355.9379,115,115,1563.6
4844.4,-10038.513671875,164.0847,580000,338.7965,116,116,2103.63
3861.62,-10765.8154296875,163.725,585000,340.8378,117,117,2203.29
4200.48,-11219.0244140625,166.0048,590000,345.2744,118,118,1865.74
4887.91,-10340.1279296875,155.0276,595000,336.1481,119,119,3268.49
4844.61,-10653.607421875,160.5829,600000,336.6284,120,120,3679.1
3251.94,-12641.94921875,187.1889,605000,354.0292,121,121,1113.8
4262.26,-11556.056640625,153.7149,610000,336.0145,122,122,1471.52
4378.52,-12141.962890625,171.7242,615000,346.8619,123,123,2381.46
4256.33,-12093.5595703125,164.4425,620000,340.8157,124,124,3578.14
4514.45,-12191.9462890625,166.075,625000,346.1996,125,125,2611.85
4641.84,-11945.408203125,157.8097,630000,345.3319,126,126,3126.27
4052.45,-12747.056640625,174.1807,635000,350.8178,127,127,1892.45
3903.46,-12575.19140625,178.3671,640000,346.6948,128,128,2881.05
3690.27,-12962.955078125,163.9473,645000,342.3143,129,129,1460.71
4583.12,-13273.9697265625,163.028,650000,344.6629,130,130,1762.91
3740.64,-13610.4072265625,174.2081,655000,348.4363,131,131,2705.45
4713.1,-13400.9072265625,159.6448,660000,344.2864,132,132,2489.05
4341.48,-13801.75390625,164.6547,665000,343.1651,133,133,2086.78
4105.43,-14121.95703125,172.9382,670000,348.8477,134,134,1917.49
4455.34,-13452.2451171875,160.2154,675000,342.0484,135,135,3854.43
4626.2,-13784.41015625,159.6848,680000,340.1621,136,136,4279.47
4483.71,-13879.833984375,166.4043,685000,343.5939,137,137,3424.19
3915.1,-14525.7626953125,181.9165,690000,352.7016,138,138,2351.03
4126.45,-14699.5234375,162.7279,695000,344.8922,139,139,2558.38
4645.3,-14771.7783203125,162.7028,700000,343.0789,140,140,3972.25
3470.3,-15318.4111328125,194.7413,705000,365.8426,141,141,2739.06
4887.38,-14736.9580078125,155.4288,710000,337.807,142,142,3348.88
4450.71,-15189.2607421875,160.9733,715000,342.2152,143,143,3643.62
4892.39,-14945.0439453125,159.2735,720000,339.6844,144,144,4614.9
4211.21,-15681.0927734375,176.8379,725000,354.3854,145,145,1679.52
4745.75,-15424.8056640625,163.2741,730000,342.6391,146,146,1763.38
4835.7,-15183.2197265625,153.987,735000,337.6513,147,147,3109.74
4566.36,-15260.0703125,153.5432,740000,341.4017,148,148,4290.65
4904.66,-15286.9775390625,154.7567,745000,337.6576,149,149,3669.29
4573.92,-15574.3818359375,156.4713,750000,344.6488,150,150,3846.91
4886.28,-15590.33203125,159.9752,755000,343.3893,151,151,2026.93
4544.62,-15252.767578125,145.6502,760000,339.4444,152,152,2815.7
4572.7,-15855.974609375,167.1908,765000,345.2427,153,153,1438.81
4895.5,-15638.93359375,159.4771,770000,343.3127,154,154,2499.71
4638.56,-15738.455078125,157.2773,775000,338.2434,155,155,2055.94
4771.68,-15685.63671875,152.9071,780000,342.6071,156,156,2692.08
4875.77,-15724.033203125,151.5444,785000,335.6696,157,157,2707.76
4690.8,-15876.6328125,155.4613,790000,338.2985,158,158,2962.03
4828.75,-16109.5615234375,164.2371,795000,347.6901,159,159,4076.88
4254.84,-16038.337890625,156.1763,800000,346.6217,160,160,760.57
4655.45,-15966.3896484375,150.7753,805000,337.0084,161,161,2468.12
4644.72,-15989.2001953125,148.691,810000,341.6706,162,162,3531.38
4829.81,-16257.98828125,154.6577,815000,340.1433,163,163,2635.62
4684.43,-16024.080078125,146.6611,820000,339.8133,164,164,1929.23
4848.05,-16123.8037109375,145.4497,825000,332.7038,165,165,1587.76
4928.54,-16384.72265625,157.0677,830000,339.9075,166,166,2743.76
4870.41,-16267.01953125,151.1953,835000,338.1727,167,167,3550.92
4234.78,-16552.83984375,161.4296,840000,337.3903,168,168,1497.63
4753.3,-16413.7890625,151.0467,845000,341.5619,169,169,2064.76
4840.39,-16612.083984375,154.006,850000,343.6278,170,170,1952.24
4741.89,-16251.8154296875,144.7969,855000,339.4318,171,171,1010.01
4457.93,-16874.330078125,158.8483,860000,344.6417,172,172,1904.17
4663.01,-16689.8984375,150.7731,865000,339.862,173,173,1388.61
4825.47,-16535.7734375,155.0066,870000,341.012,174,174,3214.79
4573.02,-16446.11328125,145.8448,875000,338.3768,175,175,2439.11
4849.17,-16745.591796875,150.4453,880000,338.0866,176,176,2405.3
4800.02,-16575.087890625,148.646,885000,340.1793,177,177,1881.37
4952.8,-16711.681640625,148.9992,890000,337.2764,178,178,2868.2
4562.37,-16415.775390625,146.9043,895000,344.6097,179,179,754.87
4800.11,-16954.55859375,159.0661,900000,346.5797,180,180,2634.41
4635.29,-17125.0390625,160.1585,905000,343.2002,181,181,2437.87
4764.68,-16502.7421875,150.3199,910000,341.0001,182,182,1117.72
4747.2,-16977.7578125,154.5129,915000,343.7093,183,183,1176.18
4681.27,-16996.669921875,152.679,920000,345.9747,184,184,1787.63
4940.88,-16900.986328125,142.5525,925000,334.7568,185,185,1293.0
4973.29,-17179.0703125,157.1458,930000,339.4229,186,186,2750.06
4510.61,-16931.083984375,146.0064,935000,336.366,187,187,1116.52
4586.41,-16791.912109375,149.0804,940000,343.2187,188,188,1556.19
4811.34,-17193.310546875,158.667,945000,342.0936,189,189,2112.76
4631.87,-17117.865234375,152.8227,950000,337.1913,190,190,2113.92
4778.37,-16779.85546875,139.3983,955000,333.621,191,191,1404.19
4931.11,-16967.10546875,146.6987,960000,335.6293,192,192,1093.72
4949.82,-17022.69921875,144.7402,965000,339.5471,193,193,4172.94
4803.03,-17121.90234375,151.2956,970000,339.8122,194,194,2050.3
4770.4,-16889.748046875,152.0924,975000,343.8375,195,195,3632.97
4405.83,-17393.759765625,156.4096,980000,342.7983,196,196,1022.57
4866.84,-17268.35546875,154.8759,985000,340.7712,197,197,3711.16
4743.09,-17169.994140625,146.4142,990000,336.9237,198,198,3934.69
4933.86,-17406.27734375,155.3187,995000,338.4965,199,199,1663.14
4941.33,-17252.572265625,146.3665,1000000,334.6088,200,200,4577.31
4894.76,-17278.005859375,148.4129,1005000,336.1872,201,201,2823.45
4919.09,-17254.25390625,151.4905,1010000,340.8435,202,202,4348.81
4857.62,-17163.830078125,147.144,1015000,337.8425,203,203,1649.35
4767.06,-17301.525390625,147.6727,1020000,337.2763,204,204,3719.83
4806.75,-17368.19140625,148.0571,1025000,341.055,205,205,2146.54
4922.87,-17470.974609375,153.3985,1030000,336.633,206,206,4295.95
4910.92,-17378.951171875,146.4933,1035000,337.9458,207,207,4139.57
4592.03,-17458.5078125,151.4885,1040000,339.5156,208,208,3308.74
4856.14,-17485.392578125,149.5958,1045000,341.9077,209,209,4662.7
4867.21,-17546.87109375,154.9481,1050000,343.8739,210,210,2929.35
4897.22,-17534.05859375,150.6521,1055000,338.5332,211,211,4381.88
4919.58,-17488.05859375,148.5737,1060000,340.2484,212,212,1862.58
4893.65,-17580.875,147.9934,1065000,337.5599,213,213,4093.56
4618.2,-17631.138671875,155.2055,1070000,341.4548,214,214,4508.72
4853.26,-17703.681640625,154.5274,1075000,337.2708,215,215,4360.0
4738.62,-17729.41796875,148.3045,1080000,339.3208,216,216,1394.86
4624.78,-17806.474609375,155.8675,1085000,338.1243,217,217,3992.38
4912.73,-17947.875,160.3857,1090000,341.0294,218,218,5005.17
4933.8,-17857.6875,153.3192,1095000,339.9794,219,219,3908.12
4582.17,-17766.95703125,150.6541,1100000,339.9208,220,220,4698.25
4915.69,-17921.30078125,154.093,1105000,341.7446,221,221,3591.73
4864.92,-17862.66796875,156.7457,1110000,343.5523,222,222,4981.97
4822.31,-17893.546875,158.3144,1115000,341.5818,223,223,4354.51
4930.41,-17877.80859375,152.0302,1120000,335.6135,224,224,4566.9
4629.83,-17789.466796875,158.5008,1125000,345.4335,225,225,4478.65
4384.27,-17899.212890625,151.5325,1130000,338.3934,226,226,3853.37
4392.13,-18019.291015625,159.5304,1135000,341.5585,227,227,3666.99
4437.06,-17864.12109375,152.7117,1140000,338.3664,228,228,3340.51
4647.06,-17938.29296875,148.9772,1145000,344.5818,229,229,1838.79
4579.28,-17669.376953125,148.6762,1150000,339.2981,230,230,2104.53
4556.75,-17638.638671875,146.7414,1155000,338.5331,231,231,2882.82
4497.87,-17424.298828125,145.822,1160000,339.7261,232,232,2188.92
4281.34,-18002.701171875,152.3783,1165000,340.773,233,233,2116.55
4676.56,-18004.98828125,148.4094,1170000,340.5082,234,234,1502.22
4389.82,-17993.5234375,148.1993,1175000,338.0059,235,235,2406.68
4797.62,-17994.45703125,149.1716,1180000,342.848,236,236,1915.98
4944.46,-18026.822265625,150.1256,1185000,343.3751,237,237,3186.6
4576.82,-17962.279296875,144.9969,1190000,338.2911,238,238,2527.52
4677.01,-18250.7734375,161.7792,1195000,346.4615,239,239,3102.83
4327.87,-18067.619140625,166.7699,1200000,355.3312,240,240,1876.18
3955.8,-18115.994140625,153.7151,1205000,345.5935,241,241,1523.1
4688.3,-18231.130859375,157.7732,1210000,339.7665,242,242,1991.44
4425.28,-18001.994140625,152.5341,1215000,340.4158,243,243,1536.15
4784.55,-18264.3125,162.0035,1220000,346.9006,244,244,2219.08
4404.38,-18143.357421875,154.7328,1225000,337.2164,245,245,4168.7
4418.95,-17865.4375,154.9807,1230000,344.2155,246,246,2108.09
4625.75,-17944.548828125,146.8339,1235000,343.1036,247,247,2011.41
4534.15,-17788.609375,152.9129,1240000,342.8516,248,248,1627.56
4741.41,-18246.57421875,159.2178,1245000,341.2394,249,249,2840.45
4420.97,-18195.642578125,156.3295,1250000,343.6421,250,250,1584.66
4646.6,-18036.076171875,153.431,1255000,339.7743,251,251,1953.03
4408.47,-18175.2734375,157.6807,1260000,339.9357,252,252,1339.49
4610.72,-18172.04296875,159.4349,1265000,343.2072,253,253,3030.85
4411.57,-18163.185546875,152.2475,1270000,340.2114,254,254,2807.79
4102.58,-18045.404296875,153.7903,1275000,342.7038,255,255,2606.08
4576.8,-18255.814453125,159.4341,1280000,339.0159,256,256,3660.55
3473.6,-18261.205078125,154.0197,1285000,337.9558,257,257,2991.29
4148.31,-18163.822265625,152.3154,1290000,336.2652,258,258,3868.26
4362.56,-18228.306640625,168.7643,1295000,350.332,259,259,3735.96
4917.77,-18296.005859375,157.2961,1300000,342.1639,260,260,4338.86
4421.61,-18419.10546875,162.0773,1305000,343.846,261,261,3882.63
4575.41,-18329.798828125,170.6011,1310000,349.203,262,262,3967.64
4933.52,-18366.1328125,163.52,1315000,341.433,263,263,4000.44
4120.11,-18164.33984375,158.2322,1320000,346.1705,264,264,2416.42
4670.94,-18311.220703125,169.7422,1325000,353.0026,265,265,3273.12
4273.82,-18425.61328125,168.3639,1330000,346.0178,266,266,2385.0
4720.93,-18568.751953125,170.2664,1335000,349.5624,267,267,2884.69
3627.36,-17796.6953125,190.9087,1340000,367.2836,268,268,1197.98
4750.5,-18263.22265625,167.9082,1345000,346.9115,269,269,3061.8
2814.01,-18252.66796875,171.862,1350000,353.7717,270,270,2704.64
3130.47,-18258.75390625,177.1697,1355000,356.7756,271,271,1580.38
3571.52,-18149.466796875,152.7735,1360000,348.8869,272,272,1778.51
3617.86,-18388.01171875,165.4698,1365000,352.4246,273,273,3838.48
3641.46,-18065.62890625,173.6862,1370000,348.0577,274,274,4696.23
4623.45,-18212.111328125,156.1621,1375000,348.2602,275,275,3500.01
4140.48,-17925.935546875,152.249,1380000,349.3427,276,276,3383.49
3950.05,-18187.927734375,167.1523,1385000,345.984,277,277,2365.81
2159.4,-17114.482421875,200.9808,1390000,369.7019,278,278,3278.61
2133.19,-15790.4814453125,188.3085,1395000,361.018,279,279,3656.07
2289.47,-16142.3076171875,191.6582,1400000,365.8471,280,280,2135.43
2819.78,-16574.55078125,225.2983,1405000,363.5305,281,281,4678.81
1313.16,-16592.578125,205.8884,1410000,381.6654,282,282,2083.31
1529.15,-16159.4599609375,194.6812,1415000,381.6615,283,283,1537.82
3754.8,-17382.1328125,175.8516,1420000,357.2853,284,284,3485.84
3069.94,-17342.0703125,161.9646,1425000,360.0433,285,285,1234.01
3591.66,-17351.939453125,171.0464,1430000,349.4858,286,286,2485.56
3295.58,-17070.634765625,178.0894,1435000,365.0587,287,287,1943.96
2766.12,-17429.908203125,177.6822,1440000,360.1015,288,288,2753.46
2110.68,-16818.60546875,159.7317,1445000,352.166,289,289,1249.47
2438.38,-17004.306640625,231.0648,1450000,397.4248,290,290,1816.66
2046.89,-17178.15234375,185.4621,1455000,366.1463,291,291,1994.76
1754.08,-16852.5859375,204.1691,1460000,378.475,292,292,1878.26
1364.96,-17780.005859375,342.109,1465000,401.1637,293,293,997.39
1893.0,-18060.57421875,287.884,1470000,387.0887,294,294,1446.26
934.65,-18488.708984375,361.6251,1475000,420.4213,295,295,789.55
1261.98,-17621.68359375,252.1894,1480000,415.1622,296,296,853.48
877.91,-17801.39453125,289.6392,1485000,428.9954,297,297,799.01
1121.87,-17415.755859375,355.7677,1490000,428.179,298,298,600.24
1260.23,-17817.751953125,253.1531,1495000,435.1363,299,299,1153.31
1008.43,-17326.1953125,291.3416,1500000,437.5466,300,300,1308.44
1081.03,-17439.025390625,281.984,1505000,433.7864,301,301,912.0
1951.04,-18218.443359375,397.4281,1510000,440.1355,302,302,1923.79
1093.19,-17169.828125,470.2782,1515000,443.5964,303,303,961.16
1282.56,-18220.255859375,693.6762,1520000,446.728,304,304,1342.53
1656.77,-18749.85546875,1146.0188,1525000,443.382,305,305,1030.4
1959.04,-16361.6767578125,333.5928,1530000,440.6651,306,306,917.51
833.51,-16663.0859375,314.0577,1535000,447.3921,307,307,780.04
909.09,-15793.7294921875,321.1249,1540000,462.2899,308,308,788.72
775.77,-15751.5205078125,349.3607,1545000,463.3025,309,309,747.55
882.26,-17903.37109375,421.9272,1550000,462.7411,310,310,978.71
3289.49,-17683.322265625,333.8995,1555000,444.4082,311,311,3635.83
3486.49,-17970.05859375,337.8776,1560000,451.3634,312,312,4289.49
1845.8,-18641.201171875,511.1315,1565000,451.2804,313,313,2336.69
2820.28,-18796.9921875,338.4157,1570000,453.4279,314,314,3512.16
1632.58,-17838.82421875,419.4739,1575000,458.8334,315,315,1631.52
540.63,-17038.533203125,357.0236,1580000,473.2986,316,316,1025.24
1534.29,-18863.94140625,461.7394,1585000,470.6021,317,317,1417.68
1943.18,-16298.9599609375,338.3584,1590000,475.2377,318,318,1647.51
519.19,-15847.51171875,363.6688,1595000,486.2483,319,319,531.33
500.13,-17822.78515625,389.1417,1600000,483.3853,320,320,439.88
460.37,-18447.25390625,437.3942,1605000,489.3687,321,321,446.05
389.57,-18300.4296875,473.025,1610000,508.5238,322,322,410.04
445.62,-19279.30859375,688.5636,1615000,516.7749,323,323,425.68
269.73,-18506.64453125,597.3776,1620000,560.9204,324,324,248.02
352.05,-18218.71484375,740.2568,1625000,519.0936,325,325,308.25
436.23,-18068.109375,612.961,1630000,482.5494,326,326,447.6
398.17,-19107.6328125,1010.3858,1635000,495.9641,327,327,397.09
396.13,-19321.0859375,1257.1686,1640000,518.4448,328,328,417.16
288.66,-19280.77734375,936.7861,1645000,533.7688,329,329,341.89
251.29,-18984.828125,615.2311,1650000,524.2157,330,330,223.52
363.81,-19018.09765625,701.7805,1655000,508.1626,331,331,293.35
174.09,-19217.09765625,879.4562,1660000,566.1777,332,332,152.95
172.55,-18727.24609375,617.8774,1665000,540.7317,333,333,200.84
155.13,-16596.564453125,518.8335,1670000,589.6123,334,334,164.67
240.66,-17808.041015625,778.7276,1675000,545.5353,335,335,253.71
292.84,-15542.4716796875,584.962,1680000,541.9814,336,336,263.52
250.28,-17198.421875,684.6216,1685000,533.4679,337,337,278.58
224.39,-16614.48046875,573.8049,1690000,516.312,338,338,248.77
132.09,-18883.345703125,733.4469,1695000,608.8252,339,339,130.15
283.69,-17692.591796875,1030.5384,1700000,512.2027,340,340,290.6
59.94,-19211.845703125,1009.183,1705000,703.73,341,341,60.02
63.69,-19491.3984375,1310.0695,1710000,685.977,342,342,62.12
63.59,-19555.150390625,1338.2964,1715000,728.9497,343,343,61.67
69.58,-19549.1484375,1497.3343,1720000,719.466,344,344,61.77
65.33,-19562.216796875,1578.2033,1725000,721.6907,345,345,76.78
63.58,-19573.41796875,1621.9694,1730000,717.7897,346,346,62.16
62.79,-19324.5078125,1290.8928,1735000,722.9683,347,347,64.55
60.56,-19515.9296875,1641.7431,1740000,721.4879,348,348,59.97
61.72,-19613.189453125,1654.737,1745000,726.3809,349,349,63.24
58.76,-19655.705078125,1654.4714,1750000,746.327,350,350,60.1
59.47,-18833.76953125,928.8205,1755000,666.8594,351,351,56.62
66.36,-19053.48828125,1258.4698,1760000,689.9309,352,352,67.33
71.1,-19182.984375,1213.3107,1765000,678.1646,353,353,70.41
63.01,-19394.84765625,1190.9387,1770000,695.2908,354,354,62.87
65.78,-18668.591796875,986.5473,1775000,662.2294,355,355,78.04
64.61,-18960.95703125,752.0961,1780000,631.7816,356,356,63.85
63.83,-18678.939453125,962.7011,1785000,656.2383,357,357,62.87
64.51,-19169.205078125,993.0226,1790000,653.6177,358,358,63.99
67.67,-18694.962890625,1081.782,1795000,646.7582,359,359,67.02
68.49,-18854.912109375,693.576,1800000,686.6858,360,360,69.12
61.13,-19409.0078125,1458.3154,1805000,710.6857,361,361,60.89
84.85,-18791.943359375,970.3305,1810000,642.7423,362,362,73.45
68.47,-19513.62109375,1128.8081,1815000,671.2354,363,363,68.53
59.83,-18978.619140625,825.6239,1820000,677.4305,364,364,59.55
66.69,-19622.90234375,1073.4064,1825000,715.2213,365,365,65.42
66.21,-19426.265625,1225.5003,1830000,715.0093,366,366,65.9
77.31,-19120.8984375,1071.4254,1835000,681.358,367,367,86.52
83.07,-19445.861328125,1171.115,1840000,676.2668,368,368,81.99
116.16,-18803.1875,871.7222,1845000,618.8448,369,369,117.91
75.41,-18771.6875,960.1264,1850000,613.7636,370,370,75.6
103.02,-18935.970703125,545.681,1855000,659.8781,371,371,104.1
352.92,-19544.66796875,1258.9036,1860000,577.145,372,372,344.18
316.2,-19546.126953125,1175.5006,1865000,584.2417,373,373,333.75
336.76,-18998.728515625,813.8774,1870000,560.1476,374,374,328.38
354.42,-18915.482421875,985.2284,1875000,507.8614,375,375,361.62
336.23,-18856.58203125,812.0751,1880000,514.2502,376,376,325.1
366.26,-19068.732421875,739.1193,1885000,503.9754,377,377,365.03
353.76,-18529.513671875,800.3968,1890000,510.8795,378,378,352.37
338.27,-18710.013671875,635.6953,1895000,508.6958,379,379,355.67
222.91,-18852.73046875,977.9189,1900000,529.187,380,380,231.1
166.06,-18674.712890625,696.7907,1905000,539.6091,381,381,169.95
62.08,-19455.779296875,771.8467,1910000,704.3788,382,382,61.88
68.33,-19427.296875,1126.153,1915000,690.9215,383,383,65.19
64.83,-18725.125,1024.6663,1920000,645.1051,384,384,64.84
97.54,-19433.158203125,1337.1428,1925000,691.9866,385,385,97.89
108.86,-19278.8984375,1288.5718,1930000,649.2543,386,386,108.73
148.78,-18273.533203125,579.9774,1935000,627.7312,387,387,160.79
64.35,-19638.822265625,1175.1709,1940000,694.0755,388,388,64.35
65.23,-19649.626953125,1571.9244,1945000,706.5281,389,389,64.93
82.56,-19683.791015625,923.6442,1950000,699.722,390,390,83.52
96.68,-18358.234375,918.5697,1955000,637.5096,391,391,99.73
95.74,-19202.751953125,1527.8262,1960000,684.1698,392,392,98.47
115.78,-18458.705078125,1833.9599,1965000,614.2908,393,393,120.57
91.83,-19394.35546875,1818.6927,1970000,669.6481,394,394,89.05
129.62,-18065.8046875,620.5404,1975000,582.8128,395,395,116.22
76.93,-19060.314453125,1422.8871,1980000,580.2242,396,396,80.92
67.86,-19445.388671875,1482.7503,1985000,664.4938,397,397,68.96
61.17,-19698.43359375,2928.2447,1990000,704.1533,398,398,60.59
