Real Sto Return,Reward Loss,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL
3529.69,-6494.2265625,63,63,2198.45,176.6828,315000,353.7347
3902.33,-6744.23095703125,64,64,3228.43,169.5388,320000,360.3707
3174.17,-8807.794921875,65,65,4587.37,210.4806,325000,353.8289
3682.51,-6414.56591796875,66,66,4188.91,176.1318,330000,354.1096
3677.24,-6396.6376953125,67,67,3530.94,178.3652,335000,358.9995
3916.41,-5263.109375,68,68,3115.41,170.8339,340000,365.0772
4041.87,-6171.03759765625,69,69,2777.82,177.537,345000,359.6847
4388.9,-6052.30224609375,70,70,3606.73,188.9096,350000,368.7487
4475.62,-5211.92431640625,71,71,2239.53,163.0666,355000,359.1655
3473.04,-5235.28466796875,72,72,2515.45,180.1699,360000,370.4252
4231.67,-6977.400390625,73,73,2519.04,176.7693,365000,360.9583
3310.03,-7376.94384765625,74,74,1836.61,184.4622,370000,360.0058
3302.16,-7163.20166015625,75,75,2139.21,168.4217,375000,360.8367
3209.04,-8103.228515625,76,76,1484.43,200.6477,380000,375.7174
3642.25,-7938.6748046875,77,77,2951.59,187.1496,385000,363.27
3941.33,-6654.4365234375,78,78,3079.59,164.8627,390000,361.3347
3327.66,-7732.5888671875,79,79,2535.52,166.1314,395000,358.1918
2682.21,-9296.078125,80,80,2250.71,201.0625,400000,375.9752
3141.27,-9774.4716796875,81,81,1265.24,209.1759,405000,372.5937
3689.82,-6515.67626953125,82,82,2591.63,175.2016,410000,361.2437
4129.81,-7661.6591796875,83,83,2509.59,176.8839,415000,365.0943
4475.66,-6885.48046875,84,84,4132.84,183.9327,420000,365.0312
4582.56,-7210.71875,85,85,2117.02,177.1869,425000,362.5124
3561.68,-8387.953125,86,86,1462.13,194.8817,430000,365.0029
3886.8,-8158.69921875,87,87,1216.79,172.6589,435000,356.4101
3808.01,-8151.86669921875,88,88,1135.31,174.9271,440000,366.3874
3498.29,-9429.0947265625,89,89,1008.46,186.786,445000,368.386
3746.79,-8273.8271484375,90,90,1712.12,181.123,450000,366.696
3602.64,-9390.1103515625,91,91,3552.05,178.0188,455000,358.9568
3782.99,-10405.857421875,92,92,737.06,196.55,460000,372.33
2552.17,-9469.0205078125,93,93,850.46,174.7351,465000,363.375
3700.32,-9531.994140625,94,94,3379.69,184.7788,470000,361.0009
4412.43,-9348.48828125,95,95,1508.4,178.3489,475000,361.8335
4483.82,-9295.900390625,96,96,1212.51,159.3715,480000,357.3874
4404.96,-9385.6943359375,97,97,2533.79,181.7957,485000,367.1655
4409.23,-9216.70703125,98,98,4004.43,180.7282,490000,360.5244
4130.37,-10199.9912109375,99,99,2610.39,181.8572,495000,363.4076
4209.5,-10350.306640625,100,100,1907.0,182.5476,500000,364.9902
3385.26,-10742.916015625,101,101,3227.45,184.3846,505000,370.6667
4006.72,-10073.9423828125,102,102,3472.92,148.9946,510000,361.3866
4425.72,-10006.6123046875,103,103,1644.62,181.637,515000,363.1539
3941.25,-10275.65625,104,104,3544.49,161.003,520000,358.9556
4166.86,-10908.68359375,105,105,3668.3,180.8177,525000,366.029
4151.37,-10803.259765625,106,106,3768.5,169.4964,530000,365.1122
4576.31,-10559.6240234375,107,107,4261.25,167.745,535000,363.4493
4680.12,-10704.1640625,108,108,4694.85,154.5934,540000,357.6657
4234.37,-11134.1982421875,109,109,4435.49,174.4762,545000,363.9857
4292.54,-10762.6025390625,110,110,4553.21,162.5603,550000,357.3777
3906.1,-11097.50390625,111,111,4034.25,176.7955,555000,365.1342
4818.22,-10713.2880859375,112,112,4783.85,146.7217,560000,347.6848
4394.99,-11282.6904296875,113,113,4577.65,185.9272,565000,364.6971
4066.63,-11529.8310546875,114,114,809.61,173.7989,570000,362.2527
4755.66,-11077.32421875,115,115,3167.37,139.975,575000,343.6951
4585.65,-11996.2705078125,116,116,4553.7,175.5886,580000,362.7656
4606.95,-12065.8037109375,117,117,4630.14,171.8356,585000,360.5335
4499.88,-11946.30078125,118,118,4469.82,169.4468,590000,361.6057
4670.94,-11843.4521484375,119,119,4692.97,152.4906,595000,353.1803
4686.87,-12000.4462890625,120,120,4763.53,147.608,600000,350.3618
4395.07,-12476.482421875,121,121,4807.1,164.3767,605000,357.549
4297.39,-12128.2001953125,122,122,4046.12,147.6124,610000,354.5289
3998.2,-12381.8056640625,123,123,4708.52,152.2052,615000,356.0996
4658.67,-12646.2646484375,124,124,4689.89,160.8132,620000,353.786
3439.54,-12759.404296875,125,125,2912.11,165.577,625000,357.7482
4691.25,-12633.529296875,126,126,4704.74,150.3074,630000,357.2671
4145.49,-12580.080078125,127,127,3214.65,135.3699,635000,351.247
4044.04,-13189.876953125,128,128,3726.37,170.7831,640000,358.0454
4011.11,-13052.974609375,129,129,4077.5,157.0352,645000,356.6441
4553.21,-13521.169921875,130,130,4659.22,157.0549,650000,353.1184
4353.8,-12757.4501953125,131,131,3781.86,134.6817,655000,339.2005
4424.88,-13683.4736328125,132,132,4645.09,165.7482,660000,359.1259
4132.72,-13867.8994140625,133,133,4649.64,167.0626,665000,361.165
3551.79,-13624.2998046875,134,134,2388.58,162.7216,670000,357.9071
4014.46,-13911.314453125,135,135,3423.4,168.2816,675000,355.9645
3995.08,-13812.2548828125,136,136,3866.5,165.5228,680000,360.1244
3986.22,-13694.6181640625,137,137,4548.71,151.6464,685000,351.5754
3194.36,-13819.083984375,138,138,2348.03,157.3447,690000,353.0519
4613.44,-14099.4443359375,139,139,4157.56,165.3159,695000,351.6236
3677.03,-13821.556640625,140,140,4734.59,141.3321,700000,348.7825
3562.74,-13655.095703125,141,141,4105.63,140.2689,705000,340.4204
4434.16,-14436.947265625,142,142,4618.99,161.1666,710000,354.3471
4694.15,-14237.30859375,143,143,4791.67,142.7069,715000,351.0243
4624.81,-14333.705078125,144,144,4634.74,150.3019,720000,347.8008
4389.95,-14431.22265625,145,145,4509.84,160.6527,725000,351.6594
4203.42,-14480.62109375,146,146,1974.28,167.6009,730000,353.9069
4645.18,-14641.72265625,147,147,4404.93,145.2689,735000,344.4616
4721.36,-14288.6142578125,148,148,4577.95,127.4728,740000,338.8987
4550.69,-14914.78515625,149,149,4325.83,157.2076,745000,351.9842
4637.1,-14995.9306640625,150,150,4486.25,150.9844,750000,353.2108
4336.87,-15092.5107421875,151,151,4552.89,161.9792,755000,358.1245
4565.51,-15072.8916015625,152,152,4614.48,162.3209,760000,358.5724
3939.44,-15182.0322265625,153,153,4403.96,168.5619,765000,361.5674
4634.74,-15110.5986328125,154,154,4722.72,151.6344,770000,353.6388
4230.76,-15206.2158203125,155,155,4630.38,156.6622,775000,369.6655
4654.59,-15142.51171875,156,156,4528.81,140.7875,780000,347.018
4720.44,-15329.8759765625,157,157,4630.29,135.3442,785000,344.0551
4568.59,-15200.28515625,158,158,4540.41,148.1355,790000,349.2208
4589.26,-15641.3994140625,159,159,3936.41,165.7264,795000,352.3025
4699.85,-15562.7275390625,160,160,4825.09,138.8316,800000,351.2948
4669.3,-15454.8720703125,161,161,4718.39,137.3973,805000,349.8672
4697.28,-15522.4326171875,162,162,4838.48,138.152,810000,350.1342
4735.33,-15571.61328125,163,163,4893.07,138.7935,815000,354.7743
4656.89,-15719.63671875,164,164,4669.28,136.9075,820000,346.8119
4670.14,-15670.2783203125,165,165,4575.02,149.9933,825000,352.5904
4610.08,-15851.904296875,166,166,4659.55,148.3005,830000,357.548
4464.66,-15935.484375,167,167,4425.22,140.4427,835000,350.1114
4645.16,-16026.2109375,168,168,4625.49,141.062,840000,350.8896
4724.21,-15781.3857421875,169,169,4792.51,129.7631,845000,345.4636
4610.8,-15882.2294921875,170,170,4538.82,142.2219,850000,345.1039
4798.77,-15682.5556640625,171,171,4989.29,124.3519,855000,340.9271
4579.57,-16077.23828125,172,172,4687.37,137.9007,860000,346.5507
4615.4,-15978.4130859375,173,173,4672.92,140.411,865000,350.2024
4514.04,-15811.2587890625,174,174,4579.1,125.13,870000,348.7091
4717.02,-16178.314453125,175,175,4809.33,131.1674,875000,347.9505
4666.51,-16310.6044921875,176,176,4861.52,139.2723,880000,355.2999
4672.08,-16461.955078125,177,177,4800.02,141.429,885000,354.6354
4091.16,-15845.9921875,178,178,4942.43,127.0011,890000,346.3631
4700.34,-16324.474609375,179,179,4812.29,139.4266,895000,357.1867
4728.33,-16437.939453125,180,180,4850.09,131.6511,900000,355.4461
4702.36,-16444.77734375,181,181,4897.69,136.4507,905000,357.33
4814.33,-16185.779296875,182,182,4515.4,129.8426,910000,342.3298
4491.65,-16458.49609375,183,183,4690.41,131.5824,915000,349.607
4521.66,-16546.439453125,184,184,4657.54,127.546,920000,348.9302
4575.02,-16816.943359375,185,185,4676.03,136.6373,925000,350.2924
4625.26,-16875.748046875,186,186,4511.04,135.2659,930000,355.5975
4745.18,-16622.83203125,187,187,4653.68,133.3133,935000,352.4127
4639.18,-16834.564453125,188,188,4851.12,135.6301,940000,347.4661
4511.44,-16801.806640625,189,189,4777.12,121.3295,945000,346.0202
4715.8,-16827.953125,190,190,4942.79,130.0,950000,349.6578
4788.29,-16937.419921875,191,191,4852.4,123.9967,955000,348.2881
4684.78,-16895.3671875,192,192,4860.85,132.1176,960000,352.3344
4715.37,-17021.580078125,193,193,4764.37,136.9776,965000,354.4273
4617.82,-17214.22265625,194,194,4600.32,141.5975,970000,354.9536
4583.24,-17392.244140625,195,195,4571.08,150.3843,975000,354.1581
4722.72,-17396.19921875,196,196,4688.33,138.6396,980000,357.0796
4592.98,-16999.767578125,197,197,4562.48,139.436,985000,362.6292
4710.12,-17131.93359375,198,198,4546.58,125.9077,990000,349.9491
4787.86,-17180.537109375,199,199,4971.4,123.3397,995000,346.6297
4300.23,-17188.89453125,200,200,4909.21,124.319,1000000,350.2229
4711.19,-17380.525390625,201,201,4648.9,134.8588,1005000,356.9185
4702.4,-17353.763671875,202,202,4695.18,128.9705,1010000,354.9692
4695.24,-17322.681640625,203,203,4726.95,128.6553,1015000,355.6917
4734.77,-17298.8203125,204,204,4534.7,131.3429,1020000,356.7204
4512.63,-17560.490234375,205,205,4794.21,138.9147,1025000,365.0605
4755.74,-17596.751953125,206,206,4917.52,126.9463,1030000,359.5488
4625.68,-17603.208984375,207,207,4631.78,134.5727,1035000,357.2213
4290.4,-17629.08203125,208,208,4401.35,132.8376,1040000,347.4014
4610.3,-17674.4921875,209,209,4648.67,127.9468,1045000,353.2906
4577.63,-17784.892578125,210,210,3997.55,132.7817,1050000,355.0287
4462.29,-17992.767578125,211,211,4507.22,137.2746,1055000,357.4828
4704.47,-17874.734375,212,212,4300.07,137.6839,1060000,357.2119
4723.04,-17855.19921875,213,213,4537.44,132.3466,1065000,352.4995
