Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Running Update Time,Reward Loss
357.1243,184.113,4374.35,5365.59,128,640000,128,-12121.2119140625
347.6413,194.2249,5073.61,5320.64,129,645000,129,-12091.4248046875
353.2856,183.0255,4183.84,5335.4,130,650000,130,-12458.8974609375
339.4272,178.3368,3459.32,3340.54,131,655000,131,-11615.193359375
363.2526,188.5099,3224.15,5157.32,132,660000,132,-12905.830078125
345.6451,186.7501,4324.7,4872.48,133,665000,133,-12564.380859375
347.7384,189.8001,4935.55,5292.35,134,670000,134,-12648.9853515625
360.9475,200.5319,3586.22,5110.76,135,675000,135,-13482.021484375
352.9966,192.7722,5188.81,5095.47,136,680000,136,-12853.357421875
343.9905,186.9889,4688.58,5420.64,137,685000,137,-13062.31640625
341.4573,189.361,5200.37,5374.31,138,690000,138,-13176.0751953125
347.0264,178.4515,5079.1,2929.07,139,695000,139,-13160.4072265625
342.5623,172.8625,4827.07,5083.6,140,700000,140,-12990.32421875
351.4309,207.9311,4592.26,1907.26,141,705000,141,-13872.2109375
356.055,192.1629,4850.87,1815.07,142,710000,142,-14024.65234375
361.0928,196.3542,4567.83,4773.23,143,715000,143,-14027.1513671875
351.7173,191.7859,5174.17,1957.85,144,720000,144,-13850.9794921875
350.2631,193.5496,4877.91,3345.15,145,725000,145,-14229.80078125
353.9776,196.6644,5103.26,5182.05,146,730000,146,-14485.49609375
356.0384,182.4403,3895.67,3868.92,147,735000,147,-13741.697265625
352.909,196.9466,5198.09,5180.22,148,740000,148,-14463.9296875
347.6457,198.5771,4812.34,5291.72,149,745000,149,-14686.396484375
341.7295,173.1963,5027.55,4993.79,150,750000,150,-14135.8759765625
338.6951,179.7505,4733.55,3743.18,151,755000,151,-14518.46875
381.2284,229.041,2789.02,938.07,152,760000,152,-14598.24609375
343.663,185.0746,4867.45,4899.76,153,765000,153,-14634.59375
345.4389,201.9124,5186.2,5300.66,154,770000,154,-15033.728515625
350.3384,201.2423,4654.52,4624.79,155,775000,155,-15075.78515625
347.3301,198.0426,4528.24,981.18,156,780000,156,-15017.5625
352.438,193.27,5091.84,5186.57,157,785000,157,-15175.0400390625
347.2668,186.5018,4843.21,2856.25,158,790000,158,-14859.787109375
349.088,190.7406,4895.37,2003.86,159,795000,159,-15289.5068359375
343.9267,185.1993,5002.09,2239.83,160,800000,160,-15237.5361328125
351.1033,184.1686,4785.13,3871.63,161,805000,161,-15418.5869140625
351.779,182.4468,4776.9,4899.56,162,810000,162,-15181.7900390625
339.3739,181.5136,4994.11,5171.09,163,815000,163,-15508.427734375
356.8464,198.3001,4719.57,3631.22,164,820000,164,-15901.455078125
345.3192,191.5843,4950.67,3390.56,165,825000,165,-15877.3095703125
346.287,200.2816,4362.21,3818.91,166,830000,166,-15807.392578125
347.8448,194.2297,5133.95,5082.15,167,835000,167,-15872.6484375
344.6913,177.4514,3911.79,2688.03,168,840000,168,-15440.2734375
345.5714,178.0415,5023.96,5103.06,169,845000,169,-15768.166015625
354.5913,196.5787,4502.81,4592.45,170,850000,170,-16024.423828125
349.2262,187.7622,5000.49,5254.76,171,855000,171,-15848.5146484375
349.977,189.9947,5116.34,5329.84,172,860000,172,-15756.9296875
343.7569,176.7369,5156.75,5357.51,173,865000,173,-15989.666015625
360.8091,201.6468,4887.63,5246.53,174,870000,174,-16235.103515625
343.3705,184.7131,4936.35,5380.26,175,875000,175,-16196.201171875
355.0183,194.4397,4900.85,5036.65,176,880000,176,-16191.142578125
354.1644,185.4391,4790.18,5164.89,177,885000,177,-16421.271484375
366.3261,213.5054,4339.68,5318.07,178,890000,178,-16685.86328125
341.6451,182.6858,4958.05,5214.73,179,895000,179,-16161.865234375
358.8092,208.5082,5186.27,4789.4,180,900000,180,-16550.833984375
345.98,202.3327,4747.35,5452.05,181,905000,181,-16682.177734375
348.0218,183.9344,5156.41,5361.03,182,910000,182,-16577.47265625
353.9416,189.6649,5133.01,5297.08,183,915000,183,-16231.220703125
354.5784,201.1012,4455.57,5201.63,184,920000,184,-16782.69921875
339.2084,172.7411,4949.41,5062.8,185,925000,185,-16342.7451171875
353.4191,189.5399,4980.95,5440.9,186,930000,186,-16478.23046875
355.9325,209.8866,4293.57,5029.4,187,935000,187,-17240.513671875
349.6856,188.7245,5054.64,5220.31,188,940000,188,-16920.12109375
355.2941,204.0004,4437.9,5358.31,189,945000,189,-16866.90234375
349.2008,212.2902,5138.13,5488.59,190,950000,190,-17107.158203125
348.2519,201.781,4598.2,5205.64,191,955000,191,-17164.509765625
350.8759,198.6579,5129.22,5286.58,192,960000,192,-17172.294921875
340.4221,182.1997,5084.77,5187.25,193,965000,193,-16976.359375
355.1147,196.5565,4716.61,5123.63,194,970000,194,-17228.08203125
360.2728,187.869,4990.7,5327.4,195,975000,195,-17074.990234375
353.6637,187.3915,5181.32,5223.31,196,980000,196,-16805.96484375
357.9744,194.8551,4701.95,5227.43,197,985000,197,-16851.662109375
358.9415,211.027,4962.9,5347.8,198,990000,198,-17644.4921875
352.6921,194.8197,5037.87,5410.73,199,995000,199,-17120.88671875
346.9459,198.3065,4531.64,5366.52,200,1000000,200,-17537.1953125
352.7921,201.7553,5125.1,5410.36,201,1005000,201,-17532.69921875
342.8775,184.5635,5013.47,5434.83,202,1010000,202,-17323.73828125
354.1227,203.9074,4891.97,5479.43,203,1015000,203,-17597.119140625
342.8838,192.2211,5278.98,5505.76,204,1020000,204,-17387.275390625
344.5779,190.6145,4844.69,5489.98,205,1025000,205,-17305.283203125
346.4615,193.47,5247.78,5537.15,206,1030000,206,-17536.701171875
357.0884,197.0543,4992.7,5506.89,207,1035000,207,-17409.0
347.3222,195.9584,4812.13,5496.22,208,1040000,208,-17593.013671875
349.7567,193.8676,4595.62,5495.34,209,1045000,209,-17492.5
350.616,204.1293,5300.54,5539.08,210,1050000,210,-17854.115234375
356.5917,205.2584,4819.13,5556.99,211,1055000,211,-17493.009765625
361.6812,202.2195,5336.4,5606.71,212,1060000,212,-17430.98828125
345.9985,191.0278,4714.91,5562.21,213,1065000,213,-17479.591796875
341.6953,199.0132,5136.04,5195.64,214,1070000,214,-17699.689453125
346.5123,196.6479,4808.81,5569.02,215,1075000,215,-17389.201171875
345.4642,191.2814,4026.64,5377.44,216,1080000,216,-16924.732421875
343.4811,198.3392,4856.92,5568.14,217,1085000,217,-17736.3984375
346.2752,178.9847,4432.5,4415.69,218,1090000,218,-17237.7109375
335.1676,180.004,5087.74,5140.18,219,1095000,219,-17415.126953125
329.1554,172.5423,4584.12,4842.17,220,1100000,220,-17556.46484375
347.2412,186.7243,5003.5,5302.18,221,1105000,221,-17452.904296875
334.2599,186.3611,4993.86,5500.26,222,1110000,222,-17655.677734375
341.8567,188.9672,5026.98,5342.76,223,1115000,223,-17653.9296875
343.898,184.2914,4869.3,5529.45,224,1120000,224,-17623.984375
343.3657,179.6499,5254.78,5334.12,225,1125000,225,-17323.88671875
349.4053,190.4786,4540.4,5024.13,226,1130000,226,-17435.134765625
348.5045,190.9932,5185.38,5475.31,227,1135000,227,-17820.255859375
342.3528,189.2923,4329.46,4135.11,228,1140000,228,-17689.404296875
348.5168,187.5327,4775.98,5279.59,229,1145000,229,-17624.140625
346.6472,196.1375,5171.51,5536.46,230,1150000,230,-17886.654296875
352.0734,212.9391,4800.83,5483.69,231,1155000,231,-18184.28125
349.7867,196.9901,4793.86,5554.95,232,1160000,232,-17962.138671875
352.1126,210.2207,4668.02,5104.48,233,1165000,233,-18219.22265625
351.8822,194.9942,4569.57,5260.17,234,1170000,234,-17617.384765625
355.3091,212.4141,4504.46,5440.64,235,1175000,235,-18143.236328125
361.8233,218.4761,5153.59,5514.84,236,1180000,236,-18332.822265625
346.9866,196.374,4834.37,5451.83,237,1185000,237,-18075.228515625
344.0281,191.7641,5231.83,5254.67,238,1190000,238,-17913.7578125
352.8134,214.7053,5268.41,5495.17,239,1195000,239,-18341.59375
340.5872,200.093,4612.08,5528.44,240,1200000,240,-18206.279296875
350.8706,205.7049,5269.25,5439.26,241,1205000,241,-18312.580078125
347.3435,192.462,5028.37,5518.97,242,1210000,242,-18076.279296875
354.6702,206.8589,4728.28,5532.75,243,1215000,243,-17575.337890625
355.1611,198.6484,4695.1,4989.12,244,1220000,244,-18032.169921875
348.6985,198.1034,4851.16,5539.72,245,1225000,245,-18266.4296875
344.397,195.701,4600.13,5501.3,246,1230000,246,-18330.9140625
344.1212,185.0866,4688.42,5397.78,247,1235000,247,-18281.90234375
330.8934,181.5273,3977.59,4046.39,248,1240000,248,-18149.775390625
343.1214,176.9118,5018.73,5475.6,249,1245000,249,-17775.52734375
335.5499,174.5787,4143.12,5459.54,250,1250000,250,-18213.35546875
347.9876,177.3169,4077.88,5474.79,251,1255000,251,-17859.3828125
326.3366,157.9112,5139.44,5486.98,252,1260000,252,-17827.376953125
337.5495,180.374,4624.17,5490.39,253,1265000,253,-18068.5234375
346.7437,189.3485,4453.12,5224.96,254,1270000,254,-17702.861328125
343.2484,186.3475,4176.71,5505.32,255,1275000,255,-17738.501953125
342.0842,188.299,5086.75,5429.3,256,1280000,256,-17986.61328125
333.0529,181.2765,3947.67,4287.5,257,1285000,257,-17305.2578125
336.6355,181.9188,4969.76,5478.46,258,1290000,258,-17679.6875
328.5549,174.2657,4343.51,4977.63,259,1295000,259,-17973.267578125
337.5168,181.6927,3841.7,5366.56,260,1300000,260,-17220.21875
327.5025,177.386,3262.21,4692.3,261,1305000,261,-17815.505859375
348.2268,205.0345,4589.68,5223.7,262,1310000,262,-18000.103515625
330.6345,184.4675,4002.48,5439.92,263,1315000,263,-17607.041015625
355.0455,193.8913,3987.25,5370.24,264,1320000,264,-16882.728515625
349.8527,206.5369,3885.15,5364.34,265,1325000,265,-17767.986328125
336.4871,224.5157,4407.15,5047.54,266,1330000,266,-15883.3232421875
335.9743,243.0244,3339.23,4857.22,267,1335000,267,-16971.103515625
356.8156,230.18,2734.66,4767.64,268,1340000,268,-17741.138671875
341.2338,245.7938,3276.13,4793.2,269,1345000,269,-17026.3359375
353.7109,289.0311,2636.71,3386.69,270,1350000,270,-17605.78125
338.5813,201.1404,4269.48,3949.53,271,1355000,271,-16902.708984375
349.1214,199.9528,4198.36,4476.62,272,1360000,272,-17907.447265625
364.3311,270.2252,4022.05,4498.26,273,1365000,273,-18431.205078125
358.658,229.6655,4296.98,5263.41,274,1370000,274,-18345.5703125
352.6656,258.7529,4733.01,4723.94,275,1375000,275,-18420.615234375
373.9455,230.7452,4040.34,4450.72,276,1380000,276,-18419.21875
364.4542,294.0985,3960.33,3699.67,277,1385000,277,-18398.048828125
362.8508,200.1686,4679.79,4937.65,278,1390000,278,-17719.966796875
352.7089,214.4623,4363.04,4601.56,279,1395000,279,-18233.767578125
357.5334,212.3627,3548.77,3902.85,280,1400000,280,-18345.482421875
380.8305,239.5663,3486.61,3977.59,281,1405000,281,-18504.078125
387.2084,304.6336,3085.34,2914.65,282,1410000,282,-18227.86328125
389.9744,285.664,2722.45,1281.93,283,1415000,283,-18846.947265625
427.5168,423.4332,1667.47,1083.3,284,1420000,284,-18549.169921875
418.8956,481.5115,1820.33,888.81,285,1425000,285,-18374.759765625
411.6849,419.3101,2511.12,1746.23,286,1430000,286,-17910.697265625
431.6659,480.1896,1635.6,1894.7,287,1435000,287,-17816.609375
414.337,757.9933,1361.73,1183.13,288,1440000,288,-17907.599609375
409.4453,588.3918,1761.38,1747.66,289,1445000,289,-17914.5625
449.5332,356.078,1982.49,1734.4,290,1450000,290,-16530.234375
473.637,384.2423,1315.08,905.93,291,1455000,291,-16985.2109375
425.1125,231.3947,1170.71,1213.63,292,1460000,292,-16737.384765625
451.938,358.1457,1032.24,837.57,293,1465000,293,-16438.396484375
467.2169,394.0281,1246.12,1014.36,294,1470000,294,-17285.66015625
444.6285,470.3004,1578.46,1722.35,295,1475000,295,-18406.728515625
444.7274,467.7551,2292.53,2254.69,296,1480000,296,-19073.166015625
420.3374,277.4898,3716.48,3683.44,297,1485000,297,-17587.150390625
416.1054,249.0256,3520.66,2502.05,298,1490000,298,-17183.783203125
469.0673,305.2743,854.17,661.59,299,1495000,299,-16103.287109375
425.5623,265.1282,3725.98,3380.31,300,1500000,300,-17841.8125
551.6595,324.7712,957.24,639.88,301,1505000,301,-14770.6806640625
419.8134,288.1685,4686.42,4035.42,302,1510000,302,-18204.75
431.7859,278.7223,4351.18,3196.89,303,1515000,303,-18897.61328125
435.8736,343.1963,3605.72,3817.13,304,1520000,304,-18848.98046875
451.4238,613.0065,2352.46,2767.2,305,1525000,305,-18754.44140625
429.8494,236.2869,3875.49,3271.39,306,1530000,306,-17785.189453125
413.0782,255.543,2144.66,1592.15,307,1535000,307,-18147.87890625
422.0057,257.1027,2792.4,3594.55,308,1540000,308,-17996.044921875
416.6706,283.857,1909.97,2214.15,309,1545000,309,-18295.61328125
417.6598,405.9693,1312.59,1245.29,310,1550000,310,-18239.001953125
391.4657,843.6235,1057.95,1095.41,311,1555000,311,-18066.66796875
374.0264,258.5738,1735.46,1942.24,312,1560000,312,-17486.1171875
379.3852,410.0331,1583.71,1542.12,313,1565000,313,-17780.40625
409.9407,629.6603,2590.23,1802.04,314,1570000,314,-17765.9140625
372.9241,358.3087,3177.96,3005.25,315,1575000,315,-18152.455078125
393.0013,583.8506,2395.56,2639.13,316,1580000,316,-18020.83203125
379.6636,525.9996,2855.6,3108.35,317,1585000,317,-18489.767578125
413.2675,840.5674,1704.81,2056.58,318,1590000,318,-17379.91015625
411.8723,885.1034,1565.43,1545.38,319,1595000,319,-18068.314453125
396.1375,933.3773,2138.9,1608.52,320,1600000,320,-18520.521484375
416.7049,521.5631,1053.0,1249.69,321,1605000,321,-17141.673828125
416.5108,559.3112,1454.28,1488.33,322,1610000,322,-17957.197265625
429.9276,1254.0306,1090.52,1679.32,323,1615000,323,-19129.763671875
440.6971,506.7797,1242.72,807.14,324,1620000,324,-19131.564453125
441.0508,495.7129,1064.24,854.32,325,1625000,325,-18818.494140625
422.9347,410.6009,1868.05,1018.43,326,1630000,326,-18555.611328125
419.0604,451.0879,1544.29,1793.03,327,1635000,327,-17712.255859375
432.0052,329.4445,1292.01,1996.75,328,1640000,328,-17451.83203125
471.8353,716.9528,792.36,602.31,329,1645000,329,-17982.318359375
502.1489,1244.3402,541.79,474.01,330,1650000,330,-19403.236328125
525.6511,779.3999,534.32,389.8,331,1655000,331,-17116.1796875
547.8389,470.6376,264.45,293.04,332,1660000,332,-15482.60546875
503.6678,1952.2789,637.52,604.61,333,1665000,333,-19494.98046875
449.3074,1252.4399,1194.9,1578.58,334,1670000,334,-19219.787109375
459.1697,1786.2011,1186.51,1216.45,335,1675000,335,-19329.50390625
447.351,712.7484,885.11,997.38,336,1680000,336,-18326.451171875
479.4484,1178.6225,816.38,743.56,337,1685000,337,-18583.638671875
481.1719,1491.7383,993.69,1036.8,338,1690000,338,-18663.263671875
458.5829,568.1453,1089.65,1242.05,339,1695000,339,-19443.23828125
517.2264,810.4711,525.68,718.59,340,1700000,340,-17507.1171875
472.9557,1674.49,1225.86,1446.37,341,1705000,341,-19587.39453125
468.923,881.4492,1295.61,675.23,342,1710000,342,-19189.1484375
459.1239,1343.4921,908.6,1611.76,343,1715000,343,-19475.634765625
495.2196,1221.3759,599.07,473.81,344,1720000,344,-17419.94921875
479.2998,1333.7419,454.06,502.5,345,1725000,345,-19216.755859375
471.3116,1125.9925,1219.83,937.71,346,1730000,346,-18811.80859375
478.5892,1320.2468,530.94,517.04,347,1735000,347,-19578.548828125
459.2266,944.5933,1247.04,1302.29,348,1740000,348,-19184.15625
460.8616,1147.9567,1058.89,1168.85,349,1745000,349,-19524.818359375
484.6338,1165.3727,885.51,941.21,350,1750000,350,-19635.55859375
438.1788,727.2012,2451.19,2874.04,351,1755000,351,-19059.08203125
480.9999,1126.1242,848.06,995.43,352,1760000,352,-19492.556640625
454.2523,783.6407,2591.7,3221.5,353,1765000,353,-18707.078125
473.6999,1213.0892,1328.4,1063.65,354,1770000,354,-19623.650390625
434.5939,641.4675,2550.59,3451.28,355,1775000,355,-19201.7734375
436.6468,572.3042,2911.11,2351.62,356,1780000,356,-19370.435546875
463.8501,1081.0247,1417.24,1469.34,357,1785000,357,-18270.603515625
452.7909,928.8451,1178.34,1629.46,358,1790000,358,-19501.853515625
493.4408,1262.7082,504.98,835.75,359,1795000,359,-18779.8046875
461.0984,1014.3365,997.45,1412.86,360,1800000,360,-18191.275390625
480.1068,1567.377,609.2,861.45,361,1805000,361,-19700.076171875
494.1483,1311.1208,1250.38,895.25,362,1810000,362,-18206.04296875
490.9893,1235.7189,669.93,852.62,363,1815000,363,-19151.890625
479.726,1262.2764,814.2,783.9,364,1820000,364,-18625.8203125
486.1587,1435.5875,606.91,685.17,365,1825000,365,-19705.7578125
510.3794,937.3337,566.02,597.38,366,1830000,366,-14881.591796875
509.2031,1274.8006,584.67,542.99,367,1835000,367,-19460.7265625
482.9517,1242.7396,595.57,620.32,368,1840000,368,-19218.541015625
531.1313,1393.5383,312.43,293.49,369,1845000,369,-19735.119140625
501.7769,1443.5222,491.16,708.98,370,1850000,370,-19728.724609375
530.1563,1362.7786,358.19,334.52,371,1855000,371,-18710.337890625
517.4037,1246.6336,370.16,354.89,372,1860000,372,-19746.197265625
513.4704,1051.3802,406.81,415.34,373,1865000,373,-19258.861328125
529.8661,1222.5399,323.76,338.0,374,1870000,374,-19632.3828125
538.0079,1256.6054,254.64,235.42,375,1875000,375,-19688.08203125
571.7074,1591.5599,245.16,260.37,376,1880000,376,-19777.294921875
530.2705,2242.8614,301.44,303.54,377,1885000,377,-19763.150390625
526.8289,1041.0608,266.65,278.84,378,1890000,378,-19736.376953125
562.6358,1880.4078,284.49,292.53,379,1895000,379,-19774.833984375
541.1447,2072.2845,250.87,255.44,380,1900000,380,-19759.4453125
534.5679,1904.8897,285.36,297.58,381,1905000,381,-19775.0
537.0143,1707.2353,274.91,284.6,382,1910000,382,-19783.8125
525.8388,920.0401,293.12,303.63,383,1915000,383,-19417.15234375
603.0529,1739.7405,233.08,228.62,384,1920000,384,-19738.3125
551.3214,1371.3097,272.22,270.97,385,1925000,385,-19783.06640625
568.3735,2295.1187,264.76,259.35,386,1930000,386,-19788.2734375
574.9342,1144.7787,283.68,279.12,387,1935000,387,-19584.0078125
614.247,2062.185,261.83,262.89,388,1940000,388,-19802.322265625
575.202,1997.556,254.59,254.37,389,1945000,389,-19803.326171875
605.172,1751.9979,253.42,248.43,390,1950000,390,-19797.095703125
583.9667,2347.4181,279.47,283.11,391,1955000,391,-19802.232421875
539.6377,2485.48,303.39,310.98,392,1960000,392,-19475.775390625
530.7059,1237.827,317.48,317.06,393,1965000,393,-19735.029296875
