Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time,Reward Loss
1073.29,845000,169,1046.2,37.3836,36.5293,169,-9115.40625
1221.6,850000,170,988.06,22.7684,25.5467,170,-4885.2841796875
1155.89,855000,171,974.21,19.9611,26.1784,171,-3977.78662109375
1118.28,860000,172,1059.68,45.1982,36.7631,172,-8858.8662109375
1030.63,865000,173,1030.5,37.9349,35.7445,173,-9431.1435546875
1046.0,870000,174,1062.25,35.1277,35.4002,174,-9445.041015625
1043.02,875000,175,1043.28,37.0322,36.5225,175,-9397.5810546875
938.98,880000,176,1029.17,41.9112,34.5885,176,-9450.09765625
1060.01,885000,177,1059.64,40.3294,35.3348,177,-9107.23046875
636.74,890000,178,497.78,51.048,34.842,178,-8958.2861328125
192.04,895000,179,192.18,60.6523,36.1792,179,-8909.65625
181.23,900000,180,205.17,27.6714,32.3752,180,-8257.779296875
732.84,905000,181,673.29,45.007,31.6285,181,-8544.8662109375
434.85,910000,182,422.84,19.5818,27.4793,182,-2777.838134765625
220.34,915000,183,226.33,21.2809,28.9303,183,-3760.41162109375
214.19,920000,184,206.93,90.1661,30.5443,184,-8592.251953125
1005.82,925000,185,1007.21,48.4793,39.2804,185,-9908.7783203125
1009.27,930000,186,1009.88,36.7642,39.4744,186,-9950.96875
973.33,935000,187,973.63,54.3229,40.018,187,-9965.9931640625
972.75,940000,188,974.04,33.0397,35.0487,188,-9478.0419921875
845.0,945000,189,971.15,32.0739,34.2535,189,-9427.849609375
1039.93,950000,190,1040.17,40.8989,36.1934,190,-10727.5966796875
115.05,955000,191,66.56,51.0102,30.8824,191,-9122.21484375
442.49,960000,192,359.27,88.8731,29.0483,192,-8224.9287109375
1055.62,965000,193,1055.04,36.3014,37.4808,193,-10136.9814453125
1014.83,970000,194,1014.83,36.0922,34.2413,194,-10276.7109375
1027.26,975000,195,1023.28,32.1816,26.4596,195,-8619.1689453125
1045.54,980000,196,1045.69,33.9253,35.1319,196,-10876.208984375
1041.49,985000,197,1053.93,25.5239,36.4198,197,-10900.60546875
1055.78,990000,198,1056.2,34.8676,36.2402,198,-10422.580078125
1054.28,995000,199,1054.28,49.3799,37.1691,199,-11290.9521484375
