Real Sto Return,Running Reverse KL,Itration,Running Forward KL,Real Det Return
4856.7,68.5468,131,76.279,4468.82
4199.89,64.7684,132,71.8569,4609.34
3718.64,53.6765,133,66.9663,4226.16
4446.46,70.7923,134,77.4978,4573.18
4627.19,56.5342,135,68.2992,5026.89
4847.32,72.252,136,83.5042,5135.96
4036.71,69.1933,137,77.3719,4929.53
4232.92,68.1881,138,74.1066,4008.68
3298.93,69.6518,139,73.8825,4005.08
3624.92,76.5378,140,80.63,4340.88
4725.76,55.6703,141,69.1871,4099.73
4348.99,67.2291,142,71.0754,3760.08
4562.83,64.9397,143,72.2822,4577.92
3810.29,60.425,144,71.8054,3902.11
4400.91,73.0597,145,79.2732,4817.18
4202.94,69.2398,146,73.4495,4620.35
3888.8,70.8106,147,73.3795,4933.8
4391.6,70.5751,148,79.7892,5101.44
3530.51,77.74,149,82.026,4519.04
4745.51,74.0557,150,80.1095,5116.35
4493.32,73.9403,151,81.4257,4941.34
4915.79,71.5856,152,80.0778,4890.27
3998.64,66.6527,153,74.5166,4482.0
3766.39,68.5138,154,78.7474,4693.17
4917.91,77.3661,155,81.3657,5141.07
4831.31,69.6422,156,79.4064,3581.86
4076.7,55.0855,157,68.5688,4738.43
3259.2,62.4835,158,71.4831,4004.4
4323.79,75.3554,159,79.6755,4517.04
4750.18,73.103,160,79.8199,4292.55
4844.36,75.2753,161,80.1652,5217.16
4190.1,70.1106,162,73.4184,4479.12
4662.88,64.1763,163,77.405,5063.57
4204.57,75.1081,164,80.7964,5181.32
4898.85,69.5555,165,78.4537,5033.34
4207.38,69.584,166,76.5283,4961.17
4434.34,76.0715,167,80.2858,4997.9
4506.35,75.6644,168,81.2259,4939.58
4717.18,68.3596,169,79.8714,5074.58
4415.73,72.3318,170,77.3171,4753.54
4653.5,73.9341,171,80.3546,4900.23
4349.98,68.1967,172,72.6677,4650.83
5093.17,69.5019,173,78.2504,5395.14
4994.26,68.2481,174,73.2462,5036.85
4797.7,69.568,175,78.9427,5279.95
4965.63,68.8312,176,73.3615,5469.92
4614.72,69.1853,177,75.9537,5105.59
4912.08,72.541,178,77.9554,5342.31
5168.71,61.4995,179,69.0914,5280.12
4584.78,65.2859,180,73.2084,4859.77
4701.98,64.4595,181,74.6832,5335.71
4975.96,75.0489,182,79.4541,5284.6
5181.49,65.4213,183,70.8437,4157.31
4853.0,80.3812,184,82.1011,5129.39
4890.91,79.8611,185,82.2185,5427.27
4657.68,74.6448,186,80.0411,4679.34
4609.52,79.2045,187,81.3583,5392.56
4593.7,77.618,188,81.8025,5225.08
4871.1,76.9798,189,80.4693,5267.12
4847.62,76.1103,190,79.3245,5035.12
4973.48,73.7766,191,78.8238,5229.02
4821.94,73.4878,192,79.3499,4896.67
4527.75,73.046,193,79.8347,4780.02
5067.96,75.8292,194,79.7972,5360.3
4626.25,71.5967,195,77.8032,5185.8
5112.35,67.9205,196,76.0525,5410.82
5099.6,72.9648,197,80.2693,5471.6
4817.21,69.6254,198,79.2735,5224.36
5224.52,74.5279,199,78.3896,5244.02
5044.4,77.299,200,80.5419,5311.33
5198.72,76.0359,201,80.4605,5104.34
5033.63,76.0109,202,79.9359,5142.83
4571.98,73.9949,203,79.1243,4811.35
4579.37,76.2106,204,79.04,4578.52
4671.9,75.6396,205,81.3866,5338.36
5112.48,77.2715,206,80.7247,5277.38
4878.48,76.3709,207,80.069,5449.29
4604.06,72.0919,208,71.922,5152.99
5249.06,75.4311,209,80.5538,5160.24
5139.59,77.9913,210,79.9748,5436.32
5133.46,76.0549,211,78.6476,5366.83
5192.39,78.6483,212,79.9636,5346.14
4747.71,78.7734,213,80.7472,5318.94
4757.48,71.3792,214,71.1241,4959.5
5213.52,79.4732,215,81.6365,5313.05
4885.31,81.5535,216,81.3636,5127.86
4577.29,79.0627,217,81.895,4842.58
4527.47,77.3419,218,80.4024,5372.99
4736.73,74.1286,219,73.9537,5242.28
4073.47,77.9282,220,80.3658,5082.42
5033.18,79.1112,221,79.9882,5443.87
4359.26,75.3406,222,78.615,5250.69
4533.9,73.6552,223,80.1302,4782.53
4905.18,69.2218,224,72.0789,4845.01
4852.24,76.9654,225,79.5694,5512.27
4692.42,74.5483,226,80.1784,4798.39
4484.51,75.5117,227,80.5226,5031.06
4360.13,73.8666,228,79.7645,4105.74
-700.51,177.2898,229,73.4059,-454.15
3285.26,82.558,230,74.3336,4277.4
771.94,85.9448,231,64.5124,1191.88
1216.13,75.0668,232,69.5321,1298.3
2356.72,82.2492,233,81.074,2691.7
4024.85,84.5622,234,84.3345,3240.96
4131.39,73.3854,235,79.5756,4593.24
4828.15,83.646,236,82.2216,5183.43
4193.34,77.1185,237,78.9265,5301.14
4401.11,76.918,238,78.8827,5101.41
5057.58,69.7925,239,75.8148,5234.78
4902.35,70.4899,240,76.1288,5066.48
4513.77,75.1651,241,78.9975,4916.29
4912.87,69.7109,242,76.0593,4754.7
4999.48,74.7599,243,77.8962,5163.04
4697.41,79.226,244,79.8621,4195.11
4940.81,72.8976,245,77.2706,5336.43
4931.7,75.281,246,80.5701,5380.58
5155.6,72.8654,247,78.0561,5503.89
4766.18,74.6565,248,78.6163,5072.11
4864.88,72.2752,249,76.4631,5063.48
4888.89,71.2529,250,76.8175,5494.98
4965.11,73.366,251,79.7674,5423.63
5063.85,77.0341,252,80.0579,5161.41
4576.63,68.062,253,71.9167,5470.48
4573.6,77.5393,254,79.353,5152.64
4660.98,76.3715,255,80.3375,5473.6
4502.66,77.4759,256,80.7065,5219.32
4969.35,72.3399,257,75.0819,5522.74
4939.39,77.0176,258,81.061,5403.16
4927.65,72.4988,259,74.1843,5141.04
5023.84,77.3707,260,80.3122,5355.31
4766.26,75.4315,261,80.0138,5561.34
5017.15,79.2821,262,80.6054,5116.35
5112.48,79.0875,263,80.6662,4724.92
5285.21,72.3465,264,78.0685,5195.97
4879.28,79.5174,265,79.6403,5208.03
4101.81,69.6373,266,71.0205,5306.65
4805.78,73.1956,267,78.2277,5100.72
4429.84,70.0551,268,76.3678,4992.18
-1461.76,162.8643,269,109.0609,-1759.41
3259.81,50.4918,270,70.6177,3726.97
3891.65,57.1531,271,69.6179,5019.26
3805.78,69.419,272,75.8229,4823.54
4604.76,71.8107,273,76.8704,4478.61
4216.56,70.8456,274,77.7765,4810.37
4406.34,75.1885,275,78.1234,4978.67
4672.21,76.6969,276,79.9436,4872.24
4790.32,71.3791,277,78.3004,5209.52
4429.5,72.5467,278,77.0142,5375.1
5181.03,69.4968,279,77.8529,5540.68
4685.18,65.4714,280,71.2857,5100.01
4952.38,68.7598,281,76.3578,5211.53
3784.37,61.9653,282,69.4912,5127.23
4662.14,68.7044,283,76.5687,4202.3
4168.03,66.8244,284,72.2277,4697.76
4262.46,68.6039,285,75.898,5252.46
4775.77,71.5113,286,77.2272,5078.64
4948.56,69.971,287,76.9383,5567.53
4626.49,70.8008,288,76.8623,5042.58
5115.28,68.6065,289,74.2554,4857.92
4591.64,70.4419,290,77.8326,4633.28
5266.27,70.7457,291,77.4312,5675.58
4554.28,70.9121,292,76.6948,5454.87
4847.99,72.2746,293,78.8041,5526.63
5070.53,74.905,294,77.7737,5189.49
5310.96,71.8276,295,77.7248,5640.94
4579.14,73.3965,296,77.7034,5253.91
4328.05,72.5037,297,77.252,5595.01
4341.93,68.0541,298,78.5954,5311.03
4608.49,70.6896,299,75.7583,5350.32
4674.83,63.6096,300,72.2136,5298.98
5287.39,71.4619,301,77.6145,5615.09
4846.37,72.4034,302,78.6404,5602.43
4511.87,71.4521,303,78.3614,5540.03
4739.34,72.7015,304,78.1352,5365.57
5208.06,74.6964,305,79.5715,5486.84
5208.47,72.5372,306,78.6824,5423.76
5305.52,71.3464,307,77.8468,5670.71
5308.55,77.4384,308,78.7853,5572.8
5151.36,75.9994,309,79.2187,5442.68
5048.02,72.0505,310,78.7312,5419.36
4560.6,60.8053,311,69.0707,5683.39
5238.62,75.3267,312,79.2563,5372.51
4721.33,72.0657,313,77.3248,5476.08
4756.52,65.612,314,71.6842,5135.83
3972.82,72.7957,315,77.4808,5046.14
4417.37,62.6056,316,74.5274,4765.93
5259.36,69.3126,317,75.5268,5623.07
5072.66,71.7244,318,78.2621,5603.46
5306.47,67.9522,319,75.6736,5667.0
5182.19,68.6691,320,76.796,5181.79
5035.76,67.7838,321,74.1381,5515.78
5047.66,66.5699,322,75.2817,5250.04
5090.05,67.7417,323,75.33,5714.75
4537.32,67.4418,324,75.0824,5676.95
5223.24,70.6281,325,77.4925,5591.33
5226.81,64.0994,326,72.0768,5763.39
5318.72,69.2524,327,76.4307,5397.48
5405.79,68.3424,328,76.4969,5737.96
4951.64,67.683,329,75.9483,5734.93
4879.04,69.6321,330,77.1838,5524.41
5366.61,70.609,331,78.3253,5695.3
5054.34,72.0197,332,77.9108,5688.92
5046.33,64.757,333,72.9047,5290.99
4845.91,72.7316,334,78.1682,5691.94
4939.69,73.2496,335,77.657,5435.38
4987.92,70.3099,336,76.0482,5728.31
5290.32,70.38,337,77.4802,5587.05
5327.6,73.76,338,78.9403,5536.09
5235.19,67.7714,339,76.3844,5812.19
4647.39,69.7075,340,77.4005,5685.09
5383.36,74.9832,341,77.7862,5173.86
5232.02,68.8208,342,76.8558,5660.94
5398.08,70.0784,343,76.3427,5729.49
5174.08,72.8397,344,77.2913,5689.92
5039.81,73.0107,345,77.2491,5585.6
5398.53,72.785,346,77.4851,5705.76
5111.27,71.4576,347,76.9956,5677.69
5057.31,70.0235,348,77.401,5523.15
5137.95,71.5802,349,78.4368,5732.66
4694.39,71.1178,350,76.9909,5644.19
5083.71,69.7955,351,76.5562,5635.92
5150.02,70.7616,352,77.3131,5819.43
4874.29,62.7917,353,72.6883,5791.55
4958.36,67.2856,354,74.8298,5762.21
4562.85,65.1962,355,76.4293,5622.82
5080.3,71.4109,356,78.5486,5518.14
5200.19,69.6407,357,77.8761,5804.49
4581.32,67.1076,358,76.8813,5764.19
5379.68,71.6942,359,77.4309,5712.68
4922.2,64.4495,360,73.0218,5799.82
4599.26,62.1948,361,73.0467,5731.59
5245.38,68.6513,362,77.0491,5769.68
5361.17,70.5057,363,76.8992,5163.08
5168.33,65.9883,364,73.3393,5713.07
5158.11,68.7818,365,77.2721,5537.09
5499.94,65.035,366,75.0304,5537.97
4581.78,64.0195,367,72.8294,5738.45
5357.29,68.7622,368,76.269,5662.63
4903.39,58.3102,369,72.3575,5803.1
5127.36,72.2489,370,77.5682,5747.69
5169.11,65.2059,371,75.4803,5807.14
5200.59,72.2759,372,77.4399,5706.52
5188.74,65.8545,373,76.7395,5767.62
5009.99,66.5043,374,76.3453,5768.31
4889.07,65.5637,375,76.8347,5708.0
5311.98,70.3216,376,76.7779,5746.41
4978.27,69.0207,377,76.5771,5328.88
5356.64,66.3154,378,76.0776,5804.2
5349.02,69.3781,379,76.4829,5780.32
5252.94,63.1087,380,74.8294,5916.8
4784.24,64.5904,381,76.2957,5688.44
5171.95,59.2873,382,72.2472,5790.2
4889.68,61.8651,383,75.0272,5853.09
5208.12,64.5543,384,75.8407,5707.97
5103.39,65.5725,385,75.8928,5617.56
-2505.52,249.4592,386,109.1998,-2892.82
371.79,85.5735,387,75.9473,270.45
2760.92,97.2819,388,79.9106,3479.02
4156.16,69.3198,389,78.3286,4688.04
4113.65,75.3807,390,78.6264,5522.75
4448.54,99.9063,391,79.0426,5466.2
4252.13,82.2717,392,76.4621,5257.22
3163.89,139.0623,393,71.8743,4135.74
2563.15,87.8064,394,74.1872,4589.82
4763.7,78.3069,395,77.9762,4997.07
4994.9,78.334,396,77.8862,5280.18
-383.99,205.4031,397,71.6927,-428.71
-222.73,154.042,398,70.1827,-109.35
1574.61,111.5625,399,78.7573,1962.93
2398.51,130.3927,400,77.7857,2373.17
2322.13,72.4704,401,76.8851,3000.16
-862.01,293.7768,402,78.6079,-778.15
436.58,108.2908,403,72.5544,7.5
1568.94,107.9095,404,80.7859,2369.57
3635.22,88.4373,405,77.9062,2866.35
3826.72,88.1958,406,83.9306,2939.06
3840.4,80.0769,407,77.6882,3518.18
3493.84,72.6413,408,79.4204,4063.52
3476.77,62.0059,409,76.0702,3403.04
4230.16,67.2533,410,77.0291,3971.03
3676.47,75.426,411,77.026,3807.51
931.26,145.8946,412,73.9705,648.65
