Itration,Real Det Return,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time,Running Reverse KL
91,1518.98,455000,-1418.0059814453125,61.3769,606.3,91,26.7884
92,1181.33,460000,-1493.7093505859375,62.579,600.98,92,27.5141
93,1241.01,465000,-1537.32275390625,63.6028,483.89,93,27.6421
94,1052.5,470000,-1585.202880859375,63.7648,623.25,94,27.6413
95,1166.43,475000,-1630.557373046875,64.9106,555.52,95,28.5444
96,1126.77,480000,-1643.5379638671875,64.5362,423.88,96,28.1191
97,1030.55,485000,-1681.49267578125,64.0907,565.88,97,27.7434
98,1197.43,490000,-1592.0450439453125,61.6638,463.4,98,26.5505
99,1198.0,495000,-1722.7305908203125,63.8287,452.06,99,27.3792
100,1183.05,500000,-1731.607177734375,63.4859,640.0,100,27.4165
101,1173.79,505000,-1715.22900390625,61.3215,512.31,101,26.081
102,1136.17,510000,-1840.8209228515625,64.8533,586.12,102,27.8563
103,1296.63,515000,-1703.67529296875,59.948,610.12,103,26.4708
104,1278.05,520000,-1758.2186279296875,60.944,678.47,104,26.1697
105,2109.7,525000,-1470.6956787109375,57.486,1010.67,105,28.5505
106,1419.47,530000,-1830.8565673828125,60.0221,738.4,106,25.7237
107,1124.46,535000,-1983.9464111328125,65.8176,468.01,107,28.1223
108,1234.98,540000,-1844.5274658203125,60.6622,700.24,108,26.0087
109,1040.56,545000,-2058.634521484375,65.7819,611.13,109,28.7622
110,1245.22,550000,-1957.4422607421875,61.7101,677.64,110,26.4166
111,1412.8,555000,-1968.781005859375,60.4825,830.07,111,26.4539
112,1751.03,560000,-1879.0125732421875,59.5615,942.51,112,26.0769
113,1310.11,565000,-1965.5458984375,59.4629,674.86,113,25.415
114,1205.42,570000,-2057.66259765625,60.7378,531.2,114,25.687
115,1641.34,575000,-1777.2994384765625,54.7891,1106.09,115,23.7472
116,2006.18,580000,-1893.830078125,56.8312,745.45,116,23.624
117,1617.7,585000,-2098.152587890625,60.6117,922.44,117,26.0906
118,1321.01,590000,-2143.682373046875,59.5582,761.83,118,25.0521
119,1837.92,595000,-2025.9737548828125,58.94,836.37,119,25.2653
120,1272.03,600000,-2241.46142578125,61.5491,805.84,120,26.3236
121,2139.39,605000,-1972.723388671875,56.1019,1124.05,121,23.4923
122,1576.66,610000,-2254.07421875,60.2071,867.04,122,25.4848
123,1338.46,615000,-2197.213134765625,57.7047,753.83,123,23.5092
124,1930.24,620000,-1925.2972412109375,55.8375,1125.78,124,23.5244
125,1457.69,625000,-2064.285400390625,57.4919,724.46,125,22.9747
126,1549.81,630000,-2320.74462890625,57.4025,762.98,126,24.324
127,2004.58,635000,-1904.30908203125,54.8132,1544.56,127,23.3293
128,2394.69,640000,-1922.656982421875,54.5942,1290.29,128,23.486
129,2527.55,645000,-2030.041259765625,54.8023,1936.07,129,22.8058
130,1804.49,650000,-2077.455810546875,53.502,1062.57,130,22.0507
131,2310.03,655000,-2038.5079345703125,56.3023,1538.25,131,23.8505
132,2357.1,660000,-2305.048095703125,56.4902,1248.86,132,23.0898
133,2109.74,665000,-2201.173583984375,55.5008,1339.99,133,24.138
134,1604.49,670000,-2540.79736328125,58.9055,758.75,134,24.5783
135,2097.21,675000,-2373.01513671875,56.4324,1248.18,135,23.9388
136,1741.23,680000,-2390.5048828125,55.2707,952.43,136,22.689
137,1916.89,685000,-1980.302978515625,55.9825,1524.69,137,26.3665
138,2269.02,690000,-2567.892333984375,57.3996,1330.94,138,23.6098
139,2567.9,695000,-1682.7996826171875,55.1098,1792.77,139,28.6433
140,2217.15,700000,-2270.0146484375,54.5708,1492.13,140,22.8801
141,1527.69,705000,-2523.726318359375,57.0532,810.9,141,24.2583
142,2126.91,710000,-2825.3916015625,59.2961,1632.44,142,24.722
143,2602.56,715000,-2109.86328125,54.5405,1545.47,143,24.7727
144,2707.69,720000,-1916.41259765625,55.2052,2279.08,144,27.2867
145,2815.05,725000,-2002.3836669921875,53.1617,1769.14,145,26.1433
146,2341.56,730000,-2449.728271484375,55.9518,1585.47,146,24.7915
147,2042.86,735000,-2355.99169921875,56.3334,1553.51,147,25.9175
148,1620.4,740000,-2964.88916015625,56.9007,1093.01,148,23.7154
149,1960.54,745000,-2737.156982421875,55.3927,1347.43,149,23.0035
150,2875.04,750000,-2041.0804443359375,53.6767,1795.3,150,27.1523
151,2249.91,755000,-2285.936279296875,54.7352,1200.88,151,25.24
152,2344.98,760000,-2643.2578125,54.7586,1162.09,152,23.3226
153,2150.25,765000,-2477.225830078125,55.0401,1563.76,153,23.4272
154,2502.74,770000,-2323.411376953125,52.9577,1237.8,154,24.0227
155,2637.78,775000,-2491.807861328125,56.0393,1891.16,155,28.1691
156,2600.12,780000,-2508.12109375,55.9094,1440.59,156,28.1024
157,2477.38,785000,-2029.9415283203125,56.0045,1922.62,157,34.4362
158,2180.24,790000,-2738.362060546875,55.2687,1496.64,158,24.3662
159,1456.97,795000,-2782.65771484375,56.8707,1135.49,159,25.6504
160,2600.11,800000,-2390.95361328125,53.8608,1430.2,160,27.2095
161,2347.72,805000,-2787.344482421875,56.6899,1605.87,161,25.1916
162,2061.46,810000,-2783.641845703125,55.7298,1579.51,162,24.2345
163,2595.92,815000,-2157.919921875,52.9265,2161.73,163,28.7925
164,2613.43,820000,-2587.556396484375,54.8237,1803.21,164,27.3214
165,3184.89,825000,-2031.3773193359375,56.1342,2442.92,165,33.4972
166,2939.4,830000,-2615.051025390625,53.0828,2104.15,166,24.4539
167,2997.19,835000,-2204.4912109375,55.5275,2224.18,167,33.3792
168,3126.44,840000,-2443.135986328125,53.7085,2223.29,168,27.8382
169,2712.07,845000,-2543.7265625,53.2781,2089.34,169,26.7588
170,3149.21,850000,-2646.575927734375,52.8637,2451.3,170,24.7088
171,2483.47,855000,-2600.632568359375,52.307,1777.83,171,23.7736
172,2928.97,860000,-2219.9482421875,54.1756,2438.34,172,34.5247
173,3152.47,865000,-2335.10400390625,53.5735,2192.96,173,28.8884
174,3287.58,870000,-2526.7216796875,53.3297,2473.21,174,27.9866
175,2581.13,875000,-3599.069580078125,57.2689,1868.35,175,23.9758
176,3094.79,880000,-2436.368408203125,54.579,2360.92,176,30.5719
177,3160.55,885000,-2570.02685546875,53.9928,2238.67,177,28.9111
178,3002.17,890000,-2389.575927734375,56.8627,2474.84,178,36.9666
179,3330.86,895000,-2168.603759765625,54.8576,2792.36,179,36.2467
180,2822.07,900000,-2567.98486328125,51.8784,2452.76,180,27.3232
181,2729.77,905000,-2904.3798828125,55.3316,2506.15,181,29.2348
182,3251.34,910000,-2179.698486328125,54.042,2747.9,182,34.9927
183,3257.35,915000,-2881.170166015625,54.7568,2543.61,183,28.9596
184,3295.34,920000,-3383.002685546875,55.9344,2547.58,184,26.2981
185,2896.47,925000,-2474.5244140625,55.3915,2122.89,185,34.7274
186,2456.67,930000,-4045.654296875,57.8828,1521.18,186,24.6964
187,3325.28,935000,-2630.870361328125,56.3586,2748.69,187,35.4433
188,2891.2,940000,-3387.57080078125,54.2299,1719.12,188,24.1724
189,3022.1,945000,-3388.48388671875,54.0861,1837.67,189,24.0065
190,2943.59,950000,-3288.8037109375,54.9547,1899.85,190,27.5153
191,3401.87,955000,-2867.881591796875,52.492,2731.39,191,27.4243
192,3257.05,960000,-3165.7529296875,56.7207,2650.21,192,32.2848
193,3413.21,965000,-2914.9296875,52.217,2379.88,193,28.1838
194,3219.08,970000,-3270.818603515625,53.5667,2665.38,194,26.6863
195,2575.7,975000,-3236.92333984375,53.9145,2288.77,195,27.5386
196,2864.91,980000,-3650.3525390625,54.3063,1569.22,196,24.6529
197,3358.56,985000,-2973.1337890625,53.3434,2608.01,197,28.0641
198,3353.74,990000,-2673.614990234375,55.7426,2287.88,198,37.5791
199,2785.13,995000,-3006.254638671875,54.7675,2593.37,199,29.7302
200,3379.6,1000000,-3131.77685546875,54.6101,1901.32,200,30.1969
201,3112.67,1005000,-3478.701904296875,54.5407,2245.27,201,28.5498
202,3185.73,1010000,-3588.143798828125,55.0833,1990.18,202,27.2946
203,3051.69,1015000,-3672.58447265625,55.0184,2287.88,203,28.489
204,3391.34,1020000,-2944.867919921875,53.2521,2581.34,204,30.9673
205,3214.94,1025000,-3666.977783203125,55.4361,2075.59,205,29.0504
206,3351.76,1030000,-3474.0771484375,53.9775,2646.62,206,28.8724
207,3272.31,1035000,-3799.7021484375,56.7006,2441.13,207,29.5321
208,3235.19,1040000,-2940.528076171875,57.778,2499.71,208,39.6836
209,3247.19,1045000,-3164.958251953125,56.319,2440.01,209,37.3117
210,2590.72,1050000,-3431.062255859375,56.8305,1942.4,210,35.9295
211,3137.37,1055000,-3858.00732421875,57.3021,2481.11,211,30.8686
212,2901.23,1060000,-3994.341796875,55.1868,1719.07,212,26.1556
213,3246.23,1065000,-3879.01123046875,56.2456,2142.45,213,29.9652
214,2175.99,1070000,-4734.7890625,58.4745,2034.92,214,26.7648
215,3177.97,1075000,-3495.171142578125,55.8696,2002.4,215,30.4068
216,3309.43,1080000,-3168.437255859375,54.8048,2441.13,216,33.8746
217,3357.67,1085000,-3267.53369140625,56.109,2362.5,217,35.3279
218,3200.59,1090000,-3705.085693359375,56.6338,2517.06,218,34.1025
219,2934.19,1095000,-3979.28759765625,54.6948,2138.37,219,28.6163
220,2928.2,1100000,-3461.016845703125,55.6071,2078.08,220,35.6336
221,2973.61,1105000,-4526.32275390625,55.6816,2318.02,221,25.8544
222,3187.77,1110000,-3516.742431640625,54.8052,2028.16,222,33.1712
223,2461.94,1115000,-3829.91796875,54.4856,2183.33,223,30.1717
224,3140.33,1120000,-3495.400146484375,54.0038,2605.76,224,32.3964
225,2797.07,1125000,-4010.76513671875,56.0977,2175.18,225,32.2539
226,3335.82,1130000,-3895.6650390625,53.7952,2313.12,226,30.5827
227,2730.14,1135000,-4706.009765625,56.5565,1832.12,227,28.1096
228,2801.81,1140000,-4681.7265625,55.5063,2570.57,228,28.8823
229,2535.82,1145000,-4320.64111328125,54.9801,2094.6,229,28.2341
230,3129.17,1150000,-3802.8349609375,54.0593,2051.28,230,28.6903
231,1683.47,1155000,-5585.03759765625,57.4854,1120.96,231,24.7515
232,3505.87,1160000,-4178.2685546875,54.4663,2080.02,232,29.6686
233,2597.61,1165000,-4290.564453125,54.0661,1573.97,233,28.9652
234,3546.34,1170000,-4683.236328125,54.7418,2439.59,234,27.4582
235,2835.94,1175000,-5146.7294921875,55.3645,1666.77,235,25.7138
236,3140.26,1180000,-5062.00341796875,55.4413,2757.97,236,27.589
237,2858.07,1185000,-4591.00341796875,54.7357,2311.24,237,28.5575
238,3394.3,1190000,-5026.9638671875,53.4841,2552.23,238,24.6673
239,2901.97,1195000,-4162.5830078125,54.2886,2203.42,239,30.7587
240,2789.38,1200000,-4475.3330078125,54.7317,2455.91,240,31.155
241,3263.76,1205000,-4618.6298828125,52.6248,2295.03,241,25.9244
242,2568.71,1210000,-5308.57666015625,55.2478,2574.24,242,26.1625
243,2721.4,1215000,-5488.966796875,54.99,1631.17,243,24.2804
244,2666.74,1220000,-5247.32373046875,54.8223,2113.24,244,26.9741
245,3071.27,1225000,-4761.77978515625,53.3671,2037.98,245,27.2541
246,3006.84,1230000,-4808.931640625,54.6694,1989.01,246,27.8926
247,3412.63,1235000,-4691.51123046875,53.6447,2013.98,247,29.0445
248,3350.81,1240000,-4912.62255859375,54.3701,2384.47,248,27.006
249,3152.82,1245000,-3843.11328125,56.0442,2372.98,249,38.1362
250,3725.42,1250000,-5120.86962890625,54.5664,2767.34,250,28.5303
251,3670.43,1255000,-4414.109375,54.5434,2741.24,251,30.4945
252,3170.39,1260000,-5481.89404296875,53.9939,2556.98,252,25.2082
253,3408.68,1265000,-4271.8564453125,54.2136,2400.73,253,32.702
254,3727.43,1270000,-4202.806640625,53.3509,2635.81,254,34.3592
255,3092.52,1275000,-3973.755126953125,53.4986,2051.44,255,33.6355
256,3592.69,1280000,-3670.245361328125,53.6437,2975.19,256,36.7105
257,3569.44,1285000,-4344.1953125,53.4798,2994.79,257,33.1091
258,3557.24,1290000,-4445.88720703125,54.0685,2310.92,258,32.3465
259,3590.74,1295000,-3915.054931640625,54.3581,2712.78,259,35.6303
260,3771.59,1300000,-4303.19921875,52.8129,2759.82,260,32.6497
261,3862.07,1305000,-3981.50244140625,53.8453,2933.47,261,35.6668
262,3126.15,1310000,-4544.44482421875,53.2125,2214.48,262,30.2432
263,3498.83,1315000,-4548.005859375,52.8248,2607.98,263,31.8792
264,3569.61,1320000,-4287.115234375,54.5792,2621.29,264,33.681
265,3550.43,1325000,-4406.896484375,53.2429,3100.75,265,34.9386
266,3426.46,1330000,-4898.1357421875,54.3225,2994.63,266,32.6186
267,3646.31,1335000,-4270.0546875,53.1912,3000.66,267,32.9282
268,3373.12,1340000,-4758.599609375,54.7554,2789.09,268,34.9392
269,3460.43,1345000,-4739.9560546875,54.7724,3267.86,269,35.2618
270,3732.65,1350000,-4745.94580078125,54.5622,2697.3,270,35.0799
271,3926.04,1355000,-4076.344482421875,54.1791,2537.41,271,38.837
272,3680.26,1360000,-4881.93603515625,55.2345,2871.14,272,35.0461
273,3909.8,1365000,-5000.603515625,54.3482,3429.27,273,35.0487
274,3725.95,1370000,-5254.859375,55.652,3133.21,274,33.0239
275,3715.58,1375000,-4769.29345703125,53.5666,3420.63,275,31.525
276,3826.94,1380000,-5569.5419921875,55.8516,2921.53,276,31.654
277,3520.52,1385000,-4830.70654296875,57.0987,3064.74,277,39.1486
278,3811.17,1390000,-5099.30810546875,55.4731,3207.77,278,33.5518
279,3649.95,1395000,-5142.44921875,55.0125,3053.78,279,33.8267
280,3766.77,1400000,-4588.0361328125,57.4529,2830.38,280,40.89
281,3918.0,1405000,-4885.13330078125,56.8087,3245.61,281,40.3922
282,3621.95,1410000,-5232.03271484375,54.0893,3191.86,282,30.3015
283,3734.46,1415000,-5034.52490234375,54.321,3036.23,283,35.0544
284,3730.77,1420000,-6364.279296875,55.8069,2832.24,284,28.6531
285,3751.65,1425000,-4671.2138671875,56.799,2764.87,285,38.6193
286,3539.03,1430000,-4992.171875,53.2538,2739.89,286,32.4422
287,3706.15,1435000,-5397.9345703125,54.1434,2565.4,287,33.5236
288,3637.26,1440000,-6203.15234375,54.3941,2607.88,288,28.7734
289,2761.38,1445000,-5760.9609375,53.2146,2210.56,289,29.3398
290,3507.4,1450000,-5460.52294921875,53.5712,2944.49,290,33.2698
291,3930.89,1455000,-5584.16357421875,54.6576,2705.24,291,33.0184
292,3386.87,1460000,-5171.81005859375,53.9242,2885.51,292,36.3826
293,3726.28,1465000,-5770.85009765625,54.5915,2430.83,293,32.4223
294,3598.4,1470000,-5729.15380859375,54.9878,2841.76,294,35.1544
295,3740.29,1475000,-5682.55810546875,53.6714,2468.8,295,31.6365
296,3486.65,1480000,-5410.50927734375,54.8496,2879.01,296,35.2671
297,3700.64,1485000,-5568.16943359375,54.0265,3071.69,297,35.3655
298,3969.68,1490000,-5828.60693359375,54.6459,3190.44,298,33.4566
299,3991.79,1495000,-6368.51904296875,53.9399,3257.7,299,27.4581
300,3858.86,1500000,-4985.80859375,54.6814,3321.39,300,37.0241
301,3952.38,1505000,-5488.98876953125,54.318,3093.62,301,36.2586
302,3785.13,1510000,-5500.8466796875,54.7465,3002.05,302,39.656
303,4028.82,1515000,-5148.5107421875,54.0058,3411.43,303,35.3739
304,3771.85,1520000,-5790.6376953125,55.1962,3388.95,304,36.4478
305,2845.29,1525000,-6358.98681640625,52.7588,3115.03,305,27.8033
306,3728.63,1530000,-5405.5849609375,54.0833,3298.51,306,36.2313
307,3954.03,1535000,-6696.86962890625,54.4029,3022.78,307,28.1142
308,3302.64,1540000,-5142.54931640625,54.6335,2724.44,308,34.7243
309,3874.79,1545000,-5608.302734375,53.6501,2884.09,309,30.1822
310,3596.14,1550000,-6632.92724609375,54.5076,3101.25,310,29.654
311,3800.56,1555000,-5876.61572265625,56.0898,3128.7,311,36.6878
312,3804.78,1560000,-5694.44189453125,56.1966,2831.98,312,40.0086
313,3938.88,1565000,-5756.2265625,53.3924,3043.01,313,34.499
314,3861.09,1570000,-5377.501953125,53.6723,3104.25,314,34.2179
315,3942.53,1575000,-6003.23779296875,56.7177,3421.52,315,40.0978
316,3525.49,1580000,-5884.0390625,54.9774,3261.29,316,34.0511
317,3874.19,1585000,-6236.18505859375,54.018,2961.36,317,32.352
318,3594.68,1590000,-6552.15625,55.3708,3252.28,318,34.4759
319,4031.44,1595000,-6436.05517578125,55.4688,3379.08,319,33.6224
320,4047.96,1600000,-6349.82861328125,54.9317,3183.71,320,36.0783
321,3710.68,1605000,-6756.98486328125,54.4766,3225.93,321,32.0906
322,3909.61,1610000,-5964.0732421875,56.1951,3012.26,322,39.3113
323,3923.07,1615000,-6634.08642578125,54.5151,2813.05,323,33.6203
324,3629.46,1620000,-5774.67529296875,55.7359,3333.05,324,39.164
325,3972.01,1625000,-7176.2109375,56.7782,3109.24,325,35.116
326,3540.1,1630000,-6388.7578125,57.3182,3386.52,326,40.6969
327,3872.23,1635000,-6341.142578125,57.0832,3128.73,327,43.1877
328,3848.47,1640000,-7540.5361328125,55.3696,3378.15,328,32.55
329,3803.93,1645000,-6238.39013671875,56.4982,2818.42,329,39.2027
330,4073.84,1650000,-6879.609375,55.0574,3539.54,330,37.3122
331,3847.82,1655000,-7084.74853515625,54.5843,2969.48,331,34.6858
332,4089.36,1660000,-6922.04296875,55.3452,3505.75,332,35.6041
333,4145.69,1665000,-6850.87939453125,55.4394,3534.51,333,37.2014
334,3901.81,1670000,-6852.79541015625,54.5794,2653.59,334,34.563
335,4050.07,1675000,-7104.75634765625,53.4695,3031.71,335,32.7313
336,4029.58,1680000,-6511.7236328125,53.2258,3077.44,336,30.9219
337,4036.52,1685000,-6559.40478515625,55.1716,3477.94,337,37.9176
338,4057.9,1690000,-7156.0927734375,54.782,3398.55,338,36.6221
339,3951.93,1695000,-6316.58642578125,53.728,2728.44,339,37.0538
340,4134.83,1700000,-6826.5927734375,53.5764,3491.52,340,36.4473
341,4080.35,1705000,-7213.9755859375,54.1344,3449.88,341,32.5061
342,3860.38,1710000,-6935.3779296875,54.1751,3697.07,342,33.9786
343,3956.54,1715000,-6905.837890625,55.333,3368.3,343,36.7037
344,4202.24,1720000,-7170.3974609375,54.9216,3449.84,344,34.9561
345,4118.93,1725000,-7019.94970703125,52.8154,3298.73,345,32.246
346,3592.31,1730000,-7722.259765625,53.7555,3311.41,346,30.4688
347,3916.5,1735000,-7205.5341796875,53.7325,3432.9,347,35.814
348,4089.67,1740000,-7424.1181640625,56.3508,3349.37,348,39.3816
349,3759.32,1745000,-7233.27783203125,54.2772,3426.85,349,31.6742
350,4232.31,1750000,-7536.9775390625,54.3341,3312.6,350,32.563
351,3971.82,1755000,-7484.1015625,53.9177,3465.53,351,37.6272
352,4150.4,1760000,-7547.3896484375,54.7732,3468.97,352,37.8475
353,4037.84,1765000,-6964.40283203125,55.2158,3613.24,353,40.3697
354,4023.39,1770000,-7753.8486328125,52.7107,3313.07,354,30.8801
355,4192.23,1775000,-7140.81689453125,54.2889,3189.39,355,37.7554
356,4084.05,1780000,-7665.95751953125,56.3246,3329.02,356,44.4505
357,4157.25,1785000,-7248.64892578125,54.4529,3314.53,357,40.6391
358,4066.63,1790000,-7998.98876953125,54.4897,3295.67,358,35.8858
359,4069.42,1795000,-7513.09228515625,54.382,3559.87,359,37.6181
360,4120.63,1800000,-7751.7314453125,55.7541,3530.96,360,40.9707
361,4130.84,1805000,-7986.9169921875,56.6213,3449.23,361,41.222
362,4122.95,1810000,-8243.4873046875,56.0071,3316.37,362,41.2001
363,4141.06,1815000,-8092.18408203125,55.8954,3475.41,363,41.7315
364,3936.92,1820000,-8621.9970703125,55.1597,3291.97,364,33.8396
365,3964.56,1825000,-8049.486328125,57.556,3768.98,365,42.5254
366,3970.79,1830000,-8158.30322265625,56.905,3588.12,366,42.8394
367,4039.44,1835000,-8843.2783203125,56.5086,3471.24,367,37.254
368,4187.95,1840000,-8281.51953125,54.3696,3465.47,368,37.6352
369,4178.95,1845000,-8765.5830078125,57.5987,3038.99,369,42.5924
370,4240.34,1850000,-8359.658203125,56.0593,3405.69,370,38.8215
371,4065.38,1855000,-8661.2197265625,55.5503,3345.97,371,37.705
372,4053.99,1860000,-8359.3759765625,57.1707,3696.72,372,41.691
373,4104.67,1865000,-8579.8203125,57.7769,2939.48,373,41.9752
374,4232.77,1870000,-8532.078125,56.371,3619.34,374,40.8771
375,4268.35,1875000,-8723.810546875,55.1393,3404.66,375,38.7415
376,3998.67,1880000,-8847.7294921875,58.5627,3455.24,376,41.5232
377,4139.07,1885000,-8663.345703125,56.5953,3539.86,377,41.737
378,4241.97,1890000,-8617.4296875,55.2206,3583.87,378,37.5296
379,3668.31,1895000,-9428.3427734375,55.0471,3501.91,379,36.2966
380,4050.02,1900000,-8815.11328125,56.3729,3369.12,380,41.2313
381,4260.98,1905000,-8682.3349609375,55.6209,3655.43,381,39.7165
382,4257.97,1910000,-9162.734375,58.0031,3751.4,382,43.0771
383,4203.25,1915000,-9257.9697265625,54.6133,3673.21,383,36.4204
384,4010.11,1920000,-9374.7900390625,55.1321,3352.02,384,38.6186
385,4245.82,1925000,-9087.46484375,55.9511,3751.53,385,40.48
386,4306.77,1930000,-8708.7822265625,53.7954,3450.73,386,33.9035
387,4184.46,1935000,-8704.10546875,55.2913,3167.29,387,34.9731
388,4192.7,1940000,-9289.6552734375,56.8817,3306.08,388,49.3
