Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return,Itration
3510.83,169,19.4056,-1219.462890625,12.6006,845000,3465.09,169
3497.52,170,20.52,-1688.540771484375,15.6843,850000,2626.53,170
3536.86,171,19.8043,-1239.4539794921875,13.4064,855000,3439.68,171
3517.35,172,20.0815,-1299.845703125,13.3381,860000,3437.01,172
3508.29,173,20.0138,-1422.798095703125,12.2133,865000,3181.51,173
3516.87,174,20.9831,-1731.343994140625,13.9703,870000,2880.53,174
3505.81,175,20.4538,-1500.1409912109375,13.8927,875000,2688.46,175
3514.95,176,19.0948,-1271.5343017578125,12.838,880000,3307.6,176
3508.75,177,19.7264,-1429.2779541015625,13.1609,885000,2859.97,177
3522.32,178,19.7914,-1220.5667724609375,13.0635,890000,3277.53,178
3537.81,179,19.7453,-1251.87255859375,13.4279,895000,3433.54,179
3516.92,180,20.0735,-1382.585693359375,12.1459,900000,3186.54,180
3550.16,181,19.5242,-1337.08935546875,13.0607,905000,3142.77,181
3544.54,182,19.467,-1430.0115966796875,12.1874,910000,3080.64,182
3511.71,183,18.9261,-1315.680908203125,12.8508,915000,3480.2,183
3505.5,184,20.4556,-1694.4034423828125,13.2434,920000,2785.29,184
3484.2,185,19.6024,-1256.42578125,13.6389,925000,3450.82,185
3551.1,186,19.4436,-1449.6741943359375,12.051,930000,3044.24,186
3502.74,187,18.764,-1343.02490234375,12.2456,935000,3422.19,187
3493.6,188,19.3214,-1533.2410888671875,12.0663,940000,3353.24,188
3522.2,189,18.4616,-1286.9384765625,11.9459,945000,3458.7,189
3514.25,190,19.4852,-1596.95166015625,12.2694,950000,3166.06,190
3513.37,191,19.2264,-1304.14208984375,12.4497,955000,3468.08,191
3559.14,192,19.8734,-1669.6527099609375,12.2396,960000,3000.52,192
3530.74,193,19.2955,-1644.80810546875,12.3767,965000,3187.04,193
3524.0,194,19.4021,-1531.18798828125,12.873,970000,3360.88,194
3552.82,195,19.4253,-1530.9501953125,12.4772,975000,3370.81,195
3493.69,196,18.5461,-1456.647705078125,11.817,980000,3393.91,196
3508.95,197,18.9278,-1383.6763916015625,12.6399,985000,3493.63,197
3537.92,198,18.8495,-1367.7467041015625,12.6425,990000,3506.86,198
3519.41,199,18.4834,-1483.1009521484375,11.9533,995000,3418.53,199
