Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss
265000,41.5495,53,53,3680.68,14.0199,3695.86,-237.0667724609375
270000,41.7465,54,54,3799.49,15.197,3821.17,-236.48385620117188
275000,42.0747,55,55,3664.96,14.6028,3682.12,-257.480712890625
280000,41.6027,56,56,3717.37,14.6638,3682.42,-264.4562683105469
285000,42.2142,57,57,3661.74,15.4373,3718.88,-261.3376159667969
290000,41.537,58,58,3677.18,14.0516,3715.66,-252.34901428222656
295000,41.42,59,59,3726.85,14.8873,3747.11,-267.21368408203125
300000,41.1599,60,60,3811.37,15.1509,3860.88,-281.8415222167969
305000,40.999,61,61,3583.08,12.5797,3772.18,-281.73028564453125
310000,42.1812,62,62,3738.39,14.2772,3719.72,-301.2662048339844
315000,41.1043,63,63,3770.98,13.1329,3819.0,-294.1463317871094
320000,40.8031,64,64,3798.26,13.256,3862.38,-288.50592041015625
325000,40.928,65,65,3917.07,12.7768,4001.4,-296.10955810546875
330000,40.9713,66,66,3807.79,13.9148,4000.06,-309.8388671875
335000,41.2705,67,67,3812.49,13.0213,3808.58,-313.28961181640625
340000,41.0069,68,68,3856.21,13.9785,3946.6,-327.1828918457031
345000,41.7076,69,69,3844.04,14.1176,3843.09,-340.04608154296875
350000,40.4621,70,70,3930.67,13.3546,3974.72,-333.15838623046875
355000,40.8418,71,71,3880.66,13.3842,3941.99,-341.7623596191406
360000,40.8884,72,72,3935.41,13.7171,3972.98,-340.0628662109375
365000,40.0256,73,73,4011.81,13.208,4163.75,-341.2436218261719
370000,40.3555,74,74,3954.17,11.2104,4061.55,-341.04937744140625
375000,39.8493,75,75,4043.2,12.6451,4047.49,-353.71575927734375
380000,40.3943,76,76,4038.91,13.3813,4067.01,-361.66033935546875
385000,40.2808,77,77,4149.91,14.9601,4178.32,-371.5450439453125
390000,40.932,78,78,3937.76,14.3478,3993.02,-375.042236328125
395000,40.6424,79,79,4067.48,14.0968,4084.79,-378.9935302734375
400000,40.7304,80,80,3993.56,13.2789,4098.18,-393.0218811035156
405000,40.1041,81,81,3919.53,13.5412,4090.09,-382.9779968261719
410000,40.5682,82,82,4044.08,14.2946,4025.69,-400.44696044921875
415000,39.5289,83,83,4088.55,13.6042,4106.82,-391.7283935546875
420000,40.1876,84,84,4050.62,13.3777,4075.99,-406.21380615234375
425000,40.3095,85,85,4042.83,13.752,4137.07,-413.3740234375
430000,39.7026,86,86,3685.89,13.3334,4227.91,-415.126220703125
435000,39.9665,87,87,4177.26,15.0321,4234.1,-427.1346435546875
440000,40.4896,88,88,4127.74,14.6144,4202.24,-436.4408264160156
445000,39.741,89,89,4138.43,13.3582,4317.94,-433.0023193359375
450000,40.3501,90,90,4211.51,13.7809,4342.11,-452.5189208984375
455000,40.3317,91,91,4154.88,14.2456,4315.71,-452.35333251953125
460000,40.5177,92,92,4163.32,14.1418,4224.88,-462.2885437011719
465000,39.4477,93,93,4142.12,13.4313,4197.95,-453.4397888183594
470000,40.1202,94,94,4106.96,14.4714,4253.94,-469.4859619140625
475000,39.7682,95,95,3759.32,13.3607,4399.08,-475.7407531738281
480000,38.903,96,96,4168.78,12.4381,4351.61,-468.4524841308594
485000,39.3486,97,97,4163.07,13.6277,4290.33,-476.8213195800781
490000,40.1232,98,98,4186.87,13.7501,4323.25,-477.6602478027344
495000,39.6441,99,99,4137.23,13.5494,4263.64,-501.3947448730469
500000,39.7562,100,100,4311.61,14.6304,4448.28,-508.3601379394531
505000,39.7704,101,101,4274.96,14.2522,4353.21,-512.591552734375
510000,39.2798,102,102,4329.0,14.12,4485.04,-519.5328979492188
515000,39.2081,103,103,4197.17,12.2869,4345.43,-515.3985595703125
520000,39.9596,104,104,4083.64,13.6224,4382.49,-537.8624877929688
525000,39.4075,105,105,4231.22,14.3703,4370.78,-552.7330932617188
530000,39.7695,106,106,4254.83,14.2614,4478.89,-551.0353393554688
535000,40.3634,107,107,4106.41,14.3851,4319.04,-559.88232421875
540000,40.2069,108,108,4175.36,13.7202,4413.22,-561.6162109375
545000,39.0931,109,109,4400.07,13.792,4597.75,-557.2758178710938
550000,39.9864,110,110,4279.99,13.3013,4475.02,-565.5914306640625
555000,39.5347,111,111,4363.98,13.7959,4510.88,-568.125244140625
560000,39.7456,112,112,4287.6,14.1043,4468.69,-591.538330078125
565000,40.5253,113,113,4119.88,13.9664,4357.44,-594.3302612304688
570000,39.2599,114,114,4348.0,13.2205,4479.53,-596.131103515625
575000,38.5517,115,115,4269.41,13.2778,4486.66,-609.6099243164062
580000,39.787,116,116,4342.39,14.3074,4512.03,-624.94921875
585000,39.6103,117,117,4265.83,12.8107,4541.45,-604.942138671875
590000,38.5804,118,118,4364.5,13.1716,4495.24,-604.1773681640625
595000,40.4597,119,119,4309.92,14.1951,4433.2,-640.5739135742188
600000,38.8543,120,120,4369.46,13.0313,4506.01,-626.210693359375
605000,39.6816,121,121,4332.05,14.5289,4464.6,-653.1551513671875
610000,40.1551,122,122,4328.53,14.1775,4510.52,-672.5950317382812
615000,40.3413,123,123,4434.14,15.5051,4567.4,-686.5037231445312
620000,39.3253,124,124,4314.13,14.5583,4624.85,-679.3988037109375
625000,39.4604,125,125,4452.07,14.1855,4644.62,-685.1216430664062
630000,39.7286,126,126,4428.05,14.0469,4595.61,-679.5991821289062
635000,39.6832,127,127,4402.39,14.3513,4569.11,-700.2882080078125
640000,39.1387,128,128,4368.62,13.8421,4519.54,-692.46044921875
645000,40.2692,129,129,4460.13,15.189,4636.74,-718.0912475585938
650000,39.5757,130,130,4289.0,14.1555,4503.88,-719.2356567382812
655000,38.8053,131,131,4425.8,14.0037,4580.17,-713.3370971679688
660000,39.583,132,132,4476.88,15.2172,4644.5,-731.9385375976562
665000,39.0481,133,133,4422.37,14.4202,4572.06,-740.622802734375
670000,39.4868,134,134,4142.01,13.2609,4572.61,-724.1494750976562
675000,39.1186,135,135,4479.2,14.1927,4650.53,-731.5814819335938
680000,39.9222,136,136,4426.24,14.3892,4556.87,-751.2388305664062
685000,39.1935,137,137,4389.41,13.6739,4552.17,-747.7515869140625
690000,39.7576,138,138,4328.24,14.5635,4541.88,-774.8671875
695000,39.4149,139,139,4395.06,14.1038,4511.86,-776.1448364257812
700000,39.9298,140,140,4311.6,14.0879,4377.14,-802.9641723632812
705000,39.3471,141,141,4377.47,13.6426,4542.3,-780.70703125
710000,40.1034,142,142,4201.83,15.6672,4545.81,-814.1298828125
715000,40.468,143,143,4222.58,16.0085,4555.16,-838.9109497070312
720000,39.2923,144,144,4522.84,15.3725,4661.73,-829.5835571289062
725000,39.8479,145,145,4315.34,15.9619,4570.89,-853.0963745117188
730000,39.0742,146,146,4179.44,15.2186,4645.94,-841.2650146484375
735000,38.2857,147,147,4307.4,14.1778,4653.89,-823.7710571289062
740000,39.227,148,148,4298.91,14.9602,4562.08,-853.4052734375
745000,40.1327,149,149,4420.88,15.8535,4507.51,-872.8148803710938
750000,39.3854,150,150,4451.91,15.0765,4579.48,-889.9468383789062
755000,39.2655,151,151,4448.12,14.3281,4637.98,-868.0889282226562
760000,40.1857,152,152,4468.29,16.4216,4598.06,-910.1768798828125
765000,38.9099,153,153,4370.48,14.5045,4673.9,-871.1521606445312
770000,39.9905,154,154,4468.02,15.923,4552.3,-910.2153930664062
775000,39.545,155,155,4496.83,15.7605,4601.04,-897.18505859375
780000,39.784,156,156,4437.24,15.101,4470.79,-927.8101806640625
785000,39.4074,157,157,4438.6,15.5058,4603.83,-930.1439819335938
790000,39.0822,158,158,4367.94,15.6123,4664.13,-933.9700317382812
795000,38.7316,159,159,4457.4,13.9687,4569.68,-898.2405395507812
800000,39.3638,160,160,4267.03,14.5632,4673.19,-944.8873901367188
805000,39.9884,161,161,4430.64,15.6375,4574.73,-979.446044921875
810000,39.2218,162,162,4385.65,14.1021,4445.08,-936.8438720703125
815000,39.7166,163,163,4436.7,15.1308,4525.81,-982.26611328125
820000,39.7673,164,164,4509.36,15.4361,4670.82,-1013.28466796875
825000,38.3472,165,165,4471.41,13.5292,4573.7,-954.3662719726562
830000,39.0868,166,166,4449.31,14.2386,4629.01,-982.0744018554688
835000,39.9765,167,167,4464.99,15.0824,4571.33,-1021.280029296875
840000,39.5944,168,168,4363.5,16.9,4641.92,-1054.435791015625
845000,39.2516,169,169,4449.06,15.4756,4653.82,-1048.97705078125
850000,38.4669,170,170,4564.89,14.3252,4653.7,-1006.3906860351562
855000,39.5735,171,171,4510.98,14.941,4529.49,-1056.091064453125
860000,38.8962,172,172,4135.12,14.8541,4601.41,-1070.24755859375
865000,39.8087,173,173,4548.04,15.6603,4661.44,-1079.3577880859375
870000,39.2012,174,174,4360.04,14.6549,4637.81,-1071.53173828125
875000,39.3181,175,175,4572.0,14.7032,4695.98,-1060.969482421875
880000,39.5235,176,176,4576.16,15.204,4688.25,-1110.961181640625
885000,39.077,177,177,4597.09,15.6154,4687.54,-1108.64990234375
890000,39.4405,178,178,4533.77,15.2733,4718.64,-1120.7994384765625
895000,39.5266,179,179,4549.67,15.1979,4642.44,-1128.451171875
900000,38.6604,180,180,4574.49,13.9806,4660.61,-1106.1641845703125
905000,38.6703,181,181,4359.21,13.8855,4752.13,-1108.42724609375
910000,39.1373,182,182,4412.81,15.3807,4718.47,-1170.9713134765625
915000,39.1961,183,183,4366.45,14.8867,4682.15,-1176.2835693359375
920000,39.3526,184,184,4613.67,15.6144,4683.02,-1189.8345947265625
925000,38.4729,185,185,4575.45,15.0083,4667.91,-1163.1494140625
930000,38.3823,186,186,4569.01,14.2264,4636.87,-1162.6640625
935000,38.89,187,187,4660.49,15.1234,4748.88,-1222.1634521484375
940000,38.7378,188,188,4566.18,14.7624,4670.78,-1189.0867919921875
945000,38.9879,189,189,4592.51,15.2157,4708.53,-1208.275146484375
950000,39.0639,190,190,4558.28,14.8015,4618.16,-1215.7313232421875
955000,39.0237,191,191,4532.76,15.1237,4653.62,-1244.2425537109375
960000,38.8117,192,192,4592.86,14.7336,4698.49,-1252.3494873046875
965000,39.0879,193,193,4409.43,14.5681,4736.54,-1247.589111328125
970000,38.9312,194,194,4395.11,15.0284,4640.37,-1291.9403076171875
975000,38.46,195,195,4436.3,14.5557,4697.27,-1264.708251953125
980000,38.5338,196,196,4513.36,14.1997,4596.05,-1262.3377685546875
985000,39.1286,197,197,4561.48,15.2389,4627.67,-1291.966796875
990000,39.485,198,198,4537.86,16.1415,4674.16,-1350.4727783203125
995000,38.3475,199,199,4621.88,14.9046,4703.29,-1314.6756591796875
1000000,38.552,200,200,4591.52,14.5008,4691.35,-1314.921142578125
1005000,38.5787,201,201,4549.09,14.1619,4615.38,-1306.9569091796875
1010000,38.9544,202,202,4607.98,14.9491,4683.36,-1365.720703125
1015000,38.988,203,203,4623.67,14.8931,4713.23,-1355.2086181640625
1020000,39.185,204,204,4637.46,15.5826,4714.18,-1390.7099609375
1025000,38.4293,205,205,4587.55,14.497,4656.1,-1357.8349609375
1030000,39.2218,206,206,4594.72,14.7842,4697.68,-1384.3665771484375
1035000,38.8909,207,207,4640.3,15.1783,4720.77,-1414.8846435546875
1040000,38.3756,208,208,4611.55,14.747,4718.51,-1405.7984619140625
1045000,38.2655,209,209,4627.48,14.3748,4715.94,-1403.002685546875
1050000,39.0107,210,210,4667.32,14.9929,4747.81,-1432.9139404296875
1055000,39.0155,211,211,4617.94,14.9345,4725.6,-1475.0711669921875
1060000,39.1171,212,212,4615.53,15.8164,4697.93,-1482.87255859375
1065000,38.6624,213,213,4637.16,14.8442,4713.64,-1457.1728515625
1070000,39.2345,214,214,4664.86,16.0647,4744.71,-1524.2691650390625
1075000,38.1365,215,215,4619.81,14.8337,4695.68,-1493.018310546875
1080000,38.7138,216,216,4622.49,15.717,4707.2,-1534.2525634765625
1085000,38.5635,217,217,4575.66,15.3451,4662.88,-1529.3717041015625
1090000,39.1412,218,218,4584.01,15.1708,4681.21,-1552.907470703125
1095000,38.8635,219,219,4587.81,14.4041,4667.53,-1542.646240234375
1100000,39.1553,220,220,4605.86,15.7179,4699.26,-1593.5086669921875
1105000,38.7805,221,221,4616.82,14.7421,4693.47,-1576.4178466796875
1110000,39.7187,222,222,4642.78,15.4318,4707.28,-1652.5216064453125
1115000,39.489,223,223,4588.68,14.512,4675.17,-1630.2733154296875
1120000,38.5451,224,224,4604.45,14.3881,4693.73,-1609.2979736328125
1125000,38.7807,225,225,4607.02,14.6208,4710.16,-1635.4683837890625
1130000,37.7393,226,226,4601.5,13.8922,4742.78,-1597.877197265625
1135000,38.284,227,227,4607.16,14.1741,4675.58,-1621.0244140625
1140000,38.5445,228,228,4607.11,14.2214,4697.25,-1646.6834716796875
1145000,38.575,229,229,4608.22,14.2232,4704.37,-1645.985107421875
1150000,38.3964,230,230,4586.95,14.3816,4721.25,-1662.037841796875
1155000,38.1265,231,231,4663.57,14.4635,4788.67,-1689.0615234375
1160000,38.2681,232,232,4614.73,13.899,4727.58,-1674.6990966796875
1165000,37.7644,233,233,4673.51,13.6577,4818.08,-1642.445068359375
1170000,37.8668,234,234,4627.78,13.8761,4705.66,-1704.17333984375
1175000,38.3458,235,235,4637.45,14.6056,4744.9,-1758.6256103515625
1180000,38.5855,236,236,4598.02,14.5634,4702.17,-1761.825439453125
1185000,38.7276,237,237,4624.16,14.9963,4738.97,-1797.9744873046875
1190000,38.7455,238,238,4621.68,14.8699,4686.12,-1767.512451171875
1195000,39.4678,239,239,4567.43,15.0139,4594.84,-1857.2119140625
1200000,39.7932,240,240,4526.33,15.2329,4619.45,-1859.1944580078125
1205000,39.3513,241,241,4568.82,15.037,4642.52,-1839.0689697265625
1210000,38.9007,242,242,4538.3,15.2433,4716.31,-1864.0181884765625
1215000,39.9547,243,243,4356.45,16.1813,4618.37,-1925.4896240234375
1220000,39.8576,244,244,3656.22,16.8835,3785.21,-1808.0506591796875
1225000,40.2703,245,245,3335.78,23.0307,4719.51,-1976.2386474609375
1230000,39.3003,246,246,4605.33,16.4788,4712.85,-1977.4580078125
1235000,38.5689,247,247,4681.82,15.561,4796.61,-1924.8631591796875
1240000,38.8876,248,248,4581.54,15.6977,4622.73,-1896.81005859375
1245000,38.2318,249,249,4581.34,14.8576,4675.07,-1897.92724609375
1250000,39.3826,250,250,4214.92,15.209,4661.03,-1962.6341552734375
1255000,38.9829,251,251,3601.29,14.6938,4459.4,-1978.03857421875
1260000,40.7694,252,252,4413.22,18.054,4550.01,-2103.032470703125
1265000,39.6604,253,253,4502.31,16.4236,4627.02,-2136.0546875
1270000,40.7203,254,254,4566.52,17.1065,4626.42,-2131.459228515625
1275000,40.0839,255,255,4379.67,16.9958,4489.9,-2119.70703125
1280000,40.0996,256,256,4064.26,16.9877,4595.04,-2167.654541015625
1285000,39.7402,257,257,4565.53,16.7336,4678.73,-2144.531982421875
1290000,39.2881,258,258,4012.03,15.6211,4603.01,-2138.960205078125
1295000,40.001,259,259,4555.21,16.4577,4619.79,-2178.097412109375
1300000,39.3586,260,260,4529.39,15.8099,4616.75,-2186.651123046875
1305000,39.443,261,261,4545.53,15.5033,4653.52,-2183.53955078125
1310000,39.0697,262,262,4584.01,15.3713,4683.18,-2166.00634765625
1315000,39.2215,263,263,4576.48,15.3347,4687.59,-2236.483154296875
1320000,38.9653,264,264,4516.2,15.2802,4630.0,-2205.29052734375
1325000,39.2101,265,265,4563.66,14.8725,4677.62,-2213.434814453125
1330000,38.8727,266,266,4560.71,14.2909,4663.06,-2230.122802734375
1335000,38.7964,267,267,4586.14,14.5823,4721.04,-2224.135986328125
1340000,38.9355,268,268,4516.66,14.6896,4612.28,-2219.06591796875
1345000,38.6675,269,269,4539.52,15.1014,4661.65,-2267.212646484375
1350000,38.6328,270,270,4511.19,14.6599,4641.11,-2241.325439453125
1355000,38.7,271,271,4603.04,14.7814,4701.7,-2247.4111328125
1360000,39.0792,272,272,4536.75,14.7467,4621.25,-2276.069580078125
1365000,39.16,273,273,4580.31,14.837,4676.44,-2326.6845703125
1370000,38.9136,274,274,4535.09,15.4043,4629.88,-2261.126708984375
1375000,43.6527,275,275,1740.45,16.9394,368.33,-1844.228271484375
1380000,50.1737,276,276,181.79,26.4579,115.46,-2633.95458984375
1385000,46.3433,277,277,891.81,26.6211,939.07,-2627.244873046875
1390000,45.9296,278,278,752.07,34.7104,922.89,-2629.732666015625
1395000,42.4624,279,279,1702.1,18.3628,1889.94,-2602.029296875
1400000,40.3833,280,280,3777.26,17.4996,3806.05,-2483.385986328125
1405000,41.861,281,281,4270.85,17.1998,4452.0,-2708.75634765625
1410000,40.683,282,282,4226.94,17.2585,4592.49,-2593.93896484375
1415000,40.5143,283,283,4086.21,17.6869,4608.48,-2599.248046875
1420000,41.1701,284,284,4479.94,17.244,4560.25,-2636.351806640625
1425000,39.7909,285,285,4527.03,15.9696,4635.92,-2596.720458984375
1430000,38.9014,286,286,4406.16,15.2293,4616.19,-2539.32861328125
1435000,38.947,287,287,4323.46,15.4806,4603.67,-2560.0380859375
1440000,39.057,288,288,4444.05,15.2555,4587.51,-2590.0849609375
1445000,39.2234,289,289,4409.81,15.5712,4601.13,-2581.961669921875
1450000,38.364,290,290,4524.98,15.2262,4587.99,-2564.958984375
1455000,39.2665,291,291,4515.05,14.8351,4576.14,-2621.839599609375
1460000,39.1168,292,292,4515.28,15.3684,4562.69,-2664.811279296875
1465000,39.2013,293,293,4367.08,15.375,4590.56,-2718.9345703125
1470000,39.3279,294,294,4333.36,15.1852,4627.13,-2722.04833984375
1475000,39.7562,295,295,4384.87,15.1561,4633.08,-2701.84130859375
1480000,39.1427,296,296,4290.65,14.7673,4633.46,-2707.163330078125
1485000,39.5527,297,297,4421.93,16.1527,4663.21,-2782.6083984375
1490000,39.0198,298,298,4578.91,14.8283,4622.12,-2736.453857421875
1495000,38.2168,299,299,4553.01,14.7208,4621.88,-2695.9794921875
1500000,38.4268,300,300,4626.34,14.8869,4710.51,-2705.08447265625
1505000,38.6302,301,301,4520.34,15.0709,4747.05,-2787.27685546875
1510000,39.4491,302,302,4472.2,15.2845,4697.84,-2844.20068359375
1515000,39.4059,303,303,4614.67,15.6016,4685.55,-2870.931396484375
1520000,39.1219,304,304,4610.67,15.8275,4679.49,-2915.80908203125
1525000,38.8056,305,305,4614.83,14.8787,4666.84,-2862.357177734375
1530000,39.1276,306,306,4636.77,15.7332,4702.31,-2976.0693359375
1535000,39.5142,307,307,4669.88,15.8086,4742.58,-2974.88818359375
1540000,38.9445,308,308,4654.99,14.9431,4710.85,-2952.72314453125
1545000,38.2652,309,309,4705.57,15.3002,4805.98,-2954.05419921875
1550000,39.0659,310,310,4661.78,15.356,4743.12,-2952.01220703125
1555000,38.9055,311,311,4704.97,15.7973,4802.82,-3028.328125
1560000,38.3256,312,312,4634.98,14.8139,4766.89,-2928.359375
1565000,38.5172,313,313,4676.16,15.1867,4791.12,-2983.42919921875
1570000,37.9753,314,314,4611.5,15.3839,4781.85,-3016.274169921875
1575000,38.2233,315,315,4677.24,14.9046,4767.33,-3057.25439453125
1580000,38.502,316,316,4561.28,15.3491,4830.63,-3022.95361328125
1585000,38.9546,317,317,4668.8,15.3367,4800.36,-3085.955810546875
1590000,38.6492,318,318,4736.15,15.1469,4864.08,-3144.292724609375
1595000,38.8754,319,319,4716.72,15.2342,4829.44,-3165.555908203125
1600000,38.5179,320,320,4687.14,15.6736,4779.79,-3208.02490234375
1605000,38.7764,321,321,4683.9,15.8132,4847.77,-3213.433837890625
1610000,38.3395,322,322,4733.31,15.6132,4845.98,-3216.35888671875
1615000,38.7828,323,323,4755.5,15.5953,4871.73,-3238.962158203125
1620000,38.1042,324,324,4741.8,15.219,4859.78,-3221.20263671875
1625000,38.6142,325,325,4736.33,15.2637,4812.63,-3263.43310546875
1630000,38.0117,326,326,4572.47,14.7334,4849.73,-3260.510498046875
1635000,38.5658,327,327,4710.69,15.3066,4837.1,-3310.164306640625
1640000,38.7684,328,328,4732.51,14.9727,4839.75,-3396.0771484375
1645000,38.9001,329,329,4674.83,15.5025,4804.98,-3419.661865234375
1650000,39.042,330,330,4687.56,15.8298,4769.2,-3413.888427734375
1655000,38.1087,331,331,4694.06,15.4285,4788.74,-3388.007080078125
1660000,38.3281,332,332,4679.55,15.0015,4780.41,-3364.751220703125
1665000,38.1234,333,333,4656.84,14.8355,4752.34,-3412.758544921875
1670000,38.1745,334,334,4716.01,14.9647,4815.75,-3408.820556640625
1675000,38.5192,335,335,4674.25,15.0585,4769.09,-3437.403076171875
1680000,38.1912,336,336,4702.92,15.1596,4798.8,-3484.69921875
1685000,38.3898,337,337,4694.4,15.4148,4772.25,-3527.3125
1690000,38.2908,338,338,4693.25,14.7947,4767.27,-3499.95068359375
1695000,38.1168,339,339,4735.97,15.4102,4811.97,-3563.3583984375
1700000,38.5473,340,340,4715.72,15.0951,4802.62,-3527.8818359375
1705000,38.4555,341,341,4685.26,15.3666,4734.43,-3567.1171875
1710000,38.5914,342,342,4718.0,15.3914,4798.8,-3624.091796875
1715000,38.2796,343,343,4720.41,15.201,4799.12,-3598.000732421875
1720000,38.258,344,344,4688.33,15.047,4783.92,-3621.194580078125
1725000,38.3688,345,345,4667.19,14.8326,4754.11,-3598.626708984375
1730000,38.3469,346,346,4730.0,15.3844,4826.49,-3688.57080078125
1735000,38.1241,347,347,4720.32,15.6266,4800.72,-3782.9873046875
1740000,38.5546,348,348,4696.68,15.6355,4786.26,-3794.599609375
1745000,38.7503,349,349,4675.27,15.3087,4743.14,-3728.86181640625
1750000,38.5304,350,350,4728.12,15.4852,4801.25,-3749.937744140625
1755000,38.5978,351,351,4700.38,15.5068,4754.47,-3813.849853515625
1760000,38.2338,352,352,4695.83,15.0171,4782.22,-3748.365234375
1765000,38.5968,353,353,4704.96,15.4792,4807.91,-3926.78271484375
1770000,38.4799,354,354,4685.04,15.0543,4780.98,-3844.313232421875
1775000,38.475,355,355,4735.02,15.7298,4810.61,-3942.951416015625
1780000,38.7895,356,356,4696.42,15.5184,4802.72,-3952.75439453125
1785000,38.928,357,357,4673.59,15.6433,4812.33,-4022.574951171875
1790000,38.4964,358,358,4719.11,15.4723,4766.13,-3923.20166015625
1795000,38.4407,359,359,4723.58,15.8251,4845.0,-3961.939453125
1800000,38.7637,360,360,4690.62,15.4368,4794.53,-4042.060791015625
1805000,39.0269,361,361,4730.56,16.083,4794.65,-4075.471923828125
1810000,39.0567,362,362,4722.53,15.5317,4832.29,-4129.27783203125
1815000,38.4619,363,363,4737.63,15.6004,4828.86,-3956.38623046875
1820000,38.8145,364,364,4715.37,15.5472,4815.15,-4098.6396484375
1825000,39.1626,365,365,4724.16,15.8137,4815.01,-4216.4609375
1830000,39.1122,366,366,4723.87,15.7024,4827.11,-4192.83544921875
1835000,38.3354,367,367,4732.84,15.6092,4823.37,-3979.815673828125
1840000,38.8517,368,368,4730.98,16.1314,4828.39,-4133.44287109375
1845000,38.2539,369,369,4707.43,15.728,4802.37,-4208.76806640625
1850000,38.9354,370,370,4713.13,16.0192,4780.28,-4187.59814453125
1855000,39.1796,371,371,4681.76,15.8339,4764.79,-4213.69091796875
1860000,38.8584,372,372,4714.39,15.6811,4783.82,-4266.2001953125
1865000,39.2319,373,373,4751.88,16.2785,4822.03,-4270.50634765625
1870000,39.4193,374,374,4697.25,15.7442,4781.68,-4268.13720703125
1875000,39.6305,375,375,4713.91,15.6787,4838.93,-4377.9375
1880000,39.1774,376,376,4726.21,15.9211,4794.42,-4339.28955078125
1885000,39.7304,377,377,4723.47,15.9461,4839.31,-4344.0283203125
1890000,39.1336,378,378,4746.43,15.9112,4831.64,-4365.80712890625
1895000,38.9264,379,379,4671.62,15.8513,4770.4,-4333.41748046875
1900000,39.3641,380,380,4722.05,16.1173,4786.45,-4382.98388671875
1905000,39.3105,381,381,4752.46,15.6362,4864.67,-4426.24560546875
1910000,38.7062,382,382,4699.14,15.1494,4791.86,-4262.1025390625
1915000,39.1608,383,383,4703.96,16.0912,4784.33,-4361.091796875
