Real Sto Return,Running Forward KL,Itration,Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Real Det Return
2686.27,24.4863,59,22.0964,59,295000,-465.1395568847656,3047.32
2749.85,24.5067,60,16.7531,60,300000,-448.832275390625,3052.74
1855.21,24.7334,61,16.0654,61,305000,-575.1130981445312,3063.3
2097.59,24.6259,62,19.9546,62,310000,-734.6109008789062,3084.82
2885.01,24.252,63,17.3318,63,315000,-467.3016662597656,3065.33
1943.74,24.2727,64,31.3743,64,320000,-817.2996826171875,3065.62
2470.74,24.2214,65,18.2171,65,325000,-629.3811645507812,3061.89
2246.53,24.2802,66,23.4433,66,330000,-671.6240234375,3044.2
2270.79,24.3577,67,18.0407,67,335000,-720.6988525390625,3073.22
2456.35,24.003,68,14.9759,68,340000,-672.8925170898438,3073.75
2077.17,24.3663,69,16.1007,69,345000,-567.5108642578125,3054.01
1583.26,24.1024,70,14.6355,70,350000,-748.024658203125,3058.51
2374.44,24.1489,71,16.5792,71,355000,-602.606201171875,3061.26
2746.82,24.1279,72,19.2132,72,360000,-532.1204223632812,3058.19
1795.93,24.3084,73,15.8282,73,365000,-875.6021118164062,3063.2
2278.29,24.0467,74,17.5464,74,370000,-702.16259765625,3070.05
2630.05,24.2897,75,16.0175,75,375000,-628.140869140625,3058.86
2602.52,24.1511,76,16.1421,76,380000,-598.66162109375,3060.62
2233.05,23.8646,77,15.6396,77,385000,-637.2815551757812,3065.03
2284.09,23.6147,78,15.0749,78,390000,-623.7796020507812,3077.19
2962.11,24.7756,79,17.2583,79,395000,-503.82586669921875,3080.0
2665.27,23.5195,80,15.809,80,400000,-475.0841064453125,3077.24
2452.05,23.0719,81,16.2858,81,405000,-530.5028076171875,3090.81
2379.43,23.44,82,26.0354,82,410000,-1016.5346069335938,3111.19
2544.05,22.9827,83,17.4248,83,415000,-720.1787719726562,3094.29
2902.75,23.1747,84,15.8902,84,420000,-519.7997436523438,3087.42
2992.34,24.9207,85,17.2739,85,425000,-483.2961120605469,3106.83
2719.74,23.7009,86,16.5482,86,430000,-529.563720703125,3108.32
3058.63,24.044,87,16.919,87,435000,-534.0081176757812,3088.4
2702.94,23.7793,88,17.0152,88,440000,-719.9142456054688,3128.87
2695.08,24.2444,89,18.1672,89,445000,-599.2260131835938,3103.42
2959.1,24.2848,90,16.9182,90,450000,-530.9903564453125,3101.99
2829.43,23.5468,91,15.8761,91,455000,-554.769775390625,3090.24
2755.32,23.3656,92,16.2038,92,460000,-549.7155151367188,3102.33
3111.61,23.7857,93,17.7401,93,465000,-540.1070556640625,3125.96
2899.33,23.9476,94,17.0294,94,470000,-611.416259765625,3087.54
3021.78,23.7677,95,16.6178,95,475000,-623.3923950195312,3104.32
2896.6,23.7816,96,16.47,96,480000,-596.7013549804688,3111.88
2757.95,23.8617,97,19.1439,97,485000,-731.8639526367188,3112.15
3069.01,23.919,98,16.5639,98,490000,-564.0673217773438,3103.59
3103.64,24.0066,99,16.5709,99,495000,-670.2562255859375,3092.4
3124.0,24.2822,100,16.2623,100,500000,-572.6040649414062,3111.96
2888.02,23.7037,101,16.1929,101,505000,-619.7283935546875,3109.21
2997.86,23.2617,102,16.444,102,510000,-760.4072265625,3075.27
3054.07,23.5805,103,16.7827,103,515000,-678.3695068359375,3099.45
3047.83,24.2407,104,16.9671,104,520000,-652.24755859375,3121.31
3136.65,24.623,105,16.3424,105,525000,-653.9176025390625,3102.99
2902.31,24.2457,106,17.6915,106,530000,-680.0574951171875,3121.09
3141.86,23.3236,107,15.397,107,535000,-625.2498168945312,3139.08
2890.61,24.0552,108,15.483,108,540000,-678.24755859375,3078.35
3004.48,23.8761,109,15.7988,109,545000,-642.2378540039062,3108.2
2119.31,23.2271,110,19.911,110,550000,-872.9947509765625,3115.72
3022.86,23.0741,111,15.4149,111,555000,-594.441650390625,3122.91
2782.46,23.2036,112,15.5207,112,560000,-613.7964477539062,3100.72
2964.19,23.7405,113,15.7068,113,565000,-700.8594360351562,3089.88
3010.02,23.7963,114,15.5822,114,570000,-663.5414428710938,3108.19
3113.37,23.4919,115,16.6013,115,575000,-782.1709594726562,3083.97
3124.12,23.2093,116,16.1931,116,580000,-767.8892211914062,3098.49
3161.07,23.9164,117,15.8457,117,585000,-699.1134033203125,3119.54
3066.2,23.2196,118,16.008,118,590000,-801.9488525390625,3103.35
3054.99,24.2103,119,15.4871,119,595000,-838.5971069335938,3074.5
3119.2,23.3523,120,15.3825,120,600000,-707.5823974609375,3110.17
3160.35,23.0731,121,16.0433,121,605000,-762.1654052734375,3125.05
3001.89,23.3688,122,15.0963,122,610000,-807.8408813476562,3126.28
3024.22,23.1882,123,15.112,123,615000,-833.166259765625,3085.34
3065.61,23.5103,124,15.3226,124,620000,-800.916015625,3089.46
3133.2,23.1328,125,15.2577,125,625000,-762.5485229492188,3152.41
3116.25,23.3172,126,15.2285,126,630000,-684.0625610351562,3145.07
3172.16,23.4895,127,15.3011,127,635000,-800.2310791015625,3126.66
3096.59,22.6486,128,14.9783,128,640000,-745.366455078125,3134.67
2837.17,23.2129,129,15.1147,129,645000,-821.1185302734375,3121.76
3184.58,23.1134,130,15.3922,130,650000,-800.092529296875,3129.1
3214.94,22.3109,131,14.628,131,655000,-785.9580688476562,3149.36
2991.15,22.9041,132,15.2473,132,660000,-904.1528930664062,3090.07
3049.19,22.6641,133,16.3818,133,665000,-851.5477905273438,3134.49
3169.07,23.0779,134,15.2482,134,670000,-861.1939697265625,3144.38
2853.96,22.8097,135,14.3003,135,675000,-924.6873779296875,3127.49
3197.66,22.3843,136,15.9383,136,680000,-801.3827514648438,3165.57
3144.09,22.6009,137,14.5385,137,685000,-844.5275268554688,3131.45
3004.89,22.4318,138,13.7686,138,690000,-991.9859619140625,3124.53
2831.32,22.4528,139,14.2965,139,695000,-825.2091674804688,3159.19
2975.52,22.4433,140,15.2951,140,700000,-934.754150390625,3178.06
3188.81,22.3243,141,15.1342,141,705000,-936.4173583984375,3129.41
2999.73,22.3262,142,14.1487,142,710000,-922.6484375,3164.71
2900.81,22.2404,143,16.3258,143,715000,-1006.5455322265625,3205.24
3042.7,22.2757,144,14.0767,144,720000,-924.00341796875,3169.27
