Itration,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps,Running Update Time,Real Det Return
68,16.4615,26.0938,-1619.1998291015625,3215.36,340000,68,3236.62
69,15.0725,25.3984,-1593.43359375,2887.51,345000,69,3267.6
70,13.8185,25.1146,-1689.3140869140625,1716.84,350000,70,3268.71
71,16.3302,26.0535,-1636.244384765625,3212.41,355000,71,3278.11
72,14.9675,25.322,-1747.2176513671875,3056.96,360000,72,3252.69
73,16.3896,26.0552,-1784.8367919921875,3224.33,365000,73,3250.0
74,16.6724,26.5542,-1751.4127197265625,3110.5,370000,74,3245.51
75,15.8989,26.2404,-1871.089599609375,2463.71,375000,75,3229.74
76,14.6059,25.4128,-1757.536376953125,2758.09,380000,76,3257.36
77,15.7151,25.797,-1761.3133544921875,2957.61,385000,77,3257.21
78,14.9951,25.7224,-1986.5093994140625,1800.96,390000,78,3248.66
79,15.0672,25.5084,-1832.6217041015625,2443.64,395000,79,3250.7
80,15.9492,26.2471,-2022.5169677734375,2880.94,400000,80,3235.47
81,14.4874,25.0939,-1978.283935546875,2766.29,405000,81,3262.46
82,13.484,25.5787,-2119.907470703125,1978.11,410000,82,3267.41
83,14.606,25.7668,-1948.5223388671875,2522.59,415000,83,3294.77
84,13.8782,25.8292,-2081.298095703125,2057.85,420000,84,3267.76
85,15.3456,26.2557,-2077.08544921875,3038.29,425000,85,3248.03
86,14.2458,25.7476,-2139.62841796875,2485.1,430000,86,3238.81
87,15.3192,25.9915,-2144.68994140625,2691.76,435000,87,3261.34
88,15.3425,25.7425,-2222.470947265625,1895.17,440000,88,3258.27
89,16.5656,25.5893,-2296.927001953125,1761.64,445000,89,3273.65
90,15.1378,25.7928,-2135.52734375,1950.32,450000,90,3276.7
91,13.9939,25.6964,-2215.22265625,2216.43,455000,91,3298.14
92,15.6793,25.5817,-2382.53564453125,2504.05,460000,92,3267.12
93,15.3411,24.4877,-2198.670654296875,2600.04,465000,93,3291.02
94,19.2643,25.9439,-2678.100830078125,1599.97,470000,94,3266.06
95,16.1163,25.6717,-2412.52734375,3164.65,475000,95,3250.33
96,15.8785,25.8037,-2214.736572265625,3079.99,480000,96,3275.77
97,15.0755,25.8145,-2580.773193359375,2460.46,485000,97,3272.87
98,15.119,25.8427,-2587.029052734375,2277.7,490000,98,3285.08
99,15.347,25.5548,-2469.760498046875,2708.4,495000,99,3262.87
100,15.9063,25.5669,-2492.682861328125,3012.88,500000,100,3253.03
101,19.2088,25.2923,-2723.627685546875,2519.09,505000,101,3242.19
102,15.8267,25.6692,-2731.783203125,3018.2,510000,102,3286.66
103,16.1562,25.4717,-2804.64794921875,2779.42,515000,103,3289.27
104,17.8248,25.0489,-2796.797607421875,2529.59,520000,104,3278.52
105,15.8591,25.6639,-2836.66015625,2526.13,525000,105,3278.18
106,15.0452,25.1459,-2515.001953125,3071.17,530000,106,3213.1
107,16.1037,25.8355,-2902.343994140625,2284.29,535000,107,3263.59
108,17.1668,25.2266,-2998.828369140625,2343.4,540000,108,3245.83
109,15.4851,25.4981,-2685.46923828125,2484.94,545000,109,3288.07
110,15.0998,25.4496,-2698.32958984375,2950.34,550000,110,3262.91
111,17.0223,25.3879,-2872.208740234375,2578.34,555000,111,3260.05
112,19.5448,25.3079,-3044.291748046875,2125.94,560000,112,3219.67
113,16.9156,24.7204,-2687.956787109375,2664.64,565000,113,3263.15
114,15.9011,25.5106,-2628.011474609375,3251.33,570000,114,3247.26
115,15.7082,25.8142,-2699.41357421875,3183.9,575000,115,3259.48
116,15.5325,25.4501,-2677.087646484375,3160.81,580000,116,3237.66
117,15.8021,25.3668,-3083.9765625,3026.23,585000,117,3254.75
118,15.885,25.5782,-3189.15283203125,2248.74,590000,118,3278.55
119,14.3942,25.1675,-2731.490234375,3014.02,595000,119,3276.54
120,15.6277,25.3255,-2941.430908203125,3230.43,600000,120,3225.42
121,15.2322,24.8041,-3076.023193359375,3034.91,605000,121,3241.27
122,16.9021,26.3357,-3086.054931640625,3254.31,610000,122,3251.15
123,15.2558,25.3295,-2815.2841796875,3218.56,615000,123,3212.37
124,15.9806,25.526,-3057.542724609375,3176.91,620000,124,3242.03
125,16.045,24.913,-3003.9814453125,3210.28,625000,125,3209.99
126,15.6801,25.7308,-3034.41552734375,3073.44,630000,126,3300.83
127,15.7912,25.4225,-3083.37060546875,3256.36,635000,127,3254.9
128,15.9102,25.5562,-3198.748779296875,3207.62,640000,128,3216.04
129,15.6616,25.5369,-3095.327392578125,3188.79,645000,129,3272.06
130,15.7791,25.5414,-3110.60791015625,3231.13,650000,130,3282.67
131,14.8386,25.1536,-3338.085693359375,2931.21,655000,131,3294.53
132,15.6079,25.3207,-3354.98486328125,3260.16,660000,132,3261.89
133,15.3394,25.8814,-3621.665283203125,2895.65,665000,133,3292.45
134,14.5486,25.1677,-3332.831787109375,3082.71,670000,134,3283.62
135,15.718,25.3634,-3436.453857421875,2915.46,675000,135,3284.05
136,14.9196,24.9998,-3446.593505859375,3068.88,680000,136,3297.26
137,14.6493,24.9705,-3308.7080078125,3275.24,685000,137,3281.72
138,14.4683,25.0135,-3652.806396484375,3033.95,690000,138,3283.7
139,15.1932,25.466,-3684.71337890625,2469.53,695000,139,3291.9
140,15.6968,25.2279,-3445.529296875,3047.33,700000,140,3296.12
141,15.4912,25.6227,-3758.21826171875,2893.96,705000,141,3249.2
142,15.1397,24.8374,-3661.4912109375,2467.33,710000,142,3299.68
143,15.9702,25.3877,-3981.834716796875,1637.98,715000,143,3286.79
144,15.3313,25.5046,-3705.3173828125,3268.63,720000,144,3296.77
145,14.9318,25.3084,-3793.803955078125,2922.55,725000,145,3304.07
146,14.6039,25.5038,-3859.680419921875,3164.75,730000,146,3279.37
147,14.1941,24.404,-3414.928466796875,3266.33,735000,147,3266.44
148,15.5395,25.29,-3690.537109375,3257.54,740000,148,3283.83
149,14.8022,24.9856,-3668.528564453125,3249.54,745000,149,3272.38
150,14.6324,25.0848,-3764.434326171875,3269.15,750000,150,3279.17
151,15.1837,25.526,-3819.16015625,2644.22,755000,151,3315.64
152,14.0797,25.018,-3779.818603515625,3151.28,760000,152,3274.36
153,15.2157,25.6016,-3984.002685546875,3250.69,765000,153,3264.37
154,15.5259,25.478,-3977.543212890625,2976.98,770000,154,3280.74
155,15.245,24.7697,-3951.8525390625,2680.01,775000,155,3292.37
156,15.2524,25.1095,-3962.20751953125,3126.3,780000,156,3298.24
157,14.5622,23.9648,-3583.933837890625,3183.79,785000,157,3293.17
158,14.828,24.9676,-3992.71435546875,3288.89,790000,158,3299.55
159,14.0,24.7858,-3916.7587890625,3263.45,795000,159,3290.73
160,14.9188,24.9815,-4033.886962890625,2907.19,800000,160,3277.82
161,16.1135,25.5201,-4238.435546875,2535.31,805000,161,3280.74
162,13.6148,25.0579,-4256.8720703125,2519.97,810000,162,3290.51
163,15.287,24.953,-4361.92431640625,3180.79,815000,163,3290.87
164,14.9986,25.2565,-4027.595947265625,3257.97,820000,164,3271.04
165,14.8426,25.0309,-4152.697265625,3273.82,825000,165,3280.44
166,15.2376,25.7886,-4418.47607421875,3091.82,830000,166,3288.05
167,14.3309,24.5285,-3883.17578125,3125.51,835000,167,3302.18
168,15.4199,25.6463,-4223.72216796875,3265.79,840000,168,3269.47
169,15.3267,25.4565,-3986.467041015625,3295.34,845000,169,3303.65
170,15.868,25.3142,-4584.0703125,3173.61,850000,170,3269.58
171,14.1391,24.625,-4348.0888671875,2730.08,855000,171,3299.25
172,14.7569,25.0236,-4248.4716796875,3273.82,860000,172,3284.02
173,14.4253,24.8971,-4586.134765625,3154.15,865000,173,3266.68
174,14.8535,25.5117,-4557.14990234375,3226.39,870000,174,3275.56
175,16.0072,25.2315,-4795.66748046875,2459.3,875000,175,3295.7
176,13.7438,24.5031,-4545.47119140625,2718.93,880000,176,3301.99
177,14.4937,24.6745,-4366.6162109375,3262.98,885000,177,3273.56
178,15.366,25.0628,-4068.446044921875,2505.52,890000,178,269.37
179,14.8595,24.8125,-4562.701171875,3191.92,895000,179,3297.56
180,14.9617,24.2784,-4565.8876953125,958.99,900000,180,282.15
181,15.1578,25.2011,-4712.4453125,3101.24,905000,181,3297.69
182,12.8391,24.716,-4641.13623046875,2342.09,910000,182,3281.41
183,15.2434,25.336,-4799.10791015625,3272.39,915000,183,3278.96
184,15.4088,25.4725,-4586.646484375,3275.83,920000,184,3298.18
185,14.8336,25.196,-4553.94384765625,3298.14,925000,185,3316.78
186,13.7977,23.5601,-4430.708984375,3196.19,930000,186,3313.6
187,14.7891,24.8272,-4913.2451171875,3263.21,935000,187,3274.35
188,14.2066,24.2484,-4840.47607421875,2994.1,940000,188,3311.97
189,13.1914,24.9436,-4684.04541015625,2365.61,945000,189,3309.38
190,14.4318,24.6448,-4815.001953125,3062.75,950000,190,3284.43
191,14.0949,24.2311,-4494.1416015625,2605.96,955000,191,3306.84
192,16.879,25.4916,-5266.544921875,3257.97,960000,192,3260.73
193,15.3275,25.0151,-5173.1181640625,3271.6,965000,193,3294.18
194,15.0926,23.9988,-4969.69677734375,2612.11,970000,194,3303.13
195,14.5759,24.7952,-4944.703125,3173.07,975000,195,3278.15
196,14.9278,24.8373,-5171.40380859375,3180.44,980000,196,3296.59
197,14.636,24.6556,-4886.5517578125,3104.0,985000,197,3299.66
198,15.291,25.6511,-5265.51806640625,3203.87,990000,198,3280.16
199,15.2026,25.0732,-5432.79541015625,3263.47,995000,199,3275.14
