Real Sto Return,Running Env Steps,Real Det Return,Running Reverse KL,Running Update Time,Running Forward KL,Itration,Reward Loss
1559.94,165000,1893.33,16.6924,33,157.8358,33,-866.4238891601562
1554.47,170000,1907.26,16.7026,34,157.6475,34,-915.5216674804688
1623.74,175000,1928.87,16.76,35,157.7042,35,-957.23291015625
1564.96,180000,1971.14,16.78,36,157.5928,36,-979.3796997070312
1598.5,185000,1997.98,16.835,37,157.5548,37,-1024.33203125
1518.57,190000,1870.73,16.4151,38,157.541,38,-1088.18359375
1577.25,195000,1894.4,16.7509,39,157.7277,39,-1130.79296875
1617.57,200000,1978.27,16.8,40,157.4914,40,-1145.12744140625
1567.72,205000,1891.0,16.0593,41,157.3986,41,-1200.837646484375
1620.51,210000,1982.91,16.8985,42,157.7691,42,-1241.38330078125
1596.45,215000,1964.91,16.6794,43,157.6676,43,-1276.9097900390625
1628.92,220000,2005.13,16.2103,44,157.3858,44,-1323.7813720703125
1627.54,225000,1988.49,16.2644,45,157.4478,45,-1369.5018310546875
1611.6,230000,1950.31,16.2532,46,157.6317,46,-1420.0120849609375
1588.85,235000,1930.68,16.3362,47,157.5281,47,-1439.452392578125
1607.41,240000,1996.16,16.1783,48,157.3169,48,-1495.6075439453125
1617.15,245000,1956.2,16.4675,49,157.5809,49,-1557.638427734375
1622.74,250000,1910.96,16.0036,50,157.3646,50,-1583.4449462890625
1662.76,255000,2044.94,16.4107,51,157.3013,51,-1596.8284912109375
1690.35,260000,2028.85,16.3505,52,157.3451,52,-1657.543701171875
1633.09,265000,1983.86,15.8104,53,157.2675,53,-1697.2218017578125
1667.59,270000,2044.12,15.7866,54,157.0398,54,-1727.56494140625
1592.69,275000,1970.65,15.8234,55,157.4133,55,-1776.4061279296875
1677.2,280000,2002.63,15.6712,56,157.197,56,-1806.875
1678.72,285000,2033.69,16.1861,57,157.2047,57,-1844.8350830078125
1679.16,290000,2030.24,15.9441,58,157.0487,58,-1903.111328125
1662.54,295000,2035.56,16.2737,59,157.2184,59,-1953.9036865234375
1724.85,300000,2139.89,16.5838,60,157.0851,60,-1985.3778076171875
1720.16,305000,2119.1,16.4531,61,157.3413,61,-2009.6373291015625
1708.49,310000,2071.64,16.4755,62,157.1919,62,-2065.618896484375
1703.05,315000,2071.08,16.3504,63,157.23,63,-2126.976806640625
1693.89,320000,2065.63,16.5225,64,157.257,64,-2155.24462890625
1709.01,325000,2123.93,16.2369,65,157.0942,65,-2182.295166015625
1748.84,330000,2075.67,16.2583,66,157.1426,66,-2237.9921875
1713.06,335000,2101.79,16.3515,67,157.3748,67,-2288.344482421875
1713.48,340000,2066.28,16.21,68,157.0687,68,-2313.122802734375
1768.76,345000,2153.29,16.5285,69,157.0609,69,-2369.2099609375
1707.87,350000,2078.83,15.8798,70,157.3472,70,-2408.944091796875
1719.02,355000,2080.22,16.2486,71,157.3541,71,-2452.20654296875
1714.93,360000,2103.95,16.0343,72,157.2525,72,-2516.591064453125
1791.62,365000,2147.89,16.4924,73,157.2211,73,-2550.243896484375
1760.89,370000,2149.92,16.3552,74,157.1998,74,-2580.236328125
1739.02,375000,2124.18,16.3239,75,157.2797,75,-2613.103759765625
1766.51,380000,2118.0,16.1683,76,157.1596,76,-2690.34912109375
1742.97,385000,2080.13,16.0362,77,157.2994,77,-2717.92919921875
1731.56,390000,2094.16,16.0087,78,157.1425,78,-2750.57177734375
1748.04,395000,2031.99,15.9492,79,157.007,79,-2830.869873046875
1760.09,400000,2121.3,16.1819,80,157.1415,80,-2821.990966796875
1732.89,405000,2077.14,15.911,81,157.0632,81,-2886.337158203125
1754.68,410000,2112.49,15.8571,82,157.178,82,-2946.08740234375
1741.93,415000,2094.34,15.5025,83,157.0887,83,-2983.987060546875
1747.34,420000,2114.36,16.179,84,156.9845,84,-3029.62353515625
1763.85,425000,2166.16,16.4693,85,157.068,85,-3076.997314453125
1731.69,430000,2135.29,16.2901,86,157.1713,86,-3154.16748046875
1785.8,435000,2145.48,16.1551,87,157.0515,87,-3160.9580078125
1770.15,440000,2124.42,15.3667,88,157.0529,88,-3221.672607421875
1789.45,445000,2164.2,16.1052,89,157.2548,89,-3271.022216796875
1824.91,450000,2178.57,16.3118,90,156.9794,90,-3306.0732421875
1708.86,455000,2065.61,15.6864,91,157.0714,91,-3339.7470703125
1773.01,460000,2147.36,16.1036,92,157.1214,92,-3377.61962890625
1802.71,465000,2165.49,16.1887,93,157.1093,93,-3410.50048828125
1772.86,470000,2091.29,15.7424,94,156.9611,94,-3465.908203125
1789.21,475000,2146.03,15.7346,95,156.9504,95,-3530.880126953125
1771.18,480000,2077.31,15.8092,96,157.1825,96,-3572.603515625
1764.26,485000,2087.9,15.7462,97,157.1235,97,-3624.08447265625
1827.73,490000,2183.54,16.1542,98,156.9829,98,-3625.669189453125
1732.36,495000,2041.09,15.6633,99,157.1219,99,-3731.560791015625
1728.14,500000,2069.12,15.568,100,157.1869,100,-3748.370849609375
1763.6,505000,2080.09,15.7485,101,156.923,101,-3800.60595703125
1795.94,510000,2144.8,16.0997,102,157.0256,102,-3861.0615234375
1804.19,515000,2170.48,15.8602,103,157.1335,103,-3916.9775390625
1788.32,520000,2158.11,15.7574,104,157.0406,104,-3961.333251953125
1823.08,525000,2175.3,16.073,105,156.7823,105,-3975.498046875
1776.07,530000,2120.02,15.4946,106,156.8963,106,-4035.201171875
1745.73,535000,2085.48,15.5196,107,157.0144,107,-4079.536376953125
1822.06,540000,2173.05,16.4046,108,157.1404,108,-4125.02978515625
1823.53,545000,2175.07,15.843,109,157.1099,109,-4189.12060546875
1810.98,550000,2197.17,16.3377,110,156.9801,110,-4247.50830078125
1788.52,555000,2119.7,15.7818,111,157.1104,111,-4305.84521484375
1806.66,560000,2172.03,15.8255,112,156.9697,112,-4348.36669921875
1780.9,565000,2105.61,15.4231,113,157.016,113,-4359.70751953125
1801.76,570000,2184.48,16.0854,114,157.1042,114,-4436.5185546875
1842.22,575000,2187.84,15.8607,115,157.07,115,-4489.83056640625
1832.12,580000,2169.06,16.0017,116,157.0896,116,-4554.21875
1835.87,585000,2179.15,16.057,117,156.8076,117,-4562.9990234375
1820.71,590000,2148.48,15.8313,118,156.8473,118,-4643.59716796875
1781.32,595000,2096.23,15.5943,119,156.9537,119,-4689.005859375
1856.08,600000,2199.37,15.7823,120,156.8898,120,-4685.94189453125
1800.64,605000,2127.34,15.7627,121,157.0244,121,-4720.44384765625
1817.39,610000,2163.0,15.3772,122,156.7386,122,-4746.03076171875
1803.03,615000,2098.05,15.5596,123,156.9019,123,-4805.89599609375
1880.0,620000,2199.15,15.8187,124,157.0153,124,-4835.32568359375
1837.63,625000,2189.59,15.8745,125,156.8782,125,-4853.37939453125
1868.56,630000,2207.72,16.0874,126,156.9972,126,-4960.5263671875
1845.77,635000,2191.55,15.7202,127,156.9409,127,-4948.92431640625
1812.54,640000,2180.66,15.9971,128,157.0218,128,-5003.1748046875
1826.53,645000,2182.13,16.0245,129,156.9083,129,-5058.5498046875
1850.81,650000,2200.77,15.9082,130,156.7939,130,-5086.4638671875
1808.84,655000,2146.17,15.7408,131,156.8555,131,-5143.55859375
1799.99,660000,2154.69,15.763,132,156.8992,132,-5136.2841796875
1827.37,665000,2171.47,15.6163,133,156.7979,133,-5187.267578125
1800.1,670000,2114.22,15.6235,134,156.9169,134,-5247.79443359375
1823.99,675000,2215.4,15.7997,135,156.9454,135,-5332.16357421875
