Itration,Real Det Return,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL
41,932.5,205000,41,1203.58,-1425.427734375,25.9029,37.5927
42,1327.91,210000,42,1252.7,-1288.572265625,25.6914,31.2666
43,1258.87,215000,43,1237.85,-1409.3599853515625,26.7224,34.9593
44,3146.85,220000,44,2474.58,-994.1928100585938,25.2898,27.1814
45,2881.99,225000,45,1748.21,-960.2935791015625,25.435,25.1422
46,1095.07,230000,46,1123.7,-1475.8614501953125,25.8368,34.6381
47,1076.53,235000,47,1174.12,-1541.6922607421875,26.1087,31.6308
48,952.44,240000,48,969.49,-1675.775146484375,26.2793,29.481
49,953.1,245000,49,1044.22,-1600.130859375,26.0688,31.7073
50,3141.64,250000,50,2273.59,-732.34716796875,25.7345,22.8879
51,1139.05,255000,51,1169.94,-1742.0909423828125,26.0543,35.7668
52,1521.24,260000,52,2079.85,-1389.7674560546875,25.665,30.392
53,3153.72,265000,53,2828.19,-607.4808349609375,26.0091,23.005
54,1250.74,270000,54,1050.57,-1790.0482177734375,26.2862,34.4271
55,1141.71,275000,55,1327.47,-1723.2774658203125,25.7309,32.2957
56,3235.21,280000,56,2547.21,-1180.3193359375,25.6258,25.1072
57,3184.33,285000,57,1859.08,-1324.97705078125,25.419,25.7767
58,3144.41,290000,58,2105.39,-1287.20703125,25.7481,25.1638
59,3244.76,295000,59,1841.23,-1570.564697265625,25.7164,31.1027
60,1221.53,300000,60,1348.49,-1879.080078125,25.4539,34.865
61,3036.73,305000,61,1811.92,-1568.9580078125,25.6309,30.0248
62,3128.67,310000,62,3058.78,-714.1182250976562,25.9523,22.5896
63,3317.51,315000,63,3194.3,-602.1558837890625,25.952,20.4863
64,3270.05,320000,64,2777.47,-1189.02099609375,26.2034,24.5349
65,3172.21,325000,65,3015.9,-782.298828125,26.0265,21.3543
66,3256.07,330000,66,2863.95,-754.6891479492188,25.6924,20.4042
67,3284.03,335000,67,2195.09,-1546.2418212890625,25.4141,26.2145
68,3336.2,340000,68,1890.21,-1718.3944091796875,25.7893,26.9153
69,1379.34,345000,69,1547.16,-2108.865478515625,25.8893,32.3608
70,3336.58,350000,70,2422.75,-803.1703491210938,25.524,20.5043
71,3205.38,355000,71,2720.77,-1108.2484130859375,26.0117,22.1527
72,3250.49,360000,72,2767.91,-836.56884765625,25.8451,21.2812
73,3258.1,365000,73,1267.46,-1964.8658447265625,25.6055,28.5494
74,3204.02,370000,74,3243.24,-857.931396484375,26.4437,22.0602
75,3167.68,375000,75,3097.05,-907.7994995117188,26.2943,20.9461
76,3197.27,380000,76,3171.67,-1005.566650390625,26.4428,21.606
77,1925.87,385000,77,1871.54,-1631.0855712890625,25.4902,26.8072
78,3246.6,390000,78,2575.13,-1404.105224609375,25.5748,22.3424
79,3318.61,395000,79,2866.67,-1333.4853515625,25.4624,22.9757
80,3315.43,400000,80,2028.4,-2047.731201171875,25.3334,27.9214
81,3340.29,405000,81,2213.38,-1487.65234375,25.0276,21.7601
82,3235.18,410000,82,2883.2,-1393.9212646484375,25.8454,23.6694
83,3373.25,415000,83,2673.49,-1537.7615966796875,25.615,24.7289
84,3223.77,420000,84,3078.62,-1183.933837890625,25.5516,21.5754
85,3226.07,425000,85,3081.45,-1251.8944091796875,25.5034,22.2215
86,3237.13,430000,86,3278.57,-1019.5086059570312,26.2802,21.5695
87,3361.93,435000,87,2788.29,-1949.19921875,25.7638,27.6681
88,3335.37,440000,88,2674.06,-1263.00146484375,25.588,21.1606
89,3262.06,445000,89,2908.44,-1444.3377685546875,25.448,22.8758
90,3222.07,450000,90,3133.11,-1522.836669921875,25.6108,23.7012
91,3315.73,455000,91,1898.1,-2384.987060546875,25.7916,30.0096
92,3299.33,460000,92,3279.58,-1501.9129638671875,25.7037,22.9705
93,3289.58,465000,93,2631.48,-1512.10498046875,26.1927,22.5732
94,3260.47,470000,94,2448.06,-1732.1009521484375,25.8123,23.545
95,3322.64,475000,95,1897.73,-2139.6962890625,25.5458,26.7943
96,3281.19,480000,96,3210.34,-1744.19482421875,25.7326,24.1991
97,3300.47,485000,97,2238.16,-2237.863037109375,25.8216,26.6493
98,3339.8,490000,98,2974.51,-1587.8265380859375,26.1286,22.0487
99,3253.14,495000,99,2255.65,-1912.0985107421875,25.7316,26.1467
100,3297.07,500000,100,2006.29,-2165.541015625,25.856,27.7971
101,3349.64,505000,101,2343.87,-2183.628662109375,25.5434,26.1058
102,3308.73,510000,102,2503.88,-1904.495849609375,25.751,24.1125
103,3244.54,515000,103,2707.88,-1957.7349853515625,25.5619,24.714
104,3333.11,520000,104,2302.4,-2353.290283203125,25.5279,27.5702
105,2392.04,525000,105,1541.53,-2740.656494140625,25.5813,32.3221
106,3284.9,530000,106,3214.71,-1470.4246826171875,26.2845,21.5195
107,3262.23,535000,107,3207.44,-1668.119384765625,25.9206,22.1941
108,3372.24,540000,108,2461.02,-2149.185302734375,25.2928,26.4211
109,3340.2,545000,109,1804.34,-2688.129150390625,25.5307,28.2069
110,3290.51,550000,110,2331.55,-2305.827392578125,25.7239,25.1474
111,3274.17,555000,111,2030.78,-2223.4228515625,25.4211,27.2284
112,3350.18,560000,112,2631.49,-2425.62744140625,25.4851,24.342
113,3276.19,565000,113,2181.65,-2255.008056640625,25.669,25.0599
114,3331.83,570000,114,2474.32,-2310.496826171875,25.734,26.3655
115,3257.63,575000,115,2818.08,-2146.358642578125,25.3587,21.9464
116,3263.42,580000,116,3101.47,-1866.2249755859375,25.5147,22.5678
117,3261.82,585000,117,2796.65,-1914.0279541015625,25.8757,21.0093
118,3264.77,590000,118,3285.61,-1831.52197265625,26.804,22.3045
119,3314.6,595000,119,2417.99,-2211.13427734375,25.9176,23.2932
120,3319.54,600000,120,2426.76,-2420.84228515625,26.1358,25.7312
121,3304.38,605000,121,2542.81,-2061.657958984375,25.5449,22.4599
122,3305.6,610000,122,3309.35,-1922.91796875,26.0076,20.63
123,1270.81,615000,123,1062.58,-3627.87451171875,26.8202,38.8922
124,3320.05,620000,124,3043.46,-2012.701904296875,26.4256,21.9597
125,1371.97,625000,125,1900.43,-3203.260498046875,26.1245,33.3333
126,3333.57,630000,126,3073.7,-2013.062744140625,26.1072,21.3258
127,3316.09,635000,127,2614.99,-2196.01318359375,25.4467,24.3568
128,3330.39,640000,128,3298.97,-2076.3642578125,26.44,21.0969
129,2424.31,645000,129,1385.41,-3398.36083984375,26.0467,32.7661
130,3353.92,650000,130,3173.95,-2051.548095703125,26.2293,21.6896
131,3297.19,655000,131,3122.46,-1714.73681640625,26.1804,20.0935
132,3314.13,660000,132,2343.07,-2237.9296875,25.9833,23.2307
133,3309.49,665000,133,3123.2,-2735.525390625,25.6132,24.5247
134,3326.85,670000,134,2486.93,-2469.86962890625,25.8575,24.2085
135,3392.32,675000,135,2426.01,-2757.22265625,25.717,25.9623
136,3327.25,680000,136,2095.76,-2942.498046875,26.0806,26.9913
137,3284.67,685000,137,2825.16,-2075.642822265625,26.1523,21.3193
138,3324.78,690000,138,3147.15,-2056.975830078125,26.5381,21.1343
139,3285.87,695000,139,2805.7,-2338.967529296875,26.1229,21.7285
140,3338.55,700000,140,2708.6,-2588.20703125,25.5487,22.7596
141,3326.38,705000,141,3252.18,-2377.77099609375,26.3019,21.2438
142,3331.53,710000,142,2265.57,-2789.6953125,25.5699,24.7274
143,3345.07,715000,143,2190.5,-2807.866943359375,25.7651,22.6705
144,3324.99,720000,144,1383.39,-3948.50830078125,26.1551,35.2135
145,3413.51,725000,145,1975.84,-3435.400390625,25.8685,24.8561
146,3388.63,730000,146,2915.5,-3336.259765625,25.4975,26.7938
147,3286.04,735000,147,2322.07,-2686.802978515625,25.3552,22.4499
148,3327.75,740000,148,3228.49,-2469.653076171875,25.4148,20.5925
149,3346.4,745000,149,3287.17,-2640.18701171875,26.372,21.2541
150,3389.63,750000,150,1492.6,-4040.3701171875,26.1073,35.6484
151,3280.58,755000,151,3163.16,-2580.4765625,26.2099,20.6052
152,3321.64,760000,152,3258.0,-2464.178466796875,26.6851,21.5097
153,3296.41,765000,153,2755.43,-3370.87109375,25.4683,25.7331
154,3331.88,770000,154,2636.29,-3394.489501953125,24.7804,26.8354
155,3331.32,775000,155,3251.93,-2613.676025390625,26.295,21.2315
156,3301.9,780000,156,3331.34,-2662.6083984375,26.845,21.4741
157,3288.34,785000,157,3322.06,-2896.250244140625,26.3826,21.7786
158,3384.94,790000,158,3278.49,-2701.595458984375,26.0088,21.8113
159,3370.16,795000,159,3152.18,-2627.78466796875,26.5121,20.8131
160,3367.15,800000,160,3212.18,-2805.90673828125,26.3354,21.9309
161,3354.73,805000,161,3238.57,-2874.0439453125,26.5341,22.3232
162,3315.65,810000,162,3241.03,-2847.09912109375,26.2684,20.6281
163,3377.53,815000,163,3285.1,-2874.541015625,26.549,21.6392
164,3305.34,820000,164,3326.53,-2900.79052734375,26.623,21.5065
165,3333.14,825000,165,3339.56,-3086.48779296875,26.3407,21.3836
166,3399.14,830000,166,3236.52,-2967.076171875,26.3142,19.6326
167,3411.8,835000,167,2827.38,-3387.05908203125,25.9704,20.8848
168,3360.92,840000,168,2593.65,-3458.49169921875,25.8643,16.8381
169,3346.87,845000,169,3352.2,-3058.616943359375,26.5375,21.3366
170,3370.77,850000,170,3285.04,-2935.978515625,25.6564,20.3764
171,3375.54,855000,171,2402.9,-4071.5849609375,26.0785,29.9234
172,3332.79,860000,172,3376.72,-3059.260986328125,26.2008,20.2689
173,3255.96,865000,173,3277.16,-3243.739013671875,26.3476,21.156
174,3356.13,870000,174,3285.85,-3102.653564453125,26.4848,20.8735
175,3347.05,875000,175,3363.48,-3136.5927734375,26.3106,20.6592
176,3399.34,880000,176,2783.59,-3614.09814453125,25.8923,20.1535
177,3330.57,885000,177,3251.87,-3178.7529296875,26.2662,20.7132
178,3352.82,890000,178,3374.56,-3295.345947265625,26.5739,21.071
179,3376.4,895000,179,3097.08,-3419.981201171875,25.9059,18.84
180,3318.04,900000,180,3338.25,-3182.337890625,26.1955,20.2608
181,3375.98,905000,181,3306.13,-3618.4345703125,26.25,21.0278
182,3336.6,910000,182,3166.73,-3475.37548828125,25.9356,18.6039
183,3394.56,915000,183,3283.06,-3447.96728515625,26.1904,19.813
184,3342.85,920000,184,3303.93,-3760.589599609375,26.5221,21.5182
185,3385.63,925000,185,3112.36,-3819.09130859375,26.1314,17.811
186,3318.58,930000,186,3325.07,-3887.490234375,26.2572,20.3587
187,3354.47,935000,187,3172.32,-3518.640869140625,25.9194,19.1833
188,3392.67,940000,188,2814.79,-3783.702880859375,25.0702,19.0376
189,3377.91,945000,189,3064.5,-3732.949951171875,24.6318,18.4794
190,3368.85,950000,190,3376.72,-3657.477783203125,26.3524,20.7652
191,3362.13,955000,191,3280.99,-3951.0400390625,26.2411,24.5236
192,3348.15,960000,192,3171.77,-3849.2158203125,25.5856,19.8541
193,3381.41,965000,193,3286.73,-3782.4453125,26.598,20.612
194,3371.87,970000,194,3288.69,-3778.00390625,26.4287,20.9093
195,3357.63,975000,195,3253.63,-3795.914306640625,26.8139,20.8562
196,3372.1,980000,196,3166.39,-3900.572998046875,26.1018,19.7565
197,3377.24,985000,197,3274.1,-3847.054931640625,25.2081,16.682
198,3349.86,990000,198,3247.97,-4015.222900390625,26.2755,20.8224
199,3326.58,995000,199,3357.13,-4058.0341796875,26.6327,20.95
