Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Itration,Real Det Return
156.8001,475000,1834.23,15.6856,95,-3482.527587890625,95,2170.22
156.9151,480000,1822.39,15.7807,96,-3512.912353515625,96,2176.71
156.8789,485000,1783.11,15.3563,97,-3558.361328125,97,2080.56
156.6875,490000,1860.46,15.6877,98,-3572.1669921875,98,2188.81
156.7057,495000,1830.44,15.473,99,-3642.23193359375,99,2140.97
156.9721,500000,1808.17,15.5012,100,-3700.5869140625,100,2098.8
156.8655,505000,1827.76,15.6114,101,-3738.630859375,101,2142.0
156.8252,510000,1806.0,15.2336,102,-3775.81396484375,102,2093.63
156.8779,515000,1834.38,15.5923,103,-3846.4580078125,103,2137.96
156.7734,520000,1871.98,15.9598,104,-3858.094482421875,104,2231.48
156.9266,525000,1820.05,15.4428,105,-3924.185791015625,105,2162.72
156.874,530000,1818.35,15.5162,106,-3958.376953125,106,2168.81
156.8206,535000,1801.37,15.3844,107,-4018.746337890625,107,2130.15
156.6116,540000,1841.64,15.5133,108,-4022.756103515625,108,2193.32
156.9785,545000,1844.97,15.5365,109,-4111.78125,109,2184.09
156.92,550000,1780.08,15.529,110,-4164.16015625,110,2138.94
156.7497,555000,1836.91,15.6576,111,-4172.07421875,111,2167.6
156.6522,560000,1859.6,15.5567,112,-4233.75048828125,112,2192.17
156.8113,565000,1829.92,15.4671,113,-4291.42919921875,113,2190.24
156.7602,570000,1846.76,15.6542,114,-4291.18017578125,114,2197.7
156.8966,575000,1836.31,15.5512,115,-4376.4482421875,115,2142.81
156.7276,580000,1839.92,15.7148,116,-4452.12451171875,116,2154.67
156.8243,585000,1850.28,15.6906,117,-4478.88623046875,117,2203.99
156.754,590000,1857.08,15.7347,118,-4541.7939453125,118,2183.95
156.8381,595000,1824.15,15.3728,119,-4589.6064453125,119,2117.73
156.9171,600000,1822.61,15.7738,120,-4656.8876953125,120,2170.77
156.7888,605000,1834.2,15.6026,121,-4674.7255859375,121,2166.68
156.8217,610000,1807.19,15.5579,122,-4740.61767578125,122,2166.65
156.8826,615000,1865.66,15.7729,123,-4788.546875,123,2171.46
156.7654,620000,1825.28,15.7097,124,-4863.81298828125,124,2127.75
156.8724,625000,1858.62,15.6732,125,-4893.19970703125,125,2215.98
156.6919,630000,1858.87,15.5755,126,-4943.5400390625,126,2219.94
156.7373,635000,1875.97,15.5668,127,-4979.02001953125,127,2227.2
156.7833,640000,1844.48,15.5707,128,-5022.03662109375,128,2141.43
156.8906,645000,1864.53,15.4578,129,-5095.677734375,129,2196.59
156.7673,650000,1848.69,15.5248,130,-5138.75439453125,130,2198.72
156.7951,655000,1852.82,15.6183,131,-5220.9267578125,131,2129.11
156.6778,660000,1874.06,15.66,132,-5267.53662109375,132,2192.91
156.9343,665000,1856.91,15.4461,133,-5306.255859375,133,2186.73
156.6722,670000,1868.01,15.5231,134,-5335.48193359375,134,2227.05
156.645,675000,1877.47,15.5767,135,-5412.13720703125,135,2202.33
156.7242,680000,1876.85,15.5383,136,-5492.060546875,136,2224.24
156.6948,685000,1854.65,15.2922,137,-5550.74267578125,137,2128.43
156.7445,690000,1869.39,15.5557,138,-5598.19921875,138,2230.1
156.7694,695000,1851.63,15.5155,139,-5627.37939453125,139,2195.67
156.8039,700000,1885.53,15.4038,140,-5711.28564453125,140,2219.7
156.7824,705000,1864.91,15.4818,141,-5752.240234375,141,2211.28
156.7182,710000,1887.62,15.5908,142,-5801.4013671875,142,2190.38
156.7961,715000,1851.51,15.3372,143,-5856.06689453125,143,2210.11
156.6125,720000,1858.02,15.1511,144,-5907.28173828125,144,2203.85
156.6086,725000,1869.2,15.4415,145,-5973.13916015625,145,2210.35
156.7212,730000,1886.09,15.341,146,-5990.05029296875,146,2186.39
156.7167,735000,1902.3,15.5773,147,-6076.79248046875,147,2215.01
156.6426,740000,1856.25,15.4864,148,-6135.73876953125,148,2178.92
156.8104,745000,1842.95,15.4063,149,-6167.44140625,149,2180.64
156.6779,750000,1860.4,15.2122,150,-6178.8896484375,150,2199.06
156.7761,755000,1879.41,15.3633,151,-6230.24658203125,151,2209.38
156.7767,760000,1923.07,15.6367,152,-6307.41650390625,152,2258.1
156.7184,765000,1907.68,15.4194,153,-6359.81298828125,153,2186.33
156.514,770000,1913.56,15.5987,154,-6365.5751953125,154,2205.6
156.6311,775000,1879.95,15.2987,155,-6406.4609375,155,2243.96
156.7526,780000,1892.98,15.5127,156,-6501.7392578125,156,2212.64
156.9266,785000,1891.55,15.6863,157,-6542.95849609375,157,2230.41
156.7005,790000,1860.93,15.2459,158,-6575.23681640625,158,2188.73
156.8203,795000,1893.31,15.376,159,-6645.72412109375,159,2177.63
156.7831,800000,1906.96,15.5974,160,-6692.587890625,160,2202.61
156.8012,805000,1883.57,15.6056,161,-6710.21875,161,2231.16
156.6422,810000,1897.91,15.565,162,-6730.37109375,162,2230.99
156.8761,815000,1870.76,15.4371,163,-6809.546875,163,2200.36
156.7709,820000,1882.72,15.4342,164,-6856.31494140625,164,2250.05
156.7307,825000,1885.97,15.5878,165,-6894.94775390625,165,2206.99
156.5749,830000,1894.93,15.3791,166,-6912.64892578125,166,2170.01
156.6282,835000,1885.14,15.2579,167,-6939.68408203125,167,2233.38
156.657,840000,1902.64,15.651,168,-7009.5966796875,168,2281.77
156.834,845000,1872.6,15.4775,169,-7099.986328125,169,2243.7
156.8464,850000,1893.19,15.331,170,-7128.04833984375,170,2246.07
156.6223,855000,1935.08,15.5032,171,-7131.00927734375,171,2262.83
156.7652,860000,1844.34,15.3372,172,-7233.734375,172,2198.67
156.8592,865000,1892.22,15.2604,173,-7281.27783203125,173,2226.8
156.7743,870000,1865.89,15.3013,174,-7301.2080078125,174,2225.58
156.8265,875000,1872.28,15.8271,175,-7401.900390625,175,2191.26
156.674,880000,1862.26,15.0584,176,-7375.4619140625,176,2200.23
156.8101,885000,1891.28,15.3958,177,-7409.9482421875,177,2201.17
156.699,890000,1909.2,15.4783,178,-7449.6162109375,178,2263.67
156.6915,895000,1851.56,15.1988,179,-7507.07470703125,179,2199.83
156.6903,900000,1894.71,15.1227,180,-7541.7783203125,180,2230.83
156.7902,905000,1894.47,15.6463,181,-7585.556640625,181,2229.6
156.6628,910000,1883.64,15.1624,182,-7590.7138671875,182,2247.2
156.7431,915000,1897.06,15.193,183,-7617.83251953125,183,2234.54
156.7401,920000,1898.93,15.3953,184,-7675.52197265625,184,2251.54
156.6617,925000,1864.42,15.3753,185,-7696.8232421875,185,2244.76
156.8659,930000,1875.97,15.2933,186,-7773.86376953125,186,2216.82
156.659,935000,1924.59,15.4852,187,-7746.2763671875,187,2266.33
156.7334,940000,1904.56,15.1315,188,-7794.10595703125,188,2254.61
156.5758,945000,1894.44,15.3993,189,-7848.0283203125,189,2205.02
156.5837,950000,1925.52,15.4858,190,-7850.41943359375,190,2245.63
156.6832,955000,1925.07,15.7293,191,-7898.9765625,191,2275.9
156.5382,960000,1904.26,15.4647,192,-7897.87548828125,192,2264.5
156.7216,965000,1878.22,15.2721,193,-7935.23291015625,193,2204.25
156.7325,970000,1879.57,15.4448,194,-7963.66015625,194,2231.04
156.7744,975000,1880.53,15.0882,195,-8006.11962890625,195,2194.96
156.6808,980000,1888.81,15.4573,196,-8045.361328125,196,2286.82
156.6684,985000,1899.77,15.3498,197,-8016.1884765625,197,2266.26
156.6054,990000,1877.73,14.9887,198,-8022.869140625,198,2222.15
156.7188,995000,1905.17,15.3099,199,-8083.27978515625,199,2206.21
156.5831,1000000,1918.04,15.2801,200,-8087.38134765625,200,2263.42
156.6845,1005000,1939.59,15.4785,201,-8122.58056640625,201,2266.55
156.6586,1010000,1911.86,15.4639,202,-8172.1962890625,202,2247.0
156.73,1015000,1906.64,15.3834,203,-8198.623046875,203,2259.56
156.7726,1020000,1938.09,15.4659,204,-8239.2783203125,204,2281.03
156.5386,1025000,1918.2,15.2539,205,-8235.2470703125,205,2257.92
156.509,1030000,1905.02,15.3523,206,-8270.79296875,206,2277.54
156.5848,1035000,1934.84,15.2538,207,-8306.515625,207,2255.24
156.6231,1040000,1934.06,15.4236,208,-8316.0771484375,208,2275.33
156.5555,1045000,1922.46,15.309,209,-8346.69921875,209,2259.13
156.4986,1050000,1935.56,15.3317,210,-8374.328125,210,2277.65
156.686,1055000,1935.51,15.3729,211,-8413.8251953125,211,2275.87
156.6389,1060000,1919.53,15.233,212,-8446.9892578125,212,2247.2
156.7044,1065000,1918.08,15.2623,213,-8490.5419921875,213,2259.72
156.7376,1070000,1906.11,15.2656,214,-8514.1943359375,214,2253.54
156.6764,1075000,1901.84,15.4554,215,-8527.3193359375,215,2256.6
156.5507,1080000,1927.31,15.3102,216,-8545.5556640625,216,2258.7
156.7359,1085000,1909.49,15.4053,217,-8568.791015625,217,2241.29
156.6374,1090000,1912.81,15.3994,218,-8603.931640625,218,2260.51
156.6078,1095000,1926.65,15.3789,219,-8631.6005859375,219,2249.61
156.7444,1100000,1927.54,15.4326,220,-8657.27734375,220,2276.44
156.653,1105000,1900.75,15.3816,221,-8667.0029296875,221,2270.96
156.5821,1110000,1932.45,15.5312,222,-8699.9892578125,222,2271.66
156.7197,1115000,1924.26,15.4177,223,-8705.396484375,223,2281.17
156.6416,1120000,1919.98,15.5545,224,-8764.06640625,224,2255.9
156.6416,1125000,1951.01,15.4864,225,-8764.1806640625,225,2273.44
156.5575,1130000,1920.68,15.3025,226,-8810.6962890625,226,2280.8
156.4966,1135000,1925.01,15.5831,227,-8824.029296875,227,2284.4
156.5537,1140000,1946.82,15.4613,228,-8871.5830078125,228,2280.7
156.566,1145000,1931.19,15.4368,229,-8888.4638671875,229,2285.49
156.7204,1150000,1924.82,15.3678,230,-8905.255859375,230,2287.3
156.5566,1155000,1915.66,15.5748,231,-8932.0712890625,231,2276.07
156.4753,1160000,1942.14,15.4001,232,-8940.626953125,232,2270.87
156.633,1165000,1960.28,15.5145,233,-8998.8369140625,233,2291.98
156.6764,1170000,1942.62,15.5423,234,-8992.00390625,234,2287.36
156.5303,1175000,1946.76,15.4153,235,-9029.4853515625,235,2282.19
156.67,1180000,1944.85,15.3817,236,-9043.3193359375,236,2282.64
156.633,1185000,1966.26,15.5014,237,-9089.4541015625,237,2295.12
156.6588,1190000,1943.37,15.5098,238,-9127.603515625,238,2278.59
156.6303,1195000,1938.23,15.4151,239,-9122.720703125,239,2282.97
156.7279,1200000,1949.66,15.5443,240,-9169.7783203125,240,2301.43
156.6798,1205000,1937.58,15.3929,241,-9176.970703125,241,2280.65
156.5353,1210000,1959.93,15.5196,242,-9208.8349609375,242,2287.48
156.6613,1215000,1953.81,15.6462,243,-9282.27734375,243,2284.86
156.6424,1220000,1940.39,15.4838,244,-9273.1806640625,244,2292.01
156.6436,1225000,1954.52,15.4217,245,-9320.521484375,245,2285.22
156.5916,1230000,1952.31,15.5392,246,-9319.1630859375,246,2274.21
156.7367,1235000,1955.79,15.7174,247,-9372.25390625,247,2315.45
156.5803,1240000,1947.66,15.4509,248,-9389.869140625,248,2281.01
156.7058,1245000,1949.0,15.627,249,-9411.1494140625,249,2282.78
156.7966,1250000,1939.19,15.5616,250,-9457.6025390625,250,2277.63
156.536,1255000,1967.06,15.5954,251,-9461.333984375,251,2292.04
156.702,1260000,1958.75,15.6728,252,-9494.888671875,252,2289.35
156.5242,1265000,1955.18,15.5477,253,-9554.9775390625,253,2303.32
156.5756,1270000,1952.82,15.5464,254,-9534.521484375,254,2275.77
156.6071,1275000,1946.54,15.5367,255,-9579.123046875,255,2293.14
156.4451,1280000,1958.47,15.4719,256,-9612.2333984375,256,2304.07
156.5033,1285000,1944.92,15.525,257,-9638.0634765625,257,2315.26
156.5559,1290000,1958.66,15.5204,258,-9675.0234375,258,2297.65
156.6938,1295000,1956.29,15.5501,259,-9683.615234375,259,2292.75
156.6195,1300000,1961.92,15.4661,260,-9705.056640625,260,2314.82
156.644,1305000,1957.61,15.5541,261,-9731.5,261,2303.65
156.6358,1310000,1960.76,15.5873,262,-9752.271484375,262,2297.68
156.5678,1315000,1935.27,15.5685,263,-9775.23046875,263,2294.15
156.5552,1320000,1965.94,15.3661,264,-9780.4228515625,264,2296.43
156.5937,1325000,1970.23,15.5602,265,-9821.173828125,265,2300.78
156.4354,1330000,1967.35,15.462,266,-9854.34765625,266,2305.2
156.5924,1335000,1948.71,15.5896,267,-9863.681640625,267,2308.77
156.5736,1340000,1970.14,15.5395,268,-9875.8681640625,268,2312.94
156.6205,1345000,1968.98,15.4889,269,-9926.2763671875,269,2304.26
156.6115,1350000,1969.49,15.5286,270,-9924.2900390625,270,2310.07
156.5923,1355000,1954.11,15.5725,271,-9940.6767578125,271,2310.93
156.6455,1360000,1960.9,15.5611,272,-9975.7080078125,272,2311.2
156.5908,1365000,1956.75,15.5613,273,-9962.837890625,273,2294.42
156.5637,1370000,1956.2,15.4848,274,-10021.65625,274,2301.99
156.6962,1375000,1960.39,15.5394,275,-10040.431640625,275,2308.57
156.6213,1380000,1953.76,15.4964,276,-10053.75,276,2314.52
156.5812,1385000,1967.04,15.5793,277,-10084.716796875,277,2317.05
156.6652,1390000,1963.76,15.5114,278,-10117.48046875,278,2296.91
156.6963,1395000,1979.17,15.5449,279,-10115.873046875,279,2292.56
156.6236,1400000,1955.44,15.492,280,-10127.60546875,280,2305.02
156.4666,1405000,1955.89,15.5374,281,-10137.853515625,281,2293.15
156.5169,1410000,1967.92,15.6994,282,-10184.1142578125,282,2298.8
156.759,1415000,1970.09,15.6401,283,-10212.4970703125,283,2293.1
156.5985,1420000,1974.78,15.6583,284,-10238.203125,284,2293.26
156.5247,1425000,1963.82,15.5799,285,-10251.8310546875,285,2303.12
156.6386,1430000,1971.77,15.6095,286,-10320.455078125,286,2298.99
156.4726,1435000,1971.46,15.4422,287,-10284.4921875,287,2306.47
156.5791,1440000,1973.12,15.5092,288,-10291.892578125,288,2302.21
156.5658,1445000,1975.64,15.5897,289,-10365.787109375,289,2304.34
156.5751,1450000,1996.72,15.6779,290,-10363.400390625,290,2323.38
156.6462,1455000,1967.11,15.5018,291,-10389.8330078125,291,2287.0
156.5674,1460000,1959.79,15.502,292,-10396.3486328125,292,2290.18
156.6879,1465000,1981.73,15.6053,293,-10445.9384765625,293,2311.06
156.5978,1470000,1983.59,15.5276,294,-10426.7021484375,294,2292.59
156.6465,1475000,1977.35,15.6567,295,-10485.041015625,295,2318.7
156.6472,1480000,1977.52,15.5916,296,-10455.71484375,296,2300.14
156.5773,1485000,1944.91,15.5164,297,-10490.8818359375,297,2286.47
156.6499,1490000,1962.99,15.4648,298,-10503.6181640625,298,2307.01
156.6682,1495000,1985.36,15.4272,299,-10523.4287109375,299,2313.66
156.6763,1500000,1969.08,15.373,300,-10534.810546875,300,2287.94
156.5316,1505000,1986.24,15.6518,301,-10538.431640625,301,2305.64
156.6875,1510000,1970.78,15.715,302,-10591.890625,302,2314.27
156.4833,1515000,1954.36,15.7554,303,-10640.935546875,303,2302.92
156.4906,1520000,1962.91,15.5659,304,-10649.23828125,304,2286.54
156.7194,1525000,1973.36,15.5258,305,-10652.890625,305,2293.33
156.791,1530000,1961.17,15.7743,306,-10693.341796875,306,2318.25
156.7475,1535000,1995.6,15.8588,307,-10726.072265625,307,2317.98
156.7525,1540000,1965.49,15.469,308,-10689.8525390625,308,2292.78
156.476,1545000,1956.08,15.4795,309,-10732.4599609375,309,2300.7
156.5793,1550000,1997.57,15.6178,310,-10760.802734375,310,2319.04
156.6143,1555000,1974.76,15.5901,311,-10768.6650390625,311,2297.23
156.5979,1560000,1971.97,15.784,312,-10813.10546875,312,2309.5
156.6932,1565000,1955.58,15.6214,313,-10795.4130859375,313,2311.37
156.6406,1570000,1978.52,15.5016,314,-10802.0107421875,314,2315.31
156.4591,1575000,1969.85,15.6334,315,-10832.76171875,315,2328.99
156.6231,1580000,1967.91,15.5532,316,-10857.8056640625,316,2339.93
156.7258,1585000,1970.82,15.4082,317,-10845.7177734375,317,2315.89
156.7301,1590000,1979.76,15.496,318,-10896.3466796875,318,2304.57
156.6866,1595000,1992.48,15.7769,319,-10925.451171875,319,2331.83
156.6674,1600000,1980.29,15.5556,320,-10883.271484375,320,2329.72
156.6855,1605000,1969.45,15.4448,321,-10937.21484375,321,2307.44
156.5208,1610000,2000.17,15.7365,322,-10988.423828125,322,2344.98
156.712,1615000,1992.74,15.6311,323,-10972.3115234375,323,2348.62
156.6081,1620000,2001.78,15.4678,324,-10971.9462890625,324,2330.62
156.8414,1625000,1982.13,15.7923,325,-11026.4296875,325,2342.98
156.6443,1630000,1976.45,15.4706,326,-11022.330078125,326,2356.41
156.6573,1635000,1962.91,15.4905,327,-11041.3701171875,327,2333.88
156.5364,1640000,1935.02,15.4788,328,-11057.2548828125,328,2337.3
156.5368,1645000,1991.56,15.6147,329,-11113.8232421875,329,2353.68
156.5552,1650000,1969.81,15.6333,330,-11110.7587890625,330,2339.29
156.6486,1655000,1963.04,15.5016,331,-11084.64453125,331,2341.87
156.5434,1660000,1986.72,15.6646,332,-11124.7880859375,332,2343.53
156.6208,1665000,1985.7,15.588,333,-11113.921875,333,2346.44
156.5192,1670000,1974.87,15.6084,334,-11172.1923828125,334,2337.46
156.6436,1675000,1965.91,15.5416,335,-11170.755859375,335,2352.29
156.6888,1680000,1940.12,15.4608,336,-11201.1123046875,336,2355.14
156.7174,1685000,1998.58,15.6312,337,-11216.2607421875,337,2336.56
156.679,1690000,1841.04,15.4675,338,-11253.9541015625,338,2351.59
156.5768,1695000,1952.09,15.5989,339,-11237.4404296875,339,2334.21
156.7899,1700000,1947.39,15.783,340,-11286.7509765625,340,2361.38
156.7408,1705000,1987.88,15.3425,341,-11251.9296875,341,2353.84
156.7567,1710000,2004.75,15.6705,342,-11320.81640625,342,2351.62
156.6346,1715000,1988.7,15.5437,343,-11323.9541015625,343,2349.71
156.6695,1720000,2010.34,15.5785,344,-11354.0966796875,344,2358.06
156.4984,1725000,1988.45,15.6656,345,-11352.50390625,345,2366.93
156.8933,1730000,2000.36,15.5692,346,-11388.4296875,346,2349.36
156.8115,1735000,1958.09,15.6035,347,-11387.98828125,347,2348.88
156.7748,1740000,1995.68,15.6451,348,-11420.1298828125,348,2371.86
156.8701,1745000,2001.71,15.6562,349,-11409.2080078125,349,2354.49
156.7109,1750000,2011.82,15.6495,350,-11456.7265625,350,2360.7
156.7216,1755000,1974.72,15.5521,351,-11442.9130859375,351,2342.39
156.7231,1760000,1989.52,15.8044,352,-11501.330078125,352,2357.52
156.6533,1765000,1991.8,15.5319,353,-11542.55859375,353,2351.16
156.7258,1770000,1962.64,15.654,354,-11506.9228515625,354,2372.92
156.6665,1775000,1985.39,15.3719,355,-11499.7841796875,355,2335.7
156.7354,1780000,2001.85,15.3864,356,-11532.3427734375,356,2348.89
156.6272,1785000,1984.14,15.4825,357,-11565.09765625,357,2340.09
156.6151,1790000,1985.43,15.5139,358,-11591.9375,358,2323.96
156.7153,1795000,1995.77,15.451,359,-11605.396484375,359,2354.23
156.6001,1800000,1948.01,15.6253,360,-11636.1083984375,360,2331.08
156.6,1805000,1973.24,15.641,361,-11666.1044921875,361,2341.35
156.548,1810000,1969.74,15.4855,362,-11639.224609375,362,2318.32
156.6661,1815000,1941.32,15.494,363,-11599.6328125,363,2312.25
156.6951,1820000,1985.74,15.4238,364,-11695.6123046875,364,2357.77
156.6568,1825000,1978.21,15.5264,365,-11718.494140625,365,2339.8
156.7221,1830000,1971.29,15.3462,366,-11670.6259765625,366,2346.64
156.6712,1835000,1835.46,15.3659,367,-11707.7216796875,367,2331.62
156.6759,1840000,1963.75,15.4404,368,-11775.17578125,368,2359.43
156.5863,1845000,1972.51,15.355,369,-11743.6904296875,369,2353.32
156.6567,1850000,1944.88,15.3943,370,-11773.9140625,370,2348.98
156.6856,1855000,1977.35,15.328,371,-11755.5966796875,371,2338.44
156.725,1860000,1948.77,15.2759,372,-11810.0263671875,372,2327.05
156.5588,1865000,1989.36,15.3682,373,-11867.251953125,373,2319.75
156.8093,1870000,1963.91,15.3449,374,-11846.8916015625,374,2332.81
156.6518,1875000,1947.99,15.2143,375,-11845.5712890625,375,2334.36
