Running Forward KL,Running Reverse KL,Running Update Time,Real Sto Return,Itration,Running Env Steps,Real Det Return,Reward Loss
16.4144,9.2316,102,2609.77,102,510000,3483.03,-761.0497436523438
16.0656,9.6054,103,2955.12,103,515000,3468.9,-526.9861450195312
16.5542,9.598,104,2881.8,104,520000,3485.33,-705.1614990234375
16.3549,9.6882,105,2556.72,105,525000,3448.96,-583.4817504882812
16.4856,9.5056,106,2286.74,106,530000,3469.61,-694.953125
16.5412,9.5319,107,3303.35,107,535000,3481.78,-672.1766357421875
15.7417,9.4767,108,3301.1,108,540000,3455.92,-526.6414184570312
16.3015,10.1101,109,3447.75,109,545000,3483.52,-530.3101196289062
15.9015,10.1961,110,3452.71,110,550000,3474.24,-517.53173828125
16.9968,9.7728,111,3308.8,111,555000,3466.71,-969.0204467773438
17.1684,9.6896,112,2788.47,112,560000,3472.57,-874.2027587890625
16.867,9.7163,113,2797.83,113,565000,3488.43,-829.1522827148438
16.4168,10.2876,114,2959.85,114,570000,3475.01,-575.4285888671875
16.8465,9.1781,115,2270.71,115,575000,3483.17,-971.3231201171875
16.634,9.429,116,3306.52,116,580000,3475.53,-794.7161254882812
17.141,9.6803,117,2739.85,117,585000,3481.99,-1004.8297729492188
16.3204,10.2295,118,2987.83,118,590000,3474.1,-602.1066284179688
16.3214,10.4391,119,3208.23,119,595000,3458.92,-601.9406127929688
16.4833,10.2465,120,3327.8,120,600000,3481.89,-557.9910278320312
16.8609,9.4294,121,2935.7,121,605000,3481.98,-864.6328735351562
16.4287,10.5447,122,3069.88,122,610000,3477.1,-595.8513793945312
16.5333,10.4315,123,3432.64,123,615000,3470.58,-650.683837890625
16.4751,9.749,124,3191.06,124,620000,3481.34,-715.276611328125
16.2585,10.5603,125,3464.56,125,625000,3499.38,-579.4496459960938
15.8472,10.1573,126,3433.43,126,630000,3465.0,-683.542724609375
16.5631,10.4172,127,3336.38,127,635000,3474.79,-653.0419921875
16.8201,9.8764,128,3048.73,128,640000,3492.0,-959.3412475585938
16.2425,9.846,129,3341.37,129,645000,3468.13,-759.3961181640625
16.2696,9.9682,130,3280.24,130,650000,3467.93,-708.6990966796875
16.9855,18.3428,131,2483.18,131,655000,3483.76,-1309.7542724609375
17.6605,11.566,132,1952.32,132,660000,3484.86,-1648.006103515625
16.5615,10.144,133,3372.29,133,665000,3478.83,-842.7045288085938
16.0745,10.2413,134,3304.52,134,670000,3480.24,-756.5250854492188
16.1277,10.0913,135,3321.74,135,675000,3479.97,-750.7286987304688
16.6113,10.3387,136,3345.75,136,680000,3478.16,-894.624755859375
16.4469,9.7944,137,3452.85,137,685000,3479.08,-865.9832763671875
17.3796,18.2507,138,2640.19,138,690000,3488.04,-1424.5731201171875
16.6448,11.4914,139,3309.41,139,695000,3482.17,-1066.1719970703125
16.9994,9.8183,140,3393.07,140,700000,3485.74,-1125.8919677734375
17.0021,9.9183,141,2681.7,141,705000,3480.56,-1226.667724609375
16.4991,12.5724,142,2997.43,142,710000,3478.49,-1082.5970458984375
16.7242,9.8893,143,2760.94,143,715000,3486.49,-1514.5003662109375
16.7988,10.288,144,3334.32,144,720000,3483.96,-1094.3424072265625
16.5266,12.6965,145,3305.13,145,725000,3479.87,-1178.9346923828125
16.7664,16.1665,146,3268.37,146,730000,3492.37,-1244.93505859375
