Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Running Reverse KL,Itration,Real Sto Return,Running Env Steps
39.5084,991.07,-5758.51953125,108,35.4093,108,990.99,540000
38.3148,29.18,-5860.56787109375,109,31.2784,109,29.56,545000
36.9039,1044.65,-5899.1943359375,110,45.182,110,1044.25,550000
35.9665,1041.12,-6025.4599609375,111,37.8737,111,1040.87,555000
34.7114,1049.0,-5836.5615234375,112,39.122,112,1050.98,560000
30.7973,123.26,-4709.32763671875,113,19.1736,113,72.9,565000
39.3669,976.89,-6103.01513671875,114,44.7997,114,977.54,570000
36.0655,260.0,-5709.46728515625,115,50.5404,115,163.57,575000
34.2711,1055.91,-5985.6044921875,116,37.9411,116,1055.84,580000
35.285,1053.42,-6173.1943359375,117,40.4575,117,1053.21,585000
36.485,1047.96,-6502.72998046875,118,43.0648,118,1047.77,590000
35.8418,1052.02,-6507.00927734375,119,40.3646,119,1052.39,595000
32.8255,863.71,-6106.52099609375,120,29.5957,120,1007.06,600000
36.7786,1044.52,-6664.490234375,121,43.4864,121,992.79,605000
35.3556,1032.07,-6732.89990234375,122,30.5973,122,922.65,610000
35.9105,1049.98,-6816.181640625,123,47.5291,123,1050.03,615000
35.5553,1030.41,-6384.92236328125,124,25.8395,124,1029.19,620000
37.5446,1047.2,-6889.96630859375,125,42.1549,125,818.11,625000
37.4827,1003.05,-6660.26318359375,126,29.8197,126,1002.04,630000
