Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Real Det Return
67.8684,1180000,-9451.154296875,28.8466,236,263.56,236,691.93
69.1408,1185000,-9752.0517578125,28.8568,237,144.18,237,662.93
66.9268,1190000,-9596.8818359375,28.3357,238,382.95,238,854.9
64.4629,1195000,-9224.6953125,27.3358,239,258.17,239,651.02
67.7675,1200000,-9756.3564453125,28.6189,240,242.73,240,707.18
65.3546,1205000,-9512.658203125,27.5967,241,265.37,241,626.77
64.2839,1210000,-9453.513671875,27.1021,242,315.38,242,798.87
65.9929,1215000,-9663.7294921875,27.8081,243,270.39,243,709.86
68.0392,1220000,-10123.8564453125,28.6432,244,260.72,244,951.84
68.3628,1225000,-10122.640625,29.0813,245,253.96,245,767.05
65.4476,1230000,-9868.291015625,27.3346,246,280.82,246,823.84
67.8615,1235000,-10362.1826171875,29.0931,247,221.52,247,717.83
66.9036,1240000,-10038.4677734375,27.8155,248,190.95,248,918.69
68.2724,1245000,-10344.349609375,28.7872,249,265.07,249,850.33
65.4056,1250000,-10155.82421875,27.531,250,261.82,250,694.92
66.7659,1255000,-10398.3896484375,28.3508,251,318.1,251,817.6
66.1224,1260000,-10441.431640625,27.7327,252,325.38,252,638.74
64.4394,1265000,-10292.6025390625,27.5909,253,230.78,253,623.08
65.2049,1270000,-10426.2724609375,27.889,254,324.69,254,739.51
66.7698,1275000,-10817.302734375,28.963,255,311.43,255,682.24
66.9424,1280000,-10681.5048828125,28.2541,256,262.09,256,716.83
66.4045,1285000,-10800.537109375,27.691,257,259.89,257,863.05
70.1025,1290000,-11352.60546875,29.8861,258,264.45,258,819.46
68.8479,1295000,-11100.69921875,28.9053,259,241.41,259,464.23
68.2069,1300000,-11256.3779296875,28.8074,260,268.44,260,729.23
68.7617,1305000,-11336.7666015625,28.8142,261,345.98,261,1032.12
68.625,1310000,-11310.970703125,28.8184,262,256.95,262,818.35
65.1378,1315000,-11209.5830078125,28.0483,263,217.74,263,750.93
65.584,1320000,-11104.6796875,27.8669,264,405.03,264,958.38
66.9514,1325000,-11420.3203125,28.7085,265,311.29,265,930.12
71.0935,1330000,-11742.57421875,29.7269,266,224.78,266,822.68
67.0984,1335000,-11452.677734375,28.8656,267,216.19,267,835.48
67.1258,1340000,-11665.6796875,28.3905,268,250.6,268,717.0
66.5695,1345000,-11407.39453125,28.0486,269,219.89,269,933.34
67.4485,1350000,-11720.8837890625,28.8283,270,267.04,270,748.0
