Running Forward KL,Itration,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return
37.3387,72,-5262.4541015625,72,49.1997,993.32,360000,993.32
38.2224,73,-5296.47998046875,73,37.9203,1023.65,365000,1023.82
37.8135,74,-5543.89404296875,74,38.6187,1039.99,370000,1039.94
39.573,75,-5575.00927734375,75,41.7022,991.6,375000,991.38
38.1137,76,-5574.6005859375,76,32.2681,1005.22,380000,1004.26
35.4671,77,-5530.72412109375,77,39.574,110.22,385000,259.57
38.7237,78,-5619.0,78,50.0292,977.76,390000,977.97
34.7681,79,-4244.01708984375,79,29.7781,365.7,395000,370.66
36.9095,80,-5342.8994140625,80,29.3164,644.01,400000,654.71
33.9558,81,-5536.744140625,81,31.7751,15.33,405000,13.47
29.4983,82,-5162.50830078125,82,26.8629,236.59,410000,241.14
37.8012,83,-5789.67822265625,83,30.1768,1009.54,415000,1010.82
39.6271,84,-6217.92236328125,84,31.5541,1029.37,420000,1029.4
39.3155,85,-6190.3447265625,85,33.4772,1057.64,425000,1056.04
39.2835,86,-6256.3662109375,86,55.3142,977.41,430000,977.55
38.4687,87,-6249.0927734375,87,36.3585,1026.24,435000,1027.38
38.6872,88,-6499.3603515625,88,34.7729,1042.98,440000,1043.5
37.265,89,-6459.83642578125,89,35.3967,1041.76,445000,1041.54
39.2179,90,-6532.34716796875,90,37.5953,1038.97,450000,1038.67
38.0477,91,-6603.48681640625,91,34.4148,1040.79,455000,1039.3
36.832,92,-6676.41357421875,92,34.6426,1037.62,460000,1038.14
30.341,93,-6387.92431640625,93,41.4353,447.94,465000,473.87
37.5673,94,-6722.6708984375,94,28.756,518.93,470000,500.59
33.5,95,-6917.8291015625,95,30.3029,626.69,475000,725.16
35.2228,96,-5384.2744140625,96,45.4327,269.61,480000,270.21
38.6864,97,-6962.4521484375,97,41.9663,1016.34,485000,1016.33
35.0998,98,-6916.88134765625,98,27.1255,346.36,490000,345.12
32.8438,99,-4503.70849609375,99,22.9375,109.69,495000,109.44
31.5182,100,-5073.84716796875,100,49.9513,67.19,500000,68.03
38.4275,101,-7020.69189453125,101,36.9252,995.44,505000,995.23
38.6149,102,-7198.92919921875,102,40.8358,998.15,510000,998.11
37.829,103,-7152.97216796875,103,35.1415,1008.98,515000,1008.19
32.3666,104,-7453.9443359375,104,99.3751,240.65,520000,244.18
38.4976,105,-7775.14697265625,105,36.6026,1038.52,525000,1038.58
35.5412,106,-7695.18310546875,106,51.5546,396.99,530000,398.02
38.8282,107,-7712.6181640625,107,60.0121,983.58,535000,983.98
38.0032,108,-7817.28662109375,108,55.2592,984.52,540000,984.83
37.9315,109,-7838.77392578125,109,56.0935,992.46,545000,992.93
38.4168,110,-7987.669921875,110,36.5843,1042.6,550000,1042.08
37.9237,111,-8018.6396484375,111,40.2533,1003.33,555000,1003.19
39.5741,112,-8056.12451171875,112,53.1549,999.29,560000,999.2
35.1419,113,-7926.017578125,113,34.0674,1021.57,565000,1021.48
37.9953,114,-8306.4228515625,114,52.3142,999.54,570000,999.89
38.3042,115,-8407.6279296875,115,49.4322,993.98,575000,994.25
30.5723,116,-5018.16162109375,116,31.851,278.42,580000,278.39
30.8002,117,-4159.74609375,117,25.6394,256.49,585000,255.07
37.3696,118,-8226.4501953125,118,37.032,1026.85,590000,1027.54
37.062,119,-8319.06640625,119,49.1252,1007.98,595000,1006.95
37.4868,120,-8532.771484375,120,41.0103,1008.97,600000,1009.35
37.3401,121,-8949.3564453125,121,40.1965,1015.82,605000,1015.87
36.9436,122,-8877.9814453125,122,37.7301,1025.5,610000,1026.44
37.0901,123,-8687.40625,123,32.9827,1010.0,615000,759.72
38.8011,124,-8943.8671875,124,45.1586,1008.16,620000,1008.65
38.5801,125,-9326.7451171875,125,39.6459,965.87,625000,1016.16
38.5314,126,-8931.93359375,126,44.6766,928.69,630000,925.53
31.9675,127,-7114.3779296875,127,77.3048,15.44,635000,15.09
31.2411,128,-5715.2998046875,128,19.5007,232.42,640000,253.5
32.9388,129,-9231.357421875,129,38.7132,372.66,645000,429.29
37.9259,130,-9553.2646484375,130,57.3155,992.71,650000,993.3
38.8521,131,-9777.5107421875,131,53.6128,574.21,655000,544.6
38.9722,132,-9623.7548828125,132,52.0494,987.71,660000,987.38
37.5673,133,-9666.4150390625,133,49.8563,835.3,665000,946.68
34.941,134,-9830.44140625,134,36.6838,872.05,670000,1037.67
31.2764,135,-8440.7890625,135,47.2771,204.64,675000,189.44
31.4663,136,-9383.5654296875,136,59.7562,456.0,680000,534.17
39.4373,137,-10196.7861328125,137,56.366,962.44,685000,995.57
32.6833,138,-9018.7607421875,138,49.4131,312.67,690000,320.52
35.9863,139,-10126.73828125,139,28.4632,1022.1,695000,1019.11
37.4795,140,-10436.2119140625,140,40.0746,1020.64,700000,1020.52
36.9541,141,-10521.849609375,141,38.8748,1013.89,705000,1014.35
35.7402,142,-10291.810546875,142,32.2729,1026.6,710000,1027.62
36.6237,143,-9323.9833984375,143,31.4381,1008.51,715000,1007.88
38.0264,144,-10266.6591796875,144,34.0415,994.69,720000,995.45
38.6194,145,-10576.9580078125,145,31.1907,1000.36,725000,998.62
38.4673,146,-10475.2744140625,146,30.8152,996.01,730000,989.16
38.7769,147,-10578.8564453125,147,30.3369,1001.23,735000,1001.33
39.0945,148,-10858.052734375,148,34.863,1002.48,740000,1003.11
38.9947,149,-10673.9248046875,149,28.5238,995.94,745000,996.56
35.5994,150,-12000.9521484375,150,105.6548,79.0,750000,79.0
37.8932,151,-11527.7548828125,151,54.0926,969.95,755000,970.09
38.672,152,-11408.1787109375,152,52.3209,991.11,760000,991.16
39.3458,153,-11422.095703125,153,44.0129,988.61,765000,990.74
39.5741,154,-11564.005859375,154,53.916,982.07,770000,982.45
33.4403,155,-11588.921875,155,36.5837,1003.63,775000,1003.82
36.7857,156,-11802.37109375,156,32.449,1038.12,780000,1038.71
37.4109,157,-11414.6337890625,157,23.7919,1012.64,785000,1021.61
38.3815,158,-11490.8271484375,158,26.4993,1016.14,790000,1023.0
35.8529,159,-11452.630859375,159,24.781,1018.61,795000,1003.99
29.3,160,-8298.169921875,160,17.7233,401.43,800000,404.47
32.3672,161,-8290.9033203125,161,19.8029,308.01,805000,318.51
32.0731,162,-11759.115234375,162,28.6373,830.39,810000,999.58
36.409,163,-11924.9501953125,163,36.2033,1003.23,815000,1003.75
30.1004,164,-8260.4921875,164,26.3933,307.07,820000,293.23
31.0048,165,-7438.18603515625,165,18.3184,331.89,825000,331.26
32.8334,166,-10455.875,166,35.4989,240.98,830000,248.31
33.2474,167,-11071.7265625,167,36.6292,314.78,835000,311.85
30.6981,168,-11021.0439453125,168,45.4802,533.7,840000,581.65
31.0251,169,-11790.22265625,169,31.6519,471.36,845000,470.63
35.3271,170,-12855.4306640625,170,30.4779,1043.51,850000,1041.17
37.0869,171,-12875.806640625,171,30.3836,187.31,855000,225.7
30.3238,172,-12292.8994140625,172,67.3575,310.93,860000,334.16
33.3498,173,-11732.291015625,173,60.8563,19.01,865000,18.74
32.696,174,-10952.939453125,174,77.9796,563.52,870000,567.7
32.8061,175,-10444.4091796875,175,86.184,482.58,875000,475.08
35.2155,176,-13371.7138671875,176,32.3824,1013.49,880000,1016.16
33.7682,177,-11943.94921875,177,37.8432,206.37,885000,192.97
33.1987,178,-14155.96875,178,59.2992,175.63,890000,162.16
31.7964,179,-12253.7529296875,179,48.0915,300.92,895000,125.09
33.1437,180,-12993.9638671875,180,34.5847,581.91,900000,573.79
33.3597,181,-13618.740234375,181,39.4372,220.38,905000,239.87
35.0318,182,-13857.607421875,182,30.8807,1010.21,910000,1022.67
32.8392,183,-12254.1865234375,183,26.0219,211.18,915000,222.81
31.6876,184,-11199.4033203125,184,26.8245,230.9,920000,232.11
30.9648,185,-12016.7919921875,185,34.7194,69.13,925000,70.34
32.237,186,-12411.6416015625,186,80.7168,292.27,930000,288.66
31.8047,187,-12501.37109375,187,39.9261,250.95,935000,251.76
29.2834,188,-9430.470703125,188,25.2736,210.83,940000,200.29
36.4733,189,-14947.7978515625,189,33.8263,961.87,945000,1051.88
28.9518,190,-10878.4150390625,190,48.4124,375.58,950000,377.96
30.9952,191,-13056.12109375,191,34.8883,286.42,955000,277.0
28.9129,192,-8239.8388671875,192,23.7399,110.26,960000,111.24
31.252,193,-11641.08984375,193,16.7719,749.76,965000,1014.15
30.756,194,-8139.12353515625,194,57.7805,211.92,970000,209.64
27.1587,195,-7556.962890625,195,33.2372,214.44,975000,213.26
31.0428,196,-11487.38671875,196,41.4511,198.66,980000,195.35
28.9317,197,-11671.4482421875,197,30.2304,265.38,985000,248.33
26.2171,198,-8009.2861328125,198,19.0096,470.17,990000,496.91
30.0238,199,-14358.0390625,199,46.9885,412.42,995000,423.17
