Reward Loss,Running Update Time,Real Sto Return,Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL
-729.0322875976562,90,3204.63,450000,90,18.4958,3436.46,13.2208
-726.692138671875,91,3157.73,455000,91,20.4089,3438.91,12.14
-739.5004272460938,92,3118.07,460000,92,19.5589,3419.99,12.137
-747.3817749023438,93,3421.57,465000,93,19.659,3454.64,13.4814
-774.5140380859375,94,3252.66,470000,94,19.0509,3449.62,12.9727
-747.6820068359375,95,3118.78,475000,95,19.5248,3412.08,13.0967
-853.7347412109375,96,2834.75,480000,96,21.3133,3459.16,12.9427
-856.6011352539062,97,2766.85,485000,97,20.3874,3415.69,12.4561
-863.550048828125,98,2150.87,490000,98,21.791,3439.7,17.2075
-848.7642822265625,99,2811.78,495000,99,20.4065,3432.52,12.6321
-798.5145263671875,100,2185.95,500000,100,18.8347,3399.79,12.44
-809.750732421875,101,1993.83,505000,101,20.3804,3425.99,11.7885
-803.343505859375,102,2547.78,510000,102,19.4435,3420.02,11.926
-858.9343872070312,103,3141.53,515000,103,20.3153,3459.23,16.0678
-872.5869750976562,104,3084.91,520000,104,20.6203,3473.96,13.2286
-821.4004516601562,105,3151.39,525000,105,20.2993,3458.98,12.8048
-855.1593627929688,106,3224.2,530000,106,19.2114,3441.48,12.7602
-914.8513793945312,107,3311.91,535000,107,20.1526,3457.06,13.5391
-807.6710205078125,108,2918.7,540000,108,20.0912,3466.48,11.7742
-855.9390258789062,109,3013.72,545000,109,20.1186,3437.07,12.0574
-913.0363159179688,110,3306.84,550000,110,19.1735,3410.48,13.7327
-938.6947631835938,111,3339.0,555000,111,19.9689,3432.12,13.6646
-1000.5095825195312,112,2706.71,560000,112,19.9119,3461.39,13.0526
-938.5092163085938,113,3412.74,565000,113,19.5422,3414.48,13.4523
-950.2772216796875,114,2692.76,570000,114,20.0087,3380.68,12.174
-1031.7491455078125,115,2214.53,575000,115,20.8826,3437.06,15.583
-1035.46923828125,116,2767.62,580000,116,20.5236,3403.84,13.2731
-884.827392578125,117,2491.02,585000,117,19.3626,3424.24,14.1196
-960.387451171875,118,3117.25,590000,118,19.5306,3437.82,12.1469
-920.2369995117188,119,3410.08,595000,119,18.8459,3421.24,12.9379
-977.2959594726562,120,3397.46,600000,120,19.4481,3413.32,13.6877
-1086.64990234375,121,1877.26,605000,121,20.4742,3436.33,16.1662
-1125.24755859375,122,2940.23,610000,122,19.8228,3430.42,13.2088
-1141.4224853515625,123,2883.53,615000,123,20.0398,3454.21,15.3569
-1042.1024169921875,124,2988.59,620000,124,19.2814,3459.01,12.9174
-1177.9940185546875,125,3198.46,625000,125,20.3598,3519.67,17.264
-1076.7998046875,126,3440.95,630000,126,19.1754,3481.2,12.2512
-1112.4041748046875,127,2693.05,635000,127,19.6052,3430.2,12.1831
-1025.098876953125,128,3422.19,640000,128,18.6968,3484.74,12.0524
-1048.0177001953125,129,3197.72,645000,129,18.6787,3395.65,11.8893
-1045.0972900390625,130,3058.53,650000,130,19.3976,3485.07,12.7066
-1081.0469970703125,131,2477.13,655000,131,19.4998,3424.5,10.7754
-819.8306274414062,132,3319.84,660000,132,18.0562,3455.38,10.771
-1219.2435302734375,133,3073.26,665000,133,19.916,3498.51,13.1895
-1169.8531494140625,134,2703.2,670000,134,19.6565,3470.92,11.786
-1125.9803466796875,135,2930.67,675000,135,21.1578,3459.32,11.8692
-1213.990966796875,136,3355.73,680000,136,19.7701,3475.78,12.7458
-1291.688720703125,137,3247.44,685000,137,19.8043,3490.84,12.9406
-1160.5103759765625,138,2954.6,690000,138,19.2274,3434.87,11.7821
-1234.1766357421875,139,3175.23,695000,139,19.2953,3484.5,12.9183
-1327.02734375,140,3210.07,700000,140,19.3724,3418.27,12.5282
-1112.281982421875,141,3437.97,705000,141,19.3049,3418.52,13.0835
-1388.402099609375,142,2886.87,710000,142,20.5426,3449.83,12.8261
-1220.843994140625,143,3316.1,715000,143,19.6191,3375.69,14.3296
-1226.9312744140625,144,2082.08,720000,144,21.0764,3458.24,10.5911
-1122.744140625,145,3183.78,725000,145,19.5795,3446.11,11.9252
-1171.86083984375,146,3194.43,730000,146,18.7944,3430.95,11.2169
-1215.526123046875,147,3417.43,735000,147,18.9232,3419.35,13.0218
-1194.332275390625,148,2987.47,740000,148,19.5245,3462.18,11.502
-1243.48974609375,149,3315.67,745000,149,20.3464,3466.94,11.7249
-1495.7169189453125,150,2726.54,750000,150,20.3708,3425.92,12.3641
-1123.7904052734375,151,3447.38,755000,151,19.1004,3480.79,12.4569
-1335.698974609375,152,2695.48,760000,152,19.5452,3444.61,11.4313
-1235.2127685546875,153,3313.09,765000,153,19.1283,3506.01,12.7413
-1298.8607177734375,154,3297.49,770000,154,19.0444,3465.87,12.9965
-1440.0430908203125,155,2730.65,775000,155,20.5062,3506.56,11.6336
-1353.34814453125,156,3194.9,780000,156,19.835,3495.61,12.6296
-1333.0416259765625,157,3321.68,785000,157,18.9681,3411.07,12.9172
-1494.6903076171875,158,3367.5,790000,158,20.0765,3416.7,12.1949
-1237.495849609375,159,3132.62,795000,159,18.4442,3444.04,11.4075
-1323.0789794921875,160,3367.66,800000,160,18.2779,3455.91,12.7491
-1413.7401123046875,161,1836.81,805000,161,19.1553,3453.11,12.6263
-1399.9854736328125,162,2759.97,810000,162,19.5851,3452.47,11.4274
-1257.5323486328125,163,3100.87,815000,163,19.1765,3427.35,11.5151
-1499.9473876953125,164,3274.73,820000,164,19.4181,3440.22,12.5015
-1438.3304443359375,165,3032.54,825000,165,19.0046,3492.45,12.0265
-1414.497314453125,166,3467.49,830000,166,19.1546,3473.96,12.2489
-1388.5267333984375,167,3294.04,835000,167,18.8166,3490.99,12.0837
-1453.834228515625,168,3372.31,840000,168,19.6596,3477.45,12.3313
-1387.8072509765625,169,3447.55,845000,169,18.9968,3481.43,12.7458
-1687.7818603515625,170,2829.76,850000,170,20.0689,3461.59,12.4932
-1657.67822265625,171,2539.46,855000,171,19.7678,3441.96,12.8416
-1399.4635009765625,172,2939.02,860000,172,19.2963,3499.81,11.1702
-1654.830322265625,173,3030.3,865000,173,19.9321,3454.23,11.123
-1492.526611328125,174,3371.8,870000,174,18.9932,3450.79,12.7889
-1475.0758056640625,175,3010.36,875000,175,18.4534,3480.38,12.1705
-1667.7969970703125,176,2439.82,880000,176,19.9549,3485.79,11.874
-1688.664794921875,177,3296.65,885000,177,20.2703,3479.07,13.4601
-1537.30810546875,178,3408.84,890000,178,19.4826,3436.48,12.5023
-1495.203125,179,3201.9,895000,179,18.1374,3434.17,11.2112
-1946.89794921875,180,3078.41,900000,180,20.5994,3455.23,12.5085
-1836.314208984375,181,3019.93,905000,181,21.1329,3462.05,11.8743
-1696.3836669921875,182,3123.44,910000,182,20.4747,3465.86,12.0446
-1312.1046142578125,183,3359.64,915000,183,19.3731,3466.03,13.1808
-1359.247802734375,184,3297.69,920000,184,18.6728,3463.37,12.3266
-1411.406005859375,185,3446.18,925000,185,18.9364,3481.58,13.1059
-1811.280517578125,186,3270.58,930000,186,19.56,3439.5,12.3846
-1827.3267822265625,187,3342.76,935000,187,19.3411,3522.05,12.7913
-1489.7413330078125,188,3427.35,940000,188,18.9266,3446.02,12.5977
-1925.0863037109375,189,2864.14,945000,189,20.8277,3445.55,12.4669
-1559.11962890625,190,3352.38,950000,190,18.7503,3480.32,12.3613
-1785.536865234375,191,3379.47,955000,191,18.7293,3428.62,13.3241
-1782.3072509765625,192,3250.88,960000,192,19.9261,3500.19,13.0299
-1536.2982177734375,193,3356.57,965000,193,18.7606,3475.28,12.9304
-1861.234375,194,3429.25,970000,194,19.6044,3513.79,12.5374
-1749.2449951171875,195,3348.71,975000,195,19.3118,3476.0,12.637
-2046.6317138671875,196,2294.18,980000,196,20.19,3447.01,11.8834
-1866.024658203125,197,2783.05,985000,197,18.5008,3449.41,11.8161
-1950.8089599609375,198,3383.27,990000,198,19.8197,3475.37,12.3156
-1976.2918701171875,199,3343.85,995000,199,20.3974,3472.47,13.3961
