Running Update Time,Itration,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Running Env Steps
142,142,156.9209,1836.55,-5897.00048828125,2204.12,16.2374,710000
143,143,156.7891,1839.71,-5919.20263671875,2175.59,15.5675,715000
144,144,156.7197,1879.18,-5993.1689453125,2195.4,15.836,720000
145,145,156.7536,1859.56,-6043.7509765625,2232.3,15.9412,725000
146,146,156.745,1843.68,-6071.48681640625,2179.98,15.7523,730000
147,147,156.9093,1877.67,-6145.916015625,2214.93,16.0897,735000
148,148,156.852,1829.43,-6148.09716796875,2183.92,15.9362,740000
149,149,156.7506,1852.97,-6201.63330078125,2197.0,15.6929,745000
150,150,156.8531,1841.33,-6274.2265625,2143.89,15.536,750000
151,151,156.808,1810.53,-6273.04541015625,2178.97,15.5822,755000
152,152,156.8464,1878.38,-6374.4619140625,2239.08,15.909,760000
153,153,156.6711,1849.27,-6364.2685546875,2169.61,15.6072,765000
154,154,156.7022,1831.1,-6450.79638671875,2131.76,15.6073,770000
155,155,156.7531,1910.94,-6527.9658203125,2251.6,16.4327,775000
156,156,156.8344,1874.79,-6526.962890625,2199.63,15.8527,780000
157,157,157.0329,1842.3,-6592.220703125,2189.17,16.1974,785000
158,158,156.6821,1868.52,-6612.45361328125,2151.13,15.5923,790000
159,159,156.9669,1873.86,-6665.67431640625,2237.48,15.8269,795000
160,160,156.8708,1851.8,-6658.1318359375,2237.2,15.8227,800000
161,161,156.5771,1846.2,-6711.60400390625,2211.9,15.7647,805000
162,162,156.7992,1862.93,-6788.05810546875,2183.42,15.668,810000
163,163,156.894,1855.95,-6844.58203125,2188.99,15.5924,815000
164,164,156.8264,1883.22,-6890.39013671875,2210.85,15.7508,820000
165,165,156.855,1886.42,-6903.3525390625,2193.42,15.7044,825000
166,166,156.8,1846.85,-6955.13232421875,2156.29,15.4376,830000
167,167,156.6344,1861.82,-7007.30859375,2189.81,15.8955,835000
168,168,156.6457,1833.08,-7014.67333984375,2188.58,15.3776,840000
169,169,156.7135,1880.77,-7084.68505859375,2222.09,15.6397,845000
170,170,156.7349,1896.17,-7128.703125,2237.21,16.0988,850000
171,171,156.7991,1876.11,-7199.4052734375,2196.35,15.8745,855000
172,172,156.9,1856.61,-7256.95458984375,2210.43,15.831,860000
173,173,156.8768,1825.94,-7267.38818359375,2149.39,15.4712,865000
174,174,156.6651,1857.68,-7348.28466796875,2146.62,15.4547,870000
175,175,156.578,1873.68,-7392.17724609375,2197.62,15.5591,875000
176,176,156.6417,1886.75,-7391.32958984375,2202.59,15.5031,880000
177,177,156.8579,1851.23,-7440.41943359375,2206.85,15.722,885000
178,178,156.8774,1826.88,-7492.6181640625,2138.71,15.6737,890000
179,179,156.8642,1873.33,-7515.55322265625,2244.32,15.7245,895000
180,180,156.683,1880.02,-7532.24072265625,2234.81,15.5317,900000
181,181,156.78,1883.38,-7569.1328125,2223.52,15.7437,905000
182,182,156.9378,1816.02,-7660.42578125,2153.55,15.2972,910000
183,183,156.8968,1885.52,-7665.85205078125,2251.16,15.8496,915000
184,184,156.7113,1872.06,-7698.1435546875,2152.62,15.674,920000
185,185,156.7616,1890.9,-7749.501953125,2250.34,15.9028,925000
186,186,156.8634,1887.87,-7813.31884765625,2217.56,16.1377,930000
187,187,156.7038,1874.77,-7815.75927734375,2193.59,15.6516,935000
188,188,156.608,1863.55,-7788.4921875,2199.41,15.4587,940000
189,189,156.883,1863.42,-7908.3798828125,2204.07,15.9979,945000
190,190,156.6692,1888.69,-7868.595703125,2210.09,15.5163,950000
191,191,156.6643,1871.4,-7885.521484375,2191.87,15.5474,955000
192,192,156.7365,1892.54,-7915.7451171875,2220.11,15.7652,960000
193,193,156.6259,1894.36,-7874.54541015625,2267.64,15.5149,965000
194,194,156.9237,1875.46,-8006.4189453125,2231.87,15.6256,970000
195,195,156.7402,1888.73,-8002.05126953125,2230.13,15.6183,975000
196,196,156.8292,1903.48,-8030.4853515625,2223.18,15.6612,980000
197,197,156.6035,1915.66,-8072.7529296875,2268.85,15.8661,985000
198,198,156.8365,1878.57,-8066.80224609375,2258.37,15.5577,990000
199,199,156.6276,1849.11,-8080.55419921875,2130.34,15.2602,995000
200,200,156.6974,1883.06,-8138.435546875,2243.79,15.6611,1000000
201,201,156.7702,1900.94,-8179.90869140625,2243.28,15.6788,1005000
202,202,156.7169,1868.62,-8196.572265625,2202.12,15.6238,1010000
203,203,156.8531,1911.1,-8225.1513671875,2254.66,15.9387,1015000
204,204,156.6783,1886.36,-8256.6376953125,1968.92,15.8586,1020000
205,205,156.8702,1864.21,-8292.44921875,2112.15,15.6909,1025000
206,206,156.7775,1873.39,-8307.9697265625,2229.56,15.692,1030000
207,207,156.8626,1881.92,-8357.568359375,2224.45,15.6552,1035000
208,208,156.8316,1880.55,-8382.0029296875,2091.35,15.7724,1040000
209,209,156.8704,1878.7,-8378.798828125,2220.01,15.7225,1045000
210,210,156.9797,1893.86,-8417.8759765625,2075.81,15.7324,1050000
211,211,156.5901,1854.02,-8440.2587890625,579.36,15.4724,1055000
212,212,156.7015,1889.35,-8495.6552734375,2236.86,15.7936,1060000
213,213,156.7316,1819.62,-8516.9892578125,2037.23,15.5789,1065000
214,214,156.6256,1871.67,-8541.9677734375,2176.61,15.5974,1070000
215,215,156.7297,1884.86,-8548.5166015625,2243.29,15.6449,1075000
216,216,156.7513,1882.99,-8556.6513671875,2202.71,15.5797,1080000
217,217,156.7671,1879.9,-8622.5673828125,2195.93,15.6283,1085000
218,218,156.5705,1919.73,-8607.279296875,852.26,15.6375,1090000
219,219,156.6584,1879.48,-8660.6748046875,2243.78,15.5887,1095000
220,220,156.6145,1896.44,-8665.85546875,2251.93,15.6051,1100000
221,221,156.6707,1910.76,-8693.3466796875,2227.25,15.589,1105000
222,222,156.463,1913.32,-8717.4052734375,2244.13,15.5628,1110000
223,223,156.5722,1914.09,-8746.5400390625,2261.75,15.639,1115000
224,224,156.6869,1939.69,-8790.1220703125,2238.58,15.726,1120000
225,225,156.6619,1901.17,-8814.021484375,2235.95,15.4924,1125000
226,226,156.6985,1936.81,-8837.8369140625,2263.73,15.5993,1130000
227,227,156.7548,1905.9,-8861.2939453125,2245.52,15.6043,1135000
228,228,156.9411,1910.26,-8881.4931640625,2207.24,15.7193,1140000
229,229,156.6831,1908.33,-8911.810546875,2252.44,15.6625,1145000
230,230,156.6239,1903.1,-8938.21875,2257.61,15.5625,1150000
231,231,156.6687,1887.45,-8922.58984375,2228.01,15.457,1155000
232,232,156.6459,1887.79,-8960.98046875,2245.5,15.4447,1160000
233,233,156.4745,1927.33,-8988.146484375,2254.17,15.5981,1165000
234,234,156.6962,1882.24,-9031.564453125,2220.65,15.4727,1170000
235,235,156.6093,1899.85,-9046.9345703125,2258.29,15.5764,1175000
236,236,156.7985,1894.22,-9089.2783203125,2190.02,15.5704,1180000
237,237,156.8955,1870.96,-9064.1962890625,2219.77,15.4164,1185000
238,238,156.662,1897.16,-9098.640625,2233.54,15.3628,1190000
239,239,156.6695,1903.04,-9116.4775390625,2239.33,15.4366,1195000
240,240,156.817,1893.48,-9163.14453125,2244.67,15.3502,1200000
241,241,156.7037,1912.3,-9219.345703125,2210.09,15.3319,1205000
242,242,156.57,1897.69,-9198.9306640625,2230.69,15.3273,1210000
243,243,156.6392,1906.77,-9231.0244140625,2227.93,15.4861,1215000
244,244,156.6271,1900.09,-9271.3544921875,2207.31,15.4342,1220000
245,245,156.7774,1895.37,-9313.5732421875,2214.1,15.5787,1225000
246,246,156.8265,1894.92,-9331.04296875,2226.13,15.6159,1230000
247,247,156.7544,1921.77,-9331.076171875,2234.37,15.527,1235000
248,248,156.759,1912.04,-9386.197265625,2230.3,15.3157,1240000
249,249,156.7669,1894.75,-9399.611328125,2239.56,15.5134,1245000
250,250,156.7135,1924.14,-9403.4365234375,2277.1,15.357,1250000
251,251,156.6997,1925.47,-9466.7275390625,2251.1,15.6684,1255000
252,252,156.6684,1918.98,-9480.013671875,2255.2,15.5601,1260000
253,253,156.7743,1903.6,-9483.8984375,2241.78,15.3603,1265000
254,254,156.9076,1907.82,-9565.7392578125,2252.69,15.5861,1270000
255,255,156.8285,1882.46,-9524.1474609375,1959.22,15.5407,1275000
256,256,156.7749,1872.71,-9535.3681640625,2181.93,15.4576,1280000
257,257,156.7237,1878.31,-9574.7861328125,2222.78,15.5403,1285000
258,258,156.7599,1883.22,-9642.154296875,2248.01,15.5837,1290000
259,259,156.8443,1863.81,-9646.068359375,2155.27,15.355,1295000
260,260,156.6203,1864.95,-9667.3349609375,2124.88,15.4769,1300000
261,261,156.8962,1845.68,-9678.0146484375,2177.51,15.577,1305000
262,262,156.8355,1823.4,-9679.2265625,2134.98,15.3292,1310000
263,263,156.7064,1899.42,-9733.0400390625,2179.55,15.4592,1315000
264,264,156.693,1886.98,-9744.4658203125,2240.62,15.3947,1320000
265,265,156.884,1902.2,-9778.921875,2240.04,15.4992,1325000
266,266,156.8852,1879.12,-9801.201171875,2214.32,15.4039,1330000
267,267,156.9081,1895.93,-9828.8037109375,2234.14,15.6921,1335000
268,268,156.8033,1859.6,-9786.73828125,2084.37,15.3918,1340000
269,269,156.762,1899.82,-9844.345703125,2225.38,15.5708,1345000
270,270,156.784,1881.54,-9870.76171875,2037.06,15.3751,1350000
271,271,157.0275,1853.0,-9864.0439453125,2191.63,15.3176,1355000
272,272,156.8883,1880.59,-9925.666015625,1934.05,15.6008,1360000
273,273,156.6728,1868.69,-9887.6142578125,1963.91,15.3935,1365000
274,274,156.7688,1870.59,-9947.3359375,2103.77,15.3835,1370000
275,275,156.7932,1904.96,-9976.7451171875,2257.7,15.4915,1375000
276,276,156.7853,1915.73,-10008.5693359375,2162.2,15.6142,1380000
277,277,156.9066,1857.95,-9955.6162109375,2170.98,15.5296,1385000
278,278,156.8774,1876.27,-10056.7353515625,2136.38,15.5148,1390000
279,279,156.9267,1875.63,-10045.970703125,2241.14,15.3383,1395000
280,280,156.8927,1919.54,-10039.302734375,2246.29,15.4709,1400000
281,281,156.7806,1889.72,-10114.634765625,2193.01,15.5643,1405000
282,282,156.8715,1889.07,-10116.435546875,2222.72,15.5485,1410000
283,283,156.8254,1894.64,-10140.498046875,2237.45,15.4366,1415000
284,284,156.7433,1879.47,-10141.6845703125,2190.43,15.6927,1420000
285,285,156.6218,1887.82,-10160.4599609375,2175.12,15.3101,1425000
286,286,156.7653,1882.47,-10187.728515625,2228.8,15.4579,1430000
287,287,156.762,1906.88,-10205.2080078125,2239.07,15.7642,1435000
288,288,156.8443,1874.66,-10223.26953125,2185.04,15.4626,1440000
289,289,156.7689,1887.29,-10238.22265625,2229.2,15.5714,1445000
290,290,156.6959,1883.93,-10261.9072265625,2139.75,15.5584,1450000
291,291,156.8458,1866.3,-10267.08203125,2225.89,15.554,1455000
292,292,156.8804,1893.72,-10300.3046875,2193.63,15.5468,1460000
293,293,156.753,1877.53,-10299.9140625,2189.72,15.4814,1465000
294,294,156.8839,1773.9,-10308.830078125,2201.73,15.496,1470000
295,295,156.8736,1830.15,-10374.166015625,2123.89,15.5881,1475000
296,296,156.5658,1886.86,-10376.2412109375,2216.04,15.2351,1480000
297,297,156.869,1894.04,-10415.4521484375,2193.7,15.6007,1485000
298,298,156.7718,1866.29,-10452.7431640625,2231.5,15.3549,1490000
299,299,156.7127,1866.2,-10435.6591796875,2237.6,15.4993,1495000
300,300,156.9249,1863.91,-10433.220703125,2191.58,15.3769,1500000
301,301,156.8484,1862.78,-10491.6337890625,2220.2,15.6868,1505000
302,302,156.8694,1878.41,-10456.353515625,2159.59,15.4057,1510000
303,303,156.7369,1852.57,-10484.8330078125,2231.35,15.3547,1515000
304,304,156.6835,1817.65,-10491.9833984375,2205.45,15.3457,1520000
305,305,156.7139,1855.36,-10524.01171875,2184.84,15.1747,1525000
306,306,156.7389,1874.68,-10510.2802734375,2205.18,15.0429,1530000
307,307,156.819,1839.74,-10562.56640625,2204.91,15.1412,1535000
308,308,156.69,1878.49,-10568.3232421875,2239.36,15.2431,1540000
309,309,156.8062,1886.05,-10611.75390625,2216.05,15.4633,1545000
310,310,156.7172,1858.59,-10682.7841796875,2182.42,15.4596,1550000
311,311,156.6497,1878.07,-10645.986328125,2240.96,15.5429,1555000
312,312,157.0188,1880.68,-10719.0625,2247.67,15.1143,1560000
313,313,156.6665,1875.85,-10693.9345703125,2219.9,15.4862,1565000
314,314,156.7574,1892.88,-10702.4951171875,2229.53,15.4502,1570000
315,315,156.8872,1898.91,-10700.169921875,2217.41,15.3585,1575000
316,316,156.9071,1888.41,-10745.6787109375,2243.02,15.5899,1580000
317,317,156.7317,1904.86,-10758.7080078125,2268.21,15.3489,1585000
318,318,156.8441,1890.7,-10781.2373046875,2237.05,15.5073,1590000
319,319,156.8247,1883.54,-10777.279296875,2235.98,15.4454,1595000
320,320,156.7493,1877.06,-10803.7666015625,2247.31,15.6576,1600000
321,321,156.7276,1903.5,-10832.146484375,2221.88,15.4367,1605000
322,322,156.7212,1893.09,-10871.4560546875,2244.0,15.685,1610000
323,323,156.6263,1895.87,-10841.73046875,2247.14,15.6258,1615000
324,324,156.7222,1913.66,-10871.4794921875,2274.99,15.5079,1620000
325,325,156.8276,1889.39,-10936.74609375,2264.61,15.6955,1625000
326,326,156.6738,1921.79,-10903.34765625,2249.92,15.6295,1630000
327,327,156.7287,1873.61,-10888.5185546875,2267.87,15.4907,1635000
328,328,156.5355,1888.39,-10943.107421875,2275.5,15.2802,1640000
329,329,156.7492,1905.26,-10979.810546875,2264.98,15.5033,1645000
330,330,156.7439,1884.46,-10949.79296875,2274.38,15.539,1650000
331,331,156.7622,1893.56,-10992.203125,2266.38,15.4595,1655000
332,332,156.6247,1886.86,-10993.7666015625,2227.81,15.4061,1660000
333,333,156.7561,1896.39,-11009.4013671875,2260.52,15.5867,1665000
334,334,156.7324,1894.6,-11019.94140625,2246.56,15.606,1670000
335,335,156.735,1922.39,-11076.556640625,2254.83,15.5735,1675000
336,336,156.6986,1912.98,-11080.2109375,2287.03,15.5806,1680000
337,337,156.5356,1896.24,-11076.3271484375,2252.43,15.4505,1685000
338,338,156.6884,1917.01,-11119.666015625,2273.57,15.4915,1690000
339,339,156.7243,1916.55,-11062.0498046875,2254.06,15.4753,1695000
340,340,156.7436,1923.8,-11194.9365234375,2291.11,15.8111,1700000
341,341,156.5698,1916.71,-11124.728515625,2277.21,15.6502,1705000
342,342,156.8024,1940.72,-11160.9912109375,2273.9,15.6601,1710000
343,343,156.6729,1932.11,-11193.4287109375,2261.41,15.6593,1715000
344,344,156.8188,1891.18,-11208.763671875,2253.68,15.4449,1720000
345,345,156.7305,1911.33,-11241.4072265625,2309.99,15.6218,1725000
346,346,156.7281,1909.64,-11232.4423828125,2284.15,15.4477,1730000
347,347,156.719,1889.91,-11265.2607421875,2292.61,15.6755,1735000
348,348,156.7266,1921.39,-11289.9833984375,2283.9,15.5779,1740000
349,349,156.6163,1954.37,-11308.2119140625,2292.63,15.6214,1745000
350,350,156.7834,1913.31,-11246.6162109375,2261.83,15.6065,1750000
351,351,156.6335,1926.74,-11341.109375,2282.29,15.68,1755000
352,352,156.5088,1935.96,-11321.4423828125,2280.32,15.67,1760000
353,353,156.5613,1928.23,-11342.8173828125,2274.83,15.5253,1765000
354,354,156.7326,1860.73,-11322.0419921875,2234.2,15.2669,1770000
355,355,156.6514,1933.01,-11347.6181640625,2267.34,15.4819,1775000
356,356,156.7791,1925.42,-11372.974609375,2250.01,15.5773,1780000
357,357,156.6311,1948.91,-11438.083984375,2284.69,15.5543,1785000
358,358,156.6698,1949.8,-11439.5830078125,2297.65,15.5264,1790000
359,359,156.8319,1922.5,-11389.66015625,2279.94,15.6643,1795000
360,360,156.7541,1940.4,-11478.701171875,2297.39,15.739,1800000
361,361,156.6844,1823.45,-11485.962890625,2289.55,15.5709,1805000
362,362,156.6554,1915.17,-11496.650390625,2271.04,15.4121,1810000
363,363,156.8094,1930.56,-11551.7587890625,2297.17,15.5724,1815000
364,364,156.7069,1928.61,-11584.150390625,2312.46,15.6667,1820000
365,365,156.7848,1931.95,-11579.826171875,2302.04,15.555,1825000
366,366,156.61,1925.53,-11569.7880859375,2272.14,15.5138,1830000
367,367,156.5745,1933.6,-11630.056640625,2315.56,15.5001,1835000
368,368,156.7577,1924.77,-11611.419921875,2287.83,15.6699,1840000
369,369,156.6888,1933.76,-11656.2744140625,2271.4,15.824,1845000
370,370,156.7393,1919.73,-11636.4365234375,2260.04,15.6761,1850000
371,371,156.6039,1912.14,-11650.2314453125,2283.4,15.3731,1855000
372,372,156.7357,1920.34,-11658.076171875,2280.03,15.6297,1860000
373,373,156.7195,1923.75,-11673.8134765625,2290.6,15.4045,1865000
374,374,156.7182,1909.34,-11719.5244140625,2286.24,15.5019,1870000
375,375,156.5403,1915.72,-11701.1728515625,2274.39,15.3753,1875000
376,376,156.7002,1927.28,-11778.875,2291.38,15.649,1880000
377,377,156.6766,1946.22,-11751.126953125,2273.38,15.5174,1885000
378,378,156.5812,1899.68,-11796.681640625,2277.62,15.5478,1890000
379,379,156.8078,1912.78,-11790.98046875,2289.32,15.5306,1895000
380,380,156.518,1923.3,-11773.3896484375,2291.86,15.2169,1900000
381,381,156.7265,1951.98,-11830.41796875,2287.28,15.5567,1905000
382,382,156.6197,1941.25,-11844.673828125,2276.47,15.4235,1910000
383,383,156.7038,1922.38,-11825.09375,2256.11,15.57,1915000
384,384,156.8117,1922.69,-11924.2197265625,2289.1,15.5089,1920000
385,385,156.6482,1888.25,-11873.5009765625,2280.13,15.4549,1925000
