Real Det Return,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time
3400.66,-89.52403259277344,2977.75,84,25.0292,420000,16.0189,84
3374.79,-54.00282287597656,3378.56,85,25.1057,425000,13.6786,85
3418.61,-62.943546295166016,3128.86,86,25.4411,430000,13.3498,86
3422.38,-69.74154663085938,3251.39,87,24.1812,435000,12.3679,87
3411.64,-76.13551330566406,3381.14,88,25.0284,440000,12.9421,88
3376.47,-68.48761749267578,3302.35,89,24.7302,445000,12.8158,89
3407.41,-59.389678955078125,3194.03,90,24.6423,450000,12.3202,90
3433.64,-64.27395629882812,3408.81,91,24.5232,455000,13.0863,91
3439.13,-113.47079467773438,2986.6,92,25.4235,460000,12.8277,92
3346.76,-98.45629119873047,3330.01,93,25.4586,465000,13.5652,93
3350.9,-82.78990173339844,3371.17,94,25.2928,470000,14.1094,94
3397.51,-81.8091049194336,3370.29,95,25.612,475000,14.0026,95
3434.48,-126.75213623046875,3165.54,96,25.6072,480000,15.272,96
3407.25,-71.88526153564453,3396.65,97,25.01,485000,13.2323,97
3392.11,-84.87865447998047,3372.4,98,25.1659,490000,13.0337,98
3393.95,-84.76200866699219,3389.32,99,24.4378,495000,12.4698,99
3397.47,-97.68792724609375,3286.23,100,25.1216,500000,13.3037,100
3379.15,-77.37860107421875,3368.19,101,24.7086,505000,12.6818,101
3449.26,-94.91983032226562,2905.19,102,25.181,510000,13.0503,102
3402.57,-77.07795715332031,3127.57,103,25.055,515000,12.9308,103
3395.09,-264.98974609375,2466.69,104,25.7645,520000,14.6948,104
3440.17,-67.75987243652344,3344.27,105,23.5138,525000,11.6814,105
3442.63,-100.30815124511719,2907.92,106,24.746,530000,13.1766,106
3446.47,-125.89180755615234,2666.87,107,25.036,535000,12.9861,107
3330.49,-94.96465301513672,3322.2,108,24.1716,540000,12.9602,108
3446.66,-76.286376953125,3434.39,109,24.9967,545000,13.8994,109
3449.17,-89.36786651611328,3447.34,110,25.4233,550000,14.415,110
3447.88,-76.39494323730469,3415.67,111,24.6377,555000,12.9922,111
3411.72,-99.93946838378906,3392.87,112,25.2666,560000,12.8189,112
3480.05,-76.52461242675781,3308.66,113,24.7561,565000,13.2706,113
3468.49,-71.41130828857422,3433.52,114,24.8857,570000,13.0154,114
3462.67,-80.49508666992188,3432.59,115,24.5281,575000,13.3018,115
3403.22,-99.20862579345703,3400.91,116,24.5626,580000,13.2573,116
1026.23,-437.7629089355469,174.44,117,29.5726,585000,19.6984,117
3364.0,-99.87866973876953,3376.57,118,23.9257,590000,12.5408,118
3418.84,-97.5223159790039,3376.25,119,24.3733,595000,12.6718,119
3453.58,-93.09539031982422,3427.24,120,24.3073,600000,12.5983,120
3458.51,-84.44380950927734,3426.08,121,23.9855,605000,12.6381,121
3434.64,-88.10186767578125,3412.26,122,23.98,610000,12.704,122
3471.7,-98.30132293701172,3300.45,123,23.7301,615000,12.2592,123
3429.05,-79.95772552490234,3408.88,124,24.3659,620000,13.3516,124
3424.96,-132.1135711669922,3386.88,125,24.6092,625000,12.1305,125
3430.8,-108.66004180908203,3268.37,126,24.1705,630000,12.7051,126
3461.44,-85.96309661865234,3374.13,127,23.8624,635000,12.1146,127
3466.36,-88.73320007324219,3452.11,128,23.6018,640000,11.9343,128
3386.44,-112.04901123046875,3372.65,129,24.6305,645000,12.1644,129
3372.4,-209.2822265625,2955.72,130,24.5458,650000,12.0046,130
334.54,-599.5811157226562,373.82,131,36.8079,655000,22.2605,131
3393.87,-114.08290100097656,3391.01,132,25.0345,660000,12.6351,132
3398.93,-114.94738006591797,3245.96,133,25.0284,665000,13.3775,133
989.65,-468.8653259277344,991.58,134,41.6031,670000,31.9247,134
972.97,-577.925537109375,970.72,135,44.2227,675000,38.5225,135
1015.29,-614.1107788085938,1015.29,136,45.7295,680000,39.7602,136
3435.61,-109.04121398925781,3400.29,137,24.9411,685000,12.6055,137
3398.1,-133.12229919433594,3316.75,138,24.82,690000,12.3062,138
3425.97,-129.0196533203125,3051.67,139,23.7859,695000,12.112,139
3411.74,-111.92598724365234,3318.23,140,24.13,700000,11.785,140
3423.09,-217.72584533691406,2082.09,141,24.4519,705000,11.9283,141
3404.95,-206.84530639648438,2712.34,142,24.975,710000,11.8331,142
3413.3,-153.1551513671875,3043.61,143,24.4533,715000,11.3344,143
3439.08,-111.96974182128906,2965.78,144,24.4479,720000,11.3474,144
3392.44,-108.64317321777344,3046.8,145,23.9971,725000,11.2052,145
3424.44,-140.19969177246094,2731.79,146,23.4311,730000,10.3815,146
3409.56,-154.7602081298828,3118.44,147,24.9216,735000,12.029,147
3425.69,-145.67237854003906,2980.93,148,24.1827,740000,14.4304,148
3436.95,-122.45500183105469,3314.37,149,23.9978,745000,11.5107,149
3407.35,-148.1738739013672,3388.08,150,24.6138,750000,12.2491,150
3372.92,-172.26878356933594,3338.74,151,24.7237,755000,12.1875,151
3423.31,-175.54568481445312,3091.92,152,25.4844,760000,12.8983,152
3444.25,-202.2394561767578,2619.39,153,25.3819,765000,16.1605,153
3406.23,-198.1157684326172,1256.16,154,26.1086,770000,15.2279,154
3398.21,-161.66421508789062,3366.47,155,24.9574,775000,13.0133,155
3408.29,-141.12060546875,3278.31,156,24.4088,780000,11.8524,156
3382.78,-167.2942352294922,3387.05,157,25.1234,785000,13.3643,157
3413.57,-131.89083862304688,3404.58,158,23.961,790000,11.9712,158
3403.92,-206.0640106201172,3127.71,159,24.5788,795000,12.3172,159
3417.9,-228.198974609375,3144.64,160,24.4956,800000,12.7401,160
3401.7,-128.34942626953125,3294.1,161,23.5695,805000,11.4006,161
3437.23,-121.75959014892578,3402.06,162,24.0507,810000,11.5074,162
3403.12,-159.85861206054688,3339.23,163,24.4777,815000,12.1735,163
3411.88,-159.95594787597656,2846.81,164,24.8168,820000,12.5167,164
3388.77,-165.31175231933594,3384.02,165,24.2925,825000,12.7389,165
3401.31,-146.33119201660156,3390.02,166,24.0114,830000,11.9111,166
3403.68,-134.07510375976562,3409.37,167,24.1519,835000,12.5129,167
2028.59,-349.2313232421875,2049.02,168,27.9315,840000,16.3576,168
3363.14,-158.958251953125,3328.89,169,24.0769,845000,12.123,169
3443.42,-128.534912109375,3409.27,170,22.6697,850000,11.0086,170
3449.38,-162.65386962890625,3290.45,171,24.29,855000,11.6918,171
3385.79,-207.09591674804688,3373.3,172,26.236,860000,14.7772,172
3435.13,-140.9095001220703,3414.2,173,23.821,865000,11.6965,173
3445.15,-132.5256805419922,3413.34,174,23.5779,870000,11.5748,174
3402.13,-133.9083251953125,3406.54,175,23.2709,875000,11.2081,175
3359.59,-198.42047119140625,3376.15,176,24.9651,880000,12.1138,176
3429.69,-139.30726623535156,3425.7,177,23.3571,885000,11.8303,177
3058.47,-351.2718811035156,2444.49,178,26.1646,890000,12.3029,178
3435.58,-147.80062866210938,3418.34,179,23.4224,895000,11.4543,179
3400.78,-173.35113525390625,3385.88,180,23.7956,900000,12.494,180
3436.73,-140.68812561035156,3385.39,181,22.6221,905000,10.8037,181
3455.66,-144.09393310546875,3438.13,182,23.1772,910000,11.7278,182
3481.1,-141.0999298095703,3470.52,183,23.6178,915000,12.2186,183
567.51,-218.8173828125,904.09,184,24.6312,920000,12.7933,184
3424.69,-158.28746032714844,3404.0,185,23.3812,925000,11.1555,185
3462.77,-164.45762634277344,3443.11,186,24.0756,930000,11.9524,186
3461.25,-143.17428588867188,3282.11,187,23.573,935000,11.2264,187
3412.77,-190.44012451171875,3394.16,188,23.656,940000,13.2834,188
3472.5,-134.15061950683594,3468.82,189,22.8506,945000,11.2328,189
3458.86,-154.36463928222656,3454.36,190,23.2719,950000,12.073,190
3424.06,-168.55615234375,3438.81,191,23.6213,955000,12.1323,191
3434.3,-174.4239959716797,3411.34,192,24.3955,960000,12.5005,192
3411.11,-186.76239013671875,3396.73,193,24.8072,965000,12.8541,193
3230.23,-210.32186889648438,3373.0,194,25.0836,970000,13.1243,194
3418.29,-168.86180114746094,3390.75,195,23.8859,975000,11.777,195
3451.89,-157.82272338867188,3427.64,196,23.1928,980000,11.5739,196
3401.07,-152.85122680664062,3316.17,197,22.985,985000,10.1299,197
3432.18,-182.3075714111328,3426.52,198,23.7392,990000,12.6238,198
3429.08,-206.45391845703125,3091.21,199,24.183,995000,11.5521,199
