Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Itration,Reward Loss
3308.29,23.3375,3280.28,14.9471,215000,43,43,-318.9247741699219
3319.78,23.0361,3097.2,14.8609,220000,44,44,-294.4761047363281
3333.05,21.7701,3314.68,14.4498,225000,45,45,-297.5770568847656
3316.95,22.3447,3176.77,24.6658,230000,46,46,-359.2481994628906
3382.26,21.7014,3294.71,17.3642,235000,47,47,-288.9208068847656
3308.47,21.3091,3278.92,13.521,240000,48,48,-309.0697937011719
3348.83,21.225,3310.77,13.6611,245000,49,49,-362.8319091796875
3362.73,22.0211,3329.58,14.5137,250000,50,50,-392.7452392578125
3394.91,21.7658,3154.1,14.4907,255000,51,51,-399.3890380859375
3414.71,20.5141,3305.5,12.8815,260000,52,52,-282.0185241699219
3351.61,21.6352,3295.71,14.2905,265000,53,53,-381.4957580566406
3399.46,20.2941,3353.24,12.3048,270000,54,54,-265.5757751464844
3414.33,20.9581,3343.55,13.0717,275000,55,55,-317.5390319824219
3425.34,20.1418,3364.39,13.6562,280000,56,56,-358.5666809082031
3380.69,21.1001,3342.46,14.0801,285000,57,57,-419.3716125488281
3440.2,19.9144,3408.26,12.7097,290000,58,58,-327.3685302734375
3439.49,20.0699,3368.7,12.3219,295000,59,59,-341.47125244140625
3408.32,20.5837,3381.71,14.3878,300000,60,60,-428.32281494140625
3502.75,20.2212,2849.91,11.8583,305000,61,61,-345.4215087890625
3462.51,20.5934,3386.76,13.3061,310000,62,62,-347.83660888671875
3444.78,20.6494,3417.62,13.6465,315000,63,63,-420.7261657714844
3413.14,20.917,3390.39,13.7143,320000,64,64,-389.815673828125
3459.78,20.7815,3432.4,13.9085,325000,65,65,-364.1396789550781
3422.1,19.8723,3421.34,12.7646,330000,66,66,-410.079833984375
3443.12,19.6361,3401.96,13.3163,335000,67,67,-464.29620361328125
3486.12,19.9236,3458.12,12.8479,340000,68,68,-477.9623107910156
3388.25,21.5142,3367.5,14.2598,345000,69,69,-546.1990356445312
3443.01,19.6152,3022.75,13.2691,350000,70,70,-467.6339416503906
3493.54,20.0432,3457.07,13.2078,355000,71,71,-417.7981262207031
3440.17,19.6047,3418.18,12.8353,360000,72,72,-439.60845947265625
3419.5,20.8638,3279.84,13.6944,365000,73,73,-542.8757934570312
3423.57,20.2994,3399.69,13.6307,370000,74,74,-525.7485961914062
3457.28,20.2332,3417.41,12.9929,375000,75,75,-413.64007568359375
3469.4,20.3516,3452.4,13.5324,380000,76,76,-477.4562072753906
3393.02,20.2914,3321.17,13.9237,385000,77,77,-531.9173583984375
3443.37,19.5409,3403.16,13.016,390000,78,78,-454.146240234375
3446.02,20.8159,3422.5,13.1527,395000,79,79,-567.0188598632812
3489.48,19.4715,3361.63,12.8142,400000,80,80,-448.23687744140625
3437.79,18.5902,3292.56,12.6193,405000,81,81,-426.1122131347656
3477.02,18.7388,2861.55,14.0721,410000,82,82,-401.0926818847656
3464.74,19.7271,3334.34,13.2194,415000,83,83,-482.0558776855469
3478.69,19.959,1834.9,26.8654,420000,84,84,-365.5271911621094
3483.29,19.7754,3252.08,15.0908,425000,85,85,-436.70379638671875
3527.53,19.5522,3425.62,12.7081,430000,86,86,-375.7876892089844
3481.45,20.8256,3136.35,15.1373,435000,87,87,-518.6585693359375
3449.02,20.9154,3013.3,22.4327,440000,88,88,-510.3976745605469
3454.22,19.8889,2747.32,16.6584,445000,89,89,-481.87396240234375
3507.01,19.532,3459.23,14.3509,450000,90,90,-473.2690124511719
3427.75,20.121,3086.55,18.1474,455000,91,91,-567.4451293945312
3493.21,20.0005,2815.88,17.2655,460000,92,92,-398.0743408203125
3441.04,19.1673,3364.11,13.053,465000,93,93,-513.1085205078125
3457.48,20.0489,2929.14,14.1941,470000,94,94,-499.9989013671875
3465.2,19.3085,3320.26,11.5297,475000,95,95,-437.72454833984375
3453.22,20.7815,2963.37,16.7159,480000,96,96,-586.2178955078125
3496.3,19.0865,3421.26,12.8537,485000,97,97,-451.5003967285156
3439.87,20.0511,2911.66,14.0107,490000,98,98,-548.0361328125
3459.56,19.4764,3246.9,12.8216,495000,99,99,-610.8250122070312
3459.45,20.1876,2995.78,12.595,500000,100,100,-580.4755249023438
3503.13,19.6725,3478.67,12.5617,505000,101,101,-416.5617370605469
3471.93,18.8193,3150.9,11.5557,510000,102,102,-516.0469970703125
3496.15,19.6713,3358.94,12.4288,515000,103,103,-602.5106201171875
3475.31,20.0176,2936.65,13.4504,520000,104,104,-641.6658935546875
3492.88,20.163,2615.31,12.914,525000,105,105,-636.3515625
3426.34,19.5802,3369.93,12.5123,530000,106,106,-706.7261962890625
3503.6,19.229,3239.25,12.6043,535000,107,107,-559.446533203125
3443.92,19.2321,3356.28,11.5911,540000,108,108,-580.7553100585938
3456.88,19.0423,3413.26,12.0215,545000,109,109,-637.0304565429688
3480.32,19.4513,3181.66,12.9349,550000,110,110,-556.83642578125
3486.18,18.2745,3255.58,11.4354,555000,111,111,-543.8536987304688
3533.41,19.9936,2901.38,11.9,560000,112,112,-494.8291320800781
3464.49,19.6238,3412.58,12.2761,565000,113,113,-691.635498046875
3497.26,19.3477,3312.3,13.8705,570000,114,114,-560.44287109375
3472.32,20.3789,3013.44,16.5523,575000,115,115,-551.9453125
3449.09,19.2018,3287.04,11.8281,580000,116,116,-584.745361328125
3432.51,19.7073,3020.47,13.349,585000,117,117,-597.574462890625
3502.02,20.4737,3283.02,13.643,590000,118,118,-597.5078125
3466.8,20.9875,2740.17,12.3924,595000,119,119,-647.5648803710938
3501.93,20.0271,3427.5,15.6643,600000,120,120,-696.7093505859375
3459.5,19.572,3426.14,12.4886,605000,121,121,-694.8778076171875
3487.28,18.993,2973.86,12.8241,610000,122,122,-538.11181640625
3512.4,20.519,2816.96,13.9791,615000,123,123,-627.98095703125
3489.72,19.7543,3289.22,12.9394,620000,124,124,-661.696044921875
3484.98,19.3549,3451.35,12.6216,625000,125,125,-639.2644653320312
3490.35,20.292,2987.0,15.2178,630000,126,126,-626.2484130859375
3467.33,19.8662,2834.35,16.1018,635000,127,127,-710.7662353515625
3498.27,18.7162,3471.73,12.3787,640000,128,128,-599.6338500976562
3448.22,19.3327,3247.58,12.1392,645000,129,129,-652.5103759765625
3501.16,18.746,3326.03,11.9162,650000,130,130,-640.3655395507812
3504.07,19.0517,3266.46,12.0238,655000,131,131,-644.357421875
3507.15,20.8758,2427.66,13.8773,660000,132,132,-689.3952026367188
3470.45,19.5131,3089.31,16.1221,665000,133,133,-595.6478271484375
3476.24,19.245,3319.18,13.7208,670000,134,134,-691.8920288085938
3491.47,19.1733,3394.75,14.7607,675000,135,135,-635.9820556640625
3479.21,20.5297,2916.99,13.6862,680000,136,136,-660.3758544921875
3463.61,19.7685,3286.97,13.3694,685000,137,137,-677.6516723632812
3499.97,18.6736,3451.08,11.3226,690000,138,138,-577.5073852539062
3487.68,18.8579,3456.91,11.9579,695000,139,139,-650.6072387695312
3431.03,19.9755,2772.45,11.813,700000,140,140,-671.5390014648438
3476.91,19.4878,3072.02,20.8891,705000,141,141,-654.538818359375
3483.51,20.1726,3115.2,11.8932,710000,142,142,-596.9446411132812
3475.91,21.1224,3047.75,12.9058,715000,143,143,-673.6148071289062
3454.71,19.027,3023.94,11.5079,720000,144,144,-613.3765869140625
3471.68,19.2219,2930.94,11.8475,725000,145,145,-686.9036254882812
3477.02,19.9857,2788.37,11.8684,730000,146,146,-695.4383544921875
3494.78,20.0956,3304.94,13.7683,735000,147,147,-841.753662109375
3481.98,19.5145,3372.55,11.9998,740000,148,148,-698.4108276367188
3443.85,18.7806,3429.94,11.8915,745000,149,149,-772.058349609375
3475.18,18.9844,3344.03,12.4837,750000,150,150,-775.7793579101562
3503.63,19.5294,3068.24,13.7073,755000,151,151,-754.0072021484375
3459.97,20.4007,3359.34,14.7061,760000,152,152,-822.3558959960938
3478.2,18.8076,3466.9,12.2091,765000,153,153,-711.1051025390625
3495.42,19.826,3425.69,14.2678,770000,154,154,-758.061279296875
3458.18,19.5625,2850.05,12.2603,775000,155,155,-739.3887329101562
3439.7,19.7712,2852.23,12.8087,780000,156,156,-760.14013671875
3489.04,19.2586,3499.05,11.6814,785000,157,157,-782.7523803710938
3426.97,20.1123,3362.9,13.1304,790000,158,158,-942.9244995117188
3503.81,19.9553,2598.62,15.9527,795000,159,159,-897.7178344726562
3515.36,20.263,3296.92,13.271,800000,160,160,-786.687255859375
3463.43,19.2046,3390.56,12.5596,805000,161,161,-932.5701904296875
3493.03,19.857,3445.86,12.483,810000,162,162,-795.2756958007812
3518.49,20.4675,3440.36,12.5804,815000,163,163,-891.2412719726562
3503.23,20.658,2845.93,15.1805,820000,164,164,-876.047119140625
3466.99,18.4684,3132.39,12.0873,825000,165,165,-1004.9551391601562
3510.86,19.3723,3476.92,12.4334,830000,166,166,-988.542724609375
3506.09,19.4929,3442.48,11.9239,835000,167,167,-895.6793823242188
3504.3,19.225,3171.49,12.3671,840000,168,168,-826.5545654296875
3455.17,19.1303,3435.41,12.1383,845000,169,169,-1049.5926513671875
3493.17,19.5598,3264.33,12.4406,850000,170,170,-879.3759155273438
3481.37,19.5154,2855.59,12.5623,855000,171,171,-830.1298217773438
3479.33,20.2389,3501.0,13.3401,860000,172,172,-891.8839111328125
3472.19,19.9986,3495.49,12.7626,865000,173,173,-1029.934814453125
3439.88,19.0426,3302.28,12.5174,870000,174,174,-940.79736328125
3472.85,19.9428,3358.12,19.6219,875000,175,175,-976.8610229492188
3475.4,19.4433,3493.17,12.1916,880000,176,176,-1066.98974609375
3274.22,21.854,1994.77,27.6057,885000,177,177,-1051.1448974609375
3553.0,22.2088,2307.84,26.9113,890000,178,178,-1079.7105712890625
3494.61,19.9184,3197.73,14.7885,895000,179,179,-952.0054931640625
3495.98,21.399,2480.92,24.1744,900000,180,180,-1026.876953125
3525.11,20.5484,3389.6,15.6591,905000,181,181,-1040.90673828125
3519.16,20.2326,3299.55,19.5997,910000,182,182,-987.9808349609375
3459.86,18.6842,3256.12,14.707,915000,183,183,-896.9835205078125
3557.87,21.2279,3202.16,23.3681,920000,184,184,-981.3196411132812
3470.1,19.4848,3459.65,13.5984,925000,185,185,-1019.8383178710938
3431.76,21.0898,2811.86,20.4194,930000,186,186,-1040.8109130859375
3519.81,19.5442,3431.24,14.5482,935000,187,187,-1068.98388671875
3497.94,19.9945,3485.83,12.9657,940000,188,188,-980.7556762695312
3456.3,22.7596,1946.03,35.4462,945000,189,189,-1281.087646484375
3597.15,20.8154,2672.99,23.6806,950000,190,190,-1082.9862060546875
3468.03,19.5721,3168.78,14.3478,955000,191,191,-851.464599609375
3494.37,19.859,3242.31,15.6298,960000,192,192,-1006.9741821289062
3480.1,20.4079,3471.62,12.6905,965000,193,193,-1135.819091796875
3478.37,19.8091,3363.59,12.0421,970000,194,194,-1165.439208984375
3483.86,18.0925,3132.75,12.4077,975000,195,195,-1268.076416015625
3474.99,19.6789,3263.48,13.1775,980000,196,196,-1126.0269775390625
3473.88,20.5304,3057.21,13.2906,985000,197,197,-1162.209716796875
3475.33,19.474,3338.25,12.1297,990000,198,198,-1177.519775390625
3503.35,21.1831,3335.03,17.4446,995000,199,199,-1064.55419921875
