Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL,Itration
3233.51,1779.77,29.1174,31.4166,57
3266.43,1926.37,30.2417,29.8074,58
3302.58,2550.46,29.8826,19.9009,59
2039.32,1326.34,31.0598,33.5234,60
3270.31,3156.64,28.5458,19.0113,61
3154.64,2975.48,28.5938,15.0423,62
3253.11,2522.12,29.3683,20.6965,63
3221.9,2646.61,28.8615,19.3952,64
3221.04,3120.76,29.445,17.4834,65
3236.37,2022.66,29.1834,21.53,66
3176.31,2738.25,29.8966,23.2779,67
3238.37,2092.11,28.9132,32.2042,68
3252.96,2749.6,29.7402,19.3441,69
3247.47,3167.16,28.3973,20.2521,70
3260.36,2973.5,28.8025,22.6997,71
3296.58,3314.91,27.6689,18.797,72
3287.92,2700.79,27.7318,28.6226,73
3266.21,2495.35,29.7659,23.836,74
3302.36,3238.5,28.1561,16.6195,75
3298.55,2587.87,28.0984,24.5106,76
3285.48,3195.12,27.274,17.7693,77
3276.21,2094.02,27.9651,34.8276,78
3309.21,3108.3,27.9633,17.1044,79
3346.0,1933.96,29.1149,28.6408,80
3299.0,3304.38,28.1534,15.9757,81
3324.99,2901.93,27.452,17.4506,82
3316.48,2997.52,27.5551,23.109,83
3336.76,2977.79,28.3253,18.0999,84
3307.55,3220.56,28.2764,18.5318,85
3301.73,3235.43,28.0414,15.8951,86
3333.9,2700.04,27.8676,16.4844,87
3329.11,3215.05,27.8477,16.5923,88
3311.89,3227.34,26.9573,17.6946,89
3326.42,3327.11,27.5203,15.1628,90
3407.01,3065.56,26.5809,18.6383,91
3378.98,1992.1,28.0184,33.8892,92
3344.52,3219.6,26.9724,15.4361,93
3324.1,3192.47,26.9605,16.6434,94
3358.4,3022.85,26.7287,21.6736,95
3374.46,3365.13,26.1648,14.6006,96
3357.52,2937.98,27.0459,26.0104,97
3344.83,3227.61,27.0887,21.326,98
3373.88,3272.24,26.6214,15.4706,99
3376.31,3353.8,25.9095,14.1954,100
3336.99,3334.91,28.015,16.2113,101
3334.66,3333.88,26.6124,14.6977,102
3382.25,3381.13,26.5313,14.6303,103
3355.81,3230.42,26.3055,14.6764,104
3337.68,3336.69,26.4609,14.6991,105
3393.21,3377.35,26.2973,16.3406,106
3397.32,3280.83,26.4036,14.9151,107
3404.79,3398.75,25.5232,14.4353,108
3410.61,3416.72,25.5908,14.612,109
3391.42,3222.21,26.5568,27.5013,110
3376.03,3370.65,27.0232,14.9873,111
3384.82,3275.62,27.1579,18.5399,112
3442.48,2965.86,26.4651,16.9775,113
3403.41,3245.91,26.3627,14.644,114
3392.41,3376.42,24.4191,12.4982,115
3399.62,3331.88,25.4579,14.063,116
3420.83,3057.87,25.0595,13.6526,117
3414.17,3177.05,26.6922,23.0802,118
3423.51,3173.35,25.0936,14.5091,119
3374.69,3348.07,26.2086,13.9129,120
3389.53,3382.25,26.2664,14.0265,121
3409.31,3386.62,26.0307,14.5946,122
3404.53,3393.74,25.544,13.9651,123
3408.4,3338.49,25.1781,13.5068,124
3404.99,2969.08,26.4467,29.8664,125
3386.45,3270.38,26.8872,15.7898,126
3411.41,3281.78,25.8541,13.6953,127
3437.31,2962.61,26.0476,22.5843,128
3386.2,2757.52,26.186,28.4126,129
3414.3,3417.44,26.3446,15.4279,130
3422.86,3401.37,25.7863,13.7394,131
3474.47,3067.63,26.3496,23.8569,132
3416.26,3210.77,26.0827,21.1632,133
3436.18,2959.88,26.9286,26.7419,134
3449.19,3313.45,26.0404,14.8324,135
3461.73,3312.11,25.7454,18.2766,136
3430.08,3208.33,25.7714,14.6258,137
3417.4,3291.78,26.4415,15.4111,138
3456.07,2765.83,25.8842,23.5001,139
3435.56,3336.65,25.6131,15.3741,140
3400.35,3225.73,26.2785,15.2369,141
3488.46,2632.61,26.9005,29.543,142
3416.0,3157.52,25.8126,14.0424,143
3436.87,3359.76,25.3801,14.2857,144
3482.06,3319.86,25.3182,20.5287,145
3418.15,3302.05,25.0863,13.4902,146
3483.13,2785.11,26.3789,25.2532,147
3441.26,3077.9,26.2602,15.0047,148
3438.24,3236.52,25.8272,14.9653,149
3450.98,3092.7,26.3061,16.226,150
3441.95,3020.17,26.0623,15.5559,151
3462.38,3223.39,25.9456,16.3541,152
3423.08,3294.9,25.6244,16.6041,153
3424.73,3238.39,25.6725,13.9565,154
3409.57,3322.27,25.6208,13.8405,155
3457.92,3001.92,26.1543,17.5232,156
3459.32,2747.48,25.6293,17.4317,157
3482.78,3119.81,25.0126,16.2908,158
3428.84,2975.89,26.4981,16.4368,159
3444.75,3404.46,24.9852,13.584,160
3362.21,2354.44,26.0184,22.3799,161
3452.35,3365.45,25.5432,13.6622,162
3446.83,3348.22,25.7562,15.1775,163
3429.04,3416.63,25.6602,14.3396,164
3433.91,2884.35,25.8242,16.7061,165
3482.23,3060.32,25.2004,17.6472,166
3431.52,3378.24,25.6922,15.0082,167
3484.66,3344.16,25.7847,18.0927,168
3414.44,3161.98,25.7006,14.8017,169
3442.46,3402.81,25.3038,14.3982,170
3481.39,3397.59,24.3426,15.1988,171
3445.98,3277.06,25.4695,13.8925,172
3456.51,3265.07,24.8147,13.845,173
3454.42,3439.76,25.0523,14.7347,174
3500.91,2848.58,25.923,15.7562,175
3459.39,3462.0,25.16,13.6699,176
3435.33,3332.55,25.8154,13.7825,177
3464.84,3439.56,25.5627,14.1461,178
3477.6,3435.25,24.7409,13.113,179
3490.69,3283.88,25.5939,21.5485,180
3460.24,3433.14,24.6342,13.3864,181
3476.56,2939.86,25.6495,20.5753,182
3440.64,3410.3,25.8522,14.0421,183
3459.79,3242.65,25.9675,17.0921,184
3464.16,2225.89,25.8799,21.9814,185
3450.95,3297.78,25.6266,13.9621,186
3455.68,3353.63,25.4451,17.489,187
3493.11,3058.24,25.2569,19.533,188
3477.46,3467.01,25.4062,14.7843,189
3486.45,3418.58,25.9052,14.4714,190
3417.41,3407.82,25.4504,13.6154,191
3464.9,3356.62,25.3287,15.3482,192
3450.29,3358.21,24.3981,15.2515,193
3477.28,3339.9,25.3455,15.3414,194
3466.94,3115.09,25.7357,15.8201,195
3469.69,3291.25,25.3025,18.7146,196
3476.18,3396.07,24.906,13.6142,197
3473.81,3209.94,24.7852,16.1739,198
3467.01,3389.18,24.7014,15.8983,199
