Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Reward Loss,Real Det Return,Itration
17.158,3379.81,10.7588,735000,147,-696.865966796875,3403.23,147
16.9288,3393.33,10.2065,740000,148,-770.2256469726562,3423.93,148
16.9549,3288.52,10.225,745000,149,-829.7032470703125,3385.61,149
16.6202,3364.3,9.9238,750000,150,-748.9212646484375,3401.53,150
16.2013,3397.25,10.0674,755000,151,-682.2369995117188,3417.88,151
16.0211,3362.29,9.5132,760000,152,-591.3565673828125,3429.35,152
16.2455,3340.79,9.7567,765000,153,-739.7188720703125,3433.7,153
17.8673,2907.57,15.3744,770000,154,-1541.976806640625,3405.04,154
15.6681,3271.55,9.0692,775000,155,-634.0748291015625,3434.03,155
16.8259,2868.98,12.8763,780000,156,-1212.817138671875,3452.25,156
16.554,3381.88,10.2531,785000,157,-699.780517578125,3451.05,157
15.9467,3297.46,9.3807,790000,158,-551.9982299804688,3436.88,158
18.4173,2669.11,21.7751,795000,159,-1973.739501953125,3471.5,159
15.8203,3422.59,9.5969,800000,160,-610.3279418945312,3454.19,160
17.2063,3404.57,10.8853,805000,161,-846.41259765625,3433.53,161
16.0778,3386.24,9.8332,810000,162,-741.5336303710938,3418.42,162
16.5066,3349.52,10.2553,815000,163,-835.4592895507812,3432.51,163
16.9198,3358.73,10.5486,820000,164,-806.6304931640625,3417.68,164
16.5164,3417.04,10.5147,825000,165,-727.0586547851562,3451.41,165
16.0086,3449.55,12.7576,830000,166,-975.7368774414062,3447.63,166
16.3756,3396.57,10.4765,835000,167,-708.4796142578125,3455.79,167
16.2938,3429.58,10.3267,840000,168,-604.0443725585938,3455.51,168
15.9853,3399.69,9.7621,845000,169,-750.4660034179688,3428.42,169
15.785,3354.25,10.2784,850000,170,-598.9832763671875,3450.97,170
15.8668,3377.58,12.9436,855000,171,-732.9302978515625,3448.92,171
17.3499,2870.54,19.2436,860000,172,-1363.6397705078125,3445.03,172
18.5765,2055.73,27.3648,865000,173,-2258.86767578125,3443.58,173
17.5303,3385.43,11.0547,870000,174,-838.1297607421875,3455.56,174
16.9339,3105.34,13.2856,875000,175,-1171.6944580078125,3448.36,175
16.1946,3409.26,9.6135,880000,176,-802.5540161132812,3434.23,176
17.0037,3153.26,12.7382,885000,177,-1200.9954833984375,3427.15,177
16.3388,3425.48,10.096,890000,178,-733.2318725585938,3443.69,178
16.1474,3253.6,11.4133,895000,179,-958.9210815429688,3426.23,179
16.3793,3371.72,9.8843,900000,180,-885.36474609375,3390.91,180
16.2256,3297.22,9.9878,905000,181,-777.3986206054688,3439.55,181
17.7378,2857.51,14.6772,910000,182,-1203.66064453125,3468.13,182
16.6385,3096.12,14.2826,915000,183,-1131.4412841796875,3448.18,183
16.9389,3376.16,12.2277,920000,184,-1196.30615234375,3426.68,184
15.87,3435.23,9.7756,925000,185,-683.7489624023438,3445.49,185
16.3735,3335.82,9.9983,930000,186,-915.0755004882812,3432.02,186
18.1585,1311.96,24.2055,935000,187,-2266.96240234375,3445.41,187
16.8217,2993.7,9.8979,940000,188,-706.865234375,3433.67,188
16.7666,3431.84,10.1415,945000,189,-784.6320190429688,3431.14,189
16.5644,3263.4,11.9614,950000,190,-1119.364990234375,3439.44,190
16.4184,3286.55,9.4688,955000,191,-1018.4190673828125,3413.07,191
16.4551,3412.02,9.4801,960000,192,-832.9676513671875,3453.65,192
17.9349,2117.1,13.3446,965000,193,-1557.58642578125,3438.64,193
16.5046,3299.52,9.7001,970000,194,-933.7294921875,3439.1,194
17.2406,3410.28,10.2808,975000,195,-874.1564331054688,3463.53,195
17.496,2749.88,12.6441,980000,196,-1727.824462890625,3490.08,196
16.0672,3405.02,9.9993,985000,197,-808.9973754882812,3463.4,197
20.2421,2293.5,19.5834,990000,198,-2332.29638671875,2573.65,198
17.3624,3227.87,10.3426,995000,199,-1080.9078369140625,3390.6,199
