Itration,Running Update Time,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return
300,300,2329.83,156.4761,1500000,-10772.5224609375,15.0465,1954.43
301,301,2305.69,156.6008,1505000,-10800.984375,14.9677,1952.48
302,302,2237.24,156.5527,1510000,-10757.1396484375,14.4638,1911.65
303,303,2208.52,156.6026,1515000,-10813.64453125,14.1569,1882.5
304,304,2110.83,156.563,1520000,-10826.9609375,13.8794,1801.26
305,305,2338.83,156.4822,1525000,-10844.5087890625,14.9848,1980.11
306,306,2318.63,156.5421,1530000,-10899.4462890625,15.1205,1979.11
307,307,2313.11,156.6392,1535000,-10939.505859375,15.2583,1986.82
308,308,2322.41,156.5629,1540000,-10940.3076171875,15.0535,1977.26
309,309,2313.9,156.5865,1545000,-10991.623046875,14.9734,1970.46
310,310,2322.13,156.5267,1550000,-10996.8173828125,15.3365,1991.45
311,311,2318.06,156.478,1555000,-11012.4814453125,15.0557,1984.55
312,312,2300.81,156.6592,1560000,-11039.0439453125,15.0605,1975.81
313,313,2328.06,156.5314,1565000,-11057.9013671875,15.045,1975.54
314,314,2327.84,156.5149,1570000,-11117.427734375,15.2529,1974.83
315,315,2330.3,156.5138,1575000,-11121.2412109375,15.2425,1976.49
316,316,2282.09,156.4327,1580000,-11104.9658203125,15.0815,1974.77
317,317,2315.12,156.3998,1585000,-11168.12890625,14.9456,1952.47
318,318,2273.15,156.4681,1590000,-11154.3505859375,15.1379,1952.08
319,319,2283.15,156.4907,1595000,-11182.44921875,15.0588,1942.81
320,320,2287.49,156.4952,1600000,-11220.4873046875,15.104,1946.19
321,321,2301.3,156.5566,1605000,-11266.99609375,15.0592,1964.3
322,322,2320.14,156.4196,1610000,-11308.8720703125,14.9458,1946.11
323,323,2310.74,156.4594,1615000,-11301.3662109375,14.8682,1947.02
324,324,2280.7,156.4529,1620000,-11258.3193359375,14.7191,1951.39
325,325,2304.89,156.5399,1625000,-11359.68359375,14.873,1918.89
326,326,2306.63,156.4088,1630000,-11374.328125,14.723,1930.67
327,327,2307.85,156.392,1635000,-11457.8779296875,14.8499,1920.28
328,328,2305.01,156.4943,1640000,-11468.1806640625,14.7855,1942.97
329,329,2311.58,156.5283,1645000,-11509.58203125,14.7809,1918.57
330,330,2298.01,156.4218,1650000,-11541.8154296875,14.8887,1937.32
331,331,2279.49,156.4537,1655000,-11500.826171875,14.7295,1933.67
332,332,2298.95,156.5633,1660000,-11558.2021484375,14.7361,1931.19
333,333,2273.94,156.4577,1665000,-11585.021484375,14.6232,1934.59
334,334,2337.59,156.5296,1670000,-11657.8828125,14.8169,1949.68
335,335,2307.86,156.5079,1675000,-11674.2216796875,14.938,1935.57
336,336,2297.03,156.6,1680000,-11706.5302734375,14.9444,1933.45
337,337,2314.1,156.5339,1685000,-11753.890625,14.9079,1930.72
338,338,2319.48,156.4498,1690000,-11748.4599609375,14.8667,1910.04
339,339,2301.19,156.6403,1695000,-11781.099609375,15.0094,1945.04
340,340,2301.91,156.4581,1700000,-11804.9423828125,14.9033,1919.09
341,341,2267.13,156.6078,1705000,-11825.5517578125,14.3381,1899.72
342,342,2270.73,156.569,1710000,-11780.4892578125,14.8124,1917.43
343,343,2309.08,156.3741,1715000,-11940.203125,14.9575,1936.7
344,344,2274.57,156.6046,1720000,-11908.458984375,14.8115,1910.28
345,345,2283.43,156.6492,1725000,-11984.837890625,14.8205,1919.92
346,346,2304.69,156.6751,1730000,-11959.005859375,14.9394,1927.47
347,347,2309.58,156.5473,1735000,-11981.6796875,14.8717,1939.75
348,348,2319.94,156.6258,1740000,-12021.7451171875,15.0293,1960.83
349,349,2291.59,156.5968,1745000,-12046.5048828125,15.0049,1945.69
350,350,2306.84,156.6034,1750000,-12064.8935546875,14.9481,1937.84
351,351,2324.22,156.4297,1755000,-12100.6201171875,15.04,1977.1
352,352,2279.17,156.6034,1760000,-12108.6435546875,14.9105,1950.65
353,353,2300.09,156.4816,1765000,-12147.2802734375,15.0172,1951.29
354,354,2293.29,156.5148,1770000,-12125.263671875,14.9365,1973.79
355,355,2300.84,156.6082,1775000,-12138.2255859375,15.0834,1958.59
356,356,2321.76,156.7044,1780000,-12189.498046875,15.0091,1973.54
357,357,2323.62,156.607,1785000,-12257.89453125,15.0304,1961.92
358,358,2330.24,156.5506,1790000,-12260.5576171875,15.0828,1970.61
359,359,2293.74,156.6313,1795000,-12274.9814453125,15.1058,1966.05
360,360,2210.57,156.5089,1800000,-12301.2880859375,14.466,1780.81
361,361,2019.11,156.6304,1805000,-12453.37890625,14.667,1605.72
362,362,1725.35,156.5614,1810000,-12483.7060546875,14.4249,1352.56
363,363,1452.2,156.583,1815000,-12609.0537109375,14.572,1252.99
364,364,1489.48,156.7812,1820000,-12698.3984375,14.9379,1260.18
365,365,1785.13,156.4939,1825000,-12585.92578125,14.4556,1416.84
366,366,2094.16,156.4977,1830000,-12465.431640625,14.1809,1625.11
367,367,2149.91,156.5961,1835000,-12476.2373046875,14.595,1527.0
368,368,2194.91,156.4314,1840000,-12546.01171875,14.6171,1789.68
369,369,2242.03,156.7193,1845000,-12536.369140625,14.7699,1841.37
370,370,2221.8,156.5592,1850000,-12579.9521484375,14.755,1818.19
371,371,2247.46,156.5816,1855000,-12605.2841796875,14.6931,1847.07
372,372,2243.07,156.509,1860000,-12641.8076171875,14.8232,1838.56
373,373,2192.53,156.5916,1865000,-12653.703125,14.7651,1860.11
374,374,2226.35,156.5923,1870000,-12726.138671875,14.9461,1865.35
375,375,2299.53,156.5814,1875000,-12758.3427734375,14.995,1905.36
376,376,2282.37,156.2882,1880000,-12799.2412109375,15.0495,1895.1
377,377,2282.64,156.4385,1885000,-12843.4541015625,14.9643,1900.19
378,378,2319.0,156.4719,1890000,-12820.1748046875,15.0063,1913.41
379,379,2326.07,156.4055,1895000,-12890.0927734375,15.0912,1933.72
380,380,2278.24,156.6348,1900000,-12920.8173828125,15.1105,1912.75
381,381,2285.27,156.4017,1905000,-12925.6689453125,15.0602,1909.11
382,382,2312.44,156.5913,1910000,-12871.8896484375,14.9542,1923.49
383,383,2307.95,156.498,1915000,-12962.2431640625,14.997,1934.29
384,384,2292.72,156.521,1920000,-12960.6533203125,15.0664,1908.42
385,385,2323.24,156.4626,1925000,-12981.107421875,14.9689,1944.48
