Reward Loss,Running Forward KL,Running Update Time,Itration,Real Sto Return,Real Det Return,Running Env Steps,Running Reverse KL
-10272.2705078125,357.6101,100,100,3335.31,2001.98,500000,182.313
-12074.4892578125,382.3173,101,101,2581.26,1704.59,505000,221.767
-10302.2080078125,363.5449,102,102,2848.18,2233.34,510000,187.8802
-10250.7490234375,360.422,103,103,3199.9,3417.54,515000,178.1332
-10710.677734375,363.7496,104,104,3388.66,2465.11,520000,186.9319
-11510.201171875,373.6948,105,105,2882.55,2269.35,525000,215.9709
-10760.2314453125,360.3939,106,106,2822.22,2494.83,530000,188.216
-10403.6943359375,357.4046,107,107,3781.64,1229.44,535000,180.994
-10184.31640625,353.6309,108,108,3831.88,4237.56,540000,184.0558
-10983.076171875,361.0592,109,109,4300.55,3782.73,545000,197.2319
-11975.181640625,367.8308,110,110,4132.19,3373.34,550000,213.4884
-11618.6982421875,360.7364,111,111,3476.78,2566.4,555000,200.7356
-10639.7294921875,359.1258,112,112,3677.52,3346.66,560000,191.406
-11976.6708984375,353.4591,113,113,3535.97,1536.07,565000,196.969
-10911.0986328125,356.5523,114,114,4120.79,1988.28,570000,190.7616
-10165.1689453125,349.1754,115,115,4310.17,4288.85,575000,185.4048
-11426.017578125,352.7215,116,116,3798.95,3382.64,580000,182.1848
-10624.515625,346.33,117,117,4416.32,2473.5,585000,181.8454
-11161.548828125,354.1253,118,118,4197.87,4291.73,590000,171.731
-11334.49609375,355.7075,119,119,4494.17,3343.21,595000,188.097
-11688.333984375,344.9879,120,120,4216.18,2901.99,600000,168.125
-11795.9833984375,354.0678,121,121,4222.02,3290.01,605000,186.1524
-11976.896484375,349.2906,122,122,3874.44,4247.02,610000,185.1015
-11315.1513671875,347.2967,123,123,4465.11,2353.06,615000,183.8837
-12301.2197265625,350.8707,124,124,3701.63,1393.4,620000,175.5259
-11734.517578125,349.4254,125,125,4423.42,4640.16,625000,177.0191
-14079.140625,379.0967,126,126,3565.01,1424.54,630000,238.8812
-12369.5390625,351.8327,127,127,4658.58,3639.85,635000,177.639
-12239.2314453125,346.6198,128,128,4593.94,3255.99,640000,180.7192
-11867.2958984375,341.36,129,129,4549.58,2606.32,645000,164.4861
-12589.5791015625,347.4246,130,130,3071.75,1956.04,650000,181.3898
-12940.52734375,349.5099,131,131,4417.32,2086.36,655000,185.2377
-13172.5712890625,347.8085,132,132,4582.22,1645.95,660000,175.4888
-13288.76171875,346.9603,133,133,4851.86,3759.0,665000,180.5696
-12942.869140625,345.1952,134,134,4546.69,3749.51,670000,173.3602
-13341.6044921875,351.0522,135,135,3917.17,3891.15,675000,182.5758
-13489.1552734375,344.1898,136,136,4582.32,2003.4,680000,170.5745
-12805.568359375,338.698,137,137,4809.93,3600.51,685000,161.2056
-13875.216796875,345.1083,138,138,4581.7,3518.73,690000,176.3256
-13937.9658203125,346.2807,139,139,4862.35,3220.63,695000,172.9157
-14531.60546875,356.7393,140,140,3965.12,2061.78,700000,189.4818
-14075.4150390625,350.9124,141,141,3589.87,1567.61,705000,173.7392
-13825.7314453125,341.4977,142,142,4770.27,3759.42,710000,169.2276
-14323.8701171875,344.9414,143,143,4424.6,1834.9,715000,184.998
-13732.8076171875,335.6847,144,144,4666.72,3763.4,720000,163.3822
-14372.4482421875,342.207,145,145,4347.09,3710.75,725000,176.6233
-14208.8818359375,337.358,146,146,3767.99,1544.73,730000,164.2529
-15129.064453125,351.9137,147,147,4838.08,4322.82,735000,187.8424
-15224.3427734375,350.8059,148,148,4766.26,3961.83,740000,178.5422
-15471.9560546875,353.5269,149,149,4686.08,3328.32,745000,185.1046
-15393.083984375,351.7381,150,150,4113.92,3034.17,750000,180.3255
-15217.484375,343.9852,151,151,4842.92,4563.09,755000,176.113
-15747.73828125,350.3878,152,152,4858.02,4318.92,760000,184.0861
-15229.1435546875,344.7798,153,153,4788.54,4721.83,765000,171.9591
-15308.16015625,345.1158,154,154,4354.48,2546.08,770000,169.7414
-15353.7060546875,341.1591,155,155,4866.96,2633.68,775000,170.5
-15503.8779296875,345.1558,156,156,4482.12,3787.82,780000,173.3455
-16268.787109375,355.7423,157,157,4756.93,3788.33,785000,191.9977
-15973.162109375,347.8888,158,158,4832.81,4746.64,790000,177.6858
-16399.8828125,354.313,159,159,4591.96,4274.05,795000,188.9477
-16300.048828125,357.4225,160,160,3197.24,3493.78,800000,192.8372
-16454.09375,350.8242,161,161,4554.9,4208.28,805000,178.9558
-16415.55078125,376.9841,162,162,2595.31,2795.41,810000,226.6511
-16292.2939453125,351.9027,163,163,4815.16,4114.78,815000,176.5241
-16257.48828125,345.717,164,164,4412.62,3844.92,820000,171.9254
-16647.908203125,348.3557,165,165,4625.56,4828.41,825000,177.6782
-16397.705078125,343.0589,166,166,4858.5,4812.41,830000,178.62
-16564.060546875,346.9401,167,167,4909.74,3547.28,835000,172.6171
-16766.58203125,346.0797,168,168,4749.12,4450.65,840000,175.578
-16811.431640625,345.4462,169,169,4829.17,4611.35,845000,175.9196
-17080.251953125,346.8704,170,170,4517.17,4186.04,850000,177.637
-16980.568359375,345.2977,171,171,4852.83,4379.82,855000,174.9791
-17209.099609375,347.7252,172,172,4703.92,4716.56,860000,175.6987
-17065.41796875,349.7162,173,173,4532.14,4627.89,865000,168.9966
-17340.84375,348.7269,174,174,4588.89,4850.72,870000,181.7001
-17354.9375,348.2826,175,175,4356.17,4186.36,875000,177.6074
-17277.716796875,341.5557,176,176,4845.77,3491.25,880000,172.2553
-17435.138671875,350.9885,177,177,4666.83,3827.48,885000,177.0695
-17610.859375,349.9814,178,178,4544.6,4240.39,890000,183.3167
-17277.04296875,346.0502,179,179,4933.32,1728.64,895000,178.5858
-17565.71484375,349.76,180,180,4429.93,4115.69,900000,178.2942
-17857.0859375,349.0078,181,181,4692.2,3820.49,905000,177.7546
-17762.923828125,352.6224,182,182,4869.39,4275.55,910000,183.4434
-17695.48828125,354.52,183,183,4523.53,3633.52,915000,178.2974
-17870.27734375,350.2303,184,184,4882.09,4656.8,920000,180.6782
-17996.8984375,351.9538,185,185,4711.89,4444.76,925000,182.3709
-17963.68359375,347.0326,186,186,4819.78,4745.84,930000,180.3155
-17843.822265625,352.7037,187,187,4808.84,3030.04,935000,181.5595
-17739.783203125,343.6909,188,188,4835.61,4653.53,940000,171.2376
-17775.80859375,342.8312,189,189,4870.31,4270.02,945000,172.9665
-17957.634765625,352.3132,190,190,4463.27,4048.18,950000,184.2806
-18001.3984375,342.9315,191,191,4865.47,4299.03,955000,173.9542
-17995.517578125,342.694,192,192,4857.52,4392.7,960000,170.027
-17945.8203125,349.9919,193,193,4520.59,2904.63,965000,173.7046
-17961.29296875,340.7208,194,194,4849.85,3985.84,970000,164.6737
-18007.84375,346.3859,195,195,4507.6,3731.04,975000,170.7383
-18050.59375,347.933,196,196,4066.64,4714.18,980000,177.8619
-18327.265625,351.2739,197,197,4745.39,4131.64,985000,179.7292
-18409.841796875,352.8749,198,198,4844.07,4799.9,990000,186.4057
-18273.48046875,346.6699,199,199,4741.63,4319.77,995000,179.3657
-17979.552734375,345.7588,200,200,4621.48,3530.55,1000000,180.9205
-18067.359375,350.0172,201,201,4425.21,1740.14,1005000,187.2589
