Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Forward KL
3556.13,4418.93,71,168.0412,339.2515
4273.84,3637.41,72,173.0438,348.0265
2949.93,4039.15,73,180.8359,358.3596
4262.8,4407.76,74,169.5748,359.6507
2569.88,3707.78,75,156.6749,340.1547
2912.25,3750.99,76,169.2116,362.7952
4077.54,3394.24,77,180.6717,354.6255
3159.58,3964.09,78,171.3995,354.9228
3578.11,3890.47,79,172.5419,351.9021
3994.82,3725.01,80,170.8102,351.3381
2735.74,3623.75,81,185.8459,358.747
2513.77,3031.86,82,204.2825,363.5726
3384.69,3018.51,83,193.8045,357.6742
1971.54,3852.91,84,162.6785,351.28
2194.99,2743.8,85,204.6191,355.7109
2911.25,3433.12,86,171.3659,349.5521
2029.48,2740.43,87,200.4616,369.3392
2069.03,2801.82,88,190.6905,356.4894
3524.47,3440.52,89,172.5311,353.8714
2270.97,3081.06,90,184.8972,358.0177
1704.36,2713.08,91,203.2351,373.7309
2531.09,3326.65,92,187.6447,360.6114
3627.76,3355.44,93,179.0735,351.9591
3215.72,4460.87,94,168.5365,346.0821
2524.72,4184.57,95,169.2538,349.0191
3116.16,4739.01,96,165.0289,349.2217
3467.35,4939.07,97,159.2847,344.8187
4071.8,4843.98,98,164.6436,342.9839
3954.79,4677.16,99,158.4484,341.5101
4815.52,4579.2,100,160.5176,344.7828
3396.84,4329.21,101,157.2463,341.9636
3060.18,4730.12,102,178.7545,353.0017
3893.11,3437.88,103,174.2003,357.7988
4682.36,4476.04,104,163.0095,347.452
3973.14,3894.47,105,159.0565,351.415
2914.36,4128.71,106,152.8501,345.4758
3874.2,4587.36,107,152.9809,346.9697
2208.53,3729.31,108,159.7034,350.1825
2131.21,2739.37,109,170.5098,352.9307
4143.06,4797.51,110,150.2774,336.4458
3415.07,4092.18,111,144.6089,335.6787
2312.38,4385.31,112,159.413,340.3254
2693.43,3952.18,113,147.4807,338.2415
1411.95,4700.27,114,145.5544,337.1547
2282.41,4097.78,115,152.0039,348.0768
2820.94,4588.19,116,141.7587,336.0958
1397.06,4625.53,117,149.1382,336.9723
2690.44,3810.56,118,160.2309,344.3081
2833.89,4981.14,119,145.9774,341.0265
4034.53,4789.9,120,154.9506,340.4
2781.1,4532.16,121,152.6066,340.7664
4160.67,4889.41,122,150.7548,334.7414
4006.14,4165.36,123,142.5049,326.1612
1747.35,3753.73,124,137.4922,336.0639
2901.78,4523.78,125,151.2554,339.0421
3368.95,4360.74,126,139.2038,328.649
2634.82,4918.57,127,157.8211,337.1192
2684.46,5051.46,128,149.6634,337.842
1211.87,4640.52,129,145.7828,331.2801
2847.45,4057.48,130,153.7633,330.6122
3383.28,3884.3,131,151.6319,323.3651
2689.87,4447.39,132,146.2465,332.6187
3748.05,4423.91,133,154.1088,333.6389
3787.29,4649.87,134,147.7023,337.2355
2471.09,5047.06,135,154.4997,337.9245
3550.14,4782.94,136,158.3847,335.8134
3124.09,4708.5,137,149.9374,338.5438
3870.84,4868.32,138,150.81,333.6979
4041.97,4936.63,139,154.6604,339.4155
5060.02,4618.67,140,143.7259,332.7932
4806.15,5009.12,141,150.1226,337.7311
3295.24,4804.41,142,150.4292,333.0199
4622.96,5018.38,143,147.5013,327.7066
4828.33,5051.61,144,157.9472,336.3696
4442.86,5022.63,145,154.4425,329.8434
4661.95,5013.0,146,146.2853,333.431
4091.09,4945.94,147,141.7129,331.1141
4802.4,4976.01,148,142.5729,331.3305
4077.0,4773.54,149,142.2541,328.3148
4912.79,4451.53,150,184.5009,343.2646
4367.54,4614.35,151,142.9116,334.44
4446.86,5053.28,152,144.8346,331.2643
4550.63,5010.8,153,148.9881,328.5201
4459.74,4265.39,154,147.4441,338.596
3938.72,5003.63,155,145.601,328.3653
4567.92,5050.4,156,147.8402,332.4622
4736.93,4754.82,157,150.6261,327.5636
4338.22,3442.56,158,148.3172,335.4352
3489.42,4647.59,159,141.3014,328.4777
3648.11,5076.03,160,142.7402,333.6386
3264.95,4885.79,161,143.6976,335.7548
5236.66,4710.55,162,151.7628,333.0968
4443.62,4947.06,163,146.243,328.8573
5121.58,5044.29,164,146.1406,329.9284
5002.73,4971.16,165,150.3971,327.4942
3314.29,5010.18,166,153.5765,328.0491
4499.15,4694.41,167,134.6042,329.8484
4971.76,3939.53,168,135.9943,331.5146
4170.44,4920.03,169,138.9529,333.2123
4320.03,4503.72,170,138.8264,327.8815
4932.28,4377.35,171,142.2589,326.2905
4064.89,4160.31,172,137.3812,323.449
3283.0,4824.0,173,151.6841,330.1996
2967.85,4728.02,174,132.6145,328.2584
4680.21,4621.16,175,139.6498,330.7734
3971.8,4833.0,176,139.5583,328.6254
4391.91,4148.85,177,147.659,336.1954
3289.85,4929.18,178,145.7204,330.9761
4503.14,4695.79,179,129.8925,327.366
2851.1,4560.04,180,137.0692,331.9212
3330.3,3793.42,181,135.9461,332.882
2325.64,4031.51,182,141.3621,318.2963
