Itration,Running Env Steps,Running Reverse KL,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return
62,310000,11.8922,62,-343.64892578125,20.7426,2855.07,3153.46
63,315000,12.744,63,-405.465576171875,22.0204,3120.1,3120.37
64,320000,11.2292,64,-439.1916198730469,21.2369,2716.94,3138.82
65,325000,12.2207,65,-351.195068359375,21.0405,3060.62,3151.14
66,330000,15.267,66,-439.3762512207031,20.5858,3026.01,3189.91
67,335000,14.3259,67,-365.7529296875,20.0655,3085.99,3177.8
68,340000,11.9709,68,-385.5645751953125,21.0647,2889.58,3127.93
69,345000,12.6009,69,-542.5855712890625,20.2205,2764.36,3188.93
70,350000,11.9398,70,-421.43341064453125,21.2635,3118.68,3188.28
71,355000,13.1268,71,-463.91778564453125,21.0191,3068.91,3171.05
72,360000,11.4273,72,-385.7836608886719,20.3705,3137.51,3131.2
73,365000,11.3413,73,-517.3270263671875,20.3055,3126.62,3149.01
74,370000,11.521,74,-423.44970703125,20.365,3157.86,3164.3
75,375000,12.4445,75,-496.5362854003906,20.9658,2909.58,3173.67
76,380000,11.6457,76,-458.1119384765625,20.3419,3126.51,3170.51
77,385000,12.4403,77,-508.8750305175781,21.3927,3060.18,3185.9
78,390000,11.8438,78,-469.035888671875,20.8732,3069.91,3175.64
79,395000,12.0319,79,-506.3064880371094,21.0933,2806.41,3196.73
80,400000,12.1689,80,-518.4761352539062,20.0944,3110.55,3198.4
81,405000,11.8778,81,-424.1510925292969,20.0961,3141.71,3221.64
82,410000,12.687,82,-497.6109619140625,20.3393,2953.92,3174.49
83,415000,11.702,83,-445.8421630859375,20.5003,2951.7,3224.64
84,420000,12.1337,84,-560.4168090820312,19.9096,3059.58,3231.83
85,425000,10.9567,85,-452.796630859375,19.6341,3064.76,3207.55
86,430000,12.9487,86,-501.2323303222656,20.855,3187.04,3194.91
87,435000,12.6056,87,-574.562255859375,20.6819,3116.59,3178.83
88,440000,10.7773,88,-577.90283203125,19.956,2976.74,3205.76
89,445000,11.6875,89,-518.923583984375,19.9602,3173.78,3188.98
90,450000,11.4897,90,-452.5857238769531,18.9274,3251.44,3238.1
91,455000,12.7566,91,-652.02783203125,20.5434,2536.53,3270.04
92,460000,11.9927,92,-526.6388549804688,20.1775,3188.03,3194.21
93,465000,11.644,93,-509.5609130859375,19.3234,3241.67,3238.3
94,470000,11.2893,94,-465.2322082519531,18.5882,3261.02,3257.48
95,475000,11.7433,95,-493.0354919433594,19.4045,3268.47,3269.87
96,480000,11.8408,96,-512.9302368164062,19.7388,3226.36,3234.37
97,485000,11.674,97,-505.2746276855469,19.4585,3177.82,3254.1
98,490000,11.5114,98,-487.9089050292969,18.8948,3303.34,3309.29
99,495000,12.2563,99,-525.553466796875,20.0378,3242.02,3238.34
100,500000,11.976,100,-546.5315551757812,19.6864,3112.76,3227.51
101,505000,10.8185,101,-548.7083740234375,18.4821,3126.28,3239.23
102,510000,13.8861,102,-481.29443359375,18.6993,2875.85,3265.5
103,515000,14.5318,103,-474.15692138671875,19.2067,3288.2,3305.26
104,520000,11.8758,104,-455.59588623046875,18.369,3061.05,3301.23
105,525000,11.2953,105,-498.9775390625,17.9513,3288.95,3307.46
106,530000,11.409,106,-522.5960083007812,18.889,3274.61,3290.53
107,535000,11.6148,107,-497.23089599609375,17.8614,3305.69,3318.66
108,540000,11.4383,108,-537.507080078125,18.6277,3193.67,3301.12
109,545000,11.2206,109,-551.109619140625,18.3763,3278.68,3285.45
110,550000,11.0821,110,-546.3123779296875,18.1548,3260.6,3271.82
111,555000,11.4145,111,-560.1188354492188,18.6364,3279.64,3274.7
112,560000,11.4893,112,-539.1600341796875,18.613,3301.4,3306.99
113,565000,12.0432,113,-557.7306518554688,19.5565,3299.67,3302.99
114,570000,11.6295,114,-563.2619018554688,18.4005,3273.76,3276.83
115,575000,11.3682,115,-573.088134765625,17.7916,3283.93,3283.43
116,580000,12.5529,116,-646.4513549804688,19.2649,3277.83,3281.38
117,585000,11.4977,117,-587.9581298828125,18.5626,3243.25,3251.13
118,590000,10.8286,118,-548.3966064453125,18.0237,3193.54,3280.35
119,595000,10.9575,119,-627.6664428710938,18.8532,3269.55,3285.81
120,600000,13.3728,120,-513.6822509765625,17.4113,3312.62,3314.73
121,605000,11.1829,121,-566.3522338867188,18.0503,3300.67,3294.67
122,610000,11.501,122,-583.5239868164062,18.1442,3202.52,3326.25
123,615000,11.8872,123,-601.8958740234375,17.9926,3326.58,3328.67
124,620000,12.0324,124,-655.8551635742188,18.3826,3276.19,3276.12
125,625000,11.3824,125,-603.29150390625,17.7232,3340.78,3340.6
126,630000,10.97,126,-577.8118896484375,17.2171,3333.69,3326.36
127,635000,11.9368,127,-665.48291015625,18.6239,3318.31,3324.1
128,640000,11.7336,128,-651.2740478515625,18.7124,3262.84,3311.68
129,645000,11.6775,129,-596.3553466796875,18.0842,3328.45,3331.32
130,650000,12.2178,130,-685.6299438476562,18.1312,3329.28,3342.38
131,655000,10.6396,131,-529.6748046875,17.1725,3207.12,3358.72
132,660000,12.377,132,-625.7855834960938,18.5826,3337.92,3343.45
133,665000,11.3168,133,-628.8223876953125,17.6942,3319.46,3333.08
134,670000,11.646,134,-657.7979125976562,17.6747,3336.77,3333.3
135,675000,12.0527,135,-670.8466796875,18.5014,3343.9,3341.1
136,680000,11.8313,136,-640.0799560546875,18.2484,3351.96,3357.36
137,685000,13.0493,137,-569.38623046875,17.8176,3320.94,3339.03
138,690000,10.6684,138,-592.682373046875,17.3421,3371.77,3397.35
139,695000,10.101,139,-654.27197265625,17.3621,3320.04,3324.55
140,700000,12.0003,140,-666.20263671875,18.2525,3324.65,3328.08
141,705000,10.9358,141,-686.55810546875,18.1194,3207.15,3316.47
142,710000,12.0386,142,-626.500732421875,18.4891,3378.29,3384.52
143,715000,10.8777,143,-644.5167846679688,16.9983,3341.84,3351.46
144,720000,12.0899,144,-613.8676147460938,18.561,3362.64,3371.34
145,725000,11.1785,145,-626.2796020507812,17.5775,3359.8,3356.11
146,730000,13.1572,146,-547.8232421875,17.703,3329.0,3345.25
147,735000,10.4099,147,-643.822021484375,16.914,3325.52,3318.59
148,740000,10.1021,148,-626.0318603515625,17.2145,3160.11,3321.22
149,745000,10.1136,149,-637.0122680664062,17.0094,3287.52,3388.5
150,750000,10.2565,150,-636.3258056640625,16.4781,3338.69,3349.16
151,755000,10.5445,151,-622.6375122070312,16.7043,3362.1,3368.44
152,760000,10.8314,152,-646.625,17.2663,3362.15,3371.64
153,765000,10.5542,153,-641.1885986328125,17.2791,3351.2,3359.62
154,770000,11.3415,154,-692.2942504882812,17.7618,3366.38,3369.43
155,775000,14.1585,155,-536.7412109375,17.0606,3320.02,3418.14
156,780000,10.3821,156,-778.09326171875,17.3431,3252.94,3396.81
157,785000,10.3284,157,-624.4150390625,16.8685,3061.39,3419.76
158,790000,12.273,158,-620.1941528320312,17.2065,3204.94,3470.0
159,795000,10.3517,159,-637.0241088867188,17.1593,3216.37,3377.18
160,800000,9.871,160,-603.4737548828125,17.0825,3268.86,3392.46
161,805000,11.2091,161,-676.0575561523438,17.3048,3259.69,3406.72
162,810000,10.7122,162,-765.1968994140625,18.0335,3354.37,3374.07
163,815000,10.18,163,-632.593994140625,17.1068,3030.37,3376.34
164,820000,11.1927,164,-620.344482421875,17.6747,3406.44,3439.63
165,825000,10.7149,165,-628.9160766601562,17.6574,3410.92,3444.46
166,830000,10.7543,166,-677.7268676757812,16.9325,3398.93,3414.84
167,835000,9.724,167,-666.0189208984375,16.8481,3361.88,3422.94
168,840000,9.6089,168,-632.2778930664062,17.314,2966.75,3439.8
169,845000,10.8219,169,-637.45947265625,16.7083,3405.4,3431.93
170,850000,19.3779,170,-561.7276000976562,16.6282,3409.21,3453.23
171,855000,10.7867,171,-622.5764770507812,16.7458,3420.97,3423.17
172,860000,9.6608,172,-602.9627685546875,16.1381,3424.7,3472.97
173,865000,13.3986,173,-675.50244140625,17.1856,2943.72,3457.59
174,870000,9.7613,174,-551.0975952148438,16.152,3342.1,3471.33
175,875000,10.5819,175,-587.2432861328125,17.2053,3311.95,3448.9
176,880000,9.7427,176,-602.94091796875,15.9544,3129.73,3453.42
177,885000,10.9351,177,-673.1007080078125,17.5021,3393.81,3430.04
178,890000,10.2485,178,-598.9666748046875,17.0437,3357.43,3469.28
179,895000,10.1666,179,-634.003662109375,16.5793,3148.74,3474.87
180,900000,10.0967,180,-605.4228515625,16.4245,3322.45,3441.53
181,905000,10.3475,181,-686.7864990234375,16.5265,3391.63,3402.95
182,910000,10.5912,182,-693.4302978515625,16.5564,3417.83,3421.48
183,915000,10.2241,183,-617.5513305664062,16.7827,3411.5,3432.03
184,920000,13.2904,184,-619.9070434570312,16.7778,3397.23,3417.76
185,925000,10.2829,185,-598.7426147460938,16.5678,3247.79,3464.32
186,930000,10.7189,186,-674.9708862304688,16.4639,3322.95,3465.11
187,935000,11.9775,187,-693.8267822265625,16.1257,3407.47,3405.0
188,940000,11.1044,188,-630.9009399414062,17.3205,3445.49,3454.21
189,945000,10.3572,189,-681.0881958007812,16.8564,3417.33,3435.32
190,950000,10.0483,190,-652.793701171875,16.1365,3394.01,3419.48
191,955000,14.8226,191,-947.8099365234375,16.6667,3284.94,3430.05
192,960000,11.0045,192,-679.1560668945312,17.3549,3372.16,3483.32
193,965000,16.1404,193,-1050.4893798828125,17.2979,2839.46,3472.88
194,970000,10.1317,194,-618.271240234375,16.573,3339.95,3459.05
195,975000,9.4926,195,-588.1117553710938,15.9435,3430.25,3452.24
196,980000,10.0392,196,-778.2846069335938,16.8231,3341.43,3439.9
197,985000,9.9731,197,-649.25341796875,16.4617,3208.74,3440.31
198,990000,11.7006,198,-803.9552001953125,16.6936,3099.12,3410.66
199,995000,9.8066,199,-645.02880859375,16.1116,3263.63,3445.46
