Real Sto Return,Itration,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Real Det Return
2326.53,80,400000,-12470.365234375,80,296.2577,354.9074,714.86
1482.55,81,405000,-12219.330078125,81,250.472,353.6847,741.63
2004.52,82,410000,-11946.08984375,82,239.7276,355.0315,769.52
3516.68,83,415000,-10373.380859375,83,205.3945,342.0855,953.76
2368.13,84,420000,-11915.7275390625,84,232.172,351.1258,961.77
1642.19,85,425000,-12698.9453125,85,257.7148,352.288,780.25
2017.02,86,430000,-10147.271484375,86,208.4961,336.7707,700.21
2146.31,87,435000,-11416.0302734375,87,218.2131,345.0293,730.9
3083.98,88,440000,-8563.35546875,88,153.5606,329.1968,1207.31
3866.39,89,445000,-9762.7998046875,89,196.5254,341.0959,1166.45
3849.0,90,450000,-9440.7041015625,90,176.4614,336.8282,1153.91
2963.93,91,455000,-10249.4033203125,91,199.9764,334.3621,879.88
4473.11,92,460000,-9685.189453125,92,239.8828,333.8961,946.63
3959.78,93,465000,-10901.5,93,234.4386,342.9105,821.52
3951.73,94,470000,-8001.390625,94,138.9633,331.2994,719.07
2583.91,95,475000,-9933.369140625,95,224.0914,333.3694,846.37
3201.93,96,480000,-10019.763671875,96,155.4661,335.2553,1274.78
3710.29,97,485000,-9466.2587890625,97,143.0694,331.9997,1047.57
3769.34,98,490000,-10684.767578125,98,172.6571,338.4671,957.63
3328.64,99,495000,-11760.6318359375,99,188.5228,336.7883,904.33
3163.65,100,500000,-10405.4384765625,100,191.1372,329.9088,686.25
3631.25,101,505000,-10795.267578125,101,165.7733,333.4616,872.48
3611.97,102,510000,-10814.15625,102,168.8486,331.2716,910.68
3911.23,103,515000,-11652.16015625,103,176.2393,332.9333,832.44
2954.06,104,520000,-10940.978515625,104,157.0548,329.264,802.52
3068.16,105,525000,-10906.8603515625,105,162.259,330.2473,1288.23
4769.8,106,530000,-10110.6162109375,106,129.753,326.1272,1100.44
3099.36,107,535000,-12359.6455078125,107,184.9386,336.4293,1073.21
4609.46,108,540000,-10621.5634765625,108,133.6449,328.0401,2392.28
4114.95,109,545000,-11375.294921875,109,150.9184,329.2051,1316.89
3882.07,110,550000,-11332.3359375,110,136.6992,326.8069,902.17
3682.08,111,555000,-11907.89453125,111,161.2886,331.5716,967.28
3857.39,112,560000,-11603.1953125,112,137.2066,326.314,1127.57
3825.11,113,565000,-12095.9267578125,113,156.3504,328.1832,1405.9
3309.92,114,570000,-11614.7998046875,114,135.6717,326.8512,1509.33
4128.64,115,575000,-11768.9111328125,115,128.4408,329.8383,1821.7
4051.69,116,580000,-12641.8623046875,116,163.8764,330.6711,1688.2
3630.11,117,585000,-12027.3974609375,117,136.5805,327.1536,1253.27
4874.0,118,590000,-12356.6826171875,118,136.0927,329.9756,1346.02
4346.93,119,595000,-12804.5732421875,119,140.8448,334.3445,1245.75
3883.68,120,600000,-12602.919921875,120,148.4951,327.7374,1087.58
4279.77,121,605000,-12416.2529296875,121,131.3819,327.4726,802.59
4399.17,122,610000,-12606.8544921875,122,138.1682,326.3356,2207.1
3739.84,123,615000,-12773.8212890625,123,163.8729,326.898,1594.77
3363.54,124,620000,-12784.7529296875,124,152.047,330.7158,2081.42
4698.58,125,625000,-12922.9775390625,125,146.4098,326.0597,4011.92
4914.86,126,630000,-13167.0869140625,126,136.1625,328.1899,889.03
4761.15,127,635000,-13222.9443359375,127,133.091,329.5311,4778.27
4570.16,128,640000,-12681.1201171875,128,118.6596,321.7822,1511.78
4264.01,129,645000,-13285.5546875,129,132.8494,325.1642,1302.61
4377.35,130,650000,-12995.248046875,130,136.4863,324.9198,1125.38
4962.31,131,655000,-13556.076171875,131,133.5389,328.2371,4005.0
4481.32,132,660000,-12800.3330078125,132,129.9766,322.5468,4387.04
4653.93,133,665000,-13643.564453125,133,129.3395,326.6692,3548.62
4259.44,134,670000,-13357.3740234375,134,121.7621,325.5253,1799.0
4270.4,135,675000,-13869.2392578125,135,123.8685,326.3118,4007.37
4696.63,136,680000,-14262.634765625,136,151.327,330.4531,4046.03
4044.42,137,685000,-14000.9765625,137,132.4096,328.0792,1193.26
4506.58,138,690000,-13596.041015625,138,125.0475,324.5225,4449.33
4074.76,139,695000,-14289.24609375,139,139.6009,327.4612,1615.34
4565.58,140,700000,-14053.8564453125,140,118.2936,322.3623,1900.88
4902.01,141,705000,-14139.4404296875,141,132.7535,325.1598,1674.27
5001.53,142,710000,-14291.3173828125,142,125.6509,326.3724,3735.98
3696.04,143,715000,-14646.8828125,143,163.0107,333.2096,1422.91
4355.09,144,720000,-14607.0341796875,144,129.0786,329.5914,4562.9
4897.01,145,725000,-14804.1396484375,145,151.9047,330.5291,2047.72
3217.3,146,730000,-14724.1875,146,164.0549,330.2995,2094.97
2575.23,147,735000,-14372.0,147,174.7877,334.9138,1578.26
4968.95,148,740000,-14044.59765625,148,118.2734,314.3019,1938.4
4432.46,149,745000,-14690.736328125,149,142.9578,327.1532,2586.21
3534.1,150,750000,-14775.9287109375,150,144.9758,326.0162,3797.08
4721.76,151,755000,-14168.1728515625,151,114.8795,319.1282,3485.97
4047.45,152,760000,-15272.994140625,152,160.1614,331.5128,1399.87
4726.04,153,765000,-15316.2900390625,153,146.1261,328.8092,1764.74
4538.63,154,770000,-15324.798828125,154,142.0798,328.2756,2551.21
4665.74,155,775000,-15062.3759765625,155,137.518,326.7316,2568.8
4144.89,156,780000,-15333.482421875,156,152.6608,329.3475,1314.23
4849.28,157,785000,-15246.294921875,157,128.3249,326.3337,4827.88
4879.3,158,790000,-15204.2734375,158,129.5844,325.8151,3330.9
3912.56,159,795000,-15702.783203125,159,158.7553,333.0953,2795.09
3487.77,160,800000,-15958.41015625,160,175.9292,334.6357,2754.86
4050.31,161,805000,-15893.662109375,161,172.8568,333.1774,3938.27
4131.11,162,810000,-16007.078125,162,171.9323,332.6675,2295.23
4902.23,163,815000,-15450.048828125,163,125.1335,322.5409,4643.5
4470.65,164,820000,-15288.08203125,164,122.4921,319.762,3620.4
4604.08,165,825000,-15404.841796875,165,138.7577,324.6486,3346.7
4819.49,166,830000,-15341.2724609375,166,120.7103,318.4467,2405.28
5101.92,167,835000,-15520.7744140625,167,129.0546,322.1713,3054.24
4956.44,168,840000,-15825.0712890625,168,141.4258,328.7001,4597.19
5008.93,169,845000,-15903.5166015625,169,138.776,326.4874,4793.03
5064.69,170,850000,-15720.1171875,170,128.0004,323.7728,4642.15
4832.36,171,855000,-15922.072265625,171,130.7023,327.518,4343.29
5113.43,172,860000,-15870.6279296875,172,127.2919,322.5161,4679.73
4755.64,173,865000,-15692.3037109375,173,126.1756,325.0458,2914.17
5085.82,174,870000,-15972.9091796875,174,132.7686,321.1961,2954.33
5114.95,175,875000,-15673.8359375,175,124.6191,320.3391,3365.59
4950.43,176,880000,-15846.4716796875,176,122.1535,321.1868,3497.34
4897.78,177,885000,-15993.9443359375,177,124.761,322.0886,3304.03
4736.38,178,890000,-16278.400390625,178,129.5379,322.3823,3742.0
4906.38,179,895000,-16239.74609375,179,123.1273,319.967,5217.37
5122.06,180,900000,-16331.041015625,180,127.7202,322.5105,4203.17
5067.98,181,905000,-16418.15234375,181,132.5502,324.2085,5204.43
4762.24,182,910000,-16135.3896484375,182,112.9327,317.6889,4217.88
5132.54,183,915000,-16289.5986328125,183,121.0318,318.0438,5200.1
5068.8,184,920000,-16219.576171875,184,124.9406,319.1871,5037.7
4696.54,185,925000,-16370.361328125,185,125.3019,320.0666,2984.6
5005.39,186,930000,-16368.990234375,186,121.2101,319.9696,4524.0
4962.76,187,935000,-16406.234375,187,122.9534,318.7174,4833.89
5075.36,188,940000,-16559.85546875,188,128.0254,321.113,4608.11
4960.45,189,945000,-16614.376953125,189,134.0702,321.0965,5068.48
5121.75,190,950000,-16536.189453125,190,132.923,319.3719,5212.09
5128.34,191,955000,-16555.591796875,191,116.5359,315.755,5235.22
5104.22,192,960000,-16974.275390625,192,134.3736,325.3336,5185.17
5113.79,193,965000,-16805.708984375,193,138.1879,321.8045,4083.35
4936.92,194,970000,-16541.14453125,194,120.0213,314.5386,5293.06
5157.24,195,975000,-16892.884765625,195,125.1633,319.8896,4972.87
4512.78,196,980000,-16835.24609375,196,122.2375,317.8724,4722.99
5118.56,197,985000,-16885.146484375,197,119.6989,318.2178,5279.46
5176.96,198,990000,-16969.330078125,198,131.1695,321.8324,5341.63
5133.66,199,995000,-17128.05078125,199,119.1808,316.6382,5073.0
5074.14,200,1000000,-17246.296875,200,124.071,316.8759,5230.53
5134.33,201,1005000,-17060.322265625,201,121.8457,318.3926,5070.94
4925.57,202,1010000,-17134.099609375,202,124.6525,319.4914,4983.73
4257.22,203,1015000,-17348.00390625,203,147.9095,326.3365,3403.89
4669.96,204,1020000,-17419.552734375,204,134.1793,323.9547,5094.56
4641.58,205,1025000,-17520.30859375,205,133.9348,323.4391,4128.89
5105.26,206,1030000,-17387.84765625,206,127.2485,317.5161,5235.61
5056.39,207,1035000,-17361.119140625,207,124.6658,318.6739,4468.33
4684.1,208,1040000,-17349.15625,208,124.7388,317.5998,5072.09
5119.04,209,1045000,-17447.25,209,120.129,317.611,5270.89
5112.64,210,1050000,-17403.1875,210,115.9148,317.0789,5311.95
5135.57,211,1055000,-17487.119140625,211,126.2467,318.2516,5081.57
5144.13,212,1060000,-17498.7578125,212,138.8998,320.9665,5163.96
5055.42,213,1065000,-17707.759765625,213,160.0763,324.4756,5243.01
5119.62,214,1070000,-17734.203125,214,132.793,320.8356,5151.14
4813.62,215,1075000,-17655.322265625,215,127.7919,318.3359,5274.57
