Real Sto Return,Reward Loss,Itration,Running Reverse KL,Running Env Steps,Running Update Time,Running Forward KL,Real Det Return
38.83,-669.9898681640625,68,145.6309,340000,68,30.8435,38.72
992.23,-1130.34375,69,41.463,345000,69,40.8124,992.9
908.81,-1056.0694580078125,70,22.4903,350000,70,33.9382,800.28
1047.24,-1158.89697265625,71,30.1059,355000,71,37.892,1047.1
652.69,-983.2552490234375,72,30.4787,360000,72,33.1263,689.37
1040.31,-1172.388671875,73,27.3843,365000,73,37.4499,1040.03
1005.93,-1188.537353515625,74,37.1656,370000,74,37.9545,1005.16
1001.6,-1200.587890625,75,30.6696,375000,75,38.62,1001.0
267.54,-1108.1953125,76,28.9686,380000,76,34.4682,300.91
183.44,-947.3463745117188,77,42.9451,385000,77,34.3869,152.06
129.03,-983.80322265625,78,48.636,390000,78,35.8737,131.37
108.91,-1021.1007690429688,79,40.4965,395000,79,34.3476,109.96
262.83,-970.9542846679688,80,30.726,400000,80,32.9361,264.41
275.5,-1033.971923828125,81,43.3353,405000,81,34.7936,285.4
266.64,-935.722412109375,82,25.3224,410000,82,31.7611,275.03
251.58,-558.73974609375,83,21.0642,415000,83,28.7188,276.63
297.45,-464.5614013671875,84,23.4071,420000,84,28.1039,306.14
959.14,-1341.7288818359375,85,30.6559,425000,85,34.969,1041.98
22.6,-906.2464599609375,86,23.4166,430000,86,33.1588,22.49
952.03,-1346.025390625,87,32.7772,435000,87,35.122,1029.51
1009.74,-1341.7213134765625,88,41.2015,440000,88,37.0699,1009.47
1001.83,-1373.184326171875,89,35.8353,445000,89,36.0002,1001.85
998.02,-1407.662109375,90,42.1244,450000,90,37.3954,997.86
1024.54,-1400.4920654296875,91,23.8292,455000,91,36.9591,1024.1
1014.6,-1412.4840087890625,92,36.6074,460000,92,39.0887,1014.5
1019.82,-1417.939208984375,93,29.9684,465000,93,35.5794,1019.83
915.35,-1439.862548828125,94,35.2273,470000,94,36.5063,996.68
1015.39,-1426.580078125,95,28.0203,475000,95,34.2551,1042.52
40.7,-1598.1871337890625,96,35.9396,480000,96,34.3971,41.31
291.16,-1394.3310546875,97,57.9655,485000,97,32.2087,292.79
387.34,-890.7296752929688,98,20.4989,490000,98,32.5402,391.91
277.45,-1358.743896484375,99,27.7357,495000,99,31.2077,276.93
1019.93,-1497.181396484375,100,34.1508,500000,100,37.3127,1019.94
1033.76,-1561.5557861328125,101,28.9811,505000,101,36.2312,1030.11
1011.7,-1564.3853759765625,102,34.0169,510000,102,36.7247,1011.94
1012.22,-1554.6290283203125,103,25.8273,515000,103,36.7614,1012.39
1016.29,-1583.59765625,104,28.5703,520000,104,37.0393,1016.25
105.03,-1454.183349609375,105,31.863,525000,105,33.2147,108.53
1033.14,-1608.66943359375,106,35.9755,530000,106,36.2745,1032.82
373.34,-1358.69384765625,107,28.3748,535000,107,31.1146,157.36
1002.7,-1613.3341064453125,108,32.2775,540000,108,36.0348,1004.2
1022.66,-1624.9481201171875,109,24.398,545000,109,36.6357,1023.19
1004.75,-1659.6539306640625,110,31.7563,550000,110,39.2069,1005.14
999.32,-1671.3758544921875,111,44.5857,555000,111,37.702,997.47
977.48,-1684.503173828125,112,42.3457,560000,112,37.4465,985.7
997.58,-1680.0078125,113,45.1412,565000,113,37.6011,997.51
984.62,-1719.3504638671875,114,37.0073,570000,114,38.7215,984.84
1016.43,-1759.994873046875,115,36.6247,575000,115,37.2141,1016.21
998.13,-1755.408203125,116,38.9986,580000,116,37.8124,999.5
569.19,-1654.7354736328125,117,42.1552,585000,117,32.5338,298.98
199.08,-1487.7904052734375,118,47.3612,590000,118,31.4507,217.33
239.63,-1454.6993408203125,119,37.2627,595000,119,30.417,241.89
310.66,-1562.0673828125,120,28.2526,600000,120,30.5244,305.77
1007.59,-1859.671630859375,121,30.8629,605000,121,36.3545,1033.59
1012.24,-1815.3773193359375,122,23.9836,610000,122,36.4162,1012.97
1035.14,-1883.4298095703125,123,24.8448,615000,123,36.9671,1031.73
1026.73,-1882.1370849609375,124,32.7485,620000,124,36.6794,1037.87
155.7,-1557.6041259765625,125,36.174,625000,125,33.1942,152.35
520.93,-1580.9468994140625,126,65.0401,630000,126,30.5129,496.32
997.21,-1916.1978759765625,127,49.4699,635000,127,36.5786,997.2
993.77,-1941.109130859375,128,50.5894,640000,128,38.5682,994.05
1047.61,-1980.701171875,129,30.1067,645000,129,37.8434,1048.12
1044.92,-1965.6624755859375,130,30.8816,650000,130,37.5463,1026.08
1015.06,-1836.4735107421875,131,20.6478,655000,131,35.4689,1011.0
480.21,-1329.1624755859375,132,20.305,660000,132,32.1678,1040.1
463.25,-1812.5948486328125,133,40.7369,665000,133,34.8137,470.18
970.95,-2050.527587890625,134,48.0595,670000,134,37.2669,971.22
59.7,-1959.985107421875,135,27.438,675000,135,31.6314,57.3
925.68,-2044.199951171875,136,28.139,680000,136,34.3132,1037.63
989.25,-2060.529052734375,137,34.3797,685000,137,34.9462,986.35
989.3,-2098.503662109375,138,32.7533,690000,138,38.838,989.94
1011.22,-2112.953857421875,139,39.6531,695000,139,38.1776,1011.41
1015.11,-2123.663818359375,140,33.8397,700000,140,36.8687,1015.83
971.16,-2158.76025390625,141,39.7109,705000,141,38.8474,971.61
548.32,-2119.315185546875,142,25.1693,710000,142,35.1827,729.36
1052.79,-2187.711669921875,143,25.771,715000,143,34.57,1050.44
1056.53,-2215.894775390625,144,26.3874,720000,144,34.8197,1055.41
1048.36,-2182.639404296875,145,24.4367,725000,145,34.8753,1044.81
107.98,-1955.4940185546875,146,26.0037,730000,146,31.9431,83.56
975.98,-2288.078369140625,147,48.7448,735000,147,33.9987,1008.51
1010.3,-2268.94970703125,148,26.1456,740000,148,35.828,1010.67
646.49,-2305.261474609375,149,33.9674,745000,149,34.0205,972.4
1052.34,-2297.404541015625,150,30.7016,750000,150,34.8726,1051.45
1004.47,-2268.032958984375,151,35.0323,755000,151,37.6327,997.3
991.21,-2333.09375,152,46.9783,760000,152,37.9853,991.78
1010.06,-2312.930419921875,153,31.3571,765000,153,36.3689,1021.26
986.17,-2362.98046875,154,34.059,770000,154,35.9773,986.56
842.19,-2077.63525390625,155,19.0123,775000,155,33.4182,1054.19
1028.48,-2432.09130859375,156,26.4451,780000,156,37.0114,1043.24
450.29,-2005.6798095703125,157,23.5414,785000,157,32.517,433.34
22.4,-2589.635009765625,158,48.0258,790000,158,34.455,23.44
1027.72,-2486.7353515625,159,27.1117,795000,159,35.8391,1042.94
1033.98,-2504.928955078125,160,27.8816,800000,160,40.0726,1019.59
1020.78,-2517.964599609375,161,35.229,805000,161,36.2426,1017.09
1012.17,-2526.239990234375,162,25.9756,810000,162,37.4256,1013.43
1058.85,-2582.3701171875,163,33.7028,815000,163,37.6002,1058.56
993.61,-2592.192138671875,164,26.2628,820000,164,36.7093,1028.69
948.98,-2594.979248046875,165,31.0557,825000,165,37.2063,1027.21
45.95,-2570.0439453125,166,41.0107,830000,166,31.0033,46.05
972.39,-2647.304443359375,167,50.6007,835000,167,40.7182,972.77
107.17,-2316.401611328125,168,36.0296,840000,168,34.3523,108.32
790.4,-2519.985595703125,169,49.422,845000,169,32.821,791.09
172.35,-2605.810546875,170,52.0097,850000,170,33.8809,341.76
44.0,-2469.13818359375,171,37.9783,855000,171,32.3212,55.91
179.02,-2448.832275390625,172,26.2177,860000,172,33.596,182.21
155.66,-2538.8720703125,173,26.2837,865000,173,32.8856,157.31
286.66,-2340.85791015625,174,45.4711,870000,174,30.567,205.74
979.37,-2776.246826171875,175,40.1982,875000,175,38.6841,979.93
1047.31,-2781.06396484375,176,28.2217,880000,176,38.4838,1052.82
247.09,-2512.1630859375,177,37.8602,885000,177,30.1439,236.57
1042.37,-2822.890625,178,22.9442,890000,178,35.1872,1036.86
1045.36,-2878.267333984375,179,26.2343,895000,179,36.6599,1047.45
459.77,-2758.462158203125,180,41.0049,900000,180,29.7638,447.81
1043.15,-2920.1591796875,181,28.764,905000,181,36.8739,1043.38
251.35,-2928.705810546875,182,30.9378,910000,182,37.1282,247.91
1011.48,-2936.716064453125,183,32.8927,915000,183,35.8925,1012.42
510.0,-2981.9580078125,184,27.0177,920000,184,37.386,1044.35
971.87,-2987.47802734375,185,49.3509,925000,185,38.3477,971.93
128.59,-2392.893310546875,186,20.1028,930000,186,31.5616,128.37
1026.39,-3042.375,187,32.2407,935000,187,35.4732,993.98
1016.38,-3008.734130859375,188,29.9812,940000,188,38.3101,1015.89
1010.29,-3036.40185546875,189,46.1965,945000,189,38.255,1009.98
937.03,-2951.039306640625,190,29.2856,950000,190,33.1917,1036.89
850.11,-2910.525634765625,191,30.0139,955000,191,33.4944,954.85
722.72,-2850.655517578125,192,21.2233,960000,192,31.6576,737.53
729.3,-2909.749755859375,193,20.7337,965000,193,31.3147,903.9
1044.23,-3148.867431640625,194,23.2944,970000,194,36.6767,1042.61
1036.35,-3155.54150390625,195,23.5776,975000,195,36.724,1035.17
1036.15,-3193.700927734375,196,23.6552,980000,196,37.0338,1034.04
1028.58,-2936.548095703125,197,18.1453,985000,197,35.0667,1030.92
1045.46,-3033.79150390625,198,20.0157,990000,198,35.6882,1027.28
728.81,-2432.4716796875,199,14.9667,995000,199,29.6671,994.45
