Running Forward KL,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return
364.1993,289.3584,57,57,285000,895.83,-11318.7158203125,825.41
366.6714,254.1761,58,58,290000,1035.96,-10782.654296875,744.74
367.7014,238.2675,59,59,295000,812.78,-10721.123046875,676.27
371.9395,251.7092,60,60,300000,816.65,-10643.826171875,542.91
355.3092,234.9799,61,61,305000,1091.87,-10590.2802734375,651.5
316.1899,158.5362,62,62,310000,1869.37,-7853.72021484375,729.39
317.3238,244.9799,63,63,315000,2305.56,-9485.037109375,1616.85
324.7475,250.472,64,64,320000,2251.48,-9092.2841796875,1284.66
310.7574,166.0802,65,65,325000,2826.2,-6683.28955078125,3772.01
333.0518,204.1043,66,66,330000,2122.03,-9538.689453125,1293.46
324.736,194.245,67,67,335000,2639.38,-8244.515625,1762.12
316.1185,181.8301,68,68,340000,2938.96,-7360.78564453125,1079.12
307.1366,156.1326,69,69,345000,3743.58,-5242.11572265625,1362.26
332.4343,191.276,70,70,350000,2700.12,-9828.9521484375,2076.05
304.8086,144.6381,71,71,355000,2776.98,-6880.25244140625,1889.45
304.0427,167.7199,72,72,360000,3532.48,-6215.9736328125,2563.58
328.7986,196.8794,73,73,365000,2227.77,-9002.3388671875,1916.42
308.9198,144.0779,74,74,370000,1227.54,-6853.19677734375,926.18
306.0978,128.9308,75,75,375000,3692.5,-5739.71533203125,3135.38
297.896,134.5576,76,76,380000,3427.19,-6225.57666015625,2487.76
319.8226,196.298,77,77,385000,3446.22,-9120.87109375,3224.35
292.9471,108.5589,78,78,390000,3881.5,-5303.2734375,4458.51
346.8909,209.1741,79,79,395000,1178.72,-10532.001953125,1097.49
322.5112,194.6862,80,80,400000,3185.9,-8972.1572265625,3493.21
304.034,124.639,81,81,405000,4049.3,-5975.5390625,3595.88
302.6264,117.7117,82,82,410000,4597.85,-3616.530517578125,3336.2
307.8826,120.0241,83,83,415000,3552.33,-5654.541015625,4216.39
314.9088,165.2306,84,84,420000,4247.47,-8220.37890625,2138.75
321.9041,158.5296,85,85,425000,3557.42,-7495.9248046875,1722.63
299.2526,108.9866,86,86,430000,4325.9,-5031.119140625,3232.42
304.4828,111.0957,87,87,435000,4596.98,-4332.00537109375,2644.07
321.0295,153.3215,88,88,440000,3216.87,-7032.41796875,1653.78
307.2496,123.3541,89,89,445000,4529.01,-5924.56787109375,4043.95
306.5307,116.6519,90,90,450000,4507.95,-5389.4814453125,1870.96
294.2193,105.5294,91,91,455000,4909.43,-4499.1591796875,4371.23
311.9368,132.0294,92,92,460000,4327.28,-6210.1201171875,2822.32
318.7561,165.9817,93,93,465000,4059.55,-8845.1123046875,2078.71
300.8975,133.2709,94,94,470000,3897.18,-7117.7001953125,3077.57
317.3467,142.1128,95,95,475000,4506.5,-7627.95849609375,1615.75
318.6641,148.5847,96,96,480000,3442.37,-8173.7900390625,1878.74
313.5811,119.801,97,97,485000,4954.61,-7115.25390625,2799.99
315.3268,149.2481,98,98,490000,3789.63,-8375.40234375,2221.92
304.0659,118.871,99,99,495000,4775.72,-6550.92724609375,4652.72
296.2495,100.9068,100,100,500000,4317.1,-6596.08447265625,2463.53
295.742,105.2267,101,101,505000,4959.57,-6515.373046875,5196.01
293.1041,103.9954,102,102,510000,4348.04,-6808.8740234375,2980.7
295.089,111.3037,103,103,515000,4304.59,-7678.95703125,3152.33
293.3049,128.4936,104,104,520000,4812.29,-8191.90869140625,2860.59
293.9384,98.4238,105,105,525000,4709.11,-7258.13427734375,3617.75
288.147,99.7093,106,106,530000,5103.52,-7490.4482421875,2903.57
297.3139,111.259,107,107,535000,4958.84,-8166.53369140625,3665.73
289.3485,95.797,108,108,540000,4736.19,-7382.1376953125,3642.05
291.9229,120.2107,109,109,545000,4253.62,-8220.40234375,3996.05
309.4523,136.2828,110,110,550000,3643.23,-9394.8876953125,1679.39
297.8977,119.4137,111,111,555000,4889.95,-8469.1650390625,4675.97
294.7657,110.2539,112,112,560000,4004.18,-8467.26953125,3759.79
288.6039,98.5997,113,113,565000,5106.0,-7787.12744140625,2895.86
287.036,93.8084,114,114,570000,4856.63,-8109.45703125,4540.91
293.558,113.5101,115,115,575000,5190.86,-9095.72265625,3233.61
295.7825,113.7532,116,116,580000,4759.76,-8832.3037109375,4754.89
289.6993,104.0231,117,117,585000,4606.93,-8683.626953125,5214.58
289.6673,100.7292,118,118,590000,4697.7,-8373.912109375,4875.97
290.0067,99.9564,119,119,595000,4412.43,-8235.2373046875,3946.35
290.2502,113.7835,120,120,600000,4472.79,-8882.314453125,3530.32
294.1463,113.4947,121,121,605000,4357.04,-9105.369140625,4713.16
273.3455,81.2322,122,122,610000,5085.36,-7511.4189453125,5195.77
284.7324,93.6575,123,123,615000,5223.12,-8457.4990234375,5150.84
284.4804,103.6752,124,124,620000,5180.67,-8640.3330078125,5126.24
292.8617,99.082,125,125,625000,5114.39,-9119.7734375,5214.0
286.027,94.7464,126,126,630000,4730.59,-8435.693359375,5212.01
293.333,102.4591,127,127,635000,4884.44,-9284.6669921875,5210.46
291.2479,103.5938,128,128,640000,4794.28,-9394.6435546875,5224.78
292.9858,98.2083,129,129,645000,4874.96,-9070.888671875,5206.73
290.864,95.742,130,130,650000,5173.99,-9159.0048828125,5205.61
300.0649,120.7481,131,131,655000,4779.12,-9763.2353515625,4977.1
296.2028,113.6159,132,132,660000,5111.23,-9873.78125,5279.92
287.0665,102.1942,133,133,665000,5035.4,-9071.302734375,5171.26
290.7594,93.1283,134,134,670000,5165.55,-9544.3837890625,5180.99
294.2402,135.9313,135,135,675000,4692.4,-10433.4140625,4938.59
290.3973,103.3725,136,136,680000,4934.01,-9715.8232421875,5203.44
297.0334,119.8906,137,137,685000,4619.06,-10543.958984375,5409.65
286.5751,90.1551,138,138,690000,5135.48,-9154.794921875,5234.36
286.371,99.2627,139,139,695000,5269.61,-9526.8876953125,5342.65
285.79,102.6579,140,140,700000,4613.75,-9747.814453125,5128.91
290.5604,112.8605,141,141,705000,5092.68,-10698.30859375,5277.98
