Running Update Time,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL
146,3175.08,2790.81,146,23.1247,-1982.3067626953125,730000,14.1376
147,3186.03,2941.1,147,23.0831,-2028.43701171875,735000,13.7091
148,3186.14,2926.06,148,23.4835,-2577.351806640625,740000,15.5037
149,3186.25,2975.03,149,23.3879,-2480.398193359375,745000,12.9118
150,3155.73,3098.82,150,22.8411,-1626.71875,750000,14.8266
151,3170.58,2910.17,151,23.5929,-2192.089599609375,755000,13.3959
152,3181.96,3174.1,152,23.2074,-1579.770263671875,760000,14.6617
153,3180.44,3181.01,153,23.1799,-1625.4066162109375,765000,15.0997
154,3198.77,3049.81,154,22.9018,-1503.76220703125,770000,14.7627
155,3178.98,3178.7,155,22.9007,-1827.7354736328125,775000,14.3981
156,3183.16,2802.78,156,22.5357,-2388.72705078125,780000,13.0269
157,3192.76,2457.72,157,23.1351,-2910.725830078125,785000,14.2741
158,3193.8,3221.84,158,22.4853,-1929.881103515625,790000,18.0522
159,3183.41,2574.38,159,22.4801,-2606.5302734375,795000,12.2877
160,3191.54,2870.22,160,22.4292,-1951.5833740234375,800000,13.5044
161,3184.82,2809.62,161,22.7365,-2146.805419921875,805000,13.3867
