Running Update Time,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL,Real Sto Return,Itration
45,2021.81,-1698.6396484375,16.4758,225000,157.596,1452.46,45
46,2066.15,-1721.823486328125,16.3488,230000,157.2272,1577.27,46
47,2010.36,-1758.2578125,16.0746,235000,157.2002,1539.7,47
48,1636.59,-1787.873046875,16.3031,240000,157.3405,1615.95,48
49,2037.36,-1820.14306640625,15.913,245000,157.2296,1550.56,49
50,2063.6,-1857.3319091796875,16.2394,250000,157.338,1611.5,50
51,1462.53,-1889.326904296875,15.9855,255000,157.0355,1590.99,51
52,1999.77,-1922.1190185546875,15.892,260000,157.1182,1693.57,52
53,1713.93,-1963.118896484375,16.1109,265000,157.0939,1620.06,53
54,1957.96,-1995.544189453125,16.1444,270000,156.8513,1720.52,54
55,1929.28,-2059.0107421875,16.1364,275000,157.1605,1689.45,55
56,1722.17,-2072.0439453125,15.6979,280000,157.0176,1420.35,56
57,2015.31,-2097.854248046875,16.0822,285000,157.1519,1702.04,57
58,1822.3,-2127.91455078125,16.846,290000,157.3173,1706.52,58
59,2031.56,-2175.865478515625,15.9728,295000,157.1651,1617.66,59
60,2038.26,-2205.822021484375,15.8977,300000,157.2084,1731.31,60
61,1864.73,-2259.17626953125,16.0909,305000,157.0533,1635.56,61
62,1744.04,-2251.604736328125,15.9746,310000,156.9153,1506.73,62
63,2003.41,-2313.307373046875,15.8679,315000,156.9869,1694.89,63
64,2078.89,-2335.230224609375,15.6705,320000,156.9399,1614.94,64
65,2045.45,-2382.386962890625,15.6177,325000,156.9515,1692.81,65
66,1421.03,-2430.897216796875,15.749,330000,156.9975,1678.85,66
67,1679.78,-2457.86767578125,15.6357,335000,156.9912,1589.36,67
68,1749.27,-2481.53662109375,15.9746,340000,156.9114,1735.99,68
69,1404.82,-2538.3798828125,15.5352,345000,156.9701,1651.16,69
70,2127.94,-2551.274658203125,16.0712,350000,156.828,1755.47,70
71,2078.11,-2591.863037109375,15.5128,355000,156.9626,1734.96,71
72,1664.62,-2645.8740234375,15.8132,360000,157.0082,1721.52,72
73,1899.4,-2684.890380859375,15.7716,365000,157.0402,1656.33,73
74,1385.57,-2711.845458984375,15.7656,370000,156.8884,1724.61,74
75,1930.41,-2728.841064453125,15.5361,375000,156.8719,1713.93,75
76,2073.42,-2795.407470703125,15.631,380000,156.9775,1737.75,76
77,2125.71,-2864.869384765625,15.5862,385000,157.1471,1703.67,77
78,2082.43,-2863.702392578125,15.956,390000,156.8627,1792.6,78
79,2129.28,-2897.575439453125,15.6394,395000,156.7396,1805.03,79
80,2137.19,-2948.699951171875,15.6111,400000,156.8606,1769.07,80
81,2095.75,-2974.987548828125,15.8131,405000,156.8248,1802.84,81
82,1695.09,-3063.639892578125,15.0639,410000,156.8443,1682.68,82
83,1672.65,-3052.494140625,16.0113,415000,156.8402,1810.72,83
84,2149.37,-3113.758544921875,15.9199,420000,157.02,1766.0,84
85,2142.63,-3133.5986328125,15.7556,425000,156.8016,1788.82,85
86,2128.77,-3200.147216796875,15.3642,430000,156.8758,1728.41,86
87,1558.76,-3198.579345703125,15.4499,435000,156.7493,1774.07,87
88,2011.28,-3250.52587890625,15.6635,440000,156.9445,1788.61,88
89,2118.99,-3299.183349609375,15.4071,445000,156.7118,1743.52,89
90,2129.7,-3337.462646484375,15.3902,450000,156.7991,1788.79,90
91,2107.37,-3405.954345703125,15.5315,455000,157.0391,1759.91,91
92,2108.86,-3435.906982421875,15.7175,460000,156.9116,1788.86,92
93,2189.54,-3463.54296875,15.7173,465000,157.0245,1793.14,93
94,2088.32,-3520.297119140625,15.4723,470000,156.9018,1760.78,94
95,2183.22,-3557.03759765625,15.8107,475000,156.7831,1681.62,95
96,2114.26,-3601.4169921875,15.391,480000,156.7325,1752.88,96
97,1633.86,-3641.174560546875,15.1602,485000,156.7898,1733.2,97
98,2106.41,-3692.1005859375,15.2449,490000,156.9462,1777.08,98
99,2124.05,-3715.826416015625,15.1484,495000,156.8587,1765.92,99
100,2144.65,-3781.8798828125,15.165,500000,156.9728,1765.72,100
101,2100.84,-3824.883056640625,15.5831,505000,156.8175,1784.15,101
102,2144.93,-3865.582763671875,15.4744,510000,156.8974,1713.39,102
103,2133.7,-3898.329345703125,15.5996,515000,156.8116,1812.48,103
104,2148.17,-3960.203857421875,15.3853,520000,156.9857,1786.66,104
105,2168.45,-4024.915283203125,15.6291,525000,156.7915,1764.23,105
106,2185.87,-4034.966552734375,15.5077,530000,156.8794,1828.57,106
107,2104.47,-4095.182861328125,15.5564,535000,156.8052,1772.19,107
108,2163.63,-4132.732421875,15.7407,540000,156.9413,1813.8,108
109,2143.26,-4200.81591796875,15.6276,545000,156.8577,1771.5,109
110,2186.67,-4258.07666015625,15.7243,550000,156.7903,1802.02,110
111,2145.26,-4285.22412109375,15.577,555000,156.8206,1809.87,111
112,2184.32,-4337.8642578125,15.3811,560000,156.6817,1824.11,112
113,2132.62,-4361.76220703125,15.3351,565000,156.8764,1658.0,113
114,2120.79,-4428.90869140625,15.3656,570000,156.9055,1803.03,114
115,1886.54,-4485.01904296875,15.4592,575000,156.836,1733.88,115
116,2210.94,-4510.90283203125,15.8484,580000,156.8866,1810.55,116
117,2016.9,-4573.34912109375,15.2563,585000,156.8123,1798.77,117
118,2185.77,-4617.609375,15.6252,590000,156.8774,1749.63,118
119,2123.89,-4638.0654296875,15.4525,595000,156.8687,1800.75,119
120,2128.81,-4760.01025390625,15.6884,600000,156.8273,1772.55,120
121,2188.48,-4780.359375,15.6203,605000,156.8538,1804.1,121
122,2225.58,-4817.40234375,15.7315,610000,156.8761,1872.83,122
123,2168.54,-4866.09814453125,15.5447,615000,156.7841,1828.06,123
124,2216.32,-4881.04833984375,15.4423,620000,156.7511,1873.54,124
125,2030.02,-4971.498046875,14.7704,625000,156.7315,1674.62,125
126,-362.55,-5171.85498046875,26.6197,630000,161.3456,-634.78,126
127,-792.61,-4969.271484375,22.5517,635000,159.9338,-543.98,127
128,-380.15,-5281.583984375,25.3715,640000,160.0788,-252.62,128
129,-600.9,-5302.3232421875,17.1799,645000,157.4953,-287.21,129
130,-231.69,-5504.22314453125,18.2696,650000,159.7231,-132.8,130
131,-722.72,-5259.9951171875,16.6568,655000,159.4192,-746.23,131
132,-32.74,-5575.208984375,13.8581,660000,157.7983,304.53,132
133,-237.09,-5708.9189453125,17.5907,665000,159.7263,-63.92,133
134,148.18,-5710.3505859375,15.1764,670000,159.3768,-63.34,134
135,-283.49,-5823.58154296875,23.5866,675000,160.2408,-230.26,135
136,-96.65,-5885.5771484375,21.6455,680000,160.0822,20.36,136
137,311.2,-5703.7529296875,13.9595,685000,156.6664,465.76,137
138,-104.69,-5780.400390625,13.367,690000,157.5621,84.72,138
139,-163.06,-5740.77001953125,13.9135,695000,156.9074,516.82,139
140,-1168.84,-5634.552734375,13.5868,700000,157.7858,-712.02,140
141,-911.41,-5658.30029296875,11.9781,705000,158.4041,-712.92,141
142,-102.81,-6173.8798828125,16.5468,710000,159.1067,10.89,142
143,-196.16,-5862.78955078125,13.8593,715000,156.7769,782.71,143
144,-24.59,-6205.4306640625,13.8136,720000,157.7966,358.68,144
145,1059.75,-6266.7412109375,15.28,725000,157.6532,849.84,145
146,490.51,-6351.3427734375,15.0793,730000,157.7541,464.24,146
147,-62.47,-6681.400390625,14.4049,735000,158.0006,-48.3,147
148,1580.31,-6028.16748046875,15.6553,740000,156.7966,1374.82,148
149,1296.79,-6082.63134765625,14.998,745000,157.0039,1053.92,149
150,-209.93,-6783.1318359375,20.5642,750000,160.4157,-75.31,150
151,-94.35,-6639.18408203125,16.1941,755000,158.9844,204.21,151
152,818.06,-6507.953125,12.8217,760000,157.6853,422.8,152
153,849.44,-6686.0810546875,12.9039,765000,157.109,628.0,153
154,536.35,-6825.4521484375,13.403,770000,156.8731,469.58,154
155,-68.09,-6490.955078125,12.3239,775000,157.0557,589.34,155
156,1123.67,-6877.36181640625,14.4279,780000,157.7363,893.04,156
157,-27.86,-6875.728515625,13.3566,785000,157.4826,-30.44,157
158,-81.01,-7686.97412109375,16.1721,790000,158.3707,-102.26,158
159,138.61,-7475.033203125,14.4476,795000,157.6812,209.17,159
160,1776.61,-6705.4404296875,13.8467,800000,156.5051,1303.08,160
161,1353.9,-7019.501953125,12.9033,805000,156.9319,742.69,161
162,1768.91,-6919.29443359375,14.1641,810000,156.6646,1447.15,162
163,1909.85,-6912.142578125,15.2269,815000,156.7358,1690.52,163
164,2047.55,-6962.1884765625,15.1365,820000,156.9108,1675.05,164
165,2121.15,-6963.74755859375,15.3755,825000,156.6078,1717.34,165
166,2136.42,-6994.8935546875,15.2267,830000,156.8111,1774.32,166
167,2151.91,-7080.373046875,15.4441,835000,156.9576,1759.56,167
168,2120.53,-7101.017578125,15.1197,840000,156.7784,1753.75,168
169,2147.51,-7161.48583984375,15.4366,845000,157.0265,1779.92,169
170,2120.15,-7179.33349609375,15.2747,850000,156.8315,1746.31,170
171,2151.56,-7254.720703125,15.3209,855000,157.0053,1797.11,171
172,2177.74,-7263.02685546875,15.3343,860000,156.9592,1779.12,172
173,2133.23,-7363.5634765625,15.3345,865000,156.7574,1786.8,173
174,2114.09,-7339.142578125,15.5115,870000,156.7237,1806.1,174
175,2146.79,-7445.19287109375,15.3368,875000,156.949,1776.55,175
176,2153.46,-7460.55908203125,14.901,880000,157.0399,1777.97,176
177,2184.65,-7481.97509765625,15.2845,885000,156.7368,1816.12,177
178,2186.18,-7525.16796875,15.3797,890000,156.8441,1831.02,178
179,2179.97,-7581.0068359375,15.3538,895000,156.83,1809.56,179
180,2155.1,-7699.931640625,15.4159,900000,156.9206,1832.66,180
181,2214.06,-7638.10693359375,15.5581,905000,156.8237,1841.12,181
182,2159.19,-7781.845703125,15.2716,910000,157.0245,1799.11,182
183,2192.63,-7737.77783203125,15.3056,915000,156.8355,1827.72,183
184,2212.68,-7755.08447265625,15.3541,920000,156.9004,1843.99,184
185,2083.4,-7870.16015625,15.1923,925000,156.9165,1782.51,185
186,2120.96,-7878.486328125,15.165,930000,156.8186,1788.13,186
187,2153.47,-7980.01220703125,15.3794,935000,157.1548,1773.64,187
188,2188.72,-7918.623046875,15.4909,940000,156.9586,1841.19,188
189,2161.05,-7900.22509765625,15.4461,945000,156.7105,1865.91,189
190,2186.24,-7944.55322265625,15.3485,950000,156.7965,1831.28,190
191,2177.07,-7998.52490234375,15.1298,955000,156.7828,1820.79,191
192,2189.79,-8058.45263671875,15.3653,960000,156.7811,1798.69,192
193,2210.11,-8052.3779296875,15.791,965000,156.852,1877.65,193
194,2159.51,-8113.35546875,15.494,970000,156.9356,1820.54,194
195,2191.41,-8145.23681640625,15.3859,975000,156.9155,1844.09,195
196,2221.09,-8129.94970703125,15.5411,980000,156.6426,1872.5,196
197,2145.02,-8190.880859375,15.4032,985000,156.8567,1815.39,197
198,2196.8,-8149.19873046875,15.1865,990000,156.5686,1839.37,198
199,2166.82,-8281.8857421875,15.6921,995000,156.9776,1833.17,199
200,2176.86,-8255.4443359375,15.066,1000000,156.8146,1833.05,200
201,2182.92,-8295.486328125,15.101,1005000,156.9364,1838.82,201
202,2224.41,-8268.3779296875,15.2028,1010000,156.8239,1859.7,202
203,2227.57,-8294.8740234375,15.3334,1015000,156.7301,1870.66,203
204,2174.33,-8367.57421875,15.071,1020000,156.7191,1821.81,204
205,2188.33,-8389.134765625,15.2076,1025000,156.743,1846.86,205
206,2171.95,-8432.4306640625,15.288,1030000,156.7547,1814.58,206
207,2195.05,-8467.9541015625,15.379,1035000,156.8645,1825.46,207
208,2187.16,-8462.2353515625,15.2283,1040000,156.8424,1852.36,208
209,2179.11,-8514.927734375,15.2041,1045000,156.8484,1850.88,209
210,2211.11,-8517.8583984375,15.1918,1050000,156.8701,1858.29,210
211,2191.08,-8584.791015625,15.294,1055000,156.8352,1855.27,211
212,2191.82,-8599.4521484375,15.4185,1060000,156.8415,1855.72,212
213,2223.09,-8606.5537109375,15.3172,1065000,156.8117,1854.87,213
214,2187.85,-8626.53515625,15.3077,1070000,156.7865,1870.53,214
215,2190.66,-8682.8486328125,15.3614,1075000,156.7763,1856.64,215
216,2174.74,-8703.814453125,15.4349,1080000,156.6791,1834.39,216
217,2200.56,-8705.251953125,15.3558,1085000,156.6521,1858.58,217
218,2184.88,-8784.4130859375,15.4537,1090000,156.7483,1855.63,218
219,2214.39,-8785.720703125,15.4594,1095000,156.6425,1875.59,219
220,2210.9,-8823.958984375,15.3332,1100000,156.7545,1863.67,220
221,2215.44,-8892.1201171875,15.7015,1105000,156.9911,1877.58,221
222,2209.19,-8921.6162109375,15.5987,1110000,156.882,1876.86,222
223,2228.28,-8964.849609375,15.6926,1115000,156.7339,1856.52,223
224,2233.05,-8975.5634765625,15.5954,1120000,156.8668,1860.64,224
225,2162.05,-8995.8046875,15.3944,1125000,156.904,1849.38,225
226,2216.67,-9033.7109375,15.6205,1130000,156.7818,1880.49,226
227,2215.24,-9062.7998046875,15.6757,1135000,156.8749,1888.59,227
228,2200.02,-9083.125,15.5451,1140000,156.7982,1871.91,228
229,2203.6,-9168.9833984375,15.765,1145000,156.9223,1863.1,229
230,2221.03,-9177.9853515625,15.735,1150000,156.902,1901.62,230
231,2182.45,-9188.9375,15.6088,1155000,156.9164,1856.02,231
232,2183.49,-9231.896484375,15.7142,1160000,157.0345,1876.71,232
233,2210.14,-9269.501953125,15.7417,1165000,156.9559,1878.99,233
234,2181.91,-9296.9228515625,15.5076,1170000,156.7925,1851.65,234
235,-340.16,-8943.599609375,24.3513,1175000,160.2521,-376.69,235
236,389.78,-8876.375,19.5686,1180000,159.1156,257.56,236
237,99.27,-8783.3466796875,19.2169,1185000,159.6921,54.89,237
238,-681.68,-9418.7265625,17.1422,1190000,159.7113,-542.62,238
239,-143.42,-10060.4267578125,13.5687,1195000,157.784,-195.47,239
240,249.55,-9601.248046875,12.5806,1200000,157.7654,248.43,240
241,1382.07,-9463.1689453125,13.4744,1205000,156.6745,1169.48,241
242,745.14,-9488.0869140625,13.0282,1210000,156.891,563.61,242
243,1237.11,-9504.0283203125,13.6047,1215000,156.8712,1063.21,243
244,1331.1,-9669.6220703125,13.7463,1220000,157.0678,1115.48,244
245,2069.4,-9536.1162109375,14.8862,1225000,156.7781,1637.16,245
246,2171.96,-9606.66796875,15.0365,1230000,156.8103,1747.85,246
247,2169.37,-9599.22265625,15.3197,1235000,156.7525,1801.09,247
248,2213.21,-9638.359375,15.3202,1240000,156.5575,1834.35,248
249,2201.04,-9657.52734375,15.0245,1245000,156.7749,1839.3,249
250,2211.79,-9680.3720703125,15.4156,1250000,156.8276,1859.84,250
251,2200.21,-9691.4423828125,15.3434,1255000,156.7511,1862.34,251
252,2194.59,-9723.67578125,15.2831,1260000,156.8822,1854.08,252
253,2214.27,-9702.4375,15.1308,1265000,156.8034,1858.88,253
254,2191.51,-9789.43359375,15.404,1270000,156.7808,1855.65,254
255,2208.87,-9784.283203125,15.4557,1275000,156.9007,1858.29,255
256,2187.25,-9808.9052734375,15.2828,1280000,156.9253,1847.73,256
257,2164.91,-9840.541015625,15.1548,1285000,156.7371,1850.04,257
258,2214.33,-9869.158203125,15.2611,1290000,156.7672,1870.83,258
259,2189.15,-9892.0029296875,15.2693,1295000,156.8521,1860.72,259
260,2200.77,-9926.8251953125,15.2751,1300000,156.8145,1859.44,260
261,2193.13,-9958.39453125,15.3548,1305000,156.7231,1866.24,261
262,2174.45,-9995.7509765625,15.0987,1310000,156.9052,1840.9,262
263,2212.12,-9991.2900390625,15.3154,1315000,156.8122,1870.32,263
264,2213.77,-10029.4326171875,15.1649,1320000,156.7436,1851.73,264
265,2200.29,-10037.7822265625,15.0761,1325000,156.5519,1867.49,265
266,2200.65,-10065.14453125,15.1215,1330000,156.6482,1865.85,266
267,2209.87,-10111.212890625,15.1922,1335000,156.6164,1852.25,267
268,2218.72,-10118.2998046875,15.1722,1340000,156.6781,1850.93,268
269,2223.77,-10146.6474609375,15.0883,1345000,156.7872,1847.77,269
270,2200.65,-10206.884765625,15.1282,1350000,156.6915,1870.29,270
271,2187.11,-10213.68359375,15.1778,1355000,156.8318,1874.09,271
272,2236.54,-10246.2880859375,15.1907,1360000,156.6932,1878.7,272
273,2232.75,-10283.8623046875,15.245,1365000,156.6954,1873.74,273
274,2211.52,-10315.5673828125,15.1695,1370000,156.5592,1856.18,274
275,2243.98,-10347.2177734375,15.3308,1375000,156.9052,1875.38,275
276,2208.12,-10384.7509765625,15.2082,1380000,156.769,1854.83,276
277,2209.17,-10411.6796875,15.0425,1385000,156.837,1854.07,277
278,2196.35,-10474.84375,15.2023,1390000,156.8424,1863.92,278
279,2215.67,-10490.615234375,15.1738,1395000,156.6318,1851.92,279
280,2240.99,-10489.5419921875,15.133,1400000,156.8616,1887.3,280
281,2198.99,-10547.013671875,15.179,1405000,156.7293,1863.61,281
282,2189.54,-10537.0390625,14.9755,1410000,156.7933,1846.76,282
283,2186.2,-10587.8212890625,15.133,1415000,156.7558,1852.58,283
284,2211.0,-10628.294921875,15.2235,1420000,156.6573,1865.22,284
285,2205.52,-10639.08984375,14.994,1425000,156.7434,1857.41,285
286,2212.75,-10654.88671875,15.0607,1430000,156.7085,1872.49,286
287,2256.54,-10674.3369140625,15.14,1435000,156.7197,1889.59,287
288,2229.23,-10709.5693359375,15.1746,1440000,156.6727,1854.43,288
289,2178.33,-10752.0,15.0279,1445000,156.746,1848.99,289
290,2204.46,-10770.0498046875,15.0178,1450000,156.7913,1874.26,290
291,2190.54,-10784.4150390625,15.0166,1455000,156.7597,1860.84,291
292,2194.29,-10805.462890625,15.0577,1460000,156.6879,1863.34,292
293,2223.04,-10801.533203125,15.0321,1465000,156.5696,1885.03,293
294,2186.0,-10864.6943359375,15.1274,1470000,156.7063,1855.86,294
295,2179.15,-10909.1533203125,15.2226,1475000,156.6627,1858.58,295
296,2251.46,-10893.6572265625,15.1291,1480000,156.7,1868.28,296
297,2241.25,-10905.232421875,14.9847,1485000,156.6766,1877.13,297
298,2223.17,-10949.2978515625,15.1544,1490000,156.5629,1889.68,298
299,2223.58,-10955.013671875,15.1662,1495000,156.7294,1880.55,299
300,2250.07,-11002.2490234375,15.1885,1500000,156.7335,1894.54,300
301,2214.05,-11026.8076171875,15.0379,1505000,156.8,1884.95,301
302,2240.63,-11051.533203125,15.2028,1510000,156.8005,1894.38,302
303,2211.85,-11025.564453125,15.1581,1515000,156.5055,1892.24,303
304,2238.14,-11061.3564453125,15.1699,1520000,156.4864,1897.28,304
305,2216.46,-11084.236328125,14.92,1525000,156.635,1893.94,305
306,2217.46,-11114.5,15.0979,1530000,156.4746,1871.24,306
307,2240.37,-11109.0830078125,15.0331,1535000,156.6842,1905.07,307
308,2206.49,-11127.255859375,15.132,1540000,156.6232,1884.44,308
309,2233.9,-11166.7109375,15.131,1545000,156.6799,1894.75,309
310,2240.26,-11169.5,15.0261,1550000,156.6604,1898.69,310
311,2257.45,-11186.958984375,15.0913,1555000,156.4417,1910.96,311
312,2240.6,-11225.7822265625,15.2958,1560000,156.6394,1894.93,312
313,2255.04,-11240.7685546875,15.0779,1565000,156.6694,1887.78,313
314,2224.24,-11265.185546875,15.1093,1570000,156.6552,1892.32,314
315,2239.43,-11300.79296875,15.1746,1575000,156.6991,1886.72,315
316,2245.84,-11315.03125,15.1496,1580000,156.6513,1903.2,316
317,2240.66,-11302.7978515625,15.1525,1585000,156.6698,1901.33,317
318,2255.13,-11344.421875,15.2805,1590000,156.6246,1907.3,318
319,2258.33,-11365.3720703125,15.2388,1595000,156.692,1904.1,319
320,2243.3,-11383.5849609375,15.1842,1600000,156.6619,1896.64,320
321,2241.77,-11381.029296875,15.1499,1605000,156.7009,1899.05,321
322,2258.0,-11434.021484375,15.1509,1610000,156.6847,1910.08,322
323,2223.2,-11457.6044921875,15.057,1615000,156.7217,1876.68,323
324,2260.44,-11465.556640625,15.1171,1620000,156.7286,1922.11,324
325,2249.69,-11461.0419921875,15.2156,1625000,156.6163,1912.23,325
326,2272.66,-11506.8232421875,15.263,1630000,156.5982,1912.07,326
327,2207.14,-11523.0068359375,15.1294,1635000,156.5083,1891.64,327
328,2264.66,-11533.6650390625,15.0547,1640000,156.7764,1890.51,328
329,2225.96,-11537.48046875,15.0949,1645000,156.6849,1894.24,329
330,2239.66,-11558.25390625,15.239,1650000,156.8467,1905.57,330
331,2224.55,-11578.8916015625,15.1797,1655000,156.6978,1887.34,331
332,2244.64,-11597.8134765625,15.2565,1660000,156.6395,1904.11,332
333,2245.2,-11600.87890625,15.0782,1665000,156.6688,1917.98,333
334,2243.13,-11639.61328125,15.1977,1670000,156.7518,1909.27,334
335,2234.28,-11642.265625,15.2207,1675000,156.6435,1896.4,335
336,2257.69,-11660.3095703125,15.1349,1680000,156.6485,1897.91,336
337,2221.94,-11705.06640625,15.0225,1685000,156.691,1882.25,337
338,2244.37,-11698.41015625,15.0799,1690000,156.6769,1917.58,338
339,2245.74,-11712.8955078125,15.0986,1695000,156.5451,1923.57,339
340,2273.61,-11753.2451171875,15.2617,1700000,156.5923,1921.35,340
341,2211.06,-11750.1259765625,15.3112,1705000,156.7194,1883.71,341
342,2247.51,-11759.177734375,15.0605,1710000,156.766,1904.46,342
343,2243.64,-11789.4111328125,15.2168,1715000,156.8064,1895.49,343
344,2261.64,-11827.2314453125,15.3075,1720000,156.7925,1916.68,344
345,2209.83,-11821.859375,15.1835,1725000,156.741,1899.74,345
346,2219.15,-11857.640625,15.1431,1730000,156.8414,1892.06,346
347,2243.22,-11845.5703125,15.069,1735000,156.6996,1921.33,347
348,2238.46,-11893.875,15.2717,1740000,156.6556,1915.86,348
349,2288.84,-11894.79296875,15.2861,1745000,156.5806,1921.81,349
350,2261.24,-11938.9111328125,15.2561,1750000,156.8591,1910.96,350
351,2249.64,-11911.6533203125,15.2208,1755000,156.619,1902.65,351
352,2239.0,-11942.6279296875,15.2274,1760000,156.6909,1884.67,352
353,2234.91,-11983.125,15.2692,1765000,156.7588,1903.8,353
354,2258.31,-11982.2119140625,15.1871,1770000,156.6444,1908.18,354
355,2237.77,-12000.3349609375,15.1104,1775000,156.5833,1910.5,355
356,2239.37,-12033.353515625,15.147,1780000,156.6411,1905.79,356
357,2267.11,-12046.369140625,15.1158,1785000,156.641,1907.64,357
358,2240.19,-12086.33203125,15.1267,1790000,156.7671,1888.01,358
359,2253.49,-12105.521484375,15.1217,1795000,156.739,1917.57,359
360,2234.67,-12114.6953125,15.0726,1800000,156.8064,1894.77,360
361,2239.29,-12110.5888671875,15.0077,1805000,156.5537,1888.49,361
362,2259.01,-12144.9677734375,15.0992,1810000,156.6114,1901.13,362
363,2227.87,-12159.474609375,15.0944,1815000,156.6454,1873.14,363
364,2223.66,-12182.14453125,15.1089,1820000,156.6452,1886.41,364
365,2246.96,-12233.8271484375,15.1299,1825000,156.6545,1883.36,365
366,2235.96,-12262.6171875,14.9305,1830000,156.7074,1896.64,366
367,2242.65,-12255.18359375,15.1759,1835000,156.7051,1907.29,367
368,2239.79,-12268.94921875,15.2845,1840000,156.7371,1902.46,368
369,2264.16,-12324.1962890625,15.2622,1845000,156.6735,1902.4,369
370,2241.93,-12319.51953125,15.1694,1850000,156.6901,1891.84,370
371,2250.0,-12336.0771484375,15.1631,1855000,156.6712,1890.08,371
372,2249.96,-12391.4140625,14.9341,1860000,156.716,1854.08,372
373,2233.66,-12398.263671875,15.1159,1865000,156.7318,1865.02,373
374,2195.3,-12402.3642578125,14.9587,1870000,156.5672,1864.17,374
375,2208.5,-12440.1318359375,14.9282,1875000,156.7946,1818.52,375
376,2213.56,-12443.3974609375,14.9886,1880000,156.6487,1828.73,376
377,2226.6,-12488.912109375,14.9971,1885000,156.7477,1847.11,377
378,2215.59,-12484.060546875,14.9756,1890000,156.6861,1818.71,378
379,2148.38,-12550.73828125,15.1095,1895000,156.8901,1778.29,379
380,2188.65,-12497.84375,14.9935,1900000,156.5558,1831.04,380
381,2161.87,-12548.775390625,14.9597,1905000,156.6938,1800.79,381
382,2190.17,-12570.197265625,15.0157,1910000,156.7234,1826.61,382
383,2194.66,-12552.3857421875,14.9182,1915000,156.7092,1817.08,383
384,2212.69,-12588.1708984375,15.1033,1920000,156.5687,1820.33,384
385,2187.23,-12639.888671875,15.0276,1925000,156.5589,1814.55,385
386,2219.28,-12659.2197265625,15.0084,1930000,156.9063,1844.35,386
387,2186.85,-12674.6669921875,15.2138,1935000,156.7167,1818.05,387
