Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
116,90.2935,580000,-5353.03369140625,969.96,116,974.25,33.7942
117,40.2601,585000,-4753.24853515625,929.61,117,915.56,34.0
118,85.1748,590000,-5644.0234375,671.34,118,659.34,33.3433
119,119.2504,595000,-6083.4248046875,1015.65,119,1015.77,35.2909
120,140.078,600000,-6135.517578125,1018.95,120,1019.24,35.3724
121,126.9094,605000,-6259.01220703125,1016.37,121,1016.38,36.4193
122,87.7461,610000,-6268.7421875,1017.03,122,1017.39,35.633
123,138.3713,615000,-6354.83056640625,1019.54,123,1019.55,35.3992
124,142.4173,620000,-6423.48779296875,1022.09,124,1022.08,35.4344
125,127.6518,625000,-6484.232421875,1022.28,125,1022.54,35.5382
126,135.7009,630000,-6546.14404296875,1021.94,126,1021.77,35.4139
127,137.8474,635000,-6646.662109375,1019.95,127,1020.08,36.4532
128,134.4543,640000,-6720.54541015625,1022.13,128,1022.1,36.3514
129,133.6026,645000,-6771.4892578125,1022.18,129,1022.13,36.1945
130,120.7857,650000,-6932.69140625,1016.48,130,1016.36,39.9041
131,143.5026,655000,-6974.04833984375,1019.76,131,1019.61,37.0996
132,151.1719,660000,-7008.59423828125,1024.07,132,1023.95,36.4991
133,144.9377,665000,-7065.75341796875,1024.73,133,1024.35,36.2183
134,159.159,670000,-7149.95361328125,1026.28,134,1026.32,36.6999
135,153.1733,675000,-7294.783203125,1001.26,135,1001.02,39.5114
136,96.7393,680000,-7302.6611328125,1023.12,136,1022.82,38.923
137,142.8332,685000,-7237.01806640625,1042.44,137,1042.82,35.9475
138,40.5488,690000,-6088.6728515625,495.48,138,478.29,30.6342
139,52.5459,695000,-6438.6611328125,573.46,139,577.98,33.0259
140,85.9985,700000,-7491.93115234375,1036.22,140,1036.12,35.3042
141,154.1337,705000,-7635.419921875,197.8,141,197.42,35.5766
142,143.0306,710000,-7681.77783203125,1037.92,142,1037.9,35.3731
143,127.4885,715000,-7800.2265625,1033.59,143,1033.32,36.3747
144,145.1494,720000,-7938.28515625,998.07,144,998.08,38.7498
145,141.0324,725000,-8075.435546875,1002.08,145,1001.95,37.5998
146,140.2516,730000,-8159.3779296875,1003.45,146,1003.33,38.2871
147,85.4667,735000,-8126.70361328125,1032.61,147,1032.89,36.3049
148,143.0265,740000,-8155.73291015625,1042.3,148,1042.24,35.4045
149,108.7409,745000,-8262.4267578125,1037.91,149,1037.76,35.3442
