Running Update Time,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL
69,924.76,69,-10378.177734375,333.1193,345000,1634.12,204.7963
70,2723.42,70,-9268.970703125,302.1398,350000,3000.74,171.7129
71,752.04,71,-10938.2001953125,308.2016,355000,1873.33,204.4182
72,1107.05,72,-7870.0,291.8451,360000,2956.47,135.4572
73,870.11,73,-3974.741943359375,271.9801,365000,3787.32,72.483
74,918.91,74,-8487.052734375,297.5025,370000,2758.04,147.1878
75,1256.26,75,-9468.548828125,301.5839,375000,3241.58,162.3809
76,920.39,76,-9018.787109375,298.8394,380000,1930.88,153.2913
77,1309.42,77,-9963.2705078125,316.0243,385000,1931.14,178.3942
78,998.48,78,-6367.28369140625,291.7462,390000,2746.39,107.448
79,759.22,79,-10578.474609375,309.3816,395000,1407.86,183.3304
80,1055.95,80,-11985.6904296875,329.87,400000,1552.46,237.842
81,1639.68,81,-7782.27490234375,290.7608,405000,1661.07,129.6416
82,983.43,82,-10861.5166015625,310.2101,410000,1780.18,192.8612
83,1829.82,83,-6998.9111328125,289.6836,415000,2626.78,101.9526
84,1732.95,84,-8611.3154296875,291.4461,420000,2992.24,133.3412
85,804.72,85,-11620.4609375,315.1095,425000,1306.92,197.6335
86,1168.06,86,-11376.046875,318.782,430000,1502.72,189.6605
87,1553.96,87,-10860.66015625,326.2295,435000,1772.43,197.8462
88,705.21,88,-10709.3642578125,306.8262,440000,2070.52,170.6031
89,1590.87,89,-9640.9130859375,296.0033,445000,2119.37,142.8687
90,1284.51,90,-11901.1748046875,324.1132,450000,2241.68,216.2619
91,1700.28,91,-9620.9921875,303.4711,455000,2832.53,136.6359
92,1856.29,92,-11321.6025390625,305.1278,460000,2053.87,180.7862
93,2288.46,93,-10185.2607421875,297.0305,465000,2559.65,149.9285
94,1613.75,94,-8818.6669921875,291.6513,470000,2956.38,120.0182
95,2299.13,95,-10724.6396484375,294.9692,475000,2171.39,160.3171
96,1419.89,96,-10795.7568359375,299.2923,480000,1951.96,165.3051
97,2195.07,97,-10662.083984375,304.622,485000,2006.07,154.4242
98,2432.37,98,-8662.5322265625,288.864,490000,3011.31,119.3607
99,3856.16,99,-9320.052734375,287.4299,495000,4003.4,127.3522
100,2030.57,100,-8638.060546875,282.0543,500000,3483.7,107.8718
101,1944.05,101,-8528.9072265625,282.2864,505000,3724.15,119.5165
102,2088.93,102,-7570.33447265625,275.8172,510000,3607.15,101.6646
103,2840.17,103,-5577.3896484375,265.4627,515000,4556.41,63.5638
104,3479.72,104,-6813.53857421875,271.1765,520000,4085.53,74.3249
105,4903.87,105,-7374.88818359375,282.2689,525000,4702.8,85.8301
106,4856.96,106,-7853.18115234375,276.9068,530000,4467.14,93.5945
107,3785.18,107,-8651.033203125,279.707,535000,3402.34,103.5031
108,2490.2,108,-9118.5615234375,282.3396,540000,2844.84,109.9045
109,5048.63,109,-7805.1328125,274.916,545000,3752.07,84.0916
110,3842.57,110,-7950.599609375,269.2565,550000,4317.34,76.4851
111,4756.43,111,-8528.8349609375,266.8518,555000,4396.45,89.1347
112,2872.75,112,-8669.6572265625,268.0729,560000,3776.95,95.017
113,2584.26,113,-9065.138671875,293.4751,565000,3113.32,112.128
114,2090.69,114,-9579.498046875,273.9684,570000,3591.73,120.3731
115,2063.79,115,-7714.06640625,263.7423,575000,4638.74,73.0082
116,2168.56,116,-7290.62744140625,262.7876,580000,4666.08,66.3762
117,4498.73,117,-9188.0986328125,273.8826,585000,3798.49,93.4252
118,1596.23,118,-9361.388671875,267.5477,590000,4366.62,114.5958
119,2662.83,119,-8430.4296875,262.507,595000,4160.04,68.4041
120,3772.99,120,-7916.28466796875,262.2822,600000,4763.25,59.4617
121,4878.1,121,-8481.4677734375,271.4331,605000,4996.14,72.4168
122,5066.74,122,-8722.80859375,280.0012,610000,4946.03,81.7175
123,5065.95,123,-8962.7509765625,277.6469,615000,4735.42,83.1383
124,3403.63,124,-9474.517578125,276.8487,620000,3988.63,94.2025
125,4166.32,125,-10435.9580078125,291.3515,625000,3223.77,135.1429
126,4146.68,126,-9850.833984375,272.1683,630000,4998.24,82.2748
127,5041.63,127,-9749.9619140625,276.586,635000,4811.87,79.2606
128,3780.33,128,-9868.2236328125,274.3063,640000,4778.36,83.0224
129,4464.27,129,-9360.4228515625,270.778,645000,4774.5,72.353
130,5078.54,130,-9928.30859375,271.9167,650000,5021.68,79.6115
131,5039.58,131,-9210.8173828125,258.7161,655000,4711.09,67.0377
132,4366.92,132,-10836.734375,288.3825,660000,2547.14,136.1899
133,2892.33,133,-9551.7216796875,258.7188,665000,4686.06,64.7084
134,5074.47,134,-9030.681640625,266.2448,670000,4633.29,61.4604
135,4978.07,135,-9790.4951171875,266.1523,675000,4831.26,66.7267
136,4879.45,136,-9768.88671875,271.1763,680000,4306.83,77.2103
137,2676.95,137,-10756.0791015625,279.3193,685000,4632.25,89.5165
138,4927.91,138,-10825.826171875,267.234,690000,5013.55,74.4298
139,3529.14,139,-10480.1083984375,283.1966,695000,4698.19,88.3224
140,4309.5,140,-9844.5888671875,260.1937,700000,4877.88,58.2604
141,4356.86,141,-10308.451171875,267.3853,705000,4954.33,67.7105
142,2409.41,142,-10066.2470703125,260.7082,710000,4977.11,61.0429
143,5051.35,143,-10375.408203125,254.9295,715000,5072.84,62.0185
144,4105.32,144,-9952.2294921875,257.7236,720000,4895.48,60.6342
145,4588.55,145,-10203.529296875,264.7924,725000,4972.63,59.4644
146,2509.28,146,-10156.568359375,259.032,730000,4929.02,62.4715
147,2998.63,147,-10398.0048828125,250.7511,735000,4852.91,59.427
148,4320.78,148,-10188.107421875,257.1821,740000,5018.63,61.0275
149,4483.86,149,-10961.408203125,271.222,745000,4463.0,70.135
150,4049.45,150,-10848.328125,268.1874,750000,4869.71,72.1685
151,4860.8,151,-10535.4541015625,257.4549,755000,4729.2,62.7881
152,1446.29,152,-10611.4580078125,250.7783,760000,4672.77,56.5146
153,4916.53,153,-11045.564453125,263.3096,765000,4888.54,69.6577
154,4521.18,154,-10942.4052734375,258.1961,770000,5009.21,60.3905
155,3062.59,155,-10869.7744140625,256.882,775000,5067.57,62.4764
156,4663.94,156,-10153.8115234375,253.0013,780000,5011.75,51.7312
157,5126.59,157,-11121.5703125,262.5371,785000,4988.23,69.0079
158,4183.93,158,-9872.72265625,261.5592,790000,4949.85,50.3295
159,5123.52,159,-9858.2158203125,263.4556,795000,4729.27,49.5425
160,1152.59,160,-11683.896484375,297.1655,800000,2634.06,127.852
161,1050.49,161,-13549.9619140625,314.7242,805000,2623.19,186.0927
162,3140.52,162,-11174.5703125,268.5295,810000,5019.85,62.8641
163,1884.35,163,-11599.6123046875,265.2518,815000,4988.4,64.7316
164,5171.39,164,-11467.1611328125,266.446,820000,5054.04,63.7656
165,5154.79,165,-11538.3759765625,263.025,825000,5100.61,65.525
166,4806.32,166,-11816.388671875,262.9097,830000,5101.87,63.2742
167,5045.05,167,-12387.306640625,274.4875,835000,4986.13,71.0116
168,5090.79,168,-12260.0595703125,263.3367,840000,5060.03,64.3156
169,5182.54,169,-11103.5419921875,257.2968,845000,5076.02,59.9144
170,4834.95,170,-11603.216796875,267.001,850000,5038.71,60.9473
171,5081.77,171,-11902.037109375,261.3581,855000,4766.09,62.1862
172,1455.41,172,-11461.8603515625,259.8654,860000,4974.34,55.5578
173,3910.61,173,-10992.248046875,265.2488,865000,4983.25,57.678
174,4339.46,174,-11793.865234375,279.4621,870000,4955.36,67.6529
175,4860.17,175,-12600.322265625,271.3321,875000,5008.92,65.6683
176,3792.44,176,-11645.9599609375,274.4634,880000,4928.6,62.0055
177,4607.29,177,-11380.119140625,258.365,885000,5125.03,52.7856
178,5088.28,178,-11764.5654296875,265.3119,890000,4952.33,53.6566
179,5089.67,179,-13045.1123046875,280.9403,895000,5041.8,73.9696
180,1156.75,180,-11905.4931640625,264.634,900000,4809.02,60.4116
181,1846.87,181,-12068.97265625,260.8041,905000,5060.94,55.0491
182,2043.68,182,-12706.7294921875,267.6165,910000,4667.7,66.3004
183,4405.19,183,-12594.384765625,266.7936,915000,4559.53,58.1289
184,1529.09,184,-13676.830078125,284.3357,920000,3746.93,117.2084
185,5154.24,185,-12504.873046875,266.6432,925000,5015.89,57.0153
186,4621.76,186,-12878.78125,267.6573,930000,4595.2,57.2718
187,3162.1,187,-12814.2705078125,266.4653,935000,4876.58,61.3344
188,5155.75,188,-12542.6064453125,268.7702,940000,4975.02,56.4849
189,5253.6,189,-13574.3095703125,273.2049,945000,5055.73,63.7431
190,4469.14,190,-13518.51953125,268.9945,950000,4977.68,62.1245
191,5062.54,191,-13313.29296875,271.6211,955000,4920.09,62.9735
192,2969.45,192,-12888.4677734375,262.786,960000,4961.21,55.593
193,4827.55,193,-13403.7216796875,268.455,965000,4745.1,59.3361
194,5052.53,194,-14084.951171875,274.3042,970000,4257.39,67.241
195,4922.29,195,-14206.865234375,279.1622,975000,4961.4,68.4265
196,2974.99,196,-13882.39453125,283.4811,980000,5023.33,76.9946
197,5172.04,197,-14137.9755859375,277.2098,985000,4971.05,66.3498
198,5215.01,198,-13812.916015625,266.5529,990000,5006.71,56.6833
199,5101.32,199,-14028.5439453125,273.5645,995000,5027.24,65.7808
200,1259.96,200,-13339.4130859375,261.722,1000000,4866.72,59.9643
201,1097.8,201,-13043.498046875,264.2229,1005000,4567.46,75.9258
202,958.38,202,-13115.0634765625,258.9547,1010000,4791.01,53.0515
203,1485.67,203,-13396.00390625,262.105,1015000,4482.28,60.6483
204,1318.23,204,-13368.7607421875,260.7443,1020000,3651.24,85.4059
205,1320.13,205,-14103.1572265625,281.4845,1025000,3437.07,128.7882
206,1750.44,206,-14708.6279296875,295.2298,1030000,3261.57,138.9329
207,1327.67,207,-14376.451171875,280.2399,1035000,2643.02,123.7547
208,4198.46,208,-14409.658203125,277.1412,1040000,4314.14,103.3839
209,2749.95,209,-15308.6064453125,271.8492,1045000,4514.56,82.7595
210,1644.93,210,-14390.6689453125,259.3239,1050000,4491.08,67.6298
211,1834.19,211,-13644.6396484375,256.5294,1055000,4693.78,61.8806
212,2664.65,212,-14032.2001953125,262.0375,1060000,4634.13,62.7699
213,790.94,213,-14530.9033203125,265.3845,1065000,4171.87,69.676
214,4316.99,214,-14425.5439453125,266.4527,1070000,4779.65,85.7719
215,3245.7,215,-14612.703125,271.3142,1075000,4949.29,88.6112
216,2821.93,216,-14696.654296875,267.666,1080000,4987.92,72.8826
217,1322.38,217,-14050.966796875,260.7252,1085000,4916.14,61.6941
218,764.37,218,-14742.5,265.3498,1090000,4522.1,81.0978
219,793.9,219,-14365.4248046875,261.055,1095000,4710.4,60.8609
220,1635.37,220,-15471.59375,279.8318,1100000,4096.66,79.9174
221,2058.85,221,-15414.4384765625,283.9788,1105000,3526.93,122.3355
222,3477.86,222,-15380.193359375,281.9095,1110000,3857.77,87.7851
223,302.01,223,-16954.775390625,427.0876,1115000,301.33,365.0553
224,4979.5,224,-15499.84375,291.8298,1120000,4886.98,99.9705
225,5032.99,225,-15805.482421875,279.9924,1125000,4962.19,85.1534
226,2940.58,226,-15707.7412109375,286.1848,1130000,4236.8,90.2121
227,3212.94,227,-15972.017578125,297.0309,1135000,3857.22,94.1629
228,4889.82,228,-15495.416015625,277.7892,1140000,4823.38,77.4584
229,4791.58,229,-16268.3828125,288.6801,1145000,4891.06,86.0817
230,3237.94,230,-16333.80859375,281.962,1150000,4793.08,81.0527
231,4192.99,231,-16573.609375,292.2626,1155000,4837.46,90.0721
232,4611.03,232,-15711.205078125,271.1692,1160000,4965.12,70.5726
233,4810.35,233,-16010.7080078125,282.8203,1165000,4981.75,86.3004
234,4834.97,234,-14703.193359375,268.6054,1170000,5087.34,66.8088
235,5206.79,235,-13374.6591796875,253.6731,1175000,4964.6,54.3877
236,4500.6,236,-14454.1748046875,266.8311,1180000,5013.23,63.6993
237,1147.28,237,-15423.1396484375,312.7944,1185000,1868.6,177.0025
238,854.48,238,-14862.1728515625,261.5141,1190000,4452.66,66.1896
239,759.76,239,-15360.5732421875,279.8766,1195000,3849.44,132.7968
240,1932.45,240,-15340.232421875,276.8342,1200000,3662.25,66.7365
241,892.55,241,-14143.30859375,302.9141,1205000,2100.43,230.1428
242,1733.4,242,-14928.6748046875,265.2139,1210000,4250.2,82.2383
243,2321.15,243,-16133.369140625,273.1666,1215000,4047.93,72.7357
244,2017.25,244,-15740.48046875,292.7945,1220000,4357.31,108.2431
245,2177.33,245,-15618.49609375,285.6241,1225000,2563.51,104.3151
246,2349.41,246,-14874.34765625,312.1155,1230000,2614.04,147.8703
247,3235.64,247,-14993.7890625,264.2443,1235000,4028.81,92.855
248,1952.52,248,-15338.1318359375,269.2177,1240000,4623.97,97.1488
249,1356.01,249,-15227.44921875,312.8578,1245000,2558.41,170.7528
250,1098.62,250,-15627.197265625,323.1024,1250000,1420.74,215.4491
251,808.73,251,-15854.421875,298.2191,1255000,1956.8,169.0386
252,962.81,252,-15995.9306640625,284.8692,1260000,3449.73,104.0978
253,3656.57,253,-17554.01953125,302.5844,1265000,4400.82,123.1948
254,2305.04,254,-17233.642578125,306.3818,1270000,3769.27,137.9288
255,4370.57,255,-17013.8203125,297.9814,1275000,4420.65,134.2319
256,2693.68,256,-16383.314453125,291.2556,1280000,4232.35,110.5579
257,5110.94,257,-15005.87109375,279.3917,1285000,4933.04,90.9398
258,2865.42,258,-15082.3388671875,272.8205,1290000,4967.01,81.3467
259,2099.81,259,-15396.6025390625,277.355,1295000,4894.18,90.9175
260,3668.53,260,-14605.1923828125,254.6793,1300000,4569.4,118.8217
261,4824.15,261,-13132.408203125,260.7993,1305000,4252.45,60.0823
262,2911.53,262,-15223.888671875,277.7068,1310000,2828.54,254.79
263,976.0,263,-14650.7763671875,296.5959,1315000,1835.65,179.2764
264,2227.8,264,-17149.54296875,335.0166,1320000,4543.9,190.1976
265,1927.68,265,-14932.25,305.1605,1325000,3789.27,214.1585
266,1834.83,266,-16110.3154296875,309.3505,1330000,3789.75,150.669
267,4334.38,267,-15349.5791015625,297.2883,1335000,4535.81,102.9739
268,2721.63,268,-15470.5234375,288.8208,1340000,4746.94,119.4733
269,2730.68,269,-15564.2265625,285.2321,1345000,4576.06,87.1059
270,2462.62,270,-15984.50390625,295.7571,1350000,4614.99,100.3433
271,1635.05,271,-17022.990234375,302.5131,1355000,3112.11,212.5191
272,1121.25,272,-16795.162109375,338.9392,1360000,2386.21,320.6344
273,4094.24,273,-16603.283203125,284.2064,1365000,4191.32,96.7535
274,2004.47,274,-16848.951171875,303.1113,1370000,4030.32,123.8776
275,2868.6,275,-17109.06640625,298.3973,1375000,4017.47,116.4863
276,3919.0,276,-17222.751953125,305.3524,1380000,4001.83,127.9961
277,4544.3,277,-17128.45703125,300.7895,1385000,4342.11,125.4478
278,2478.86,278,-16453.005859375,323.0772,1390000,1768.23,197.2947
279,3511.86,279,-17290.3046875,305.9273,1395000,4029.66,131.1808
280,2636.25,280,-16073.662109375,306.8563,1400000,2777.08,145.0018
281,3085.26,281,-15212.330078125,316.3935,1405000,3409.7,154.0808
282,2247.73,282,-17553.052734375,311.1681,1410000,3991.5,151.9137
283,1781.74,283,-17371.38671875,318.0725,1415000,3660.64,217.2496
284,4364.27,284,-17860.357421875,296.6482,1420000,4845.37,107.3135
285,3088.7,285,-17802.265625,297.4568,1425000,4366.6,137.9325
286,2518.61,286,-17786.568359375,313.8256,1430000,3644.44,156.2161
287,4244.66,287,-17725.05859375,293.2015,1435000,4690.72,118.2899
288,3890.46,288,-18073.720703125,309.0223,1440000,4829.53,121.941
289,2554.3,289,-17712.267578125,297.9323,1445000,4749.13,141.6018
290,4795.53,290,-17675.412109375,319.2298,1450000,4670.22,138.8841
291,4355.85,291,-17596.087890625,296.9093,1455000,4562.61,134.1162
292,4398.79,292,-18182.009765625,314.0139,1460000,4455.12,145.3775
293,3688.04,293,-18318.896484375,317.1535,1465000,3989.25,131.1361
294,4626.7,294,-18409.666015625,324.9934,1470000,4669.46,140.5099
295,4309.03,295,-18220.255859375,321.1549,1475000,4720.96,200.5838
296,4116.0,296,-18255.990234375,324.3679,1480000,4484.27,144.0513
297,3148.74,297,-18357.193359375,323.6193,1485000,3913.76,150.4086
298,3733.43,298,-18570.689453125,333.9767,1490000,4226.42,181.0455
299,1099.09,299,-17574.71875,352.3691,1495000,1365.04,296.3766
300,1718.05,300,-18563.328125,335.8976,1500000,3175.43,193.32
301,1472.78,301,-17672.298828125,311.9691,1505000,2747.38,211.7113
302,1925.82,302,-17958.443359375,332.5081,1510000,1922.17,218.3556
303,3248.87,303,-18100.77734375,316.8929,1515000,2683.36,202.5843
304,4744.58,304,-17819.41015625,329.2378,1520000,4489.54,182.366
305,4213.94,305,-17816.125,312.9655,1525000,4639.43,150.0825
306,2661.01,306,-17901.443359375,309.4126,1530000,3061.0,141.4778
307,2818.56,307,-17124.69921875,305.6203,1535000,3367.03,172.8919
308,3511.97,308,-17644.4296875,312.0231,1540000,4062.92,144.6371
309,2930.71,309,-16214.208984375,301.0543,1545000,3594.35,152.9916
310,2418.9,310,-16937.53515625,332.8549,1550000,2334.83,212.9475
311,3059.93,311,-17245.169921875,332.2648,1555000,2298.96,187.9472
312,1547.94,312,-16683.455078125,337.3188,1560000,2074.13,244.3263
313,2493.43,313,-16299.2060546875,296.1977,1565000,2658.55,156.5289
314,2036.97,314,-15800.291015625,320.3099,1570000,2085.94,240.9646
315,2161.56,315,-16465.255859375,310.4822,1575000,2903.19,176.1866
316,3823.19,316,-17236.96484375,297.43,1580000,3811.12,121.1498
317,4548.77,317,-17689.587890625,304.734,1585000,4594.79,125.4909
318,3957.91,318,-17152.443359375,330.8549,1590000,3672.3,179.5292
319,4874.9,319,-17941.306640625,304.1503,1595000,4914.55,152.7767
320,4951.79,320,-17990.7421875,305.9996,1600000,4752.38,145.5578
321,3624.67,321,-17595.966796875,347.8142,1605000,3320.26,167.4928
322,4435.89,322,-17015.263671875,314.5102,1610000,3706.79,145.7953
323,4589.95,323,-17629.505859375,333.4647,1615000,4498.97,156.7302
324,4227.52,324,-17669.48828125,340.6603,1620000,4161.18,153.6896
325,4159.29,325,-18036.484375,342.7931,1625000,4462.67,143.6985
326,1423.56,326,-16599.259765625,354.5342,1630000,1895.57,210.7701
327,4704.57,327,-18516.455078125,335.8199,1635000,4643.22,157.6996
328,4785.71,328,-18696.21484375,350.1786,1640000,4719.9,162.4094
329,4268.74,329,-18379.3984375,354.9378,1645000,4515.09,159.1646
330,3909.32,330,-18496.56640625,345.7827,1650000,4387.49,141.0199
331,3265.7,331,-18327.7109375,348.9417,1655000,4166.73,150.0769
332,4778.16,332,-18918.189453125,362.1034,1660000,4569.85,161.7426
333,4445.1,333,-18186.38671875,330.2328,1665000,4251.83,140.6337
334,4266.16,334,-18112.552734375,328.5243,1670000,4518.34,145.8221
335,4467.41,335,-17660.0,320.9453,1675000,4930.3,156.4568
336,4993.52,336,-18302.7578125,321.7209,1680000,4900.46,158.873
337,4889.26,337,-18358.630859375,328.0426,1685000,4512.06,186.3882
338,4915.82,338,-18178.150390625,319.0038,1690000,4864.1,156.9428
339,4126.64,339,-17335.005859375,328.0389,1695000,4297.87,146.3028
340,4646.41,340,-17382.21875,324.11,1700000,4525.45,144.1202
341,3553.05,341,-17178.173828125,326.5231,1705000,3575.17,158.4174
342,3115.78,342,-16777.486328125,332.1211,1710000,4213.61,157.8188
343,3738.82,343,-16540.99609375,334.5333,1715000,3634.76,162.7028
344,3746.02,344,-16866.1015625,318.2254,1720000,3639.97,141.4456
345,4106.94,345,-16709.1640625,344.9448,1725000,2758.94,158.2416
346,4430.66,346,-17329.9296875,345.2713,1730000,4104.19,148.8072
347,3843.5,347,-16690.017578125,343.3102,1735000,3308.92,164.1818
348,3445.55,348,-16633.283203125,344.7415,1740000,3378.94,151.3989
349,3821.94,349,-16896.419921875,350.5205,1745000,4314.82,160.5811
350,3696.64,350,-15952.494140625,349.0832,1750000,3090.5,172.2528
351,2545.35,351,-16882.509765625,355.0885,1755000,2932.56,162.0674
352,3969.22,352,-17895.955078125,335.8915,1760000,3700.14,144.5243
353,4325.17,353,-17201.0234375,313.9198,1765000,4075.94,123.1783
354,4470.85,354,-17978.947265625,309.8496,1770000,4228.39,108.0361
355,4893.5,355,-18254.84375,322.0429,1775000,4655.23,120.5466
356,4874.35,356,-18096.8046875,305.4476,1780000,4726.2,117.9329
357,4732.75,357,-17899.685546875,316.5036,1785000,4398.25,134.0079
358,4905.57,358,-17412.60546875,306.2548,1790000,4662.1,115.8042
359,4932.77,359,-17933.841796875,309.4694,1795000,4928.9,122.8897
360,4598.58,360,-17007.943359375,316.6179,1800000,4238.4,128.9975
361,4521.0,361,-16979.17578125,316.2485,1805000,4746.69,127.1141
362,4458.84,362,-17403.67578125,320.5479,1810000,4218.02,129.0087
363,4181.14,363,-16657.833984375,331.6146,1815000,3629.94,140.8011
364,3111.65,364,-16487.671875,348.8277,1820000,3126.94,180.7141
365,4364.22,365,-16828.681640625,333.4387,1825000,3611.96,154.0707
366,4845.71,366,-18467.75,320.4419,1830000,4845.19,140.2551
367,4666.27,367,-18266.380859375,342.022,1835000,4752.21,150.4288
368,4628.79,368,-18543.314453125,341.1668,1840000,4561.9,145.2074
369,4590.86,369,-18083.98828125,350.809,1845000,4087.1,164.4022
370,4202.52,370,-17882.984375,328.0904,1850000,4249.09,131.264
371,4676.29,371,-18339.779296875,332.6862,1855000,4681.68,149.8112
372,3813.52,372,-18228.50390625,354.3809,1860000,3507.82,162.3234
373,2565.1,373,-14812.3115234375,374.7488,1865000,3111.54,189.7805
374,2399.62,374,-17666.85546875,358.1954,1870000,3454.77,136.5025
375,3759.47,375,-16899.6171875,338.8477,1875000,3518.66,145.8912
376,3958.56,376,-17056.912109375,338.2804,1880000,4286.11,132.1712
377,3449.82,377,-17058.109375,373.1388,1885000,3316.19,200.1621
378,4359.31,378,-17829.033203125,343.018,1890000,4145.4,156.8104
379,3429.44,379,-16261.3466796875,341.2675,1895000,3399.4,144.4563
380,2251.67,380,-15869.484375,359.8273,1900000,2177.56,166.2626
381,2992.34,381,-16736.3125,366.7626,1905000,3222.56,178.0379
382,4354.8,382,-16837.498046875,364.3155,1910000,4252.21,149.5712
383,4826.8,383,-16563.33203125,340.8584,1915000,4819.12,136.5121
384,4844.9,384,-17231.337890625,348.7512,1920000,4839.91,132.3756
385,4961.23,385,-18082.736328125,338.9159,1925000,4953.83,142.8736
386,4880.97,386,-18184.341796875,358.692,1930000,4701.35,140.2457
387,4191.04,387,-17911.7890625,347.6791,1935000,4227.76,141.0134
388,4944.73,388,-18427.53515625,366.2545,1940000,4946.41,157.182
389,4895.05,389,-18496.771484375,367.4271,1945000,4898.67,162.2032
390,4954.23,390,-18262.634765625,349.2209,1950000,4959.08,165.4515
391,4888.0,391,-18297.275390625,351.0133,1955000,4872.45,154.0724
392,4877.12,392,-18548.9609375,335.4775,1960000,4859.42,141.5607
