Real Sto Return,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Itration,Running Reverse KL,Running Forward KL
3714.04,-135.13096618652344,43,3738.14,215000,43,19.7553,45.0511
3534.35,-144.11917114257812,44,3542.16,220000,44,17.6412,44.8895
3690.28,-149.52943420410156,45,3715.81,225000,45,21.9833,45.2497
3674.02,-116.1247787475586,46,3852.04,230000,46,18.0545,43.6628
3562.94,-161.67872619628906,47,3443.02,235000,47,18.5655,45.1253
3272.77,-162.36749267578125,48,3494.54,240000,48,16.5513,44.548
3895.29,-168.4040985107422,49,3926.0,245000,49,21.1678,44.4654
3850.4,-172.66929626464844,50,3894.5,250000,50,18.2223,43.4547
4047.24,-156.4706268310547,51,3996.79,255000,51,20.4035,42.7839
3883.24,-178.5258331298828,52,3908.33,260000,52,18.1119,42.9463
3724.42,-191.61659240722656,53,3952.53,265000,53,18.588,42.9998
3976.98,-175.201416015625,54,4027.57,270000,54,17.7196,43.437
3708.71,-206.83253479003906,55,3939.14,275000,55,17.7035,44.0541
3465.21,-166.44302368164062,56,4083.5,280000,56,15.3888,42.6811
3812.37,-234.32496643066406,57,4039.82,285000,57,19.0532,42.765
3945.37,-234.93519592285156,58,3892.31,290000,58,19.6247,44.1552
2215.23,-259.6202697753906,59,168.28,295000,59,34.9766,45.4544
4061.98,-222.58848571777344,60,4078.75,300000,60,18.0152,42.111
4111.86,-240.9751739501953,61,4139.16,305000,61,19.9112,43.0573
4210.22,-233.49305725097656,62,4292.63,310000,62,18.7911,43.2815
4117.02,-256.83001708984375,63,4115.14,315000,63,19.5589,42.7928
4134.76,-262.93896484375,64,4186.27,320000,64,17.6673,42.1944
3937.34,-277.7012634277344,65,3965.72,325000,65,18.8154,43.5143
3771.31,-280.04156494140625,66,4195.81,330000,66,18.4326,42.8761
3745.67,-265.47503662109375,67,4214.67,335000,67,17.8301,41.7544
4065.51,-277.3748779296875,68,4140.89,340000,68,17.1649,42.2438
4243.55,-277.92431640625,69,4303.99,345000,69,17.5747,41.6145
4295.07,-297.515625,70,4171.26,350000,70,22.5151,43.4887
2138.57,-325.3112487792969,71,3601.39,355000,71,38.1274,43.7842
1678.01,-369.22015380859375,72,19.98,360000,72,38.3545,42.138
4153.31,-323.6829833984375,73,4156.37,365000,73,18.5924,43.4182
3972.32,-302.468994140625,74,4163.86,370000,74,17.3068,42.8172
4204.82,-320.95623779296875,75,4164.01,375000,75,19.4505,43.4567
4224.97,-336.3286437988281,76,4264.1,380000,76,18.1743,42.3204
4347.9,-321.326904296875,77,4339.27,385000,77,18.9487,42.3566
4213.49,-317.6056823730469,78,4263.72,390000,78,16.9854,41.8891
3975.8,-347.29815673828125,79,4237.12,395000,79,16.1299,42.188
4074.95,-345.34832763671875,80,4104.33,400000,80,18.4998,41.9181
4243.91,-367.1804504394531,81,4249.85,405000,81,18.2366,41.5509
4279.53,-363.2715759277344,82,4331.31,410000,82,17.8468,42.389
4280.31,-358.50592041015625,83,4312.51,415000,83,18.1803,41.8433
2893.65,-297.47314453125,84,4451.78,420000,84,14.0346,43.0037
4328.61,-376.1345520019531,85,4353.65,425000,85,19.7344,42.9318
4232.91,-401.33599853515625,86,4238.86,430000,86,18.6025,41.9349
4259.72,-409.4380798339844,87,4328.54,435000,87,17.1837,41.9105
4275.16,-407.8947448730469,88,4284.8,440000,88,18.292,41.4219
4154.35,-408.1957702636719,89,4372.58,445000,89,18.0796,41.7719
4393.52,-407.84747314453125,90,4452.46,450000,90,18.6008,41.2147
4357.86,-411.7912902832031,91,4380.93,455000,91,18.264,41.1528
4398.27,-416.7218933105469,92,4466.77,460000,92,19.1499,40.8369
4327.78,-422.43499755859375,93,4306.03,465000,93,18.0884,41.2446
4253.85,-440.8575439453125,94,4317.71,470000,94,17.4122,41.2235
4353.99,-448.1496276855469,95,4389.71,475000,95,19.031,41.3316
4131.75,-368.44171142578125,96,4412.5,480000,96,14.4093,40.5518
4097.72,-429.90118408203125,97,4335.45,485000,97,19.13,41.0832
3967.01,-457.05712890625,98,4383.82,490000,98,16.7485,40.8705
4133.34,-448.3913879394531,99,4308.17,495000,99,17.3945,41.5824
4393.16,-459.8277893066406,100,4420.23,500000,100,18.4086,41.3564
3927.28,-410.5423583984375,101,4372.91,505000,101,14.1116,41.3042
4082.75,-439.1932373046875,102,4503.65,510000,102,17.5414,40.5151
4367.88,-472.8910827636719,103,4397.69,515000,103,17.4921,41.1755
2669.21,-377.8426513671875,104,4307.33,520000,104,16.128,40.4828
4145.42,-444.2462463378906,105,4440.79,525000,105,15.9782,41.341
4304.84,-489.5280456542969,106,4365.43,530000,106,17.4629,40.486
4329.6,-535.04345703125,107,4396.46,535000,107,17.6296,42.0117
4253.64,-496.6115417480469,108,4499.7,540000,108,18.8043,41.7804
4354.35,-492.4533386230469,109,4384.9,545000,109,17.8008,41.2723
4247.69,-515.1566772460938,110,4436.91,550000,110,14.6511,41.0397
4265.41,-505.16192626953125,111,4343.87,555000,111,16.4342,40.7542
4441.56,-495.07940673828125,112,4540.75,560000,112,17.7348,40.2204
2117.08,-489.4423522949219,113,162.53,565000,113,13.6022,43.4247
4355.21,-579.025146484375,114,4373.4,570000,114,18.9002,41.996
4307.29,-514.1533203125,115,4331.78,575000,115,16.2692,40.3956
4417.65,-514.1243286132812,116,4582.67,580000,116,15.9511,40.6258
4231.97,-573.732666015625,117,4254.08,585000,117,16.4839,41.1566
4397.81,-564.6011962890625,118,4418.37,590000,118,16.0778,39.9549
4396.74,-521.6123657226562,119,4472.06,595000,119,16.0625,40.1286
4079.13,-591.9048461914062,120,4468.96,600000,120,16.3696,40.9187
4311.45,-532.7405395507812,121,4494.61,605000,121,16.2597,40.0692
4423.87,-573.5206298828125,122,4506.69,610000,122,15.2443,39.7518
4467.81,-597.4948120117188,123,4522.08,615000,123,17.8443,40.8454
4295.68,-619.6732177734375,124,4536.96,620000,124,18.1226,41.1362
4268.44,-586.2340698242188,125,4503.1,625000,125,17.59,40.8588
4367.99,-612.5980224609375,126,4456.24,630000,126,15.7793,40.8911
3992.72,-637.6024169921875,127,4565.14,635000,127,17.5808,41.4479
4138.5,-662.4729614257812,128,4585.85,640000,128,25.4992,40.9311
4443.34,-640.5343627929688,129,4472.61,645000,129,17.642,40.3166
4450.18,-563.9657592773438,130,4533.29,650000,130,16.8302,40.2357
4227.31,-630.1917724609375,131,4483.78,655000,131,19.6218,41.7047
4373.07,-612.8944702148438,132,4448.95,660000,132,16.4195,40.7627
4350.09,-646.6883544921875,133,4578.02,665000,133,18.1682,40.7845
